,0
rxn05561_c0,PSPTO_1682
rxn03408_c0,PSPTO_4408
rxn05250_c0,PSPTO_4097
rxn01673_c0,PSPTO_1430
rxn02000_c0,PSPTO_1077
rxn05063_c0,PSPTO_1930
rxn05457_c0,PSPTO_3833
rxn00199_c0,PSPTO_3356
rxn01867_c0,PSPTO_3064
rxn09177_c0,PSPTO_0085
rxn00211_c0,PSPTO_1243
rxn01218_c0,PSPTO_1562
rxn05654_c0,PSPTO_1682
rxn05614_c0,PSPTO_5187
rxn10344_c0,PSPTO_0750
rxn05167_c0,PSPTO_2369
rxn02504_c0,PSPTO_0542
rxn10262_c0,PSPTO_3022
rxn10126_c0,PSPTO_2195
rxn10209_c0,PSPTO_1520
rxn10225_c0,PSPTO_1539
rxn00898_c0,PSPTO_5057
rxn10205_c0,PSPTO_1520
rxn05542_c0,PSPTO_4564
rxn05545_c0,PSPTO_4564
rxn00671_c0,PSPTO_0775
rxn11268_c0,PSPTO_3702
rxn00710_c0,PSPTO_2028
rxn02305_c0,PSPTO_4397
rxn08296_c0,PSPTO_4026
rxn05541_c0,PSPTO_4564
rxn01297_c0,PSPTO_3662
rxn10254_c0,PSPTO_4026
rxn02331_c0,PSPTO_1553
rxn06493_c0,PSPTO_2201
rxn08308_c0,PSPTO_1539
rxn00208_c0,PSPTO_4116
rxn05516_c0,PSPTO_5279
rxn00649_c0,PSPTO_3902
rxn01974_c0,PSPTO_0224
rxn00242_c0,PSPTO_0073
rxn00225_c0,PSPTO_1669
rxn09198_c0,PSPTO_4955
rxn02842_c0,PSPTO_0766
rxn00789_c0,PSPTO_4439
rxn05158_c0,PSPTO_1295
rxn00781_c0,PSPTO_1287
rxn02122_c0,PSPTO_0092
rxn05401_c0,PSPTO_3832
rxn09202_c0,PSPTO_4955
rxn00097_c0,PSPTO_1509
rxn10481_c0,PSPTO_0750
rxn02160_c0,PSPTO_2215
rxn01825_c0,PSPTO_3551
rxn00913_c0,PSPTO_1562
rxn01997_c0,PSPTO_1081
rxn03958_c0,PSPTO_1540
rxn00131_c0,PSPTO_4795
rxn01362_c0,PSPTO_0080
rxn05161_c0,PSPTO_4111
rxn00549_c0,PSPTO_5168
rxn05418_c0,PSPTO_3832
rxn00506_c0,PSPTO_0092
rxn05243_c0,PSPTO_2206
rxn01445_c0,PSPTO_1562
rxn05248_c0,PSPTO_4097
rxn05539_c0,PSPTO_4564
rxn05461_c0,PSPTO_3832
rxn10222_c0,PSPTO_1539
rxn10263_c0,PSPTO_3022
rxn05466_c0,PSPTO_0218
rxn05585_c0,PSPTO_2786
rxn05957_c0,PSPTO_3810
rxn10256_c0,PSPTO_4026
rxn00638_c0,PSPTO_1243
rxn09111_c0,PSPTO_3022
rxn12432_c0,PSPTO_5080
rxn08300_c0,PSPTO_4026
rxn08297_c0,PSPTO_4026
rxn05410_c0,PSPTO_3832
rxn09114_c0,PSPTO_3022
rxn05535_c0,PSPTO_4564
rxn10208_c0,PSPTO_1520
rxn01522_c0,PSPTO_3662
