,1
cpd00166_c,-0.003096467
cpd15352_c,-0.003096467
cpd00063_c,-0.003096467
cpd00099_c,-0.003096467
cpd00254_c,-0.003096467
cpd00030_c,-0.003096467
cpd15432_c,-0.034
cpd00035_c,-0.024419599
cpd00051_c,-0.014613734
cpd00132_c,-0.0073474
cpd00041_c,-0.012561995
cpd00084_c,-0.002251619
cpd00023_c,-0.013009127
cpd00053_c,-0.010482769
cpd00033_c,-0.017645363
cpd00119_c,-0.005278181
cpd00322_c,-0.011456579
cpd00107_c,-0.026202679
cpd00039_c,-0.008633822
cpd00060_c,-0.005499594
cpd00066_c,-0.00835351
cpd00129_c,-0.011003367
cpd00054_c,-0.014132783
cpd00161_c,-0.011741831
cpd00065_c,-0.003201995
cpd00069_c,-0.005878706
cpd00156_c,-0.016285348
cpd00201_c,-0.003096467
cpd00345_c,-0.003096467
cpd11493_c,-0.003096467
cpd00010_c,-0.003096467
cpd00015_c,-0.003096467
cpd00042_c,-0.003096467
cpd00028_c,-0.003096467
cpd00220_c,-0.003096467
cpd00017_c,-0.003096467
cpd00557_c,-0.003096467
cpd00087_c,-0.003096467
cpd15500_c,-0.003096467
cpd00003_c,-0.003096467
cpd00006_c,-0.003096467
cpd15560_c,-0.003096467
cpd02229_c,-0.025010598
cpd00058_c,-0.003096467
cpd10515_c,-0.003096467
cpd10516_c,-0.003096467
cpd00205_c,-0.003096467
cpd00016_c,-0.003096467
cpd00048_c,-0.003096467
cpd00056_c,-0.003096467
cpd00034_c,-0.003096467
cpd15795_c,-0.010648042
cpd15696_c,-0.010648042
cpd15723_c,-0.010648042
cpd15695_c,-0.010648042
cpd15722_c,-0.010648042
cpd15794_c,-0.010648042
cpd15533_c,-0.010648042
cpd15540_c,-0.010648042
cpd15793_c,-0.010648042
cpd00118_c,-0.003096467
cpd00264_c,-0.003096467
cpd00002_c,-40.00532759
cpd00052_c,-0.007794552
cpd00115_c,-0.00564493
cpd00356_c,-0.007819149
cpd00241_c,-0.007819149
cpd00038_c,-0.007794552
cpd00357_c,-0.00564493
cpd00062_c,-0.00532759
cpd00149_c,-0.003096467
cpd00001_c,-35.54030924
cpd03422_c,0.003096467
cpd01997_c,0.003096467
cpd11416_c,1
cpd12370_c,0.003096467
cpd00012_c,0.484595269
cpd00067_c,40
cpd00009_c,39.99690353
cpd00008_c,40
