seed_id	name
cpd00453	1,2-Propanediol
cpd00162	2-Aminoethanol
cpd00294	2-Deoxy Adenosine
cpd01242	2-Deoxy-D-Ribose
cpd00599	2-Hydroxy Benzoic Acid
cpd01949	2,3-Butanediol
cpd00551	2,3-Butanedione
cpd00361	2,3-Butanone
cpd24453	3-0-beta-D-Galacto-pyranosyl-D-Arabinose
cpd00361	3-Hydroxy 2-Butanone
cpd26351	3-Methyl Glucose
cpd00136	4-Hydroxy Benzoic Acid
cpd00781	5-Keto-D-Gluconic Acid
cpd03737	a-Keto-Valeric Acid
cpd15584	a-Methyl-D-Glucoside
cpd03734	Acetamide
cpd00029	Acetic Acid
cpd00142	Acetoacetic Acid
cpd00182	Adenosine
cpd00366	Adonitol
cpd24451	alpha-Cyclodextrin
cpd00208	alpha-D-Lactose
cpd03561	alpha-Hydroxy Butyric Acid
cpd23862	alpha-Hydroxy Glutaric Acid-gamma-Lactone
cpd15584	alpha-Methyl-D-Glucoside
cpd24424	alpha-Methyl-D-Mannoside
cpd01356	Amygdalin
cpd03696	Arbutin
cpd09394	beta-Cyclodextrin
cpd01055	beta-D-Allose
cpd02274	beta-Methyl-D-Galactoside
cpd11603	beta-Methyl-D-Glucoside
cpd24423	beta-Methyl-D-Glucuronic Acid
cpd24425	beta-Methyl-D-Xyloside
cpd23859	Bromo Succinic Acid
cpd00211	Butyric Acid
cpd01107	Capric Acid'
cpd01113	Caproic Acid
cpd11717	Chondroitin Sulfate C
cpd01502	Citraconic Acid
cpd00607	Citramalic Acid
cpd00137	Citric Acid
cpd00117	D-Alanine
cpd00185	D-Arabinose
cpd01307	D-Arabitol
cpd00320	D-Aspartic Acid
cpd00158	D-Cellobiose
cpd00082	D-Fructose
cpd00072	D-Fructose-6-Phosphate
cpd00750	D-Fucose
cpd02143	D-Galactonic Acid-gamma-Lactone
cpd00108	D-Galactose
cpd00280	D-Galacturonic Acid
cpd00222	D-Gluconic Acid
cpd00276	D-Glucosamine
cpd02351	D-Glucosaminic Acid
cpd00089	D-Glucose-1-Phosphate
cpd00079	D-Glucose-6-Phosphate
cpd00164	D-Glucuronic Acid
cpd24428	D-Lactic Acid Methyl Ester
cpd00386	D-Malic Acid
cpd00314	D-Mannitol
cpd00138	D-Mannose
cpd05161	D-Melezitose
cpd03198	D-Melibiose
cpd03884	D-Psicose
cpd00382	D-Raffinose
cpd23861	D-Ribino-1,4-Lactone
cpd00105	D-Ribose
cpd00609	D-Saccharic Acid
cpd00550	D-Serine
cpd00588	D-Sorbitol
cpd00589	D-Tagatose
cpd00666	D-Tartaric Acid
cpd00611	D-Threonine
cpd00794	D-Trehalose
cpd00794	D-Trehalose
cpd00154	D-Xylose
cpd00266	D,L-Carnitine
cpd00130,cpd00386	D,L-Malic Acid
cpd02599	D,L-Octopamine
cpd00080	"D,L-α-Glycerol- 
Phosphate"
cpd00339	delta-Amino Valeric Acid
cpd11594	Dextrin
cpd00095	Dihydroxy Acetone
cpd01171	Dulcitol
cpd00047	Formic Acid
cpd00106	Fumaric Acid
cpd24452	gamma-Cyclodextrin
cpd00728	gamma-Hydroxy Butyric Acid
cpd05158	Gentiobiose
cpd26269	Glucuronamide
cpd00100	Glycerol
cpd00033	Glycine
cpd00155	Glycogen
cpd00139	Glycolic Acid
cpd11589	Glycyl-L-Aspartic Acid
cpd11592	Glycyl-L-Glutamic Acid
cpd11588	Glycyl-L-Proline
cpd00040	Glyoxylic Acid
cpd00851	Hydroxy-L-Proline
cpd00392	i-Erythritol
cpd00246	Inosine
cpd11602	Inulin
cpd00380	Itaconic Acid
cpd23030	L-Alaninamide
cpd00035	L-Alanine
cpd11585	L-Alanyl-Glycine
cpd00224	L-Arabinose
cpd00417	L-Arabitol
cpd00051	L-Arginine
cpd00132	L-Asparagine
cpd00041	L-Aspartic Acid
cpd01184	L-Fructose
cpd00820	L-Galactonic Acid-gamma-Lactone
cpd24421	L-Glucose
cpd00023	L-Glutamic Acid
cpd00053	L-Glutamine
cpd00119	L-Histidine
cpd00227	L-Homoserine
cpd00322	L-Isoleucine
cpd00159	L-Lactic Acid
cpd00107	L-Leucine
cpd00039	L-Lysine
cpd01067	L-Lyxose
cpd00130	L-Malic Acid
cpd00060	L-Methionine
cpd00064	L-Ornithine
cpd00066	L-Phenylalanine
cpd00129	L-Proline
cpd01293	L-Pyroglutamic Acid
cpd00396	L-Rhamnose
cpd00054	L-Serine
cpd00212	L-Sorbose
