rxn00011,R00014,pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)
rxn00037,R_R00047_c,omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)
rxn00101,R00131,Urea amidohydrolase
rxn00102,R00132,carbonate hydro-lyase (carbon-dioxide-forming)
rxn00121,R00160,FAD nucleotidohydrolase
rxn00134,R00185,ATP:adenosine 5'-phosphotransferase
rxn00155,R00210,pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)
rxn00160,R00215,(R)-Malate:NAD+ oxidoreductase (decarboxylating)
rxn00171,R00228,acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)
rxn00188,R00254,N-carbamyl-L-glutamate amidohydrolase
rxn00191,R00258,L-Alanine:2-oxoglutarate aminotransferase
rxn00194,R00261,L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)
rxn00203,R00272,2-Oxoglutarate carboxy-lyase
rxn00212,R00287,UDP-glucose glucophosphohydrolase
rxn00229,R00319,(S)-lactate:oxygen 2-oxidoreductase (decarboxylating)
rxn00245,R00339,(R,R)-tartrate hydro-lyase (oxaloacetate-forming)
rxn00251,R00345,phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming)
rxn00272,R00369,L-Alanine:glyoxylate aminotransferase
rxn00279,R00397,L-aspartate 4-carboxy-lyase (L-alanine-forming)
rxn00315,R00453,L-Lysine:pyruvate aminotransferase
rxn00316,R00454,acetyl-CoA:L-lysine N6-acetyltransferase
rxn00318,R00458,N6-acetyl-L-lysine amidohydrolase
rxn00327,R00469,(S)-ureidoglycolate amidohydrolase (decarboxylating)
rxn00328,R00470,4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming)
rxn00339,R00482,L-Aspartate:ammonia ligase (ADP-forming)
rxn00342,R00485,L-Asparagine amidohydrolase
rxn00346,R00489,L-aspartate 1-carboxy-lyase (beta-alanine-forming)
rxn00355,R00502,UTP:alpha-D-galactose-1-phosphate uridylyltransferase
rxn00393,R00550,D-Glucose-1-phosphate:riboflavin 5'-phosphotransferase
rxn00394,R00551,L-Arginine amidinohydrolase
rxn00422,R00585,L-Serine:pyruvate aminotransferase
rxn00436,R00615,Thiamin diphosphate phosphohydrolase
rxn00450,R00648,L-Methionine:oxygen oxidoreductase (deaminating)
rxn00452,R00650,S-Adenosyl-L-methionine:L-homocysteine S-methyltransferase
rxn00454,R00652,L-Methionine:glyoxylate aminotransferase
rxn00465,R00665,L-Citrulline N5-carbamoyldihydrolase
rxn00467,R00667,L-Ornithine:2-oxo-acid aminotransferase
rxn00471,R00671,L-ornithine ammonia-lyase (cyclizing; L-proline-forming)
rxn00489,R00690,L-Phenylalanine:oxygen 2-oxidoreductase (decarboxylating)
rxn00491,R00692,L-phenylalanine:pyruvate aminotransferase
rxn00521,R00728,L-tyrosine phenol-lyase (deaminating; pyruvate-forming)
rxn00533,R00742,Acetyl-CoA:carbon-dioxide ligase (ADP-forming)
rxn00541,R00751,L-threonine acetaldehyde-lyase (glycine-forming)
rxn00545,R00756,ATP:D-fructose-6-phosphate 1-phosphotransferase
rxn00547,R00760,ATP:D-fructose 6-phosphotransferase
rxn00551,R00764,diphosphate:D-fructose-6-phosphate 1-phosphotransferase
rxn00553,R00766,UDP-glucose:D-fructose-6-phosphate 2-alpha-D-glucosyltransferase
rxn00554,R00767,CTP:D-fructose-6-phosphate 1-phosphotransferase
rxn00556,R00769,UTP:D-fructose-6-phosphate 1-phosphotransferase
rxn00557,R00770,ITP:D-fructose-6-phosphate 1-phosphotransferase
rxn00558,R00771,D-glucose-6-phosphate aldose-ketose-isomerase
rxn00559,R00772,D-mannose-6-phosphate aldose-ketose-isomerase
rxn00562,R00776,(S)-ureidoglycolate urea-lyase (glyoxylate-forming)
rxn00575,R00801,sucrose glucohydrolase
rxn00577,R00803,sucrose:phosphate alpha-D-glucosyltransferase
rxn00579,R00806,UDP-glucose:D-fructose 2-alpha-D-glucosyltransferase
rxn00587,R00816,Catechol:oxygen 2,3-oxidoreductase (decyclizing)
rxn00601,R00832,succinyl-CoA:L-arginine N2-succinyltransferase
rxn00604,R00835,D-glucose-6-phosphate:NADP+ 1-oxidoreductase
rxn00605,R00836,UDP-glucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase
rxn00613,R00845,sn-glycerol-3-phosphate:NADP+ 1-oxidoreductase
rxn00623,R00858,hydrogen-sulfide:NADP+ oxidoreductase
rxn00635,R00876,ITP:D-fructose 6-phosphotransferase
rxn00636,R00877,D-mannose aldose-ketose-isomerase
rxn00647,R00895,L-Cysteine:2-oxoglutarate aminotransferase
rxn00657,R00908,beta-alanine:2-oxoglutarate aminotransferase
rxn00680,R00932,propanoyl-CoA:glyoxylate C-propanoyltransferase (thioester-hydrolysing, 2-carboxyethyl-forming)
rxn00688,R00941,10-formyltetrahydrofolate:NADP+ oxidoreductase
rxn00701,R00955,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase
rxn00709,R00964,ATP:uridine 5'-phosphotransferase
rxn00712,R00967,UTP:uridine 5'-phosphotransferase
rxn00713,R00968,GTP:uridine 5'-phosphotransferase
rxn00715,R00970,ITP:uridine 5'-phosphotransferase
rxn00718,R00975,5,6-Dihydrouracil:oxygen oxidoreductase
rxn00719,R00977,5,6-Dihydrouracil:NAD+ oxidoreductase
rxn00720,R00978,5,6-Dihydrouracil:NADP+ oxidoreductase
rxn00726,R00985,chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)
rxn00727,R00986,Chorismate pyruvate-lyase (amino-accepting)
rxn00737,R00996,L-threonine ammonia-lyase (2-oxobutanoate-forming)
rxn00738,R00997,1-aminocyclopropane-1-carboxylate aminohydrolase (isomerizing)
rxn00747,R01015,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase
rxn00772,R01051,ATP:D-ribose 5-phosphotransferase
rxn00774,R01053,Ribose-5-phosphate:ammonia ligase (ADP-forming)
rxn00784,R01066,2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase (D-glyceraldehyde-3-phosphate-forming)
rxn00785,R01067,D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase
rxn00797,R01080,Uridine ribohydrolase
