['\n'],248
"['Valine, leucine and isoleucine biosynthesis']",11
['Butanoate metabolism'],11
['C5-Branched dibasic acid metabolism'],7
['Pantothenate and CoA biosynthesis'],9
['Metabolic pathways'],173
['Biosynthesis of secondary metabolites'],130
['Biosynthesis of antibiotics'],109
['2-Oxocarboxylic acid metabolism'],19
['Biosynthesis of amino acids\n'],73
['Glycolysis / Gluconeogenesis'],17
['Citrate cycle (TCA cycle)'],23
['Pyruvate metabolism'],22
['Microbial metabolism in diverse environments'],76
['Carbon metabolism\n'],27
['Porphyrin and chlorophyll metabolism'],16
['Microbial metabolism in diverse environments\n'],13
['Riboflavin metabolism'],8
['Biosynthesis of secondary metabolites\n'],12
['Cysteine and methionine metabolism'],12
['Sulfur metabolism'],13
['Carbon metabolism'],33
['Purine metabolism'],21
['Thiamine metabolism'],1
['Biosynthesis of antibiotics\n'],19
['Metabolic pathways\n'],71
['Nicotinate and nicotinamide metabolism'],5
['Pyrimidine metabolism'],3
['Taurine and hypotaurine metabolism'],2
['Propanoate metabolism'],17
['Methane metabolism'],9
['Arginine and proline metabolism'],9
['Carbapenem biosynthesis'],2
['Vitamin B6 metabolism'],4
['Glyoxylate and dicarboxylate metabolism'],7
"['Alanine, aspartate and glutamate metabolism']",6
['Oxidative phosphorylation'],20
['Folate biosynthesis'],13
['Quorum sensing\n'],6
['Pentose phosphate pathway'],14
"['Glycine, serine and threonine metabolism']",13
['Monobactam biosynthesis'],6
['Lysine biosynthesis'],10
"['Phenylalanine, tyrosine and tryptophan biosynthesis']",23
['Biosynthesis of amino acids'],5
['Quorum sensing'],2
['Biofilm formation - Pseudomonas aeruginosa\n'],2
['Glutathione metabolism'],4
['Histidine metabolism'],5
['RNA degradation\n'],1
['Arginine biosynthesis'],8
['Tyrosine metabolism'],2
['Phenylalanine metabolism'],5
['Novobiocin biosynthesis'],3
['Fructose and mannose metabolism'],3
['Galactose metabolism'],6
"['Valine, leucine and isoleucine degradation']",8
['One carbon pool by folate'],4
['Fatty acid degradation'],7
['Geraniol degradation'],5
['Benzoate degradation'],5
['alpha-Linolenic acid metabolism'],1
['Fatty acid metabolism\n'],18
['Fatty acid biosynthesis'],15
['Fatty acid metabolism'],2
['Pentose and glucuronate interconversions'],2
['Lysine degradation'],6
['Tryptophan metabolism'],6
['beta-Alanine metabolism'],4
['Limonene and pinene degradation'],4
['Caprolactam degradation'],4
['Streptomycin biosynthesis'],6
['Polyketide sugar unit biosynthesis'],4
['Acarbose and validamycin biosynthesis'],2
['Biotin metabolism'],8
['Selenocompound metabolism'],2
['Lipopolysaccharide biosynthesis'],4
['Starch and sucrose metabolism'],4
['Amino sugar and nucleotide sugar metabolism'],4
['ABC transporters\n'],4
['Glycerophospholipid metabolism'],5
['Inositol phosphate metabolism'],1
['Aminobenzoate degradation'],3
['Two-component system\n'],2
