met_id,met_name,source
cpd23643,Levoglucosan ,Mhamdi
cpd00881,Caffeic acid ,Mhamdi
cpd03847,Tetradecanoic acid,Mhamdi
cpd00033,Glycine,Mhamdi
cpd00383,Shikimic acid  ,Mhamdi
cpd00373,trans ou cis Sinapinic acid,Mhamdi
cpd00121,Myo-inositol ,Mhamdi
cpd00214,Palmitic acid ,Mhamdi
cpd00139,Glycolic acid ,Mhamdi
cpd01122,Linoleic acid ,Mhamdi
cpd00129,Proline ,Mhamdi
cpd01138,Threonic acid,Mhamdi
cpd00069,Tyrosine ,Mhamdi
cpd01107,Decanoic acid  ,Mhamdi
cpd00009,Phosphoric acid  ,Mhamdi
cpd00036,Succinic acid  ,Mhamdi
cpd00132,Asparagine  ,Mhamdi
cpd00722,O-Acetyl-L-serine,Mhamdi
cpd00136,p-Hydroxybenzoic acid ,Mhamdi
cpd00137,Citric acid ,Mhamdi
cpd00066,Phenylalanine ,Mhamdi
cpd00180,Oxalic acid ,Mhamdi
cpd00323,Pipecolic acid  ,Mhamdi
cpd00159,Lactic acid  ,Mhamdi
cpd00053,Glutamine ,Mhamdi
cpd00033,Glycine ,Mhamdi
cpd01210,Beta-Sitosterol  ,Mhamdi
cpd01080,Stearic acid  ,Mhamdi
cpd00161,"Threonic acid-1,4-lactone",Mhamdi
cpd00314,Mannitol ,Mhamdi
cpd00118,Putrescine  ,Mhamdi
cpd00084,Cysteine,Mhamdi
cpd03846,Octanoic acid,Mhamdi
cpd00107,Leucine ,Mhamdi
cpd00085,Beta-alanine  ,Mhamdi
cpd00100,Glycerol ,Mhamdi
cpd00996,Maleic acid ,Mhamdi
cpd17172,Threitol ,Mhamdi
cpd01171,Galactitol ,Mhamdi
cpd00035,Alpha-Alanine ,Mhamdi
cpd30321,Fructose  ,Mhamdi
cpd00794,Trehalose ,Mhamdi
cpd01113,Hexanoic acid,Mhamdi
cpd01089,2-Furancarboxylic acid  ,Mhamdi
cpd23861,Ribonic acid gamma-lactone ,Mhamdi
cpd01122,Linolenic acid,Mhamdi
cpd00599,Salicylic acid,Mhamdi
cpd00041,Aspartic acid,Mhamdi
cpd00073,Urea ,Mhamdi
cpd19036,Fructose ,Mhamdi
cpd00039,Lysine  ,Mhamdi
cpd19001,Glucose ,Mhamdi
cpd00190,Glucose ,Mhamdi
cpd01741,Lauric acid ,Mhamdi
cpd00059,Ascorbic acid ,Mhamdi
cpd00179,Maltose ,Mhamdi
cpd00382,Raffinose ,Mhamdi
cpd00820,"Galactono-1,4-lactone",Mhamdi
cpd00218,Nicotinic acid ,Mhamdi
cpd01293,Pyroglutamic acid,Mhamdi
cpd00023,Glutamic acid,Mhamdi
cpd00064,Ornithine ,Mhamdi
cpd05274,Palmitoleic acid ,Mhamdi
cpd00724,Galactonic acid,Mhamdi
cpd03197,Galactosylglycerol,Mhamdi
cpd00910,Galactinol ,Mhamdi
cpd00374,Tyramine,Mhamdi
cpd00105,Ribose ,Mhamdi
cpd00153,Benzoic acid ,Mhamdi
cpd00054,Serine ,Mhamdi
cpd00076,Sucrose ,Mhamdi
cpd00033,Glycine,Mhamdi
cpd00322,Isoleucine ,Mhamdi
cpd00020,Pyruvic acid ,Mhamdi
cpd00130,Malic acid  ,Mhamdi
cpd00060,Methionine ,Mhamdi
cpd00156,Valine,Mhamdi
cpd00588,Sorbitol  ,Mhamdi
cpd00227,Homoserine ,Mhamdi
cpd00106,Fumaric acid ,Mhamdi
cpd00162,Ethanolamine ,Mhamdi
cpd00222,Gluconic acid,Mhamdi
cpd00094,Alpha-OHButyric acid ,Mhamdi
cpd00161,Threonine  ,Mhamdi
cpd00059,Ascorbic acid ,Mhamdi
cpd00223,Glyceric acid ,Mhamdi
cpd00607,Citramalic acid ,Mhamdi
cpd00281,GABA  ,Mhamdi
cpd00264,Spermidine ,Mhamdi
cpd00169,3-phosphoglyceric acid,Ma
cpd00871,Ribulose bisphosphate,Ma
cpd19036,"Fructose 1,6-bisphosphate",Ma
cpd19035,Fructose 6-phosphate,Ma
cpd00863,Glucose-6-phosphate,Ma
cpd00089,Glucose-1-phosphate,Ma
cpd00095,Dihydroxyacetone phosphate,Ma
cpd00238,Sedoheptulose 7-phosphate,Ma
cpd00101,Ribose 5-phosphate,Ma
cpd00171,Ribulose 5-phosphate ,Ma
cpd00198,Xylulose 5-phosphate,Ma
cpd00026,UDP glucose,Ma
cpd00387,ADP diphosphate glucose,Ma
cpd01693,Sucrose 6-phosphate,Ma
cpd00523,Trehalose-6-phosphate ,Ma
cpd00061,Phosphoenolpyruvic acid,Ma
cpd00020,Pyruvate,Ma
cpd00223,Glycerate,Ma
cpd00139,Glycolate,Ma
cpd00040,Glyoxylate,Ma
cpd00169,2-PGA,Ma
cpd00331,Aconitate,Ma
cpd00024,AKG,Ma
cpd00036,Succinate,Ma
cpd00106,Fumarate,Ma
cpd00130,Malate,Ma
