,0
rxn02504_c0,PSPTO_0542
rxn05418_c0,PSPTO_3832
rxn05243_c0,PSPTO_2206
rxn01445_c0,PSPTO_1562
rxn05410_c0,PSPTO_3832
rxn09114_c0,PSPTO_3022
rxn05422_c0,PSPTO_3832
rxn03052_c0,PSPTO_4179
rxn00295_c0,PSPTO_1756
rxn05385_c0,PSPTO_3832
rxn02175_c0,PSPTO_0417
rxn01675_c0,PSPTO_1079
rxn03080_c0,PSPTO_0693
rxn10237_c0,PSPTO_4955
rxn00777_c0,PSPTO_5289
rxn05244_c0,PSPTO_2206
rxn00139_c0,PSPTO_1990
rxn00237_c0,PSPTO_1430
rxn03175_c0,PSPTO_5335
rxn10264_c0,PSPTO_3022
rxn05336_c0,PSPTO_3832
rxn00132_c0,PSPTO_1562
rxn00126_c0,PSPTO_0383
rxn05034_c0,PSPTO_5476
rxn05340_c0,PSPTO_3832
rxn05389_c0,PSPTO_3832
rxn00363_c0,PSPTO_1562
rxn09197_c0,PSPTO_4955
rxn08707_c0,PSPTO_1329
rxn00831_c0,PSPTO_1562
rxn05430_c0,PSPTO_3832
rxn10236_c0,PSPTO_4955
rxn02011_c0,PSPTO_4413
rxn01145_c0,PSPTO_1562
rxn09205_c0,PSPTO_0984
rxn05364_c0,PSPTO_3832
rxn09201_c0,PSPTO_4955
rxn08352_c0,PSPTO_0809
rxn05337_c0,PSPTO_3832
rxn05376_c0,PSPTO_3832
rxn01802_c0,PSPTO_5461
rxn01116_c0,PSPTO_0566
rxn10258_c0,PSPTO_4026
rxn00670_c0,PSPTO_1169
rxn09113_c0,PSPTO_3022
rxn08299_c0,PSPTO_4026
rxn05673_c0,PSPTO_2345
rxn05452_c0,PSPTO_3833
rxn05465_c0,PSPTO_3833
rxn05380_c0,PSPTO_3832
rxn00297_c0,PSPTO_1196
rxn00137_c0,PSPTO_5401
rxn06023_c0,PSPTO_1675
rxn01678_c0,PSPTO_1430
rxn00832_c0,PSPTO_4866
rxn08756_c0,PSPTO_0809
rxn05397_c0,PSPTO_3832
rxn01353_c0,PSPTO_1430
rxn10235_c0,PSPTO_4955
rxn05405_c0,PSPTO_3832
rxn10253_c0,PSPTO_4026
rxn05451_c0,PSPTO_3833
rxn00469_c0,PSPTO_0323
rxn02939_c0,PSPTO_2019
rxn09200_c0,PSPTO_4955
rxn02155_c0,PSPTO_4828
rxn02866_c0,PSPTO_2739
rxn02475_c0,PSPTO_0690
rxn05339_c0,PSPTO_3832
rxn00124_c0,PSPTO_5521
rxn03893_c0,PSPTO_5476
rxn05455_c0,PSPTO_3833
rxn10257_c0,PSPTO_4026
rxn05342_c0,PSPTO_3832
rxn09110_c0,PSPTO_3022
rxn00303_c0,PSPTO_1694
rxn00791_c0,PSPTO_0593
rxn01672_c0,PSPTO_4144
rxn00105_c0,PSPTO_4828
rxn01302_c0,PSPTO_1480
rxn05393_c0,PSPTO_3832
rxn02285_c0,PSPTO_3842
rxn00290_c0,PSPTO_3455
rxn02834_c0,PSPTO_5154
rxn05092_c0,PSPTO_2046
rxn00459_c0,PSPTO_1554
rxn02085_c0,PSPTO_5270
rxn10234_c0,PSPTO_4955
rxn00461_c0,PSPTO_4441
rxn00222_c0,PSPTO_4290
rxn03137_c0,PSPTO_4866
rxn01396_c0,PSPTO_5521
rxn01961_c0,PSPTO_1562
rxn01517_c0,PSPTO_1536
rxn01807_c0,PSPTO_5521
rxn08309_c0,PSPTO_1539
rxn01512_c0,PSPTO_1430
rxn05551_c0,PSPTO_2026
rxn00086_c0,PSPTO_4254
rxn05454_c0,PSPTO_3833
rxn01127_c0,PSPTO_1509
rxn05341_c0,PSPTO_3832
rxn00083_c0,PSPTO_2106
rxn03236_c0,PSPTO_1821
rxn00834_c0,PSPTO_1449
rxn02369_c0,PSPTO_2341
rxn00704_c0,PSPTO_0083
rxn00693_c0,PSPTO_2732
rxn10233_c0,PSPTO_4955
rxn01507_c0,PSPTO_1562
rxn01790_c0,PSPTO_4394
rxn02277_c0,PSPTO_0498
rxn10260_c0,PSPTO_3022
rxn09199_c0,PSPTO_4955
rxn09109_c0,PSPTO_3022
rxn00141_c0,PSPTO_5068
rxn02003_c0,PSPTO_1080
rxn01200_c0,PSPTO_0385
rxn01241_c0,PSPTO_2201
rxn02473_c0,PSPTO_5338
rxn00912_c0,PSPTO_0961
rxn00985_c0,PSPTO_1669
rxn08294_c0,PSPTO_4026
rxn10259_c0,PSPTO_3022
rxn01521_c0,PSPTO_1562
rxn05414_c0,PSPTO_3832
rxn00119_c0,PSPTO_1536
rxn01466_c0,PSPTO_0699
rxn02008_c0,PSPTO_4410
rxn09203_c0,PSPTO_4955
rxn03904_c0,PSPTO_4411
rxn10199_c0,PSPTO_4825
rxn00409_c0,PSPTO_1430
rxn10232_c0,PSPTO_4955
rxn00138_c0,PSPTO_4922
rxn05368_c0,PSPTO_3832
rxn05360_c0,PSPTO_3832
rxn01485_c0,PSPTO_4495
rxn02465_c0,PSPTO_0604
rxn01791_c0,PSPTO_0960
rxn01329_c0,PSPTO_0083
rxn02507_c0,PSPTO_0594
rxn01029_c0,PSPTO_5393
rxn10261_c0,PSPTO_3022
rxn02341_c0,PSPTO_0085
rxn06591_c0,PSPTO_1108
rxn10255_c0,PSPTO_4026
rxn00127_c0,PSPTO_0598
rxn09108_c0,PSPTO_3022
rxn05372_c0,PSPTO_3832
rxn05426_c0,PSPTO_3832
rxn00209_c0,PSPTO_4116
rxn02474_c0,PSPTO_0690
rxn08295_c0,PSPTO_4026
rxn05456_c0,PSPTO_3833
rxn09112_c0,PSPTO_3022
rxn01973_c0,PSPTO_1523
rxn00117_c0,PSPTO_1430
rxn08298_c0,PSPTO_4026
rxn00293_c0,PSPTO_5597
rxn05383_c0,PSPTO_3833
rxn00839_c0,PSPTO_1430
rxn03919_c0,PSPTO_0186
rxn05293_c0,PSPTO_1434
