Source,Target,UniprotKB ACC,PATRIC ID
fig|223283.9.peg.1,PSPTO_0001,,fig|223283.9.peg.1
fig|223283.9.peg.1017,PSPTO_1005,,fig|223283.9.peg.1017
fig|223283.9.peg.1052,PSPTO_1041,,fig|223283.9.peg.1052
fig|223283.9.peg.1063,PSPTO_1051,,fig|223283.9.peg.1063
fig|223283.9.peg.1065,PSPTO_1053,,fig|223283.9.peg.1065
fig|223283.9.peg.108,PSPTO_0103,,fig|223283.9.peg.108
fig|223283.9.peg.1087,PSPTO_1077,,fig|223283.9.peg.1087
fig|223283.9.peg.1089,PSPTO_1079,,fig|223283.9.peg.1089
fig|223283.9.peg.1090,PSPTO_1080,,fig|223283.9.peg.1090
fig|223283.9.peg.1091,PSPTO_1081,,fig|223283.9.peg.1091
fig|223283.9.peg.1114,PSPTO_1104,,fig|223283.9.peg.1114
fig|223283.9.peg.1115,PSPTO_1105,,fig|223283.9.peg.1115
fig|223283.9.peg.1118,PSPTO_1108,,fig|223283.9.peg.1118
fig|223283.9.peg.1122,PSPTO_1112,,fig|223283.9.peg.1122
fig|223283.9.peg.1138,PSPTO_1128,,fig|223283.9.peg.1138
fig|223283.9.peg.1139,PSPTO_1129,,fig|223283.9.peg.1139
fig|223283.9.peg.1142,PSPTO_1131,,fig|223283.9.peg.1142
fig|223283.9.peg.1148,PSPTO_1136,,fig|223283.9.peg.1148
fig|223283.9.peg.116,PSPTO_0112,,fig|223283.9.peg.116
fig|223283.9.peg.1184,PSPTO_1169,,fig|223283.9.peg.1184
fig|223283.9.peg.1195,PSPTO_1178,,fig|223283.9.peg.1195
fig|223283.9.peg.1199,PSPTO_1182,,fig|223283.9.peg.1199
fig|223283.9.peg.1216,PSPTO_1196,,fig|223283.9.peg.1216
fig|223283.9.peg.122,PSPTO_0118,,fig|223283.9.peg.122
fig|223283.9.peg.1235,PSPTO_1215,,fig|223283.9.peg.1235
fig|223283.9.peg.1253,PSPTO_1232,,fig|223283.9.peg.1253
fig|223283.9.peg.1264,PSPTO_1243,,fig|223283.9.peg.1264
fig|223283.9.peg.1290,PSPTO_1268,,fig|223283.9.peg.1290
fig|223283.9.peg.1293,PSPTO_1271,,fig|223283.9.peg.1293
fig|223283.9.peg.1298,PSPTO_1276,,fig|223283.9.peg.1298
fig|223283.9.peg.1299,PSPTO_1277,,fig|223283.9.peg.1299
fig|223283.9.peg.131,PSPTO_0125,,fig|223283.9.peg.131
fig|223283.9.peg.1310,PSPTO_1287,,fig|223283.9.peg.1310
fig|223283.9.peg.1311,PSPTO_1288,,fig|223283.9.peg.1311
fig|223283.9.peg.1324,PSPTO_1302,,fig|223283.9.peg.1324
fig|223283.9.peg.1347,PSPTO_1325,,fig|223283.9.peg.1347
fig|223283.9.peg.1348,PSPTO_1326,,fig|223283.9.peg.1348
fig|223283.9.peg.1349,PSPTO_1327,,fig|223283.9.peg.1349
fig|223283.9.peg.135,PSPTO_0128,,fig|223283.9.peg.135
fig|223283.9.peg.1350,PSPTO_1328,,fig|223283.9.peg.1350
fig|223283.9.peg.1354,PSPTO_1332,,fig|223283.9.peg.1354
fig|223283.9.peg.1357,PSPTO_1335,,fig|223283.9.peg.1357
fig|223283.9.peg.1359,PSPTO_1337,,fig|223283.9.peg.1359
fig|223283.9.peg.136,PSPTO_0129,,fig|223283.9.peg.136
fig|223283.9.peg.1360,PSPTO_1338,,fig|223283.9.peg.1360
fig|223283.9.peg.1371,PSPTO_1349,,fig|223283.9.peg.1371
fig|223283.9.peg.1376,PSPTO_1354,,fig|223283.9.peg.1376
fig|223283.9.peg.1378,PSPTO_1356,,fig|223283.9.peg.1378
fig|223283.9.peg.1383,PSPTO_1361,,fig|223283.9.peg.1383
fig|223283.9.peg.1441,PSPTO_1421,,fig|223283.9.peg.1441
fig|223283.9.peg.1450,PSPTO_1430,,fig|223283.9.peg.1450
fig|223283.9.peg.1455,PSPTO_1435,,fig|223283.9.peg.1455
fig|223283.9.peg.1460,PSPTO_1440,,fig|223283.9.peg.1460
fig|223283.9.peg.1464,PSPTO_1444,,fig|223283.9.peg.1464
fig|223283.9.peg.1469,PSPTO_1449,,fig|223283.9.peg.1469
fig|223283.9.peg.1473,PSPTO_1453,,fig|223283.9.peg.1473
fig|223283.9.peg.1477,PSPTO_1455,,fig|223283.9.peg.1477
fig|223283.9.peg.1481,PSPTO_1459,,fig|223283.9.peg.1481
fig|223283.9.peg.1494,PSPTO_1473,,fig|223283.9.peg.1494
fig|223283.9.peg.1497,PSPTO_1476,,fig|223283.9.peg.1497
fig|223283.9.peg.1501,PSPTO_1480,,fig|223283.9.peg.1501
fig|223283.9.peg.1522,PSPTO_1501,,fig|223283.9.peg.1522
fig|223283.9.peg.1529,PSPTO_1508,,fig|223283.9.peg.1529
fig|223283.9.peg.1531,PSPTO_1509,,fig|223283.9.peg.1531
fig|223283.9.peg.1543,PSPTO_1520,,fig|223283.9.peg.1543
fig|223283.9.peg.1546,PSPTO_1523,,fig|223283.9.peg.1546
fig|223283.9.peg.1558,PSPTO_1533,,fig|223283.9.peg.1558
fig|223283.9.peg.1560,PSPTO_1534,,fig|223283.9.peg.1560
fig|223283.9.peg.1562,PSPTO_1536,,fig|223283.9.peg.1562
fig|223283.9.peg.1564,PSPTO_1538,,fig|223283.9.peg.1564
fig|223283.9.peg.1565,PSPTO_1539,,fig|223283.9.peg.1565
fig|223283.9.peg.1566,PSPTO_1540,,fig|223283.9.peg.1566
fig|223283.9.peg.1570,PSPTO_1544,,fig|223283.9.peg.1570
fig|223283.9.peg.1572,PSPTO_1546,,fig|223283.9.peg.1572
fig|223283.9.peg.1573,PSPTO_1547,,fig|223283.9.peg.1573
fig|223283.9.peg.1575,PSPTO_1549,,fig|223283.9.peg.1575
fig|223283.9.peg.1576,PSPTO_1550,,fig|223283.9.peg.1576
fig|223283.9.peg.1577,PSPTO_1551,,fig|223283.9.peg.1577
fig|223283.9.peg.1578,PSPTO_1552,,fig|223283.9.peg.1578
fig|223283.9.peg.1579,PSPTO_1553,,fig|223283.9.peg.1579
fig|223283.9.peg.1580,PSPTO_1554,,fig|223283.9.peg.1580
fig|223283.9.peg.1582,PSPTO_1556,,fig|223283.9.peg.1582
fig|223283.9.peg.1586,PSPTO_1560,,fig|223283.9.peg.1586
fig|223283.9.peg.1626,PSPTO_1602,,fig|223283.9.peg.1626
fig|223283.9.peg.164,PSPTO_0158,,fig|223283.9.peg.164
fig|223283.9.peg.165,PSPTO_0159,,fig|223283.9.peg.165
fig|223283.9.peg.1657,PSPTO_1633,,fig|223283.9.peg.1657
fig|223283.9.peg.1663,PSPTO_1639,,fig|223283.9.peg.1663
fig|223283.9.peg.1686,PSPTO_1661,,fig|223283.9.peg.1686
fig|223283.9.peg.1693,PSPTO_1669,,fig|223283.9.peg.1693
fig|223283.9.peg.1694,PSPTO_1670,,fig|223283.9.peg.1694
fig|223283.9.peg.1695,PSPTO_1671,,fig|223283.9.peg.1695
fig|223283.9.peg.1700,PSPTO_1675,,fig|223283.9.peg.1700
fig|223283.9.peg.1718,PSPTO_1692,,fig|223283.9.peg.1718
fig|223283.9.peg.1721,PSPTO_1694,,fig|223283.9.peg.1721
fig|223283.9.peg.1726,PSPTO_1699,,fig|223283.9.peg.1726
fig|223283.9.peg.1727,PSPTO_1700,,fig|223283.9.peg.1727
fig|223283.9.peg.1736,PSPTO_1708,,fig|223283.9.peg.1736
fig|223283.9.peg.1738,PSPTO_1710,,fig|223283.9.peg.1738
fig|223283.9.peg.1739,PSPTO_1711,,fig|223283.9.peg.1739
fig|223283.9.peg.174,PSPTO_0169,,fig|223283.9.peg.174
fig|223283.9.peg.1741,PSPTO_1713,,fig|223283.9.peg.1741
fig|223283.9.peg.1742,PSPTO_1714,,fig|223283.9.peg.1742
fig|223283.9.peg.1743,PSPTO_1715,,fig|223283.9.peg.1743
fig|223283.9.peg.1744,PSPTO_1716,,fig|223283.9.peg.1744
fig|223283.9.peg.1745,PSPTO_1717,,fig|223283.9.peg.1745
fig|223283.9.peg.175,PSPTO_0170,,fig|223283.9.peg.175
fig|223283.9.peg.1758,PSPTO_1731,,fig|223283.9.peg.1758
fig|223283.9.peg.1769,PSPTO_1742,,fig|223283.9.peg.1769
fig|223283.9.peg.1773,PSPTO_1745,,fig|223283.9.peg.1773
fig|223283.9.peg.1775,PSPTO_1746,,fig|223283.9.peg.1775
fig|223283.9.peg.1776,PSPTO_1747,,fig|223283.9.peg.1776
fig|223283.9.peg.1777,PSPTO_1748,,fig|223283.9.peg.1777
fig|223283.9.peg.1778,PSPTO_1749,,fig|223283.9.peg.1778
fig|223283.9.peg.1783,PSPTO_1754,,fig|223283.9.peg.1783
fig|223283.9.peg.1789,PSPTO_1760,,fig|223283.9.peg.1789
fig|223283.9.peg.1801,PSPTO_1772,,fig|223283.9.peg.1801
fig|223283.9.peg.1808,PSPTO_1779,,fig|223283.9.peg.1808
fig|223283.9.peg.1818,PSPTO_1788,,fig|223283.9.peg.1818
fig|223283.9.peg.1821,PSPTO_1791,,fig|223283.9.peg.1821
fig|223283.9.peg.1826,PSPTO_1796,,fig|223283.9.peg.1826
fig|223283.9.peg.184,PSPTO_0178,,fig|223283.9.peg.184
fig|223283.9.peg.1841,PSPTO_1812,,fig|223283.9.peg.1841
fig|223283.9.peg.1842,PSPTO_1813,,fig|223283.9.peg.1842
fig|223283.9.peg.1851,PSPTO_1821,,fig|223283.9.peg.1851
fig|223283.9.peg.1862,PSPTO_1832,,fig|223283.9.peg.1862
