,0
0,pst:PSPTO_0001
1,pst:PSPTO_1268
2,pst:PSPTO_1435
3,pst:PSPTO_1473
4,pst:PSPTO_1476
5,pst:PSPTO_1501
6,pst:PSPTO_1534
7,pst:PSPTO_1549
8,pst:PSPTO_1551
9,pst:PSPTO_1639
10,pst:PSPTO_1745
11,pst:PSPTO_0178
12,pst:PSPTO_1812
13,pst:PSPTO_1813
14,pst:PSPTO_1842
15,pst:PSPTO_0184
16,pst:PSPTO_0185
17,pst:PSPTO_0002
18,pst:PSPTO_2166
19,pst:PSPTO_2378
20,pst:PSPTO_2380
21,pst:PSPTO_2381
22,pst:PSPTO_2382
23,pst:PSPTO_2383
24,pst:PSPTO_2611
25,pst:PSPTO_3345
26,pst:PSPTO_3514
27,pst:PSPTO_3646
28,pst:PSPTO_3658
29,pst:PSPTO_3721
30,pst:PSPTO_3742
31,pst:PSPTO_3826
32,pst:PSPTO_3830
33,pst:PSPTO_3835
34,pst:PSPTO_0004
35,pst:PSPTO_3981
36,pst:PSPTO_4147
37,pst:PSPTO_4183
38,pst:PSPTO_4217
39,pst:PSPTO_4425
40,pst:PSPTO_4426
41,pst:PSPTO_4429
42,pst:PSPTO_4473
43,pst:PSPTO_4474
44,pst:PSPTO_4475
45,pst:PSPTO_4487
46,pst:PSPTO_4491
47,pst:PSPTO_4812
48,pst:PSPTO_4814
49,pst:PSPTO_4930
50,pst:PSPTO_4932
51,pst:PSPTO_4933
52,pst:PSPTO_5136
53,pst:PSPTO_5137
54,pst:PSPTO_5138
55,pst:PSPTO_0537
56,pst:PSPTO_0539
57,pst:PSPTO_5516
58,pst:PSPTO_5614
59,pst:PSPTO_5615
60,pst:PSPTO_0609
61,pst:PSPTO_0616
62,pst:PSPTO_0617
63,pst:PSPTO_0619
64,pst:PSPTO_0620
65,pst:PSPTO_0621
66,pst:PSPTO_0622
67,pst:PSPTO_0625
68,pst:PSPTO_0626
69,pst:PSPTO_0627
70,pst:PSPTO_0628
71,pst:PSPTO_0629
72,pst:PSPTO_0630
73,pst:PSPTO_0631
74,pst:PSPTO_0632
75,pst:PSPTO_0633
76,pst:PSPTO_0634
77,pst:PSPTO_0635
78,pst:PSPTO_0636
79,pst:PSPTO_0637
80,pst:PSPTO_0638
81,pst:PSPTO_0639
82,pst:PSPTO_0640
83,pst:PSPTO_0641
84,pst:PSPTO_0642
85,pst:PSPTO_0643
86,pst:PSPTO_0644
87,pst:PSPTO_0645
