rxn,pat,kegg
0,fig|223283.9.peg.1,PSPTO_0001
rxn00642_c,fig|223283.9.peg.1017,
rxn01633_c,fig|223283.9.peg.1017,
171,fig|223283.9.peg.1017,PSPTO_1005
rxn02201_c,fig|223283.9.peg.1052,
172,fig|223283.9.peg.1052,PSPTO_1041
173,fig|223283.9.peg.1063,PSPTO_1051
rxn01456_c,fig|223283.9.peg.1065,
174,fig|223283.9.peg.1065,PSPTO_1053
rxn00283_c,fig|223283.9.peg.108,
11,fig|223283.9.peg.108,PSPTO_0103
rxn02000_c,fig|223283.9.peg.1087,
175,fig|223283.9.peg.1087,PSPTO_1077
rxn01675_c,fig|223283.9.peg.1089,
176,fig|223283.9.peg.1089,PSPTO_1079
rxn02003_c,fig|223283.9.peg.1090,
177,fig|223283.9.peg.1090,PSPTO_1080
rxn03887_c,fig|223283.9.peg.1091,
rxn01997_c,fig|223283.9.peg.1091,
178,fig|223283.9.peg.1091,PSPTO_1081
rxn00770_c,fig|223283.9.peg.1114,
179,fig|223283.9.peg.1114,PSPTO_1104
rxn03908_c,fig|223283.9.peg.1115,
180,fig|223283.9.peg.1115,PSPTO_1105
rxn06591_c,fig|223283.9.peg.1118,
181,fig|223283.9.peg.1118,PSPTO_1108
182,fig|223283.9.peg.1122,PSPTO_1112
rxn00224_c,fig|223283.9.peg.1138,
183,fig|223283.9.peg.1138,PSPTO_1128
184,fig|223283.9.peg.1139,PSPTO_1129
rxn00836_c,fig|223283.9.peg.1142,
185,fig|223283.9.peg.1142,PSPTO_1131
186,fig|223283.9.peg.1148,PSPTO_1136
12,fig|223283.9.peg.116,PSPTO_0112
rxn00173_c,fig|223283.9.peg.1184,
rxn00670_c,fig|223283.9.peg.1184,
187,fig|223283.9.peg.1184,PSPTO_1169
rxn05289_c,fig|223283.9.peg.1195,
188,fig|223283.9.peg.1195,PSPTO_1178
189,fig|223283.9.peg.1199,PSPTO_1182
rxn00297_c,fig|223283.9.peg.1216,
190,fig|223283.9.peg.1216,PSPTO_1196
rxn05313_c,fig|223283.9.peg.122,
13,fig|223283.9.peg.122,PSPTO_0118
rxn01013_c,fig|223283.9.peg.1235,
191,fig|223283.9.peg.1235,PSPTO_1215
rxn01292_c,fig|223283.9.peg.1253,
rxn02155_c,fig|223283.9.peg.1253,
rxn00105_c,fig|223283.9.peg.1253,
rxn00559_c,fig|223283.9.peg.1253,
192,fig|223283.9.peg.1253,PSPTO_1232
rxn00638_c,fig|223283.9.peg.1264,
193,fig|223283.9.peg.1264,PSPTO_1243
194,fig|223283.9.peg.1290,PSPTO_1268
195,fig|223283.9.peg.1293,PSPTO_1271
rxn06493_c,fig|223283.9.peg.1298,
196,fig|223283.9.peg.1298,PSPTO_1276
197,fig|223283.9.peg.1299,PSPTO_1277
rxn00802_c,fig|223283.9.peg.131,
14,fig|223283.9.peg.131,PSPTO_0125
rxn01331_c,fig|223283.9.peg.1310,
rxn00781_c,fig|223283.9.peg.1310,
198,fig|223283.9.peg.1310,PSPTO_1287
