,importance,fraction active in 0,fraction active in 1
rxn02276_c_upper_bound,0.027794046068993057,0.5702127659574469,0.0
rxn09072_c_lower_bound,0.023572715982053103,0.35319148936170214,0.9735849056603774
rxn00993_c_lower_bound,0.023039515848546625,0.5702127659574469,0.0
rxn02276_c_lower_bound,0.021273908117456653,0.5702127659574469,0.0
rxn00993_c_upper_bound,0.020903059956013662,0.5702127659574469,0.0
rxn09072_c_upper_bound,0.018565063279926377,0.35319148936170214,0.9735849056603774
rxn21635_c_upper_bound,0.015912484237768268,0.39574468085106385,0.022641509433962263
rxn10878_c_lower_bound,0.015221606113122036,0.13191489361702127,0.6452830188679245
rxn01418_c_upper_bound,0.015013681954318002,0.4425531914893617,0.0037735849056603774
rxn01827_c_upper_bound,0.014954841494703134,0.425531914893617,0.0
rxn01418_c_lower_bound,0.013516724653505414,0.4425531914893617,0.0037735849056603774
rxn01423_c_lower_bound,0.012409692916584295,0.46382978723404256,0.0037735849056603774
rxn01423_c_upper_bound,0.011964857299981441,0.46382978723404256,0.0037735849056603774
rxn01827_c_lower_bound,0.011497824504804527,0.425531914893617,0.0
rxn10878_c_upper_bound,0.01027595552740485,0.13191489361702127,0.6452830188679245
rxn05144_c_upper_bound,0.009949560374056272,0.3659574468085106,0.018867924528301886
rxn11674_c_lower_bound,0.009896800810848537,0.6680851063829787,0.24150943396226415
rxn00245_c_upper_bound,0.009849520639707227,0.3702127659574468,0.026415094339622643
rxn09472_c_lower_bound,0.007656177824444338,0.4553191489361702,0.9018867924528302
rxn12060_c_upper_bound,0.007138006986314992,0.548936170212766,0.9547169811320755
rxn30478_c_upper_bound,0.007102721969307469,0.4,0.018867924528301886
rxn09460_c_upper_bound,0.006964512413654765,0.4553191489361702,0.9018867924528302
rxn12060_c_lower_bound,0.006408278228325002,0.548936170212766,0.9547169811320755
rxn07429_c_lower_bound,0.006031116076255298,0.3191489361702128,0.0037735849056603774
rxn01626_c_upper_bound,0.0059322925731957,0.2936170212765957,0.0037735849056603774
rxn00383_c_lower_bound,0.005919185553491782,0.4595744680851064,0.879245283018868
rxn09460_c_lower_bound,0.005909305040620333,0.4553191489361702,0.9018867924528302
rxn01934_c_lower_bound,0.005825154163100148,0.6680851063829787,0.24150943396226415
rxn07429_c_upper_bound,0.005680073846323344,0.3191489361702128,0.0037735849056603774
rxn01934_c_upper_bound,0.0055089858210205815,0.6680851063829787,0.24150943396226415
rxn02167_c_lower_bound,0.005227459634569073,0.451063829787234,0.07924528301886792
rxn00680_c_lower_bound,0.004884090173753077,0.2765957446808511,0.0
rxn00654_c_upper_bound,0.004845739321677847,0.2723404255319149,0.0037735849056603774
rxn00541_c_upper_bound,0.004840728655839721,0.5957446808510638,0.9169811320754717
rxn11674_c_upper_bound,0.004631841395334246,0.6680851063829787,0.24150943396226415
rxn01207_c_upper_bound,0.004619628803145293,0.9829787234042553,0.6415094339622641
rxn00676_c_upper_bound,0.004539706517557729,0.7063829787234043,0.27547169811320754
rxn10987_c_upper_bound,0.00453893858018815,0.28936170212765955,0.007547169811320755
rxn01072_c_upper_bound,0.00443207768356355,0.548936170212766,0.9169811320754717
rxn09436_c_upper_bound,0.004411111392973797,0.6978723404255319,0.9962264150943396
rxn00680_c_upper_bound,0.004326339733145399,0.2765957446808511,0.0
rxn06556_c_lower_bound,0.004224963055904255,0.28936170212765955,0.0037735849056603774
rxn01207_c_lower_bound,0.004175529482161397,0.9829787234042553,0.6415094339622641
rxn10987_c_lower_bound,0.004115655328494935,0.28936170212765955,0.007547169811320755
rxn02167_c_upper_bound,0.003995003123837834,0.451063829787234,0.07924528301886792
rxn01199_c_lower_bound,0.003873346563140273,0.3617021276595745,0.05660377358490566
rxn30478_c_lower_bound,0.003715951767010354,0.4,0.018867924528301886
rxn14144_c_upper_bound,0.003712456440660514,0.30638297872340425,0.01509433962264151
rxn01187_c_upper_bound,0.0036676928963929453,0.46382978723404256,0.1811320754716981
rxn09472_c_upper_bound,0.003622797638358792,0.4553191489361702,0.9018867924528302
rxn10008_c_lower_bound,0.0035217529735264456,0.16595744680851063,0.5094339622641509
rxn13943_c_upper_bound,0.003487691413681079,0.2680851063829787,0.011320754716981131
rxn29748_c_upper_bound,0.0034096080667612135,0.23404255319148937,0.0037735849056603774
rxn00835_c_lower_bound,0.0033782029122497803,0.28085106382978725,0.022641509433962263
rxn06556_c_upper_bound,0.0033652476485929333,0.28936170212765955,0.0037735849056603774
rxn00559_c_upper_bound,0.003297975374409154,0.2765957446808511,0.03773584905660377
rxn01072_c_lower_bound,0.0032977602771537802,0.548936170212766,0.9169811320754717
rxn02304_c_lower_bound,0.0032976311723096887,0.9914893617021276,0.7320754716981132
rxn00383_c_upper_bound,0.003236576210792281,0.4595744680851064,0.879245283018868
rxn14144_c_lower_bound,0.0032170435034793157,0.30638297872340425,0.01509433962264151
rxn13149_c_lower_bound,0.0031759884997954457,0.16595744680851063,0.5094339622641509
rxn01014_c_lower_bound,0.0030980596325972058,0.33617021276595743,0.022641509433962263
rxn09436_c_lower_bound,0.003082556563094239,0.6978723404255319,0.9962264150943396
rxn25273_c_upper_bound,0.003051028386266168,0.28085106382978725,0.0
