,importance,fraction active in 0,fraction active in 1
rxn12060_c_lower_bound,0.027647788001520388,0.16455696202531644,0.8245614035087719
rxn00394_c_upper_bound,0.026927327623421426,0.3037974683544304,0.011695906432748537
rxn12060_c_upper_bound,0.02580537868390178,0.16455696202531644,0.8245614035087719
rxn00399_c_upper_bound,0.024042814508024247,0.5126582278481012,0.03216374269005848
rxn00399_c_lower_bound,0.020256113702461817,0.5126582278481012,0.03216374269005848
rxn03990_c_lower_bound,0.013899045658195388,0.310126582278481,0.011695906432748537
rxn11674_c_lower_bound,0.013390982164546397,0.4873417721518987,0.08187134502923976
rxn05303_c_lower_bound,0.011722307424009683,0.18354430379746836,0.0
rxn04702_c_upper_bound,0.011248141367165973,0.36075949367088606,0.03508771929824561
rxn11674_c_upper_bound,0.011185612723145787,0.4873417721518987,0.08187134502923976
rxn01934_c_lower_bound,0.010945262362233095,0.4873417721518987,0.08187134502923976
rxn03990_c_upper_bound,0.0087840566287304,0.310126582278481,0.011695906432748537
rxn01934_c_upper_bound,0.008769972244047415,0.4873417721518987,0.08187134502923976
rxn27379_c_upper_bound,0.008295929692420536,0.1518987341772152,0.0
rxn00245_c_upper_bound,0.008262808479057894,0.4430379746835443,0.07894736842105263
rxn27379_c_lower_bound,0.007894697150249715,0.1518987341772152,0.0
rxn05303_c_upper_bound,0.00737358919632908,0.18354430379746836,0.0
rxn04702_c_lower_bound,0.007270179065301475,0.36075949367088606,0.03508771929824561
rxn10966_c_upper_bound,0.00722398106810518,0.5759493670886076,0.18128654970760233
rxn10966_c_lower_bound,0.007174481855995487,0.5759493670886076,0.18128654970760233
rxn10840_c_upper_bound,0.006684124358852149,0.10759493670886076,0.0029239766081871343
rxn01634_c_upper_bound,0.006120762132558683,0.5379746835443038,0.17543859649122806
rxn12591_c_upper_bound,0.0058839652958803616,0.310126582278481,0.043859649122807015
rxn10840_c_lower_bound,0.005767274735715568,0.10759493670886076,0.0029239766081871343
rxn02304_c_lower_bound,0.005646916058296846,0.9556962025316456,0.6111111111111112
rxn00429_c_lower_bound,0.005549453637178023,0.08227848101265822,0.47368421052631576
rxn01626_c_upper_bound,0.005301159477784693,0.31645569620253167,0.06725146198830409
rxn00134_c_lower_bound,0.005186630389178547,0.31645569620253167,0.04678362573099415
rxn00429_c_upper_bound,0.00501298682156737,0.08227848101265822,0.47368421052631576
rxn00134_c_upper_bound,0.004906952403817119,0.31645569620253167,0.04678362573099415
rxn12591_c_lower_bound,0.004523955191823827,0.310126582278481,0.043859649122807015
rxn00654_c_upper_bound,0.004294677556523312,0.310126582278481,0.06725146198830409
rxn01990_c_lower_bound,0.00424937694919523,0.4620253164556962,0.16666666666666666
rxn11398_c_lower_bound,0.004248036631609604,0.310126582278481,0.05847953216374269
rxn01989_c_upper_bound,0.00423349939283753,0.3860759493670886,0.07894736842105263
rxn00941_c_lower_bound,0.003622223291108636,0.26582278481012656,0.04093567251461988
rxn03991_c_lower_bound,0.0035667098124180737,0.20253164556962025,0.02046783625730994
rxn00471_c_upper_bound,0.0035637209164821383,0.11392405063291139,0.0029239766081871343
rxn01848_c_lower_bound,0.0034986243128183776,0.310126582278481,0.05847953216374269
rxn01015_c_lower_bound,0.0033586254186413478,0.2974683544303797,0.06140350877192982
rxn01848_c_upper_bound,0.003329811650827914,0.310126582278481,0.05847953216374269
rxn11355_c_upper_bound,0.0031944889473243523,0.26582278481012656,0.04093567251461988
rxn11676_c_upper_bound,0.0031857089009956928,0.36075949367088606,0.6345029239766082
rxn11355_c_lower_bound,0.0031397142922383837,0.26582278481012656,0.04093567251461988
rxn05565_c_lower_bound,0.0030953148531295714,0.3037974683544304,0.08771929824561403
rxn10987_c_lower_bound,0.0030744166913096354,0.27848101265822783,0.06140350877192982
rxn02476_c_lower_bound,0.0030672351885658797,0.8291139240506329,1.0
rxn05572_c_upper_bound,0.00305593317846539,0.2721518987341772,0.05263157894736842
rxn13771_c_upper_bound,0.003001586565000723,0.5569620253164557,0.26900584795321636
rxn03750_c_lower_bound,0.002975156157205818,0.379746835443038,0.1111111111111111
rxn02304_c_upper_bound,0.002959160540354888,0.9556962025316456,0.6111111111111112
rxn01647_c_lower_bound,0.0029145782041633626,0.2721518987341772,0.049707602339181284
rxn00718_c_upper_bound,0.0028661459094818857,0.24050632911392406,0.03508771929824561
rxn01803_c_upper_bound,0.0028110021301344,0.17088607594936708,0.0
rxn04455_c_upper_bound,0.0027999435003277584,0.17088607594936708,0.0
rxn05565_c_upper_bound,0.002787656707734089,0.3037974683544304,0.08771929824561403
rxn00718_c_lower_bound,0.002778758735296042,0.24050632911392406,0.03508771929824561
rxn01015_c_upper_bound,0.0027507558833519867,0.2974683544303797,0.06140350877192982
rxn00941_c_upper_bound,0.0027089625172067107,0.26582278481012656,0.04093567251461988
rxn04455_c_lower_bound,0.002699099121593365,0.17088607594936708,0.0
rxn29748_c_upper_bound,0.0026492489592736244,0.2721518987341772,0.07309941520467836
rxn01803_c_lower_bound,0.002637714841169155,0.17088607594936708,0.0
rxn02476_c_upper_bound,0.002625611022391073,0.8291139240506329,1.0
