Species,Pathway,Genes,Type
DC3000,2-Oxocarboxylic acid metabolism,24,Carbohydrate Metabolism
DC3000,ABC transporters,178,Transport
DC3000,Acarbose and validamycin biosynthesis,2,Antibiotic Metabolism
DC3000,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",4,Nucleotide Metabolism
DC3000,"Alanine, aspartate and glutamate metabolism",19,Amino Acid Metabolism
DC3000,alpha-Linolenic acid metabolism,1,Fatty Acid  Metabolism
DC3000,Amino sugar and nucleotide sugar metabolism,22,Nucleotide Metabolism
DC3000,Aminoacyl-tRNA biosynthesis,23,Amino Acid Metabolism
DC3000,Aminobenzoate degradation,9,Amino Acid Metabolism
DC3000,Arachidonic acid metabolism,3,Fatty Acid  Metabolism
DC3000,Arginine and proline metabolism,20,Amino Acid Metabolism
DC3000,Arginine biosynthesis,20,Amino Acid Metabolism
DC3000,"Arginine biosynthesis, ornithine => arginine",3,Amino Acid Metabolism
DC3000,Ascorbate and aldarate metabolism,12,Carbohydrate Metabolism
DC3000,"Assimilatory sulfate reduction, sulfate => H2S",4,Sulfur Metabolism
DC3000,Atrazine degradation,5,Triazine Metabolism
DC3000,Bacterial chemotaxis,57,Chemotaxis
DC3000,Bacterial secretion system,42,Secretory System
DC3000,Base excision repair,11,Nucleic Acid Maintainance
DC3000,Benzoate degradation,18,Carbohydrate Metabolism
DC3000,beta-Alanine metabolism,14,Amino Acid Metabolism
DC3000,beta-Lactam resistance,9,Antibiotic Metabolism
DC3000,beta-Oxidation,7,Fatty Acid  Metabolism
DC3000,"beta-Oxidation, acyl-CoA synthesis",2,Fatty Acid  Metabolism
DC3000,"Betaine biosynthesis, choline => betaine",2,Plant Metabolite Degredation
DC3000,Biofilm formation - Pseudomonas aeruginosa,49,Biofilm Formation
DC3000,Biosynthesis of amino acids,96,Amino Acid Metabolism
DC3000,Biosynthesis of antibiotics,177,Antibiotic Metabolism
DC3000,Biosynthesis of secondary metabolites,242,Secondary Metabolite Metabolism
DC3000,Biosynthesis of secondary metabolites - other antibiotics,3,Antibiotic Metabolism
DC3000,Biosynthesis of secondary metabolites - unclassified,2,Secondary Metabolite Metabolism
DC3000,Biosynthesis of siderophore group nonribosomal peptides,7,Iron Metabolism
DC3000,Biosynthesis of unsaturated fatty acids,1,Fatty Acid  Metabolism
DC3000,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",3,Cofactor Metabolism
DC3000,Biotin metabolism,15,Cofactor Metabolism
DC3000,Butanoate metabolism,26,Carbohydrate Metabolism
DC3000,C5-Branched dibasic acid metabolism,7,Carbohydrate Metabolism
DC3000,Caprolactam degradation,7,Antibiotic Metabolism
DC3000,Carbapenem biosynthesis,1,Antibiotic Metabolism
DC3000,Carbon metabolism,85,Carbon Metabolism
DC3000,Cationic antimicrobial peptide (CAMP) resistance,11,Antibiotic Metabolism
DC3000,Chloroalkane and chloroalkene degradation,7,Parrafin Metabolism
DC3000,Chlorocyclohexane and chlorobenzene degradation,2,Parrafin Metabolism
DC3000,"Citrate cycle (TCA cycle, Krebs cycle)",16,TCA
DC3000,Citrate cycle (TCA cycle),19,TCA
DC3000,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",4,TCA
DC3000,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",12,TCA
DC3000,CMP-KDO biosynthesis,4,Nucleotide Metabolism
DC3000,"Cobalamin biosynthesis, cobinamide => cobalamin",9,Cofactor Metabolism
DC3000,"Coenzyme A biosynthesis, pantothenate => CoA",4,Cofactor Metabolism
DC3000,Cyanoamino acid metabolism,9,Amino Acid Metabolism
DC3000,Cysteine and methionine metabolism,34,Amino Acid Metabolism
DC3000,"Cysteine biosynthesis, serine => cysteine",2,Amino Acid Metabolism
DC3000,"Cytochrome c oxidase, cbb3-type",4,Cofactor Metabolism
DC3000,Cytochrome o ubiquinol oxidase,4,Cofactor Metabolism
DC3000,D-Alanine metabolism,3,Amino Acid Metabolism
DC3000,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P",6,Carbohydrate Metabolism
DC3000,D-Glutamine and D-glutamate metabolism,4,Amino Acid Metabolism
DC3000,Degradation of aromatic compounds,15,Aromatic Coumpound Metabolism
DC3000,"DNA polymerase III complex, bacteria",7,Nucleic Acid Maintainance
DC3000,DNA replication,15,Nucleic Acid Maintainance
DC3000,dTDP-L-rhamnose biosynthesis,5,Nucleotide Metabolism
DC3000,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",6,Carbohydrate Metabolism
DC3000,Fatty acid biosynthesis,18,Fatty Acid  Metabolism
DC3000,"Fatty acid biosynthesis, elongation",9,Fatty Acid  Metabolism
DC3000,"Fatty acid biosynthesis, initiation",7,Fatty Acid  Metabolism
DC3000,Fatty acid degradation,17,Fatty Acid  Metabolism
DC3000,Fatty acid metabolism,28,Fatty Acid  Metabolism
DC3000,Flagellar assembly,36,Chemotaxis
DC3000,Fluorobenzoate degradation,1,Aromatic Coumpound Metabolism
DC3000,Folate biosynthesis,29,Cofactor Metabolism
DC3000,Fructose and mannose metabolism,19,Carbohydrate Metabolism
DC3000,Galactose metabolism,13,Carbohydrate Metabolism
DC3000,Geraniol degradation,6,Plant Metabolite Degredation
DC3000,"Gluconeogenesis, oxaloacetate => fructose-6P",6,Carbohydrate Metabolism
DC3000,"Glutathione biosynthesis, glutamate => glutathione",1,Amino Acid Metabolism
DC3000,Glutathione metabolism,21,Amino Acid Metabolism
DC3000,Glycerolipid metabolism,12,Glycerolipid Metabolism
DC3000,Glycerophospholipid metabolism,18,Glycerolipid Metabolism
DC3000,"Glycine, serine and threonine metabolism",41,Amino Acid Metabolism
DC3000,Glycolysis / Gluconeogenesis,23,Carbohydrate Metabolism
DC3000,"Glycolysis, core module involving three-carbon compounds",5,Carbohydrate Metabolism
DC3000,Glyoxylate and dicarboxylate metabolism,36,Carbohydrate Metabolism
DC3000,"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",5,Nucleotide Metabolism
DC3000,Histidine metabolism,7,Amino Acid Metabolism
DC3000,Homologous recombination,21,Nucleic Acid Maintainance
DC3000,"Imipenem resistance, repression of porin OprD",7,Antibiotic Metabolism
DC3000,Inositol phosphate metabolism,14,Aromatic Coumpound Metabolism
DC3000,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",5,Amino Acid Metabolism
DC3000,"Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate",4,Amino Acid Metabolism
DC3000,Limonene and pinene degradation,8,Plant Metabolite Degredation
DC3000,Lipopolysaccharide biosynthesis,17,Lipopolysaccharide Metabolism
DC3000,Lysine biosynthesis,15,Amino Acid Metabolism
DC3000,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",12,Amino Acid Metabolism
DC3000,Lysine degradation,21,Amino Acid Metabolism
DC3000,Methane metabolism,17,Carbon Metabolism
DC3000,Mismatch repair,17,Nucleic Acid Maintainance
DC3000,Monobactam biosynthesis,8,Antibiotic Metabolism
DC3000,"NAD biosynthesis, aspartate => NAD",3,Cofactor Metabolism
DC3000,"NADH:quinone oxidoreductase, prokaryotes",13,Cofactor Metabolism
DC3000,Naphthalene degradation,2,Aromatic Coumpound Metabolism
DC3000,Nicotinate and nicotinamide metabolism,17,Cofactor Metabolism
DC3000,Nitrogen metabolism,15,Nitrogen Metabolism
DC3000,Nitrotoluene degradation,2,Aromatic Coumpound Metabolism
DC3000,Non-homologous end-joining,2,Antibiotic Metabolism
DC3000,Novobiocin biosynthesis,4,Nucleic Acid Maintainance
DC3000,Nucleotide excision repair,8,Nucleic Acid Maintainance
DC3000,"Nucleotide sugar biosynthesis, glucose => UDP-glucose",3,Nucleotide Metabolism
DC3000,One carbon pool by folate,15,Cofactor Metabolism
DC3000,"Ornithine biosynthesis, glutamate => ornithine",7,Carbohydrate Metabolism
DC3000,Oxidative phosphorylation,28,Oxidative Phosphorylation
DC3000,Pantothenate and CoA biosynthesis,13,Cofactor Metabolism
DC3000,Pentose and glucuronate interconversions,8,Carbohydrate Metabolism
DC3000,Pentose phosphate pathway,29,Carbohydrate Metabolism
DC3000,Pentose phosphate pathway (Pentose phosphate cycle),11,Carbohydrate Metabolism
DC3000,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",5,Carbohydrate Metabolism
DC3000,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",5,Carbohydrate Metabolism
DC3000,Peptidoglycan biosynthesis,16,Peptidoglycan Metabolism
DC3000,"Phenylalanine biosynthesis, chorismate => phenylalanine",4,Amino Acid Metabolism
DC3000,Phenylalanine metabolism,14,Amino Acid Metabolism
DC3000,"Phenylalanine, tyrosine and tryptophan biosynthesis",24,Amino Acid Metabolism
DC3000,"Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate",2,Cofactor Metabolism
DC3000,"Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",3,Glycerolipid Metabolism
DC3000,Phosphonate and phosphinate metabolism,8,Phosphate Metabolism
DC3000,Phosphotransferase system (PTS),3,Phosphate Metabolism
DC3000,"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP",10,Fatty Acid  Metabolism
DC3000,Plant-pathogen interaction,8,Plant Metabolite Degredation
DC3000,Polyketide sugar unit biosynthesis,5,Aromatic Coumpound Metabolism
DC3000,Porphyrin and chlorophyll metabolism,28,Aromatic Coumpound Metabolism
DC3000,"Proline biosynthesis, glutamate => proline",1,Amino Acid Metabolism
DC3000,Propanoate metabolism,28,Carbohydrate Metabolism
DC3000,Protein export,10,Transport
DC3000,"PRPP biosynthesis, ribose 5P => PRPP",1,Carbohydrate Metabolism
DC3000,Purine metabolism,51,Nucleotide Metabolism
DC3000,"Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P",6,Carbohydrate Metabolism
DC3000,Pyrimidine metabolism,27,Nucleotide Metabolism
DC3000,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",3,Nucleotide Metabolism
DC3000,Pyruvate metabolism,34,Carbohydrate Metabolism
