Pathway,Genes,Type,,,,,,
2-Oxocarboxylic acid metabolism,24,Carbohydrate Metabolism,,,,,,
ABC transporters,151,Transport,,,,,,
Acarbose and validamycin biosynthesis,4,Antibiotic Metabolism,,,,,,
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",6,Nucleotide Metabolism,,,,,,
ADP-L-glycero-D-manno-heptose biosynthesis,4,Carbohydrate Metabolism,,,,,,
"Alanine, aspartate and glutamate metabolism",32,Amino Acid Metabolism,,,,,,
alpha-Linolenic acid metabolism,3,Fatty Acid Metabolism,,,,,,
Amino sugar and nucleotide sugar metabolism,43,Nucleotide Metabolism,,,,,,
Aminoacyl-tRNA biosynthesis,2,Amino Acid Metabolism,,,,,,
Aminobenzoate degradation,5,Amino Acid Metabolism,,,,,,
Arachidonic acid metabolism,2,Fatty Acid Metabolism,,,,,,
Arginine and proline metabolism,25,Amino Acid Metabolism,,,,,,
Arginine biosynthesis,16,Amino Acid Metabolism,,,,,,
"Arginine biosynthesis, ornithine => arginine",4,Amino Acid Metabolism,,,,,,
Ascorbate and aldarate metabolism,18,Carbohydrate Metabolism,,,,,,
"Ascorbate degradation, ascorbate => D-xylulose-5P",11,Carbohydrate Metabolism,,,,,,
"Assimilatory sulfate reduction, sulfate => H2S",6,Sulfur Metabolism,,,,,,
Bacterial chemotaxis,4,Interaction with the Environment,,,,,,
Bacterial secretion system,1,Virulence,,,,,,
Base excision repair,1,Nucleic Acid Maintainance,,,,,,
Benzoate degradation,10,Carbohydrate Metabolism,,,,,,
beta-Alanine metabolism,15,Amino Acid Metabolism,,,,,,
beta-Lactam resistance,16,Antibiotic Metabolism,,,,,,
beta-Oxidation,6,Fatty Acid Metabolism,,,,,,
"beta-Oxidation, acyl-CoA synthesis",1,Fatty Acid Metabolism,,,,,,
"Betaine biosynthesis, choline => betaine",2,Plant Metabolite Metabolism,,,,,,
Biofilm formation - Escherichia coli,12,Interaction with the Environment,,,,,,
Biosynthesis of amino acids,114,Amino Acid Metabolism,,,,,,
Biosynthesis of antibiotics,202,Antibiotic Metabolism,,,,,,
Biosynthesis of secondary metabolites,291,Secondary Metabolite Metabolism,,,,,,
Biosynthesis of siderophore group nonribosomal peptides,7,Iron Metabolism,,,,,,
Biosynthesis of unsaturated fatty acids,2,Fatty Acid Metabolism,,,,,,
"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",4,Cofactor Metabolism,,,,,,
Biotin metabolism,12,Cofactor Metabolism,,,,,,
Butanoate metabolism,34,Carbohydrate Metabolism,,,,,,
"C10-C20 isoprenoid biosynthesis, bacteria",2,Carbon Metabolism,,,,,,
"C5 isoprenoid biosynthesis, non-mevalonate pathway",8,Carbon Metabolism,,,,,,
C5-Branched dibasic acid metabolism,9,Carbohydrate Metabolism,,,,,,
"CAM (Crassulacean acid metabolism), dark",2,Carbohydrate Metabolism,,,,,,
Caprolactam degradation,3,Antibiotic Metabolism,,,,,,
Carbapenem biosynthesis,2,Antibiotic Metabolism,,,,,,
Carbon metabolism,103,Carbon Metabolism,,,,,,
Cationic antimicrobial peptide (CAMP) resistance,19,Antibiotic Metabolism,,,,,,
Chloroalkane and chloroalkene degradation,4,Carbon Metabolism,,,,,,
"Citrate cycle (TCA cycle, Krebs cycle)",22,Core Metabolism,,,,,,
Citrate cycle (TCA cycle),26,Core Metabolism,,,,,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",4,Core Metabolism,,,,,,
"Citrate cycle, second carbon oxidation, 2-oxogluterate => oxaloacetate",18,Core Metabolism,,,,,,
CMP-KDO biosynthesis,4,Nucleotide Metabolism,,,,,,
"Coenzyme A biosynthesis, pantothenate => CoA",4,Cofactor Metabolism,,,,,,
Cyanoamino acid metabolism,7,Amino Acid Metabolism,,,,,,
Cysteine and methionine metabolism,33,Amino Acid Metabolism,,,,,,
"Cysteine biosynthesis, serine => cysteine",2,Amino Acid Metabolism,,,,,,
Cytochrome bd ubiquinol oxidase,5,Cofactor Metabolism,,,,,,
Cytochrome o ubiquinol oxidase,4,Cofactor Metabolism,,,,,,
D-Alanine metabolism,4,Amino Acid Metabolism,,,,,,
"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P",5,Carbohydrate Metabolism,,,,,,
"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P",5,Carbohydrate Metabolism,,,,,,
"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",5,Carbohydrate Metabolism,,,,,,
D-Glutamine and D-glutamate metabolism,5,Amino Acid Metabolism,,,,,,
Degradation of aromatic compounds,15,Aromatic Coumpound Metabolism,,,,,,
Dioxin degradation,3,Aromatic Coumpound Metabolism,,,,,,
"Dissimilatory nitrate reduction, nitrate => ammonia",11,Nitrogen Metabolism,,,,,,
DNA replication,1,Nucleic Acid Maintainance,,,,,,
dTDP-L-rhamnose biosynthesis,6,Nucleotide Metabolism,,,,,,
"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",4,Carbohydrate Metabolism,,,,,,
Ether lipid metabolism,1,Fatty Acid Metabolism,,,,,,
"F-type ATPase, prokaryotes and chloroplasts",8,Core Metabolism,,,,,,
Fatty acid biosynthesis,13,Fatty Acid Metabolism,,,,,,
"Fatty acid biosynthesis, elongation",6,Fatty Acid Metabolism,,,,,,
"Fatty acid biosynthesis, initiation",6,Fatty Acid Metabolism,,,,,,
Fatty acid degradation,14,Fatty Acid Metabolism,,,,,,
Fatty acid metabolism,20,Fatty Acid Metabolism,,,,,,
Folate biosynthesis,24,Cofactor Metabolism,,,,,,
Fructose and mannose metabolism,40,Carbohydrate Metabolism,,,,,,
"Fumarate reductase, prokaryotes",4,Carbohydrate Metabolism,,,,,,
GABA (gamma-Aminobutyrate) shunt,5,Amino Acid Metabolism,,,,,,
"GABA biosynthesis, prokaryotes, putrescine => GABA",4,Amino Acid Metabolism,,,,,,
"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",4,Carbohydrate Metabolism,,,,,,
Galactose metabolism,23,Carbohydrate Metabolism,,,,,,
Geraniol degradation,5,Plant Metabolite Metabolism,,,,,,
"Gluconeogenesis, oxaloacetate => fructose-6P",12,Carbohydrate Metabolism,,,,,,
"Glutathione biosynthesis, glutamate => glutathione",2,Amino Acid Metabolism,,,,,,
Glutathione metabolism,16,Amino Acid Metabolism,,,,,,
Glycerolipid metabolism,13,Glycerolipid Metabolism,,,,,,
Glycerophospholipid metabolism,25,Glycerolipid Metabolism,,,,,,
"Glycine, serine and threonine metabolism",36,Amino Acid Metabolism,,,,,,
"Glycogen biosynthesis, glucose-1P => glycogen/starch",4,Carbohydrate Metabolism,,,,,,
"Glycogen degradation, glycogen => glucose-6P",5,Carbohydrate Metabolism,,,,,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",14,Core Metabolism,,,,,,
Glycolysis / Gluconeogenesis,40,Core Metabolism,,,,,,
"Glycolysis, core module involving three-carbon compounds",8,Core Metabolism,,,,,,
Glyoxylate and dicarboxylate metabolism,40,Carbohydrate Metabolism,,,,,,
Glyoxylate cycle,7,Carbohydrate Metabolism,,,,,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",6,Nucleotide Metabolism,,,,,,
"Heme biosynthesis, plants and bacteria, glutamate => heme",11,Iron Metabolism,,,,,,
"Histidine biosynthesis, PRPP => histidine",8,Amino Acid Metabolism,,,,,,
Histidine metabolism,8,Amino Acid Metabolism,,,,,,
Inositol phosphate metabolism,3,Aromatic Coumpound Metabolism,,,,,,
"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",9,Amino Acid Metabolism,,,,,,
"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",9,Virulence,,,,,,
"Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate",4,Amino Acid Metabolism,,,,,,
Limonene and pinene degradation,3,Plant Metabolite Metabolism,,,,,,
Lipoic acid metabolism,3,Fatty Acid Metabolism,,,,,,
Lipopolysaccharide biosynthesis,35,Virulence,,,,,,
Lysine biosynthesis,13,Amino Acid Metabolism,,,,,,
"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",11,Amino Acid Metabolism,,,,,,
Lysine degradation,15,Amino Acid Metabolism,,,,,,
"Menaquinone biosynthesis, chorismate => menaquinol",10,Cofactor Metabolism,,,,,,
Methane metabolism,30,Carbon Metabolism,,,,,,
"Methionine biosynthesis, apartate => homoserine => methionine",9,Amino Acid Metabolism,,,,,,
Mismatch repair,1,Nucleic Acid Maintainance,,,,,,
Monobactam biosynthesis,8,Antibiotic Metabolism,,,,,,
"Multidrug resistance, efflux pump AcrEF-TolC",1,Antibiotic Metabolism,,,,,,
"Multidrug resistance, efflux pump MdtEF-TolC",1,Antibiotic Metabolism,,,,,,
"Multidrug resistance, repression of porin OmpF",1,Antibiotic Metabolism,,,,,,
"NAD biosynthesis, aspartate => NAD",5,Cofactor Metabolism,,,,,,
"NADH:quinone oxidoreductase, prokaryotes",13,Cofactor Metabolism,,,,,,
Naphthalene degradation,4,Aromatic Coumpound Metabolism,,,,,,
"Second carbon oxidation, 2-oxoglutarate => oxaloacetate",18,Carbohydrate Metabolism,,,,,,
Secondary bile acid biosynthesis,1,Fatty Acid Metabolism,,,,,,
Synthesis of Secondary metabolites,294,Secondary Metabolite Metabolism,,,,,,
Nicotinate and nicotinamide metabolism,22,Cofactor Metabolism,,,,,,
Nitrogen metabolism,21,Nitrogen Metabolism,,,,,,
Nitrotoluene degradation,5,Aromatic Coumpound Metabolism,,,,,,
Novobiocin biosynthesis,4,Antibiotic Metabolism,,,,,,
Nucleotide excision repair,1,Nucleic Acid Maintainance,,,,,,
"Nucleotide sugar biosynthesis, galactose => UDP-galactose",2,Nucleotide Metabolism,,,,,,
"Nucleotide sugar biosynthesis, glucose => UDP-glucose",3,Nucleotide Metabolism,,,,,,
One carbon pool by folate,13,Carbon Metabolism,,,,,,
"Ornithine biosynthesis, glutamate => ornithine",5,Amino Acid Metabolism,,,,,,
Other glycan degradation,1,Carbohydrate Metabolism,,,,,,
Oxidative phosphorylation,42,Core Metabolism,,,,,,
Pantothenate and CoA biosynthesis,22,Cofactor Metabolism,,,,,,
"Pantothenate biosynthesis, valine/L-aspartate => pantothenate",5,Cofactor Metabolism,,,,,,
Pentose and glucuronate interconversions,30,Carbohydrate Metabolism,,,,,,
Pentose phosphate pathway,31,Carbohydrate Metabolism,,,,,,
Pentose phosphate pathway (Pentose phosphate cycle),11,Carbohydrate Metabolism,,,,,,
"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",7,Carbohydrate Metabolism,,,,,,
"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",3,Carbohydrate Metabolism,,,,,,
Peptidoglycan biosynthesis,23,Virulence,,,,,,
"Phenylalanine biosynthesis, chorismate => phenylalanine",3,Amino Acid Metabolism,,,,,,
Phenylalanine metabolism,30,Amino Acid Metabolism,,,,,,
"Phenylalanine, tyrosine and tryptophan biosynthesis",21,Amino Acid Metabolism,,,,,,
"Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate",2,Cofactor Metabolism,,,,,,
"Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",3,Glycerolipid Metabolism,,,,,,
Phosphonate and phosphinate metabolism,9,Phosphate Metabolism,,,,,,
Phosphotransferase system (PTS),30,Phosphate Metabolism,,,,,,
"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP",7,Fatty Acid Metabolism,,,,,,
"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine",5,Virulence,,,,,,
Polyketide sugar unit biosynthesis,6,Aromatic Coumpound Metabolism,,,,,,
Porphyrin and chlorophyll metabolism,21,Aromatic Coumpound Metabolism,,,,,,
"Proline biosynthesis, glutamate => proline",3,Amino Acid Metabolism,,,,,,
Propanoate metabolism,37,Carbohydrate Metabolism,,,,,,
"PRPP biosynthesis, ribose 5P => PRPP",1,Carbohydrate Metabolism,,,,,,
Purine metabolism,68,Nucleotide Metabolism,,,,,,
"Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P",6,Carbohydrate Metabolism,,,,,,
