Pathway,Genes,Type
2-Oxocarboxylic acid metabolism,15,Carbohydrate Metabolism
ABC transporters,47,Transport
Acarbose and validamycin biosynthesis,2,Antibiotic Metabolism
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",5,Nucleotide Metabolism
"Alanine, aspartate and glutamate metabolism",22,Amino Acid Metabolism
alpha-Linolenic acid metabolism,1,Fatty Acid Metabolism
Amino sugar and nucleotide sugar metabolism,12,Nucleotide Metabolism
Aminobenzoate degradation,1,Amino Acid Metabolism
Arginine and proline metabolism,18,Amino Acid Metabolism
Arginine biosynthesis,16,Amino Acid Metabolism
"Arginine biosynthesis, ornithine => arginine",3,Amino Acid Metabolism
Ascorbate and aldarate metabolism,5,Carbohydrate Metabolism
"Assimilatory sulfate reduction, sulfate => H2S",3,Sulfur Metabolism
Atrazine degradation,5,Nitrogen Metabolism
Bacterial chemotaxis,1,Interaction with the Environment
Benzoate degradation,10,Carbohydrate Metabolism
beta-Alanine metabolism,10,Amino Acid Metabolism
beta-Lactam resistance,1,Antibiotic Metabolism
beta-Oxidation,2,Fatty Acid Metabolism
"beta-Oxidation, acyl-CoA synthesis",2,Fatty Acid Metabolism
Biofilm formation - Pseudomonas aeruginosa,4,Interaction with the Environment
Biosynthesis of amino acids,77,Amino Acid Metabolism
Biosynthesis of antibiotics,124,Antibiotic Metabolism
Biosynthesis of secondary metabolites,163,Secondary Metabolite Metabolism
Biosynthesis of secondary metabolites - unclassified,1,Secondary Metabolite Metabolism
Biosynthesis of siderophore group nonribosomal peptides,2,Iron Metabolism
"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",3,Cofactor Metabolism
Biotin metabolism,7,Cofactor Metabolism
Butanoate metabolism,16,Carbohydrate Metabolism
C5-Branched dibasic acid metabolism,2,Carbohydrate Metabolism
Caprolactam degradation,1,Antibiotic Metabolism
Carbapenem biosynthesis,2,Antibiotic Metabolism
Carbon metabolism,58,Carbon Metabolism
Cationic antimicrobial peptide (CAMP) resistance,2,Antibiotic Metabolism
Chloroalkane and chloroalkene degradation,4,Carbon Metabolism
