	orthology-transferred GPR	pst-annotation GPR in SEED
rxn01387	PSPTO_3356	PSPTO_3356
rxn00338	PSPTO_4225	PSPTO_4225
rxn00159	PSPTO_3924	PSPTO_3924
rxn00629	PSPTO_2703	PSPTO_2703
rxn00859	PSPTO_4438	PSPTO_4438
rxn05155	PSPTO_2913 and PSPTO_2914 and PSPTO_2915 and PSPTO_2912	PSPTO_3009
rxn00187	PSPTO_0359	PSPTO_0359
rxn05564	PSPTO_5356 or PSPTO_1817	PSPTO_5356
rxn00806	PSPTO_2163	PSPTO_1332
rxn01388	PSPTO_3752	(PSPTO_3752 or  (PSPTO_2016 and PSPTO_3752))
rxn02177	PSPTO_2981 or PSPTO_2981	(PSPTO_1354 or PSPTO_1356 or PSPTO_1859 or PSPTO_2039 or PSPTO_2981)
rxn00165	PSPTO_1886	(PSPTO_1886 and PSPTO_1886)
rxn03884	PSPTO_2178	PSPTO_1302
rxn03135	PSPTO_5337 and PSPTO_5334	PSPTO_5335
rxn01639	PSPTO_5278	PSPTO_5728
rxn00048	PSPTO_0691 and PSPTO_0693	PSPTO_0691
rxn00148	PSPTO_4337	PSPTO_4337
rxn00470	PSPTO_4572	PSPTO_4572
rxn00527	PSPTO_0970 or PSPTO_0096 or PSPTO_1531	PSPTO_5339
rxn00867	PSPTO_5275	PSPTO_5274
rxn00283	PSPTO_0103	PSPTO_0103
rxn05605	PSPTO_0233	(PSPTO_4063 or PSPTO_1682)
rxn02303	PSPTO_0170	PSPTO_0170
rxn01018	PSPTO_5040	PSPTO_5040
rxn05221	PSPTO_5016	PSPTO_5016
rxn01637	PSPTO_1832	PSPTO_2618
rxn03540	PSPTO_1713	PSPTO_1713
rxn00189	PSPTO_2488	PSPTO_2488
rxn01434	PSPTO_4155	PSPTO_4155
rxn05581	PSPTO_4167	PSPTO_4167
rxn05557	PSPTO_1207	PSPTO_1207
rxn01636	PSPTO_4399	PSPTO_4399
rxn00838	PSPTO_4937	PSPTO_4937
rxn02288	PSPTO_5118	PSPTO_5118
rxn01640	PSPTO_5171	PSPTO_5171
rxn01106	PSPTO_5327	PSPTO_5327
rxn00646	PSPTO_0325	PSPTO_0325
rxn00029	PSPTO_5251	PSPTO_5251
rxn02264	PSPTO_0129	PSPTO_0129
rxn00060	PSPTO_0128	PSPTO_0128
rxn00966	PSPTO_5475	PSPTO_5475
rxn00347	PSPTO_5499	PSPTO_5499
rxn00555	PSPTO_5595	PSPTO_5595
