ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
frozenset({'223283.9.peg.1'}),1.13E-13,-4.21E-13,-9.40E-15,-1.93E-13,-3.12E-14,-5.85E-14,-3.91E-13,-2.18E-13,6.59E-13,5.36E-14,-1.85E-13,3.79E-13,1.01E-13,1.07E-13,-1.35E-13,1.20E-13,1.54E-14,-2.65E-15,0,7.92E-13,5.16E-14,5.04E-14,6.29E-14,-3.79E-14,-9.42E-14,-3.79E-29,1.02E-13,-2.15E-13,-6.75E-14,-8.18E-14,1.76E-13,3.70E-14,-2.59E-13,1.39E-14,4.76E-14,-1.36E-13,4.77E-13,-6.19E-14,-9.36E-13,2.72E-13,2.35E-14,6.15E-14,-1.53E-13,-6.94E-16,4.85E-13,3.33E-14,3.86E-14,2.74E-14,-3.00E-14,1.38E-15,-6.15E-15,4.00E-14,-7.31E-14,1.90E-13,-5.21E-14,-3.77E-13,3.11E-14,1.96E-13,-1.33E-29,-4.60E-15,7.09E-14,1.12E-13,2.32E-14,-1.10E-14,9.35E-14,-8.83E-14,-8.34E-14,9.60E-13,-1.43E-13,-1.49E-13,7.34E-14,8.00E-14,1.34E-14,-1.20E-13,-1.07E-13,1.10E-13,1.07E-13,-2.16E-13,-1.62E-13,5.98E-14,-2.06E-13,1.15E-14,1.11E-14,6.92E-14,1.23E-13,-2.69E-14,2.39E-14,-2.56E-15,9.33E-15,-1.70E-13,-8.27E-14,,,,,,,,,,0
frozenset({'223283.9.peg.1290'}),9.25E-14,-1.71E-12,-1.01E-13,-2.72E-13,0,-9.37E-14,2.57E-14,-1.96E-13,-1.46E-13,-8.14E-14,-1.22E-14,3.46E-13,-3.51E-13,-2.18E-13,-4.22E-13,1.50E-13,-2.70E-13,-3.64E-13,-4.73E-13,-3.99E-13,1.77E-12,5.04E-14,-1.19E-14,1.19E-14,-2.51E-14,-2.47E-28,-3.56E-14,-3.30E-14,1.76E-14,4.02E-14,1.00E-13,-1.34E-13,3.22E-13,-4.84E-14,-3.71E-13,-1.78E-12,2.02E-12,-5.46E-14,-5.89E-14,-1.55E-13,6.53E-14,-2.55E-13,2.97E-14,-7.81E-14,-5.76E-14,2.06E-12,5.43E-14,-1.39E-14,-1.64E-13,2.77E-13,1.59E-13,6.44E-14,1.29E-13,-1.74E-14,8.60E-13,1.16E-12,-2.84E-13,-7.66E-14,-1.46E-13,7.90E-14,-9.87E-14,1.35E-13,1.78E-13,-7.41E-14,-3.50E-13,-1.10E-13,-3.07E-14,1.00E-13,-1.62E-14,-2.08E-13,-5.54E-13,1.38E-13,-4.31E-13,-9.52E-14,-7.06E-13,4.70E-14,2.31E-14,5.18E-13,4.38E-14,-1.60E-14,4.53E-14,3.92E-14,3.10E-13,-1.04E-12,-1.19E-14,-1.43E-14,7.70E-14,-7.81E-13,6.45E-14,5.59E-13,-6.55E-15,-2.77E-14,,,,,,,,,0
frozenset({'223283.9.peg.1494'}),-2.24E-15,-1.24E-12,3.92E-13,1.90E-12,5.45E-14,-7.46E-13,1.43E-13,-2.22E-13,-1.15E-13,-1.10E-13,8.89E-13,1.93E-13,9.00E-14,-1.96E-13,0,5.22E-13,-7.20E-14,-6.84E-13,4.84E-14,-1.70E-13,2.55E-13,6.36E-14,4.16E-14,-4.58E-14,1.62E-13,7.81E-13,1.05E-14,-2.55E-13,-2.86E-13,5.43E-14,3.41E-13,3.30E-14,-7.06E-12,8.53E-14,-1.85E-14,8.34E-13,1.73E-13,4.85E-14,9.39E-13,2.03E-14,8.54E-13,1.11E-12,-2.85E-13,7.84E-15,4.76E-14,4.12E-14,-4.71E-14,-6.40E-14,-2.32E-13,2.49E-12,9.27E-14,1.41E-12,-6.90E-14,2.90E-14,-9.23E-14,-1.49E-14,-2.92E-14,4.57E-14,-1.40E-12,-8.07E-14,2.50E-13,-1.39E-14,6.09E-14,-3.61E-14,3.89E-13,1.39E-13,-1.21E-14,-6.87E-14,-2.59E-14,-1.77E-13,-7.39E-14,-1.22E-14,1.16E-13,-6.36E-13,1.14E-14,2.29E-13,-2.06E-14,-1.41E-13,-2.05E-14,-5.89E-14,-1.88E-13,2.43E-14,7.94E-12,-9.61E-13,-2.31E-13,,,,,,,,,,,,,,,,0
frozenset({'223283.9.peg.1497'}),-2.05E-14,-7.25E-14,1.03E-13,5.16E-14,-1.01E-13,1.93E-14,-7.50E-14,-3.17E-13,7.73E-14,1.90E-14,5.59E-14,7.56E-15,-4.17E-14,-3.38E-14,-7.67E-13,0,-3.03E-14,-1.23E-13,2.20E-14,-2.22E-14,1.96E-14,-2.18E-13,-3.45E-14,1.59E-15,1.88E-14,4.62E-14,-1.27E-13,6.79E-14,5.53E-14,-2.06E-13,-4.27E-13,1.05E-14,5.90E-14,3.98E-14,5.68E-14,-3.65E-14,5.85E-14,-8.37E-14,-1.53E-14,-2.83E-13,-6.10E-13,8.84E-14,-5.18E-14,1.09E-13,-3.40E-14,1.76E-14,5.98E-13,1.32E-14,-1.78E-13,1.11E-13,8.64E-14,1.35E-13,1.97E-14,-1.18E-12,-8.68E-15,1.04E-12,1.00E-12,-7.32E-13,-5.52E-13,8.46E-14,-7.28E-14,1.81E-14,6.06E-15,-3.44E-15,-3.10E-12,-5.00E-13,6.69E-14,2.32E-13,1.08E-13,5.56E-15,-7.80E-14,-2.51E-13,-5.15E-14,-1.24E-13,1.71E-14,-2.29E-14,2.75E-15,-3.95E-14,1.03E-13,1.29E-13,-2.64E-13,-3.97E-14,-1.06E-13,2.35E-14,6.92E-14,4.92E-14,3.02E-13,-1.85E-13,,,,,,,,,,,,,0
frozenset({'223283.9.peg.1522'}),-1.70E-13,-1.35E-13,2.29E-14,-1.58E-12,1.15E-13,4.02E-13,8.79E-14,-2.31E-13,-2.80E-13,9.53E-14,6.74E-14,5.22E-13,-2.65E-13,-4.04E-14,2.69E-14,7.88E-14,4.84E-14,-4.69E-13,-1.87E-13,-2.95E-14,-2.38E-14,3.19E-13,0,-3.54E-14,-7.20E-14,3.43E-14,-2.88E-13,7.54E-13,-3.30E-14,-5.30E-13,-1.47E-13,-2.39E-13,-9.29E-13,-2.66E-14,-7.80E-14,-1.13E-13,-1.34E-13,-2.07E-14,-5.73E-14,-1.28E-13,8.82E-15,4.71E-14,1.00E-14,-1.80E-13,7.74E-14,-5.18E-14,-5.89E-13,1.14E-13,3.54E-14,5.66E-14,-4.93E-14,-3.30E-14,-2.15E-13,1.24E-13,2.08E-13,3.36E-15,3.81E-14,-1.39E-13,6.78E-14,8.84E-14,-2.48E-14,-1.89E-13,-6.24E-15,-1.19E-14,2.58E-14,-9.57E-14,7.26E-14,1.30E-13,-1.42E-13,-1.28E-13,-3.07E-14,-6.64E-13,-1.64E-13,3.16E-14,9.43E-14,1.18E-12,8.73E-14,-1.50E-13,-4.45E-14,1.13E-12,1.41E-13,8.50E-14,2.35E-14,-8.68E-14,1.78E-14,-1.12E-13,-5.33E-14,-7.84E-15,-4.07E-13,2.81E-13,1.34E-14,-5.60E-14,-3.85E-14,-5.96E-14,-4.19E-13,-4.93E-15,-1.56E-14,8.33E-15,,,0
frozenset({'223283.9.peg.1560'}),3.93E-13,-2.13E-13,1.63E-15,-3.04E-13,-7.59E-14,-5.04E-14,-2.42E-14,1.29E-13,-4.01E-13,-6.67E-15,-8.42E-14,3.26E-13,1.63E-13,-2.64E-14,0,-2.62E-13,2.39E-14,7.47E-14,-3.17E-14,2.53E-14,4.53E-13,5.86E-14,1.72E-14,-1.02E-13,-4.99E-13,1.30E-13,-2.06E-13,3.15E-12,-1.66E-14,5.25E-14,-2.72E-14,-1.49E-14,4.27E-13,-5.21E-14,-2.22E-13,4.81E-14,4.33E-14,1.29E-13,-1.27E-13,1.75E-13,8.88E-14,2.17E-14,-1.82E-13,8.09E-14,-1.38E-13,8.36E-14,-7.04E-13,3.44E-13,-1.85E-13,4.37E-14,6.67E-14,2.66E-14,7.01E-14,-1.17E-14,-1.15E-13,-1.39E-15,-3.10E-14,-9.34E-13,6.70E-14,-3.75E-14,2.56E-14,-2.11E-13,-2.72E-14,-3.53E-13,-1.65E-14,4.06E-13,-6.36E-14,-4.53E-13,-4.66E-13,1.13E-13,4.42E-13,2.30E-14,1.14E-12,1.70E-14,5.32E-14,2.64E-14,-7.14E-14,1.55E-13,-2.11E-14,1.43E-14,2.23E-13,-6.38E-14,1.46E-13,,,,,,,,,,,,,,,,,,0
frozenset({'223283.9.peg.1575'}),6.42E-14,-1.63E-12,-4.47E-13,1.49E-13,2.50E-14,1.17E-13,-3.26E-14,-6.31E-14,-6.07E-14,-3.70E-14,-6.74E-14,-1.78E-13,7.57E-14,-8.09E-14,-2.32E-14,-1.51E-14,3.77E-13,-4.54E-14,-2.03E-13,-2.46E-14,-2.60E-14,1.36E-13,0,1.65E-13,-1.68E-15,-1.35E-14,-9.64E-14,1.21E-12,6.60E-14,1.54E-14,-7.84E-14,2.20E-13,-2.66E-14,6.83E-15,-8.15E-14,2.91E-12,9.92E-14,9.00E-13,-3.53E-14,1.76E-13,-3.82E-14,-1.03E-13,5.96E-13,-3.85E-14,-5.89E-13,1.14E-13,1.47E-13,2.39E-13,-3.93E-13,-9.31E-13,-5.48E-14,-4.10E-14,3.33E-13,2.68E-14,-1.39E-13,1.87E-14,3.44E-15,3.82E-13,-2.90E-14,-7.30E-14,-2.04E-13,-2.87E-14,1.81E-14,5.22E-14,-1.97E-13,6.01E-14,1.01E-13,-8.26E-15,-2.06E-14,-1.21E-13,5.52E-13,1.64E-14,-2.04E-13,-4.45E-14,-1.01E-12,3.52E-14,8.46E-15,-6.53E-13,-1.62E-13,2.31E-13,-5.38E-14,5.33E-14,2.11E-14,3.90E-13,-2.19E-13,5.06E-14,-7.97E-14,1.55E-12,3.55E-13,-4.19E-13,-4.93E-15,3.57E-14,-8.15E-14,,,,,,,,0
frozenset({'223283.9.peg.1577'}),-4.09E-14,5.97E-14,-4.18E-14,5.13E-13,1.40E-13,6.08E-14,7.32E-14,1.66E-13,-1.21E-13,1.36E-13,1.19E-13,1.24E-14,4.33E-14,5.52E-14,-2.91E-13,-2.76E-14,-2.70E-14,-1.02E-13,-3.56E-14,1.47E-14,2.64E-14,2.78E-14,-1.37E-14,0,-3.03E-14,-1.81E-13,9.66E-14,7.15E-13,4.77E-14,2.02E-13,4.26E-13,-7.49E-15,-2.67E-14,-1.81E-12,4.63E-14,-1.71E-14,7.04E-12,-5.38E-14,1.76E-14,-5.61E-14,7.81E-14,5.05E-14,7.82E-13,-1.16E-13,2.15E-13,-3.87E-13,-8.04E-14,2.29E-14,-1.67E-13,-4.52E-14,3.59E-13,-5.03E-14,-1.09E-13,5.92E-15,-8.76E-14,-1.51E-14,-7.15E-14,-5.14E-14,1.96E-14,2.87E-14,-5.77E-14,3.79E-15,-9.45E-13,-3.44E-13,9.81E-14,1.34E-13,-2.38E-13,7.89E-14,4.65E-14,2.19E-14,6.04E-14,-3.37E-13,2.84E-14,7.25E-14,6.46E-15,-6.26E-14,-3.80E-15,1.56E-13,3.53E-15,3.54E-14,-1.82E-14,-2.99E-14,5.28E-14,-5.04E-14,4.76E-14,-1.25E-14,-1.52E-14,6.05E-14,-1.82E-14,-1.01E-14,1.56E-13,-1.16E-13,-1.05E-13,3.87E-14,,,,,,,0
frozenset({'223283.9.peg.1663'}),-8.53E-14,1.42E-13,-6.00E-14,2.51E-13,2.71E-30,6.31E-14,0,-1.24E-14,-1.47E-14,-2.79E-14,-3.53E-14,-4.43E-12,5.79E-13,-3.62E-14,-2.08E-14,2.18E-14,-6.07E-14,-1.98E-14,-3.74E-14,5.18E-14,-3.06E-14,6.95E-14,7.10E-14,-3.28E-14,-1.93E-14,1.28E-13,1.86E-15,-6.22E-14,3.79E-14,1.04E-13,1.54E-12,7.30E-14,1.30E-13,-3.90E-13,-8.57E-14,8.29E-15,-4.79E-14,1.61E-13,4.44E-13,-1.86E-13,1.68E-13,-2.73E-12,-5.71E-14,3.41E-14,1.40E-14,1.20E-13,6.58E-14,2.92E-14,3.38E-15,5.13E-14,4.33E-14,2.80E-14,-1.35E-14,-1.72E-14,-7.46E-14,6.94E-14,7.50E-14,-5.51E-15,1.84E-13,1.55E-15,-1.57E-13,-1.12E-14,3.16E-14,-1.04E-14,-1.94E-13,-4.36E-14,-2.47E-13,4.22E-13,-4.13E-14,6.53E-14,1.31E-14,4.26E-13,5.50E-17,2.44E-14,-7.83E-14,1.16E-13,1.09E-13,2.04E-13,2.55E-14,-5.15E-14,-1.24E-14,-1.13E-13,4.21E-13,-1.30E-13,1.39E-12,-6.86E-13,5.49E-15,-1.69E-13,-7.39E-14,7.86E-14,,,,,,,,,,,0
frozenset({'223283.9.peg.1773'}),-1.76E-14,-1.74E-14,7.94E-14,0,-9.10E-17,2.62E-13,6.23E-14,-2.00E-13,-1.93E-14,1.98E-14,9.46E-14,1.77E-13,-2.71E-14,-3.56E-13,-1.00E-13,9.21E-14,-9.37E-13,7.66E-14,7.41E-14,8.94E-14,-2.57E-13,-2.55E-14,-5.34E-14,-7.95E-14,1.49E-14,2.55E-14,9.79E-14,3.29E-14,-2.41E-13,-3.59E-15,-9.59E-15,-2.37E-14,-2.40E-14,7.37E-14,-5.76E-13,-1.81E-14,-2.06E-13,2.17E-13,-1.73E-14,-1.42E-14,-4.38E-14,-3.63E-14,2.78E-12,-8.19E-14,-1.85E-14,-5.04E-15,-5.80E-14,-3.52E-14,1.31E-14,7.20E-13,-2.92E-13,-4.85E-13,1.46E-13,-6.43E-14,2.50E-15,1.09E-13,1.19E-14,-6.64E-14,-6.41E-14,-1.15E-13,-4.99E-14,2.90E-14,1.32E-13,-9.43E-14,2.97E-14,2.44E-14,-1.25E-13,1.62E-14,-7.19E-14,8.22E-15,2.60E-14,1.80E-13,2.53E-14,-1.91E-13,-4.58E-14,1.77E-14,-6.08E-14,5.22E-14,2.44E-15,-5.79E-14,3.83E-14,-1.50E-14,-6.48E-14,1.53E-12,-5.47E-14,4.63E-14,8.88E-14,-2.20E-12,-1.89E-14,-2.33E-13,,,,,,,,,,,0
