ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1'}),3.235720167401215e-13,-5.933699800466727e-14,-2.53729226656182e-14,-1.805538890379997e-15,-3.879862758818686e-14,4.063685872684774e-16,-2.235706861666568e-14,1.406858528278047e-14,4.856355598322671e-15,0.0,4.656939507575289e-17,-3.090456710475213e-16,2.806971370920167e-14,1.35937255015538e-13,9.954861079194068e-15,1.031331074796493e-15,2.074776575082569e-14,5.100180917051805e-15,-7.09705158208235e-15,-9.02708246702986e-15,-2.806802507236369e-14,-3.384540906447186e-14,7.434342559214039e-16,-5.151838495613534e-15,-9.917626693940094e-14,3.498739502486863e-16,1.579976525730554e-14,-9.367631944270244e-14,2.485667913615717e-14,6.947589926615846e-15,6.919580135968993e-14,-1.118470294558617e-14,4.735287256770121e-14,-1.043457867934908e-17,3.460532902117801e-13,2.487812105095833e-15,-3.581038928136685e-14,-1.665800273895888e-15,1.463340268691635e-15,8.746484436152078e-17,-4.762274435953146e-16,-5.599338870108809e-19,4.165507445477547e-16,3.468283503886566e-14,-7.564103025866638e-15,1.783309784391264e-15,-2.557383683770612e-14,9.760786483541635e-14,-5.50847912633767e-16,-5.067236230133356e-14,3.4921525096257e-14,-2.948189370953914e-14,1.617468635119524e-16,3.197355505658395e-14,-6.899027960230972e-16,-8.893872451210563e-15,-4.146205724027813e-14,-2.29747742575512e-15,3.00240562339632e-14,3.174844185362967e-17,-1.734779517488714e-13,-7.894657297115001e-15,6.791447195951589e-15,1.033096269418968e-14,-5.627434113112189e-15,-1.756786832301212e-13,4.069693157225742e-15,-1.288654368144935e-15,3.927127185295521e-14,4.547891592874023e-15,-8.885106638336567e-16,3.708346616946352e-15,1.487695136198593e-14,1.906505857841374e-14,-2.281705037531768e-13,7.415888529339783e-14,9.854538702721714e-16,2.166005990938754e-15,1.503721913377834e-14,-1.10224699777798e-14,6.976547415954996e-16,4.169227881853325e-15,7.377118141989233e-15,-3.729723798923472e-16,-3.878588838442977e-15,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1290'}),-8.140533122931646e-16,-1.47484832780668e-14,0.0,2.641770296169187e-13,2.172192707238431e-13,-2.514418722075408e-16,-2.852639492871444e-15,-1.224324877610719e-15,1.581637998349833e-13,-3.258910497217358e-14,-1.150497633303343e-14,-8.076082540147492e-12,-1.675255293713149e-16,-2.324990799120617e-15,1.101106736284175e-15,-1.589281558732039e-16,2.931724851953432e-15,-2.271069448217397e-16,-4.24555580524634e-14,-1.411810954916887e-13,-1.277258135216604e-16,1.351560292785111e-15,6.749826123160345e-14,4.813282261532607e-16,7.161285464481068e-17,-8.097193195153035e-14,-4.890335976019078e-14,2.604289789289328e-13,7.448233515371494e-15,1.657133982870309e-14,-6.326765347248182e-15,3.156351822709613e-15,4.483103475264157e-14,6.643605235388752e-14,8.442258969102347e-16,3.469656593579052e-16,-2.420966752606658e-15,8.079606663476742e-15,1.747813702032419e-15,-1.817112493532906e-15,-1.36728223585887e-17,-4.404048509664791e-15,2.146878712361653e-14,9.37584744981839e-15,1.463201694570157e-15,2.392808720689894e-14,2.206125824135037e-15,8.548688708892596e-16,1.250597205036802e-15,7.424211620319767e-13,9.610227458643578e-17,4.30900574831673e-14,-2.596110159960254e-16,1.13893650165444e-15,1.071211652004451e-15,1.087093817280763e-13,8.188175229889362e-16,-6.682261050258528e-16,4.392424140600912e-17,-3.418995448867017e-13,2.088206578205809e-17,1.029612636188299e-13,-3.667201451023733e-15,-3.502481463172907e-11,8.655534319487561e-16,4.286044766750629e-15,-2.342484542796295e-15,-1.415014470688362e-12,-1.401507062005303e-14,-2.312506823025865e-14,-1.438542763634431e-13,6.436542252457714e-15,1.618356834629166e-14,4.260018690855404e-14,1.804353839427532e-14,-1.564001655003718e-15,-1.027994382036989e-14,5.143621017981253e-17,-3.139398624626835e-15,-1.209936299702731e-16,7.425990934075347e-17,4.484429223176226e-14,2.84016784885393e-16,6.36778444150106e-16,9.089670963765381e-17,3.056588949378386e-14,-2.086561108244822e-14,-4.778187013752676e-14,,,,,,,,,,,,
frozenset({'223283.9.peg.1455'}),1.836441726048405,1.836441726048275,9.300293499694448,1.83644172604838,1.836441726048496,1.836441726048488,1.836441726048317,21.16923827070211,1.836441726048343,1.836441726048737,1.836441726047468,1.836441726048649,13.12730006729698,1.876431742595007,1.83644172604947,1.83644172604845,1.876431742594845,1.83947261113615,1.838152916857015,1.83644172604844,1.876431742599306,1.876431742594957,1.836441726048388,1.836441726048514,1.83644172604848,1.836441726048542,1.876431742594673,1.836441726048576,1.876431742595606,1.836441726048321,1.836441726044896,1.876431742594955,1.83644172604874,1.836441726047989,1.876431742594932,1.836441726048476,1.836441726047978,1.836441726048473,1.836441726048466,1.876431742593492,12.20556432387521,1.836441726048119,1.876431742594847,1.836441726048243,1.836441726048403,1.876431742594964,1.876431742594367,1.836441726048464,1.876431742594999,1.836441726048937,1.876431742595012,1.836441726047581,1.876431742594796,1.876431742594801,1.836441726047391,1.836441726048437,1.836441726048513,6.436825652166705,1.87643174259487,5.495460446774532,1.836441726048379,1.876431742594905,1.876431742595055,18.54812714101418,1.836441726048774,1.836441726048652,4.983464993814546,6.444507671472433,1.876431742594882,1.836441726048525,1.836441726048231,1.876431742594864,4.981790251801429,5.577946598742928,1.876431742594763,1.836441726048701,1.836441726048624,1.876431742594828,12.10338014995884,1.876431742594839,1.836441726048707,1.876431742594818,1.83644172604863,1.836441726048537,1.836441726048493,1.83644172604858,0.3832612924184958,1.876431742593098,1.836441726048655,1.836441726058443,39.21318517574267,1.83644172604854,0.3832612924183552,1.376787491024677,1.839472611136532,0.3826841902334085,1.876431742594924,,,
frozenset({'223283.9.peg.1494'}),1.601720674100747e-14,2.912410878271881e-14,-6.831670345205225e-15,9.433766731671065e-15,-1.575128783517689e-14,-3.38044321838931e-15,1.276503406501576e-15,5.011402150530405e-15,4.192631507228372e-16,4.239301609792594e-15,1.164914615627452e-13,1.851461302323047e-16,-2.501006510783339e-13,-1.516883632113182e-15,6.139184630121176e-16,-3.888479295629456e-14,4.904036168884408e-14,-3.003681902517814e-13,-1.850264281814611e-14,-8.9478893826129e-16,4.069881315268554e-14,2.815814754566197e-16,0.0,-8.193897539556279e-14,6.534538498157842e-15,5.496043203226042e-16,-1.074030606855822e-14,-3.634461641070908e-13,1.059330753577771e-16,3.664406090028577e-14,1.557992454001305e-15,-4.593179410187365e-14,-4.230168075181356e-14,1.670439156389152e-15,-5.66818806225153e-15,-1.627780826165504e-17,5.483035198371508e-14,9.802193843840742e-15,-1.237431337194282e-16,-1.323837941668891e-15,-8.974846057952641e-15,1.113231382959765e-14,-5.71192003963318e-15,2.137206009576112e-15,-6.811487477710611e-16,5.598307551663585e-15,-3.551950288421238e-14,7.059804311385887e-17,-1.69229645967556e-14,4.325774658550806e-13,1.31426931182544e-13,-1.135841312151122e-16,8.004093035987587e-14,-6.52206532415842e-16,-1.458636490381101e-14,-1.465002743548954e-16,-1.493925389320292e-13,-2.123544935068774e-14,8.885459925479262e-13,1.423563302719533e-14,-5.564926185520829e-16,-4.713919244627602e-16,-9.068680276266481e-15,6.343455514155105e-15,2.347315046766559e-15,-1.576518176956276e-15,1.245990034552606e-15,6.675460593741697e-16,3.372631410166894e-14,2.558405065266216e-14,1.108667740193305e-15,1.918023926891162e-16,-4.671248952567521e-13,1.297595427317911e-16,-5.611942669726104e-15,-3.457795864323619e-15,-1.515466437681994e-16,3.234826072679482e-16,-1.541704467608987e-15,1.210335724549644e-16,4.796321379992573e-14,-2.343404435604332e-13,4.389732910571487e-14,-3.215900810266414e-15,-1.297355319731381e-14,2.594251622477756e-15,-4.66732952735616e-15,,,,,,,,,,,,,
frozenset({'223283.9.peg.1497'}),5.381909932368499e-16,2.389109256559585e-15,-1.544872732412978e-14,-1.079455222704196e-15,3.031936343547099e-16,2.323164235886047e-14,1.240229277249555e-15,-4.751926512222607e-14,-2.63645633302789e-16,-6.683893637002903e-13,-1.954943800356683e-14,4.846064825338808e-15,3.380235275881154e-14,-2.558178139434945e-15,-3.733174498237624e-15,1.671411411452684e-12,-9.12987896269018e-16,4.391207792832887e-13,5.647597128671738e-16,-3.147099170169264e-14,-4.97142186470695e-13,5.128681875713757e-15,-3.486711189113502e-16,-6.359189555107115e-16,1.523622138539118e-14,-3.328776038574942e-14,-4.965783907952933e-14,-3.014750739163075e-15,8.058594721146136e-13,0.0,-3.686145282285358e-15,1.924017604887119e-16,-3.720451771725713e-14,-2.376000271143707e-14,-7.711072543063715e-17,1.690871681539809e-13,7.3177263478035e-14,-9.751201539394898e-14,-1.448615983903668e-15,4.587290495785801e-16,2.923839290386048e-14,2.43906299106398e-14,9.807424916681513e-16,6.1324009205833e-14,1.003553502709264e-14,-8.488522541488228e-16,-9.111399193662643e-16,5.071381648858784e-13,-4.920514549109026e-14,3.437604316095645e-15,-1.363177920506909e-15,-2.549452486075414e-15,7.10950984743937e-17,9.55004384320236e-17,3.772676685106182e-16,2.096200482037176e-13,2.755902855180353e-14,4.735545430779956e-16,-1.421286749528611e-14,-2.094274699649809e-14,-2.96276015912766e-13,3.598303036581369e-16,3.835498793658127e-18,-4.577359268158584e-15,-4.707845170485899e-17,-4.151804632067223e-16,6.577198620069536e-16,-1.002703632821168e-14,4.618941906914293e-12,1.655566951675536e-15,-7.778484080458205e-15,-1.911276157909301e-16,8.991225161200255e-13,-4.179805993315152e-14,9.101142820564193e-15,6.59999170696471e-14,-2.516177660338857e-14,-3.540075754340167e-14,-2.217958573792885e-16,3.373170980922442e-14,1.136026657435794e-16,6.368834426002626e-15,-5.32476910688098e-16,3.601557832391801e-13,5.769479577535035e-14,-7.163175532141906e-15,-7.34035363595911e-15,-2.191132588116304e-14,-5.790049552387802e-14,-6.076502416393276e-16,-1.341614931114371e-16,9.355519513885327e-14,1.911469088927573e-14,-2.811416751662992e-17,-7.564003688775622e-15,,,,,
frozenset({'223283.9.peg.1522'}),0.0,-4.241343280713905e-15,-7.093581619399082e-17,-2.295586911375705e-14,1.051128910523691e-13,4.376860799530904e-14,2.46301057694216e-14,-1.979545711933208e-14,3.287629070499198e-13,1.28927090936646e-14,5.809106223151605e-17,-5.079354011509305e-14,9.058794122807044e-15,-1.629550416991845e-13,-4.540292637987321e-14,-2.061561462745929e-15,2.306345825678327e-14,-4.065298603450144e-14,-3.484256121385063e-15,2.000379220777797e-13,-7.75629069564979e-14,-1.302500206113218e-15,-5.275743181184204e-15,-9.343762719764544e-15,5.848729908732833e-16,-1.366767903303891e-14,-4.361894436478603e-30,-3.025617678376062e-15,2.94434844838343e-13,-1.058830475670104e-11,-6.747348573127944e-14,9.729115537001939e-16,1.559898365993613e-13,5.52781738486465e-15,1.397143492365237e-14,-6.7095821596707e-14,5.748147808639988e-15,-1.161611369432568e-12,-1.499983659395035e-15,1.702237572092691e-13,6.604365273254252e-15,4.387529109422452e-15,4.426726410980098e-13,2.437414473935554e-15,6.482402875784461e-14,-1.732437121252688e-14,2.418390559004017e-14,3.528768048254888e-14,-1.967458331842263e-16,9.052324108233541e-17,3.020469003518329e-15,-1.241677999681545e-15,9.794459492592628e-15,2.219529215596158e-30,-4.266820465005367e-16,-8.042208439543775e-17,-1.664180898945831e-13,-2.532609674657548e-14,2.411965894515713e-13,7.574701118713538e-14,2.121452245918161e-15,9.510048717531856e-14,-5.698666133362412e-16,3.897719516443202e-14,-9.350879830466708e-15,-1.018857476590817e-13,-5.120293449758564e-14,7.973701879807919e-16,-7.414027884212544e-16,-4.67071866455562e-14,1.050780840222175e-14,5.515539926223928e-16,-1.800871790613077e-14,6.311883281150986e-15,1.942558314586838e-11,9.9062330053512e-15,-2.291980561837994e-15,3.278506483053169e-15,-1.286173952215778e-14,-1.169679976505891e-14,6.660366068599377e-14,-5.08637895659189e-14,,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1560'}),0.0,-5.005425720357086e-16,1.533932955705458e-15,-7.150064808541477e-15,2.913264420335758e-13,2.191771514879598e-13,1.262711923076819e-13,-1.94143666443027e-14,-1.021243898923613e-14,-1.18218496009904e-14,-1.048954130562909e-16,-1.561012941045504e-14,-1.047572447076915e-16,1.269353743962316e-16,-2.635670324149148e-14,2.703877127098654e-14,-2.061561462745929e-15,2.735867720339069e-14,2.627253221448974e-16,-7.806498455805297e-14,2.561196698928342e-14,-2.743481084728909e-15,2.019906080305413e-14,2.577952518592437e-16,-2.168637482969391e-16,-1.989891842695608e-13,-8.687250919614476e-15,-2.963696696162675e-14,5.965740248313541e-16,3.576384254744462e-14,9.501558796433407e-17,-8.851911844055907e-14,-1.185499674031484e-15,-3.975134409259246e-16,7.007511889047926e-16,-8.197881636398714e-16,1.154709257493099e-14,5.394381786256474e-15,2.120563883539992e-15,6.857375878117944e-16,-1.531471415762002e-15,5.610141557465442e-16,-9.983481743914752e-14,-6.562551066586504e-13,2.437414473935554e-15,1.730583686331938e-14,-5.862049341081681e-14,-3.037150205986322e-14,2.261452704425527e-16,2.491226844776318e-17,3.753507628825622e-15,-2.489389129764224e-16,1.256770688387967e-14,2.662902193522389e-15,4.897229746296314e-15,2.112642896962339e-14,4.588619613155585e-16,-1.482983499017082e-16,9.956254048155193e-14,2.263197394489511e-14,1.39966199811053e-16,1.041463383567406e-14,-3.090771678996756e-16,-2.714301016086719e-16,-2.216054029440217e-14,-9.11786581337986e-15,-2.001349902014838e-16,-9.437462051119177e-15,-1.910357768607783e-14,1.568855396068199e-15,2.446046829958735e-16,-1.613146886789254e-13,1.123248484375429e-14,-2.914485249941086e-15,5.515539926223928e-16,3.463214981948225e-15,-1.530555457258182e-15,-1.828685331317246e-14,9.9062330053512e-15,3.168241021316586e-15,1.006136211361425e-15,5.195085533507515e-13,1.336580700178983e-14,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1575'}),0.0,-4.013069435831365e-15,-4.563294052604929e-14,-2.164094832798454e-14,-1.068698115059603e-14,4.376860799530904e-14,-1.939781537929578e-14,-4.781761788356726e-14,2.58229096269688e-15,8.17862015704772e-16,-1.561012941045504e-14,7.129483785880544e-14,5.80169960674159e-15,-2.089817497767527e-14,-4.275460645955553e-14,-2.182829784083925e-15,2.306345825678327e-14,-6.356288997078613e-14,-2.966457793389606e-15,1.592453787274882e-13,-7.75629069564979e-14,-1.988026630383332e-15,-5.275743181184204e-15,4.247164872620247e-15,2.226446239745651e-15,6.159593314388697e-16,7.980785776473464e-18,-3.025617678376062e-15,5.451269102583832e-13,-1.058830475670104e-11,-6.747348573127944e-14,6.608556492899288e-16,-7.380996132762928e-16,-6.834818275014852e-14,1.600476358058623e-14,-5.784122551440257e-14,3.944165283195808e-15,2.57038046489696e-16,-1.69079024261139e-15,9.929719170540694e-14,6.604365273254252e-15,-5.081627821039089e-14,4.10320089277602e-13,5.688322059820257e-16,5.682989384827645e-13,3.951599766711037e-12,1.112027801684883e-14,2.996168877519972e-13,-8.392849355507684e-15,-2.489389129764224e-16,1.607465913478127e-13,-2.390286850181347e-16,4.897229746296314e-15,1.374076680951115e-14,6.610183441663109e-15,-3.21688337581751e-16,-1.970342765625615e-13,-4.134170614684658e-14,8.018921813578966e-14,5.330970635583605e-14,-2.728431357510474e-17,-7.872579061590631e-13,2.484992188321923e-28,-5.698666133362412e-16,-1.543083573101147e-16,-9.437462051119177e-15,-3.183929614346305e-14,-8.734556514223117e-14,4.018993529063693e-15,-3.395015769390649e-14,1.050780840222175e-14,-1.804205154725434e-15,5.515539926223928e-16,-1.800871790613077e-14,-1.530555457258182e-15,1.942558314586838e-11,9.9062330053512e-15,-5.260376148941164e-14,-8.950520037262244e-16,3.278506483053169e-15,1.415204681957441e-15,6.24100968650238e-14,,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1577'}),-1.451554196474084e-16,1.414359395239105e-15,8.73476992514629e-14,6.782049754527488e-15,-2.183473655419662e-13,0.0,-8.479836146149111e-14,2.706899442352967e-14,-1.739286018690131e-15,-1.792168855908036e-15,-2.512061218717866e-13,7.505127690716907e-14,-2.654749167243659e-15,8.426939278976575e-16,9.23592881659369e-16,-4.003541558824624e-16,3.125553395014533e-16,5.313440771524702e-15,-5.843292771903949e-16,3.355390906014883e-15,-1.573129246566059e-14,9.551601914837864e-14,-4.634070357073775e-15,4.693676972720339e-15,-1.608983406246121e-16,-1.790029133829988e-13,-3.727590412438376e-16,-3.389786515906617e-15,2.452709672166405e-14,-2.288321796067702e-11,1.741349445600362e-15,3.839787787398952e-12,6.789379923930856e-14,1.776422071547547e-13,-5.583903651513962e-16,1.624381026398698e-16,-6.046272200856379e-17,2.891171496022288e-14,-6.472532946078523e-15,-2.149589598496941e-13,-1.523441894579493e-15,6.719916792186164e-14,3.088929050780975e-15,-5.574071263936e-15,4.911650676670149e-15,2.614486388246422e-13,-3.409689845148502e-16,7.871508117718578e-14,1.298270356002812e-14,5.323754941946855e-13,7.966795480078213e-15,-2.896487241559662e-11,-1.359742540436282e-15,-3.80592699249502e-16,4.318372182218042e-15,1.280100042519427e-11,-1.341835507623436e-13,-2.462561670112598e-13,-4.432163268498284e-16,1.800524580446675e-14,1.400132200383086e-16,-1.884123276548126e-14,-2.856877494501033e-16,3.438911324515313e-13,-1.188851048800823e-15,-2.655781718144442e-14,-1.773801992970126e-16,7.82365706882709e-17,9.980067841219067e-16,3.482119617039376e-15,-6.800572125875463e-14,-1.827500466364945e-15,-4.114294120081418e-14,-6.762376186047072e-19,-6.518816768432826e-14,-1.575835312598668e-14,-1.006846939762471e-13,1.408012075155756e-16,-3.156092788358656e-17,1.488330629375983e-14,1.080755701506409e-15,1.070631841510006e-14,-1.408012075155743e-16,2.757080564152379e-14,-7.614134323292136e-16,3.39214448331185e-15,8.842797402508946e-16,1.30973986140475e-14,-6.350759270597673e-14,,,,,,,,,,,
frozenset({'223283.9.peg.1663'}),9.599874446937168e-16,-1.704040327514787e-14,-1.578159057562574e-13,-1.311260980418895e-16,1.085003670796985e-14,-3.204250778419091e-15,-1.952284602136998e-15,4.422976175538418e-14,4.692548314259837e-15,1.075582847307493e-15,1.931951175899967e-15,-2.03986101205265e-13,0.0,1.246809558165152e-13,-1.25091112795103e-14,-2.734535740602043e-15,4.836202576088241e-16,9.785103929959536e-16,-4.549027440803577e-16,1.009108014479435e-14,3.486711189113502e-16,-1.483634369949452e-14,4.148432950284976e-14,-1.421604933455649e-14,-5.127711644081833e-15,6.475634340949093e-16,-2.821755443008172e-14,4.356639472375568e-17,-5.310528110908742e-18,5.759604794445847e-16,-2.694772091753582e-15,3.361808183159497e-13,2.257873269310717e-14,-2.360516876550459e-14,-7.789111301112203e-16,2.448611724103958e-13,9.886983118579353e-15,9.714030802799347e-17,3.570534640882953e-14,-2.20927153991727e-14,-2.613740582717033e-16,4.513700738051122e-16,2.624274426191481e-15,2.755777000718147e-13,-2.35024561504879e-16,8.56579339886907e-14,-1.260073375351238e-14,2.322449951765367e-15,-2.307247986375997e-13,4.66516470782881e-15,4.69909912987013e-13,5.269726956565909e-16,-1.651500451530483e-14,6.588341354206856e-16,5.333869685657114e-14,-5.238223867948546e-15,7.572713141443635e-15,-7.326899880859634e-17,-3.450458380936438e-16,8.215476766099232e-15,-6.705062308379969e-15,-8.663334970823544e-15,-2.782102056220337e-15,8.991225161200255e-13,7.247890503309448e-15,-1.006279838743438e-14,4.473629027077348e-14,8.645604489671317e-16,5.700113978339305e-14,4.453795687233888e-14,1.110343931387607e-15,-5.78585139555959e-14,-8.819438866742326e-16,-4.729076679289145e-15,1.104314868476425e-14,-5.297597761144199e-14,-6.979352637469317e-15,-1.963750224446652e-14,1.809390485121188e-15,5.909746250409236e-15,1.857847753331147e-15,1.310096314925774e-16,3.60055866371905e-16,2.723435294740079e-14,-8.696324851218593e-16,-7.551180185015973e-15,,,,,,,,,,,,,,
