ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
frozenset({'223283.9.peg.1'}),-2.50E-13,3.16E-14,2.47E-14,4.65E-14,9.00E-14,-3.09E-15,1.21E-13,4.42E-14,1.72E-15,-3.51E-16,-3.58E-15,3.04E-14,-1.27E-13,0,4.17E-13,-1.52E-14,-3.85E-14,9.52E-15,-7.05E-14,4.43E-15,2.25E-15,1.95E-15,2.42E-14,-1.69E-14,-2.57E-17,-1.38E-13,4.13E-15,1.26E-14,-5.22E-16,7.26E-14,6.46E-15,-1.99E-15,2.19E-14,1.16E-13,-1.81E-15,-7.91E-14,2.31E-34,2.65E-15,-1.35E-16,1.10E-15,-9.66E-15,3.47E-15,-4.50E-15,4.51E-14,1.06E-17,7.37E-17,1.48E-15,-7.04E-16,-1.79E-15,6.45E-18,9.11E-16,-1.49E-15,-3.34E-15,-4.76E-14,1.40E-16,4.10E-16,1.35E-15,1.47E-15,-2.45E-14,9.65E-16,1.23E-15,-2.03E-16,8.06E-16,1.50E-15,3.82E-15,-3.14E-13,6.54E-15,-3.98E-15,-2.71E-16,-6.14E-16,9.30E-16,1.15E-15,-5.82E-16,-8.92E-15,-7.06E-17,-2.35E-14,-2.30E-15,-3.43E-16,2.01E-15,3.53E-14,-4.77E-14,-1.22E-14,-8.06E-15,-3.64E-15,3.40E-15,1.38E-15,9.79E-15,4.68E-16,-3.27E-13,-6.40E-17,6.73E-14,4.10E-14,-2.96E-13,1.00E-14,,,,,,,0
frozenset({'223283.9.peg.1290'}),4.79E-12,2.89E-15,-6.07E-14,1.55E-14,-3.89E-14,-1.23E-14,-1.55E-15,1.52E-14,0,1.40E-14,-7.07E-14,2.91E-14,-2.49E-14,-7.49E-16,3.42E-14,-9.09E-15,-1.34E-14,4.37E-16,-1.84E-15,-3.30E-13,-8.58E-15,-2.90E-11,1.82E-17,-2.64E-14,6.14E-14,3.13E-16,-6.01E-16,-1.49E-14,-8.07E-13,-2.01E-17,-2.25E-13,2.39E-14,2.48E-15,-2.42E-14,-3.10E-15,-5.99E-16,-5.83E-15,1.04E-13,-1.41E-12,1.97E-14,1.10E-11,3.36E-14,-1.27E-14,8.13E-16,2.52E-14,-4.96E-15,3.58E-15,-4.68E-15,-6.84E-14,2.59E-14,1.65E-14,-8.59E-16,-5.76E-15,-3.57E-14,3.14E-16,2.82E-14,-1.72E-13,1.93E-13,-4.48E-16,-5.81E-14,9.69E-14,-1.37E-14,2.86E-19,-1.94E-14,-2.87E-14,-7.31E-14,3.31E-15,-3.97E-14,-2.85E-14,1.08E-16,-5.83E-15,-1.62E-15,1.86E-15,-1.07E-15,1.86E-13,-1.85E-14,-1.19E-15,1.58E-13,-1.35E-13,3.63E-15,1.84E-15,-5.04E-15,1.47E-17,-2.68E-13,1.78E-15,5.77E-14,3.00E-14,-1.40E-16,-5.79E-14,2.24E-30,4.80E-17,2.14E-14,-8.16E-17,,,,,,,,0
frozenset({'223283.9.peg.1494'}),-1.49E-13,7.76E-15,-6.07E-15,-1.33E-14,3.19E-16,1.20E-12,1.51E-13,-3.98E-14,-5.03E-15,1.01E-13,0,2.05E-15,2.74E-14,8.18E-13,-2.91E-15,6.87E-14,1.75E-14,-1.65E-14,7.39E-16,2.15E-15,4.81E-16,3.55E-13,1.22E-13,-6.29E-16,5.96E-14,-2.73E-15,5.76E-16,-4.33E-13,-1.05E-15,-3.84E-14,-8.31E-17,-7.86E-16,3.40E-15,-2.17E-16,2.60E-13,1.79E-14,-1.68E-14,-2.19E-14,1.44E-13,1.50E-15,-9.45E-17,1.28E-14,1.73E-14,-1.55E-13,-3.13E-15,-6.52E-15,-1.63E-15,1.63E-14,2.46E-15,8.85E-14,7.19E-17,2.60E-16,3.26E-14,5.48E-13,-7.84E-16,-2.87E-15,-1.49E-14,5.54E-15,-2.57E-16,7.46E-14,1.71E-11,-7.33E-15,-1.90E-14,-3.39E-16,8.61E-12,-8.33E-16,-3.41E-16,2.95E-15,3.88E-14,-2.80E-13,4.69E-16,8.15E-14,2.96E-11,-1.07E-13,-3.15E-14,-1.11E-14,5.08E-14,5.08E-14,2.43E-16,8.96E-14,1.07E-12,9.31E-15,-5.69E-16,-1.37E-14,,,,,,,,,,,,,,,,,0
frozenset({'223283.9.peg.1497'}),1.68E-13,1.78E-15,-9.58E-12,-1.42E-14,-2.22E-13,3.95E-14,-1.16E-13,-8.16E-14,8.67E-13,-2.65E-13,-2.10E-14,-1.57E-14,2.24E-14,-1.24E-14,9.14E-17,-1.47E-14,4.33E-14,0,-1.54E-13,-1.32E-16,2.62E-15,-1.83E-13,-3.58E-16,-1.07E-14,8.15E-17,-8.46E-15,5.96E-16,4.55E-14,3.72E-15,1.50E-14,2.67E-15,-2.22E-16,1.92E-14,-4.35E-16,-5.79E-17,1.16E-13,-1.27E-15,9.97E-15,4.46E-15,-1.32E-13,4.02E-16,3.11E-16,5.63E-16,2.04E-14,8.63E-15,-7.89E-14,1.89E-16,5.63E-14,4.55E-15,1.92E-16,-2.82E-14,-4.82E-15,1.37E-13,-4.97E-16,-2.93E-16,-3.14E-14,1.81E-15,-1.75E-14,-1.51E-14,-1.80E-15,-1.11E-11,1.10E-14,1.55E-13,-3.09E-13,-1.09E-15,2.59E-11,-6.47E-14,-4.10E-14,-1.16E-15,-2.10E-14,-2.23E-13,-8.11E-15,-6.56E-14,2.29E-14,-8.73E-16,-7.91E-15,2.20E-15,-1.45E-14,-2.02E-13,3.99E-14,1.48E-15,3.62E-15,1.06E-13,8.29E-16,9.81E-14,4.90E-14,2.04E-14,9.35E-16,-4.95E-15,1.59E-14,-2.01E-16,5.87E-14,,,,,,,,,0
frozenset({'223283.9.peg.1522'}),8.41E-14,-1.76E-16,-5.07E-14,-1.12E-13,0,-9.02E-14,4.43E-15,2.54E-14,5.12E-16,1.64E-15,2.52E-13,-1.33E-13,-2.22E-14,-9.08E-16,3.41E-13,2.75E-15,-9.10E-16,-3.62E-15,-4.06E-15,5.39E-15,5.10E-17,-3.46E-16,-5.59E-14,3.90E-16,-3.61E-15,1.41E-14,-8.04E-15,7.88E-16,6.91E-14,-8.11E-15,-1.72E-13,-3.75E-16,1.40E-15,-3.03E-16,2.00E-15,-9.83E-16,2.48E-15,2.69E-16,-6.44E-15,5.00E-14,-4.88E-16,-6.49E-17,-3.11E-15,8.40E-15,1.63E-13,-9.47E-15,6.11E-14,8.42E-16,3.28E-14,-2.35E-15,3.73E-15,-1.10E-13,2.37E-14,8.03E-15,1.29E-15,2.40E-14,7.39E-15,-1.88E-15,2.28E-17,-1.05E-14,1.34E-14,2.98E-12,-8.43E-15,2.81E-14,1.38E-13,-7.11E-14,-1.33E-13,7.02E-15,-6.96E-16,9.72E-16,3.75E-13,3.84E-16,-4.73E-15,5.52E-14,-1.16E-13,9.38E-15,-1.79E-15,1.24E-11,-4.65E-14,-6.61E-11,-1.87E-14,-2.30E-13,-2.28E-14,1.53E-14,-6.60E-14,1.42E-14,1.20E-15,,,,,,,,,,,,,,0
frozenset({'223283.9.peg.1560'}),-3.55E-14,-3.13E-16,-5.16E-14,6.01E-15,-1.71E-16,-6.74E-14,1.08E-15,-4.54E-14,0,1.64E-15,1.72E-13,-4.30E-12,2.17E-13,3.01E-11,-6.45E-16,-7.94E-18,-9.10E-16,9.80E-16,-1.40E-14,5.39E-15,6.63E-16,-3.46E-16,-2.57E-13,-9.09E-15,-1.89E-15,-7.85E-15,1.07E-15,4.71E-14,-8.11E-15,7.41E-18,2.78E-16,2.46E-13,8.36E-16,-2.36E-16,7.56E-15,-9.83E-16,2.48E-15,4.92E-16,-1.04E-14,2.19E-16,-2.31E-15,3.77E-15,1.36E-14,3.45E-15,1.27E-14,2.57E-16,-6.10E-16,-4.99E-14,-3.93E-16,6.42E-15,-9.97E-14,7.81E-15,-1.80E-15,2.23E-14,8.32E-15,9.68E-14,2.47E-14,4.87E-16,-3.78E-16,2.98E-12,-8.43E-15,1.96E-15,-1.40E-13,-4.19E-13,7.79E-17,-2.82E-15,6.74E-15,6.29E-15,1.78E-14,7.82E-17,5.79E-14,5.72E-14,-1.69E-13,9.82E-15,-1.79E-15,1.25E-11,-4.73E-14,-1.50E-15,-2.25E-14,-2.90E-16,-7.14E-14,2.97E-17,-1.00E-16,-6.61E-14,-6.37E-16,,,,,,,,,,,,,,,,0
frozenset({'223283.9.peg.1575'}),2.99E-14,-1.57E-16,-5.29E-14,6.01E-15,-1.99E-16,-3.61E-11,8.46E-15,2.54E-14,5.42E-14,1.64E-15,2.72E-13,-3.22E-14,7.73E-15,1.67E-11,-8.26E-16,2.75E-15,-9.10E-16,-4.69E-15,-4.34E-15,5.25E-15,3.57E-16,-3.46E-16,3.10E-13,-2.69E-15,-8.42E-16,2.02E-14,-1.46E-15,-2.77E-14,7.88E-16,4.75E-14,-9.04E-15,1.34E-13,2.59E-16,2.47E-13,0,-3.03E-16,7.56E-15,-9.83E-16,1.65E-15,1.34E-16,-1.04E-14,5.00E-14,-1.71E-15,1.18E-16,2.82E-15,1.51E-13,-1.81E-13,6.11E-14,3.03E-15,-3.77E-14,-3.98E-15,4.92E-15,-9.97E-14,7.95E-15,1.55E-12,2.40E-14,-3.52E-16,7.39E-15,2.28E-17,-1.05E-14,-2.35E-15,2.98E-12,-8.43E-15,3.72E-14,4.22E-13,-8.48E-16,2.54E-15,-6.64E-17,9.72E-16,3.75E-13,3.84E-16,5.93E-14,5.52E-14,-2.57E-12,4.81E-14,-1.79E-15,1.25E-11,-4.65E-14,-6.60E-11,-2.25E-14,-2.90E-16,8.03E-28,-3.91E-17,-1.14E-14,-6.61E-14,-7.60E-13,-1.83E-14,1.20E-15,,,,,,,,,,,,,0
frozenset({'223283.9.peg.1577'}),3.72E-13,1.87E-14,3.55E-14,2.88E-15,-8.88E-14,-2.10E-15,0,-1.47E-14,-2.11E-16,-3.30E-15,-7.91E-16,-1.01E-13,-1.43E-16,-1.10E-15,-5.12E-14,-2.85E-16,6.64E-15,-1.11E-15,1.08E-15,-7.47E-16,-1.09E-11,-1.05E-13,-3.63E-14,1.41E-15,4.80E-15,-6.35E-15,-1.64E-15,7.29E-14,-3.01E-15,-1.41E-15,-8.50E-14,-6.44E-15,-4.14E-16,-5.01E-15,1.52E-16,-2.93E-15,-3.89E-15,-2.55E-14,1.35E-15,-2.95E-12,9.52E-14,-4.51E-16,3.53E-16,3.33E-15,-4.62E-16,2.06E-16,-3.14E-14,-2.95E-15,7.04E-17,-2.04E-13,2.54E-15,1.33E-14,-3.15E-15,-3.28E-13,-1.12E-13,-3.89E-14,5.28E-15,-5.63E-16,6.53E-17,-5.18E-16,-1.49E-15,-7.98E-11,1.24E-13,-3.59E-16,-2.92E-14,-2.82E-16,-3.44E-15,8.72E-16,-1.09E-15,1.76E-15,1.31E-15,2.63E-14,2.28E-16,5.23E-16,-1.16E-15,-2.92E-13,-5.02E-14,7.77E-14,-1.00E-13,1.35E-14,-5.73E-17,9.21E-14,-3.66E-14,1.01E-17,8.99E-15,-4.81E-15,5.01E-16,,,,,,,,,,,,,,0
frozenset({'223283.9.peg.1663'}),4.82E-14,3.76E-16,0,-1.66E-14,-2.79E-13,-1.16E-14,2.04E-14,-5.49E-14,-7.58E-16,3.07E-14,2.31E-16,1.79E-16,-6.93E-15,4.95E-13,-1.06E-14,-3.85E-14,1.02E-15,3.78E-16,-8.08E-16,9.31E-16,6.31E-16,1.79E-16,1.48E-15,-6.36E-14,-4.57E-16,-1.47E-15,5.26E-15,4.52E-15,-9.57E-14,4.79E-15,-4.55E-13,1.86E-14,-5.40E-15,-1.83E-14,4.34E-14,2.28E-14,-1.19E-14,5.95E-15,2.43E-15,-6.31E-13,8.97E-16,-2.26E-16,-8.88E-13,-5.48E-14,2.02E-15,7.79E-15,1.82E-15,-2.60E-17,-3.01E-14,2.01E-13,4.75E-17,3.37E-15,7.21E-14,4.71E-15,-2.32E-14,-3.92E-16,-1.26E-15,-4.33E-15,2.42E-15,8.32E-16,-2.81E-14,5.10E-15,-3.23E-14,-6.38E-14,-9.47E-14,7.21E-15,-2.18E-13,-4.18E-14,1.15E-14,2.70E-15,-4.14E-14,-2.64E-18,-1.70E-14,-4.72E-16,-2.93E-14,5.73E-15,1.29E-14,-1.08E-15,3.15E-15,6.71E-14,9.20E-15,1.33E-14,3.88E-17,6.27E-15,-3.14E-13,-6.90E-13,2.11E-13,,,,,,,,,,,,,,0
frozenset({'223283.9.peg.1773'}),2.93E-14,1.01E-16,-9.61E-15,9.03E-16,0,-8.86E-16,7.45E-16,-5.26E-13,2.96E-17,-2.53E-15,2.01E-15,-7.01E-15,7.24E-16,-1.35E-15,-9.51E-16,-5.91E-14,-2.00E-16,2.96E-16,-3.80E-17,4.80E-16,4.07E-15,6.79E-15,1.37E-15,-5.15E-16,-1.07E-15,1.82E-13,1.03E-16,7.42E-16,1.18E-13,-1.40E-15,5.36E-16,2.49E-13,1.04E-15,7.56E-15,-1.30E-14,1.84E-15,-2.21E-15,3.08E-14,-4.38E-16,-7.85E-16,5.14E-15,-7.62E-15,1.48E-13,-6.46E-14,-2.36E-15,-8.12E-15,-8.45E-17,8.39E-15,5.29E-15,8.80E-16,1.20E-14,-4.36E-15,-1.44E-13,8.87E-15,-6.71E-15,1.07E-15,-1.19E-14,1.45E-15,-1.52E-15,2.75E-14,1.76E-18,3.16E-16,1.05E-13,8.56E-17,-2.47E-15,2.63E-13,4.09E-14,1.85E-15,-2.41E-16,-4.67E-14,2.93E-14,2.32E-14,5.65E-13,1.27E-13,-6.02E-14,2.38E-14,-1.03E-15,1.87E-14,-2.95E-17,-3.21E-15,2.70E-13,-3.34E-15,1.13E-16,-1.43E-14,,,,,,,,,,,,,,,,,0
