,0
0,pst:PSPTO_0722
1,pst:PSPTO_1361
2,pst:PSPTO_0982
3,pst:PSPTO_3860
4,pst:PSPTO_0981
5,pst:PSPTO_5005
6,pst:PSPTO_3862
7,pst:PSPTO_4921
8,pst:PSPTO_4290
9,pst:PSPTO_4235
10,pst:PSPTO_5251
11,pst:PSPTO_0691
12,pst:PSPTO_3902
13,pst:PSPTO_1428
14,pst:PSPTO_0128
15,pst:PSPTO_1349
16,pst:PSPTO_1455
17,pst:PSPTO_0230
18,pst:PSPTO_3793
19,pst:PSPTO_2106
20,pst:PSPTO_5121
21,pst:PSPTO_4254
22,pst:PSPTO_0549
23,pst:PSPTO_1509
24,pst:PSPTO_0923
25,pst:PSPTO_4895
26,pst:PSPTO_4891
27,pst:PSPTO_4894
28,pst:PSPTO_4828
29,pst:PSPTO_4501
30,pst:PSPTO_4502
31,pst:PSPTO_1430
32,pst:PSPTO_1536
33,pst:PSPTO_5521
34,pst:PSPTO_0383
35,pst:PSPTO_0598
36,pst:PSTPO_0757
37,pst:PSPTO_4795
38,pst:PSPTO_1562
39,pst:PSPTO_5401
40,pst:PSPTO_4922
41,pst:PSPTO_1990
42,pst:PSPTO_0490
43,pst:PSPTO_4965
44,pst:PSPTO_5068
45,pst:PSPTO_2292
46,pst:PSPTO_4337
47,pst:PSPTO_2680
48,pst:PSPTO_3924
49,pst:PSPTO_5134
50,pst:PSPTO_1886
51,pst:PSPTO_1169
52,pst:PSPTO_0957
53,pst:PSPTO_0800
54,pst:PSPTO_3757
55,pst:PSPTO_3644
56,pst:PSPTO_1881
57,pst:PSPTO_0359
58,pst:PSPTO_2488
59,pst:PSTPO_0324
60,pst:PSPTO_1112
61,pst:PSPTO_4459
62,pst:PSPTO_4363
63,pst:PSPTO_4116
64,pst:PSPTO_1754
65,pst:PSPTO_0678
66,pst:PSPTO_2900
67,pst:PSPTO_1756
68,pst:PSPTO_1128
69,pst:PSPTO_0073
70,pst:PSPTO_0239
71,pst:PSPTO_1444
72,pst:PSPTO_2194
73,pst:PSPTO_2925
