,Gene,Pathway
1,pst:PSPTO_0085,Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0085,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0128,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0128,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0128,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0128,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0129,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0129,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0129,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0129,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0158,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0158,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0158,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0158,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0158,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0158,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0159,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0159,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0159,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0159,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0159,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0159,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0170,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0170,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0170,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0182,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0182,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0186,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0186,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0221,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0221,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0221,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0417,Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0417,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0434,Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0434,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0437,One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0437,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0437,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0542,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0542,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0593,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0593,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0593,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0593,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0593,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0594,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_0594,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0594,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0594,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0594,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0690,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0690,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0690,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0690,Quorum sensing - Pseudomonas syringae pv. tomato DC3000
