Group,Number
Amino Acid Metabolism,445
Antibiotic Metabolism,240
Carbohydrate Metabolism,131
Carbon Metabolism,101
Cofactor Metabolism,124
Core Metabolism,114
Fatty Acid Metabolism,110
Glycerolipid Metabolism,33
Interaction with the Environment,32
Metabolism in Diverse Environments,184
Metabolism of Aromatic Compounds,99
Metabolism of Secondary Metabolites,344
Nitrogen Metabolism,11
Nucleic Acid Maintenance,3
Nucleotide Metabolism,112
Phosphorus Metabolism,4
Regulation,13
Sulfur Metabolism,33
Transport,66
Virulence,39
