ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
frozenset({'223283.9.peg.1570'}),1.120781545748452e-12,-2.25137099838512e-13,0.0,6.13003833808152e-13,1.043021462638425e-14,-7.257488745889461e-13,-1.455329761118579e-12,5.025243253569158e-14,-1.386846232234891e-14,-8.526027304042166e-14,1.667609097422124e-13,1.818696574522173e-15,1.87722517334987e-13,2.330979219310512e-14,-9.676422982047285e-13,1.190409590198262e-12,3.577956303365018e-12,-8.776095514760351e-13,1.471326047274393e-12,-7.624083782546435e-12,-4.686123162502806e-13,2.196804251264165e-11,-5.683887246008586e-13,3.828880563214361e-15,3.439186264332199e-15,1.065706586992577e-13,-5.177579703927872e-13,6.103401606982142e-13,-2.086908591296921e-13,-5.712658322963161e-14,1.534098626529834e-13,3.019603150679165e-14,-1.927915969098013e-13,3.253973085331692e-14,-1.376747108009701e-13,4.968551555534744e-14,-1.468099874864826e-14,2.870045188853712e-13,-5.308350755814601e-13,4.151346218354375e-13,-4.406354255877952e-13,1.971773797223733e-14,4.977427251499042e-14,8.260263594265491e-13,1.976768526537981e-12,2.162087919875181e-13,4.226449692482422e-13,-1.736825607788017e-12,-4.134617242935993e-15,3.701302987851059e-13,-1.704180947899027e-12,-3.438947408406738e-14,-4.299153891928963e-14,7.610765773579398e-13,-1.800274106405082e-13,5.931802105368345e-14,2.56210211915037e-13,3.579648085737347e-14,2.2956234342881e-12,-6.652213063868765e-13,-3.231966345985631e-13,1.179247130370906e-13,3.815461392248851e-13,3.98611843840584e-14,-1.988665589228283e-13,-7.683124540998087e-14,-2.357693972624579e-13,-3.431972297311175e-13,-4.86905571993869e-12,2.117893483793991e-13,-5.590484229441236e-13,-5.735084917067468e-14,-2.352579403920189e-13,-5.998947045789923e-14,4.851203631539862e-13,2.619274000728455e-14,1.249422970309023e-13,-3.0462159074499e-14,-9.320836148594944e-13,-1.325545740473752e-13,-5.741268257416591e-12,-2.388016669840246e-13,5.731747671922053e-12,-2.034370474396149e-13,-1.972215464886046e-13,-1.724888739514204e-12,-4.133033933565549e-15,-6.67529767248236e-13,-2.054681108789681e-15,-6.959142738501032e-13,,,,,,,,,
frozenset({'223283.9.peg.3813'}),1.019046024898353e-13,-2.565202841035813e-13,4.548169338102818e-13,3.237226896697698e-14,-6.76714721370226e-12,6.464787185792524e-15,3.223676726825202e-13,2.540681591445455e-11,6.518769486255539e-13,8.025679260734101e-14,3.979781100461838e-13,5.154891644326243e-13,2.438233778100931e-13,7.332235598405004e-13,1.382945077092427e-12,-3.730798089291786e-11,-9.044618665369674e-13,-3.894689099248172e-13,-4.027784191344633e-13,1.560054148437956e-13,-6.000291687876793e-13,5.77218301653583e-13,1.728057858545753e-14,0.0,-2.064749862700185e-12,6.974422697144124e-15,-1.821914545870577e-13,3.795585566572345e-13,-7.416801324855361e-13,-7.113241530608046e-13,1.152839495883628e-13,1.237907386178688e-12,-3.994380439949507e-13,-2.03479895320601e-13,1.720983969044251e-14,2.594288082366062e-12,-4.128215194210737e-13,1.734343505413936e-13,8.293655025034084e-13,-9.758288449921282e-12,4.280321042753192e-14,-4.160364482636646e-14,-1.48322543835915e-12,-1.188206662837309e-13,1.329203149980252e-13,1.073117178930469e-13,2.713770487166818e-13,-1.109135195964085e-12,2.720380080863286e-13,1.333297548766684e-14,-2.272421204181188e-12,-2.126450784650033e-13,-3.651078281907164e-13,3.267094580833358e-13,-7.854736146708571e-14,-1.139164388720765e-12,-2.032853314757577e-12,2.255973381320427e-13,1.708922469783029e-15,-1.627571927549541e-12,1.709363914794691e-12,1.224116049125983e-12,5.459379431603044e-13,8.218080707682586e-14,5.876970511032919e-13,-8.249311000797605e-14,4.411847875735318e-14,2.176791740347223e-13,1.021115381452655e-13,-2.520432893081309e-13,-1.064256840721218e-13,1.879876035957342e-14,4.733696488292761e-14,8.403915643144743e-13,2.169579253697848e-14,-1.195483600549205e-13,1.612079755043676e-13,-2.819776452418241e-14,-6.270867499045959e-14,5.643482542044371e-13,-2.727768431735108e-12,5.230410684057943e-13,-7.976442059436844e-13,-4.369997156368798e-13,1.362209993237111e-13,-1.707783963330193e-12,5.811063097698177e-13,1.167323093635849e-13,1.741460302743161e-13,3.195993123704221e-13,4.979970621309231e-13,-5.435227917199817e-13,-3.131459887728538e-12,6.767893798103789e-14,-4.209728677953858e-12,-3.63961737121259e-14,,,
frozenset({'223283.9.peg.3927'}),1.499413711325461e-12,-3.729638920413899e-12,6.930431349991761e-13,1.40670468192616e-13,-2.074767357694871e-13,-2.64905434962835e-14,1.513229637288234e-13,-1.132647413287987e-13,-3.1993374654082e-14,3.355921982980243e-13,1.361153360055174e-13,9.483930542337365e-13,-1.83126556780933e-12,2.780955813387232e-13,4.486337734119768e-15,2.684234604493601e-13,2.102731749952312e-13,-1.649331074144728e-13,1.387543503922003e-12,3.383526216547598e-13,5.013668274669e-14,2.898616413483065e-13,6.122721038553104e-13,-1.875646637940714e-13,4.623078102462438e-14,-1.116379082111881e-13,9.021970269533219e-13,1.152103059446683e-12,7.98087700940839e-12,-2.347821847294969e-14,-2.306976820770323e-13,1.939108881621052e-13,7.183509929679125e-14,2.825951970857573e-13,-1.637969694617178e-13,6.050627334763247e-14,2.729097588032949e-13,-2.05431210308763e-15,2.295099358242419e-14,0.0,-1.303821974222373e-12,4.438802102493151e-13,3.217017613417532e-13,3.837698736543725e-12,-3.858591052971614e-14,1.122833255368006e-13,-4.476850668094536e-13,4.385481356578669e-14,-5.225571119336386e-29,-3.189459862556014e-14,1.244313280953906e-14,-1.90048174170089e-13,-8.238939690276303e-13,-1.466765952937673e-13,-1.931534674779414e-12,-1.717714718919068e-14,-1.542961244809514e-13,-1.905243113746307e-14,-3.302889676268698e-14,-1.849602389484114e-14,-1.190862616677878e-14,6.119600165026323e-14,5.130571428332683e-14,-3.243460447070296e-14,2.395369953067263e-12,4.041514390988613e-13,-2.527071047235302e-12,5.444725619259345e-13,-3.546020428778287e-14,-1.665295703658373e-14,4.396044457091887e-13,-1.328724182614912e-14,6.16618488671844e-13,-5.575105249079415e-13,5.831407181624902e-13,-3.871840861918875e-13,-1.082357354546605e-14,-3.940968372843087e-13,1.704524004103593e-12,2.252253198552037e-13,-2.818381852221239e-12,-1.619598117833832e-12,-4.782115939953015e-14,-5.010113396498201e-13,-3.35783736971484e-12,-1.539291039350176e-13,-1.222087065843297e-13,-1.520260669107012e-12,1.39388465061959e-12,-3.938849480003251e-14,-5.545682808711332e-14,1.036359916203704e-13,1.018371983827301e-12,7.348821444753146e-14,1.164351334998039e-13,-1.532456859658007e-13,1.847614169136861e-12,-3.541977308040444e-13,1.344267015645958e-13
frozenset({'223283.9.peg.3930'}),472.1634840787862,471.0485266980471,452.4510526664411,451.859804667945,464.9693371057559,475.9421597640579,486.9855599796232,457.732044551554,484.3162848273479,449.8353166273743,451.3666416553785,467.8420870600953,505.0256747953997,459.3509664722037,486.0939848437965,444.1784963766949,466.0944740022607,452.4754341268922,459.8825007108946,470.0469783184087,454.0241892784952,482.9069481074625,452.402297627404,453.9505512925614,471.6169200304084,452.5242049317853,486.0923011153748,466.3004950096202,452.52420493179,467.9569568199389,466.3858564755624,486.2101999840052,466.2151647849562,497.8715107571839,477.3507781215737,479.5917507413614,467.899661651991,465.6765847942887,453.9996406287985,505.5125955348626,477.9883986605175,484.0495583639487,451.2724087267811,454.0241892784915,475.9658175248618,471.4198488674875,506.5385366320608,452.5739495013466,467.3286090250448,495.9456697626746,458.4271085023715,473.4766289585493,454.7498211662248,467.8996616519839,471.6206443444597,463.4409626749767,470.9626592425315,478.8294529510145,459.7702633554618,486.3920188701533,486.9818245728763,451.9422842708274,448.2402305786391,469.348202055196,482.6239804109571,459.3509664722113,447.4018583932504,481.7739137634306,486.0915252963802,454.097851158897,486.2027811183857,451.9406088354961,454.675947631422,478.1604917036349,463.7389050649282,463.1745111276936,467.3000365708213,496.8802172507315,486.9222914867703,459.8825007108904,504.3815477785913,451.9649353124022,485.8864413811518,450.5163308669945,450.934533007881,479.6795738964002,457.8154727199337,458.4271085023785,457.5693031560749,467.3286090250447,504.0833996803924,467.8996616519937,455.3160084729958,486.1121517877204,477.436135836501,451.4215047522893,486.9222914867699,478.0449022875358,485.9642223380437
frozenset({'223283.9.peg.5202'}),472.1634840787838,471.0485266980473,452.4510526664417,451.8598046679457,464.9693371057583,475.9421597640575,486.9855599796285,457.7320445515451,484.3162848273481,449.8353166273752,451.3666416553842,467.8420870600909,505.0256747954,459.3509664722071,486.0939848437892,444.1784963767299,466.0944740022619,452.4754341268944,459.8825007108923,470.0469783184031,454.0241892784938,482.9069481074771,452.4022976273998,453.9505512924695,471.6169200303903,452.5242049317866,486.092301115376,466.3004950096109,452.5242049317818,467.9569568199354,466.3858564755639,486.2101999840066,466.215164784953,497.8715107571869,477.3507781215658,479.59175074136,467.8996616519875,465.6765847942798,453.9996406287979,505.5125955348593,477.9883986605169,484.0495583639484,451.27240872678,454.0241892784952,475.9658175248665,471.4198488674864,506.5385366320757,452.5739495013484,467.3286090250691,495.9456697626737,458.4271085023713,473.4766289585489,454.7498211662339,467.8996616519862,471.6206443444436,463.440962674971,470.9626592425284,478.8294529510032,459.7702633554647,486.392018870155,486.9818245728721,451.9422842708283,448.2402305786317,469.3482020551974,482.6239804109525,459.3509664722051,447.4018583932464,481.7739137634363,486.091525296386,454.0978511588963,486.2027811183951,451.9406088354984,454.6759476314248,478.1604917036294,463.7389050649318,463.1745111276973,467.3000365708203,496.8802172507328,486.9222914867685,459.8825007108921,504.3815477785988,451.9649353124067,485.8864413811614,450.5163308669978,450.9345330078845,479.6795738963995,457.8154727199374,458.4271085023686,457.569303156078,467.3286090250414,504.0833996803914,467.8996616519902,455.3160084729932,486.1121517877325,477.4361358365141,451.4215047522939,486.922291486771,478.0449022875372,485.9642223380383
frozenset({'PSPTOA0036'}),472.1634840787804,471.0485266980472,452.4510526664416,451.8598046679408,464.9693371057602,475.9421597640588,486.9855599796267,457.7320445515524,484.31628482735,449.8353166273814,451.3666416553827,467.8420870600915,505.0256747954023,459.35096647221,486.0939848437902,444.1784963767313,466.0944740022675,452.4754341268988,459.8825007108925,470.0469783184026,454.0241892784928,482.9069481074627,452.4022976273984,453.9505512924721,471.6169200303957,452.5242049317903,486.0923011153754,466.3004950096197,452.5242049317879,467.9569568199386,466.3858564755622,486.2101999840077,466.215164784957,497.8715107571888,477.3507781215761,479.5917507413725,467.8996616519877,465.6765847942817,453.9996406287923,505.5125955348676,477.9883986605155,484.0495583639475,451.2724087267823,454.0241892784948,475.9658175248614,471.4198488674816,506.5385366320693,452.5739495013489,467.3286090250416,495.9456697626721,458.4271085023771,473.4766289585468,454.7498211662278,467.89966165199,471.6206443444572,463.4409626749729,470.96265924253,478.8294529510181,459.770263355463,486.3920188701514,486.9818245728903,451.94228427083,448.2402305786336,469.348202055198,482.6239804109546,459.3509664721984,447.4018583932499,481.7739137634349,486.091525296386,454.0978511588943,486.2027811184043,451.9406088354963,454.6759476314178,478.1604917036332,463.7389050649266,463.1745111276934,467.3000365708251,496.8802172507328,486.9222914867714,459.8825007108933,504.3815477785955,451.9649353124072,485.8864413811534,450.516330867005,450.9345330078785,479.6795738963938,457.8154727199337,458.4271085023717,457.5693031560784,467.3286090250425,504.083399680386,467.899661651991,455.3160084729909,486.1121517877235,477.4361358365026,451.4215047522942,486.9222914867734,478.0449022875365,485.9642223380444
frozenset({'PSPTO_0062'}),472.1634840787829,471.0485266980475,452.4510526664472,451.8598046679443,464.9693371057564,475.9421597640523,486.9855599796238,457.7320445515503,484.3162848273437,449.8353166273754,451.3666416553834,467.8420870600941,505.0256747953991,459.3509664722053,486.0939848437883,444.1784963767284,466.0944740022683,452.4754341268944,459.8825007108936,470.0469783184059,454.0241892784929,482.9069481074639,452.402297627399,453.9505512924749,471.6169200303904,452.5242049317881,486.0923011153769,466.3004950096146,452.524204931789,467.9569568199394,466.3858564755658,486.2101999840046,466.2151647849525,497.8715107571774,477.3507781215737,479.5917507413571,467.8996616519892,465.67658479428,453.999640628796,505.5125955348688,477.9883986605151,484.0495583639475,451.2724087267737,454.0241892784966,475.96581752486,471.4198488674836,506.5385366320691,452.5739495013412,467.3286090250378,495.9456697626713,458.4271085023735,473.4766289585496,454.7498211662282,467.8996616519913,471.6206443444578,463.4409626749721,470.9626592425411,478.8294529510172,459.7702633554608,486.3920188701556,486.9818245728994,451.9422842708265,448.2402305786368,469.3482020551948,482.6239804109569,459.3509664722091,447.4018583932429,481.7739137634317,486.0915252963867,454.097851158892,486.2027811183996,451.9406088354955,454.6759476314178,478.160491703637,463.7389050649211,463.1745111276932,467.3000365708234,496.8802172507327,486.9222914867687,459.8825007108907,504.3815477785852,451.9649353124096,485.8864413811499,450.5163308669977,450.9345330078852,479.6795738963945,457.8154727199289,458.4271085023736,457.5693031560745,467.3286090250436,504.0833996803923,467.8996616519887,455.3160084729942,486.1121517877225,477.4361358364986,451.421504752294,486.9222914867768,478.0449022875366,485.9642223380376
frozenset({'PSPTO_0073'}),472.1634840787858,471.0485266980495,452.4510526664429,451.8598046679418,464.9693371057527,475.9421597640596,486.9855599796275,457.7320445515483,484.3162848273503,449.8353166273716,451.3666416553801,467.8420870600914,505.0256747954042,459.3509664722083,486.0939848437937,444.1784963767257,466.0944740022634,452.4754341268918,459.8825007108951,470.0469783184031,454.0241892784938,482.9069481074552,452.4022976273995,453.9505512924675,471.616920030393,452.5242049317869,486.0923011153868,466.3004950096125,452.524204931787,467.9569568199352,466.3858564755644,486.2101999840048,466.2151647849552,497.871510757182,477.3507781215763,479.5917507413579,467.899661651988,465.6765847942813,453.9996406287949,505.5125955348588,477.9883986605178,484.0495583639471,451.2724087267781,454.0241892784949,475.9658175248604,471.4198488674858,506.5385366320722,452.5739495013474,467.3286090250442,495.9456697626688,458.4271085023709,473.4766289585538,454.7498211662212,467.8996616519882,471.6206443444548,463.4409626749641,470.9626592425367,478.8294529510184,459.7702633554695,486.3920188701491,486.9818245728758,451.9422842708246,448.2402305786358,469.3482020551966,482.6239804109508,459.3509664728928,447.4018583932503,481.7739137634354,486.0915252963887,454.0978511588888,486.2027811183933,451.9406088354905,454.6759476314396,478.1604917036371,463.7389050649271,463.1745111276902,467.3000365708275,496.8802172507358,486.9222914867727,459.8825007108925,504.381547778595,451.9649353124059,485.8864413811537,450.5163308670016,450.9345330078855,479.679573896392,457.8154727199328,458.4271085023734,457.5693031560678,467.3286090250397,504.0833996803927,467.89966165199,455.3160084729901,486.1121517877185,477.4361358365235,451.421504752294,486.9222914867707,478.0449022875358,485.9642223380404
frozenset({'PSPTO_0075'}),-1.628735221950246e-11,-4.191958713080883e-11,-3.669603836704776e-11,-5.310855332472822e-11,-3.537611864458216e-11,-7.901460644013619e-11,-3.364496235575423e-11,1.016324779361686e-10,1.265249892958864e-09,-5.716083042618798e-12,-1.942735377889243e-11,7.772161792843308e-11,3.609498057962896e-12,9.86568397258439e-13,-1.36089240943697e-10,6.323564953816329e-11,-1.582725858738639e-10,2.057809936066877e-10,2.576216645798928e-11,-1.525638675934482e-11,-7.523749246026369e-11,7.33763589879178e-12,-1.11581537835439e-11,-5.504533120901129e-11,1.126102527933928e-10,3.839114428336963e-11,1.480109635706562e-10,5.80797106035667e-11,-1.220498101048376e-10,3.60499843805117e-11,-2.391563417513166e-11,4.038139695578975e-10,-7.640885154039155e-11,-2.632819480886795e-12,-4.628939568693407e-11,-5.89113306361512e-11,1.453641544896265e-11,-4.072970724777111e-11,-1.239942733053943e-11,1.161602377093553e-10,7.419827081660024e-11,-2.156259418754342e-11,-1.511354200242361e-10,1.879849351262701e-10,1.865718396767576e-11,2.22219405071937e-11,1.022589045063806e-10,8.007548124818876e-10,1.796331302911963e-11,-1.790384235650011e-11,7.361796349915496e-12,7.202781750615087e-11,3.98443218770858e-12,-3.601231654191703e-11,-6.147509153359234e-11,6.635734870214844e-11,2.611842802201797e-11,-4.471887090607311e-11,8.618604914791339e-11,-3.740941562124375e-12,-5.835612718720518e-12,-9.159509709716276e-11,-4.306740360976349e-11,1.724158205774073e-10,8.849679154012652e-11,-3.885566416031926e-11,8.71831046135644e-12,-7.847346433960695e-12,-8.608274496712182e-11,8.452610435046563e-12,-9.000505501387571e-13,2.419306758807725e-11,-5.726859876769458e-11,1.184297802463829e-10,5.210480108187917e-11,-8.507325027913509e-12,-1.502802026199688e-10,1.215435288960915e-10,-5.876083485146952e-11,-6.56354921635333e-11,1.141817424609091e-10,-2.886786311153864e-11,-3.586784534267907e-11,-1.990308516429938e-11,3.769612984430571e-12,-6.396979724135042e-11,2.230256205968871e-10,1.092207902023884e-10,1.295266780847195e-10,-3.993792818206133e-11,1.172718015913436e-10,-9.648945134818142e-12,-3.319683021271144e-11,-3.166036043207461e-11,-8.440139959102412e-12,-9.09262816256269e-11,-1.302719075244173e-11,-2.551704051924966e-11,-5.362539973714291e-11
frozenset({'PSPTO_0080'}),-1.482763349568978e-11,-1.109813934968926e-11,-1.529586142250238e-11,-2.034073671202513e-11,-1.390561199454453e-11,-6.934020772034504e-12,-1.420024942362368e-11,-2.536219848860389e-11,-2.828602917287014e-11,-7.977107998341647e-12,-1.318330349785128e-11,-4.474220966998429e-12,-6.810643706293735e-12,-1.060449298506146e-11,-2.25672251908815e-11,-2.556921270464545e-11,-1.968449012319844e-11,2.511417903080859e-11,-1.363027992288746e-11,-2.706206733344617e-11,-2.178007563921138e-11,-8.293022159752973e-12,-1.419373196580308e-11,-1.561570179005784e-11,-1.449774982138881e-11,-1.480218197699482e-11,-1.14981265414204e-11,-1.02869484410119e-11,-9.840362518692372e-12,-1.819488849287628e-11,1.519257490071106e-11,-1.921468440027387e-11,-2.727109929439508e-11,-1.359171201196873e-11,-1.693317500827026e-11,-1.852680589188131e-11,-1.356276698600211e-11,-1.410628336056687e-11,-6.701935728397969e-12,1.503449597086447e-12,-7.871703752478975e-12,-1.389803167339896e-11,-1.883449692665005e-11,2.065491951103735e-12,-1.626776239482912e-11,-9.443916455010037e-12,-1.352803696982257e-11,-1.419590095879153e-11,-8.23642426492944e-12,-1.489645772853656e-11,-1.485207208775968e-11,-6.667875339784096e-12,8.253608189225083e-13,-1.395785430074622e-11,-1.428470082298275e-13,1.191272918229928e-11,-6.396179561317342e-12,-1.382367661104086e-11,-1.486837301598162e-11,-1.662822925811048e-11,-1.441873031158164e-11,-7.292688492040945e-12,-6.913121953243169e-12,-1.497715764797353e-11,-4.788913029609165e-12,-1.356734243256693e-11,-1.485301779943402e-11,-1.866960786577684e-11,-7.583031625592543e-12,1.114070263964887e-12,-1.145516516271207e-11,-1.423186456711108e-11,-5.235150568531112e-11,-9.406608612175797e-12,-7.447088353513878e-12,-1.409293201443042e-11,-1.565537851441803e-11,-1.893317108530081e-11,-3.064652457930444e-11,-1.423603287121362e-11,6.045951677753316e-12,-1.318586091728381e-11,-1.331897664687132e-11,-1.649658259183885e-11,-6.7276030821382e-12,-1.705304850638016e-11,-1.583502599889786e-11,-1.475089022384928e-11,-2.219021826281093e-11,-1.262354884542014e-11,-4.21357100953442e-13,-1.541597733814589e-11,-6.815998521975783e-12,-2.14845136605318e-11,-1.050060274801066e-11,-4.377814335154394e-11,-8.254424254316184e-12,-2.031576650437564e-11,-9.410283428015551e-12
