,Pathway,Gene,supergroup
0,2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,12,Fatty Acid Metabolism
1,ABC transporters - Pseudomonas syringae pv. tomato DC3000,10,Transport
2,Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Antibiotic Metabolism
3,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",14,
4,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,8,Nucleotide Metabolism
5,Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,6,Amino Acid Metabolism
6,Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,12,Amino Acid Metabolism
7,Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,4,Metabolism of Aromatic Compounds
8,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,52,Amino Acid Metabolism
9,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,107,Antibiotic Metabolism
10,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,141,Metabolism of Secondary Metabolites
11,Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,4,Cofactor Metabolism
12,Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,6,Cofactor Metabolism
13,Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,8,Metabolism of Secondary Metabolites
14,C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,4,Carbohydrate Metabolism
15,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,4,Carbon Metabolism
16,Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,2,Antibiotic Metabolism
17,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,23,Amino Acid Metabolism
18,Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,4,Metabolism of Aromatic Compounds
19,Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,8,Fatty Acid Metabolism
20,Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,8,Fatty Acid Metabolism
21,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,12,Cofactor Metabolism
22,Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,2,Carbohydrate Metabolism
23,Geraniol degradation - Pseudomonas syringae pv. tomato DC3000,2,Metabolism of Secondary Metabolites
24,Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,8,Amino Acid Metabolism
25,Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,2,Glycerolipid Metabolism
