ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1'}),0.0,-1.760441646722194e-13,-2.864004310755851e-16,3.098024663710522e-13,-6.32024572197721e-13,-1.830730084033806e-12,-8.618350790853261e-13,-4.5100942889605e-13,-2.494766180527693e-12,3.668306602094221e-14,-2.26057406711245e-14,7.71079469574716e-14,-3.256065895463423e-14,-4.600063842856367e-14,6.510358315455393e-14,-1.762218645719499e-13,-4.862699744862445e-13,6.237808321152482e-14,-3.53491721019072e-14,-1.176635684328629e-14,7.738223661145062e-13,1.662784595407536e-14,7.603444762819834e-14,-1.894806611642873e-13,4.923476642576672e-13,-2.068948524393719e-14,4.61326302585324e-13,-4.035438843051295e-13,-2.408156093222387e-13,-1.465212484520951e-14,-1.867557388410147e-13,1.415960295843674e-13,-3.590969798743262e-14,1.152096060629219e-13,-3.498390902359825e-14,-6.530510066834082e-14,-1.854331649184577e-13,-1.533732762422873e-13,-1.969149041921162e-15,-2.284192393832054e-13,3.282465763977474e-14,1.14072554234826e-13,1.408341196484943e-13,1.295775603211339e-13,-2.747323551938151e-13,-6.723186525409036e-14,-3.533770666481083e-12,1.923749939673537e-14,1.567523907690831e-13,-1.123380485676581e-12,-1.383584333532373e-29,-1.107557718175197e-15,5.652017291048094e-14,-1.208024688011673e-12,1.393468302150223e-13,1.477322412011606e-12,-2.716050390284595e-12,1.059378325242257e-13,6.75135519422292e-15,1.059207145659017e-13,-1.068790507380751e-13,-1.677537562276852e-14,-1.343274081530487e-12,3.14632933759065e-14,-3.215815229402339e-14,-1.420570223482217e-13,-5.879934833684047e-14,1.586727352266874e-13,1.346060164265785e-13,1.672861802138085e-13,-7.734040506224635e-14,6.238920611001678e-14,1.15705579437053e-14,-8.185871215029225e-14,-6.052162256383228e-13,-1.381900368122989e-14,-6.195549651582462e-14,1.675982537694768e-12,-2.394301774691986e-13,2.731147927604371e-13,4.455067762745601e-14,7.877844052138731e-16,3.569596027449763e-13,-2.107225971398786e-14,-7.92962690463511e-14,2.061608800675926e-13,2.115795137581449e-14,5.777019295756369e-14,,,,,,,,,,,,
frozenset({'223283.9.peg.1290'}),-1.688939984251454e-14,9.013230241341874e-15,-2.737793749846648e-13,4.887990610873261e-13,3.772593456711029e-14,1.396261950216254e-13,6.436081764535315e-14,1.742294892866625e-13,-6.271883668264282e-13,1.247129469809257e-13,2.335489653563929e-12,-1.33590090932627e-13,-5.50845316558371e-14,-1.38948514993125e-13,-3.927284044311687e-13,-1.226691552787815e-12,2.685945396459618e-14,0.0,-2.406183613865985e-13,1.625865095765433e-13,-2.852805358117237e-14,-9.902016363843506e-14,-2.693350065107415e-13,-1.598776830301095e-14,-2.480058643694429e-13,8.053143984553723e-14,3.980688050770653e-14,2.312449754508549e-12,1.852542892229854e-13,-3.199585320198732e-14,2.388230818279185e-13,-5.362805767668107e-13,1.005389471178198e-13,-4.479984953231353e-14,-4.966957394339944e-13,9.353619081225265e-13,-2.816692292337035e-12,3.545459129872446e-14,-5.796998125729323e-14,-4.639131919753469e-13,5.44120295273785e-14,1.351384362596714e-13,-2.396184021601097e-13,2.002303191149689e-13,5.860911275757186e-13,2.596418640787164e-14,3.247916006475123e-14,6.988519948385981e-16,-1.379827912092503e-14,4.505577727420013e-13,4.543250489941407e-14,1.443312151058246e-12,1.259068830582098e-13,-1.126532962691117e-13,-5.431348025179175e-15,-9.631661727096799e-14,8.198084864668866e-14,-3.919986137638954e-14,1.928391940219143e-12,1.0879757848292e-13,-1.350147909128002e-13,-1.405722919219701e-13,5.868460081319422e-14,-4.337329775787356e-13,-9.693919298777238e-14,-4.292471600850731e-15,-3.287042545344017e-14,2.613532278190117e-14,2.420596058646246e-13,-7.219318531219374e-14,1.385875590495441e-13,-7.529713597652096e-15,3.319086760927838e-14,-1.103550790966285e-12,5.69721116148796e-14,3.986632012671021e-13,1.583869856325718e-13,-3.390003980678153e-13,-6.732837380595192e-14,-9.26292300603899e-14,1.123648035070582e-13,-1.905819047944556e-14,1.168054024617451e-13,1.93122349008876e-13,-3.509205888362331e-14,-1.242136993501107e-14,-4.797469449488972e-14,-1.256619500982757e-13,-1.311519316161531e-14,6.767851564716714e-14,1.360189008600196e-13,,,,,,,,,
frozenset({'223283.9.peg.1455'}),125.3794465700049,123.76895196013,109.1109746254808,109.8655605369552,81.65771462438997,86.13298675645463,155.0938661599947,135.2624359929353,92.4195538255098,52.8584938700019,206.9296306526929,87.13057215197766,121.2654797773049,114.1245151862526,103.165788649846,92.80298502474429,108.7787420070937,167.269830660897,103.5772253546059,58.96737451644062,84.70990301137235,54.50411563649092,101.9816551717863,175.2141303210617,94.29494125708828,132.2108517756812,55.49654428266586,108.4226998156594,175.1816843349444,96.16224357277245,147.0078020159938,135.5055582624737,93.24444120461041,96.16128722159418,77.09560827821271,110.6244520149433,73.81612584957935,109.6739448232657,92.08276083889363,133.5670052388011,184.9513141688256,91.4111703472302,164.4576009044086,143.213381624145,118.3318468587941,150.9393877671008,79.82322947958939,87.5383550749636,125.4342076436103,186.7946533915366,120.4504009599711,208.5303613698472,130.2561096257123,187.7527350729327,74.42065314211705,213.4250267372182,215.3803797966448,157.1865555955334,91.66501058390729,148.8741064798066,209.6276638353668,143.8911797692307,190.0109163055423,142.0018513674391,163.8501176042177,97.68497130297061,101.9250113948256,93.37655971702246,96.59092474286817,57.61088479149844,130.3969878522404,55.42930469905949,103.4967740758925,89.63729929271418,84.32638192158934,96.29580910391302,115.8538355443261,138.4910445261142,109.555476465625,48.36725028771387,138.9311401856819,74.63148010038638,87.68331873929755,143.639057873793,63.20033777702231,131.9959324965216,130.3026820890543,145.1350226299139,188.0126118706304,115.5834909670446,120.5421300629426,143.9241671524284,76.22675127784744,157.9371309742294,159.7343022637755,121.1327025604164,78.85468512755719,179.9613708298835,83.46789143389121,133.7439532411917
frozenset({'223283.9.peg.1494'}),-2.210438600932442e-14,0.0,-2.178720802534029e-13,-7.218666452003406e-14,3.854380718575277e-14,3.166590041170622e-14,-9.838390679273619e-14,7.74896980206141e-14,4.626535615855474e-14,5.603382173459343e-15,4.30339308795775e-13,-1.0444033233787e-13,-5.739983884668939e-14,-5.239306507652158e-13,1.490530696573689e-13,6.260586260048139e-13,-2.441375747263168e-14,-1.289446652575911e-13,1.44846452689114e-13,4.93327216777773e-13,-2.399648326108981e-13,-2.135012122496771e-13,8.325581489912457e-15,1.864184991548657e-13,-6.933070266659909e-13,2.411896741765543e-13,1.283022709775102e-13,6.260793852240773e-13,-6.222856365282374e-12,3.306626525901056e-15,2.913659984086187e-15,-6.542971865682697e-16,-3.971836891840193e-13,3.585513943480811e-13,3.461991788830222e-14,-5.570961647415421e-13,-4.404461692496453e-14,-1.733649806939012e-13,-1.447347675520683e-13,-1.297710828862476e-12,-2.394036398443382e-13,9.065499374751534e-14,1.239140462269953e-14,-6.514880028354388e-14,-1.67239160637761e-13,1.00889417234804e-13,-3.926987802056744e-14,2.563358880139802e-13,-4.321488706426846e-14,2.433669474265742e-14,-1.183338383873636e-13,-2.820375728530287e-12,-2.270613166754831e-14,-2.976238021781668e-14,3.31255720138599e-13,-6.738536050860238e-13,-2.61070392165086e-13,7.714128763366725e-14,-4.247053776456674e-13,3.415733462989726e-14,4.619383560575265e-14,2.019044285056518e-14,-2.489210070935395e-13,3.85165211504615e-14,-1.06865468982371e-13,-7.140086011089141e-14,-1.886298908810528e-14,7.813344953077851e-13,-4.252822019162158e-14,-1.27016547130654e-14,2.805556985298278e-13,-2.852005038767848e-13,-5.366488655435828e-13,5.644737695668185e-14,6.708875105469913e-13,1.007024599863472e-14,-1.536694901183478e-14,7.585023314320385e-14,-1.346437685683235e-13,-1.178491963399298e-14,6.101236908022827e-14,-6.074867443178308e-15,2.293407173101538e-13,-8.353672084564891e-14,-5.538774094352205e-14,7.469897070868183e-13,-2.452759129046024e-13,-2.634530393384777e-13,3.793824702843598e-13,1.772320746914636e-14,-1.158851140213912e-13,-1.806763009989663e-13,,,,,,,,
frozenset({'223283.9.peg.1497'}),-1.24867233007081e-14,3.98829595522324e-12,1.508614067795902e-13,1.147202779837122e-12,1.266175148380053e-13,-7.839386771967712e-12,-5.00345739492335e-13,8.440765600546516e-13,-5.709319233152637e-15,-3.465014876207748e-15,5.266578504805326e-13,3.523331358080287e-14,1.401728792330668e-14,2.797629658399644e-14,-4.022425772684729e-13,-1.248396470572586e-14,6.586487335816288e-14,8.068133736476856e-15,-9.7517743609864e-15,-2.33532941832771e-12,-2.365515708872143e-13,-3.295643039087897e-12,0.0,3.992376079000408e-13,5.330171530322324e-14,6.973557135433168e-14,-2.294931477406875e-12,-2.221521887854655e-13,1.3252695886019e-12,1.205524783986342e-13,-1.261519534548719e-12,-4.658587680167621e-13,4.976310511438949e-14,5.87508544057097e-15,6.417297528138351e-14,2.84672502440996e-14,1.223219267824237e-13,9.86204209953814e-14,-2.946257052605178e-13,3.680562616165121e-13,-2.707341149087988e-13,1.211559781634929e-12,-4.48139657076349e-14,2.388834880253493e-13,2.464557330133025e-13,6.870575952020939e-14,2.964681532227112e-13,-4.455338751029986e-14,1.088961956435859e-12,-2.188944604442353e-14,-4.601109216968965e-13,2.964320856323727e-15,-9.228575794173787e-15,4.610866807581199e-13,1.068389239206349e-13,1.535633789469082e-13,-1.955579609551984e-13,-1.911962418083277e-14,-3.60268203331866e-14,-1.342088708123204e-13,-8.115154998954899e-14,-2.132587307195036e-14,-2.044566584239203e-13,3.750015795063167e-14,8.829488938402152e-15,-1.150860960351528e-13,3.770446327950057e-13,6.515389383384383e-14,4.997580133989431e-13,2.86010196303272e-14,-1.398875007411274e-13,8.139762630537107e-14,-1.619397802565686e-13,2.889439972380584e-14,-1.877064111739983e-14,-8.432751138939156e-13,-1.000152139879985e-13,1.814939433995116e-13,-1.040261978204467e-13,2.931013280324649e-13,1.034499996814172e-12,2.006659191757139e-12,9.224304832798124e-14,1.915673579673312e-13,-3.199938940942387e-13,9.148021574531704e-14,-6.979424654185389e-14,4.743829882569516e-14,2.489194043822099e-13,4.836718265400859e-14,-2.096947316270121e-13,1.283851823904503e-13,2.127442404307726e-12,7.307066648238406e-13,3.218901163943436e-13,-2.252215457806388e-14,,,,
frozenset({'223283.9.peg.1522'}),1.411602250174492e-13,7.145352683782291e-14,3.165825516701217e-15,4.534097348149566e-13,9.41515266942653e-14,1.668617168747355e-13,2.321212545257418e-13,-4.469143393099316e-14,-9.793874755692272e-13,-1.072814811510993e-13,-6.230276217581776e-13,-2.126216329827632e-14,1.635350257719113e-14,-2.990354756972092e-13,3.256005781018795e-14,-1.64880618563206e-13,1.409496388435958e-13,-3.423605312754418e-15,-2.282357683018994e-13,1.353631849247579e-13,-2.381455662678445e-14,-2.04191449350503e-14,2.153815825683794e-13,0.0,-8.195629834821876e-14,-1.352263712199591e-12,2.27059005414279e-13,1.819148316611759e-13,-3.649683262240613e-13,-1.327435540718222e-13,-3.56456899600152e-13,-1.12586851653908e-13,6.26458709377401e-15,4.504250660824634e-14,-1.592312044704629e-13,4.019811396264349e-13,3.457335557717769e-14,-4.031938044939255e-14,-4.319118456187746e-14,-3.152866374813609e-14,3.596314484768583e-14,-5.829013601322787e-14,9.522685148997694e-14,-9.35764229242613e-14,-2.193221850958082e-14,-1.643369644686035e-14,-3.564740008064687e-14,5.944490483472193e-14,8.431591786922441e-14,-1.420038398680222e-13,-6.080610240361988e-14,-1.449816761752098e-13,-2.430280468550276e-12,4.961857318284688e-14,-3.677796317842886e-13,1.962792030937385e-14,-2.843473884778333e-15,-9.899674295068379e-14,1.350455139644081e-13,2.545305107342817e-13,-7.843959427356341e-14,-8.288451638486466e-13,-3.273806904444589e-14,2.074741672405079e-14,5.319902813321566e-14,-2.733964658371736e-14,1.620942891311409e-13,-6.344001832952236e-14,9.267978248572665e-14,-8.555619929775594e-13,-3.838496724526227e-13,-2.254232600866855e-14,-1.155977225148951e-13,6.978109938498369e-14,-8.212499829246307e-14,4.833327121818736e-12,-2.38733789456006e-13,8.063045487380359e-15,6.613763334089292e-14,-4.812123704091726e-14,1.970305197043998e-14,7.009305081030249e-14,3.275058814793341e-13,-3.900266742826465e-14,2.442485379161573e-12,2.623639462892208e-14,3.806370625901211e-14,-3.771463814132635e-14,5.714793682402905e-14,-6.898714072401207e-13,-1.692697934043569e-12,-5.650980168964137e-14,,,,,,,,
frozenset({'223283.9.peg.1560'}),-2.642709777213692e-30,2.562447514205759e-13,0.0,1.35780492714826e-13,2.084827447875865e-13,-4.899834250925784e-14,2.22941569928177e-14,-2.825097425483108e-14,-2.405696328051814e-14,-8.168529841468882e-14,-4.561132513418698e-13,1.355851633706222e-14,-5.552820347694928e-15,5.452058168366821e-14,-2.083458531656323e-13,8.347038438856209e-14,1.219187735001844e-14,-2.498442806843673e-13,1.106018881739311e-13,-3.962601664119356e-16,-6.076293396830934e-12,-3.901246249324668e-14,-1.200131367413463e-14,3.116436050869446e-13,-2.111429492931686e-14,3.514564697849408e-14,-2.513297617581859e-13,-4.321450694796888e-14,-3.394845495861042e-14,-1.094917745893961e-13,6.048913589110098e-14,-4.269208118150279e-14,2.867045358623526e-13,2.365734071407501e-13,4.205042907124595e-15,-9.157943372185157e-14,1.150655129586226e-13,2.066707229215861e-13,9.546464443246435e-14,2.583241165231182e-13,-1.403490275995514e-15,5.353590571469775e-14,-1.096496250523751e-13,2.622210089057629e-13,3.486241174442974e-14,8.352594914623714e-14,4.862110695222088e-14,-2.76568819049963e-14,7.757640548424644e-14,4.098687206012577e-14,-1.203742349277503e-13,-4.150127021603995e-13,3.858161309610096e-13,-6.674050652382544e-14,-1.169016689823455e-12,-2.315903099818088e-14,7.854900555421617e-14,-5.899943169387047e-13,1.007740174007351e-13,8.599776282236061e-15,-1.37233397204935e-13,-4.926152465471857e-13,-6.267159971747267e-14,-8.13194128070163e-14,8.72449008105405e-14,-6.236672387631498e-14,1.686227166498396e-13,-3.402597625080017e-13,-2.017163382205206e-13,4.779469512476423e-14,-1.988674054394452e-14,7.24967037899429e-13,6.189200770200645e-14,4.299544592241231e-13,-3.402473084317646e-13,-5.858537069250293e-13,-4.327263270758738e-13,1.651536162118423e-13,-2.137826840014704e-14,2.057651522868052e-14,-1.112004666562582e-14,-2.618973549912796e-14,-2.198628808509595e-13,1.545102341794864e-13,-7.489883811621701e-13,-2.208964004005524e-14,7.509698466967516e-14,1.845474718672529e-11,-7.538138306298305e-14,4.572432136280817e-14,-3.634070253947235e-13,1.136648109358419e-13,-3.251023627199171e-14,,,,,,,
frozenset({'223283.9.peg.1575'}),5.385445131615395e-14,1.117250669781125e-13,0.0,1.091726496208955e-14,-3.344237437182154e-14,-1.659921442315529e-12,3.733855249742752e-14,-3.034262473726977e-13,-5.134028585871343e-14,-6.80030469468084e-14,7.746946254312043e-13,-2.209470238866189e-13,-2.974162403418082e-15,2.106003980433272e-13,2.054654515263909e-13,3.52831237295232e-13,2.93727375498921e-14,2.10638292909748e-14,4.919736673603866e-13,-2.894234854029311e-13,9.005890945683841e-14,3.981515129804443e-14,-6.008382490403669e-14,-2.334980840907837e-14,-5.362229999614342e-14,-3.824606838539906e-13,3.838693558860524e-14,-2.734770797991861e-13,-6.160890471441195e-14,1.400991069336252e-13,-1.144833866191542e-13,1.462473887333224e-14,1.50432494353878e-13,-1.505269068408271e-14,4.08257793431874e-14,-1.74699508828255e-13,2.274687476178197e-13,8.885217055040897e-14,-1.121383033864534e-13,-7.065169050824448e-14,-1.203531575062636e-44,1.441895103053145e-13,1.345910999052525e-16,-1.75719038478933e-13,-7.011003608195708e-14,1.776902511262377e-13,-2.224624883509464e-13,7.799174803922831e-15,8.597942787253846e-13,-1.032428115841036e-13,2.906359026725289e-13,1.821053342255196e-13,-5.873711867684951e-14,-2.724265048499257e-15,3.805070327818322e-14,-1.506333380419736e-13,-4.521416600494639e-13,-8.307880714003391e-13,3.712807861893569e-15,5.739023889511862e-14,3.998561906758259e-14,2.41855376968513e-13,-3.364560928112109e-14,3.31289935784676e-15,-2.710088454336731e-13,-1.830467236058851e-14,2.217525198496197e-15,-2.286429552423925e-15,-2.280452407925077e-13,8.298216775940571e-14,-4.11428156609693e-14,6.519401965957274e-14,-2.783520697983486e-13,-2.048002213236541e-13,1.545470870673264e-14,-8.771919977675273e-14,1.330049344958669e-14,-2.951603332631328e-14,-1.618106159780627e-13,-1.07570985945851e-13,-3.063290006211939e-13,1.444967668363325e-13,-4.66421884861925e-14,2.118097495793046e-14,9.638039959008066e-30,-2.973799141656758e-14,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1577'}),6.98027736665456e-14,0.0,-2.798119136892302e-14,-1.611663048030498e-13,-1.811934533847859e-14,-1.999015325170174e-13,2.917974444097843e-13,-1.59613924783652e-14,2.356492344841274e-15,8.743008424343628e-14,-1.288299719778783e-12,-3.717058101483247e-13,-6.167010154532534e-13,7.020402350346132e-14,1.074303204173689e-14,-8.968988954614836e-15,3.346832051463227e-13,-2.445970440372197e-13,-7.34915834745286e-15,3.700720437281237e-13,-4.764817549594375e-13,-1.56883084397033e-14,5.555297526765712e-14,1.820265911718192e-13,-6.071941617392377e-14,-5.905855245902622e-13,2.840281095184182e-13,6.778198494002123e-14,8.113083105218237e-14,5.572107141401112e-13,-4.005909928685898e-14,2.249882602269572e-13,1.927488456867932e-13,-4.991842016527672e-13,-6.659771746032863e-14,5.680991032887635e-12,4.076810705616733e-14,-7.605849552063476e-13,-5.370322861402315e-14,4.731920384843898e-14,-4.251284040238112e-12,-3.613928708466858e-12,2.798333234568534e-13,4.232544682471306e-13,-1.38091548669095e-13,-7.069854021160757e-14,-3.692384240684046e-13,2.720125631673702e-13,-6.328338146051124e-13,-6.744543648633337e-14,-1.298211605482914e-13,-5.956444953438334e-13,-1.163260277833826e-13,2.162047623461767e-13,5.62104093729194e-13,-4.582025323995943e-13,2.944691078093926e-13,-1.656286081358674e-14,-9.711618674891121e-14,6.938342275015685e-13,9.784514302281001e-14,-1.026668947584765e-14,-1.49747149071961e-13,-9.978849400913997e-15,1.305489963289192e-29,-1.964653981093399e-14,6.575323615181577e-15,5.701133166246434e-14,-2.71109041169226e-15,-2.355210729476208e-13,8.633278211998198e-14,5.272118502282594e-13,-7.352426076915351e-14,8.222033677926089e-14,-1.091674940171881e-12,-2.008232852714661e-14,-6.879075220102337e-14,-1.167213172897324e-14,1.773150112529228e-13,-1.533511873599496e-14,7.232803674750873e-12,2.606513364794938e-13,-1.843798065298933e-13,1.038167310176451e-13,-8.659198370620865e-13,6.617115165125085e-14,3.998661071749819e-13,1.457293931696555e-13,2.631099383497274e-14,5.539225080672656e-15,3.883081448832181e-14,-9.046073985538052e-13,7.35882075664305e-14,,,,,,,
frozenset({'223283.9.peg.1663'}),0.0,1.651528207256348e-13,2.854234997965916e-14,-1.549340219423203e-13,-1.438014445747029e-13,2.74044427741286e-14,-7.894017098416408e-13,1.346569711757021e-13,-7.993067477210483e-15,6.445440804411999e-13,1.656974868799487e-13,-9.667341279442423e-14,2.437831779270993e-12,2.943795367173834e-14,-5.578620756297715e-13,3.795339792720651e-14,6.053823769257872e-15,-8.933919029009557e-14,-5.374613446782988e-14,-4.77534373713935e-14,7.03223190185101e-15,-3.371317133528963e-13,-3.887737766232083e-14,8.29101141642118e-14,9.318963378439366e-14,4.566339338403111e-13,-2.963929342221092e-14,-5.373699635104826e-13,-1.511087259674892e-14,-1.013210304100028e-13,1.460150652341474e-13,6.24368346305009e-15,9.899754698629015e-14,-6.612600837332125e-13,-3.17603620103288e-13,-4.920700766260481e-14,2.667969294865802e-13,6.384491000086555e-14,-7.615042612880203e-13,-8.569959591046791e-13,1.777422965741388e-14,2.760301452535652e-13,-8.873169604170009e-14,-7.296153036402447e-14,-3.484428700769689e-14,2.400338092384859e-12,-2.495598945416736e-13,9.748492732539407e-13,2.386531204963533e-13,2.611096607143263e-13,1.318066313390517e-13,-1.745961701527739e-13,-2.813379686828699e-13,-1.068890770428734e-13,1.684866318642752e-13,-1.26618566213327e-13,-1.090891408636981e-13,-1.494157377207163e-13,-1.266576064998498e-13,-5.53195830940563e-14,-1.256406230311621e-13,-1.359327852775447e-12,3.729557484578502e-13,6.68465581885466e-15,3.446234242147588e-15,-4.731670319039508e-14,1.485621247192004e-13,3.874082685189435e-13,5.347141949817517e-14,2.294629083806243e-13,1.884300695268326e-13,-5.276823966616965e-14,-7.049925904215097e-14,-1.172414057153546e-13,6.544812824068048e-14,-7.229822064865773e-16,-2.123470438908759e-13,3.109068361617148e-15,1.030662668134959e-13,-1.483435707931761e-13,-2.108184192201548e-14,-9.513098226315342e-14,-8.370480321450558e-14,-8.72500824996842e-14,-1.047518381322481e-13,1.300555885549525e-15,-9.044583464901955e-13,4.88937790584524e-14,1.635943389420292e-13,-1.324720050526246e-13,-1.381392960864341e-13,,,,,,,,,
