ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,counts_of
frozenset({'223283.9.peg.1570'}),0,-1.80E-13,2.35E-13,-2.24E-13,1.33E-12,1.06E-12,-2.02E-14,6.10E-14,-3.20E-14,-1.94E-14,2.05E-14,1.20E-13,3.20E-15,-8.81E-14,1.02E-13,-6.08E-14,3.09E-13,3.26E-13,-1.40E-13,-7.64E-13,5.76E-14,3.52E-12,-3.75E-13,4.52E-14,-1.46E-13,-4.04E-13,1.73E-14,2.87E-13,-1.07E-13,-5.38E-13,3.94E-13,6.17E-13,-2.33E-13,-4.13E-13,1.93E-13,-1.25E-12,-9.88E-12,-6.78E-14,9.73E-13,2.25E-13,3.55E-13,1.33E-13,1.33E-13,-9.16E-14,1.04E-12,-2.48E-12,6.82E-14,-4.77E-15,1.91E-13,-1.72E-13,9.00E-14,-1.38E-11,1.31E-13,4.28E-14,-4.19E-13,1.43E-13,-3.51E-14,-5.37E-14,-5.82E-13,-4.82E-13,-5.63E-14,1.13E-13,-3.67E-12,2.23E-13,-1.24E-13,-6.20E-14,-1.49E-13,-1.02E-12,5.76E-13,2.14E-13,1.15E-13,-6.09E-13,-8.84E-14,1.88E-13,4.98E-12,5.59E-13,2.63E-14,1.15E-12,2.41E-13,1.08E-13,2.16E-13,5.59E-13,-5.19E-13,-1.77E-13,-1.94E-13,-1.85E-14,1.79E-13,-5.34E-14,9.46E-14,-2.23E-13,4.12E-13,1.51E-11,3.89E-14,1.70E-13,,,,,,0
frozenset({'223283.9.peg.3813'}),8.58E-13,-8.26E-14,1.88E-13,-9.71E-13,2.58E-13,3.57E-13,-1.28E-13,5.44E-14,-1.97E-12,-1.24E-13,-4.42E-13,1.31E-13,-5.77E-13,2.51E-14,2.19E-13,4.76E-13,-1.52E-12,-4.04E-13,-1.09E-13,-4.24E-14,-5.75E-13,-6.03E-13,2.20E-13,-2.97E-13,2.34E-13,8.31E-14,2.11E-14,-9.19E-12,2.20E-14,-3.26E-13,-1.28E-13,0,2.39E-12,-9.21E-14,2.21E-13,3.76E-13,6.02E-13,4.61E-13,-7.84E-13,-5.35E-13,-9.64E-14,-1.70E-12,-3.31E-14,-2.80E-12,-2.10E-14,-5.27E-13,1.26E-13,1.81E-14,-1.05E-11,1.43E-13,-5.79E-13,-1.47E-12,3.63E-13,-7.87E-13,-1.74E-13,6.86E-14,6.37E-13,-6.71E-13,-6.06E-14,-7.88E-13,-3.20E-13,-6.35E-13,1.96E-12,3.63E-14,2.65E-12,6.29E-14,2.93E-13,7.99E-14,-2.63E-13,1.59E-13,9.01E-13,-4.65E-12,5.62E-14,2.62E-13,5.82E-13,-9.70E-12,-2.59E-13,8.53E-14,-2.89E-13,-8.19E-12,1.76E-13,2.46E-14,-1.57E-14,1.14E-14,-1.82E-14,-4.41E-13,1.03E-13,1.58E-13,2.03E-14,1.04E-12,3.88E-13,-7.02E-13,-3.36E-14,1.80E-13,1.52E-13,1.68E-13,2.21E-13,,,0
frozenset({'223283.9.peg.3927'}),9.82E-14,-2.26E-13,-1.95E-13,-5.09E-13,2.29E-13,-2.09E-15,-1.42E-13,-1.95E-14,-2.77E-13,2.12E-13,-1.53E-13,2.66E-15,6.23E-14,-5.93E-13,-1.31E-13,-1.22E-13,-2.19E-13,2.35E-13,1.86E-14,-8.01E-14,-8.70E-14,7.18E-13,-5.20E-13,3.08E-13,2.58E-13,-5.39E-13,-2.87E-14,-2.31E-13,-2.28E-14,2.63E-12,-3.32E-13,-9.85E-13,1.20E-13,-7.88E-15,-6.98E-14,-5.05E-14,-4.11E-14,2.91E-13,6.09E-14,-1.30E-12,3.13E-13,-8.91E-14,1.99E-12,-2.37E-14,-1.42E-13,1.08E-14,2.51E-15,-7.86E-14,-3.46E-14,7.32E-14,8.68E-14,7.80E-14,8.14E-15,3.73E-14,-6.92E-14,5.38E-13,1.26E-14,8.85E-15,-4.47E-13,-1.32E-13,5.18E-13,-4.80E-13,-7.66E-14,-1.49E-12,0,-1.11E-12,-1.57E-13,4.58E-14,-1.42E-12,-6.79E-13,-1.68E-13,-6.78E-13,-4.09E-15,-7.64E-14,1.07E-13,4.14E-15,7.14E-13,1.85E-14,-3.71E-13,7.61E-14,-7.70E-13,-6.78E-13,-3.64E-14,2.63E-13,-1.64E-13,-7.55E-14,4.33E-14,9.66E-14,1.35E-12,-4.83E-14,1.61E-11,-6.98E-16,-7.66E-14,1.12E-13,-9.61E-13,2.58E-13,-7.92E-13,-2.50E-13,,0
frozenset({'223283.9.peg.3930'}),541.0915663,557.6442527,521.8446778,509.5598474,529.3878945,544.9509412,539.8933728,507.9741645,539.126452,528.7417497,536.108319,550.4843818,565.2296566,529.7113863,553.3066917,535.7423421,557.4880147,541.8165015,509.5926659,529.5223626,542.0000081,569.8141062,541.5369298,542.0000081,541.720247,541.5699528,571.5836228,512.5443649,541.8495586,539.0752693,519.0485776,544.1144345,539.534762,578.6932501,556.2580019,551.1920672,534.012656,538.7261623,522.0213289,581.7545933,529.1526042,553.5145202,522.0213289,541.720247,536.2534947,551.1210766,561.5302141,521.7504907,533.2678682,577.916602,515.2003549,521.1468241,541.1575077,534.012656,530.4606958,528.3730803,550.4135734,550.9968871,530.3582085,533.8736708,544.83439,536.830974,530.4606958,560.5127922,533.0139824,529.7113863,508.7567797,525.5806574,553.4442558,541.7863417,544.0816957,540.812742,541.0586016,541.0915663,528.3052878,521.2103021,518.8923634,544.83439,525.6440245,530.426529,572.97808,540.8456767,532.611069,529.5223626,515.1436784,551.263076,528.7756998,508.7567797,522.7853905,533.2678682,591.8580976,534.012656,522.1777972,553.7781708,528.7756998,515.0772558,525.6440245,549.9968883,550.2082751,99
frozenset({'223283.9.peg.5202'}),541.0915663,557.6442527,521.8446778,509.5598474,529.3878945,544.9509412,539.8933728,507.9741645,539.126452,528.7417497,536.108319,550.4843818,565.2296566,529.7113863,553.3066917,535.7423421,557.4880147,541.8165015,509.5926659,529.5223626,542.0000081,569.8141062,541.5369298,542.0000081,541.720247,541.5699528,571.5836228,512.5443649,541.8495586,539.0752693,519.0485776,544.1144345,539.534762,578.6932501,556.2580019,551.1920672,534.012656,538.7261623,522.0213289,581.7545933,529.1526042,553.5145202,522.0213289,541.720247,536.2534947,551.1210766,561.5302141,521.7504907,533.2678682,577.916602,515.2003549,521.1468241,541.1575077,534.012656,530.4606958,528.3730803,550.4135734,550.9968871,530.3582085,533.8736708,544.83439,536.830974,530.4606958,560.5127922,533.0139824,529.7113863,508.7567797,525.5806574,553.4442558,541.7863417,544.0816957,540.812742,541.0586016,541.0915663,528.3052878,521.2103021,518.8923634,544.83439,525.6440245,530.426529,572.97808,540.8456767,532.611069,529.5223626,515.1436784,551.263076,528.7756998,508.7567797,522.7853905,591.8580976,534.012656,522.1777972,553.7781708,528.7756998,515.0772558,525.6440245,549.9968883,550.2082751,,98
frozenset({'PSPTOA0036'}),541.0915663,557.6442527,521.8446778,509.5598474,529.3878945,544.9509412,539.8933728,507.9741645,539.126452,528.7417497,536.108319,550.4843818,565.2296566,529.7113863,553.3066917,535.7423421,557.4880147,541.8165015,509.5926659,529.5223626,542.0000081,569.8141062,541.5369298,542.0000081,541.720247,541.5699528,571.5836228,512.5443649,541.8495586,539.0752693,519.0485776,544.1144345,539.534762,578.6932501,556.2580019,551.1920672,534.012656,538.7261623,522.0213289,581.7545933,529.1526042,553.5145202,522.0213289,541.720247,536.2534947,551.1210766,561.5302141,521.7504907,533.2678682,577.916602,515.2003549,521.1468241,541.1575077,534.012656,530.4606958,528.3730803,550.4135734,550.9968871,530.3582085,533.8736708,544.83439,536.830974,530.4606958,560.5127922,533.0139824,529.7113863,508.7567797,525.5806574,553.4442558,541.7863417,544.0816957,540.812742,541.0586016,541.0915663,528.3052878,521.2103021,518.8923634,544.83439,525.6440245,530.426529,572.97808,540.8456767,532.611069,529.5223626,515.1436784,551.263076,528.7756998,508.7567797,522.7853905,533.2678682,591.8580976,534.012656,522.1777972,553.7781708,528.7756998,515.0772558,525.6440245,549.9968883,550.2082751,99
frozenset({'PSPTO_0062'}),541.0915663,557.6442527,521.8446778,509.5598474,529.3878945,544.9509412,539.8933728,507.9741645,539.126452,528.7417497,536.108319,550.4843818,565.2296566,529.7113863,553.3066917,535.7423421,557.4880147,541.8165015,509.5926659,529.5223626,542.0000081,569.8141062,541.5369298,542.0000081,541.720247,541.5699528,571.5836228,512.5443649,541.8495586,539.0752693,519.0485776,544.1144345,539.534762,578.6932501,556.2580019,551.1920672,534.012656,538.7261623,522.0213289,581.7545933,529.1526042,553.5145202,522.0213289,541.720247,536.2534947,551.1210766,561.5302141,521.7504907,533.2678682,577.916602,515.2003549,521.1468241,541.1575077,530.4606958,528.3730803,550.4135734,550.9968871,530.3582085,533.8736708,544.83439,536.830974,530.4606958,560.5127922,533.0139824,529.7113863,508.7567797,525.5806574,553.4442558,541.7863417,544.0816957,540.812742,541.0586016,541.0915663,528.3052878,521.2103021,518.8923634,544.83439,525.6440245,530.426529,572.97808,540.8456767,532.611069,529.5223626,515.1436784,551.263076,528.7756998,508.7567797,522.7853905,533.2678682,591.8580976,534.012656,522.1777972,553.7781708,528.7756998,515.0772558,525.6440245,549.9968883,550.2082751,,98
frozenset({'PSPTO_0073'}),541.0915663,557.6442527,521.8446778,509.5598474,529.3878945,544.9509412,539.8933728,507.9741645,539.126452,528.7417497,536.108319,550.4843818,565.2296566,529.7113863,553.3066917,535.7423421,557.4880147,541.8165015,509.5926659,529.5223626,542.0000081,569.8141062,541.5369298,542.0000081,541.720247,541.5699528,571.5836228,512.5443649,541.8495586,539.0752693,519.0485776,544.1144345,539.534762,578.6932501,556.2580019,551.1920672,534.012656,538.7261623,522.0213289,581.7545933,529.1526042,553.5145202,522.0213289,541.720247,536.2534947,551.1210766,561.5302141,521.7504907,533.2678682,577.916602,515.2003549,521.1468241,541.1575077,534.012656,530.4606958,528.3730803,550.4135734,550.9968871,530.3582085,533.8736708,544.83439,536.830974,530.4606958,560.5127922,533.0139824,529.7113863,508.7567797,525.5806574,553.4442558,541.7863417,544.0816957,540.812742,541.0586016,541.0915663,528.3052878,521.2103021,518.8923634,544.83439,525.6440245,530.426529,572.97808,540.8456767,532.611069,515.1436784,551.263076,528.7756998,508.7567797,522.7853905,533.2678682,591.8580976,534.012656,522.1777972,553.7781708,528.7756998,515.0772558,525.6440245,549.9968883,550.2082751,,98
frozenset({'PSPTO_0075'}),-1.76E-10,-6.29E-11,-3.42E-11,-3.51E-11,-4.00E-11,-7.23E-11,1.09E-12,-5.56E-11,-1.65E-11,5.41E-09,-9.11E-11,1.28E-10,-8.62E-11,1.52E-11,1.23E-11,7.37E-11,1.71E-10,2.16E-11,-3.40E-11,1.15E-10,1.60E-11,2.09E-13,-5.97E-11,2.79E-11,9.41E-12,-9.29E-11,-5.67E-11,-9.97E-10,3.18E-11,-4.28E-11,1.94E-10,-2.67E-12,-9.85E-11,5.54E-11,-4.88E-10,-6.41E-11,8.99E-11,-1.09E-10,-8.44E-11,-1.89E-10,-6.41E-11,3.99E-12,1.55E-12,-1.06E-11,-1.93E-10,-3.32E-11,-2.55E-10,-9.75E-11,3.01E-12,2.03E-12,-3.31E-11,8.96E-11,2.32E-11,-1.70E-11,-5.22E-11,-3.53E-11,-1.44E-10,-7.42E-11,-1.56E-11,2.02E-11,4.32E-11,-2.61E-11,-5.41E-13,-2.08E-10,-1.93E-11,-4.46E-12,4.96E-11,-7.11E-10,-4.38E-11,-6.99E-11,4.96E-12,-4.43E-11,-8.73E-11,-2.39E-11,-2.68E-11,-3.37E-11,0,5.27E-11,-5.05E-11,-7.14E-11,2.85E-10,-6.61E-11,5.80E-11,-1.64E-12,-5.96E-11,7.03E-11,3.84E-11,7.04E-11,-1.02E-11,2.81E-11,-7.44E-11,7.32E-11,1.25E-12,-3.51E-11,-7.36E-11,-2.21E-11,4.38E-11,-1.67E-11,1.04E-10,0
frozenset({'PSPTO_0080'}),540.1098807,549.7443678,521.2716555,503.2948302,522.499628,544.9509412,533.4541375,500.9222364,532.7053889,521.0237782,529.1402132,542.9505226,565.2296566,522.841244,546.8755315,527.5847922,548.5401744,540.8192708,503.3262063,521.7671549,540.1098807,561.6476951,540.5133877,540.077622,539.8047992,540.6103316,567.3389571,506.5844238,540.8839694,534.2665263,512.8557154,544.1144345,533.5784597,570.0504739,548.4125188,543.5923028,527.7919505,532.8252386,520.5571316,575.4711279,522.3073132,547.078556,520.5571316,539.8370253,528.0708244,543.4567836,554.8258169,521.397566,527.0644019,568.2781059,507.7392366,520.5571316,540.2066799,527.7919505,523.5571723,521.5300026,542.8491167,543.4398484,523.3939964,533.8736708,544.83439,529.7701578,523.5571723,559.1503001,526.8163872,522.841244,501.6991874,525.5806574,547.0099159,539.9337267,544.0816957,539.8370253,540.077622,540.1098807,521.4976116,520.6503794,512.703206,544.83439,525.6440245,523.524529,566.3277001,539.9014891,526.4227856,521.7671549,507.6206031,543.6939866,521.0561104,501.6991874,521.3339877,527.0644019,588.2256651,527.7919505,521.5978843,547.3361096,521.0561104,508.5135402,525.6440245,541.2847819,547.0099159,99
