ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),3.157773625178823e-14,9.705523957863058e-14,2.649997981351919e-14,-1.168522210921486e-14,-4.613025261350376e-14,3.860837514560638e-15,-8.285886625430205e-17,0.0,-1.210611839752064e-14,-1.434537830947603e-14,5.680313401625323e-14,-1.251497971428522e-14,-1.365607340991934e-16,4.39093683793327e-13,-7.102963509855557e-14,1.593157344944045e-14,1.368798224089206e-15,2.242938767935758e-15,-2.053198002827854e-14,-2.17040078767775e-15,8.146844814534203e-16,-2.696116344047803e-14,4.459638615450229e-15,-1.433595724107272e-14,-6.37992716527745e-15,8.044273934349522e-14,1.258904059661832e-14,4.770727797629298e-15,1.259965809421499e-14,-5.962241272011175e-14,3.55631614410854e-13,-5.135406646845687e-14,6.880654837266716e-15,8.780584450769944e-15,1.856895407962956e-14,9.468015488876803e-15,-1.200336788592771e-14,-1.265343291618818e-14,8.071241818272738e-15,2.343465161591549e-14,-2.042210994987447e-14,-2.130817707263041e-16,1.700681943873393e-14,-3.03907127231336e-14,2.796673019688279e-15,-2.853795418608664e-13,-1.679484277181273e-14,5.874263062891513e-15,2.465580937361353e-15,-1.296543151560557e-14,1.564946348630353e-14,2.659636869682614e-14,9.308620941845773e-15,3.613997139335639e-15,-2.192981657808929e-15,-2.659393568879294e-15,4.339323982060371e-14,1.875822056517232e-15,-2.630874832198365e-14,-5.631263041889182e-16,6.178520828811791e-15,2.82340218178199e-16,1.327333829584067e-14,-1.28061093063403e-15,5.504943959626604e-15,-6.552072075489807e-15,6.077029719059953e-15,3.690142752416474e-15,8.682602819323678e-14,-6.194576291975232e-15,-2.833323743452043e-14,-8.112381583571241e-15,1.316395187633492e-14,1.984551182032764e-15,1.439727119760018e-13,2.801244612704199e-14,-3.013299908314975e-14,-7.345616408065078e-15,-7.468464971581768e-15,-3.763339456123244e-14,1.622994401391052e-14,1.829729344462909e-15,1.094739934652398e-14,1.034988821597284e-15,-2.827080091053058e-14,1.128213297133581e-13,4.429456327682699e-14,6.833169825636624e-15,-4.179155274384052e-15,-6.667082467619756e-14,-4.823017308734442e-15,-3.183850891678998e-15,4.000495023617875e-14,,,,,,,
frozenset({'223283.9.peg.3813'}),-1.158356788438844e-13,-5.627313400842725e-15,-1.703440046493815e-14,1.470217523740564e-13,4.339108465384453e-14,-1.044051610789724e-14,4.446084045569296e-15,1.463670934963811e-14,-1.847047705287657e-14,2.161398977747651e-14,4.585652408619134e-15,-4.669150859513719e-15,-1.31939689786665e-15,-6.278657914186134e-16,2.630879228738705e-14,6.223563864976283e-16,4.261925436072e-15,6.000221889362909e-15,1.69173455282805e-14,7.676882690574185e-15,-2.315098046394739e-14,-1.319936780759251e-14,3.360930106890589e-15,-7.031205257399218e-16,9.858057996213096e-15,-6.81902021589295e-15,3.77469926400272e-14,7.243875534694168e-15,-3.081703527055662e-15,-4.021682190899787e-15,-1.215960733697199e-15,-2.196932413678165e-15,2.428074778072823e-14,6.153642480584098e-15,3.423548955337018e-15,2.504152112903512e-13,0.0,-1.580293797620884e-14,1.587924444840551e-14,-8.515696235574262e-14,1.969309917273981e-15,-2.028767711985326e-14,-5.480462210033224e-14,-1.037817948794285e-14,1.938879508759121e-14,7.962998334779132e-15,1.76982086766707e-15,2.762125567231722e-14,6.25428534222031e-14,1.036349060160323e-13,5.259440535041612e-14,1.616482857648619e-15,2.417716028315371e-14,6.97033524791709e-15,6.055813156835082e-18,6.221285735884013e-16,-3.622527449353308e-13,1.951768803138061e-16,2.163213405410653e-14,-4.607325985341361e-14,1.42556222595996e-16,7.828097663760382e-14,1.102278407123331e-13,3.489451772125185e-15,-3.905740193802725e-15,-1.546156933918815e-14,-2.211599373264383e-14,1.672953969270562e-15,3.126063950193013e-14,5.45860647981697e-15,-1.41899996716519e-13,6.293534336722029e-14,-9.601737205279656e-16,-3.841621487472295e-14,6.555127199085755e-15,2.431171382746761e-13,-5.44137587251856e-14,4.543989666994178e-14,6.482839668804664e-16,-3.320792833596942e-14,-1.109080990251795e-14,-1.173188090205761e-13,-1.953656140211846e-14,4.097395328621597e-15,-1.063693658392703e-15,1.689962034847663e-14,4.055005154159316e-14,-8.04098232224788e-14,3.200288058684532e-14,7.226308245898827e-15,1.083321425653208e-15,4.255959804040412e-14,-1.018766795495152e-14,9.542329417293587e-15,2.248467514622826e-15,-3.324442432624449e-31,-1.313127013619202e-14,-1.596829416876334e-13,,
frozenset({'223283.9.peg.3927'}),-4.64389027093755e-14,-1.511917865323435e-15,2.726825794483835e-15,0.0,1.779766431352788e-15,-2.076378814272912e-14,-6.628644972174921e-15,-8.548176108988345e-15,5.434700313054356e-16,1.37227731696974e-14,-1.440023569668007e-15,1.250734726253012e-14,9.769050450949653e-14,4.231706823261086e-15,1.77688860951916e-13,-8.36451044982163e-14,-5.948194896356249e-14,2.504081840040589e-14,-5.909794481829801e-15,5.005222494969479e-14,-2.150407403936465e-14,-4.362072319846783e-15,5.704510733588309e-15,8.541809554374307e-14,-2.104976428532981e-13,-1.197971656757988e-14,-8.983147654943581e-15,3.26429536267456e-14,-1.500188879193063e-14,6.86588693209582e-14,-4.918893856835364e-15,4.968207171934365e-16,-3.542732103877678e-14,2.682562165105134e-15,8.574981182508616e-15,-2.373579438238939e-15,1.234269604648776e-14,-4.850463724993186e-16,4.254171263760925e-13,-7.214992716849642e-15,-7.058698749056178e-13,1.652004691370118e-14,-8.196328451069823e-14,3.789578165786197e-15,-3.837668894408597e-15,-9.536915370428747e-15,-4.649969481072498e-15,-1.034101642347718e-14,1.078613081428341e-15,9.117964510724453e-14,-5.342782728336504e-14,-4.892433990762637e-15,-1.127133388000247e-15,5.611903023724387e-14,-2.896561447164869e-14,6.428941199304833e-17,-1.494173511068113e-15,1.413559649605358e-15,-1.020813406341605e-15,-3.090964228132247e-14,-4.965140760752072e-15,1.703813220520351e-14,-4.159725973601208e-14,-4.975819192407799e-16,5.992157818989434e-14,3.79566346685245e-16,-5.099298970168101e-15,3.39233582690365e-14,3.138538148352076e-14,3.99527117719591e-15,-7.84710379827718e-15,-6.818454881992138e-16,7.391462215966025e-16,2.76874680222085e-14,-7.495782739919454e-16,-1.016667673169458e-14,4.553366820903231e-14,4.594342495037101e-15,-4.071335568522822e-15,-2.98718595503173e-14,-4.565743191539321e-16,5.669804256408173e-16,6.059653983977872e-15,4.997483655119013e-15,-6.564717525536828e-15,-3.056193487452608e-14,-2.806621883019509e-14,4.430359537167922e-16,1.498426790174386e-14,-2.602721863526331e-14,-3.60696897393422e-14,9.290327743309163e-14,4.735153508657375e-16,7.809836785754978e-14,-1.663928946649768e-14,-2.562709342464123e-14,1.311858153005671e-14,1.898016752378393e-15,,
frozenset({'223283.9.peg.3930'}),37.52386709942292,37.53784038995552,37.53784038995619,37.78493573602129,38.12128306902066,37.5378403899559,38.25299939914444,38.10912509475507,38.10912509475357,38.25299939914456,37.46768521914066,38.10912509475506,38.10912509475487,38.25299939914469,38.10912509475512,38.25299939914461,37.46768521914164,37.53784038995553,37.54435375726289,38.10912509475515,38.10912509475464,37.5378403899563,37.53784038995601,37.78493573602143,37.78493573602123,38.25299939914433,37.53784038995777,38.12128306902162,38.0830542175213,37.54435375726268,38.1091250947554,38.08305421752153,38.24075727696618,38.10912509475547,38.24075727696088,38.24075727696605,38.10912509475526,38.10912509475523,38.1091250947547,37.5443537572628,38.22852298798283,38.24075727696648,38.25299939914463,37.53784038995598,37.53784038995557,37.72399028673632,37.46768521914083,38.25299939914402,37.77540298108732,38.25299939914613,38.10912509475433,38.25299939914446,37.5378403899561,38.1091250947553,37.53784038995573,37.53784038995587,37.47417426118624,38.24075727696651,38.10912509475501,38.1882908370667,38.25299939914391,38.10912509475477,38.1091250947548,37.53784038995594,38.24075727696562,38.10912509475438,38.10912509475503,38.24075727696626,37.53784038995575,38.24075727696583,37.78493573602065,37.50990420800643,38.24075727696617,37.78493573602068,38.21450604863316,38.24075727696587,38.25299939914451,38.10912509475493,38.25299939914421,37.5378403899558,38.24075727696607,37.46768521914127,37.98017907059173,38.10912509475457,38.10912509475556,38.10912509475521,38.24075727696636,38.10912509475537,38.1091250947555,37.53784038995509,38.10912509475508,38.10912509475476,37.46768521914132,38.24075727696627,38.10912509475489,38.21450604863326,,,,
frozenset({'223283.9.peg.5202'}),37.52386709942343,37.53784038995571,37.53784038995592,37.78493573602024,38.12128306902031,37.53784038995577,38.25299939914426,38.10912509475481,38.109125094755,38.25299939914451,37.46768521914086,38.10912509475548,38.1091250947554,38.25299939914416,38.25299939914427,37.46768521914053,37.53784038995535,37.54435375726268,38.10912509475023,38.10912509475479,37.53784038995608,37.53784038993133,37.7849357360212,37.78493573602069,38.25299939914487,37.53784038995613,38.12128306902099,38.08305421752058,37.54435375726277,38.10912509475501,38.08305421752064,38.24075727696666,38.10912509475554,38.24075727696606,38.24075727696618,38.10912509475597,38.10912509475519,38.10912509475515,37.54435375726285,38.22852298798259,38.24075727696621,38.25299939914411,37.53784038995597,37.53784038995603,37.72399028673679,37.4676852191413,38.25299939914413,37.77540298108612,38.10912509475485,38.25299939914472,38.10912509475556,37.53784038995528,37.53784038995629,37.47417426118628,38.24075727696609,38.10912509475426,38.18829083706879,38.25299939914377,38.10912509475532,38.10912509475573,37.53784038995581,38.24075727696619,38.10912509475558,38.24075727696633,38.24075727696586,37.53784038995563,38.24075727696469,37.78493573603836,37.50990420800665,38.24075727696538,37.78493573602096,38.21450604862392,38.10912509475493,38.2407572769662,38.25299939914464,38.10912509475452,38.25299939914385,37.53784038995583,38.24075727696559,37.4676852191404,37.98017907059229,38.1091250947559,38.10912509475507,38.10912509475466,38.2407572769665,38.10912509475499,38.25299939914424,38.10912509475541,37.53784038995588,38.10912509483487,38.10912509475598,37.46768521913228,38.24075727696593,38.10912509475569,38.21450604863304,,,,,
frozenset({'PSPTOA0036'}),37.52386709942273,37.53784038995578,37.53784038995619,37.78493573602103,38.12128306901994,37.53784038995661,38.25299939914439,38.10912509475524,38.10912509475465,38.25299939914377,37.46768521914155,38.10912509475497,38.10912509475506,38.25299939849481,38.10912509475546,38.25299939914454,37.46768521914031,37.53784038995528,37.54435375726258,38.10912509475452,38.10912509475499,37.53784038995541,37.53784038995614,37.7849357360209,37.78493573602137,38.2529993991445,37.53784038995593,38.12128306902108,38.08305421752088,37.54435375726234,38.0830542175212,38.24075727696603,38.10912509475536,38.24075727696573,38.2407572769655,38.10912509475474,38.10912509475537,38.10912509475481,37.54435375726315,38.22852298798369,38.24075727696602,38.25299939914412,37.53784038995599,37.5378403899556,37.72399028673678,37.46768521914139,38.25299939914437,37.77540298108736,38.10912509475558,38.25299939914379,38.10912509474955,38.25299939914429,37.53784038995538,38.10912509475507,37.53784038995589,37.474174261186,38.2407572769662,38.10912509475455,38.18829083706869,38.10912509475508,38.10912509475554,37.53784038995579,38.24075727696569,38.10912509475467,38.10912509475411,38.24075727696665,38.24075727696595,38.24075727696457,37.78493573602076,37.50990420800686,38.24075727696614,37.78493573602084,38.21450604863314,38.10912509475489,38.24075727696631,38.25299939914404,38.10912509475509,38.25299939914419,37.53784038995583,38.24075727696611,37.46768521914075,37.98017907059165,38.10912509475421,38.10912509475514,38.10912509475438,38.24075727696636,38.10912509475538,38.25299939914383,37.53784038995576,38.10912509475545,37.46768521914085,38.24075727696531,38.21450604863303,,,,,,,
frozenset({'PSPTO_0062'}),37.52386709942265,37.53784038995592,37.53784038995646,37.78493573602061,38.12128306902073,37.53784038995533,38.25299939914384,38.1091250947556,38.10912509475477,38.25299939914469,37.46768521914142,38.10912509475492,38.10912509475572,38.25299939914412,38.10912509475538,38.25299939914434,37.46768521914085,37.53784038995538,37.54435375726259,38.10912509475524,38.10912509475464,37.53784038995617,37.53784038995604,37.78493573602105,37.78493573602089,38.25299939914461,37.53784038995568,38.12128306902131,38.08305421752063,37.54435375726257,38.10912509475543,38.08305421752146,38.24075727696569,38.10912509475549,38.24075727696608,38.24075727696669,38.10912509475521,38.10912509475143,38.10912509475484,37.5443537572632,38.22852298798373,38.24075727696652,38.25299939914419,37.53784038995582,37.53784038995598,37.72399028673718,37.46768521914137,38.2529993991437,37.77540298108749,38.10912509475487,38.25299939914413,38.10912509475571,38.25299939914399,37.53784038995621,37.53784038995577,37.53784038995556,37.47417426118567,38.24075727696647,38.10912509475525,38.18829083706802,38.2529993991443,38.10912509475537,37.53784038995579,38.24075727696604,38.1091250947552,38.10912509475493,38.24075727696592,38.24075727696668,37.53784038995532,38.24075727696611,37.78493573602136,37.50990420800711,38.2407572769659,37.78493573602139,38.21450604863393,38.25299939914472,38.2529993991439,37.53784038995561,38.24075727696623,37.46768521914107,37.98017907059251,38.10912509475458,38.10912509475516,38.10912509475432,38.24075727696702,38.25299939914408,38.10912509475503,37.53784038995542,38.10912509475544,38.10912509475472,37.46768521914053,38.24075727696606,38.21450604863378,,,,,,,
frozenset({'PSPTO_0073'}),37.52386709942309,37.5378403899557,37.53784038995611,37.78493573602093,38.12128306902058,37.537840389956,38.25299939914444,38.10912509475519,38.10912509475543,38.25299939914368,37.46768521914155,38.10912509475629,38.10912509475496,38.25299939914427,38.10912509475608,38.2529993991447,37.46768521914087,37.53784038995646,37.54435375726265,38.10912509475516,38.1091250947546,37.53784038995549,37.53784038995585,37.78493573602156,37.78493573602107,38.25299939914449,37.53784038995592,38.12128306902064,38.08305421752064,37.54435375726226,38.1091250947558,38.0830542175209,38.24075727696606,38.10912509475524,38.24075727696624,38.10912509475479,38.10912509475428,37.5443537572626,38.22852298798342,38.24075727696589,38.25299939914399,37.53784038995543,37.53784038995548,37.72399028673545,37.46768521914104,37.77540298108682,38.10912509475511,38.25299939914523,38.10912509475529,38.25299939914428,37.53784038995595,38.10912509475538,37.53784038995571,37.53784038995589,37.47417426118592,38.24075727696328,38.10912509475344,38.18829083706804,38.25299939914405,38.10912509475497,37.53784038995735,38.10912509475561,38.2407572769661,37.53784038996161,38.2407572769664,37.78493573602079,37.50990420800657,38.24075727696595,37.78493573602127,38.21450604863342,38.10912509475492,38.24075727696587,38.25299939914374,38.10912509475491,38.25299939914415,37.53784038995516,38.24075727696539,37.46768521914107,37.98017907059194,38.10912509475443,38.10912509475531,38.10912509475452,38.24075727696632,38.1091250947556,38.25299939914461,38.10912509475521,37.53784038995805,38.10912509475503,37.46768521914132,38.24075727696628,38.10912509475507,38.2145060486333,,,,,,,,
frozenset({'PSPTO_0075'}),-2.091967068915644e-12,3.17903881383016e-12,3.044175875271863e-11,3.964714134799549e-12,-3.039951746967147e-12,-1.214849751706872e-11,-1.543394329539296e-12,-3.553447021858306e-11,7.083056269125861e-12,-1.088958671221931e-11,-2.060809084890165e-12,-1.186853427784305e-10,-1.788306165499135e-12,-5.590754193368925e-12,5.230535601180165e-13,-1.102439221567261e-11,8.709805045999093e-12,-5.652791832875175e-12,-9.173212085849825e-12,-1.260855842472945e-11,4.280409534389688e-12,9.109103018542396e-13,1.0418470249878e-13,5.369001569334673e-12,8.345620199099794e-12,4.950972953401817e-12,-1.860284830693706e-12,-4.934166684789997e-12,-1.606760116412308e-11,-2.944138976486403e-11,4.868406070086246e-12,2.094587572348942e-11,1.622121201398408e-13,9.541922693957693e-13,-5.705190346677378e-13,-3.675687425662566e-11,1.447387963787837e-11,1.9189993327006e-13,5.899756153912569e-12,8.153516728703005e-13,3.423800045570188e-13,-1.413431958897025e-11,-6.189962726837439e-12,-3.689623895118641e-12,-7.685671381333843e-12,-2.858265372481315e-11,-4.132888765301927e-12,-2.001640037533096e-12,-1.913730615244637e-11,5.119932139163113e-13,-2.841778617766116e-12,-4.575738958722232e-12,-1.812423789948533e-13,9.041038657324819e-12,-2.838492152373964e-12,2.85829602985645e-12,4.657996648609269e-12,-9.320936875653198e-13,1.05032054305882e-10,4.418232783702523e-13,-1.47539682321601e-12,-1.011608939448747e-12,1.384791141892802e-13,-7.123243974943509e-12,3.333843354108794e-12,7.526705387221002e-12,-9.521533047085839e-12,2.687283550966579e-12,-4.454884771644624e-12,-9.589839118429046e-12,-5.679798462221798e-12,-7.996822892230769e-12,1.028876667747916e-12,-3.877315528288517e-12,3.879427704025804e-12,7.489870464329653e-13,-3.695684544981651e-12,-1.635512916373469e-11,3.367021256296839e-14,-6.17949084799705e-12,-7.44876492283735e-12,6.749044181864917e-12,-3.183150679949602e-12,-2.550171934651765e-13,-8.067228247020139e-13,-5.539267147581676e-12,3.209891551577101e-13,6.624041091490425e-12,2.908771524708148e-12,9.541597020581962e-12,-1.677479667456391e-12,2.754834341586517e-12,-1.185907176192191e-12,-7.832371886267147e-12,-4.337611783118621e-12,-1.512018957031829e-12,-3.452947023334617e-12,2.950957164125853e-12,-4.855171982929529e-12,-2.204799473250385e-12
frozenset({'PSPTO_0080'}),4.087621222279337e-14,1.283598615626815e-13,7.414582590664145e-12,3.497531957008095e-16,2.973632079145734e-14,-1.269909745452514e-14,-1.076827851193933e-12,8.113008700983963e-15,2.777785576156434e-11,4.191093552150525e-12,-1.475368247838262e-13,-6.737601021974137e-15,2.711909679104506e-13,-1.919836696415442e-13,-4.373450515670817e-14,-4.955616892930629e-14,-7.380673045037789e-14,-4.238212780389609e-13,3.301827571135585e-13,1.117269618793542e-14,6.272794554687617e-12,1.746238544120507e-11,3.907199938748851e-14,-1.636506700023887e-13,-2.662714618302432e-14,6.461701585059958e-15,-5.910619911972096e-14,4.114704251970026e-15,-5.804043132385546e-14,-1.307862801826125e-14,5.0828293935919e-14,5.941505236218067e-14,1.215963753594004e-11,-1.593809574706916e-14,4.988049063478432e-14,-9.552018851966745e-13,-2.690604516145276e-12,-2.44292378878658e-14,-1.23103431474779e-27,-1.102467611619405e-13,-5.470918312125003e-14,9.453044943670167e-15,-4.420698122451168e-13,3.836516858763754e-14,7.711488773195981e-12,-6.077829209433767e-14,-1.155695005905527e-12,6.454828388989714e-13,3.811943161218123e-14,-1.898043839120394e-15,-7.778697695231006e-15,6.368163207595742e-14,1.334645764959661e-15,6.71972596613442e-14,-1.381199278959818e-13,-5.857549102875619e-15,8.153801754867088e-14,-3.315515437088384e-12,2.334080024292749e-14,-6.565956460699924e-16,8.23200332941574e-14,-1.598431155999194e-15,7.698847471855816e-15,-3.680954788641508e-13,4.790279975314371e-14,-1.061633634365649e-13,0.0,7.781871060785142e-12,-1.282389026939479e-15,1.916521668792365e-15,2.848951525539194e-14,7.059005476047151e-14,3.67006012774249e-13,1.931497163336098e-13,-6.524769141762335e-12,3.68935050739077e-13,-1.195409889776208e-12,8.407485794215225e-14,-2.11540651867232e-13,-4.867787984450063e-12,-9.387450821770417e-15,-3.74184453905766e-13,4.005856720061219e-14,5.560229910311238e-14,5.075822771107795e-14,-7.014831543143902e-15,1.098960231380069e-14,6.495871419748473e-12,-2.813013493355361e-14,-1.254327058869158e-12,-1.592719819437492e-12,1.530903948846592e-12,-6.874037593038498e-15,6.508871566833835e-14,2.444634150846806e-15,3.981729050330568e-13,7.421702713967689e-12,9.757565210757764e-14,-1.173343435832132e-14,9.868876210814024e-14
