ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),2.269271287182399e-16,1.072546290522493e-16,-4.437634403519678e-16,1.181433571287096e-16,4.255173947497927e-17,2.290499329225985e-16,-4.291480137307858e-15,-6.235648993484499e-15,-3.078835498126451e-16,7.277060214678165e-16,2.067099122500828e-15,-2.983626172564675e-16,1.137298647072602e-14,-7.842065180730657e-16,-4.781735496281065e-16,-1.586806612867111e-16,4.476471417841307e-16,2.431886990282606e-16,-2.908229439836942e-16,-9.288860315809231e-16,7.811282866165105e-16,-1.877524852246889e-15,5.837085941927478e-15,-6.579249903487261e-16,6.104622459873882e-18,-9.765551283520416e-15,-7.546783851947449e-16,-9.700701420878904e-16,-6.263420331912896e-16,-2.584122781681439e-16,0.0,-2.326666543951491e-16,1.092129295650328e-16,-8.387496576293273e-16,-3.218529311029665e-16,1.870867342749633e-16,2.910854717948031e-16,-1.493948069791141e-16,-2.495627718648677e-16,-5.091133992951548e-16,-3.53348676181954e-16,-4.872313723637679e-16,5.94084627890593e-14,5.014385752678798e-16,-2.289995830430585e-16,1.877038428847745e-16,-3.470318641567577e-16,2.649650209653906e-16,2.444231697439831e-15,4.04488885002119e-16,2.773047115428205e-16,1.194543407288512e-15,-5.640932086407521e-15,-1.661820064912114e-15,-1.043400084515156e-16,-1.962305378464586e-15,-1.146705633755619e-16,3.255167520623899e-17,-2.212297537181762e-16,2.308854496858808e-17,-5.194743569911118e-17,-9.860683109224559e-16,3.328823064851242e-13,-8.295707325631314e-16,1.668740818098542e-17,-1.16697002208376e-16,3.166939806729754e-15,1.317598579227146e-16,2.028428611577049e-15,2.45169883891998e-16,2.081549094447449e-16,-3.818524062893765e-16,2.897389847067606e-16,3.812642394593971e-14,2.174801656695024e-16,1.201538092158933e-16,-4.707979726030518e-17,2.598777475887118e-15,8.10031254882086e-17,5.378101147405566e-16,-1.259441309014393e-15,-4.423011027412583e-14,-8.81953103191953e-16,-5.235433737435641e-16,-1.299589621233002e-15,8.189910286932098e-15,-4.442573705180222e-16,-1.870694447212789e-16,1.165681673916558e-16,1.288257174861806e-15,-1.930946909352898e-15,-1.488594729866652e-16,-5.871724932122641e-15,2.131891578557469e-16,3.995142418851182e-16,-1.72682974609751e-15,-2.981183157974777e-16,-1.0288590186706e-16,,
frozenset({'223283.9.peg.3813'}),2.578858090660131e-16,2.803503226262602e-17,1.114991465505138e-15,8.136634370102892e-17,1.331570004321566e-16,5.252211729995645e-16,2.265319990849954e-15,-1.366984237331626e-16,8.091098977861397e-16,-8.18828463546915e-16,2.461718564014279e-16,9.263654811347597e-17,-1.550192101623119e-16,-5.553668642941925e-15,5.284065867712614e-16,2.069862031396334e-16,6.471291652514343e-17,2.345084850334687e-17,7.441920693908909e-17,4.987002008846221e-17,1.855665232949782e-18,-5.755287493308538e-16,-3.743909242005685e-16,-2.283356579839592e-16,3.265567207044103e-16,1.22796833134431e-16,4.398760208978739e-17,-3.902456670987875e-16,-3.453315349080501e-16,6.619614979472812e-16,2.630552351561251e-16,1.581767058093597e-17,-1.906994479250658e-16,-2.042839595609797e-15,-8.539887994497653e-16,3.761524327299607e-16,-1.167117445672903e-17,-7.378744720311882e-16,-1.732998882416244e-16,9.119455166160772e-16,0.0,4.558683671996177e-16,-1.421086824005608e-16,-1.319607699268219e-15,-2.522461696279037e-15,3.670728933296563e-16,1.030714531830063e-15,-6.26378439155534e-18,4.118373900092233e-16,2.922614332819312e-16,-4.871709829018973e-16,-7.350223440810962e-16,-1.608025094436712e-16,-2.431173720788794e-15,1.372173786586941e-15,-6.079320369251541e-17,-9.777744007704709e-16,-7.124164931147099e-16,-4.947113024235284e-16,1.391594877854415e-15,-2.32398872484518e-16,3.839316859663678e-17,-4.97037467616504e-17,3.815740912264414e-16,-2.159119041416409e-16,-4.115026855812224e-16,1.375937296478279e-15,1.065680125992122e-15,4.84617213907231e-17,-1.053631371125595e-15,4.883088909968424e-16,2.828364890395117e-15,-1.161859123232041e-15,9.485959316262884e-16,6.607171665083339e-16,2.044004122568738e-17,-7.568546863268781e-17,-9.737507812601978e-17,-4.976685534289243e-16,1.603283591236105e-17,-2.240851051527398e-16,-7.746489038865775e-16,9.282689245722072e-16,1.359234834594897e-16,-4.538316788725966e-16,-5.337764157624791e-15,4.519197043504001e-16,6.92333966311267e-14,-1.009397487759643e-15,-1.854337470251285e-16,-1.765260405068206e-16,-9.423579230713816e-17,1.774535602255497e-16,9.86538440837753e-17,3.803311583949509e-16,1.782893609875315e-17,-9.72101677101912e-17,7.524373629512301e-17,1.08532460620406e-16,
frozenset({'223283.9.peg.3927'}),-4.99917723281328e-17,3.008421216591726e-16,2.547663437162675e-16,3.646291114523392e-16,-2.564205832798091e-15,6.888367589208713e-17,0.0,7.402548375166473e-15,3.087469003367396e-16,-4.100388931896466e-16,3.790953134250697e-16,-3.943696148357415e-16,4.797966953421498e-16,-5.835211996852549e-16,2.033596333923091e-16,-7.617931302876168e-16,3.067539536136787e-16,4.058357345818296e-14,-2.858468149896547e-16,-8.267454978610124e-16,1.662934031022027e-16,7.177986001785254e-17,-2.488203848220907e-15,5.610408763910025e-16,1.05328168346616e-15,2.706153887043729e-16,4.898082274651169e-16,2.326369654846091e-16,2.357751815064442e-15,-1.838307592099663e-16,2.703216194144174e-16,2.027202550686739e-16,-4.655577180993201e-16,3.627987714529533e-16,-2.865321575286586e-16,3.56472087864249e-16,-2.792235963363309e-14,-2.627302398655578e-13,-8.304086420996438e-16,7.894419520934938e-16,4.540487163897275e-16,-1.056840638375913e-15,4.740260221322032e-15,7.421638429026456e-15,-5.011930044067389e-16,-4.109859958336302e-17,5.21211088417086e-16,-1.828484337128681e-16,-6.391815972787783e-17,9.127099105681152e-16,-1.208740898564591e-16,1.949667746588052e-16,8.836827388935564e-16,2.028033495894193e-16,-1.914425676635209e-16,-5.609715020274972e-14,5.115549544155967e-16,-7.138802415324252e-16,2.288834481669725e-16,6.198417243833921e-15,3.377699848807204e-15,8.571629257463787e-15,-3.520163616315052e-14,-1.047983036589191e-15,5.019506211010082e-17,-4.760208017376478e-16,3.494176855348224e-16,5.599986952044102e-16,-4.260975448595147e-16,-1.162976637102075e-15,1.315446001777548e-15,-8.411079365701104e-17,4.931515540789407e-16,-7.661974922290337e-17,2.324207518935173e-16,-2.42468322812334e-16,3.124357167547906e-16,-4.209081337234492e-16,-1.128091736024058e-15,9.850323085063741e-17,2.263656778957323e-16,-1.111274240226031e-15,2.675998285542959e-15,3.251426391108123e-16,7.658340371844349e-16,-2.095383885269142e-15,-3.699616503677403e-14,6.283369091326075e-16,5.67725865298934e-16,1.689702037647373e-16,1.680120106361043e-14,,,,,,,,,
frozenset({'223283.9.peg.3930'}),1.549236731701357,1.550300970687823,1.550300970687803,1.549804985999317,1.545457421717061,1.550300970687809,1.550797272938311,1.544964530869723,1.544964530868427,1.550797272938314,1.544964530868448,1.544964530868451,1.550797272938283,1.544964530868481,1.55079727293829,1.544964530868446,1.550300970687821,1.550797272938269,1.544964530868439,1.544964530868438,1.550300970687828,1.550300970687817,1.55030097068783,1.550300970687794,1.550797272938276,1.54545742171708,1.543907603413012,1.550797272938262,1.54496453086845,1.543907603413007,1.550300970687811,1.544964530868424,1.550300970687822,1.550300970687874,1.544964530868445,1.54496453086844,1.54496453086847,1.550797272938272,1.54980498599932,1.550300970687793,1.550797272938289,1.55030097068785,1.550300970687805,1.544964530868457,1.560413409743275,1.54496453086846,1.550797272938304,1.544964530868475,1.550300970687827,1.544964530868416,1.550300970687829,1.550300970687845,1.545457421717049,1.550300970687824,1.544964530868436,1.548173952854115,1.550797272938281,1.544964530868455,1.544964530868434,1.550300970687781,1.550300970687818,1.544964530868426,1.54496453086854,1.550300970687825,1.550300970687796,1.550300970687808,1.548173952854116,1.550300970687815,1.549804985999285,1.549236731701345,1.550797272938268,1.544964530868443,1.550797272938293,1.550300970687795,1.544964530868461,1.53973698934831,1.544964530868471,1.544964530868465,1.55030097068774,1.544964530868444,1.550797272938273,1.550300970687804,1.544964530868468,1.549236731701353,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.5202'}),1.549236731701275,1.550300970687829,1.550300970687815,1.549804985999323,1.545457421717041,1.550300970687761,1.550797272938274,1.544964530868445,1.54496453086846,1.550797272938299,1.544964530868518,1.54496453086845,1.54496453086842,1.550797272938307,1.544964530868457,1.550797272938311,1.544964530868416,1.55030097068781,1.550797272938262,1.544964530868456,1.544964530868481,1.550300970687785,1.550300970687819,1.550300970687768,1.550300970687859,1.550300970687793,1.545457421718685,1.543907603413023,1.550797272938272,1.54496453086844,1.54390760341302,1.544964530868395,1.55030097068848,1.550300970687724,1.544964530868616,1.544964530868447,1.544964530868422,1.55079727293828,1.549804985999333,1.550300970687796,1.550797272938284,1.550300970687803,1.550300970687816,1.550300970687807,1.544964530868443,1.550797272939043,1.5604134097433,1.544964530868453,1.550797272937596,1.544964530868465,1.550797272938287,1.550300970687779,1.544964530868462,1.550300970687805,1.545457421717015,1.550300970687812,1.544964530868463,1.548173952854146,1.550797272940855,1.544964530868429,1.544964530868442,1.544964530868388,1.544964530868525,1.550300970687817,1.550300970687752,1.550300970687764,1.550300970687809,1.550300970687832,1.548173952854149,1.549804985999312,1.549236731701172,1.544964530868427,1.550300970687827,1.550797272938296,1.544964530868355,1.550797272938292,1.550300970687863,1.550300970687821,1.544964530868402,1.539736989348315,1.544964530868435,1.544964530868461,1.550300970687651,1.550797272938265,1.544964530868419,1.550300970687916,1.544964530868434,1.544964530868431,1.544964530868464,1.54496453086843,1.549236731701494,,,,,,,,,
frozenset({'PSPTOA0036'}),1.549236731701324,1.550300970687823,1.550300970687811,1.549804985999312,1.545457421716899,1.55030097068782,1.550797272938289,1.544964530868439,1.544964530868365,1.550797272938275,1.544964530868448,1.544964530868505,1.544964530868449,1.550797272938304,1.544964530868402,1.550797272938299,1.544964530868446,1.550300970688066,1.544964530868438,1.544964530868471,1.550300970687755,1.550300970687816,1.550300970687815,1.550300970687885,1.550797272938274,1.550300970687754,1.545457421717104,1.543907603413035,1.550797272938303,1.54496453086846,1.54390760341301,1.550300970687727,1.550300970687752,1.550300970687838,1.54496453086848,1.54496453086852,1.544964530868444,1.55079727293828,1.549804985999323,1.550300970687789,1.55079727293829,1.550300970687947,1.550300970687806,1.544964530868461,1.550797272938265,1.560413409743109,1.544964530868417,1.550797272938298,1.550300970687799,1.550300970687834,1.550300970687781,1.545457421717083,1.550300970687844,1.544964530868998,1.548173952854082,1.550797272938319,1.544964530868475,1.54496453086832,1.550300970687934,1.544964530868429,1.544964530868668,1.550300970687795,1.550300970687826,1.550300970687829,1.55030097068783,1.548173952854179,1.550300970687809,1.549804985999293,1.549236731701068,1.544964530868423,1.550300970687821,1.55079727293826,1.550797272938562,1.550300970687831,1.550300970687192,1.544964530868427,1.539736989348405,1.544964530868459,1.54496453086843,1.544964530868435,1.550300970687941,1.550797272938276,1.544964530868484,1.550300970687177,1.544964530868295,1.544964530868466,1.550300970687836,1.549236731701124,,,,,,,,,,,,
frozenset({'PSPTO_0062'}),1.549236731701351,1.550300970687805,1.550300970687804,1.549804985999315,1.545457421717064,1.550300970687831,1.550797272938274,1.544964530868433,1.544964530868457,1.550797272938278,1.544964530868439,1.544964530868464,1.54496453086841,1.550797272938284,1.544964530868558,1.550797272938267,1.544964530868424,1.550300970687811,1.550797272938298,1.544964530868454,1.544964530868477,1.550300970687823,1.550300970687822,1.55079727293827,1.550300970687803,1.545457421717048,1.543907603413004,1.543907603413022,1.550300970687777,1.544964530868462,1.550300970687813,1.550300970687802,1.544964530868442,1.544964530868456,1.544964530868474,1.55079727293828,1.549804985999314,1.55030097068785,1.550797272938287,1.550300970687818,1.550300970687827,1.550300970687812,1.544964530868475,1.560413409743293,1.544964530867825,1.550797272938291,1.544964530868465,1.550300970687784,1.544964530868441,1.550300970687829,1.550300970687854,1.545457421717073,1.550300970687837,1.544964530868435,1.548173952854083,1.550300970687819,1.550300970687816,1.544964530868445,1.544964530868247,1.550300970687832,1.550300970687814,1.548173952854129,1.549804985999337,1.549236731701343,1.544964530868425,1.550797272938294,1.550797272938251,1.550300970687817,1.544964530868419,1.539736989348318,1.544964530868472,1.550797272938275,1.544964530868434,1.55030097068783,1.544964530868453,1.544964530868447,1.544964530868461,1.544964530868451,1.549236731701342,,,,,,,,,,,,,,,,,,,,,
frozenset({'PSPTO_0073'}),1.549236731701358,1.550300970687823,1.550300970687803,1.549804985999317,1.545457421717046,1.550300970687797,1.550797272938312,1.544964530868459,1.544964530868426,1.550797272938294,1.544964530868448,1.544964530868449,1.550797272938282,1.544964530868481,1.55079727293829,1.544964530868451,1.55030097068782,1.544964530868439,1.550300970687828,1.550300970687817,1.550300970687831,1.550300970687785,1.550797272938275,1.550300970687811,1.545457421717079,1.543907603413011,1.550797272938262,1.544964530868455,1.543907603413084,1.550300970687824,1.550300970687822,1.550300970687814,1.544964530868392,1.55079727293828,1.549804985999328,1.550300970687832,1.550300970687816,1.550300970687881,1.550300970687805,1.544964530868457,1.550797272938276,1.560413409743248,1.544964530868454,1.55079727293869,1.544964530868487,1.550300970687779,1.54496453086838,1.550300970687834,1.550300970687752,1.54545742171705,1.544964530868442,1.548173952854105,1.550797272938287,1.544964530868434,1.550300970687782,1.550300970687762,1.544964530868424,1.544964530868543,1.55030097068762,1.550300970687813,1.550300970687795,1.550300970687771,1.55030097068781,1.548173952854137,1.549804985999321,1.549236731701343,1.544964530868463,1.550300970687821,1.550797272938268,1.544964530868443,1.550797272938293,1.550300970687808,1.550300970687615,1.544964530868461,1.539736989348309,1.544964530868471,1.544964530868469,1.544964530868435,1.550300970687791,1.54496453086846,1.544964530868446,1.550300970687809,1.549236731701382,,,,,,,,,,,,,,,,,
frozenset({'PSPTO_0075'}),1.200541865198422e-14,-9.488341573217815e-14,-1.00868480534699e-13,1.649351647998136e-13,8.986753524047673e-14,-2.137677194105593e-14,-1.289463230175702e-14,9.93789708328938e-16,9.95779212537939e-14,-1.519306162565141e-13,2.596264501730853e-13,-1.086572431450226e-14,5.065473972721491e-14,-1.272236563214732e-14,8.281534812258107e-14,-7.868940706194359e-15,1.866734953902927e-14,-1.045764630591969e-13,1.07390417330202e-14,4.761435063661092e-15,1.791996574417313e-13,5.713209445344295e-15,-5.737971112534333e-14,-1.684474359292742e-14,9.0631228917924e-14,-2.511279194938285e-14,-5.18386465263158e-14,8.989827851828711e-15,-2.194290493110445e-13,-1.909237971687748e-14,-2.22220759104833e-14,2.381372790579329e-16,2.61448004408315e-14,3.326164449905306e-14,-1.75653511712265e-14,-8.78465719954399e-15,-2.440201697924388e-13,-2.747196063441692e-15,-2.033171126472315e-14,-8.919994736816266e-13,-4.790437473288395e-14,-1.757903087729273e-14,-1.864663815815639e-13,-9.661839789058789e-14,7.383909510400024e-14,-9.908314815346433e-14,-2.964853540627469e-14,9.668311006442522e-15,-1.323978223073636e-13,1.911894634293675e-13,-9.169036076690497e-14,-5.799479541382746e-14,9.107032110636271e-15,7.860128036316228e-15,-2.978659061725539e-13,-1.398843403367403e-15,-2.831046665164628e-14,-1.149280064163393e-13,-9.765079459715477e-14,-7.752747787210905e-14,-2.017720743594863e-14,1.897690274438376e-13,2.624179884533826e-14,2.660592036491964e-14,2.473437376170208e-14,-1.14297945863314e-13,9.947067134185969e-14,-1.716567319209293e-13,3.843763688866254e-17,6.473260368780835e-14,-8.65863875363906e-14,-2.229646159659038e-15,1.443244500663117e-13,-7.855573231917282e-15,3.367349628905417e-15,-1.943545138004548e-14,2.095342734431205e-14,-1.248074661322538e-13,-1.642935984096043e-14,-2.128572852215919e-14,-7.070288706291096e-15,-2.79190553947844e-14,-1.793467880025538e-14,-6.649712548293422e-14,2.896594271768077e-14,-9.659788872472046e-15,-4.796058123608573e-14,4.149719713728547e-14,4.208818343926711e-14,-5.534188392839658e-14,-4.45078223253185e-15,2.873196840680731e-13,2.172605732642569e-13,-1.695156256606422e-13,-1.074599398765547e-13,2.532912053242372e-13,-1.299329167663256e-14,-4.538970990119116e-14,-4.037133532506671e-16,1.138933845707373e-15
frozenset({'PSPTO_0080'}),1.286558138833996e-14,7.546009623060657e-13,8.774991554997511e-16,5.537230367711423e-15,3.810229026255802e-15,3.696882520955676e-15,8.312465064954361e-14,-5.640938829609569e-14,-1.515957124844025e-15,1.6050817004881e-14,-7.848058900871654e-16,-1.085926396309621e-16,4.864246588648672e-16,1.588486809666612e-12,1.068784063371828e-27,0.0,-3.341283868381882e-16,-5.021434133222118e-16,6.491253074047452e-16,-3.168600067284143e-15,-1.165355818819113e-15,4.728873317964322e-16,-7.925696400417332e-15,-2.606921058026393e-15,-3.972688849067068e-45,-5.235945334768744e-17,4.892019630484005e-17,-5.992986203420897e-16,-1.953340193216778e-17,-1.679153453613007e-13,4.460117595691013e-16,-1.276899710584189e-14,-9.567460319289563e-17,1.862993976198709e-14,2.022302824732397e-16,-1.001710830131684e-15,-1.833355431492371e-14,2.118383324807518e-15,-2.705577433651894e-12,-4.230518965839464e-16,-1.670300108794617e-14,1.433152253230709e-13,-8.637984405286302e-16,-3.251846889947133e-16,-3.090126592230156e-15,8.958348745464996e-16,-2.965015240658523e-16,-1.948023266250763e-15,-1.578245512590232e-15,-4.738809207336469e-30,4.901047044570509e-15,2.564157707679256e-16,-3.122584282330398e-13,5.637293233839798e-14,-5.940825181055829e-16,-1.878859517470305e-13,-3.017508855577574e-16,2.574243950047728e-14,-7.828449786598441e-15,-6.272677269196195e-16,2.240677294164938e-16,-5.440934554425784e-14,-6.830419442011738e-14,3.469914924849645e-15,2.229101720566452e-16,1.225359808483289e-13,4.258890867207092e-15,-4.550997090332357e-14,8.609449425507398e-14,-8.95667601680995e-15,3.258447172616167e-16,8.231552882245023e-16,-8.484667753768463e-13,2.432361133574508e-16,-1.335523268602369e-13,-3.368984004786729e-14,-4.19329366050442e-16,-2.735423757515166e-16,-1.265044000556054e-14,1.21401233526272e-16,1.663884233992395e-15,2.861420050457931e-15,8.43548003516578e-31,4.172739902068657e-14,1.090973973576963e-15,-1.017292363119808e-17,1.761009480217598e-14,-3.642387276935637e-14,-5.05938738051478e-14,-1.289794670205582e-13,2.596792665046677e-14,4.628143510528626e-16,-3.778717859633768e-14,-2.077453273812308e-14,-2.892430931810534e-15,-3.334954227574903e-16,,,,
