ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),2.597320306212781e-16,-1.390092391057151e-15,1.27111802086281e-16,2.136668673037108e-16,-1.267455754929153e-15,2.73147275367895e-15,-3.73333907254455e-16,5.678855506419043e-16,7.476171299603636e-16,-1.467437861257731e-16,5.198741951975253e-16,-6.877403682939383e-16,-8.43815590949203e-16,1.054056776453031e-16,-2.837510418929107e-16,-3.953430063122845e-16,6.145800386063061e-17,-2.758250911498789e-17,1.406627483182909e-15,3.309360632417827e-16,-4.945704993575213e-17,4.056042725076344e-14,-3.201770150373892e-14,-1.07021285847312e-15,-4.415024082387768e-16,5.171679177089342e-16,-1.941146336013488e-16,-3.356105632282661e-16,-8.611559666147777e-15,-8.176474337390046e-17,-2.259506796708622e-16,1.408210819949272e-15,-7.348760774534763e-16,-6.990910741381107e-16,-3.202152657384547e-16,-2.174131384878492e-15,-1.597369006430299e-15,-8.884119286378473e-16,6.221781625552503e-16,2.428523340709266e-15,3.053380930284153e-16,1.440029255694793e-16,9.180986131450911e-16,1.269163080254729e-14,-4.130044765500846e-15,-1.306699877067023e-16,1.087576907131765e-15,-1.614252416326602e-16,0.0,-1.189382714855863e-16,2.24278374334754e-16,-1.060115931202436e-15,8.414787385881454e-16,6.294797505120505e-16,9.222490449135625e-16,-1.907984043185241e-16,-3.583547650041848e-17,-7.555624540963368e-17,-2.569673716639896e-16,5.341580321768945e-16,-4.552525045231209e-16,3.491018800773175e-16,5.859203999208722e-14,1.748156250893937e-16,-1.860209197792548e-16,-5.119834176356505e-16,-5.247348845415905e-17,-5.576277876068593e-16,5.943054433407597e-16,1.197033745323062e-15,4.083385420744594e-16,-8.16998725216167e-16,-5.34736165024282e-14,6.573865143665621e-16,4.631416000492516e-16,1.299861746604301e-15,-1.542998074736162e-15,8.088457120588986e-16,5.858045998971771e-16,5.083971609130518e-16,-2.928545700378718e-17,5.533925657173913e-16,5.053769432534652e-16,-1.882947279979095e-16,-9.804415181517038e-16,-2.502028979723621e-16,-3.954482542836393e-16,3.104465980062127e-16,1.973898409493549e-15,-2.591068651533886e-15,3.541957870929397e-16,8.988006232166061e-15,-5.33188860037217e-16,8.251676113608307e-16,-6.351364131403357e-16,3.072955149970883e-15,3.092635578601009e-14,,,
frozenset({'223283.9.peg.3813'}),3.735613904369036e-15,-1.418891769289608e-14,0.0,4.561433398896043e-16,7.268580296330243e-16,-4.48261348798254e-16,-8.397982567798705e-16,-2.450805374639216e-15,-2.102110283070535e-16,-6.672688525095322e-16,-6.979315541361877e-16,6.898175013164111e-16,-6.219685185892176e-16,9.629923291089399e-16,2.316246277986663e-15,-7.448158077441521e-16,-4.003075908825741e-15,-8.834681066950707e-17,-6.774935272787695e-30,-1.984132181199164e-15,-6.939912355902808e-17,4.069050513499709e-16,-3.405612527140406e-16,2.092367280211462e-14,-8.428573223430913e-16,1.076917424087267e-15,4.043915947012735e-16,-1.154052668414586e-16,-8.063432775775347e-16,-4.536306177118597e-16,-3.47943671277062e-16,1.905449425195548e-16,9.628115779622978e-16,-1.147625957872453e-14,-3.578057280537447e-16,-7.304635590576236e-17,-9.587215840670537e-16,1.181435423346542e-15,1.329261899357549e-15,-4.268386563712255e-16,-3.186724528092776e-14,3.556539257223531e-16,1.93331735903004e-16,1.419277281600222e-15,-2.479718740554059e-15,-9.929284695306888e-17,-7.737606984189003e-16,1.021119416419977e-15,-7.954082454878353e-16,2.834985863155208e-16,6.446845141624206e-16,-2.341457355950701e-15,-5.435939906832989e-16,-1.563080075554187e-14,2.733359722928215e-30,-1.147731755781023e-14,7.147844956493431e-17,7.928787725589594e-16,2.562524485826215e-16,1.296149978699584e-15,3.892757858288091e-15,7.289848714776694e-16,-1.564928243852471e-16,1.942436455285338e-15,5.289852715134208e-15,5.948136712357595e-16,2.734057225538721e-15,-7.578810179759881e-16,8.973862004334068e-16,8.212504656311298e-15,1.803732457267246e-15,5.808280501930013e-16,1.311349902910729e-15,2.87071417691022e-15,-3.387239472830432e-16,-9.731736487857182e-16,-1.009266125284892e-15,-6.968052824547313e-16,1.839732591111487e-15,-6.53807186205075e-15,4.299852432281828e-15,8.110309812017349e-16,5.372457755632266e-16,2.722986493722111e-15,3.893942968271211e-15,-1.53415173726318e-15,-8.48866189890016e-17,-3.603183478086331e-15,-1.562797604071738e-15,-1.321736692125971e-15,-1.051223270648825e-15,1.593157643037774e-17,1.023046059870774e-14,-2.838654720950386e-16,,,,,,
frozenset({'223283.9.peg.3927'}),-4.557319350495489e-14,-1.422965652869871e-16,-6.246511918889391e-16,0.0,1.945744038669618e-14,7.621163746631351e-16,-3.524912625411434e-15,5.101460756447868e-16,5.819944483067467e-16,-1.866264259293278e-14,-8.094811203708212e-17,2.51450800767281e-15,-3.802092224537152e-16,3.156322272470826e-16,-1.171368703565966e-15,2.668467776367296e-15,-2.736099024808136e-14,-2.325450490361787e-16,-1.849872569276187e-16,6.900318573291486e-16,-4.35492027306111e-17,-9.195239396501451e-17,3.705285993903517e-16,-7.099620214763139e-16,-1.67268111524716e-16,6.677112678499088e-15,-1.054565879655949e-17,-2.041103049381856e-16,-1.743559917891064e-16,1.026876043705323e-14,4.538352040838429e-16,-1.849482547211453e-15,-5.517153872016487e-16,5.5115244597173e-16,-8.946688001876462e-16,-3.954107055713445e-14,1.144471836257567e-15,3.55978841940111e-14,1.540870277931089e-15,-3.627666772227027e-15,6.81905076193404e-16,-2.076966332529439e-16,-3.865412498900853e-17,8.950896054184883e-16,8.006603321875168e-15,8.647516264179803e-17,3.382393369115977e-16,-4.448275321721786e-17,5.449807875547383e-16,-3.726085295435962e-17,-8.51186715651711e-17,2.753139663099111e-17,2.298974465579585e-15,6.842431983121164e-17,-1.748926382545504e-15,-5.470954672367839e-16,1.730854768290467e-16,-1.180192715571752e-15,1.657004939341834e-15,1.742253999669506e-16,-8.29152757038122e-15,-1.865415453575247e-16,2.709312453792738e-16,-8.909914230987068e-16,-8.583404584451071e-15,6.619275565730154e-16,1.732971939324889e-17,1.102350128152339e-16,-1.146409932726814e-15,-2.260358641175803e-16,4.149194145850142e-16,-1.902266085872728e-15,2.053042263231316e-16,-4.391591411032797e-17,-9.564765955968861e-17,6.49312402114658e-16,1.305900019875693e-15,-3.846941700061509e-15,-2.281063922921113e-16,3.386638785769434e-16,-2.348666410279204e-16,1.393597228075041e-17,-5.861532612791158e-16,1.408249129940273e-16,1.153183672671068e-15,-8.01586782267822e-16,9.578078398879577e-14,-4.790842698805504e-16,1.836112765839255e-16,-1.334674252772949e-16,9.970134565001994e-16,-4.365090434188969e-17,5.439987049375346e-16,1.996613481160206e-14,-2.368532431816484e-15,,,,,
frozenset({'223283.9.peg.3930'}),2.323855097552046,2.325451456031733,2.325451456031701,2.32470747899899,2.318186132575573,2.325451456031744,2.326195909407441,2.317446796302693,2.317446796302701,2.326195909407419,2.317446796302674,2.317446796302641,2.317446796302662,2.326195909407431,2.317446796302675,2.326195909407423,2.317446796302651,2.325451456031725,2.32619590940741,2.317446796302699,2.317446796302669,2.3254514560317,2.325451456031745,2.325451456031741,2.325451456031729,2.32619590940742,2.325451456031737,2.318186132575576,2.315861405119489,2.326195909407393,2.317446796302638,2.315861405119541,2.325451456031708,2.31744679630268,2.325451456031705,2.325451456031677,2.317446796302628,2.31744679630269,2.326195909407428,2.324707478998994,2.325451456031727,2.326195909407456,2.325451456031699,2.325451456031743,2.317446796302678,2.340620114614934,2.317446796302644,2.326195909407418,2.317446796302716,2.326195909407438,2.325451456031713,2.317446796302713,2.325451456031742,2.325451456031693,2.318186132575589,2.325451456031739,2.317446796302657,2.322260929281205,2.326195909407434,2.317446796302656,2.317446796302649,2.325451456031726,2.325451456031689,2.317446796302665,2.317446796302666,2.325451456031738,2.325451456031714,2.322260929281284,2.324707478998998,2.323855097552006,2.317446796302684,2.325451456031702,2.326195909407422,2.317446796302681,2.325451456031721,2.317446796302653,2.30960548402244,2.317446796302627,2.317446796302632,2.317446796302687,2.32545145603171,2.317446796302557,2.326195909407412,2.317446796302637,2.325451456031732,2.317446796302668,2.317446796302712,2.317446796302645,2.325451456031715,,,,,,,,,,,
frozenset({'223283.9.peg.5202'}),2.323855097419603,2.325451456031711,2.325451456031745,2.324707478999014,2.318186132575552,2.325451456031738,2.326195909407415,2.317446796302717,2.317446796300823,2.326195909407406,2.317446796303987,2.317446796302365,2.317446796302558,2.326195909407775,2.317446796302651,2.326195909407405,2.317446796302734,2.325451456031782,2.326195909407387,2.317446796302674,2.317446796302694,2.325451456031687,2.325451456031716,2.325451456030469,2.326195909407202,2.325451456031689,2.31818613257557,2.315861405119559,2.326195909407404,2.31744679630337,2.315861405119576,2.325451456031698,2.317446796297426,2.325451456031652,2.32545145603172,2.317446796297648,2.317446796302643,2.326195909407316,2.324707478998855,2.3254514560317,2.32619590941754,2.325451456032158,2.325451456031749,2.325451456031559,2.317446796302662,2.326195909407419,2.340620114614943,2.317446796302676,2.326195909407702,2.317446796302681,2.326195909407425,2.325451456031709,2.317446796302627,2.325451456031965,2.325451456031699,2.318186132576162,2.325451456029377,2.317446796302668,2.322260929281197,2.317446796302796,2.317446796302703,2.325451456031723,2.31744679630275,2.317446796302683,2.325451456031721,2.325451456031705,2.325451456031684,2.322260929281217,2.325451456031696,2.324707478998602,2.323855097551956,2.325451456031708,2.326195909407423,2.317446796302711,2.326195909406849,2.325451456031729,2.325451456031681,2.317446796305369,2.309605484022491,2.317446795621142,2.317446796302563,2.317446796302667,2.325451456031736,2.31744679630141,2.3261959094074,2.317446796305062,2.325451456031731,2.317446796302679,2.317446796306545,2.317446796302677,2.325451456031734,2.317446796302658,2.323855097551992,,,,,,,
frozenset({'PSPTOA0036'}),2.323855097554379,2.325451456031734,2.325451456031728,2.324707478998973,2.31818613257521,2.325451456031699,2.32619590940742,2.317446796305414,2.317446796302618,2.326195909407425,2.317446796302688,2.317446796302955,2.317446796302669,2.326195909407362,2.317446796302646,2.326195909406195,2.317446796302639,2.325451456031586,2.32619590940755,2.317446796302656,2.317446796302675,2.325451456032475,2.325451456031512,2.325451456034044,2.325451456031729,2.326195909407401,2.325451456031674,2.318186132575585,2.315861405119511,2.326195909436619,2.317446796302698,2.315861405119528,2.325451456031849,2.317446796303114,2.325451456031702,2.325451456031763,2.317446796302676,2.317446796302702,2.317446796302652,2.326195909407209,2.324707478998623,2.325451456031704,2.326195909406434,2.325451456031431,2.325451456031703,2.325451456031714,2.326195909408162,2.340620114614957,2.317446796305745,2.326195909408161,2.317446796302707,2.326195909408359,2.325451456032093,2.317446796301701,2.325451456031824,2.325451456031785,2.318186132575092,2.325451456026892,2.317446796302663,2.322260929281211,2.326195909407331,2.317446796302683,2.317446796302549,2.325451456032458,2.325451456031701,2.31744679630268,2.317446796302419,2.325451456031727,2.325451456031721,2.325451456031769,2.322260929281156,2.325451456031335,2.32470747899909,2.323855097552019,2.325451456031722,2.326195909407421,2.317446796302623,2.326195909407414,2.325451456031735,2.325451456031716,2.317446796302679,2.309605484022493,2.317446796304238,2.317446796302685,2.325451456031733,2.317446796302706,2.326195909407561,2.317446796302657,2.325451456031804,2.317446796306639,2.317446796303258,2.317446796302661,2.323855097551774,,,,,,,
frozenset({'PSPTO_0062'}),2.323855097552026,2.325451456031724,2.325451456031726,2.324707478999166,2.318186132575586,2.325451456031758,2.326195909407416,2.317446796302635,2.317446796302691,2.32619590940745,2.31744679630268,2.317446796302682,2.31744679630261,2.326195909407046,2.317446796302661,2.326195909407532,2.317446796302586,2.325451456031244,2.326195909407414,2.317446796302675,2.317446796302693,2.325451456031715,2.325451456031732,2.325451456031735,2.326195909407423,2.318186132575596,2.315861405119518,2.326195909407422,2.317446796302672,2.315861405119512,2.325451456031704,2.317446796302651,2.325451456031731,2.325451456031747,2.317446796302749,2.317446796306716,2.317446796302667,2.326195909407448,2.324707478999002,2.32545145603171,2.326195909407445,2.325451456031611,2.317446796302697,2.326195909407345,2.340620114614931,2.317446796302694,2.317446796302676,2.326195909407428,2.325451456031699,2.317446796302657,2.325451456031723,2.32545145603198,2.3181861325756,2.325451456031577,2.317446796302735,2.322260929281208,2.326195909408722,2.31744679630269,2.317446796302709,2.325451456031716,2.325451456031854,2.317446796302514,2.325451456031717,2.325451456031718,2.32545145603174,2.325451456030384,2.325451456031728,2.322260929281195,2.325451456031707,2.324707478998897,2.323855097551955,2.317446796302663,2.32545145603163,2.326195909407395,2.317446796302747,2.32619590940742,2.325451456031705,2.325451456031691,2.317446796302704,2.309605484022496,2.317446796302678,2.317446796302632,2.317446796302531,2.3254514560318,2.317446796302647,2.326195909407466,2.317446796302662,2.325451456031741,2.317446796302671,2.317446796302669,2.323855097552005,,,,,,,,,
frozenset({'PSPTO_0073'}),2.323855097552046,2.32545145603173,2.325451456031685,2.32470747899899,2.318186132575581,2.32545145603171,2.326195909407429,2.317446796302696,2.317446796302702,2.32619590940742,2.317446796302686,2.317446796302662,2.317446796302681,2.326195909407434,2.317446796302678,2.326195909407407,2.317446796302688,2.325451456031732,2.326195909407433,2.317446796302656,2.317446796302669,2.325451456031702,2.325451456031737,2.325451456031741,2.325451456031729,2.326195909407422,2.318186132575621,2.315861405119468,2.326195909407393,2.317446796302638,2.315861405119544,2.325451456031691,2.317446796302677,2.325451456031705,2.325451456031736,2.317446796302697,2.317446796302673,2.317446796302713,2.326195909407427,2.324707478998993,2.32545145603175,2.326195909407457,2.317446796302679,2.340620114614965,2.317446796302607,2.31744679630266,2.326195909407438,2.325451456031713,2.325451456031723,2.325451456031693,2.31818613257559,2.317446796302657,2.32226092928119,2.317446796302645,2.325451456031726,2.325451456031937,2.317446796302666,2.325451456031709,2.325451456031742,2.32545145603178,2.325451456031739,2.322260929281093,2.324707478998968,2.323855097552006,2.317446796302683,2.326195909407428,2.3254514560317,2.325451456031722,2.317446796302654,2.309605484022442,2.317446796302621,2.317446796302644,2.317446796302647,2.325451456031711,2.317446796302692,2.326195909407412,2.317446796302637,2.317446796302691,2.317446796302653,2.325451456031716,2.31744679630263,2.323855097552005,,,,,,,,,,,,,,,,,,
frozenset({'PSPTO_0075'}),0.0,-3.684676220341579e-13,-3.146169837658103e-13,2.325986015399467e-14,-2.093852297937398e-14,8.120747952928e-14,7.238826338489147e-14,-2.903294547269343e-14,-1.568768532812998e-13,1.660867173662096e-14,-6.148932753328574e-14,2.547866530636614e-14,-3.658876431557609e-14,-1.795806731446922e-13,9.134471805407386e-13,5.472419471521026e-13,-1.999617265907737e-14,3.405873741906569e-14,-8.78736607974936e-14,-1.313585060472919e-13,5.164197781233785e-13,6.566180045589717e-14,7.135567204015628e-14,4.709144103314091e-14,6.065540071068407e-11,-3.039315022890654e-14,4.337179007921896e-14,-5.909514964416803e-14,-1.232798755444865e-13,-2.550548559371892e-13,-3.049366322927569e-13,1.548416623944412e-14,1.312051877763292e-13,-4.746544286923865e-14,-9.510239274247614e-13,3.604396211805568e-17,-2.028311767897522e-13,1.048820400916405e-14,6.420307185723646e-14,1.385397721269766e-14,-4.60841674108314e-14,-2.344041510261228e-14,-7.668097074574838e-14,-3.255633646908102e-14,1.657980920490761e-13,2.600221282535756e-13,4.622368053162203e-13,4.661506492744075e-13,-8.442831514564078e-14,-6.372494249798521e-13,-1.966213675785251e-13,-1.106032273109826e-14,-4.640315584148148e-13,-2.468202199576552e-14,1.900266343817891e-13,3.600500850377783e-14,-6.929729913393809e-14,-1.130636086346672e-13,-1.738347230925892e-13,7.063545281678753e-14,5.568665156918853e-14,-6.358006306517232e-14,-1.074242689433271e-13,-1.345800522701316e-13,-5.208909903085074e-14,2.674870926738555e-14,2.516629604921707e-14,1.280096260648872e-13,4.985852234035087e-14,-7.77452096599847e-14,6.692938296758341e-15,-2.670144062218675e-13,1.009173777506504e-13,-1.707883449130902e-14,8.415274843310395e-14,-1.675260578174033e-13,-1.615169738730813e-13,-1.217045971269889e-14,4.790621092070275e-13,-8.068124682754028e-14,-3.718537765054158e-14,8.139503113175467e-14,-1.569125327797399e-14,-1.579832838820606e-13,1.221443479056795e-15,6.159445584316003e-15,-3.844756059679572e-15,2.238070495040762e-13,-1.734004189924477e-13,,,,,,,,,,,
frozenset({'PSPTO_0080'}),-1.140635210522446e-16,-1.86422682137476e-16,3.197119066565008e-13,3.513129123320425e-16,-3.832747163829033e-16,-3.730799248605339e-15,2.057747049488354e-16,1.538454186090815e-13,5.486504376105241e-16,7.882582871699928e-16,2.247353005370963e-17,6.75457485203907e-15,7.341598529738521e-16,2.57661710198551e-17,-1.364784945138119e-15,-4.852373682733206e-16,-1.403847438077286e-15,-1.065474548782089e-15,0.0,1.527697490985089e-16,-2.345173047275074e-15,2.563753888262687e-14,2.744234130447244e-16,2.768465290129166e-16,3.668712948910809e-16,-6.144948477056988e-15,-1.257139850263136e-13,-6.215535060039164e-17,-1.241840039416808e-15,2.502855961157765e-15,1.292506672917474e-16,1.140231068352145e-14,2.287811684836516e-16,2.814879775429805e-15,3.521638756348031e-16,-4.168787611105988e-17,-9.996143048025498e-16,5.079862736317705e-14,-3.995508458416723e-15,2.715786874987688e-16,4.924058432313833e-16,-3.241585259657444e-14,-2.391641350599688e-15,-5.738881584913801e-15,-3.772166721660604e-13,-1.248517578633486e-14,-6.045942846307693e-16,5.600426346596393e-17,-3.718245985697042e-16,8.077909409017544e-15,-1.240085954099788e-14,-5.506971219304009e-17,3.319747136854206e-12,1.614845396340631e-29,-1.415515576867312e-15,1.591331167739753e-15,6.966444551972656e-17,-5.722608777866139e-14,-4.634189940145261e-14,1.230503455393399e-13,3.223666227202306e-15,-4.771340155661868e-16,1.628221216934609e-14,3.659354009420272e-15,5.588387610357133e-14,1.779400927354935e-16,-1.304015612704935e-13,6.938474655080421e-17,2.8554879539036e-16,1.77660521064754e-16,5.366863110115899e-14,7.000227328651834e-15,4.579870265557209e-15,4.616250175221975e-17,-2.12660844010228e-14,-4.67994385233092e-16,2.931769166634156e-16,2.316794390157808e-15,-4.434861842727681e-16,-1.551348122064099e-16,-1.379304470685857e-13,-1.162526724281966e-15,1.015376375837232e-15,2.604165875962349e-16,1.629920659667228e-15,-7.804142096030003e-15,1.783690498587124e-16,-5.872197403933907e-16,,,,,,,,,,,,
