ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),-4.515053125762337e-14,1.982083468423937e-15,-7.58415273101531e-16,-2.855173136536855e-14,-2.919757655474199e-14,0.0,-4.732512096306773e-14,1.827778305106861e-13,3.609979398231788e-13,-1.555913302367543e-12,-2.619947143713699e-14,-5.089469515458288e-13,5.130516098517578e-14,1.785061440404442e-12,-6.299660780162482e-14,1.67018637980265e-14,-5.20405137264187e-14,-2.885147280145272e-15,-4.341142624570105e-13,-4.539209161637437e-14,1.123115103131822e-14,-1.247345463596593e-13,-2.018382286097469e-14,-3.890332663467786e-14,-2.383489870359605e-14,-1.291752159959386e-14,-2.865524602514435e-14,5.879494838824484e-13,2.052206439407032e-13,-3.840488108615898e-13,1.605800159304797e-15,-3.73623834491355e-14,3.522073202959832e-13,1.46519048913408e-14,-2.442081254041234e-13,1.790578529846918e-14,6.215253383849804e-14,3.014241888630878e-14,-5.531090339162505e-15,-3.166517399750485e-15,-2.842628540564827e-14,1.105996038705025e-14,2.566912147998363e-12,2.417413369917722e-14,1.244214715979668e-13,-4.317603532156655e-14,-7.631801973872441e-15,2.693085522230477e-13,-4.004435938027586e-14,1.116492874354474e-13,-1.497983396476052e-13,5.801097776740862e-13,2.448365796532155e-13,-1.147613591690277e-13,1.606664707784885e-13,3.476821639991142e-14,1.31015978702367e-14,-1.160807518166453e-14,-3.77077352897558e-15,2.001592233066451e-15,-5.811926671626195e-13,1.595902448887198e-14,4.780892450790748e-15,-3.464439232269287e-15,-8.217995167305438e-14,-5.232730781717251e-14,-2.934367981703924e-14,2.247824690608531e-15,-9.1591415873332e-15,8.017043898533373e-15,-7.836275330284734e-13,-9.01378074405557e-15,6.435887918026596e-15,-1.698594518657107e-14,-2.406934823589284e-13,3.117575852361317e-13,-1.442974636573048e-14,-9.538759587178616e-15,2.677004053616449e-15,3.773532417171755e-13,-2.285332589278229e-14,1.351524456566746e-15,-8.276155587178266e-13,-5.902260859692873e-13,-5.70472272120269e-14,-8.020025500949158e-15,2.48995202998741e-13,2.19593111723734e-14,1.213365138533616e-14,-4.479314714341671e-15,-7.81095462399534e-15,-4.821255271609996e-14,1.26676566599153e-14,3.318348055190251e-12,1.44525595815078e-13,-1.248700842606536e-13,3.998087831147653e-14,4.174921431119392e-14,,
frozenset({'223283.9.peg.3813'}),1.581736509538805e-13,-6.43444187819473e-14,-1.331110201102449e-14,-1.523694513194551e-14,3.751106473191776e-14,0.0,-1.608391009480686e-14,-1.447974201682268e-14,4.379316194247017e-14,2.585868629417036e-14,-2.260486049667521e-14,7.990696518119953e-14,-5.784157313800561e-15,5.027905776547227e-13,-3.035405495793769e-15,-5.302165904064931e-14,-2.082964381469523e-14,2.625237684927895e-12,9.666010302100128e-13,5.822339658712291e-13,-2.789920384668665e-14,-1.623917558610875e-13,-1.246267248664749e-14,-8.299485452847235e-14,3.771626189177479e-13,2.991753408660401e-14,-4.855915032721277e-14,-1.193663635752972e-13,3.068885859456771e-13,-4.636848827796637e-13,6.78165345181889e-15,-4.660796629441908e-13,1.105971762978038e-13,2.170712299821151e-14,-5.244392192774999e-15,-1.189867858106766e-14,3.608292604547811e-14,-7.542329289180357e-15,-4.704760544112284e-15,1.452734616162145e-12,6.010923664936876e-15,-7.481485170914286e-15,1.19575127274676e-13,5.610053622057475e-14,7.801822440933656e-14,2.900684212622175e-14,-5.129016019590806e-16,1.352078872833032e-13,1.558282024570404e-13,-1.12263101584559e-14,3.084519688722388e-13,-2.318780572839941e-14,-1.024210309626524e-13,3.396134485987211e-14,-2.271855481995587e-15,2.151029147862527e-13,-4.960930308446814e-14,5.448622145409194e-14,-2.687963867289928e-13,-4.576132179301858e-14,-5.541196174919573e-13,7.672735874305106e-15,1.999351022334353e-13,-4.390943391506403e-14,-2.040098640021633e-13,7.420293468541411e-14,2.061172541370411e-13,-1.229127944536878e-14,3.291325314455958e-14,9.743550722409599e-15,-9.998208397943294e-14,7.180242199788233e-14,1.148184768316058e-14,-4.29055373270668e-14,2.47078251853088e-14,-2.811645238381588e-14,-1.814217608674595e-13,-1.371385936251037e-13,1.083019627258166e-16,-2.726269478219558e-13,-1.905759544915775e-14,-1.971567387175905e-13,6.640924292514083e-14,1.798827874224479e-12,-6.811109011009775e-15,4.398758714032386e-14,1.119339296939171e-14,-5.411513949641007e-13,-3.386202213546343e-14,-1.21000599501359e-14,-1.007374952617178e-14,-1.915899350476434e-15,-1.498593568099786e-14,1.848132672556751e-14,-1.885541717842913e-15,,,,,
frozenset({'223283.9.peg.3927'}),-2.878413742737361e-14,-6.271946919433793e-12,3.161345309335238e-13,3.576395465092823e-13,-1.325614778568995e-13,7.63392028434424e-13,1.037763119929977e-13,6.296502526907285e-15,-8.965039958418198e-14,-2.345827125206419e-15,5.359198929541364e-15,5.208857830208288e-14,8.256870647470127e-14,5.180305755848943e-13,-9.46810755592688e-15,1.270506363277183e-14,4.854319963159335e-13,1.189277447701256e-15,-4.980682395946085e-13,2.31938204902397e-13,-7.423139478245138e-14,-5.018645490130205e-14,-4.507153064732694e-15,-7.098241259309444e-14,2.262994861768573e-14,-2.720115092607046e-14,2.357418756978752e-13,-2.76818683417066e-13,0.0,-3.285961023375018e-14,-2.089906402270245e-14,-3.812526417447572e-15,2.765683995238559e-14,1.976066867697801e-14,1.013929613121116e-13,-1.875553236595888e-14,5.763724458025401e-13,1.374201938263308e-13,1.228571767582125e-14,-9.103377439839498e-15,3.081271949027871e-14,-5.67963735084293e-14,1.875553236595888e-14,-2.394831520030006e-12,-6.728738665801683e-15,1.411902960361556e-14,-5.469527608400153e-15,-6.125492164820531e-13,2.570352951242798e-14,-2.867732224108383e-14,-5.744181673321941e-14,-4.612293382780641e-14,3.093122831717239e-14,-1.793089442759258e-15,-3.255022974749272e-14,4.257304817945741e-13,-9.024666732505772e-15,6.552936336118678e-14,-9.75387025981698e-14,2.203061447439658e-15,5.427756346533939e-14,-3.157183756842717e-14,1.545509321349639e-13,-2.189374083421222e-13,1.451872292975118e-14,5.094127517383826e-13,6.990040670634144e-14,-3.730707335989983e-13,4.838406335909625e-11,3.157563852236584e-15,-1.123642115374747e-14,-4.339872562666198e-15,-8.436043845602097e-14,1.734378710011635e-13,1.073043277664227e-15,1.67143097489044e-13,-7.025319993282426e-13,-2.195894306154989e-13,1.905196112189512e-13,-1.287675476292388e-12,-5.958670961125097e-15,9.671751647180236e-14,5.976445047972654e-15,-5.626659709787665e-14,5.941534570039022e-13,-2.369208651206159e-14,-1.877928667762849e-15,4.015720608420773e-14,3.08115472562053e-13,-4.181369590850731e-14,2.38041796215065e-14,1.051069711892461e-15,-5.733798488189979e-14,9.266248984396056e-14,-1.186488453161909e-15,2.426331024885098e-15,2.203953266645453e-14,,,
frozenset({'223283.9.peg.3930'}),110.5741465607817,110.5741465607812,110.5741465607821,110.8881762308727,110.5741465607811,110.5741465607813,110.609959000419,110.538357303789,110.5383573037873,110.6099590004206,110.5383573037869,110.5383573037862,111.57578904273,111.6477205197662,110.6099590004201,110.5383573037863,110.5741465607798,110.5383573037875,110.5741465607814,110.8881762308738,110.8881762308759,110.6099590004193,110.5741465607824,110.5741465607808,110.5383573037881,110.6099590004171,110.5383573037913,110.5741465607819,110.5383573037876,110.5383573037867,110.5383573037861,110.6099590004204,110.8881762308742,110.6099590004195,110.5741465607818,110.0513373571851,110.5383573037864,111.6477205197638,111.3038981987448,110.5383573037883,110.6099590004208,110.5383573037874,110.6099590004212,110.574146560783,110.5383573037878,110.5741465607806,110.5741465607822,110.5741465607803,110.538357303787,110.5383573037888,110.5383573037892,110.5741465607825,110.5383573037871,111.6117431916573,110.5741465607802,110.8881762308725,110.5741465607815,110.5741465607794,110.8881762308731,110.5741465607846,111.6117431916584,110.609959000421,110.6099590004205,110.57414656078,110.574146560782,110.5383573037877,110.5383573037895,110.5741465607804,110.53835730379,110.6099590004182,111.5757890427293,110.5741465607795,110.5383573037963,110.538357303788,,,,,,,,,,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.5202'}),110.5741465607812,110.574146560783,110.8881762308724,110.5741465607794,110.5741465607862,110.60995900042,110.5383573037873,110.5383573037856,110.6099590004206,110.5383573037875,111.5757890427286,111.6477205197642,110.6099590004197,110.5383573037881,110.5741465607838,110.6099590004195,110.5383573037867,110.5741465607809,110.574146560781,110.8881762308762,110.8881762308744,110.6099590004196,110.5741465607811,110.5383573037863,110.609959000421,110.5383573037862,110.5741465607755,110.5741465607828,110.5741465607821,110.5383573037876,110.5383573037878,110.6099590004239,110.8881762308698,110.5741465607823,110.6099590004189,110.5741465607784,110.051337357185,110.5383573037886,111.6477205197657,111.3038981987021,110.5383573037877,110.6099590004208,110.5383573037884,110.6099590004202,110.5741465607854,110.5741465607822,110.5741465607829,110.5741465607807,110.538357303786,110.5741465607813,110.6099590004215,110.5383573037945,110.574146560779,110.5383573037871,111.6117431916578,110.5741465607827,110.5741465607801,110.8881762308747,110.5741465607818,110.8881762308726,110.5383573037846,111.6117431916581,110.6099590004209,110.5383573037858,110.5741465607795,110.5383573037889,110.5383573037882,110.5383573037883,110.5741465607839,110.5383573037894,111.5757890427238,110.5383573037874,110.5383573037866,110.5741465607815,,,,,,,,,,,,,,,,,,,,,,,,,,
frozenset({'PSPTOA0036'}),110.5741465607814,110.5741465607806,110.8881762308727,110.5741465607744,110.6099590004192,110.5383573037865,110.5383573037874,110.6099590004203,110.5383573037754,111.5757890427256,111.6477205197653,110.5383573037878,110.6099590004209,110.5383573037841,110.5741465607834,110.5383573037876,110.5383573037879,110.5741465607796,110.8881762308731,110.8881762310101,110.60995900042,110.5741465607825,110.5741465607831,110.5383573037892,110.6099590004196,110.5383573037903,110.5383573038674,110.574146560779,110.5383573037858,110.5741465607816,110.5741465607755,110.5383573037872,110.5383573037871,110.6099590004093,110.8881762308741,110.574146560781,110.6099590004213,110.0513373571875,110.5383573037853,111.6477205197647,111.3038981986992,110.609959000416,110.5383573037886,110.6099590004198,110.5741465607808,110.5383573037873,110.5741465607812,110.5741465607802,110.5741465607803,110.5383573037862,110.5741465607786,110.6099590004204,110.5383573037867,110.5383573037848,110.5741465607943,110.5741465607804,110.5383573037881,111.6117431916571,110.5741465607823,110.8881762308905,110.5741465607846,110.8881762308737,111.6117431916565,110.6099590004151,110.6099590004197,110.5383573037894,110.5383573037707,110.5383573037864,110.5383573037875,110.5741465607845,110.6099590004212,111.5757890427278,110.5741465607805,110.5383573037868,110.5383573037895,110.5741465607815,,,,,,,,,,,,,,,,,,,,,,,,
frozenset({'PSPTO_0062'}),110.574146560779,110.5741465607811,110.5741465607817,110.8881762308679,110.5741465607808,110.5741465607807,110.60995900042,110.5383573038755,110.5383573037881,110.6099590004201,110.5383573037873,110.5383573037872,111.5757890427281,111.6477205197652,110.5383573037889,110.6099590004199,110.5383573037901,110.6099590004186,110.5383573037874,110.5383573037869,110.5741465607815,110.8881762308723,110.8881762308533,110.5741465607777,110.5741465607806,110.5383573037876,110.6099590004205,110.5383573037888,110.5383573037927,110.5741465607831,110.5383573037878,110.5383573037861,110.6099590004208,110.8881762308732,110.5741465607814,110.6099590003919,110.5741465607819,110.5741465607809,110.0513373571803,110.5383573037896,111.6477205197647,111.3038981986982,110.5383573037877,110.6099590004191,110.5383573037868,110.6099590004206,110.5741465607841,110.5383573037882,110.5741465607818,110.5741465607837,110.5741465607812,110.5741465607822,110.5383573037904,110.6099590004202,110.5741465607805,110.538357303777,110.5383573037858,110.5741465607825,111.6117431916576,110.57414656078,110.8881762308764,110.5741465607813,110.8881762308719,110.5383573037925,111.6117431916603,110.6099590004189,110.5383573037867,110.6099590004209,110.5383573037824,110.5383573037846,110.538357303793,111.5757890427282,110.5383573037884,110.538357303787,110.5741465607795,,,,,,,,,,,,,,,,,,,,,,,,,
frozenset({'PSPTO_0073'}),110.5741465607817,110.5741465607791,110.5741465607803,110.8881762308773,110.609959000421,110.5383573037869,110.538357303788,110.60995900042,110.5383573037866,110.5383573037871,111.5757890427301,111.6477205197654,110.5383573037827,110.6099590004213,110.5383573037868,110.574146560781,110.609959000416,110.5383573037865,110.5741465607809,110.5741465607801,110.8881762308727,110.8881762308733,110.6099590004205,110.5741465607813,110.5383573037876,110.5383573037875,110.5383573037874,110.574146560782,110.5383573037864,110.5741465607812,110.5383573037879,110.538357303791,110.6099590004174,110.8881762308724,110.5741465607836,110.6099590004194,110.5741465607769,110.5741465607824,110.0513373571844,110.5383573037873,111.6477205197659,111.3038981986983,110.5383573037872,110.6099590004198,110.6099590004193,110.5741465607821,110.5383573037881,110.5741465607825,110.5741465607795,110.5741465607806,110.5741465607796,110.538357303787,110.5741465607811,110.5741465607786,111.6117431916589,110.5741465607804,110.5741465607799,110.8881762308731,110.5741465607785,110.8881762308728,110.5741465607828,111.611743191657,110.538357303786,110.6099590004162,110.5741465607794,110.5383573037882,110.5383573037893,110.5383573037857,110.5383573037877,110.5741465607808,110.6099590004201,111.5757890427302,110.5741465607815,110.5383573037906,,,,,,,,,,,,,,,,,,,,,,,,,,
frozenset({'PSPTO_0075'}),-1.004323989766368e-11,-3.403655427273868e-12,-3.473025573740011e-11,-1.329546049580582e-11,-4.908276043567064e-11,2.842463545380806e-10,-1.701300937036672e-11,4.726474476516695e-11,-5.459083713199682e-11,-2.621574378963219e-11,-2.931367961939408e-11,-2.685117161428821e-11,-2.081667722555925e-11,-5.090241540398849e-11,-4.017235917705855e-11,-5.285344007385118e-11,-1.695053657108259e-11,-5.480835219415271e-11,-3.508489029798069e-11,-1.507188736950386e-10,-2.619494467669695e-11,6.893632725176379e-13,-5.332011347464715e-11,-2.087770735511368e-12,-2.430876296266269e-11,-1.299356348989726e-11,-5.619990568435454e-11,-1.594546323120116e-11,-3.174692228352038e-12,2.803932232779341e-12,-2.27497572425499e-11,3.569578752858771e-13,-1.89366063095606e-11,-1.022777086322781e-12,-3.163749592697997e-11,-2.761619972950733e-11,-1.382142347673687e-11,-2.131921619022707e-11,-2.60770189770755e-11,-4.049015077381871e-12,-1.569832783789379e-10,3.138740535051598e-12,-3.99910934198335e-12,-1.378126680143599e-11,-3.067744451435384e-11,-1.673301320757112e-10,-8.240848417036173e-12,-4.745905465983172e-11,-4.033965611476603e-11,-3.572312190267249e-11,-1.868128917919866e-11,-3.495791279488026e-11,-2.557570293507399e-11,2.699603280619895e-12,-5.117560214650646e-12,-5.386028829318073e-12,-3.449887162635626e-11,-1.243643639785194e-11,-2.715926867996561e-11,6.896516362991331e-11,-6.903142913629128e-12,-2.597164983092166e-11,-3.313780028728994e-11,-3.915758009062579e-11,-2.058684797914546e-11,3.41405836903791e-12,-2.253600283263632e-11,-7.239873114585337e-12,-7.271807425044568e-12,-4.674666197670421e-11,-5.147656322551522e-11,-3.777674845099463e-11,-1.288407035948608e-11,-8.432934825253745e-12,3.692463056158486e-12,-1.474050039870868e-11,-3.56897061495257e-11,-1.014182150690404e-11,-2.135440476634084e-11,-4.165378102351473e-11,1.130294805050431e-11,-4.176711885458417e-12,-1.948639533235093e-12,-2.607997136079066e-11,1.176169839168618e-11,-3.034945466266637e-11,3.423148668809607e-12,-5.376345150979763e-11,-8.552527832102108e-11,-5.866042465778778e-12,-5.522573714478597e-12,-3.26764508652593e-11,-2.295789470999966e-11,-1.724016960671005e-11,-1.333317223393096e-11,-3.79414509963099e-11,4.148065165787885e-11,1.965451077750266e-10,-4.009325002521383e-11,-6.62967101348014e-12
frozenset({'PSPTO_0080'}),110.574146560782,110.5741465607797,110.5741465607824,110.8881762308726,110.5741465607805,110.5741465607849,110.6099590004196,110.5383573037829,110.5383573037893,110.6099590004212,110.5383573037877,110.5383573037864,111.5757890427291,111.6477205197644,110.5383573037874,110.6099590004203,110.5383573037884,110.5741465607843,110.6099590004206,110.5383573037881,110.574146560781,110.8881762308721,110.5741465607873,110.5741465607816,110.5383573037863,110.5383573037858,110.5741465607907,110.5383573037865,110.5741465607827,110.5741465607814,110.5383573037882,110.5383573037889,110.5383573037872,110.6099590004209,110.8881762308736,110.5741465607807,110.6099590004175,110.5741465607795,110.5741465607822,110.0513373571849,110.5383573037928,111.6477205197651,111.3038981986994,110.5383573037867,110.6099590004213,110.6099590004207,110.538357303788,110.5741465607851,110.5741465607809,110.574146560783,110.5741465607832,110.5741465607813,110.6099590004233,110.5383573037876,110.5383573037878,110.5741465607783,110.57414656078,110.5383573037892,110.5383573037852,111.6117431916592,110.5741465607825,110.5741465607801,110.8881762308749,110.5741465607829,110.5741465607806,110.8881762308715,111.6117431916581,110.6099590004205,110.6099590004186,110.5741465607817,110.5741465607766,110.5383573037847,110.5383573037885,110.5741465607846,110.5383573037871,110.6099590004202,111.5757890427316,110.5383573037868,110.5383573037902,,,,,,,,,,,,,,,,,,,,,
