Pathway,Gene
ABC transporters - Pseudomonas syringae pv. tomato DC3000,3
Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",1
Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,3
Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,1
Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,7
Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,24
Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,42
Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,2
Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,3
Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,1
Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,1
Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,1
Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,4
Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,6
Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,1
Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,1
Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,4
"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",4
Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,18
Lysine degradation - Pseudomonas syringae pv. tomato DC3000,1
Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,111
Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,11
Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,4
One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,1
Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,9
"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",7
Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,28
Purine metabolism - Pseudomonas syringae pv. tomato DC3000,5
Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,3
Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,1
Quorum sensing - Pseudomonas syringae pv. tomato DC3000,1
RNA degradation - Pseudomonas syringae pv. tomato DC3000,1
Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,5
Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,1
Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,3
Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,5
Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,1
Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",1
beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,1
