Pathway,Gene
2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,6
ABC transporters - Pseudomonas syringae pv. tomato DC3000,5
Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",4
Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,4
Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000,22
Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,3
Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,1
Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,25
Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,46
Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,67
Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,2
Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,5
Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,3
C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,2
Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,1
Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,6
DNA replication - Pseudomonas syringae pv. tomato DC3000,6
Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,1
Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,6
Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,6
Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,6
Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,1
Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,4
Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,1
Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,5
"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",2
Histidine metabolism - Pseudomonas syringae pv. tomato DC3000,6
Homologous recombination - Pseudomonas syringae pv. tomato DC3000,7
Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,17
Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,1
Lysine degradation - Pseudomonas syringae pv. tomato DC3000,1
Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,155
Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,11
Mismatch repair - Pseudomonas syringae pv. tomato DC3000,7
Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,6
Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,1
Nucleotide excision repair - Pseudomonas syringae pv. tomato DC3000,1
One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,3
Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,9
Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,1
"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",12
Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,25
Purine metabolism - Pseudomonas syringae pv. tomato DC3000,10
Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,12
Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,1
Quorum sensing - Pseudomonas syringae pv. tomato DC3000,1
RNA degradation - Pseudomonas syringae pv. tomato DC3000,1
RNA polymerase - Pseudomonas syringae pv. tomato DC3000,3
Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,4
Ribosome - Pseudomonas syringae pv. tomato DC3000,49
Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,1
Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,3
Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,9
Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,5
Two-component system - Pseudomonas syringae pv. tomato DC3000,1
Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,2
Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",3
"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",3
Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,1
beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,1
