ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
frozenset({'223283.9.peg.1'}),8.795423729070111e-14,1.618903945541151e-13,-6.737908965155181e-14,2.601588532750606e-14,7.142759067409294e-13,-9.780232314375626e-14,-1.952283993136967e-14,1.708515315121814e-15,5.823821660386992e-15,-1.428910090231977e-13,-1.982197021819977e-10,1.635593601640067e-14,-2.145423345647661e-14,-3.525439970909905e-20,7.377311812105201e-14,0.0,-1.329652714908103e-13,-6.120896811829555e-15,1.188215845823508e-13,-9.321240748551295e-15,4.63821145706166e-14,1.398484641797976e-12,-1.379691653559981e-12,-2.609499892175312e-12,-5.189805412252112e-15,-1.085551723061337e-13,-2.634123361674319e-14,-2.874635543611952e-11,-6.83811847406657e-14,-1.512710021728031e-15,-5.150165256555469e-13,-3.400470417502375e-15,7.853740752480271e-15,-5.238166856088202e-13,1.009301642659397e-12,-1.008140851335111e-14,2.502128867398234e-13,-2.098922970178308e-14,-3.998772004290065e-14,-2.715404812952119e-14,1.794577091948804e-14,-3.943499387341913e-14,-1.093582033859445e-13,-3.836603089039826e-15,4.441286034680573e-14,-6.685643277618731e-14,1.33148922640043e-15,-7.726402647764646e-15,-8.055386640278501e-14,1.6279602988251e-14,-4.650364540044997e-15,-1.052790522905442e-14,6.409539694065557e-14,5.910026188712268e-16,-1.43097021548388e-13,-1.922546991849108e-13,-7.390054238365594e-15,-1.737857073869743e-14,-4.085496634846124e-14,-2.838422360285701e-16,3.330406303498804e-14,-2.567768703956952e-15,1.534508188421764e-15,-1.99121597185676e-13,1.782987650483806e-14,1.953335170785765e-12,7.486738823683199e-13,8.223048352615531e-14,1.397881057017855e-14,-1.682914843447024e-14,-3.845005601114885e-15,2.03675152721153e-14,6.888140621584178e-14,2.078422831621895e-13,1.62773990862583e-14,-2.752850583552107e-29,1.996857269621431e-14,-3.901566650373425e-14,-3.862799842446338e-15,3.232497211495645e-14,-4.305436131195002e-14,-4.004723279198125e-14,-3.702737899760623e-15,-1.850717766649263e-14,-1.835147394542582e-13,-8.447208960524224e-15,1.909299851060906e-26,-2.611589418985725e-14,3.026940203727801e-14,-7.877964018336913e-15,,,,,,,,
frozenset({'223283.9.peg.1290'}),-1.442090874670547e-12,-7.864736030251608e-13,2.001225523006658e-14,0.0,-2.118278383251599e-14,3.774785895160724e-14,3.362797893847876e-14,-4.025477664283632e-14,7.563719971509221e-14,1.314953907586532e-13,-6.501408428392231e-14,-3.976511231645949e-14,-3.598243209518114e-14,-8.373462629099796e-14,-2.107443324100673e-13,1.652351744254899e-15,-7.069333426130556e-14,5.308585558610721e-15,-9.45924450135738e-15,-3.032175805814296e-14,-2.340130392675516e-15,-1.074311378438799e-14,-8.698153931466255e-14,1.190320330220339e-14,-2.047020883931128e-14,-3.462080059528249e-14,1.004023305973657e-14,-7.626289742762681e-15,-4.3998105417129e-13,-9.139522391671443e-14,3.326478852819802e-15,8.401846380101165e-15,-1.674922304850042e-13,5.261549781314302e-15,2.396264195601277e-15,1.266031794462848e-14,-5.972397078684328e-14,-6.690297236546695e-15,-1.661649853938849e-13,-1.118779799837687e-11,8.330815670183506e-15,-2.919747369349016e-14,1.732159724540088e-13,4.791073568337432e-15,-1.656659170146949e-14,2.22674013440644e-14,-1.386988218483189e-14,-6.261296831537194e-14,2.526151494866574e-13,-1.915770677296312e-13,-8.755451490384154e-15,4.413311376499135e-14,1.289267034523656e-14,-2.563468129270669e-14,5.094717353440483e-15,1.649635411727363e-14,9.952488985453557e-14,-6.818800396210711e-16,-6.222929589212976e-14,-2.067689202439679e-13,-1.376388116991661e-14,-3.668672564638863e-14,2.925924502123937e-14,5.770309471590116e-14,-4.768754156020215e-14,-2.234348650252596e-15,5.807446176469093e-15,2.701201606796798e-14,7.474551972273866e-14,1.968336396566737e-14,-6.561508287240004e-15,-3.428578205207427e-14,-4.864580307154761e-15,3.550622109159761e-13,-2.600386693587486e-15,-1.204595643498812e-13,1.10438333391753e-13,4.424482950683641e-14,-1.758599443045588e-14,2.665386614094601e-15,-3.647622080407818e-14,2.96792733049288e-14,2.783739671828173e-13,-9.745143400367445e-14,3.571942511441466e-14,-7.051969890739622e-17,1.907338183164643e-13,2.354286825121622e-14,3.014377940181112e-13,,,,,,,,,
frozenset({'223283.9.peg.1455'}),49.20123911989056,15.20248431707138,53.9057387336577,25.88089428560895,21.81214176692458,52.99912871781072,17.36660453346771,57.13429493971687,17.62889903552241,44.39070145805267,50.90811439808435,42.41586494767683,19.29037308932095,7.637794684258329,42.73362954312865,8.524292267653447,66.0362031404619,14.75789231047176,13.41407094304458,42.39420253710427,50.38965298281953,14.33887184003892,14.96126585299991,61.84979658046656,15.92091302766144,30.44559141271189,33.60979401729909,49.20361900315199,43.64698837549641,4.453632973244765,8.743280698396111,38.52644625735846,28.73914331238336,4.441984513956838,18.92224384731541,14.35426864356811,48.28988695869227,7.349092901097162,35.70946039630296,57.29364679533474,13.8121272676174,36.089454512259,19.50456220771287,28.97456439553216,38.80553406449975,47.14624154230088,56.41257389862666,41.23878928146029,34.36903954947023,9.58230151172002,21.09420744666798,4.433823755936793,44.34098964493889,21.50707955001911,55.03198279166978,15.62957507923524,30.29086646122241,8.562370859000366,8.12411409509882,17.73542733106528,41.44238233442213,23.53239776988064,40.92909204819278,35.21739478527496,15.34450472663614,56.5444374044069,14.06747189664593,40.94867108325514,55.58500015008119,4.4268258354823,33.30207318010969,50.19938060576695,14.96101278994028,8.705651511425657,33.3942460706018,30.83633577198588,4.445372097224492,12.58402129644136,5.239846537205941,26.99332193131963,7.623298539770116,41.77281343166683,45.7672234741983,11.8494469083206,52.11721757263467,42.20313912387156,42.28455003562743,9.412329012185854,28.81681849535423,43.33172495297898,32.77809672844476,42.41050259279373,24.2755246421921,26.86162185523116,13.92271731764507,55.223703275486,41.86004935586384,29.73124042790657
frozenset({'223283.9.peg.1494'}),8.862570384730838e-30,-2.530867090630226e-14,6.289700737669712e-29,-5.429392310435589e-14,0.0,-3.544088535770144e-29,3.411855557318666e-29,-4.483546680052134e-28,-1.075312620036865e-31,-9.995008657993887e-30,-3.735771659983527e-14,-3.545151704429593e-13,-3.490284640704084e-15,-2.251776539236888e-29,-7.3406864118988e-16,-2.865421590664354e-29,-2.988674513010983e-15,5.747679594333325e-16,-6.750424243233814e-15,-1.434771350549723e-14,-2.947915277468623e-15,-3.404831682010733e-15,3.191461570779683e-29,-1.171669551565135e-14,-3.28186608156153e-15,8.445336557989138e-15,-5.388847257558588e-15,-3.668712897593479e-29,-2.775385550479555e-15,6.470929029783346e-29,5.826158430474408e-28,-1.743724999970557e-15,2.716356943932289e-14,-2.054745418903928e-14,-1.37593176766307e-15,-1.695386112337766e-14,-3.7171632023809e-15,2.412468921876472e-14,1.039683991604061e-28,-7.873761935254358e-17,-2.90573358240403e-31,3.389719359638209e-30,2.042114483743938e-31,2.085133173984005e-14,1.818928682985024e-14,5.248413952133336e-14,-1.003643041000771e-28,-1.412513931558443e-31,-4.201240198661464e-28,2.984018968667413e-15,8.188939716304711e-15,2.750994098197705e-29,-6.600514126346782e-29,-4.340410568671216e-15,6.770942561220922e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1497'}),-4.460421133697765e-14,8.437470133284288e-15,-1.403746337808744e-13,4.5469912622887e-14,1.138140208593003e-14,0.0,-4.883794077362132e-15,1.521652944982996e-13,9.37037560717597e-14,-1.415451224080626e-13,-3.568840069986406e-13,2.36268904563925e-14,-3.68579192685351e-14,-1.550454405135012e-14,9.064840368157738e-11,-4.231506564429794e-15,1.49031932262103e-14,-1.041153815192799e-14,7.41781948332825e-15,-1.758751106029924e-15,1.392720197320972e-13,-7.341536051740573e-12,-4.450447835799581e-14,3.101123414298969e-14,-1.999015325170173e-13,-1.09427961635285e-13,6.253065977685714e-14,-1.278782931559467e-14,8.440507857549174e-14,-2.525807483838343e-14,-3.593251884916192e-14,5.406064411943578e-14,8.937022114299329e-15,1.359754585345216e-13,3.0549722966184e-12,3.179275094277749e-15,1.788875259457847e-13,8.193102761902434e-15,-1.929635742369389e-15,1.336070978581456e-13,-1.028951898471135e-13,-5.685374592004868e-15,1.120186066709739e-13,2.697885700476029e-14,1.829737838658273e-14,1.376835197163812e-13,-4.710675853198191e-15,7.603775197619038e-13,-1.121053097106951e-14,3.469500132837399e-17,-2.25848046747301e-14,-1.399233466459096e-14,-5.717683312700799e-14,-1.745972157490539e-14,-2.880610577460987e-15,-9.776289028926858e-15,1.280173981180324e-14,-3.928259209698653e-14,7.798699637459579e-15,1.939361430733065e-14,-1.425753388784182e-14,2.124935034232555e-14,-1.644246212627345e-14,6.912174985053323e-15,8.842983582377235e-15,-7.278468162878375e-15,-5.088175047892504e-14,6.731270559353103e-15,3.149619949482414e-15,1.572477828585066e-13,2.784989453362357e-13,-4.640010726867241e-15,-6.272409157349576e-14,-1.660602046119002e-13,1.443764033323065e-12,4.33356932556228e-15,-1.507818214143462e-14,5.525847731432089e-14,-5.992733592306475e-15,7.781646705658672e-15,-3.402811937233347e-14,1.211206655988514e-14,7.02037053761729e-14,-2.342198069400329e-14,5.891813683962367e-13,2.214721167543416e-15,6.568711534352788e-14,-2.441361431694969e-14,1.376679893777192e-11,,,,,,,,,
frozenset({'223283.9.peg.1522'}),5.442994324464321e-14,0.0,-1.210446901052678e-13,4.891383027753756e-15,3.438639233965197e-14,-1.252573332159407e-13,-2.264985925580798e-14,-6.12924031959172e-15,2.735967109716009e-15,-5.917952558066164e-16,1.439723033402018e-12,3.336298628881781e-12,-1.490037436776005e-14,5.21369785852975e-13,-1.157026052957703e-20,1.161575388967264e-14,7.992119988909193e-15,-5.653290578696418e-14,3.877935684433601e-14,1.901594940370122e-13,-1.712430096595853e-14,1.742086394376176e-13,2.976623210062011e-15,-2.877110377537542e-14,5.478965464360647e-14,2.145873661530587e-14,1.166101105214875e-13,-8.621567358460978e-13,8.881420385414687e-15,-5.299662092795389e-15,-6.16817182758578e-15,2.733176184381793e-15,-2.479015337785581e-14,-5.703562801179003e-15,-8.161049214324167e-14,-1.272193490124682e-14,-1.400900918277401e-13,-9.825184295860628e-15,9.052832222967216e-13,-3.366854686588821e-14,4.645494759160861e-14,-4.152533892327092e-14,-2.455681679040146e-13,-1.441102887107467e-14,2.757096910185678e-14,6.775905176054723e-14,-1.897216543260401e-13,-2.982974589440979e-14,-2.944736253597177e-15,-1.118377222031608e-14,-3.044000920460469e-14,-3.853219273928672e-13,8.196212831304079e-14,2.221221283939567e-14,1.662130999477739e-13,-5.429053402522485e-17,-2.140654668256913e-13,-3.109971125434713e-13,-3.064866926270589e-14,-7.567268499974812e-16,-1.027244773263059e-13,-3.083676209213328e-15,2.484612129222242e-13,-2.862694509037566e-14,-1.536972809241771e-13,2.091809255229818e-13,1.686109171679244e-15,7.286692270055932e-15,-1.380233805783271e-14,-6.261656072144884e-15,2.065112443340772e-14,2.45405157400111e-14,-5.237418367598054e-14,2.862430870655998e-14,3.882556779961207e-13,4.039971134473076e-15,1.87894132878059e-14,-9.563155443704556e-15,-5.759392214498128e-15,-4.122320063556786e-13,9.91593545401042e-14,5.031747168643441e-15,1.394609888520165e-13,-8.94988228260941e-14,-1.34954718701824e-15,,,,,,,,,,,,,
frozenset({'223283.9.peg.1560'}),-7.946096793131758e-15,3.921116243715921e-15,5.418076790160935e-14,7.893975095693498e-13,1.436062323054391e-14,1.856541649119823e-13,-2.796786399733266e-14,7.193127643217843e-14,0.0,-1.859857912532604e-14,-4.381379010226282e-13,-1.677218463687043e-14,-5.852711518409262e-14,1.367251344145548e-13,-1.295839584892258e-10,-5.816306187074535e-14,2.732842055117756e-14,6.596507379260777e-15,-5.93799787130433e-13,-1.251138582893871e-15,4.850132581285976e-15,1.166301456870125e-13,-8.713496462457797e-15,-9.688927333544847e-15,-6.176373573265475e-16,-1.346832027351145e-14,-8.99423726654114e-15,-2.950830715289956e-14,-7.19317328361591e-14,-3.522682299716859e-15,-3.980748341132218e-13,-1.573495006469044e-15,1.99892819889752e-14,1.203845869229021e-14,4.833378412073861e-13,-3.291680746803685e-14,3.00651234407845e-14,6.360890150428777e-14,-9.717435608466121e-15,-3.753283959325561e-13,4.134852056710451e-29,1.008229564654502e-13,-2.990705960692354e-14,1.499694360968326e-14,1.556011204635379e-14,1.653974513059122e-14,-1.447339458684348e-14,7.1223115091516e-15,7.804310489701097e-14,2.753491557644546e-15,4.602236606670659e-15,-4.58238474747554e-16,-3.561180239862108e-14,-2.916263503454883e-15,-2.742365516032251e-15,-8.095597797748046e-14,4.431235672470824e-15,1.083353754600806e-14,9.415639543581804e-14,-2.062534852962932e-15,-2.596919028330092e-14,-3.858051762181228e-14,1.574603840390742e-15,-1.608762666067488e-14,-6.752080463533179e-15,7.865662128810599e-14,-4.815789910667452e-14,-6.847950071880905e-14,1.272530628313702e-14,-5.144561489059913e-14,-5.659898364297194e-14,2.756934699602038e-14,8.786315983845552e-15,7.874533960652606e-15,6.252929303330216e-14,6.675327002330617e-14,-1.024255478146052e-13,-1.017959096207745e-14,1.238126879837793e-12,-2.627918551003909e-15,-2.283647928225753e-13,6.17315575034986e-14,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1575'}),0.0,-3.642507512308229e-16,9.901319068468948e-14,-5.356832142219692e-14,-3.77258401447674e-14,-1.136528384135659e-15,1.061962079415004e-13,9.357328550073252e-14,8.429053776614243e-14,4.400958876712178e-14,1.258645566113509e-13,-1.129432545392537e-13,-6.653788657192733e-14,-5.909826173438785e-29,-2.192099200922929e-13,-5.914438967648448e-15,-7.034757831590327e-15,2.293251879614093e-14,-1.196703992268578e-13,1.847122493448931e-15,4.281340563300201e-16,-1.36022723206175e-13,-2.141141648178325e-14,-2.41147974463659e-15,-1.449977066685769e-14,-5.559028480592116e-15,-8.243458795544282e-15,6.573793532813079e-15,-4.899163256978495e-14,5.583094622933677e-16,-5.993762214126741e-15,9.704929983824148e-15,-2.881471026023127e-14,-1.874568336192825e-13,-1.247843372149657e-13,-1.142461606271044e-14,3.319414981088413e-15,-1.968944098225218e-14,-6.704129598996191e-15,1.275296717697659e-14,7.100617512753299e-14,1.869640164470019e-14,4.523654927001304e-14,-6.18771981262052e-14,-2.713106653675883e-14,-2.419574262622743e-14,1.871893828085333e-14,1.687419246645613e-14,-2.18672665976388e-16,-2.028323298055559e-14,1.983053337634151e-15,4.86726612709039e-15,1.043907397987739e-14,4.352843661232641e-14,1.296981571591369e-14,-3.643106359507561e-14,1.157202711826995e-15,-1.077203745843071e-15,3.46009947060226e-14,4.186537158691069e-13,-6.951830668317468e-15,-3.89760462323015e-14,6.207714119381028e-15,-6.330496440160684e-14,-7.5407668595886e-15,-4.836324474600657e-14,-4.626684098433383e-14,-4.321191166423054e-15,-3.214504851764756e-14,-4.786509167219689e-13,2.481923363662637e-14,-1.79825302483986e-15,1.177207427523885e-14,3.054179265416904e-14,-5.412956549355827e-15,1.959810837611891e-15,7.431863511068349e-14,-7.858309010473356e-18,-1.370536529776229e-13,-1.491427237009557e-13,1.876662246769267e-26,-3.054652724786297e-14,5.717553718152514e-14,2.490571919363714e-15,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1577'}),-9.349761850229906e-14,1.812871966387065e-14,2.027341281292964e-13,0.0,-1.389660409349974e-13,-8.98127585441574e-14,3.013759840961983e-15,-5.553404981749928e-14,-1.770662359961675e-15,1.750398665133872e-13,-4.819826358990453e-13,8.209718577504375e-14,1.755562621539816e-14,-3.509927952542119e-14,2.170401513462689e-10,5.663542847378644e-11,-2.219709239174157e-13,2.481576468545427e-15,2.418365231084637e-13,-2.035182213576632e-14,-1.25604651591011e-14,3.876382958460166e-14,1.234578716412846e-14,1.566567953091482e-13,1.472775301647527e-15,-4.403371044027075e-13,-4.107668318655697e-14,5.239910865485553e-14,-2.751017700201683e-14,-6.637175902080178e-13,4.009874540747912e-13,2.461413816465837e-14,-3.169690503912195e-13,3.472702358307695e-14,1.238029160293438e-13,3.89582286186266e-15,-5.859032543521049e-14,6.029940359365333e-14,8.873114600656143e-14,-1.914276384890698e-12,-5.206195275760538e-14,3.543141030593102e-15,-3.605755194747087e-14,9.296894003968183e-14,-3.382936148429318e-14,-1.166871487172547e-11,-2.278592999841923e-14,-9.363202011263034e-11,5.664812178520601e-13,-2.740503564937331e-13,6.041961156485272e-13,3.198452418055255e-14,-3.601557832391801e-13,1.384916148722253e-14,2.659226974734184e-14,7.383606450398457e-14,-7.192945462489735e-15,-1.328547403621167e-12,1.277147520127205e-14,-5.780741161170116e-14,6.315165352223703e-15,1.274481783178815e-14,-1.222015394771869e-15,-9.251476341352716e-14,5.388879877682184e-14,-2.180319074836651e-14,6.447314896102179e-15,-7.541934123034184e-16,-2.217779451977887e-12,1.392806897228135e-11,1.841824347967385e-13,9.85984062106757e-16,5.655191379732889e-14,-8.878676657982762e-16,-8.504528265714248e-13,-4.83033583371953e-13,1.979876046790977e-13,-1.474862109055361e-15,-5.466101685130297e-14,-2.585369550124557e-13,-2.189434382063156e-13,-2.034315014575332e-15,-8.244567725320694e-15,-7.170769250918106e-12,2.656529689093757e-14,3.798564687778653e-14,1.44644691891984e-14,-2.639715612859906e-14,-6.178936925283839e-14,2.739466504769692e-14,-1.187292915343557e-14,,,,,,,
frozenset({'223283.9.peg.1663'}),-2.267515366976376e-14,0.0,1.660879584103939e-14,2.52696884520955e-14,5.676689472658825e-15,6.484390787746703e-14,-2.549608789377102e-14,-1.550139053760217e-15,-2.662229274297379e-15,5.384287371553226e-14,6.949657459198637e-14,-6.578364039084632e-15,-3.965113284221047e-14,1.224694662890151e-14,8.364123619073954e-14,1.549078959353672e-14,4.161680655518708e-15,-9.214340822842909e-17,4.656328148020829e-15,-6.25254270422572e-15,1.110564069538986e-14,1.217641303791695e-14,-8.369946619356166e-14,6.414735304979616e-15,1.024252421146956e-14,1.507905391026874e-14,2.285487478732053e-16,-2.54452637910487e-14,-4.036621469444515e-15,1.834724239287847e-14,-7.553940148601592e-16,1.522170090048956e-14,-1.244304388534314e-13,6.456772049537672e-14,-4.158901632685008e-14,-6.437790470894267e-16,-1.8382294469159e-14,6.755677869553697e-14,2.478823444252204e-14,-1.770886972815769e-13,8.447303212287445e-14,-2.698999626227413e-16,1.077017633602891e-14,-2.220344028230121e-12,2.461623479687967e-15,-1.453837278552512e-15,1.262970539226789e-13,1.566743496940175e-15,-5.617006744737003e-14,8.653777518596932e-15,-4.952565460373933e-15,1.092314825217772e-13,-2.550439794006958e-14,2.12769104225468e-14,-2.847551634427522e-15,1.327940799515681e-14,1.532552923055719e-14,-1.793698698670582e-14,-1.512024271075049e-15,-7.98462771315314e-14,1.737721052165489e-14,-4.973614920358989e-14,1.249500052088538e-14,-4.50493054013332e-15,-1.177646725707107e-13,1.684261080660115e-15,3.744607903171646e-15,-3.372576636746681e-14,-6.731270559353104e-15,1.318368721748254e-14,-1.818153736398689e-14,-3.45488105270945e-14,-9.611974781024543e-15,4.634180323150947e-14,-2.182386795552865e-13,-7.227855927489807e-14,-2.513030356905769e-15,-3.136371170260744e-14,1.082650139236532e-14,2.907271759730546e-14,3.0510829870664e-14,8.22288951807848e-14,-5.382933146356996e-14,6.629188924823881e-15,-8.899488318828911e-14,-5.589697663722933e-15,-7.528645557307072e-15,,,,,,,,,,,
