ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
frozenset({'223283.9.peg.1'}),-1.523618361724429e-13,4.123924104646539e-14,-9.4550318356825e-14,-6.073274795411612e-14,3.320433701813068e-13,0.0,-8.565638543950986e-14,5.32486798802273e-13,6.884396454695158e-14,-1.579660085263383e-13,-1.828812882228216e-13,-1.247866868593067e-13,-3.983258944113765e-15,-5.886861402319236e-14,1.340481418790486e-14,1.141819288925138e-14,3.165361956834114e-14,-1.806820592744933e-14,-9.870506912661784e-14,4.17432110674237e-14,-1.471701906388574e-13,1.133331099812144e-13,4.940693749563143e-13,-5.606082768742582e-14,-4.148476232298775e-13,1.004108832744368e-13,-1.527518398410075e-13,-3.742460953749241e-14,6.754263047729982e-16,5.552820347694928e-15,-1.912237887376176e-13,1.181607784831925e-14,-1.389504250560963e-14,2.553054994845141e-13,-3.426606156367794e-14,5.750225828233586e-14,1.487174863552196e-13,-8.041681375356e-15,-2.799926854386045e-14,4.400460066881958e-15,-6.329136243183013e-14,1.420329957132571e-14,-2.289732151473594e-13,-1.551838226140256e-13,3.240749249788941e-14,-1.514487025034904e-13,3.042870625154783e-14,-1.135663153762978e-13,-8.168056281292544e-14,-8.450994064774902e-14,7.406678680635772e-14,-2.567171484417746e-13,5.092469375178763e-14,-3.88265808601184e-13,3.981993221708205e-15,8.444564521989472e-14,1.246805688099747e-13,1.528333769437137e-13,7.237331483200329e-13,1.418980056634335e-13,-5.362333821178515e-14,-2.192685957487473e-13,-2.56808588861387e-13,1.409695707611973e-13,-8.434908476890487e-14,-2.361916703239041e-13,5.671149284433798e-13,2.86840032323805e-14,1.797555091400316e-14,3.145185756562894e-12,-2.582929433477582e-13,1.286037973557727e-13,5.206111517976606e-14,-6.405136497715205e-14,-1.759034677261563e-13,1.027615377619905e-13,-1.910084239462794e-13,2.428567267574913e-13,3.648274771147898e-12,7.195647037655899e-14,-9.091293884508196e-14,-1.102573454057707e-13,-7.726968843494442e-14,2.114659176444686e-13,-2.333078226632041e-13,-6.332277454699468e-14,-1.334897467179337e-12,2.269733606420977e-13,,,,,,,,,,
frozenset({'223283.9.peg.1290'}),-1.206089908188193e-14,5.44004796452362e-13,1.342530108416601e-12,-6.156728296267772e-14,-1.568727667610197e-14,2.190691779859368e-13,7.747086196608073e-15,7.584066594021295e-14,3.245626918352725e-14,-1.86759467878108e-11,-4.162847910599134e-13,2.677316138648695e-14,-2.796371895169697e-12,9.536480714634407e-14,-2.770027135562376e-14,-1.019074673853712e-13,4.450194597019803e-14,3.174028757198577e-14,-6.030645650175391e-14,-1.518562028985139e-14,-2.808035354786546e-14,-3.435977647093651e-14,4.205633713078492e-13,-2.836714275159763e-14,4.918236816978752e-13,3.225421297859299e-13,3.893768808436163e-14,0.0,3.98680716861284e-13,-5.542415849558672e-14,2.74173941263198e-13,-3.245524013021028e-16,-2.923248652803114e-14,-1.748195990451712e-14,1.857173290304878e-14,5.726977830940417e-14,-2.864080637124203e-13,1.187160531885345e-13,1.983551282829927e-14,1.429190499570426e-14,-1.193450288641336e-14,6.253545433078367e-14,2.809424442528075e-14,1.467116438328692e-14,1.363329896958512e-13,1.061558570851978e-13,-2.765945086290517e-14,-1.01311481932309e-13,2.069215113149441e-11,-1.665849478525566e-13,3.002630817176362e-14,1.919740354212963e-13,9.36569791097601e-14,-6.5320437404822e-15,-7.719196786420072e-14,-1.239330265490374e-13,2.116819729027937e-12,5.855504176612221e-13,-1.350793322250092e-13,-1.475509217739002e-13,3.631395335263708e-18,1.138723972268045e-13,6.053138292471859e-14,-3.326141157951037e-14,4.243338935426324e-13,-1.237043998281744e-13,3.136606484509976e-14,-3.533900106887996e-13,-1.323525130919599e-13,5.821741625413091e-14,9.40653984577167e-13,2.569044791049615e-14,-1.425795162253095e-13,-4.288654168002782e-14,-1.323830610858621e-12,6.419859047286599e-14,4.003393863286467e-14,-1.521457305921157e-13,1.767617061820424e-13,1.342654349050637e-14,1.729851511205744e-14,4.506774955486546e-14,6.191066075400274e-14,3.319465960341596e-13,1.717375451242605e-12,3.707980599867183e-14,-6.119897201841599e-14,-3.633367378028494e-13,-1.75865390746967e-13,6.148971265076669e-13,-1.863105261210469e-14,1.055502817507169e-13,1.123332004093455e-13,,,,,
frozenset({'223283.9.peg.1455'}),137.9686169111064,47.88912968811357,105.6874861756874,72.52152851586597,104.7581707722954,150.3359366967269,47.94064869651868,141.5959979280282,60.51265280886691,88.15681821246478,112.189385392923,101.5255133510533,78.87040120580286,73.32024194529706,82.35775324530823,100.6081550890133,144.437854580916,96.02823444789566,64.2681350901061,114.6223972192415,120.075223778672,62.46153999477656,114.0354514241997,125.0856918112894,44.57491100963487,87.7334738579948,119.5273066970952,119.5750018439486,127.8892039647298,57.52802757986393,109.5780328578657,140.8684476798615,80.75400129687088,56.93020736598779,102.6901506263989,95.78374813185313,154.0730834086559,69.6223382816658,136.7517074471381,123.5162670634322,87.46104292907144,86.68158919158425,87.15647627832243,82.48286078407796,103.9545306077326,131.9106807781469,123.6532355880759,86.8996783685862,105.1959582871242,83.16363144239018,67.39720492514418,54.38134979502435,104.5833685388104,86.81558574630346,170.0579553705604,70.17971558094953,94.66982284174397,85.92728103943202,109.7071828343726,40.57147836781255,104.3378988354491,97.82212573363581,80.6088191134438,69.09441294661384,67.89692671424667,190.1104661442156,52.16850508512252,86.41184786343761,133.3519913799959,57.33243147934433,108.0764349326248,156.5037844797592,50.07406379741982,72.01352500577823,76.04160522672815,94.75942752428111,54.85444530667669,71.25957286170292,59.90574228039572,100.5325676845566,122.8917404884165,121.0163521299617,144.3763288760333,97.05353944201063,102.3866985237197,97.74325143034885,112.7629964790432,92.06491242557802,84.92713689176396,127.7007071741287,100.972976612872,120.5486204181932,96.67862714893786,83.41943597169752,78.27631168756076,158.0961360195888,123.4740471287569,67.14469436013981
frozenset({'223283.9.peg.1494'}),-3.895638107372316e-14,-8.333390135966637e-14,4.856564569760475e-15,-7.672756338212739e-14,1.865125089171751e-14,0.0,7.898451375637742e-15,1.183955610158484e-12,1.947376151011635e-13,-4.176322541815932e-14,-1.076392422804407e-13,-1.86815130782766e-14,3.660624056445756e-13,2.046624960215558e-13,-7.282105439828654e-14,1.85400879511533e-12,5.712894925910567e-13,1.848054741711002e-13,-3.954897845577337e-14,8.21360907204444e-13,-1.071315554627718e-13,-7.885160959250966e-14,-2.734330045889103e-14,3.044104570092314e-14,-6.608793524493006e-14,-9.174173463412802e-14,-2.741059212290518e-14,6.64292446345226e-14,2.202341973763272e-14,-1.479941343329275e-13,-2.282079878809503e-14,7.937026199167613e-14,-4.703746429441863e-14,9.566333069771051e-14,1.516763764063631e-14,1.472779646435695e-13,4.481663811312539e-14,-3.891334325700422e-14,6.024222036288812e-14,-9.346353358646336e-14,1.059970213140979e-12,-1.82502554637392e-14,-3.498640729062991e-13,2.165795971137756e-13,-1.850541389457604e-12,4.462721507048018e-14,2.048867582811655e-14,5.444869343921012e-14,-4.468700178067098e-14,-5.870245411675876e-14,9.54976127566355e-14,-3.495383101771169e-14,9.632026990513073e-16,2.358092845595821e-14,7.677080175064649e-13,8.064063389238001e-13,1.615487295537855e-13,-2.614081872226447e-14,-9.227277240940355e-14,-8.460639935327291e-14,2.95611034792634e-13,3.094056501056174e-13,2.174160451547577e-14,-1.617079335353103e-15,-3.861997184515477e-14,2.175684565240599e-15,-3.207469306959183e-13,1.714351606343242e-13,-1.015634430139394e-13,-1.967035066407698e-13,2.849374764875142e-14,-4.460515642691844e-14,-1.624333680494442e-13,4.79938463497032e-14,2.607775171076947e-14,-2.44853000865252e-14,9.862555566160801e-14,2.399802588222354e-14,-2.059439971152448e-13,-6.138229797929218e-13,3.17875616151717e-15,-3.934657474769915e-14,-4.549771318453542e-14,-1.799505825406571e-14,-9.89231877982621e-14,-5.822415837757137e-14,-2.573697546908137e-13,-7.772006329630691e-14,-1.225888733260354e-13,-6.514124224635231e-13,-7.578699193232847e-15,1.224598308470341e-13,,,,,,
frozenset({'223283.9.peg.1497'}),-7.864823170622404e-12,-1.764545867174059e-15,-4.873775322036987e-13,8.699289368481628e-15,-3.29177063458819e-14,-3.912455826659823e-13,-1.757620211160487e-14,0.0,7.360150701235983e-14,-1.342019290905488e-14,-3.748943397806936e-14,5.618359782654221e-13,-6.617521882865464e-14,1.593543550829934e-14,-1.608531756700703e-13,-2.3369680209821e-10,-2.273625185075769e-13,2.21451094935919e-14,-1.240864329248321e-13,1.301827348939615e-13,7.328119896766782e-14,-1.912329629308207e-14,-2.12128424808933e-13,6.272149346384511e-14,2.844996791502188e-14,2.692583920993424e-13,-3.635625813593117e-14,9.327197537422218e-14,3.446101691052593e-14,-8.561451029142378e-14,3.572611953206538e-14,2.785816923966691e-13,1.886141157652472e-14,-2.787592767577295e-13,-6.88434221304492e-13,5.082632218583176e-14,-1.606591689063881e-14,-3.147792109798277e-13,-1.521755283857514e-14,1.090722852460018e-13,5.002459459080925e-15,-1.985680019068349e-13,-2.703936174661557e-12,6.641426450916084e-14,2.544284168383381e-14,-1.420869677652785e-14,-8.610586089859284e-14,1.395581203690512e-14,-7.308780040221263e-14,3.234453005601948e-13,3.20610990126279e-13,-1.339189000972577e-13,4.798284633271068e-13,-2.928144881036813e-13,-5.293049277347144e-13,-4.928116293662437e-13,3.396044181039636e-14,8.13787143898323e-15,3.451173861317817e-14,-6.016191472907786e-14,1.589400302029144e-13,-6.251845996053929e-13,4.449353736635722e-14,-9.630077249884504e-14,-2.838027057991239e-14,1.598120354784597e-13,1.123600830518375e-13,-9.181236084414484e-14,3.081724830317086e-14,-4.066715545724676e-14,1.622634536598173e-12,1.926930248561828e-13,4.868948767181587e-15,-6.500800512401457e-15,3.642683879984325e-14,-1.016107188491847e-13,-1.697739626744455e-14,3.908905497036014e-14,-3.636213769625138e-13,-3.921107105622499e-12,-8.335407785895663e-14,1.191655430541064e-13,-3.076745410365759e-14,2.203735106628694e-13,-1.407555140255683e-13,8.254150781545127e-14,3.768571899976281e-13,-9.723487623808342e-14,-4.44684909288763e-13,-5.364380252685341e-13,-1.487304807818448e-13,,,,,,,
frozenset({'223283.9.peg.1522'}),-1.726079697339539e-13,3.122010304828321e-14,2.492452298502106e-13,-6.804700563455621e-13,0.0,1.827939868347694e-13,3.873543098304036e-14,4.477726591958421e-13,-2.301870310290471e-12,1.809943964377789e-14,-2.087498755315909e-13,4.648927314819809e-13,-3.683026398516187e-13,-6.226169919290125e-13,1.638946584816029e-13,2.342211056878176e-13,1.039250449823341e-14,-5.750175678417417e-14,-2.042867914213519e-13,-1.217292376258065e-14,-5.866303299915989e-15,5.568391738377736e-13,7.236299085208258e-15,4.298904326300474e-14,-6.450842595718598e-14,-2.727289062133385e-14,2.100317978172559e-13,-1.321330102649321e-13,2.650207199969764e-13,-6.654740264394158e-14,4.197048692907235e-13,1.828873461653592e-14,-7.49630746938815e-14,6.155697226520353e-13,-1.321883370980401e-14,-7.392143815082921e-13,-1.752998472675078e-14,2.820740664982112e-13,-3.606784121662011e-13,-7.049824261387915e-14,-4.271374163275919e-12,-1.716127229079693e-12,3.827897824938937e-11,2.470248354168195e-13,1.505634941864611e-13,2.91550291421056e-11,3.78583874480566e-12,-3.353207268681216e-15,-1.771720974205011e-12,7.242495928690999e-14,2.362078555748713e-13,-4.101120847742383e-14,7.394030460952386e-14,1.021954599308409e-14,-3.71808386176712e-13,-1.284226579642376e-13,-8.992669815269354e-14,-4.03356999373448e-13,8.646654505660864e-14,2.200891016887279e-14,-7.616430985940334e-13,-8.31144232732239e-13,-3.755169725928653e-13,-1.83806150507255e-14,5.36007070806159e-14,-1.120256863576567e-14,-2.748650812384183e-14,1.388397810914373e-13,8.919994681335203e-14,-1.648511897889333e-13,-5.189928825272144e-14,2.662386848901351e-19,-1.88811468001695e-12,9.94117647712806e-14,2.671839755536803e-14,5.379059492297263e-13,6.163322228576629e-14,4.409796842631033e-12,-4.698798796575742e-14,-2.231611591587956e-13,2.223628805505824e-13,2.584505136665925e-14,9.398740256088934e-14,3.778347230823927e-14,1.516814188149865e-13,-2.289387568978517e-13,-7.358716801016411e-12,1.123332004093455e-13,,,,,,,,,,
frozenset({'223283.9.peg.1560'}),1.1248725188239e-13,1.500744139837626e-13,-1.381044504670142e-13,0.0,-6.868582068321453e-13,-3.766229232584377e-15,2.64250640759162e-13,5.566013817916082e-13,-8.854131500405659e-14,-2.2157975001858e-13,1.127202741675651e-13,9.030498820321515e-14,-4.023545378577476e-14,-5.695713478017773e-14,-3.968499928203099e-12,3.82368696435184e-14,-7.787666700476433e-14,1.495177378486045e-13,-1.335106636185077e-13,-2.372973469854188e-13,-3.00414255788138e-13,6.770232683028017e-14,4.075105650524264e-13,-7.96803321407696e-14,-8.674659434398062e-13,3.321462231726134e-14,5.571214741222064e-14,-2.189777745788081e-14,-2.200678376594635e-12,-1.155577889180334e-13,-6.564707549720254e-14,-4.061738430599914e-13,7.869180027492243e-15,2.729330468496577e-13,-1.189396926053596e-14,-1.390713617104289e-14,1.238758822595448e-13,-9.150870314229018e-14,-1.232136340744825e-12,-4.654492995227622e-15,6.035473022577766e-13,-3.388420907846504e-12,1.22126653057947e-13,8.359798095660627e-14,-5.330801740116907e-14,-3.737943446215114e-14,3.265404497109715e-15,-3.529611116444714e-14,3.170005262513144e-14,-3.706806057960283e-14,3.460155145940374e-14,-1.142637689306413e-13,-1.424608126811455e-13,-7.703329495107064e-14,-2.56805993003943e-14,1.458820977501014e-13,2.731126144764147e-13,-5.343143236135347e-14,2.789024148801835e-13,2.641180329627127e-13,-1.815395289814251e-14,5.601541736544271e-14,1.090539975283835e-13,-6.932022171192036e-13,-2.831626105809074e-14,4.712402383242092e-14,3.492382758408241e-12,1.228815837265176e-14,7.865447543492174e-13,-6.463948697606275e-14,-1.329191104544733e-12,-1.954562198679221e-14,6.392707514066731e-13,1.373351325511963e-14,1.788018678551665e-13,2.614791078664559e-14,-1.001388746195856e-13,-1.150716942204427e-13,-1.258929683969464e-12,5.50519712677211e-14,5.666447822687712e-14,-4.401549074021299e-14,-2.808408502851163e-13,-2.440706258662701e-13,-1.388818785046154e-14,-1.570440109808616e-14,-1.238262586508758e-13,3.465854362075841e-11,-7.37642447040887e-15,,,,,,,,,
frozenset({'223283.9.peg.1575'}),-3.016984422651883e-13,4.445811663343062e-12,-1.185748958228495e-13,1.106446790551725e-13,-1.720713243582549e-13,2.009535991038952e-14,8.181737430609648e-15,1.771478986290825e-13,3.388392049624211e-14,-1.383091888235222e-14,-6.297985675943153e-14,1.666519535288376e-13,-3.303713529687074e-13,-1.386016680617608e-13,5.320263295536351e-13,-2.456513760619929e-13,-2.580295523261755e-13,-5.757224362887621e-14,4.899131010482515e-14,1.823573162675971e-14,1.222028529920126e-13,-1.602101305602177e-14,7.992294801712096e-14,3.696538349704774e-14,0.0,3.315877332644995e-13,4.312782461945938e-14,4.441958150633585e-13,-9.471848229223237e-14,-3.601557832391801e-13,1.309899266968374e-13,1.852217153045411e-13,4.612075417971637e-13,-1.298038674338823e-13,2.428244185347505e-14,8.638239636827974e-14,-1.709349235234355e-12,1.855630409010272e-13,-4.704785784777638e-14,-4.678420093569689e-13,1.556999822229066e-14,-8.268609459117758e-14,2.826044906075562e-13,-9.632440324764377e-14,-4.458975145385821e-14,-5.191941133472744e-15,-5.552820347694927e-15,1.339343824177581e-14,1.896935827865143e-14,9.420603461043294e-13,-4.022979009918609e-14,-1.504597135974762e-15,3.042622513524859e-14,-2.35939588506684e-14,-8.10972333750755e-14,1.597276206659913e-12,4.257468550264511e-14,8.686320644253313e-13,5.910772272382955e-14,7.685417168590533e-15,1.813923365925021e-13,6.078355142067008e-14,-2.163621241413465e-14,-2.552113789024669e-14,-3.481691902371057e-14,-5.551374024512506e-14,4.636881393301626e-14,-1.602602255515562e-13,-4.80105568325079e-14,-9.367539472763199e-14,1.194236338805712e-13,3.262753511440478e-14,2.096677154565831e-14,9.004882402734153e-14,5.948126044996171e-15,-6.757893951951033e-14,-5.324573818389958e-14,8.908654537972983e-14,-2.440273577911361e-14,7.134574613501207e-14,9.07029372462144e-14,-1.12172440819737e-13,3.66003094978726e-14,-1.553915559416831e-14,8.424835740810715e-14,-3.366051715651501e-13,6.520129841014693e-14,-7.185203416699976e-14,-7.270204106508954e-14,-7.071729989170075e-14,-2.132482453177083e-13,-2.967143577837764e-13,,,,,,
frozenset({'223283.9.peg.1577'}),-3.297122464582598e-14,0.0,-6.462854410723329e-14,5.077036482482918e-14,8.334242123210801e-14,-3.739300454893732e-13,1.326769294423321e-13,-4.30275354119813e-13,3.388495983026052e-15,-4.614312455524031e-14,-1.288096342804085e-13,-1.701963637775979e-14,5.693264017410023e-14,3.611215161947851e-14,2.591079749659547e-13,-4.100172131741989e-13,7.26107391698959e-14,-6.187792427350771e-14,9.639389332728916e-15,7.284832954815058e-14,-2.164572827128596e-14,3.224376549917462e-13,1.290786183643267e-14,-2.328673915341667e-14,5.570645710049218e-14,-2.272695771908737e-14,6.584557709772509e-14,1.11372414694528e-13,-1.140401353031206e-13,-1.244189218918569e-13,3.206242623432827e-14,4.209002191422255e-13,3.496391980903423e-14,3.449331645852068e-14,-4.244409133641215e-13,-1.618082674219381e-14,-3.142459818940377e-14,-1.247693065560452e-13,-1.424173108484695e-14,-1.187978057435741e-13,-1.102757590585867e-14,-3.297795977418676e-13,-5.536106308062031e-13,-1.924581370428172e-13,-3.078929818436971e-14,4.952197639869783e-15,-7.380631887686985e-14,-1.688232313851359e-14,-9.288931308283994e-14,-1.226378063978996e-14,7.087770532376479e-13,7.388007334728621e-13,-3.699593582333979e-14,2.443883018110488e-13,2.598385741680846e-13,-7.19786874465579e-15,8.351552644168196e-13,-6.386352804192258e-14,-7.639812439464252e-14,-3.957370802578875e-15,-1.766336482063363e-13,1.484146381609993e-13,-5.405927818808897e-14,-6.584814615501892e-14,7.078139685643052e-13,5.847804195062559e-14,2.075069010473829e-14,-2.668784333711719e-13,1.152524899430669e-14,5.242557188287119e-14,-3.153780874135203e-13,7.472989810051468e-16,-3.825057878467498e-15,2.737472684486448e-14,-7.387973538164379e-14,4.870890991984015e-14,1.236715893868259e-13,-4.525794160054543e-13,-1.402565418005151e-13,-3.392771575100007e-14,2.699318911676271e-14,-5.481025271869712e-14,3.470551644209201e-14,-1.853149753028717e-14,-3.315950984628542e-14,-3.759456713702267e-13,3.774211437542023e-15,6.456618307575235e-14,2.000736013307027e-14,1.161594458499193e-12,-1.294623138472079e-13,,,,,,,
frozenset({'223283.9.peg.1663'}),-2.646440988910161e-13,9.865774746565977e-15,-2.546955175448682e-13,0.0,-2.899568086006707e-14,-2.961935567571627e-13,4.957165386344027e-15,-2.612976090817685e-13,7.943129823207117e-14,-3.699409043834494e-14,-2.800359571375788e-13,5.751430052021934e-14,-2.303660859150732e-12,-1.716586463300361e-14,6.358497811177661e-14,-3.231004202974965e-13,-6.471222449562738e-12,-8.96494087491107e-14,-2.042175546494069e-13,-4.459500306370271e-14,3.146541503436175e-14,-7.726591103243351e-14,2.86323001457719e-12,3.176254382246144e-14,5.552820347694926e-15,-3.108683225246966e-13,-4.334142661087756e-14,5.942763676406359e-14,-4.381296168660346e-14,6.528212136263366e-15,-4.848879649407412e-15,1.042163777592474e-13,6.332245192719398e-14,-8.946282061037518e-14,-2.068056327666476e-13,-1.798050980527076e-14,7.113927415292743e-14,-1.380560783589073e-13,3.664760815127973e-14,-1.514748612459208e-14,4.269497349709442e-14,-1.645317409252897e-13,1.499798638370434e-14,6.94102543461866e-14,4.576486219090469e-14,2.810607317270841e-12,-1.479854588300388e-13,-2.943144619537154e-14,1.785516910579865e-12,-3.412699323840432e-13,4.721041645738545e-14,2.761192207866782e-13,1.768750131322519e-14,-1.112017018244986e-12,3.488538527988224e-14,-6.6754731998631e-14,-6.871817734023517e-14,8.62504869784249e-13,-2.939817917014262e-13,-6.39525804100129e-14,-2.245213938630092e-13,-5.012030571759614e-14,-6.034866639138651e-14,-1.017677261249526e-14,-1.246496122693321e-13,1.639074168058566e-15,5.273237751367806e-14,-5.415582695640073e-14,-1.11746487972728e-17,-3.306427598047827e-14,-1.549909679439023e-14,-1.179606649409414e-12,-5.557220695787547e-15,3.67783396035577e-14,-3.7864820911402e-14,-6.965745616259874e-14,8.279942871480907e-14,1.986867486667185e-13,-3.82496849881449e-14,4.215147936473107e-14,-1.022456459885984e-14,-7.046024286624777e-13,1.393101712796004e-14,3.397778191968702e-14,-1.021849508857481e-14,-3.282503037667369e-14,-3.38782683215589e-14,-3.316467578706817e-14,-1.751961253146447e-14,7.425027777573035e-15,-2.21055684641228e-12,6.625357447342633e-13,-7.63544816354226e-15,,,,,
