ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
frozenset({'223283.9.peg.1'}),-2.245913918249324e-14,7.187881746926592e-14,-1.984426027980759e-13,0.0,-4.094886934969009e-14,-4.113080903832924e-13,4.098578451752775e-14,1.736251968267295e-12,-5.73395689339731e-14,-1.130525446038072e-14,1.715327083653306e-13,9.920795805310342e-15,-1.462595732175104e-12,-6.258592218722995e-13,1.675208774078015e-12,-1.053994691590263e-13,-5.049960261716495e-14,-4.859685779839722e-15,2.053037318857014e-14,7.449077163484715e-14,-1.341774476815145e-13,3.170889142055687e-13,1.103790920481987e-14,7.046183876849117e-15,6.067597495569734e-14,-6.567446195636493e-14,-3.43231865276851e-14,1.740188912996192e-14,-1.239135698111466e-13,1.580671023763378e-12,-2.939199587362368e-13,-3.051029837679439e-12,-2.828000310407091e-14,3.784960640771123e-13,8.208100007275361e-14,-1.774944760481447e-15,9.87126234726628e-14,2.05791169584987e-13,6.687948450105359e-14,3.50254285089644e-13,5.652742851566456e-14,-5.437466824940076e-13,1.124184625533174e-15,-5.461103738350298e-14,1.337621188016013e-13,-2.271656359317873e-14,-1.644029771291484e-14,2.070988650489508e-13,7.447471214764758e-15,6.475775694257741e-14,6.786258095474365e-14,9.764081141038537e-14,1.535865806268131e-13,7.940720282105326e-13,4.205349767127187e-13,-1.662165751940469e-12,-5.793107845905876e-15,-1.806000918333575e-13,3.595067265572193e-13,4.005987844579962e-14,-8.653541615454567e-12,1.964414726725315e-14,1.721173471498785e-14,5.391999965701483e-13,-2.273170865989141e-16,1.151782208978859e-13,-1.799195330556e-13,6.74269580804807e-14,-4.481225514103961e-14,2.463030225130821e-13,-4.728751918674664e-14,-8.952389743793824e-14,1.003233031914737e-13,5.867152411567035e-14,-4.059779296554433e-14,6.93440599859068e-15,-1.641993880709071e-13,3.011126540649617e-14,-1.654034151864027e-14,-3.043216752876769e-13,-2.111283911604158e-14,-9.323278009639239e-14,6.075013027677803e-14,3.810172569289251e-14,2.568330291267309e-13,-3.770648013352436e-13,,,,,,,,,,,,
frozenset({'223283.9.peg.1290'}),1.822065468946911e-14,3.477890667044103e-15,-2.052553971509691e-14,7.4762169195997e-14,9.43546194467533e-13,-2.676181610738192e-13,-5.801038406028596e-13,-9.051975343366107e-15,7.422772209847643e-12,-3.121661995035619e-14,1.202063695440662e-13,1.004498810688196e-13,4.818998657260483e-15,0.0,-3.220823782497237e-14,1.336453809129104e-13,-6.543957023048889e-14,5.134844585737713e-14,6.486425887449701e-13,1.012943228237421e-13,-1.490190227701168e-13,-4.76501313999395e-14,-1.507197778431548e-14,-5.172243535779216e-13,-1.857690613121505e-14,3.517031111102693e-14,-3.601583745530455e-13,-6.79700267188406e-13,2.645522985394123e-14,6.74636537636953e-13,-7.571295642541209e-13,-3.421957302632922e-15,-1.733772558117875e-13,1.691238577276832e-13,1.55957752849701e-12,4.602325995828776e-13,1.534857856330579e-14,-1.074369826510609e-10,-6.751249785251603e-14,-2.751342008590437e-13,-2.807234233800812e-14,-1.733617347713503e-13,-4.234370005028737e-14,-2.188112091054004e-13,-2.383516692567824e-14,1.115462472235082e-13,1.11484364920144e-13,1.604148133040553e-13,2.097383427409974e-14,-1.485038008681674e-14,4.863897885708874e-13,1.700913380802782e-13,1.94353483699614e-14,8.294650468973453e-12,-1.781637757455291e-13,-6.92598884054955e-14,1.854271552697509e-14,2.821972067946183e-13,3.887769984258478e-14,-2.540035436786329e-13,-6.820350995539601e-14,-5.138288742938219e-14,-2.740210529801684e-12,4.084036050356911e-14,2.939202996926635e-14,-5.342977871029064e-14,-1.959070328895007e-13,2.488680624435367e-13,-2.241639484832424e-13,2.571934974907965e-13,1.595355961059523e-13,2.088007561644855e-13,-1.463411998558117e-13,-1.3438889023864e-13,1.992120697005365e-13,5.97414661224115e-14,1.379163722590067e-14,-3.752744648208876e-13,1.139674348397658e-12,8.689943108454354e-14,-1.327943757549159e-15,2.482488642605677e-14,2.012608055746774e-14,4.789301537254042e-13,-3.646366767160809e-14,-6.57715419878402e-14,-2.731039992540725e-14,-1.181685104683898e-13,,,,,,,,,,
frozenset({'223283.9.peg.1455'}),65.541409265331,98.46754890330679,126.5490102493807,179.1411305504745,89.97325970402154,108.8108721738853,135.5463610285227,139.6935919498072,123.9356908983301,150.9154754677839,102.328667946022,146.0393091238072,95.45196012527916,109.7401021866172,188.2057962529226,110.1607840500981,174.9468840462109,132.8958782529081,97.72812202513859,88.50097363729847,93.76261812929863,152.0723292164134,124.1901595660404,73.4572221495017,121.7011854601136,173.344188514279,90.72032150430898,151.8165932072896,83.2882858074132,120.6740755700773,92.25100613111242,133.0317590272878,162.2775414501056,83.226389559411,118.0057345299478,194.2690299172873,124.9093711890186,141.3753512600862,172.4437090413668,123.4646500144973,64.00848519617458,81.43205678222375,76.18424892270937,158.3316590388212,103.178964034191,248.7202950162847,196.3802851970352,75.92653718032828,92.75049067911388,95.09445901991216,85.92257995150223,78.95876526824843,211.1384605453026,142.3020360446329,157.9988360341466,200.4680145702916,138.8274905501739,108.6206347230562,83.48084124632156,104.4927488857181,184.0279683538327,115.1040451833945,122.3046998700308,102.0259817380056,75.70802040529983,118.0719716642402,122.3320059424346,49.75561343384906,84.96039575658433,89.85073657172148,89.92921012578526,84.08864261875681,126.8839765046036,138.1886776295907,121.2250315171414,92.41549688825525,134.0468520774529,81.80263727381805,125.9411201277048,132.4075216791248,188.1948834556794,109.5097647880846,126.6975236719191,106.4269771709695,162.7580890153726,67.37605158138203,100.8488039296493,146.0380772446941,54.09452871548497,146.7164958219886,95.39954881505624,129.2217395307706,185.8779859724519,58.90977922374847,58.64967230478034,99.0283819068067,96.07626970658045,120.1546931153841
frozenset({'223283.9.peg.1494'}),1.822065468946911e-14,3.477890667044103e-15,3.785923192022033e-13,4.815085330959889e-13,9.43546194467533e-13,3.18926998960249e-14,-6.184824791582749e-14,2.973249441530086e-14,-2.056659664675172e-13,-3.121661995035619e-14,1.202063695440662e-13,-1.725406201035635e-13,2.1401423413779e-14,0.0,1.123428150016591e-13,1.336453809129104e-13,-6.4077068466932e-13,-3.837184701630718e-13,-1.501191595153842e-13,1.012943228237421e-13,-1.490190227701168e-13,-1.22548064055783e-14,-5.172243535779216e-13,-1.857690613121505e-14,-4.775666017773117e-13,-3.755239056502293e-13,6.252102001450763e-14,2.645522985394123e-14,6.74636537636953e-13,7.303389043259335e-14,-3.421957302632922e-15,-3.00642694772978e-13,-8.197069614651931e-13,4.315936049657374e-14,-1.090635140196406e-13,9.365517813766037e-14,-1.281660283080031e-13,3.971382448789336e-13,-6.751249785251603e-14,-3.628890686144747e-13,4.117824512020889e-14,2.473158039014495e-13,1.067789515722575e-14,1.545990598287938e-12,7.293706970180013e-14,-2.383516692567824e-14,-1.669051079967282e-13,1.11484364920144e-13,-1.010828144216883e-12,-2.210833168124195e-13,4.863897885708874e-13,9.895667242358517e-14,8.294650468973453e-12,2.246354376457131e-13,-6.92598884054955e-14,1.25703728336434e-13,2.410695535934456e-13,-8.116560543647466e-14,-2.714873898471322e-14,-8.401191737139067e-14,-2.425635900987057e-13,-4.734247622418603e-14,-2.740210529801684e-12,4.084036050356911e-14,2.939202996926635e-14,-5.342977871029064e-14,7.781461009117235e-15,-2.241639484832424e-13,-8.593092521857147e-14,1.595355961059523e-13,1.085322826467848e-12,1.686774961769753e-13,4.353032265665515e-14,-3.565706328137282e-13,-5.469283592040407e-14,-7.392994311303648e-14,9.87564381107599e-15,1.139674348397658e-12,8.420753464654794e-14,-1.327943757549159e-15,3.239259245007589e-13,2.012608055746774e-14,4.205601299287904e-13,3.198079651744221e-14,-1.082906668598983e-12,6.89502704810302e-13,-2.731039992540725e-14,-1.181685104683898e-13,,,,,,,,,,
frozenset({'223283.9.peg.1497'}),1.404155255628213e-14,3.506104775595668e-15,-1.266333367810674e-14,1.673398895347935e-13,1.181763383117945e-13,-1.876412034547546e-12,1.802800595101536e-13,5.797913455631381e-13,0.0,4.902952757625412e-14,3.15541594689783e-14,4.613608182058513e-14,-1.221499599730531e-13,2.017796037265369e-13,-5.569706557327688e-13,-3.733953505378453e-14,2.224188965722184e-14,-3.732608598163135e-13,-2.806062499667696e-14,1.509593438684843e-13,7.671926296440587e-13,-1.099224989151055e-13,-2.60540739938384e-14,7.76363105659886e-14,1.915829326752258e-14,6.788637234121768e-15,9.961911965797642e-14,-4.782619070230044e-14,1.046662373668126e-13,-3.350649450303126e-15,-2.36268885984036e-14,-6.50186295974837e-14,7.492750393494491e-13,5.089102282384761e-13,6.421495008453757e-13,-2.367102565087029e-12,-1.678276356980238e-13,-5.54299859392607e-13,-9.38093519049657e-14,1.337500298293481e-13,4.97624004440135e-13,3.429974540105864e-13,2.361459852028494e-13,-8.799462000305161e-13,-2.069069033806146e-13,-1.81524285944182e-13,3.311238614587303e-13,6.410017128087032e-15,-5.384317832163929e-14,4.118389226128383e-13,-3.960498674548814e-13,-2.16424117466154e-14,1.006089784124828e-13,2.147199570071506e-13,1.001886960342087e-12,1.987801735961569e-13,-3.966280929817162e-14,-1.424968067956278e-13,3.205065461916754e-15,-1.417325625661132e-14,-3.842118950732719e-14,6.96942733141195e-14,-5.781452829624989e-14,-1.250754919514192e-13,-1.7679891935976e-13,-2.750467776530023e-14,-8.192411314658476e-13,5.746659093048012e-13,1.57981524309216e-12,7.385382251959327e-14,4.891141952412254e-15,1.556194906563406e-13,-3.983988974005648e-14,-4.116026528071297e-14,-6.499045298029888e-13,2.159364934490269e-13,-2.605815336303209e-13,-2.327385624708962e-14,-6.06088955489643e-12,1.217081297836713e-13,-4.686967412449573e-14,-4.352819251404487e-14,-7.656051150120351e-14,4.045810027738236e-14,-7.837905482662985e-14,3.968225480475297e-14,,,,,,,,,,,,
frozenset({'223283.9.peg.1522'}),3.636918372033418e-14,-4.379815628193311e-13,4.182303603928738e-14,1.521837971296725e-13,4.615741710536375e-13,-4.735565635918519e-14,-7.842755405411625e-14,3.314385220515237e-14,5.652357470738599e-13,-1.260070006929429e-14,4.809112704445431e-14,8.991435685798162e-14,-5.455195575892389e-15,-2.549170464280764e-14,-2.508121394800952e-14,-5.998788119288092e-14,5.713550518751325e-12,1.301894889485064e-11,-1.141911039710178e-13,-5.969504009133894e-13,3.774577941712821e-14,-2.222053761259684e-13,-2.620865290572879e-14,-2.364135559326561e-13,7.732398155286017e-14,-2.084483179960243e-15,2.353636364332643e-13,-3.810407625620488e-14,3.724344148903915e-13,-2.476983957662365e-13,-1.037392639762552e-14,2.544301504326595e-13,2.898009475530604e-13,-5.406942632830708e-14,6.932607587167621e-15,1.390627722784064e-13,2.191436540436362e-13,-1.109082060378075e-13,-7.208675236504795e-13,0.0,-4.335569588906044e-14,-1.645876875183296e-13,-1.958181297994774e-13,-5.795387838891528e-14,-3.350902739844655e-13,3.118275037006932e-12,1.486447400731732e-13,3.029625593772131e-11,3.286760868600733e-14,2.732796754284196e-14,5.005343224655884e-13,-5.614112463766986e-14,-2.466986852602188e-13,1.471941946522452e-12,-1.225176094974823e-14,-8.710359839960306e-14,-1.73461787111149e-14,4.488503853045107e-14,-4.442567434742863e-14,4.516908078342444e-14,-6.645011472731626e-14,-1.31780815883896e-13,4.156434753312349e-14,8.029642507092535e-14,1.568484080938672e-13,-9.713763292794055e-15,1.170744094153605e-13,-3.575527049230379e-13,2.125709991287111e-13,-4.649312885234481e-14,2.692493810081958e-13,1.679442349511208e-14,1.54054479363352e-14,-1.626338252512919e-13,-3.008659764843857e-13,-1.096747160050919e-12,1.172046195804442e-13,8.253643004054902e-14,9.740224127986472e-13,-6.920517777121748e-14,2.032698337695766e-13,1.085012118565745e-10,-7.231906628402955e-13,-1.187843622233653e-13,4.683513520218337e-13,3.102027881846714e-14,-4.564175218000982e-15,3.40116612458827e-14,5.242368290675302e-14,-4.551929536537944e-14,8.412273069495421e-14,6.893245284127509e-14,9.653239625212249e-14,,,,,
frozenset({'223283.9.peg.1560'}),0.0,-1.385669966205015e-14,8.052865963512131e-13,1.993340334052732e-13,6.672531077345633e-14,1.748238292107907e-14,-3.49081669621338e-13,-1.410604650007313e-13,6.779273616948974e-15,-2.541017580200501e-14,-1.283618751413527e-13,2.106441637881999e-14,-6.34852387581643e-14,-1.386152666762153e-13,9.107610323267302e-15,2.881908356731979e-14,1.354423155925604e-13,-3.042244381280552e-14,1.281426412130889e-15,-6.130370351491391e-14,3.140554288430486e-13,2.563953995286073e-14,1.244778559798751e-13,2.194613138595005e-13,1.572106177724572e-14,-1.808294860774955e-13,3.834721186965609e-14,-6.681131732958139e-13,5.478368120075636e-14,-5.978658648625833e-13,-1.026280218073845e-14,5.958012101238647e-13,7.721849066273989e-14,-6.358860085573155e-13,4.565246772669955e-13,-1.18315595833732e-13,1.617929723515142e-14,-1.063835964112386e-13,2.852693564608405e-14,7.96166563035052e-13,-2.282251862433857e-14,-5.320512183639173e-14,-2.776488337513316e-14,4.858661324583608e-14,-1.780322863673788e-12,2.981566910859949e-14,-9.987129207087767e-14,-5.841472765558002e-14,1.276559596810616e-13,5.711462825269839e-15,-5.384479593158937e-14,-1.450267798598744e-13,-1.960910560417608e-14,1.39769103720187e-13,1.006938567503172e-13,1.056824559248133e-13,8.888900612940184e-15,-1.031047617005632e-12,5.672571161167661e-14,-1.074819679810612e-13,-1.477499427617201e-13,7.88365382668946e-14,-3.195588542173148e-15,-3.915438650591789e-13,-4.830961983176519e-14,2.042000187830301e-13,-2.06447187965402e-14,-3.849220533115561e-13,-1.972751064037591e-13,-5.986016574110506e-14,-1.758680420262274e-14,1.748911075822087e-13,3.314674406447572e-14,5.323295251854498e-14,-6.495944740359776e-14,-5.842311449023753e-14,-1.820128255809717e-14,-3.957987949816952e-14,-8.519732547091326e-14,-1.188276466238516e-13,-3.998786896218117e-13,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1575'}),8.438974355050398e-14,7.231325416572287e-15,3.318315172688613e-13,1.433981435131105e-14,-7.797415601998042e-14,7.644956753955058e-14,-4.266497114004141e-13,0.0,1.302054893081271e-13,1.176428411143709e-13,-3.17933118854039e-13,1.787144091412874e-14,-1.605476640454916e-13,9.990677038858368e-14,4.305029827465891e-13,-3.361218304006867e-14,7.669054158452503e-15,2.020474128312766e-13,-7.231237462610152e-15,1.893878989656021e-14,1.052903377452332e-14,-1.033695374444591e-13,-3.71285357541513e-14,-1.709168957914132e-12,6.201803473901658e-13,5.568451404681649e-14,-8.417309335102084e-14,2.39489998678793e-13,3.905767499147479e-14,3.576981400445177e-14,8.855455422174578e-14,-1.817133465649102e-13,-8.78542723360658e-13,1.161137051824999e-13,5.400905392020189e-14,6.886107927284553e-14,4.065847919776465e-14,7.978654575825519e-14,-1.111861584873947e-14,-5.125011574176142e-14,-3.2676694016385e-14,-6.334866090740326e-14,-8.203994176683777e-14,-9.9006608329812e-15,-5.180308995114343e-14,4.151903698751873e-14,-8.550630448857593e-14,2.666148226480277e-13,1.198928598959879e-14,9.181388751862627e-14,-4.881683459314161e-15,-3.344497922964738e-14,-3.033359581949004e-15,5.69942492580561e-14,4.413623377323435e-14,-3.751284239412616e-14,7.711258928540194e-13,1.75659520452831e-14,-3.024371236694049e-13,-1.94555774985773e-13,1.064191854135557e-13,4.941367821713351e-13,-4.180430805556819e-13,-4.324064993344726e-14,1.819833807884352e-13,1.615613083134959e-13,6.772441921755353e-14,-5.974399616883354e-13,-5.424245594959384e-12,-4.171527666004105e-14,-2.004086095254089e-14,3.358097870920645e-14,-1.607573311684092e-13,-4.271154428588738e-14,7.004888172474949e-14,-7.436723921961989e-14,3.962905260885753e-12,-2.248395307058227e-14,-5.79197380423622e-14,7.943616379559678e-14,7.209140649759006e-14,-5.512221895506404e-13,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1577'}),2.731889840814083e-14,3.314425055276567e-14,-1.008204555367338e-13,4.135694997968073e-13,-1.560111085422217e-13,-1.310860041791967e-14,2.301200975449833e-14,3.193901490651904e-13,7.171368737670808e-14,5.248538715084022e-14,-1.299648731089212e-13,-1.864742389815159e-13,-1.777819119583235e-14,-1.574411730181779e-14,1.215939465937656e-13,1.04276309973967e-13,1.665667886370545e-13,3.708923952249135e-14,-9.377779340795463e-14,2.21147803247489e-13,-3.064962980174594e-14,1.360206201276971e-14,-1.226734142857179e-14,6.10810238246442e-14,6.903978746200304e-14,8.010784434235458e-14,1.569777932021514e-12,-4.464452501765955e-13,-1.667309719562868e-13,-1.842907669358704e-13,3.054825064893227e-14,-7.151779973038622e-14,-4.159161232437518e-14,8.225050737149706e-14,-1.235126492962165e-13,0.0,-1.831499499292015e-14,-5.721709199888084e-12,2.591938346711657e-14,1.090581684869231e-13,1.325900446051877e-14,5.06227129939099e-14,-4.13008358935231e-14,-3.053067132075348e-14,3.104389608322107e-12,-2.370957674259568e-14,7.493560845136503e-14,-6.837718574615927e-14,1.525819997513735e-14,-5.898792310100096e-14,2.820655847447805e-13,-2.142619481678036e-13,9.110582641251829e-13,-3.972881026046569e-15,-1.607445807914679e-13,-1.684814982755621e-13,-1.769445676801019e-14,9.553588950058525e-14,4.943894975044633e-14,-6.672637597344081e-14,2.087318029766854e-14,1.255621186919569e-15,2.214022411022589e-15,-4.734665123740606e-14,-2.101280388742918e-13,-4.315649580601556e-16,1.84228199244883e-13,3.601733434667102e-13,1.957339680059468e-31,-1.377734608909911e-13,-3.494849936435684e-14,6.043817702908795e-13,1.468567580785647e-14,-1.940359488406784e-12,5.464838616711336e-14,-3.811429364120878e-14,-1.968409672166226e-13,8.860518889340349e-13,1.755631440257037e-12,9.91176437678115e-14,2.394187544160304e-13,5.295570544349861e-15,4.310432899724353e-13,8.081321697959257e-15,6.51535358908549e-15,1.117792955440813e-13,4.059691092814295e-14,,,,,,,,,,,
frozenset({'223283.9.peg.1663'}),-2.464479136283273e-14,1.675048502026439e-15,-1.001715579496393e-13,0.0,7.489178064385357e-14,-2.650258608543384e-13,-7.935864448894255e-14,-7.262601037731844e-14,3.820931232653968e-13,5.449586057331109e-13,1.362955122890873e-13,-3.267144475215919e-13,1.707135384688776e-13,6.491017142887021e-14,-5.6054097500006e-14,-3.780867706382485e-13,4.37071439020027e-13,3.109326638202737e-13,6.699404136133926e-14,3.368869954250868e-14,8.063504893729613e-14,-4.392587476342831e-13,-9.638448289326412e-14,-1.292775019843698e-13,3.688577783866323e-14,-5.336101801534997e-14,3.975112165606258e-13,-6.45920043805346e-14,8.054801104269139e-14,-1.241915953458252e-14,2.797195413281633e-13,-4.142059978136891e-13,7.402030307945814e-13,7.342851372418878e-14,-1.181676396351941e-13,1.919306214993141e-13,-1.537090912325508e-14,1.646000115299578e-13,5.585322338985672e-14,2.648663704865245e-13,2.106212649915295e-14,3.749518606105109e-14,-3.220400387774415e-12,-1.889808236413223e-14,-8.922409980479154e-14,1.118274565334652e-13,6.385528972652937e-14,-4.658191616967099e-14,-1.103921430137986e-13,-4.318201910058209e-13,-2.286983823627879e-14,-1.623746908179493e-12,-6.811384644378832e-14,1.057506015025389e-13,-2.335903581607671e-14,3.23253784156812e-14,-1.723655090875558e-13,-2.389550358372429e-13,4.415781636382388e-13,-2.536653590940251e-14,7.685632756641797e-14,1.010940913416169e-13,3.28754796468386e-14,1.672305072085094e-13,-4.815652204208598e-13,8.667251667433078e-14,2.306001016632633e-15,3.063113445034023e-13,3.190792518192165e-13,2.466752364778286e-13,-8.915562356245588e-14,3.376593219156055e-13,-5.869944428137903e-13,-8.01117665387156e-14,1.285390334601905e-12,7.624989392745044e-14,1.807715278394532e-13,-3.811618908022908e-14,-1.305251070629469e-13,4.343026586221941e-14,1.204100272479e-13,6.501801799750445e-14,-1.764623431842894e-13,5.986698092880808e-14,8.003484101071084e-14,1.116161556213658e-15,-5.514099450845812e-14,1.028682139098642e-13,,,,,,,,,,
