ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
frozenset({'223283.9.peg.1'}),1.721315632392777e-13,-3.205604153066627e-13,9.560236190159523e-14,-4.970683861853837e-14,-3.921819169025493e-14,0.0,-1.947897427493244e-15,-2.786017368083728e-13,4.234384809328456e-14,1.09055290223186e-13,2.4747063527334e-13,4.357762341908588e-14,-8.99313369922243e-14,1.02938970567829e-13,-9.794963627332892e-14,8.254271188668246e-15,-6.818682444697499e-14,1.597558688171999e-13,-1.121383033864535e-13,3.491462029086685e-14,1.960396938703493e-16,5.178257477134682e-14,-1.50928927964431e-13,3.696872268779995e-13,2.703254556245314e-13,6.29019359058162e-14,1.161715264237651e-12,1.082401840507741e-13,-7.724365069638589e-15,-3.204055066156625e-13,2.128986886738641e-14,-3.376579898392244e-14,2.34608658048482e-14,4.792407662494264e-13,3.657374740982059e-14,-1.752485359109822e-13,3.171383674204249e-13,7.573006121365397e-14,6.110754081919829e-14,1.31428874555087e-13,-3.119669921569131e-14,2.337799078360923e-13,-8.751817948478247e-16,-6.964372855290087e-14,-4.703933211365807e-14,-1.362305402463499e-14,2.466285325057331e-14,-5.210820665413155e-14,-4.164417291534822e-14,2.43230308785276e-14,1.513608899553354e-13,-2.684894585464069e-14,3.489269390658139e-13,-2.186798642919746e-14,-1.778614123598671e-14,1.295227882402765e-13,-6.522093062554901e-13,3.564985366612879e-13,-2.411749127469916e-14,-4.645543592070041e-13,-2.245072558495896e-13,7.838795552677273e-14,-1.150074675291573e-12,-4.176243321882411e-14,-4.390242354859407e-13,-6.131506071847741e-13,-2.67525891392988e-14,8.94729374552156e-14,-2.762589090016067e-13,1.02347014301489e-13,-6.148676924781926e-14,-2.800952732309828e-13,3.308536057827029e-13,-7.040610381391686e-14,6.593486550721646e-15,-3.267140045059291e-13,3.666850908245271e-14,9.418698651776992e-14,-1.067870601238711e-14,2.52200568539653e-14,3.305844457962508e-13,1.034555669350757e-12,7.96373992883535e-15,-2.210463657684229e-13,-6.022805055670114e-15,6.416745447940202e-14,-1.68666510767871e-13,,,,,,,,,,,
frozenset({'223283.9.peg.1290'}),0.0,-1.196622956810079e-14,8.5436454334906e-13,3.236545158014408e-14,-6.921775951320597e-14,-6.588882213116807e-13,-5.051105312887803e-14,1.093666978394206e-12,-1.677161928693086e-13,5.34680547429712e-14,-1.117208567153541e-13,-3.166014953572905e-13,-2.798030447810693e-13,5.166215266760146e-14,1.546375271349414e-14,-3.643864002665373e-14,4.84366476356552e-14,4.440025279523006e-14,-8.172428734164663e-14,1.442596395560214e-14,1.577442426126885e-13,1.275411823603065e-13,-5.263921434472805e-14,6.841743480657884e-14,4.017484252585069e-12,9.581267729582332e-14,-1.679810690388481e-12,-1.593468178830574e-13,5.876896073527074e-14,-2.701820181436723e-13,7.325213285533104e-14,1.026310652169981e-14,-2.278546592475986e-13,3.568958377364715e-14,-7.112914346491163e-14,4.392269235291864e-13,-4.643230933594081e-14,-2.989162237203675e-14,7.474444462229659e-14,-3.515820034600605e-14,-2.380182030604551e-14,-7.020260561031456e-14,4.516665200552462e-13,-2.088127560012823e-13,-9.344858615537788e-14,-3.061783419812886e-14,-8.771262715158795e-15,1.244574679756123e-13,7.50604895373215e-14,2.998757618930895e-13,1.877305773008064e-14,2.904994554795911e-14,-1.511454103910519e-12,-1.392993284719938e-13,-2.42310968715887e-13,3.370504285452797e-15,-5.48992861068906e-14,6.654853696476756e-14,-9.824388164222672e-13,2.088815512388688e-14,6.315831671171901e-14,-6.825467268907647e-14,7.687593223528883e-12,2.460514331309175e-13,7.067618736794071e-14,-2.811533073332269e-15,-1.013695743678584e-14,-2.393633027536792e-14,-1.576092914376703e-13,1.473692902009746e-13,-3.543665183875118e-15,7.519147344861428e-13,-2.604096140087993e-13,1.115642290631543e-13,-7.426546985619857e-15,1.209612971584481e-13,4.755563355170336e-13,-4.442256278155941e-14,-6.860289364844254e-14,2.462828267981068e-13,-3.1219146839427e-14,3.590262237136861e-13,-2.126792797830093e-14,8.259789204430209e-15,7.478902707782127e-13,5.152219985829534e-14,-1.405238309188881e-14,,,,,,,,,,,
frozenset({'223283.9.peg.1455'}),173.4811443341418,77.0453248999192,126.6417427826071,77.38197497877134,147.9994336783661,165.5207320867409,58.82934147887869,142.2472936379946,64.85811037277247,102.636619841607,117.8840692780988,135.3332519163729,79.26785162312359,105.6894280403848,93.06245348700736,111.5722286196855,207.8051001088716,113.2459737674648,79.38053501880088,144.0433598355259,149.1776856062041,81.40003201067488,117.5706479222525,160.0018022790295,60.00825420936531,101.0617214630628,165.4867084741556,166.9934064520261,166.8886856509762,60.06964553905865,121.0630802021175,173.9626896033809,85.62918124394535,61.39891074526869,132.5141492983999,99.69397253443346,190.0267098011216,91.49436999995089,196.5334399980717,142.6636399577003,89.18221119350208,94.20977944077183,94.88088316967621,116.8305903029605,119.5388656617419,140.7873963298645,136.813485993898,96.79704440681698,116.617275580821,85.04815514710498,102.5282268653507,54.51907890638137,117.3918998398915,105.2145949085274,192.5524445673282,94.12730881509619,127.0102245681719,124.6348455843456,115.9329912690266,44.09555608224684,118.5962758603153,103.8641699109699,109.3317992209617,104.3485951510539,92.61102490961383,219.3341196505572,55.27044852928083,93.03351129686578,135.3329925654425,79.78621733568266,122.4469191582111,176.8117170414551,51.18176955053835,75.08030485684678,90.2286283473529,96.08029257477195,73.3017638206932,95.78115086631978,69.17713393794683,145.254605481593,130.3403745353812,132.3259167037338,180.1371827504298,107.7922581336489,110.5092706719059,119.6407062188179,113.0225904846794,94.30568007517874,85.6140153320706,190.8241198190451,109.0352703901705,157.9701984435727,137.9738978997166,96.10734244717936,133.7167062633563,215.3196076835567,134.3976526660168,80.9534118207951
frozenset({'223283.9.peg.1494'}),2.620227239032807e-13,-2.438917165476459e-14,-3.3696371643323e-15,1.362430770288008e-13,0.0,-7.617555512826798e-14,7.81175467834784e-14,-8.260835369824583e-14,-2.997373365736651e-14,3.039925336565461e-13,1.110564069538985e-14,-2.42471455925925e-14,5.696697910470281e-14,2.377508886137505e-13,6.833462080562087e-14,1.467304620551922e-13,3.154566025386208e-14,-2.359593313008617e-14,-2.942577768715866e-13,1.915157689831674e-13,-3.284395951204268e-14,2.919521870202787e-14,-1.485688091714564e-14,6.814231724606415e-14,-3.834425608364988e-14,-2.672227238523454e-14,-1.377968612466553e-13,2.760504997979502e-15,-2.058510861905456e-13,8.829158027602767e-14,-1.880423216434335e-14,4.319903664743257e-15,3.100140987350877e-13,-7.20941393801986e-14,-7.572955270815897e-14,-5.634628764637376e-14,1.764177314225667e-13,-9.195251967815427e-14,6.112711464294263e-14,-2.167272064244888e-15,-5.576370308854107e-14,3.085073081843468e-14,-2.125947689438757e-13,9.930724320830756e-15,-1.406093426389747e-13,-7.030657805885873e-14,9.835929827878402e-15,-7.88848670335171e-14,-5.742133126282233e-14,1.323308666187905e-13,-3.776557506728307e-14,6.92596326404236e-12,9.997659497096998e-15,3.108988636842269e-13,7.682737163342378e-15,1.755107170039139e-13,-3.709459972444533e-14,2.697933001848022e-13,-1.067106695593852e-13,2.689429578013565e-13,-1.045480312814946e-15,-6.931764414761285e-14,-1.284005425850107e-13,-1.805255412524558e-14,5.209563745418359e-13,1.771383238737662e-14,-4.738372599112201e-15,2.99892704759668e-13,6.643232737583959e-13,-3.561391817130828e-14,4.589435777741612e-14,-2.47992040404247e-14,4.417903461460426e-14,-1.032289868096746e-12,-4.669159965433547e-14,3.514258797746634e-13,-3.159049088148907e-13,-6.347878772108854e-14,-6.900971907452684e-15,-2.740256349336547e-13,7.274077119903178e-14,-1.199385699041403e-14,-1.939072021564412e-14,-1.366032798206598e-13,-5.305280906019808e-14,-1.245630458491499e-13,1.299014142047614e-13,2.09437342561994e-15,-6.53356728460935e-14,-5.505982988054742e-13,-1.460209255080131e-14,-9.90101110643081e-15,,,,,,
frozenset({'223283.9.peg.1497'}),7.693086205483871e-14,-1.862857412096123e-14,5.403673635400055e-14,4.587826944842221e-14,1.886937947120604e-13,-9.006751767500658e-14,7.749940998289008e-14,-6.629667051174122e-14,-3.107165489666313e-13,-2.309138860498862e-13,-1.114671454536585e-13,-4.971237789214553e-14,0.0,-2.206933326536899e-13,-2.480551093660014e-14,-9.785524478430594e-15,1.033151978228229e-12,-8.494998946894853e-14,-5.406618886056066e-13,-8.560917154942004e-13,-2.020385919633845e-14,2.429516231804462e-14,3.091242116421445e-14,-1.96378690746363e-14,4.054271207933417e-16,2.180776969189556e-16,-3.182788327945589e-13,-1.011687775887562e-14,-4.125110929979353e-15,1.928638555699235e-14,1.556451477253244e-13,-1.978235855603246e-13,-5.823676225032699e-14,2.179783334157562e-15,-9.280021397479971e-14,5.298912044648287e-14,2.189562745819434e-13,9.689723547478894e-14,3.28819451154535e-13,-1.448878823365142e-15,-2.152850321644844e-13,9.651030438244772e-17,-1.11677450605724e-13,-1.901773959546274e-13,1.36012870225261e-13,1.759387339818245e-13,6.574261878550333e-14,-7.585928497617958e-14,-4.998981203227754e-14,-8.700178665875713e-14,1.257142074728719e-13,-2.19760442008443e-15,-2.2879034255226e-13,1.246428028299115e-13,1.286860787168445e-13,-1.027820245921251e-13,8.483734808226089e-16,-2.529372645348086e-13,1.082735565760303e-13,2.196273806544643e-14,4.169816661139649e-14,1.406591042373802e-13,-1.97385319431515e-14,2.927336294305405e-13,-1.010431752515838e-13,1.061172274212965e-13,-2.182476014628343e-13,1.125273721099841e-13,1.968592944274605e-13,2.103960082842907e-14,2.481930793550577e-13,4.149034115948386e-14,5.177206233753665e-14,9.552507177428452e-15,4.987924896080058e-13,-4.664603786994978e-14,-9.34314097383324e-14,1.337572761548126e-14,6.140172798290075e-13,2.019770853742905e-13,5.876619180750328e-14,5.303127531657699e-15,1.312274257310682e-13,6.306521951590254e-14,-6.872406112370343e-13,9.348059058839941e-10,-4.599800498595851e-13,2.07793044910397e-14,-2.938440699875348e-14,,,,,,,,,
frozenset({'223283.9.peg.1522'}),2.418343676988937e-13,-3.195809248033943e-14,-1.116512879954272e-13,2.707075132990799e-13,4.105478060985327e-14,0.0,7.926957853263696e-14,-2.262759265643185e-13,-3.75888408792476e-14,-1.603222415220558e-13,9.016959522661796e-13,-5.143299847052427e-13,-1.442294860927278e-14,-2.024114608068468e-13,-2.620093421801686e-14,1.581839400326314e-13,-2.639909019548369e-14,-7.475886892430229e-14,2.281437376157104e-13,-1.716670208379673e-09,1.796655726690598e-15,4.728924845982174e-14,5.452225916365219e-14,-1.056658794994012e-13,-3.145014174785318e-13,4.783457269381892e-14,4.626537629707314e-14,-6.766148444404315e-14,-1.646194150616793e-14,1.890220121076738e-13,-1.618484275563777e-13,-4.617760325016972e-13,-3.008621795479644e-14,-3.836616865566319e-14,5.333587149441574e-13,-4.556047241512667e-13,7.13872728664044e-14,-9.256391074421891e-14,2.203250560568022e-13,3.987208854684385e-13,4.494162433092784e-14,-7.550133413858064e-14,-2.284361242313317e-13,1.181126824235201e-14,-1.513757560111909e-13,-2.876919461870873e-14,1.010801524728036e-13,1.185085157686429e-13,3.592904818443037e-14,-1.543464737425075e-14,-1.387921401708035e-14,-3.774265692388686e-14,8.794693432482991e-14,-3.056276947988771e-14,-1.106315430364514e-16,-3.094984283593195e-14,4.385360793692274e-15,-8.465695882568336e-14,1.279105553447792e-14,-1.214669718082178e-13,-6.912529079282273e-13,-3.833459566790553e-14,-2.924182420574849e-14,1.319586544928664e-12,-7.92978889280747e-14,5.384244426466005e-13,3.723011367076006e-14,-1.19041605174116e-13,-1.280979784209657e-14,1.323662543791163e-14,-8.173696155769394e-14,-2.204640310647691e-13,6.293541853831579e-14,5.091577899437487e-13,1.259921683936094e-13,1.603711970778378e-13,-9.355646016732419e-14,-4.953729566748921e-11,-1.257705788370486e-12,1.226959269261121e-13,-1.67543155265553e-14,-1.609914598889888e-15,-1.068502621936089e-14,-1.266574509270675e-13,1.350176153425546e-13,-5.420118318643472e-14,6.482724155368279e-14,,,,,,,,,,,
frozenset({'223283.9.peg.1560'}),-5.585779230504589e-14,2.172499033635769e-13,2.002243309594435e-13,-1.296299784366848e-13,7.635385350342758e-14,4.609806501882046e-14,2.885458568493814e-15,1.101185827614801e-13,-3.231072621328378e-14,-6.041712627274488e-14,1.552790470692547e-12,2.293720908677485e-13,3.959564548790606e-13,1.596435849962292e-14,1.086498765698891e-14,4.628987357312741e-14,2.280991831514473e-14,-3.993640036001829e-14,6.749735014102676e-15,1.578919634221282e-15,6.68515993216161e-14,-6.735858368215505e-13,8.330095301520932e-14,-9.622051559598904e-15,-2.531897007711971e-14,-8.682348402237919e-13,-1.741295323550601e-12,-6.517121379943165e-14,2.095631605844333e-13,6.530154745948533e-14,1.098756292752022e-12,3.45117450177504e-14,-1.153356244469696e-13,2.121373221007045e-14,-1.071202629011902e-13,2.750513719500657e-14,2.009617481615638e-14,6.441953770154927e-15,-1.516584171978154e-13,-1.411208160840839e-15,2.75505684404691e-13,0.0,6.890054547859519e-15,5.991834708852615e-13,6.946062502027002e-14,2.116090595009546e-13,-2.125499930019035e-14,-4.496289778714237e-14,2.029888027259628e-14,2.017163382205206e-14,1.773958082540367e-14,3.570945338871776e-14,1.338501234367185e-13,2.024679973802793e-14,-6.03767345910447e-14,6.327488847573096e-14,2.999229232756991e-14,-4.381993336742226e-14,5.033779282601981e-14,-5.375555609545599e-14,8.948950182644811e-14,-2.492149943237486e-14,4.465565686212956e-14,5.459151491360995e-14,-4.759938911101115e-14,2.072487202946679e-14,-1.339403957264532e-13,-9.30677305096521e-15,1.084700693708408e-12,-6.288463134466006e-14,-4.569229317941674e-13,-3.823456585590129e-14,3.646095698208205e-14,2.574802831027255e-13,-1.536272327535184e-13,4.427850073062473e-14,-1.136610196422249e-14,-1.47378452061748e-13,-1.562001857987468e-13,-6.966003547139387e-13,1.958873060250109e-14,-2.505579937952799e-14,8.817925433391842e-13,-9.018590130651013e-14,-1.632580260564341e-12,-2.754044887869085e-13,-1.162903921156412e-13,9.575575507425767e-14,-4.316307235039583e-13,4.038136210087956e-14,-3.613477356371608e-13,,,,,,,
frozenset({'223283.9.peg.1575'}),-3.943633577094312e-13,7.63090433934357e-14,-5.216241087744743e-13,-3.52374410221442e-14,0.0,1.365479075527484e-14,-1.73994862047255e-15,-3.565800239962692e-13,9.834656820013544e-14,-2.773897633699457e-13,-4.827727267551044e-14,-3.150589309192066e-14,1.080263591126642e-14,-1.101042331090993e-13,-7.226672508594346e-14,-1.11090705813177e-13,4.151894499364188e-14,-4.7271093386658e-13,-6.658241666156652e-14,4.518013308653948e-13,-8.240119435836885e-14,-4.840102580261441e-14,1.928102901797949e-13,-6.802538356553305e-14,-9.85153399481722e-14,2.203898817524951e-12,3.330911436114823e-13,1.712902417235316e-13,1.543510623416617e-16,1.223134473473452e-13,2.057257942929469e-14,2.179234636106902e-12,-8.627481941669889e-14,3.508543217918615e-13,-5.66645044110637e-14,-5.169757697972328e-14,2.47819492004939e-14,-7.506004804240302e-14,2.793146147147689e-13,5.722911773505914e-14,-1.143497388620612e-13,2.334825641255773e-14,-2.402477023643747e-13,4.787699777793822e-14,-1.710112224876661e-14,-1.221461862603279e-14,5.809533125831088e-13,8.553551480670243e-14,6.917289896098333e-14,2.207855785918614e-15,1.570604287726667e-14,2.276992119162478e-13,2.490059785204539e-14,3.350938125775972e-14,-1.200731566759117e-14,1.202901891454944e-12,5.45729499586782e-14,1.556382933548582e-14,2.263194513606556e-13,6.31017260876693e-16,-1.382184307419978e-12,1.15549942426606e-13,-1.58479320465555e-12,1.928195743339912e-14,1.796715686291814e-12,-1.494382083104986e-14,1.000756982042317e-14,-1.561317523826629e-14,-5.045992098619085e-13,-1.077799538525702e-13,-1.715559047085077e-14,4.556505258151738e-14,9.928734585917709e-15,1.225805801043674e-13,-1.87518545593068e-13,1.763758495463297e-13,2.738027662019167e-13,-8.025448294017691e-14,2.207973986870776e-13,2.355225840670293e-13,4.489545276474241e-14,1.487603085346052e-13,1.491209223162131e-13,6.205574560789128e-14,-2.280654625374211e-14,6.167910898656548e-14,7.85726901183162e-14,2.212019095900414e-13,-5.892542626554926e-14,3.200500663043683e-12,-4.022385565112009e-14,-1.003705764544724e-12,-9.794564838462176e-15,,,,,
frozenset({'223283.9.peg.1577'}),-3.833232599693162e-14,1.319782485656026e-13,4.233245414231493e-12,1.312627183556103e-13,0.0,-6.718100788831402e-15,-2.543497679869765e-13,7.375928377077542e-14,-5.160655322996113e-12,-1.867481803443358e-13,2.34546233092247e-14,-1.351191532397531e-13,3.926054930929437e-14,-9.121844520412129e-14,-4.280835478572041e-14,-8.861958966636245e-14,-6.730249855216017e-14,-3.213033947381284e-14,1.110564069538985e-13,-8.174735943648889e-14,-4.062377122942973e-14,-1.055567754310437e-13,-1.070269291404346e-13,1.725168564036855e-13,-1.526391939333173e-13,1.379793648674063e-13,-3.805054224697666e-14,-3.055951210312248e-13,7.336337884322301e-14,-1.928638555699235e-14,-9.577593603217897e-15,2.247891304713702e-13,-4.534742687106386e-14,8.038935834022716e-14,-5.900037758138886e-14,-4.773733410667319e-15,-1.22312182931669e-13,1.110095465400901e-13,4.940156629284987e-14,8.185781637664677e-14,-1.997781692949959e-15,-1.022166685308857e-14,-1.72057708720651e-13,-1.047636515920168e-13,1.014721357733716e-12,-2.087523562769003e-13,2.011245945842038e-15,-1.91708876453626e-14,1.0025162103872e-14,-3.270193341164087e-14,-5.004737868595426e-14,-2.393488850844357e-13,3.537367042646037e-14,3.44188214268224e-13,4.705515254274863e-14,7.150378879874082e-13,-7.004613805294331e-16,7.433482902929328e-14,-2.616308803206174e-13,-2.407983881655277e-15,-2.035600959127471e-13,-5.026050337236361e-14,9.636720210326574e-15,2.06367171986654e-14,-5.066580816529801e-14,-1.027573887353711e-13,-5.80041035228367e-14,1.722181370347287e-13,-1.714097258572012e-12,-9.592979922455054e-16,1.018436457243876e-13,-3.021743555582808e-14,-5.149018503443726e-14,-4.581367192005036e-14,2.843460792676115e-14,-1.493807167568632e-12,-4.124393691000549e-14,3.947442026213064e-14,-4.093875603763433e-14,2.874718003040374e-14,3.80880727981327e-15,-2.563810861639614e-13,1.120744700825074e-13,1.825679619957693e-13,1.232420910343587e-14,-3.771027269749223e-14,7.549256062382447e-13,1.219312782511078e-13,2.104359063702403e-14,6.248542024004621e-14,-1.886681502737487e-13,2.192410371802882e-13,-3.498276819047804e-13,,,,,
frozenset({'223283.9.peg.1663'}),-4.58560323996444e-13,-1.884460133189934e-14,1.985172649018984e-13,1.552003998463406e-13,1.624228007122171e-13,0.0,-4.916048600439188e-15,-4.514668403595661e-14,-1.126188761907411e-13,-3.688977566970122e-14,-1.501199616969573e-14,7.546334608172182e-14,-1.151503361454607e-13,2.385667059679905e-14,-9.332707921152321e-14,2.205403244575031e-13,9.055472965779412e-13,-1.930610340120251e-14,4.303381686939872e-14,2.720971119152974e-13,-1.330859795289194e-13,1.141543564942225e-12,1.768018620614433e-13,-6.345185442914579e-13,5.878369464835727e-14,-1.047632741859727e-13,4.482089072772508e-14,2.02617627497202e-14,1.445879679371416e-13,-4.849076555136328e-14,-1.25410955267768e-14,-1.566177497943413e-14,2.361361433088949e-14,-1.21241871651483e-14,-2.799904876781593e-13,9.81308046973594e-14,2.455352492124654e-13,3.004859976321371e-14,2.697671819909079e-15,6.445670063434442e-14,2.295894117542212e-13,-3.897783692198952e-14,4.283580217716221e-14,1.376219529559136e-13,1.682857524770193e-13,1.743425791949712e-13,-1.972666923107252e-13,-5.360447133765401e-14,2.152039533505433e-14,-9.338157022884924e-14,5.201301191960112e-14,6.82424188135033e-14,3.848899382256226e-13,-2.281880660943844e-13,7.206074399508442e-13,-3.012512778965535e-14,9.198545857176108e-15,-1.474632632119523e-13,-5.878429111997237e-14,6.392746131152847e-13,-2.072584886595571e-14,7.682367180359483e-14,-4.537580385859987e-14,-2.086401659586758e-13,2.720233500547066e-13,-5.750900218838218e-14,2.129380022370728e-14,1.283496924159401e-13,9.786806782466209e-14,-2.871801703429122e-13,-3.33933507062384e-14,5.135169538358728e-14,8.233441720857907e-14,-6.423929622299736e-14,2.507757067128825e-14,7.989720593956484e-15,-2.21130466350411e-13,-5.012325707416238e-13,-2.570503822061044e-14,-2.519329234245762e-13,-3.856038030974674e-14,-7.249571013683455e-14,1.034442246995051e-13,6.638349206839577e-14,2.02533236285993e-13,-1.114581935649172e-12,-2.494748746049615e-14,-1.213595060576347e-13,,,,,,,,,,
