ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
frozenset({'223283.9.peg.1'}),1.950152837680167e-14,-2.051046808517255e-14,4.899818774646116e-15,-8.785511429546446e-11,-3.162515359086062e-15,7.484782507656847e-14,-4.488717367274775e-14,5.343297978620603e-14,-2.356430234667323e-14,9.066790044125124e-15,2.709967258040165e-11,-2.166241436947854e-14,-1.276017747912477e-14,1.565808019614715e-16,-4.56585977356234e-14,1.38018540270861e-13,2.443124972705723e-14,-9.225985140120291e-16,-3.095412247654031e-14,-1.123045667975101e-13,2.672792680529523e-14,1.144063747530252e-15,1.089416673439031e-15,-2.221128139077971e-14,1.978996106069625e-14,1.851628208898333e-14,-5.286992656509822e-15,5.226412668405574e-14,1.89984450879259e-14,1.154894612691586e-15,-2.058444565136599e-14,9.164265587923702e-14,-1.359089040077383e-15,-4.742985669353265e-15,8.125289659078121e-15,7.328200326966882e-18,0.0,-7.466127446443384e-15,8.670600170004938e-14,-1.566548442058461e-14,1.052356743754667e-16,2.08898447944254e-13,8.706489747220926e-15,-1.383499536723106e-14,6.527575322987125e-14,-1.850322360230447e-13,4.284598814581863e-14,4.846484257273194e-15,1.350441710097307e-14,-1.662970016115082e-13,-1.607953339480089e-14,3.505995230800375e-15,-8.375035290111421e-15,2.119312973643333e-14,7.765164984239428e-15,-1.937968352273319e-13,8.152302869207989e-15,-6.389972514069224e-16,6.051117860588547e-15,8.442701612228e-16,2.36106743560774e-14,-2.181922648506898e-14,-5.348977518957585e-14,-2.051496227033275e-14,-1.013976788462115e-13,-1.109008478449643e-15,-2.431191165252472e-15,1.35203715959903e-13,-2.450701703546036e-14,2.828595632678045e-15,-3.609825980259408e-14,-6.752080463533179e-15,-1.089601973911793e-13,-3.337199609853731e-15,-8.977631587059949e-14,-4.28754760166417e-15,1.98782708959811e-14,-2.654367808574359e-14,3.091048279826517e-15,6.693310796684038e-14,-1.057141017529253e-13,5.638302722939209e-15,1.456813779753351e-14,-5.963012568410609e-15,1.426205867699189e-14,6.918544579435351e-14,-3.686100140001017e-14,1.604878280508953e-14,-2.696451770703745e-15,1.121245743126273e-13,8.648327920686679e-15,,,,,,,
frozenset({'223283.9.peg.1290'}),9.83425129359818e-14,1.350130580272489e-12,-7.56407480212079e-14,2.506715558066542e-14,-2.489746697890316e-14,-8.779165762871398e-16,-6.254676637811918e-15,1.450099841572205e-13,-1.298649202140561e-13,1.74730009294344e-13,1.381382145576565e-10,5.443733276857021e-14,-5.301064912591508e-14,1.325435856425091e-13,1.411035770187717e-14,-2.955161221403779e-15,-4.713731352515464e-15,-8.437143928507571e-15,6.043622826780162e-16,-1.079436631102094e-13,0.0,6.445007850877387e-15,5.449869711495368e-15,1.363680990794216e-13,3.753415748681612e-15,-1.47760188320143e-14,6.77511950573672e-14,1.376321697277444e-27,-5.363441612061782e-14,7.012747033318785e-16,-1.453208923424178e-11,-4.949496124822976e-13,5.630697878441224e-15,9.646552297775774e-15,3.830912357156673e-15,2.090249618153154e-14,-2.458391255380782e-14,1.665404395058191e-13,8.534755294679219e-14,-6.692973365088728e-15,9.469511064989464e-15,7.8138430266464e-14,8.283168212983562e-14,1.256619601358135e-13,1.37729804263921e-13,8.647146618525959e-14,2.142540131278992e-18,-2.132611862997417e-14,3.542188462969722e-14,3.478559374899681e-14,-2.52811449588513e-14,-1.597632379328397e-13,1.044660764042459e-14,-1.239248192283725e-14,-5.153208985122577e-14,2.739887196384663e-14,-4.516499719575257e-14,1.613538766373792e-14,-1.930395810393489e-14,-1.312028294240764e-14,-1.248365648011806e-14,-9.425674808773456e-14,-1.979161938799785e-14,-1.352325811934784e-12,-1.137450977237803e-13,1.401705698946741e-13,4.535444926366617e-16,-1.325245768377297e-14,-3.366418690297596e-14,-6.178497896461417e-12,-7.938920425007628e-15,2.920557992452688e-13,-2.421297480401428e-14,-2.409706839786412e-14,-6.313970970854871e-14,8.152274429791962e-12,5.096107979795028e-14,-3.197420277715366e-13,4.042679467692955e-14,-4.318961757618894e-14,2.119545790710532e-14,-4.781631560590973e-14,-3.417811859073424e-14,8.03523128826575e-12,4.185668582398722e-14,-1.35154024430688e-13,1.540150373940124e-14,,,,,,,,,,,
frozenset({'223283.9.peg.1455'}),49.20123911989126,15.20248431707111,53.90573873365764,25.8808942856092,21.81214176692493,52.99912871781058,17.36660453346771,57.13429493971448,17.62889903552448,44.39070145805227,50.90811439807078,42.41586494767683,19.29037308932149,7.637794684259344,42.73362954312858,8.524292267653061,66.03620314046162,14.75789231046678,13.41407094304473,42.39420253710413,50.38965298282204,14.33887184003885,14.96126585299987,61.84979658046682,15.92091302766188,30.44559141271202,33.60979401729957,49.20361900315197,43.64698837549647,4.453632973244911,8.74328069839661,38.52644625736096,28.73914331238326,4.441984513956838,18.92224384731526,14.35426864356813,48.28988695869273,7.349092901097189,35.70946039630325,57.29364679533474,13.81212726761748,36.08945451225767,19.50456220771293,28.97456439553234,38.80553406449884,47.14624154229854,56.41257389862681,41.23878928146154,34.36903954947057,9.582301511720438,21.09420744666799,4.433823755936557,44.3409896449389,21.50707955001912,55.03198279167045,15.62957507923477,30.29086646122233,8.56237085900038,8.124114095098722,17.7354273310647,41.44238233442231,23.53239776988061,40.92909204819639,35.21739478527502,15.34450472663581,56.54443740440701,14.06747189664592,40.94867108325514,55.58500015008108,4.426825835482152,33.30207318010962,50.19938060576676,14.96101278994019,8.7056515114257,33.39424607061055,30.83633577198571,4.445372097224888,12.58402129644143,5.239846537205971,26.99332193132003,7.623298539769984,41.77281343166693,45.76722347419864,11.84944690832152,52.11721757263676,42.20313912387139,42.28455003562733,9.41232901218572,28.81681849535457,43.33172495297905,32.77809672849766,42.410502592794,24.27552464219213,26.86162185523064,13.92271731764501,55.22370327548569,41.86004935586401,29.73124042788821
frozenset({'223283.9.peg.1494'}),6.927757277889022e-14,-4.211985204456393e-14,-3.013117947739542e-14,0.0,3.401708497778703e-14,-3.993852331996784e-16,-1.298649202140561e-13,1.390574263996824e-13,-9.687607454291103e-14,5.002739721492507e-15,9.23606931740505e-13,1.325435856425091e-13,8.577237018239932e-14,2.955161221403779e-15,6.649925529728229e-13,-6.336728733205323e-15,-1.114587340197583e-13,4.570063354373925e-14,-2.408436517478497e-13,8.239504042630816e-15,4.840364539838037e-16,-1.061176450425154e-13,-3.989117919934088e-16,-2.099993463573815e-14,2.175247458176462e-14,2.265036484838465e-14,-7.245043857745118e-16,7.012747033318785e-16,-1.35755596014353e-11,2.614130850581921e-14,2.60389503317003e-14,1.279704063282096e-15,-2.33308030501739e-14,-7.645554512923222e-15,1.64355646238428e-13,-4.032881439406145e-15,1.376891755115175e-12,-3.052579300338008e-14,-1.003946004763309e-14,-4.478571329790277e-14,6.080481744244483e-15,1.217659920889278e-13,-2.733728710775259e-14,3.951754960559825e-14,-5.663108220790232e-14,-1.545080970987299e-13,1.928870220013011e-14,-2.132611862997417e-14,-3.8392836874739e-15,-1.149315637666831e-13,-2.618769357267244e-14,-3.844324801303637e-15,-1.239248192283725e-14,4.195545300082414e-14,3.556288084405883e-14,6.740659997590793e-13,2.048775043821377e-14,-4.789793344700803e-15,8.632779878316459e-15,2.993978723950342e-13,-2.173491416297999e-14,1.024611008868395e-13,-1.439866266700364e-13,2.885864674302114e-13,-9.352183326800111e-16,3.48046203329187e-14,-2.693502270814952e-14,6.931700326343396e-15,-3.468936629280049e-15,2.976736899246434e-13,-3.70127865633002e-13,-2.415309165103396e-14,-2.278835501051082e-12,-3.257588302540595e-14,7.00456437018747e-15,-2.396503643955872e-12,1.6007118470921e-13,1.846819192446304e-13,2.369697996981148e-13,6.904600529494092e-14,2.182109516591578e-14,-2.546535356777826e-14,-3.700421419567839e-14,-2.466849926892131e-14,4.643308440121279e-14,2.000308809045041e-15,-1.252755418680612e-14,-1.249306775216905e-13,,,,,,,,,,
frozenset({'223283.9.peg.1497'}),1.206658897539199e-14,5.369475504005161e-13,3.971939709852838e-14,-5.542801388034228e-15,4.339916423931331e-14,0.0,8.191114034791069e-15,2.507610233182655e-14,-2.757126186688244e-14,-3.943856548331407e-14,1.188276960356352e-13,5.308744458782414e-15,-1.11280563592958e-14,5.200021993122796e-14,-9.49427538518033e-15,1.101123856677572e-14,9.008706205239261e-15,1.243709510070303e-15,-2.336214653884446e-15,-1.357223891249755e-13,1.114133801864736e-14,1.595071118140418e-15,4.442256278155942e-14,-6.27276394115682e-16,5.523787822841184e-14,-9.866678113550847e-15,3.829085633770471e-14,-6.161944896203302e-15,6.342370811803926e-16,1.516871421632073e-12,-1.886860030413898e-16,5.287882680928973e-15,-8.809218692262044e-15,1.99124947488833e-15,-4.770966913610525e-14,1.904147162637959e-15,8.390165187817681e-14,-1.749228737131918e-13,3.735866440329067e-15,5.788353560893891e-14,7.081321160985739e-15,-4.417087135960449e-14,-8.171053783838329e-14,9.176022452045153e-15,-1.014284060735021e-13,-2.000761836727218e-14,-5.121198493387691e-14,9.19537017635491e-15,-2.041295791672376e-14,8.67213367465405e-15,1.209326551622214e-13,-5.713417210651379e-15,-2.268176538258784e-14,4.403330958159267e-15,-8.779998265686059e-16,8.443360973734958e-14,5.062119740181836e-14,1.677230287669655e-14,3.28638578015696e-15,1.168966845624531e-12,4.056434903420324e-14,2.505936803230445e-15,2.951557416253042e-13,2.157534210233001e-15,1.595062167835345e-14,2.425010962406796e-14,2.701201606796799e-14,-5.326361214763017e-15,-2.37814082207155e-14,-6.133164965832484e-15,2.435823383877534e-14,2.837510701472136e-14,-4.623087808335115e-15,2.961123683700388e-14,4.998324761221835e-14,-7.022960391457843e-14,-3.596396711627856e-14,-2.038886752767988e-13,-4.378947899095411e-14,2.998706214124551e-14,-1.162322699038257e-14,2.356115904041183e-13,-2.827548396242644e-15,-2.080814206681559e-14,-1.209863657274858e-15,-1.775706913333216e-14,,,,,,,,,,,,
frozenset({'223283.9.peg.1522'}),2.294658635172909e-13,1.559925675530313e-12,-4.41704576594166e-14,2.901403960662118e-14,-2.459009084336115e-15,0.0,5.792009782427604e-13,-1.298649202140561e-13,1.665033734352332e-14,-5.950127070053023e-14,-5.301064912591508e-14,9.754302988909755e-16,-2.540882664778799e-14,2.955161221403779e-15,-7.839993204429533e-14,-8.437143928507571e-15,6.043622826780162e-16,-1.638625818897565e-14,1.055547703149641e-13,1.442693147094839e-15,8.174804567243052e-15,-3.331692208616956e-14,-1.148765070805633e-14,7.567685522964604e-15,-8.255613902937742e-15,1.491752992759058e-13,-2.007464412083999e-13,1.168791172219797e-16,-1.453208923424178e-11,-1.459865087701505e-12,-4.095053002502708e-15,-9.646552297775774e-16,3.830912357156673e-15,-4.218983025571553e-14,-1.605182457349113e-14,1.706951058935844e-14,-2.222032231914077e-14,-4.762953743619637e-14,3.192116778693252e-15,4.604887095021373e-16,-9.654133428790579e-14,-1.18308638808822e-12,-8.922243185033306e-16,6.752717896992952e-16,-1.501556851577707e-16,1.534217795522993e-13,2.242074207314689e-14,1.316646775833194e-14,3.771112928650362e-13,-1.597632379328397e-13,-1.514220301638631e-14,-1.239248192283725e-14,-1.400851023993342e-13,5.073197234349996e-15,-1.424792011266608e-14,-9.681232598242754e-15,-8.605013577759553e-14,-1.031262041118355e-14,-9.07777949899505e-15,-2.496731296023613e-14,-9.425674808773456e-14,7.413649865717484e-14,-1.508039676172088e-13,2.517269754387616e-13,-1.099865074810567e-12,4.535444926366617e-16,-1.325245768377297e-14,1.346567476119039e-14,-6.668169058418732e-12,3.939639545987278e-13,1.573838065560335e-13,3.683909676017098e-15,-2.401672732370745e-14,4.540734329858461e-14,2.193055857988877e-12,2.83040078003839e-14,-1.140064419263099e-13,5.096107979795028e-14,1.420320947246999e-13,4.042679467692955e-14,2.595141343086441e-14,1.211169023263161e-14,1.886040387061024e-14,-3.26946983746519e-14,-1.986810986148367e-14,4.185668582398722e-14,1.1649577737735e-13,-1.336651589106953e-14,,,,,,,,,,
frozenset({'223283.9.peg.1560'}),2.700519859743037e-12,-4.34776541224701e-15,-3.496664993757841e-14,-9.46515673883867e-15,3.233288031311639e-14,-1.08605930753263e-14,-3.068762250057162e-14,1.801080491673155e-14,0.0,-3.327578902619654e-14,2.06580503300476e-13,2.356785463135667e-13,-1.729144560201876e-14,1.250197454533883e-14,6.000965577682442e-15,3.569589462475831e-14,-9.783152327936125e-17,2.01902668735297e-15,-2.110071732124072e-13,1.914938410228491e-14,1.342837761741852e-14,6.444506026468454e-15,7.132529503741632e-14,2.145470813634708e-15,-4.946354219019618e-15,1.790296104183254e-14,-3.678823381089629e-14,2.25492511779633e-13,3.030111933899739e-15,-1.738690450512422e-13,-1.606607003562814e-13,-2.95453701870637e-15,3.992675724345872e-14,-1.15920520926162e-15,2.091165421978204e-14,7.0511898355361e-15,1.176756585216288e-14,3.656921207514509e-15,-1.088408214499472e-13,2.787315070807955e-14,4.903653322481019e-13,-1.960127473619253e-14,-7.699192590884956e-14,-2.318503798681707e-14,-4.332231677642839e-14,-2.596674017660867e-14,5.379116070108666e-15,2.641543452837338e-14,5.788769993835031e-15,-1.573173636469475e-14,-1.568172402870758e-13,3.955624639254442e-13,4.74932435414073e-13,-3.176131326215292e-14,-1.834428883117326e-14,-8.2410418611421e-15,1.021374158711531e-14,-7.622109105604915e-13,2.18275459369954e-11,2.164883248537561e-11,1.387269595687757e-14,-3.449591596302172e-15,1.54258906696314e-13,-2.742366684906885e-15,3.061744511130169e-15,-7.512298587813451e-16,-1.857242299320928e-13,7.605452939594206e-14,-3.834583609548574e-14,2.838739654413336e-15,-1.414180272708096e-14,3.3191092847019e-15,-1.012860908320511e-14,-5.997110822264602e-12,-7.946974039080309e-13,-5.728437407617777e-13,4.370770196872951e-14,-1.224384426618542e-12,-1.146103855495778e-14,1.058427004107795e-14,1.070376001200501e-14,-2.258432666444853e-14,9.846363652155308e-14,-2.902687766403506e-15,4.033782857818521e-15,-2.788775842103947e-13,4.503913061483192e-12,4.769633959182254e-13,-1.169803650175135e-14,,,,,,,,,
frozenset({'223283.9.peg.1575'}),-7.369340126999417e-12,-3.778251536531158e-15,-6.533821511185441e-14,3.370361337015626e-14,-3.068320327130789e-14,1.956745484114851e-12,1.201586473654183e-13,-1.311612224099136e-14,2.572421459418815e-14,1.965052840769783e-13,-6.914015747650318e-13,-7.394297936246944e-14,-2.079912028656006e-15,-8.969881466227762e-13,2.9465633356395e-15,4.622409462222012e-15,-1.709535973256716e-13,5.965188898250406e-15,6.090820504171095e-13,-4.964456139504449e-15,-1.130425519941888e-12,4.058134873981216e-13,-1.085145280418834e-14,6.767444035201629e-14,3.027679332447594e-14,2.871256306818083e-14,1.956927517173047e-14,-9.63763355735717e-14,6.1914581256219e-14,0.0,2.046052690495147e-14,-1.736683757444718e-14,-2.66610862405797e-14,-4.605697935541225e-15,-1.801075597982135e-14,1.107428562381101e-14,-8.28535319036798e-15,-1.92376438984046e-15,-3.957320415057191e-14,-2.676118894618678e-14,-4.828173608490251e-14,-2.873655923360142e-14,-9.35883669343415e-16,-1.639094316401114e-13,-2.862868161255238e-14,1.385745475085545e-14,7.30848718288776e-14,-1.23039683413942e-12,2.061967124277519e-15,3.840338092366089e-14,2.970851665295097e-12,3.217195885882759e-12,2.031188525614199e-14,4.636271919713701e-15,7.31173227494006e-13,-1.719944230581417e-14,-1.009062661835323e-14,-5.21500365038115e-14,9.264056035520952e-14,2.064422985265266e-14,1.436001360126507e-13,-3.800376706263219e-14,-1.746604273112557e-14,-8.107397924814627e-14,1.186721847367597e-16,8.881185668383784e-14,-5.867622106606897e-14,2.693134952238077e-14,2.266868561502487e-14,4.04675327186903e-13,8.422596761452183e-13,-9.442286613340667e-16,9.157406916365563e-16,8.094067623084795e-13,-1.038713236851475e-14,-1.168084966708255e-14,4.376398505236617e-14,-3.478923342532335e-15,-1.336748311254298e-14,-8.162666136476647e-15,-1.10872178732016e-14,-6.430256863499208e-14,3.296474434349996e-14,3.384942396699248e-14,-1.936491181782586e-14,1.978982705858373e-14,,,,,,,,,,,,
frozenset({'223283.9.peg.1577'}),2.111467586259127e-14,1.697608935917245e-14,-3.040587940946065e-13,-8.143418749827107e-15,0.0,-6.419050333940818e-15,-3.353579931176341e-15,7.794384842151968e-14,6.664798649539623e-15,3.000658798541388e-14,-4.761349892321734e-14,5.519158562361625e-15,-4.089942620814205e-15,1.333013646194382e-15,-3.039156989693074e-13,-2.574287957164304e-14,-1.312365241478546e-14,-6.293527093541291e-15,-7.693199280039255e-15,-8.13117739768645e-14,3.920667969544737e-15,-5.20258319234518e-14,-2.223804822380023e-14,1.000137672589455e-14,1.327982046524001e-13,5.003918824526603e-14,1.541615971949675e-15,-9.684538656733283e-14,1.999558606133681e-14,-2.309715064355695e-15,2.499956002076925e-14,-2.519081343258058e-16,5.183915799952181e-14,-1.849877664692435e-14,-7.010426297657203e-15,-5.872204104233681e-14,1.05325157032202e-16,-4.19902740121742e-14,-2.0025654905385e-15,-3.747593985252569e-15,-9.263426611187427e-14,-4.007034547407964e-14,5.948038179619851e-14,-6.43225536002919e-15,1.342924729826986e-17,-5.23679239100395e-14,-1.04521717140638e-14,-1.276247791478476e-15,-1.338384688525476e-16,-1.751144130352023e-14,-5.577919682595772e-15,1.182775990523882e-13,-5.404032687387222e-14,-2.400045010115109e-14,-2.070254127638337e-14,7.080118407713708e-15,2.105141241399744e-14,-2.261995071739038e-14,-6.057930508959941e-15,-1.451176578962147e-15,1.281484827892181e-15,1.865596363402051e-14,1.852768141550425e-14,-3.025241584855995e-13,1.616690459031063e-15,5.877779315431773e-15,2.060504549121642e-14,-5.03789291653974e-14,-6.300129349339224e-15,-7.669282967087876e-14,6.952758922502866e-15,-6.992163575181667e-11,-4.858155960194914e-15,-3.412972083136892e-14,-2.287368854549185e-15,2.207850871184048e-14,-2.799806068574889e-19,1.847627978253228e-14,1.746249491972161e-11,-1.209635956990948e-14,,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1663'}),7.762585006682992e-14,-1.314673988818146e-15,8.813988922701071e-15,-3.548464405126106e-15,1.122093277075732e-14,0.0,-1.38651148210831e-14,-1.311628675939142e-13,8.04670098573663e-15,6.559891432893384e-14,-1.957521270536649e-13,-3.438095253335749e-14,5.266683164482933e-15,2.522522512991552e-16,1.313323238483793e-14,-1.076750070722301e-14,-1.086050247503059e-15,-3.00591573846212e-15,3.693740724252161e-14,1.382766923200613e-14,-2.324477106771209e-14,-3.987677795351045e-16,-1.110564069538985e-14,-1.780944328519675e-15,1.633142169202075e-14,7.107793518288177e-15,-1.674928386880104e-15,1.140822502969157e-13,-4.613542320332306e-15,4.445074859840982e-15,-8.02065293117767e-15,1.43987833834957e-15,1.084134834833924e-13,-2.524433620140787e-13,-4.265239017718178e-13,8.952925489987696e-15,1.063374154215307e-13,-2.364591045908864e-14,2.724366275965534e-12,-1.357144003775038e-13,-5.770675076793438e-15,1.872061326202365e-14,2.169573335221017e-14,-9.400460981641046e-15,1.197535541465511e-13,2.416542198228824e-15,-1.289385882683822e-14,-6.577183164377321e-15,-8.054440838211091e-17,-3.384568181241634e-14,-5.26917127766987e-14,1.810632730296053e-14,-1.029322639202668e-14,-4.282228643391392e-16,1.705646577473998e-14,-1.344258545757886e-13,-6.48237413233478e-14,2.004681501822275e-14,-8.773627163839242e-14,3.097951844168024e-14,1.937374345472836e-15,-1.118424613884015e-16,2.13446097958433e-14,-3.37604023176659e-14,8.400583286909656e-15,2.754680373954246e-15,1.416952640230616e-15,-4.439635184763592e-14,-4.403848486100381e-15,2.037812806838139e-14,-6.757534256451581e-15,2.233563321125776e-17,1.564194990517606e-14,1.385608178601389e-14,-2.366097572676389e-14,1.789646210285996e-13,-4.372646178853922e-15,-4.340209351048329e-14,-6.336850695583053e-16,-2.785246547001802e-14,4.348803754936722e-14,-3.037418902633806e-14,-8.223161996655014e-16,,,,,,,,,,,,,,,
