,Pathway,Gene,supergroup
0,2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,27,Fatty Acid Metabolism
1,ABC transporters - Pseudomonas syringae pv. tomato DC3000,20,Transport
2,Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,8,Antibiotic Metabolism
3,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",31,
4,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,17,Nucleotide Metabolism
5,Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,12,Amino Acid Metabolism
6,Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,28,Amino Acid Metabolism
7,Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,8,Metabolism of Aromatic Compounds
8,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,113,Amino Acid Metabolism
9,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,221,Antibiotic Metabolism
10,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,291,Metabolism of Secondary Metabolites
11,Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,8,Cofactor Metabolism
12,Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,12,Cofactor Metabolism
13,Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,17,Metabolism of Secondary Metabolites
14,C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,8,Carbohydrate Metabolism
15,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,10,Carbon Metabolism
16,Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,4,Antibiotic Metabolism
17,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,48,Amino Acid Metabolism
18,Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,8,Metabolism of Aromatic Compounds
19,Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,16,Fatty Acid Metabolism
20,Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,16,Fatty Acid Metabolism
21,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,24,Cofactor Metabolism
22,Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,4,Carbohydrate Metabolism
23,Geraniol degradation - Pseudomonas syringae pv. tomato DC3000,5,Metabolism of Secondary Metabolites
24,Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,16,Amino Acid Metabolism
25,Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,4,Glycerolipid Metabolism
26,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,20,Glycerolipid Metabolism
27,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",18,Amino Acid Metabolism
28,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,68,Virulence
29,Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,10,Amino Acid Metabolism
30,Lysine degradation - Pseudomonas syringae pv. tomato DC3000,4,Amino Acid Metabolism
31,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,659,
32,Methane metabolism - Pseudomonas syringae pv. tomato DC3000,5,Carbon Metabolism
33,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,60,Metabolism in Diverse Environments
34,Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,24,Cofactor Metabolism
35,Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,5,Antibiotic Metabolism
36,One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,18,Cofactor Metabolism
37,Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,40,Fatty Acid Metabolism
38,Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,5,Carbohydrate Metabolism
39,Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,5,Amino Acid Metabolism
40,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",49,Amino Acid Metabolism
41,Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,16,Carbohydrate Metabolism
42,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,96,Metabolism of Aromatic Compounds
43,Purine metabolism - Pseudomonas syringae pv. tomato DC3000,55,Nucleotide Metabolism
44,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,48,Nucleotide Metabolism
45,Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,4,Core Metabolism
46,Quorum sensing - Pseudomonas syringae pv. tomato DC3000,4,Interaction with the Environment
47,RNA degradation - Pseudomonas syringae pv. tomato DC3000,4,Nucleic Acid Maintenance
48,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,16,Cofactor Metabolism
49,Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,5,Metabolism of Secondary Metabolites
50,Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,16,Antibiotic Metabolism
51,Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,20,Sulfur Metabolism
52,Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000,5,Fatty Acid Metabolism
53,Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,36,Metabolism of Secondary Metabolites
54,Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,20,Cofactor Metabolism
55,Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,9,Amino Acid Metabolism
56,Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,16,Cofactor Metabolism
57,"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",12,Amino Acid Metabolism
58,"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",28,Amino Acid Metabolism
59,Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,19,Cofactor Metabolism
60,beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,4,Amino Acid Metabolism
