ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
frozenset({'223283.9.peg.1570'}),-2.099368617466817e-13,3.402560472078068e-14,2.293507923093927e-13,1.415531211249007e-13,1.474559773225746e-13,5.535053270892776e-15,-3.875005169750376e-15,-8.761684762833649e-14,8.462497932846139e-14,8.261267283689066e-14,-1.007122005228772e-13,2.116272559106476e-13,7.485645948868537e-14,-1.378221619042412e-14,-4.447222750587081e-13,7.236154643462835e-14,-2.369419150125958e-14,-3.431374398321109e-13,-9.266641861982505e-15,6.499598131052578e-13,3.043953474910345e-14,0.0,2.412356336075475e-13,1.399542548257354e-13,4.789912770522823e-14,6.305011653741254e-14,-3.104271954868443e-13,2.346208689225835e-13,-1.341648110119353e-12,2.885791505012599e-13,-1.26316947463032e-13,1.478775173252498e-14,6.966979481917757e-14,-2.43147770664506e-14,-6.060452723815166e-14,-7.88007556029461e-14,2.903625812243856e-15,6.033477619893381e-14,-1.32432168742837e-13,-1.864519824054042e-14,-3.065523524401788e-14,-9.911220183617325e-13,-1.056917564406621e-14,1.386249617634145e-13,1.473636504818684e-14,1.146132547513959e-13,1.033045231272617e-12,1.121280989542118e-13,-3.57398556659018e-14,1.17250748915551e-14,-2.830767206382642e-14,-1.239842022052409e-13,2.76614715458443e-14,-2.608862493272624e-13,1.348093255866426e-14,6.536384182210261e-13,2.013596589911374e-14,-2.264535188265667e-13,9.054595212953176e-14,1.211342107514126e-13,9.454580289236107e-15,3.329601179494285e-14,1.338466327477011e-12,1.631787244369212e-13,-1.643516542101642e-13,2.828905155575595e-15,-6.786131745839339e-14,-2.933224444899305e-14,6.28558121117616e-15,3.015808808795882e-14,3.245814248550845e-14,-1.670895909866784e-14,4.457839547091978e-14,-3.355567667827379e-13,3.58539245936887e-13,5.090225387070369e-13,-5.038319254690472e-14,-1.079726633282021e-13,-1.790069254560053e-12,2.473973383392304e-13,-5.673650109584284e-14,-2.085133532882638e-14,5.779153988312632e-15,9.301965359294208e-14,1.0071544350782e-14,-2.294203164244567e-12,-8.465150483983001e-14,-5.503793282692207e-13,-2.949811603417847e-13,-1.716169424690074e-13,4.684381966271783e-14,2.422199050784213e-13,9.276523271021012e-15,-4.212431876360131e-14,1.285883185683109e-14,-4.22774586286805e-13,-9.35012287202158e-14,-3.826372657451578e-14,
frozenset({'223283.9.peg.3813'}),-3.38355238160112e-14,7.787801784078039e-13,2.222901890798007e-13,5.142120690029912e-14,5.706049720181369e-15,5.359566831189443e-14,-5.431556338678845e-14,-1.201630133942318e-15,2.855296733898876e-14,5.022790853428468e-13,1.182388741817108e-13,-4.261096655556101e-14,4.080141102239454e-14,0.0,1.780611875106335e-13,-3.483358734119848e-15,-1.661587755052511e-13,-7.590652835342874e-14,1.516931190315614e-14,-2.106720769938266e-14,4.253860785192983e-14,1.625789095781398e-13,-1.624064801519479e-13,-2.837092425053644e-13,-2.281806760059292e-13,6.590615199776151e-13,3.227885433902253e-15,8.928110345222483e-13,-1.785838623327409e-13,-2.516521368158115e-13,-5.334592066589391e-14,-4.681776019745253e-14,-1.561101196625227e-14,5.55565551723366e-14,2.114307180676187e-12,1.352075667667719e-13,-3.697061290192023e-13,1.177384470645307e-14,3.564644681326001e-14,-1.109154112163114e-14,1.451049042425802e-14,1.094434019713591e-13,-5.627580369271779e-14,3.658932153905077e-14,3.076408804222461e-14,-9.593952921130513e-15,-5.285133906317178e-14,-9.904653700418591e-14,1.035285307359531e-13,-1.014939269770244e-14,5.336652533762209e-13,1.261453635766904e-11,-6.993812651759113e-14,1.597267035934442e-13,4.893132434665237e-14,8.965076490311399e-14,2.975418444240797e-13,-2.725974687054129e-14,-9.40214833059951e-14,2.076564669241871e-14,7.497571011851692e-15,-2.127545980558873e-13,1.425183250737119e-13,-1.42697393809519e-13,-5.019006763188461e-14,-3.412216092850968e-14,1.021186414797408e-13,-5.526967566501063e-13,1.308426266524636e-14,-1.024253534310335e-14,-3.328879877782208e-14,1.315735383999681e-13,-4.587153249530318e-14,-4.860102388542841e-14,-4.938639806560746e-14,8.522238494923173e-14,-1.621337032848113e-13,1.680792200602973e-13,8.200931875711394e-13,-6.359675556024417e-13,-2.315665082841326e-13,-2.50649087403892e-14,2.381205323368797e-12,-5.905702935524672e-14,3.971596998095735e-15,-1.565336046373434e-13,-4.460662320754907e-13,-8.758029968794474e-15,1.380816733914157e-14,-6.106401836862275e-13,-6.691070200526712e-15,2.024636737144039e-12,8.418412939853377e-14,-2.560844319699537e-14,,,,,
frozenset({'223283.9.peg.3927'}),-9.669030413500124e-14,3.982051951797572e-13,6.456893768737744e-14,4.602012240128095e-13,2.664116247587241e-12,6.62368840221891e-14,4.697460655197319e-14,-2.630226424746924e-13,6.000713085060459e-13,-4.802877456081739e-14,-2.250219387700454e-13,-3.051527866567589e-14,2.04503628281516e-13,-1.310851533969731e-15,5.307315891897824e-14,2.208649608287204e-12,-2.961434824463921e-12,-8.806210104114106e-14,-8.40730446495338e-14,0.0,-3.190363114287183e-14,6.823939366822959e-14,7.66063319909468e-14,-2.91493048656782e-14,-2.860727469602288e-14,3.064480927157261e-14,-5.456464815281061e-14,1.977471906945838e-13,-2.342776664106322e-14,2.33229393314664e-12,-8.675652048041704e-14,-1.24393676088568e-12,-5.443843607598822e-13,2.152964827574446e-12,5.941268238607208e-14,1.367609165033796e-14,-1.568546934277578e-14,-1.881107861801823e-13,2.83084820342177e-15,-1.461948977336722e-13,2.554963185652211e-13,-4.597831931216908e-14,7.649098034148313e-14,-4.866750738215336e-11,4.468743933980559e-14,-5.629910151371476e-15,-1.084683706137262e-14,9.982688928121394e-14,1.989364411850995e-13,-4.611793488479081e-14,-6.305525786052234e-14,7.540827528369835e-13,1.274939168389644e-13,4.786823929957094e-14,1.796886042284491e-13,2.670693931297887e-13,-2.418036366463905e-13,-2.132898097971885e-13,4.416003729032613e-14,1.277518678182001e-13,2.076004819429163e-12,4.153960094022908e-14,1.036218377065424e-13,-3.214016104410389e-14,2.077478618977092e-13,6.965353775699038e-14,7.422875478670994e-14,-2.49358048153762e-13,-1.401712504809406e-13,3.164843412341436e-13,1.321333607687632e-13,6.509410559907776e-14,1.831287795568601e-14,1.733951647245809e-15,-7.8532421935449e-13,1.193232087644439e-13,3.461387066983355e-14,2.592194842120297e-13,2.682210313425154e-14,7.816282086151519e-14,3.544091678451672e-14,-2.0513884897122e-14,1.543005347043165e-12,-2.213004569543261e-13,1.569023470151364e-14,-1.018252578242723e-12,1.222633747481052e-14,-1.2727920915248e-13,-1.246007041506632e-13,3.843706688983105e-14,-1.41834637958113e-13,2.676445962062352e-13,3.638198183134804e-13,-5.676157362354176e-15,,,,,
frozenset({'223283.9.peg.3930'}),124.2506689461252,124.2506689461306,126.8609765274648,130.1226296632096,124.2506689461259,130.8277860528086,130.0552557668322,130.0374164667957,130.8277860528103,123.7880448055607,130.0552557668345,130.0552557668285,130.8277860528065,130.0552557668321,130.8277860528057,123.7880448055658,124.2506689461261,124.2937074180417,130.0374164667921,130.0552557668294,124.2506689461272,124.250668946128,126.8609765274631,126.8609765274624,130.8277860528082,124.2506689461283,130.1226296632155,129.9108732864684,124.293707418044,129.9108732864657,130.7625892063275,130.0552557668343,130.7625892063305,130.7625892063313,130.0552557668303,130.0374164667908,130.0552557668333,124.2937074180434,130.6974573079754,130.7625892063256,130.8277860528113,124.2506689461281,130.7625892063276,123.788044805561,130.8277860528097,125.090486415105,130.0552557668286,130.0552557668302,130.8277860528029,124.2506689461276,130.0552557668257,124.2506689461262,124.2506689461297,123.8307633276223,130.7625892063297,130.0552557668287,130.4834363074246,130.0552557670909,130.0552557668316,124.2506689461298,130.0552557668293,130.7625892063255,130.7625892063271,124.2506689461263,130.7625892063299,126.8609765274669,124.0662432243928,130.7625892063225,126.86097652746,130.6228636133497,130.0374164667941,130.7625892063333,130.8277860528059,130.0552557668314,130.8277860528104,130.7625892063304,123.788044805566,129.3423423434292,130.055255766829,130.0552557668239,130.7625892063293,130.0552557668299,130.8277860528084,130.0552557668313,130.0552557668304,130.0552557668265,123.7880448055638,130.762589206324,130.0552557668277,130.6228636133422,,,,,,,,,
frozenset({'223283.9.peg.5202'}),124.2506689461368,124.2506689461243,126.8609765274623,130.1226296632146,124.2506689461281,130.8277860528089,130.05525576683,130.0374164667948,130.8277860527882,123.7880448055611,130.0552557668289,130.0552557668352,130.8277860527847,130.0552557668291,130.8277860528093,123.788044805562,124.2506689461251,124.2937074180438,130.0374164667921,130.0552557668341,124.2506689461244,124.2506689461137,126.8609765274617,126.8609765274633,130.8277860528055,124.2506689461297,130.1226296632188,129.9108732864649,124.2937074180428,130.0552557668321,129.9108732864678,130.7625892063263,130.7625892063372,130.7625892063289,130.055255766828,130.0374164667908,130.0552557668303,124.2937074180421,130.6974573080029,130.7625892063279,130.8277860528057,124.2506689461229,124.2506689461275,130.7625892063307,123.7880448055642,130.8277860528059,125.0904864151045,130.0552557668323,130.82778605281,130.0552557668361,130.8277860528086,124.2506689461228,130.0552557668334,124.2506689461276,124.2506689461258,123.8307633276375,130.7625892063292,130.0552557668311,130.4834363075436,130.8277860528092,130.0552557668316,130.0552557668242,124.2506689461278,130.7625892063328,130.0552557668263,130.0552557668308,130.7625892063257,130.76258920633,124.250668946126,130.762589206321,126.8609765274581,124.0662432243995,130.7625892063293,130.6228636133445,130.0374164667935,130.8277860528048,130.0552557668297,130.8277860521348,130.7625892063327,123.7880448055645,129.3423423434283,130.0552557668282,130.0552557668319,130.0552557668298,130.0552557668317,124.2506689461296,130.0552557668354,130.0552557668279,123.7880448055651,130.7625892063232,130.0552557668305,130.6228636133475,,,,,,,
frozenset({'PSPTOA0036'}),124.2506689461285,124.2506689461278,126.8609765274656,130.1226296632196,124.2506689461271,130.827786052802,130.0552557668312,130.0374164667935,130.8277860528105,123.7880448055626,130.0552557668302,130.0552557668264,130.8277860528069,130.0552557668307,130.8277860528102,123.7880448055633,124.2506689461262,124.2937074180434,130.0374164667911,130.0552557668288,124.2506689461269,124.2506689461241,126.8609765274627,126.8609765274628,130.8277860528096,124.2506689461295,130.1226296632097,129.9108732864603,124.2937074180445,130.0552557668306,129.910873286468,130.7625892063288,130.055255766831,130.7625892063307,130.7625892063236,130.0552557668272,130.0374164667986,130.0552557668294,124.2937074180421,130.6974573080039,130.7625892063319,130.8277860528078,124.250668946126,123.7880448055596,130.8277860528046,125.090486415105,130.0552557668263,130.8277860528118,130.0552557668251,130.8277860528042,124.2506689461353,124.250668946127,124.2506689461264,123.8307633276189,130.7625892063304,130.0552557668296,130.4834363075397,130.0552557668321,124.2506689461282,130.762589206327,130.0552557668298,130.0552557668265,130.7625892063291,130.762589206326,124.2506689461288,130.7625892063317,126.8609765274673,124.0662432243932,130.7625892063282,126.8609765274614,130.6228636133462,130.0374164667887,130.76258920633,130.8277860528054,130.0552557668238,130.8277860528084,124.2506689461217,123.7880448055637,129.3423423434258,130.0552557668285,130.0552557668324,130.0552557668275,130.0552557668297,130.0552557668261,124.2506689463088,130.0552557668356,130.0552557668304,123.7880448055654,130.7625892063316,130.055255766825,130.6228636133487,,,,,,,,
frozenset({'PSPTO_0062'}),124.2506689461243,124.2506689461266,126.8609765274653,130.1226296632171,124.250668946132,130.8277860528116,130.0552557668261,130.0374164667919,130.8277860528079,123.7880448055608,130.0552557668297,130.0552557668299,130.8277860528054,130.0552557668279,130.827786052811,123.7880448055651,124.2506689461264,124.2937074180437,130.0374164667873,130.0552557668276,124.2506689461239,124.2506689461256,126.8609765274649,126.8609765274623,130.8277860528051,124.2506689461293,130.1226296632139,129.9108732864578,124.2937074180459,130.0552557668312,129.9108732864725,130.7625892063263,130.055255766828,130.7625892063294,130.762589206327,130.055255766825,130.0374164667885,130.0552557668366,124.2937074180424,130.6974573080053,130.7625892063284,130.8277860528097,124.2506689461248,124.2506689461275,130.7625892063305,123.7880448055636,130.8277860528005,125.0904864151041,130.8277860528068,130.0552557668287,130.8277860528078,124.250668946129,130.055255766831,124.2506689461304,124.2506689461289,123.8307633276198,130.7625892063269,130.0552557668256,130.4834363075454,130.8277860528057,130.0552557668307,130.0552557668332,130.7625892063276,130.0552557668285,130.7625892063297,130.7625892063267,124.2506689461272,130.7625892063255,126.8609765274604,124.0662432243924,130.7625892063285,126.8609765274625,130.6228636133449,130.037416466793,130.7625892063287,130.8277860528069,130.0552557668263,130.827786052806,124.2506689461258,130.7625892063302,123.7880448055672,129.3423423434259,130.0552557668359,130.0552557668314,130.0552557668259,130.7625892063234,130.0552557668284,130.8277860528048,130.0552557668298,130.055255766824,123.7880448055661,130.7625892063296,130.0552557668249,130.6228636133491,,,,,
frozenset({'PSPTO_0073'}),124.2506689461258,124.2506689461257,126.8609765274643,130.1226296632143,124.250668946125,130.8277860528028,130.0552557668273,130.037416466793,130.8277860528061,123.788044805535,130.0552557668296,130.0552557668302,130.827786052804,130.0552557668316,130.8277860528081,123.7880448055623,124.2506689461308,124.293707418042,130.0374164667857,130.0552557668293,124.2506689461221,126.8609765274648,126.8609765274641,130.8277860528135,124.2506689461267,130.1226296632063,129.9108732864638,124.2937074180428,130.0552557668306,129.9108732864677,130.7625892063283,130.0552557668283,130.7625892063266,130.7625892063334,130.0552557668272,130.0374164667874,130.0552557668331,124.2937074180434,130.697457308001,130.7625892063291,130.8277860528054,124.2506689461216,124.2506689461288,130.7625892063295,123.7880448055617,130.8277860528073,125.0904864151119,130.0552557668348,130.0552557668286,130.8277860528034,124.2506689461281,130.0552557668258,124.2506689461283,124.2506689461276,123.8307633276234,130.7625892063286,130.0552557668304,130.483436307554,130.827786052806,130.0552557668335,130.0552557668344,124.2506689461263,130.7625892063307,130.0552557668311,130.0552557668277,130.7625892063257,130.7625892063251,130.762589206328,126.8609765274639,124.0662432243882,130.7625892063311,126.8609765274603,130.6228636133442,130.0374164667911,130.7625892063271,130.8277860528057,130.0552557668246,130.8277860528085,124.2506689461251,130.7625892063246,123.7880448055609,129.3423423434277,130.0552557668289,130.0552557668275,130.7625892063325,130.0552557668309,130.8277860528049,130.0552557668245,124.2506689461259,130.0552557668249,130.0552557668345,123.7880448055619,130.7625892063341,130.6228636133496,,,,,
frozenset({'PSPTO_0075'}),-2.13852792182107e-11,-9.980351265073129e-12,-2.602128679093764e-11,-5.22087949334146e-12,-2.349751274770688e-11,9.596939629300733e-13,-1.282681132603407e-11,-6.156626650437486e-11,-1.508582777141696e-11,9.634843600016945e-11,1.910799301193664e-10,4.799169259647329e-12,-8.48880830027148e-12,4.961191939721218e-12,-5.148103438288346e-11,-2.674338881639796e-11,-1.025759214349702e-10,-1.935736290992752e-11,-2.290814290697188e-12,1.512629631355905e-11,-6.891882439538816e-12,7.088083824997966e-13,-3.806627200440465e-12,-9.033823089160866e-12,-2.409756920135056e-11,-1.954914315808802e-11,1.379664622815024e-11,-2.214964195194515e-11,8.34398077136964e-11,-7.1218469387488e-11,-2.777763617433295e-11,-2.261013501503247e-11,-1.181617984622233e-11,1.235286592645422e-11,-1.86320061896031e-11,-1.397012601978598e-11,-8.836751735256158e-12,-3.058856403638715e-13,-1.624179082955989e-11,2.285033948244064e-10,4.69269816487198e-11,3.284090290692123e-11,-2.21275305309652e-10,-3.676899915151731e-11,1.0033873212914e-12,-4.985463392520435e-11,1.537043573995995e-11,2.373066337883129e-11,2.774620679918401e-11,-1.781989116240583e-11,-2.457176852622675e-11,3.635885952902197e-12,-1.146971804905206e-11,-1.237025641674325e-11,-7.017804209790345e-12,-8.888221137979568e-12,-6.669414716510251e-12,-4.58074446605213e-11,-1.360591937279465e-11,-1.101074018196299e-11,-3.998199987766626e-11,-2.833744482187005e-12,-2.926354066391094e-11,-3.074999905085124e-11,5.741409621670059e-12,-1.235464262760687e-10,2.364446493094401e-11,-4.51657859658293e-11,3.392397823212043e-11,-2.044273856985784e-11,7.250791230837464e-12,7.718473200833192e-12,-3.124080938844731e-11,9.970687052279583e-13,1.047536406703362e-09,8.695287261175683e-11,-4.858180627723226e-11,-4.861215905014276e-11,2.15695064236023e-12,5.740136982131489e-13,-2.393135219484292e-11,1.731209477883448e-11,-2.525907868969555e-11,-2.543435359915117e-10,-4.779404471978912e-12,-1.173476866011409e-11,-9.506681139940395e-12,-4.404934229655945e-12,-1.257206452228375e-10,-3.894548016332678e-11,-1.260580235599709e-10,-5.496156059601793e-12,-6.526830402062084e-11,5.594255420205884e-12,4.553069215222256e-11,1.517571741328846e-11,4.543404220882523e-11,-1.915037560680531e-11,3.612798419158969e-11
frozenset({'PSPTO_0080'}),4.595160203363762e-13,1.411170419383877e-14,1.252771646468117e-13,7.889726266399219e-12,-9.724494561613999e-15,-8.936436111902682e-15,5.682938531390656e-12,-3.576002346018763e-14,-1.161110878437272e-13,3.527273460765496e-14,7.744208906244828e-12,3.176067292144983e-14,-7.93179614073525e-12,-1.495232621236396e-13,-7.881575595360095e-12,0.0,5.942697868577761e-13,9.891042575863661e-14,4.169910279639741e-13,1.803315278329616e-11,-1.790093372256821e-14,2.86315351544551e-14,3.192194657691271e-13,-6.866281786214717e-14,-2.622926035150599e-11,6.588704860739273e-12,8.227122233361467e-12,2.717694560382499e-12,-1.147564870097325e-11,-6.833445878380408e-14,2.524130298234684e-14,-2.494618547373497e-14,-2.431943039937024e-13,-1.279955668481272e-14,-8.078283640763214e-15,4.167143526947879e-12,-3.542405540187973e-12,-9.319303362942168e-12,8.15809242217291e-12,9.172078967657239e-14,-9.614941212956855e-14,1.162686003906802e-14,-6.919114985324774e-13,-1.869881145753221e-13,7.564577757310387e-11,-2.391667902124778e-14,6.477691288686949e-14,1.331683505259686e-11,9.79711450522609e-13,1.123200546424373e-12,-1.03931949462562e-14,1.790772095366202e-13,-1.423721931013308e-14,-1.473046637725468e-12,1.876115802135328e-13,7.108273284912892e-12,2.710984654508184e-14,4.088785988148801e-14,-2.418426301695499e-10,6.866664541759854e-12,3.362787862833539e-13,-4.027696878166052e-13,5.046946687906647e-12,4.118110672112599e-12,8.703419323865637e-14,4.393404768833134e-14,2.753854381580457e-15,6.902639116606199e-12,3.311686775484501e-15,5.987454265604244e-14,1.152396600138545e-11,1.130730772411776e-13,2.174199749080702e-14,-3.952294173316869e-12,7.148435787030676e-14,6.953683921116737e-12,-3.745381874954889e-14,1.216897286097519e-14,-7.99502290365278e-12,-6.385039333026882e-10,6.76716945545101e-14,-1.618322886177433e-09,4.238332836829595e-12,-1.19162563138598e-13,3.864365376819487e-13,-1.491549589822534e-11,-6.625567203273264e-10,4.472209258080273e-13,1.20806966421876e-13,1.167207852412165e-13,2.596169404104023e-14,9.742745615338927e-12,3.366388968347987e-14,1.798779743045166e-14,6.863156968874317e-12,1.776438230474918e-13,,,
