ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
frozenset({'223283.9.peg.1570'}),6.650617997668624e-14,-2.10545395186005e-13,0.0,-5.143383671867709e-14,1.858622475850286e-13,-1.242050336954013e-13,-6.422426096946157e-14,1.490779855542143e-13,9.019898169914932e-13,-1.478254245816795e-14,-2.752447151326567e-13,-3.022620508328738e-13,-2.97715821470211e-13,-5.094303430157981e-13,-9.63617402656228e-14,-5.896073691934936e-15,-2.395656328372137e-13,7.92352693600516e-14,3.636203661235159e-14,1.419821956443419e-13,-1.796093723699468e-13,1.617887667636057e-12,1.341913168949066e-13,-2.378054951986132e-13,1.12278776181283e-14,3.093180386982459e-14,-9.188463610860962e-15,8.50415304849755e-12,-1.162102413754237e-12,-2.849334854696788e-14,-1.115020733407465e-13,7.991017122401315e-13,2.475506858265395e-13,-2.207965570441135e-14,1.606244692034406e-13,-3.268752588986725e-14,3.757784961821608e-13,1.922393451846754e-13,-1.188135426025683e-13,9.709616009646685e-14,-3.513892079383161e-13,1.916631506740014e-13,2.890078067522144e-14,-2.252719361117316e-13,-9.7323282335767e-15,-2.752905904713018e-13,5.44685893015523e-14,1.424803880237272e-14,-4.81611458567137e-15,-3.451314258225021e-15,-4.496384794549384e-14,-1.37421760679357e-13,9.748910542893989e-14,-2.441390828985839e-13,6.939871417257828e-14,-7.971180486618739e-14,1.80782720744045e-13,-1.895199109541677e-12,-4.74320438900322e-14,-1.97160116457901e-14,-5.588438151604993e-14,4.99664676532294e-14,-4.685519433272329e-13,1.06077417390525e-13,-4.268367307740539e-15,5.844707319729852e-13,5.381223760247817e-14,-1.394741375360646e-13,-1.998027052876586e-13,1.093220932616897e-12,-3.073752168247195e-14,8.20007437305383e-14,-5.45122425325612e-14,-5.460818868410892e-14,5.952713900549699e-14,8.9191928471508e-15,6.170586375554722e-14,-4.159185647083086e-13,-3.03465041817467e-14,5.498671675446637e-13,3.877785253790804e-14,-3.164368931161639e-14,-3.05805333253871e-13,1.068640416614624e-14,-2.514635663337223e-13,-4.62119758442664e-14,7.060172483878266e-13,1.686420800671984e-13,-2.39091339841431e-13,-1.027504636530974e-12,-1.829549638655751e-13,-2.576669890000599e-14,-5.166846170441814e-13,-4.081542482843585e-11,,,,,
frozenset({'223283.9.peg.3813'}),1.067812577824825e-13,2.81572636320755e-14,-5.33598154816589e-14,-1.637232781686082e-12,1.408390225609078e-13,-2.185414678904098e-13,4.762390013590307e-13,-1.277696850858038e-15,-7.233354760607025e-14,2.222776431558014e-14,-2.372365245371966e-14,1.752475086217273e-14,-2.596832695227187e-14,2.136903946489675e-13,1.430692659163176e-13,-4.358544084220934e-14,0.0,1.771273550352373e-14,-8.528285380632697e-14,3.056916659018501e-14,2.885513458315315e-13,4.210150532063455e-14,2.282377884430229e-13,-1.367911876150242e-13,-2.577242210003883e-13,-2.466790369539223e-13,3.336650794672499e-14,5.140254947417808e-14,-3.102823662267372e-13,9.622608463542804e-14,-2.964423574872076e-14,-1.859479352062686e-13,-6.853072823005833e-14,4.446504196874257e-13,-3.039571002165075e-12,4.900321941011629e-13,-3.54781384880961e-14,6.522301577479942e-14,2.133170220341409e-14,-1.444481700336127e-13,3.111303250337911e-13,-8.560360942405346e-14,-1.670132504244542e-13,-7.420476366862394e-13,-7.616097467436089e-15,6.040213957585045e-13,-1.80411501171599e-14,1.157072570478544e-14,-5.602209368576774e-14,2.767502184933003e-13,-4.279265800413927e-13,5.117742082476612e-14,-4.983231605617238e-13,8.194606324609513e-14,-3.836368234783686e-13,-1.049360161101791e-13,1.072737574238648e-13,4.746224322877099e-13,-5.151586188219773e-14,-7.483381511672958e-15,1.332507314575432e-14,5.064969528009639e-14,3.329840378177339e-13,-9.248472566775745e-14,-3.039188066208631e-14,-6.916169501087681e-14,1.564590886282647e-14,-6.274385987016422e-14,1.309000657872413e-13,-1.118947207180587e-11,2.301529515016527e-14,-4.683975376248482e-14,-1.403049318621695e-12,-1.81127339564376e-13,9.173623618048377e-14,7.902864228330512e-13,4.796495313154469e-13,1.864948439210186e-13,5.256999035105862e-12,-2.559789724689393e-13,-7.00322065235718e-14,7.472390226005477e-13,-1.251202180264204e-13,6.068337818785433e-13,2.697798165486538e-13,-1.498230793418512e-13,-1.938355133919722e-13,-1.736238296015728e-13,-1.890217109708682e-13,-7.077592887875572e-14,4.267407247650948e-13,1.208472538626994e-13,-1.765925610292379e-13,2.292022464551424e-14,,,,,
frozenset({'223283.9.peg.3927'}),2.969533913448165e-13,1.820441939727602e-14,-4.909972672849241e-14,-6.18475740362162e-14,-1.100648413016953e-14,2.855088067048428e-13,-5.320778972133941e-14,3.532430131247032e-14,6.560843429081004e-14,-1.647906894611325e-14,6.065846774735635e-14,-4.783236733438001e-15,-7.158331483842014e-14,5.431967786859739e-14,3.778854193186203e-13,0.0,6.597537053984189e-14,1.375717453303283e-13,3.506474161309466e-14,-2.444128702519787e-13,-7.268893341156984e-14,5.074796055917246e-13,-1.349599617473929e-14,-6.146777762409036e-13,-2.847274327214756e-14,1.053425183066874e-13,-4.541327454557436e-13,1.428916155766583e-11,6.342096838529658e-14,-1.277094367505823e-13,-6.273175739886193e-14,-7.174990144075032e-13,9.280583911580965e-14,-1.267334353287365e-13,-1.966528785254212e-12,3.424231396249967e-14,-2.510927509477657e-14,-7.938930512469632e-14,-2.392664800647586e-13,5.304069730197217e-13,3.221551899462044e-13,-2.307137504891174e-13,1.894296727757919e-13,-8.825950158495595e-14,-2.35972974330803e-14,3.981136506771749e-14,8.97551339262027e-14,-5.003252680427018e-13,-3.142876282807719e-14,-1.50587190899364e-13,-4.124791190498756e-14,-4.097406199416576e-14,-5.182813702274113e-14,1.900246794185874e-13,4.807412727930202e-15,-9.237531833579193e-13,1.547586449601181e-14,-2.04811838567019e-13,2.971073629547392e-14,-7.918607746226222e-14,2.624704365353358e-13,3.316037486159356e-13,5.925982680273016e-14,4.657888668469745e-13,-4.007157566453279e-13,-1.766901451334275e-16,-3.014136050511488e-13,7.403302705548044e-14,3.004034340412329e-14,-3.507429114875773e-13,-1.392861289989441e-12,-1.030264978717901e-13,-1.483446065893851e-13,4.301501422787894e-14,1.025082373971826e-14,2.386253211761275e-13,1.20709036807814e-13,-1.336652473012871e-13,2.698775709511108e-15,-3.683022157220824e-15,-4.554688541879804e-14,-1.574514817860743e-14,-3.076874259408868e-14,-2.249179404798513e-13,-1.114067967438394e-13,-1.226665969133996e-13,6.404520951496599e-15,1.044254639663412e-13,2.130269334236642e-13,2.407906313538807e-13,-2.122040237920314e-13,3.451683219348188e-12,-5.751837109181829e-13,-8.141942124447729e-14,-7.2496863796823e-14,1.96905934674338e-13,1.87113288095587e-14,,
frozenset({'223283.9.peg.3930'}),192.098925572703,191.5934488713917,193.934261649874,186.9615349253283,192.0989255727045,198.3850583030264,186.8849391938523,186.8849391938526,198.0724214565067,185.7712102950744,186.8849391938525,186.8849391938529,198.3850583030258,186.8849391938512,198.3850583030218,185.7712102950729,192.0989255727038,192.1450270472705,186.8849391938527,191.5934488713945,192.0989255727043,193.934261649866,193.8091117094085,198.3850583030253,192.0989255727034,186.9615349253234,186.7207384868842,192.1450270472689,186.8849391938514,186.7207384868818,198.2951053778818,186.8849391938556,198.2951053778936,198.2951053778832,186.8849391938544,186.8849391938521,191.6400921272234,198.2052339897436,197.98163489193,198.3850583030292,192.0989255727042,191.5934488713933,197.9816348919296,185.7712102950735,198.0724214565093,193.2960484007728,198.385058303038,186.8849391938534,198.0724214565091,192.0989255727017,186.8849391938541,192.0989255727051,191.5934488713911,185.8137521722365,198.2951053778829,186.8849391938499,197.5928325095939,198.3850583030242,186.8849391938536,186.884939193852,192.0989255726975,197.9816348919298,186.8849391938511,186.8849391938528,197.9816348919293,198.2951053778828,192.0989255727041,198.2951053778823,193.8091117094058,191.9012633564358,198.2951053778821,193.8091117094089,197.7870426276438,186.8849391938531,197.981634891928,198.0724214565062,186.8849391938539,192.0989255727046,197.9816348919292,185.7712102950732,171.6306181173385,186.8849391938555,186.884939193867,186.8849391938558,197.9816348919312,198.3850583030269,186.8849391938545,192.0989255727052,186.8849391938537,186.8849391938519,185.7712102950726,197.9816348919281,198.1022969535604,,,,,,
frozenset({'223283.9.peg.5202'}),192.0989255727065,191.593448871392,193.934261649866,186.9615349253241,192.0989255727045,198.3850583030219,186.8849391938534,186.884939193853,198.0724214565559,185.7712102950736,186.8849391938529,186.884939193854,198.3850583030249,186.8849391938535,198.385058303024,185.7712102950756,192.098925572704,192.145027047271,186.8849391938513,186.8849391938523,191.5934488713917,192.0989255727029,193.9342616498723,193.8091117094044,198.3850583030295,192.0989255727035,186.961534925327,186.7207384868834,192.1450270472707,186.8849391938539,186.7207384868837,198.2951053778776,186.8849391938533,198.2951053778808,198.295105377887,186.8849391940057,186.8849391938515,186.8849391938528,191.6400921272208,198.2052339897421,197.9816348919277,198.3850583030231,192.0989255727042,191.5934488713942,197.9816348919314,185.7712102950728,198.072421456506,193.2960484007741,198.3850583030257,198.0724214565063,192.0989255727052,192.0989255727033,191.5934488713936,185.8137521722399,198.2951053778823,186.8849391938506,197.5928325095914,198.3850583030254,186.8849391938531,186.8849391938545,192.0989255727031,197.9816348919306,186.8849391938516,186.884939193852,197.98163489193,198.2951053778802,192.098925572539,198.2951053778799,193.8091117094099,191.9012633564363,193.8091117094105,197.7870426275353,186.8849391938541,197.9816348919284,198.0724214565076,186.8849391938518,198.072421456505,192.0989255727036,197.9816348919296,185.7712102951431,171.6306181173382,186.8849391937958,186.8849391938536,197.981634891874,186.8849391938542,198.3850583030242,192.0989255727034,186.8849391938551,197.9816348919267,186.8849391938548,198.1022969535625,,,,,,,,
frozenset({'PSPTOA0036'}),192.0989255727041,191.5934488713932,193.9342616498688,186.9615349253254,192.0989255727039,198.3850583030255,186.8849391938517,186.8849391938516,198.0724214565072,185.7712102950728,186.8849391938544,186.884939193852,198.3850583030249,186.8849391938534,198.3850583030266,185.7712102950752,192.0989255727049,192.1450270472749,186.8849391938524,186.8849391938533,191.5934488713931,192.0989255727038,193.9342616498686,193.8091117094065,198.38505830302,186.9615349253264,186.7207384868805,192.1450270472692,186.7207384868843,198.2951053778831,186.8849391938521,198.2951053778794,198.2951053778833,186.8849391938542,191.6400921272229,198.205233989741,197.9816348919447,198.3850583030271,192.0989255727031,191.5934488713945,197.9816348919276,185.7712102950732,198.0724214565068,193.2960484007749,198.3850583030268,186.8849391938536,198.0724214565095,192.0989255727028,186.8849391938654,192.0989255727044,191.5934488713938,185.8137521722375,198.2951053778817,186.8849391938503,197.592832509591,198.3850583030252,186.8849391938539,192.0989255727002,197.9816348919462,186.8849391938538,197.9816348919298,198.2951053778809,192.0989255727035,198.2951053778807,193.809111709409,191.9012633564358,198.295105377881,193.8091117094089,197.7870426276456,186.8849391938523,197.98163489193,198.0724214565074,186.8849391938496,198.072421456506,192.0989255727053,197.9816348919296,185.7712102950753,171.6306181173393,186.8849391938531,198.3850583030263,192.0989255727017,186.8849391938522,186.8849391938492,185.771210295073,186.8849391938528,198.1022969535619,,,,,,,,,,,,,
frozenset({'PSPTO_0062'}),192.0989255727032,191.5934488713922,193.9342616498661,186.9615349253251,192.0989255727349,198.3850583030254,186.8849391938529,186.8849391939138,198.0724214565068,185.7712102950736,186.8849391938546,186.884939193854,198.3850583030251,186.8849391938521,198.3850583030267,185.7712102950748,192.0989255727079,192.14502704727,186.8849391938549,186.8849391938532,191.5934488713928,192.0989255727043,193.9342616498694,193.8091117094073,198.3850583030221,192.0989255727036,186.9615349253246,186.7207384868826,192.1450270472692,186.8849391938527,186.7207384868821,198.2951053778806,186.8849391938515,198.2951053778805,198.2951053778809,186.8849391938531,186.8849391938534,186.8849391938511,191.6400921272201,198.2052339897424,197.9816348919298,198.385058303025,192.0989255727035,191.5934488713934,197.9816348919297,185.7712102950751,198.0724214565063,193.2960484007727,186.8849391938525,198.3850583030209,186.8849391938767,198.0724214565066,192.098925572704,186.8849391938535,192.0989255727029,191.5934488713917,185.8137521722339,198.2951053778804,186.8849391938528,197.5928325095903,198.3850583030263,186.8849391938526,192.0989255727065,197.981634891934,186.8849391938543,197.9816348919287,198.2951053778836,192.0989255727039,198.2951053778825,193.8091117094089,191.9012633564361,193.8091117094074,197.7870426276437,186.8849391938537,197.9816348919307,198.0724214565077,198.0724214565032,197.9816348919288,185.7712102950728,171.6306181173398,186.8849391938499,197.981634891933,186.8849391938514,198.3850583030266,186.8849391938539,192.0989255727052,186.8849391938522,186.8849391938545,185.7712102950782,197.9816348919246,186.8849391938524,198.1022969535616,,,,,,,
frozenset({'PSPTO_0073'}),192.0989255727045,191.5934488713898,193.9342616498662,186.9615349253234,192.0989255727044,198.3850583030257,186.8849391938531,186.8849391938538,198.0724214565087,185.7712102950745,186.8849391938533,198.3850583030248,186.8849391938528,198.3850583030236,185.7712102950736,192.1450270472706,186.8849391938519,186.8849391938511,191.5934488713921,193.9342616498683,193.8091117094095,198.3850583030259,192.0989255727056,186.9615349253245,186.7207384868819,192.1450270472679,186.8849391938532,186.7207384868834,198.2951053778812,186.8849391938541,198.2951053778868,198.2951053778823,186.884939193854,186.8849391938535,186.8849391938516,191.6400921272219,198.2052339897423,197.9816348919275,198.3850583030222,191.5934488713917,197.9816348919252,185.7712102950735,198.0724214565068,193.2960484007722,186.8849391938523,198.3850583030242,198.0724214565065,186.8849391938507,192.0989255727018,185.8137521722371,198.2951053778818,186.8849391938542,197.5928325095925,198.3850583030274,186.8849391938539,186.8849391938515,197.9816348919285,186.8849391938627,186.8849391938506,197.9816348919295,198.2951053778815,192.0989255727038,198.2951053778878,193.809111709406,191.9012633564265,198.2951053778816,193.8091117094093,197.7870426276444,186.8849391938508,197.9816348919265,198.0724214565028,186.8849391938537,198.0724214565037,192.0989255727047,197.9816348919273,185.771210295075,171.6306181173376,186.8849391938527,186.8849391938548,186.8849391938526,197.9816348919299,198.3850583030288,192.0989255727034,186.8849391938513,185.7712102950732,197.9816348919308,186.8849391938529,198.1022969535637,,,,,,,,,,,
frozenset({'PSPTO_0075'}),3.009646507991568e-11,-3.50558912682362e-11,-1.490095739509846e-10,-8.918378113460183e-12,-6.581659545542149e-13,-3.528800073931478e-11,-3.304801174283439e-11,-9.549693380790292e-12,3.320110513482397e-11,5.219305185784459e-10,-1.733777033872056e-11,6.313893807789223e-10,1.246321041609601e-10,-1.603871775117445e-11,5.765903777098782e-10,-8.469705125009308e-11,-9.368211545289129e-11,-3.4719615613413e-11,-1.635482705283462e-11,1.306402880167183e-11,-8.737281957974227e-11,1.823030906694184e-11,-2.568013283754034e-11,-4.807699916798841e-11,-1.403263688474264e-11,-8.899062435987694e-11,-2.520814687799102e-11,-1.839847710609919e-11,-5.387282774604515e-11,-2.91565036445347e-11,-3.432261940655052e-11,-1.5877312431868e-11,-6.908315181260238e-11,1.144718073433117e-10,1.526006253216599e-11,6.001684294374741e-11,-4.926633258140122e-11,-2.022118479091312e-11,5.609483680956487e-11,-4.375267086428221e-12,2.044057295620947e-11,-2.967671917569445e-10,3.074944144970883e-11,-1.239878949525207e-10,-1.360779271870333e-10,1.741908805646635e-11,-1.201487936186089e-11,3.983850786871446e-10,6.901808199196424e-11,5.494920384177936e-11,-1.826492083800619e-11,-3.043606792338644e-11,-5.331117567930016e-11,7.948816417116258e-09,9.368957538664629e-12,-2.833596876692966e-10,1.292677272262202e-10,-1.334465760275376e-10,-8.094249914639084e-12,-5.295724368484085e-12,-1.022948754107588e-10,6.991370013451392e-12,1.356374833867681e-11,2.779500296319139e-12,-2.209339911577496e-11,1.292335581715883e-11,-2.500290558762745e-11,2.005004765800712e-11,-7.348916625674945e-12,-2.79863057977181e-11,1.799069784689958e-11,4.300058391312386e-11,-1.12628120745886e-10,9.094101779556494e-10,-3.707025588106292e-11,-2.836829122955404e-11,1.542519582023244e-11,2.05817303969555e-10,-3.404927834648343e-11,-1.529299098008657e-12,7.32773308383756e-12,-9.322663399042613e-11,4.547835035468313e-11,-2.461606284336276e-10,7.175651948065436e-11,4.996460865506829e-11,-2.237785932983508e-11,-1.401156838832175e-11,-1.302476069426743e-11,6.97809116066469e-11,5.636727699238848e-10,-4.724833306433805e-12,1.130097421482582e-10,-1.450988107428041e-10,2.276624994371059e-11,-1.263177335671711e-11,-6.990312518909917e-12,6.59053075693001e-12,-4.908055027559088e-11
frozenset({'PSPTO_0080'}),-9.577183289764383e-13,-1.720788441718009e-11,5.694506120756103e-14,4.796834707782964e-14,2.94410698581004e-14,-9.916322571654264e-13,-6.725025297291386e-13,2.082096437262208e-13,3.696155489795511e-13,2.420417270962676e-12,-8.354147586470412e-14,-2.441521178838135e-12,-6.1904039481247e-11,4.481682092537666e-14,1.789345160832797e-13,-1.831675040550918e-15,-1.634045883755925e-11,-1.220897552805579e-12,1.2127925046072e-11,-8.072572157097672e-14,-1.154214495913087e-13,8.844313066267322e-14,1.027546779003563e-12,-2.574704479501577e-14,4.178683912527656e-11,-3.300906509228487e-27,-8.228474733980176e-12,-1.18660556478901e-11,3.650746720954774e-13,1.11019722154891e-12,2.613970412252747e-14,5.74160739812141e-14,-2.519685754641628e-12,-7.328873249458401e-13,-1.424558032833183e-11,-1.954003333467303e-13,1.123484565471912e-13,-4.551380394487515e-14,-1.020688806806915e-12,-1.415685121443213e-11,1.015349296283462e-13,-1.63388948684657e-13,4.044252415920717e-14,1.748777074914432e-12,-1.259021897572396e-11,1.12190977899022e-11,-1.255944599616802e-11,1.283230630068125e-13,1.936311613602699e-14,-2.416757665761592e-13,-5.245074273845751e-14,8.242211859539811e-11,-1.632249621447671e-11,3.343591547705334e-15,-9.308738547165498e-15,0.0,-3.232399950838612e-13,1.563766775866983e-12,-2.083254872210507e-11,3.274184130158207e-14,1.386364195422392e-11,-6.894472356179892e-12,1.158527457131223e-14,5.779297863233238e-14,3.494785671536556e-13,-3.772004065628228e-12,-1.230275220764412e-11,-1.469657957867541e-11,-1.524890403914703e-11,-7.491463904456898e-12,-1.727919402000855e-13,-3.575857629030887e-12,1.872565324478814e-13,2.09449308465164e-13,-6.781830031982385e-12,-1.188091089720875e-11,1.714034588041132e-11,-6.933336189027087e-11,3.603797900108046e-12,-2.206463114300956e-11,-1.486283893172668e-11,-1.360001876957024e-11,-4.937834733935684e-11,6.413642792232942e-12,-2.245521772510587e-13,-2.856459106917326e-13,-7.5978432053664e-12,1.849000841763442e-12,4.668646940909599e-15,-4.382409301862861e-13,-3.487513832948269e-14,1.856473998209279e-13,-1.22559460822544e-13,-1.248606330664036e-11,1.605430927010506e-11,-1.172713778911466e-11,2.039706829737782e-13,-2.848491461252728e-13,6.887307271175709e-12
