ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1'}),1.255485790547884e-15,1.483402268317822e-11,4.851362346169663e-15,-6.649982676299255e-15,-3.237372929664282e-14,9.160645499579049e-17,-3.063474203169976e-15,4.554793192420432e-16,-5.195641608678032e-16,-1.323948650853612e-16,3.011515786264334e-16,6.878609217535335e-15,2.922446902671146e-15,-8.581561172407924e-16,2.253084651624337e-17,2.395486778971996e-15,-1.391633098347789e-13,0.0,6.501740419947034e-16,-2.526839118666538e-16,1.479217403024117e-13,-5.377655976404487e-14,-5.05093118657108e-14,-1.637810391391782e-14,-6.507742513675356e-15,9.39185270263112e-14,-1.622823486996378e-15,-5.648821662978632e-14,1.813832277277613e-12,1.041081763298957e-16,-2.025808080506661e-16,3.988927362603911e-17,-3.007954716970604e-12,3.510548541645059e-14,1.522775204248624e-15,-6.70141796339823e-14,-4.060898010676939e-14,-4.343810180411841e-14,-5.797308444481902e-15,3.943645037325517e-14,-2.175895425511626e-14,1.608513165970738e-14,4.348660374672458e-16,2.858999823279945e-13,-1.933724317906094e-14,2.506105954321999e-12,-8.889455617239352e-16,2.21907320347371e-14,-9.96096083270524e-12,2.654955251680099e-14,8.93750005110854e-15,2.512266277029525e-13,-7.526456031600597e-16,1.379603607622585e-12,-1.442483734874056e-13,4.366920811311712e-15,-8.95811174034883e-16,-1.061734357481094e-13,9.463531558841332e-18,-2.375627111367289e-17,-1.329797516416037e-16,-5.048580945424382e-17,5.817313947034474e-13,-4.905401093363708e-17,1.507397075342948e-13,-8.99831397187629e-14,-9.51204090591945e-15,1.013071259552441e-14,6.467983830864769e-12,7.893047215705012e-16,1.023695880512264e-12,-2.049091107418481e-13,-9.559110290919229e-14,2.749967376532488e-14,3.053447485350056e-14,1.609124216227939e-14,-2.373621072694327e-16,-1.623437600206205e-11,2.88043808211066e-16,-1.201904957355923e-14,-1.207606256065474e-17,-6.946634491453266e-17,3.431669370163951e-29,2.009828689100762e-14,1.43567008054141e-13,6.076205135129767e-14,3.554163578490448e-16,3.347101932816353e-16,-1.282644802750108e-13,,,,,,,,,,,
frozenset({'223283.9.peg.1290'}),6.238864130092633e-15,1.687010456990336e-13,0.0,9.703982183884083e-15,4.137410056828643e-13,6.290545257367649e-17,2.603182290928745e-14,-9.556898271152465e-15,-3.835675362226854e-17,7.90480716776783e-13,-1.008431326637486e-13,5.640363822859499e-13,1.609950363521308e-13,-2.303653097389667e-11,2.967035687713773e-12,-3.021248217435016e-14,6.607423911754998e-17,-3.946164847508426e-12,-4.750248309556815e-15,-7.464873829238751e-14,1.466235608369151e-11,-8.191022952619123e-13,1.265017583213475e-14,1.827417006980081e-12,1.924685932217845e-11,-1.199987965157819e-12,3.715312184575113e-15,9.477262697316155e-11,5.544563480911069e-12,-1.430828246948303e-15,2.482466714465385e-14,1.3296574704431e-11,3.435267136879181e-17,2.489357915200522e-15,2.381984928900851e-13,-7.220889747650135e-14,1.364970689575216e-11,1.136568429114783e-12,3.712837978162434e-17,-1.031307414665002e-15,5.522463622083387e-17,-1.330753371089794e-13,-2.80811154173883e-13,3.333869231080367e-16,8.071862107121721e-27,-1.658181685122433e-14,3.025366750162795e-13,8.161801425268972e-15,-1.201799116168583e-13,2.615493888883371e-11,2.592287139699161e-13,-4.594366443564812e-13,-7.671350724453532e-17,1.0905114232209e-14,1.775349630744443e-10,-5.136314284871942e-14,1.20598848864256e-13,5.516257817334155e-13,1.625878766686376e-14,1.380279397860545e-16,-1.256150593476008e-12,-6.546013297370941e-15,-1.002353153559162e-13,-4.353977675486656e-12,3.873101436981604e-14,-3.200534890606671e-13,4.176589399729125e-14,-3.28834893082526e-15,1.573544017372738e-14,-7.300448371820862e-15,1.108456951701876e-14,7.886104529878148e-13,-6.913152633560509e-14,-2.055589368536521e-12,1.877433739033887e-14,8.024485697154667e-15,2.72769075463443e-14,1.252146055552428e-13,3.069233447221261e-12,-4.728681951662916e-17,2.167930451488131e-32,-1.067152887985612e-14,8.373538607149184e-16,-5.972370206265896e-30,6.137150074106008e-13,3.866143617617854e-14,-3.684245576243744e-15,2.937892307144424e-18,,,,,,,,,,,,
frozenset({'223283.9.peg.1455'}),0.2817523676052689,0.2817523676057826,0.2817523676054308,0.2817523676054992,0.2817523676056687,0.2817523676063104,0.2883521632605779,0.2817523676054617,0.2817523676042633,0.2727292568042142,0.2817523676041614,0.2817523676052626,0.2817523676048995,0.2817523675932632,0.2817523676054117,0.2817523676049766,0.2817523676052369,0.2817523676099086,0.281752367605644,0.2427173597063731,0.2817523676056019,0.2814536474651564,0.2817523676066045,0.2822518283631241,0.2817523676056752,0.2883521632602283,0.2814536474664441,9.688488729998355,0.2727292568042736,0.2817523676057704,0.2883521632601052,58.52972949572044,0.2727292567744515,0.2817523676056137,0.2817523676050301,0.2817523676071211,0.2814536474672064,0.2883521632606721,0.2817523676024042,0.2819028254267726,0.2727292568037957,0.2814536474673765,0.2814045998557561,0.2727292568042753,0.2817523676033354,0.2883521632604457,0.2817523676104239,0.2817523676070872,0.2829620134184176,0.2814045979773025,0.2883521632615662,0.2883521632600123,0.2789084693261142,0.2817523676055352,0.2817523676054496,0.2883521632548373,0.2883521632630167,0.2883521632603288,0.281752367549214,0.2883521632600112,0.2883521632606466,9.688846124979124,80.14151426071585,0.2879879209645037,0.2883521632604009,0.281752367605706,0.2814536474673937,0.2817523676056873,0.281752367606055,0.2817523676052504,0.2883521632606999,0.2829620134186836,0.28175236760578,0.2817523676057817,0.2883521632605616,0.2834657758789421,0.2883521632603256,0.2789084693261589,0.281752367605859,0.2817523676053062,11.0388012318491,0.2427704914586246,0.2817523676056361,0.2789084693261918,0.2727292568041594,0.2883521632607182,0.2883521638643154,0.2789084693261136,0.2817523676052314,0.2822518283628367,0.2817523676049682,0.2789084693260351,0.2814045979758721,13.44930879249896,0.2817523676062482,0.2883521632603654,0.2817523676052808,0.2883521633361338,0.2817523676053861,0.281752367604293
frozenset({'223283.9.peg.1494'}),-1.055936770200686e-15,-4.238812960465912e-16,-9.105579828754783e-11,-5.563353240843389e-15,-5.113638293006578e-14,4.287459063891897e-13,4.073491893021734e-13,0.0,-6.524953098794605e-17,-1.947067026997057e-22,-8.042391990875381e-14,-1.174133651425054e-16,-1.563027004720725e-14,-4.432404573409731e-12,1.496810154342286e-13,3.040382163339553e-14,1.17363298663786e-14,6.714311695309233e-12,-7.876387298906605e-14,1.774224484205912e-15,-2.918791367330151e-14,2.409399803925855e-16,-5.662202335471131e-15,-1.676646718216005e-13,2.165559846314828e-15,-6.921779078575566e-13,1.201648460174905e-15,-1.180346660491161e-14,5.043738952775148e-16,8.735414519653314e-17,3.267508420220205e-14,1.19252905145096e-12,-2.567607427659548e-14,-3.238900906102287e-14,-2.344256309904214e-15,-1.183271379609623e-18,4.609827565595687e-15,1.727732623231196e-15,-5.187042188109658e-13,-6.119711182979787e-16,-1.630755161615254e-12,1.264986941626537e-13,-8.029938264179841e-14,-3.004792733301652e-14,-9.216148375241376e-14,-3.346515969982611e-14,-4.851141840843469e-17,4.473459998676599e-14,-3.878985446235583e-17,8.387070202345817e-14,6.38511254052305e-13,-3.101466895983251e-14,-1.439007942136737e-14,-9.624147347931998e-14,1.157797746499721e-17,1.631243584365037e-14,1.082439644890092e-13,-3.442458427940696e-13,1.032347154797671e-16,3.432996690877999e-12,1.620375622526959e-15,2.284201947894593e-14,4.229802425405478e-13,4.658477358386548e-12,-2.799729114044409e-15,-5.788941945317483e-14,8.036327424928787e-13,9.856549847704415e-13,3.092962398132635e-15,2.2476159871581e-14,-4.862701134026144e-14,7.481925439921757e-13,-7.982638903623791e-16,1.344089949286998e-15,1.031037731330397e-15,-2.004922338961771e-14,-3.483902041382887e-15,-4.572056697407941e-14,-1.428784619685213e-13,-1.457061014210417e-16,2.986540739335843e-14,-3.209437706624189e-14,4.937243582471323e-16,2.494297091583871e-15,-2.628813276612e-14,-9.149426004289697e-14,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1497'}),3.113169584150775e-12,4.264452344427691e-15,-7.082209171205839e-11,8.734116644626863e-15,0.0,1.126814989177143e-14,-6.482804098305241e-12,-1.001409772109905e-13,3.053682632336886e-14,-1.209659392651946e-14,5.937141037064529e-14,2.564499214082658e-15,4.212742253699256e-15,2.699705139999771e-14,1.289829846704459e-12,1.050975049250179e-14,-3.927147309028719e-14,-3.092098042318041e-15,2.965576274423724e-17,1.213394605314855e-14,1.157568732953187e-15,-1.50350544623263e-12,-9.721838209723546e-15,6.115400528446993e-15,-2.5233647210352e-15,-9.71745468836988e-15,4.073460084178908e-15,4.979046901521022e-14,-2.660250405662909e-13,-3.982250459084358e-16,3.054401609901144e-27,-9.873240056958933e-14,-5.490913662109501e-14,1.518628251256131e-15,-4.874022584468047e-12,-9.870881728177707e-13,6.144093615440203e-15,-4.815596048409182e-12,3.163603039177528e-15,9.360295488716866e-16,-1.166946598971548e-14,-3.193040661219677e-15,5.396065640513685e-17,-6.069098353293186e-17,1.254319130473572e-13,4.764395578428508e-14,-2.129617006116762e-12,2.52842102807202e-15,-1.444336526244533e-15,2.768395187057702e-12,-4.508095231017539e-13,-3.424514530908324e-13,4.549318053777371e-16,-1.177656781728992e-16,-4.354876214985897e-13,-2.687660514220407e-15,-1.730484599286151e-16,-1.503849280918801e-14,-3.946472581247792e-11,7.305426383179795e-14,-9.688167830969192e-15,-1.942210540092144e-13,-1.918501018044649e-15,1.436911279510095e-14,5.518814888300202e-14,-5.152900079446069e-14,9.147346832941447e-15,-7.129885454322024e-15,9.381970944418046e-14,-6.308690924906527e-13,-1.960377409928148e-12,6.470900740199972e-13,6.97587569189243e-14,-9.973504880534315e-15,-1.950956245919659e-14,5.31464244818966e-13,6.630222689913376e-15,3.294192084859174e-15,4.225702839620978e-14,-1.480240530591135e-15,-6.739002918120943e-12,-2.376658920109733e-12,5.110302190492567e-12,4.886251761670477e-12,-2.302665162710919e-14,-1.052031727834153e-12,-4.050277343291841e-17,-1.595108506599179e-15,5.881589039599543e-14,2.406462248971665e-14,-9.787299133929679e-11,4.850412797088533e-18,,,,,,,,
frozenset({'223283.9.peg.1522'}),6.029584558922417e-16,5.93319669498337e-13,-3.835675362142252e-17,-1.785152521803063e-15,-3.237993772209399e-12,-6.566447967394361e-14,3.179223079755448e-13,-7.32926972215194e-15,-1.57627044584033e-15,1.010330096990105e-15,-8.914001108891039e-12,8.851638580820436e-12,-3.548901114623422e-16,-6.32775905709819e-16,1.183695242375259e-13,1.101561194070234e-15,-2.469007892445627e-12,0.0,-1.213751547593781e-14,-6.478040875480681e-16,-3.835675362227127e-17,1.342958355149967e-14,1.2552542803136e-15,3.548551061517397e-14,-2.749153045325039e-13,3.381962210976009e-17,5.776931449459669e-14,5.687728861776969e-16,-1.450442458402322e-13,-8.640629831548794e-14,-2.717298342300136e-16,-6.028681009074269e-15,1.265262902119017e-15,3.274654803461371e-14,-3.992267307878972e-13,6.229051852195355e-11,-5.401346610671776e-14,3.458906092760596e-14,2.864039772797391e-16,-2.25366350774258e-13,-3.215166335052201e-14,4.436272291486877e-15,-1.522560053188288e-17,-3.213778325260889e-15,-1.611953752770186e-14,-3.425540578845509e-15,3.931908221138993e-17,-2.354689000101695e-14,1.444336526244541e-14,-9.702695613387889e-14,2.804875829165982e-11,3.835675362104154e-17,1.265390719582445e-15,1.915962719453588e-17,-8.241779798471578e-14,-3.648957051921192e-11,-7.50408865925421e-15,-8.439089810128587e-14,2.564638523131517e-14,-7.603901671328067e-14,5.264484554190207e-14,-3.35164932177664e-14,2.690666740918719e-15,5.471459899820867e-14,-5.748354469907728e-17,-3.276563828807577e-13,-3.860726146361438e-13,-2.567985478800206e-16,-6.357675069723573e-15,-4.146637980097956e-14,-3.409192396609029e-18,4.93159098030893e-13,-1.601208126541568e-13,1.881614494204202e-16,-5.483190549036523e-14,4.848215650739913e-15,5.219551231358412e-15,1.038868610825983e-14,-6.226425379673847e-13,-6.233989892025132e-13,1.48986858102827e-14,-4.111713860831933e-15,2.774051651320541e-12,-1.320038135187172e-14,-5.690653054740243e-13,-1.118894417679843e-14,-6.962735179577158e-15,-5.980132098457082e-14,3.107498147131743e-15,-7.671350724453859e-17,7.994515102907928e-15,2.472005138734517e-17,,,,,,,,
frozenset({'223283.9.peg.1560'}),-5.331043379795255e-16,3.493595387464831e-14,-5.687573363608201e-16,1.468275040827146e-15,2.611613865296078e-16,1.223984841270428e-14,1.143561328362194e-16,1.997235117729909e-16,-4.037081653571218e-14,-5.919915724269398e-14,-1.83827049568738e-16,-2.954897329151617e-17,1.493709872536402e-15,3.163902814255458e-16,3.333101932092463e-17,-7.783165856736826e-17,1.806556145376468e-13,-3.52598494536981e-17,3.170924679550166e-13,1.978251013652316e-12,0.0,-1.192605137176429e-14,2.506233860110847e-15,-5.543677251806564e-18,-1.245634956396115e-12,-6.133094080644604e-14,-1.19189486482198e-13,-1.905935547270325e-16,1.119544007820613e-14,-1.482307207934205e-16,-1.758466534475619e-14,7.401685140285415e-13,-6.836205153224486e-16,-6.523343906910581e-14,-1.463039351899048e-13,4.50041418038009e-16,-8.86913799457619e-17,1.879970140938062e-09,-1.971863469053512e-14,8.152586143936824e-14,1.504298799910631e-15,8.029137844680729e-14,-2.696702857635518e-14,1.723408437909734e-13,-2.268518674129076e-13,1.107863093378168e-14,1.223751000877086e-13,-8.610196575264749e-18,2.677146865619965e-14,-4.750977018535068e-12,-4.173330769843034e-14,9.709030986838244e-15,-3.473050229319498e-13,-1.995575223480232e-13,3.681642414722247e-17,-1.41131915058739e-13,-5.95824984183966e-14,-3.210538240255924e-14,2.135386206681635e-15,-2.723436727943986e-15,-2.085852538331592e-14,-1.195886608939079e-15,1.531338173334423e-14,1.397624723436893e-28,-1.068841272757371e-15,1.971756521818809e-13,-5.74162288039647e-15,-5.648441655560638e-15,-4.674536951130881e-15,-5.988832229739875e-14,4.721145292574584e-16,1.049840943353321e-14,-8.044265415114554e-17,5.172600958148087e-17,2.665525598419918e-15,2.271645466361619e-15,1.688913942687589e-15,3.220151365149708e-11,-1.024856524207437e-15,-4.225302167433823e-14,-1.6117518707217e-16,-4.006199897189038e-17,-6.187389684315135e-14,3.215439257185863e-14,2.034802440851553e-13,-1.750518746346802e-29,-7.094578665098713e-17,,,,,,,,,,,,,
frozenset({'223283.9.peg.1575'}),-1.126903714515763e-14,8.843804014452052e-13,-7.671350724955566e-17,-5.700178933423028e-16,4.22089717051849e-12,-6.566447967394361e-14,2.320771061759192e-13,3.474164107591857e-15,0.0,-6.642294014480211e-16,1.673969638453675e-14,-4.218611013236759e-16,5.778901207692575e-14,2.671258208523153e-16,-2.469007892445627e-12,-3.004400705684822e-14,4.052132350783113e-16,-3.835675362227127e-17,2.376669470132931e-13,3.889722359149607e-16,3.548551061517397e-14,2.418430722046005e-12,9.766409042483533e-16,-5.16942698601648e-14,3.309385530807594e-17,-3.788632678857787e-15,8.489327392511688e-16,-4.636397757484239e-17,5.00628200359074e-14,-4.176871102788426e-11,2.423061515448635e-14,-1.512229955336809e-13,2.259675905804417e-13,7.390823483553036e-15,3.518842825870597e-17,4.769791005944666e-16,-1.201498237981768e-14,-3.55340299455679e-15,7.193216685356597e-14,-7.471091818714246e-29,1.42734433181812e-14,-1.07888067794876e-13,1.92036509523531e-12,-1.463399741076596e-14,1.315850131995056e-16,-1.913270274591978e-14,-4.464983204197248e-14,-1.459582820768478e-11,5.360063328038723e-15,-1.501278609646808e-13,7.42549735887449e-15,-1.399649939609761e-13,4.066365876233984e-14,-3.35164932177664e-14,-1.922079402429284e-16,4.785169796610461e-14,5.959474324113124e-14,-1.867663510524203e-14,2.828113389059845e-15,1.552969943615263e-14,-1.045848676770052e-13,1.897473785441089e-14,-1.110419694204797e-13,-6.062834155903206e-13,-2.788814765370594e-15,-3.842189972809385e-17,-5.483190549036523e-14,-8.961613182486e-16,-1.467984893015155e-17,5.408866780173713e-15,-3.568230053706881e-13,-1.367255662014975e-27,5.959474324113081e-14,1.879065471898276e-28,-5.291503385257072e-12,-2.49291447962009e-16,-1.892330237297297e-14,5.087418630989268e-13,-1.135110278805638e-14,-2.44998637197448e-17,3.054575617973398e-14,1.017401220425776e-13,1.771624565972941e-14,-3.835675362226989e-17,4.038778784840607e-14,-4.388415985892186e-18,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1577'}),2.270963367617103e-15,6.987190774929663e-14,-5.687573363608201e-16,1.468275040827146e-15,-2.5240237953924e-18,4.079949470901425e-15,0.0,2.63532828806999e-16,-2.686082006492909e-14,-5.919915724269398e-14,-1.837915884321993e-14,3.782446735005138e-17,1.101488368897015e-15,1.840410987258971e-16,-2.683171812981884e-15,-7.783165856736826e-17,5.419668436129404e-13,3.301105422081602e-13,1.978251013652316e-12,-4.365503712564135e-33,-1.192605137176429e-14,2.854622431583168e-16,-2.589791496634827e-17,-1.247169666826562e-12,-1.19189486482198e-13,3.470406279454211e-13,-1.363895374645973e-16,1.119544007820613e-14,-5.105284979736234e-13,7.13487764819821e-14,7.401685140285415e-13,-6.836205153224486e-16,2.768369753582949e-17,-4.182081762537205e-14,-1.123783850009414e-13,-3.430698472516052e-13,2.998708601108738e-14,-4.50041418038009e-16,-4.434568997288095e-17,-6.187525752557481e-17,1.879970140938062e-09,8.343036904751778e-17,1.282210716026646e-13,2.1765986390733e-11,8.029137844680729e-14,-4.903096104791855e-14,8.160602400616504e-13,-2.268518674129076e-13,-6.959870103885232e-15,-9.346433692416182e-15,-4.52732815339254e-18,2.678348090369733e-14,-4.750977018535068e-12,-7.708895603136992e-13,1.037714372272127e-14,-3.476917768550366e-13,-1.995575223480232e-13,3.681642414722247e-17,5.060147533118516e-14,4.28281230756282e-14,-5.190373652214411e-14,8.076603047297154e-15,-2.723436727943986e-15,-9.056582267521484e-17,-2.356638942552237e-13,-1.087169644490072e-15,-4.369919246134113e-15,-7.155610293741229e-17,-1.147774099082406e-13,-5.74162288039647e-15,-4.142190547411134e-15,-4.207522976433564e-15,-3.159311811697336e-14,3.408552292570298e-16,1.524277242760535e-17,8.761239925121886e-14,-8.044265415114554e-17,2.132223102363204e-14,2.115973509371852e-14,-3.842265173074076e-14,3.220151365149708e-11,-1.229827829048924e-16,-6.228725931256247e-14,5.245671395778346e-13,-1.032563063211776e-12,1.258870444694483e-13,4.069604881703106e-13,9.21318655186545e-16,-1.705367821340304e-14,4.982197781653355e-14,-3.422900970676086e-15,,,,,,,,,
frozenset({'223283.9.peg.1663'}),0.0,-3.018030156793852e-15,4.152265226441259e-17,-1.015089632158745e-13,9.210972231044338e-15,-1.457040913917609e-13,6.84041079401743e-15,-2.663117385999505e-14,2.613860931969881e-14,-1.740778767529076e-13,-3.835675362226854e-17,-3.296183590050454e-14,1.465074501202686e-14,1.437804467837675e-16,2.967034828027578e-12,1.894747659809128e-15,1.321484782351e-16,-2.604603570743923e-12,1.064135899952525e-15,5.469776942745059e-14,-8.972790443424276e-14,4.598516472482164e-17,-9.698231704232503e-13,-4.749018165595163e-16,-4.446752467256087e-14,-1.376760916574802e-14,1.378859971140882e-15,-4.38868696834693e-13,8.5510590725913e-14,4.79131195243794e-14,-6.621545407538063e-17,-1.430828246948301e-15,1.025689840108452e-14,-1.029740030375951e-16,-8.24282325515699e-14,2.13561817687348e-15,-1.837174705594947e-16,-1.23090774380067e-13,-2.551283199389417e-17,-6.162687594286611e-11,2.849151822208055e-17,2.314056229256719e-14,-1.330398513057298e-11,3.907635700275671e-16,-4.581284490472539e-17,6.429790011374978e-15,1.862435298079053e-13,1.656577460639746e-14,-5.573245244946121e-14,1.031564859803554e-14,-2.012063329818093e-16,1.099597495190023e-13,-1.099356764360504e-13,-3.251757533372752e-14,-1.256234672939704e-12,3.324312893910173e-15,3.241880295588996e-13,3.620526038713095e-14,2.910333466634605e-16,-2.3970208854333e-16,-3.053310736826024e-12,3.419426960648543e-14,1.258895892515699e-15,1.28006976777232e-13,-1.460089674364172e-14,6.717452743914463e-14,2.956655999137509e-14,1.703665402536473e-18,-2.602308169918849e-12,-1.919976565240896e-17,1.531847673875663e-13,1.367289332368599e-15,1.696713992664705e-18,8.984495708159527e-16,-2.418598456246479e-14,1.689315119558507e-14,-1.067152887985612e-14,2.612577326781049e-14,-2.425795430369238e-15,1.688949641327511e-16,-3.116812205381986e-15,1.113706069591256e-14,-9.835579992403245e-14,,,,,,,,,,,,,,,,,
