ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),1.103884465281322e-14,1.887400843021645e-15,-1.281392151718775e-28,-7.00834734937886e-15,1.896798117630847e-29,3.286523481430988e-16,3.29284876108972e-14,0.0,1.63871255460645e-14,4.651552636382631e-15,-7.515458899178115e-15,7.514360111078965e-15,5.564087588139317e-15,2.210134453560815e-15,4.150639068755447e-13,8.938312713860571e-16,2.226146841842473e-15,5.152905703376361e-15,2.234030542703183e-14,-8.817701959357755e-15,-5.602236006490791e-46,-5.160771507197789e-14,2.338491248725418e-14,1.054875246037712e-14,1.109654817093368e-14,-1.180388322112282e-15,8.536068656486931e-15,3.166929721193755e-14,5.820088795643155e-15,-1.27754175861023e-14,7.533943814765388e-15,5.240795363023916e-13,-3.036335487017619e-14,6.412307185545679e-14,1.141530948222777e-14,1.188905848015893e-15,7.145003302441452e-15,-5.014363631316195e-15,-1.694692787164742e-14,1.956183761904334e-12,7.475045472957945e-15,4.235879101371939e-15,-1.179988031743055e-14,-8.369415988735854e-14,-7.947693836689733e-15,3.869361319415755e-14,-4.574126750867459e-15,3.232969779511695e-14,-3.936784187477537e-15,1.223431314993198e-14,6.029461880579023e-30,-2.274528916340375e-15,8.051398776319472e-15,-6.475851215739253e-16,-5.402678656404192e-15,2.795563133185598e-14,-2.849559371951185e-14,-1.808086372735185e-14,-6.040585591772383e-14,-3.769771715064645e-14,-8.796878424096977e-15,7.46806758344291e-15,-1.393384411896321e-15,4.032805160014249e-15,-9.469770912431182e-16,4.69723001103707e-14,-6.403259614618134e-15,-6.392418801564587e-15,3.452791830191997e-30,-3.308719366336469e-15,8.993213775105039e-14,-4.21688442807895e-15,9.38607358018549e-15,8.958846501979946e-15,8.51102286324448e-15,1.658379235158339e-12,-1.700091553240212e-14,-2.244127247517299e-14,-4.2019653876312e-13,-2.471696158633024e-14,6.269324742857674e-15,-5.031563178286801e-15,-2.653710074533305e-14,1.110583707260596e-14,-3.299804981385899e-15,6.607953861038675e-15,-7.768064596448693e-15,4.657348614662113e-13,6.914524983942348e-17,5.712016130839668e-16,6.564438396859385e-15,-1.554141979404241e-14,2.356991123840778e-15,,,,,,,
frozenset({'223283.9.peg.3813'}),-2.379663854803259e-29,-9.468900815652921e-14,-6.661723612418636e-15,1.589042921265599e-13,6.865393481706381e-15,-4.058885630041603e-15,-2.174890549874456e-13,-1.937723776880494e-14,0.0,1.479111759899536e-14,1.187698557475085e-14,6.061766006504629e-14,8.883978636628418e-14,1.948776685563409e-15,-8.009550981368472e-16,1.237738872330243e-30,9.135702046852677e-15,8.899981608308343e-15,-8.431043289473262e-15,1.598618882504733e-15,-5.567227155597376e-14,-3.333130569396654e-15,-5.324609154268542e-15,-1.235514294747514e-14,1.30445680476985e-14,-1.495942211894821e-13,9.1570725413212e-15,3.634882131133518e-15,8.004526951054693e-15,-1.423310695389961e-16,-7.836164038553995e-15,4.229967956762216e-15,-2.129262746825279e-15,-6.664897419061507e-15,-2.844704346609579e-15,-1.941803872959292e-13,-3.101742228287602e-13,-1.12425255153849e-13,-2.654502227134015e-15,-7.14277025329425e-15,-1.772075410077864e-14,1.719092669931167e-14,7.912282752040468e-14,-1.677431298079571e-15,1.05539666988347e-15,7.566327815718439e-14,-3.327385523260268e-29,-2.133163736908582e-14,-5.563279058075987e-15,-1.736751236893332e-13,-2.829095474434069e-14,1.22710114724542e-14,-2.069112406257477e-14,-4.938025677287272e-15,1.16637980704845e-15,-2.581212475860306e-15,9.043509407652165e-15,4.255281714604492e-15,-3.993620669380961e-15,-2.133483148677458e-15,9.629521117433231e-15,2.136112495127487e-15,2.746975478660225e-15,9.086258734233997e-15,9.636369452424371e-15,2.35447257346559e-14,-2.006868689861322e-14,1.374787932231341e-14,3.139856338043879e-15,-6.356995735113959e-15,5.482648854427776e-16,-6.322383901050911e-15,-2.073152014618944e-14,-9.482164025408672e-16,-3.22645963018503e-15,-7.159092959437555e-15,1.076400148802132e-14,1.162200732552508e-14,-1.309944424391061e-14,-5.228265761840122e-13,1.055245814069139e-15,5.570998319853026e-15,-9.958870938804474e-15,4.574403259961734e-16,-4.656081573392562e-15,2.187864260737762e-16,-1.57313258170004e-13,1.347609156155017e-14,1.448810457638305e-15,-1.219877150562502e-14,-1.988067986241442e-15,8.659382630208047e-15,-6.903600170579041e-15,1.230678574937746e-14,4.633593525611218e-15,1.436633497640323e-14,,,,
frozenset({'223283.9.peg.3927'}),1.007203496602196e-29,-6.626616294516709e-14,2.747798772940857e-14,6.047308405680591e-15,-1.219065773256073e-14,-2.349272256294687e-15,1.770313117890755e-14,8.076404016808967e-15,-1.942632480238817e-14,-1.890458794173023e-15,-1.030311835044853e-14,-9.448814167725144e-14,-3.297986206941642e-14,0.0,1.186712444102684e-14,-1.366558637575536e-15,-9.099557961040868e-15,3.344160659756065e-16,-1.434771413686032e-14,-2.656778627573162e-14,-3.626508397867337e-15,-1.183462577724709e-14,-1.229746285734028e-15,-7.8716923440092e-16,-3.538288546193119e-16,-3.575769444675865e-15,-2.68945704713328e-16,-2.069028529580909e-14,2.29233172588072e-15,7.084494672713579e-14,-7.616220953561524e-15,-8.924119760158318e-13,7.546597790013065e-13,-3.199535569973688e-16,-1.872628934702193e-15,-3.314420650558932e-15,-1.449449766178367e-15,1.97824929901778e-16,4.712863194199778e-12,4.444921962070271e-15,-7.418845831590548e-15,-4.437891482335744e-16,5.415677326082819e-16,-5.372618483668372e-15,-7.853204817544632e-15,1.982093408461052e-15,-3.405923481822141e-14,2.222369149692016e-15,-3.86402802314728e-14,1.784149938068333e-14,9.450871024231056e-17,-3.850240779473518e-15,-5.553097967749498e-14,-3.503766094406504e-12,5.442633055116572e-15,-1.118728709095011e-14,-2.247378301051734e-14,-4.70557441306095e-15,-1.176424122035263e-14,-8.200730359613289e-16,2.536999110724045e-14,-1.324125295658963e-14,-4.102436029134895e-16,1.135772640734198e-14,2.635320591720197e-14,-2.290071307396375e-16,3.102811430801104e-15,-2.827693234512476e-13,1.007629355296746e-13,1.002826647640718e-15,-1.187089474821805e-15,-8.943911789678705e-15,-1.056502918515263e-16,-1.077296970712772e-14,-1.100180717715146e-14,-4.876258970705838e-14,-5.299469200676934e-15,-6.649456075731489e-15,3.361837700270148e-15,-6.313859486545284e-18,-5.327509200089464e-15,1.797171324425952e-14,1.843419123736471e-14,2.642910583468524e-15,-3.461580537317906e-15,7.758332430270762e-16,-4.199104998397791e-14,-2.363801695988467e-15,-1.074541508059338e-15,1.171532691931973e-14,-2.711431299824646e-15,-1.977124916002347e-14,3.944172447942824e-16,6.603075835968458e-15,1.536130492248473e-14,,,,,
frozenset({'223283.9.peg.3930'}),28.36654702639731,28.37712580692306,28.37712580692353,29.43851111847838,31.29551278977006,28.37712580692335,31.40364477700057,31.2855317500864,31.40364477699999,28.32401344087607,31.28553175008601,31.28553175008617,31.40364477700029,31.28553175008621,31.40364477699736,28.32401344087618,28.37712580692466,28.38205689587359,31.28553175008646,31.28553175008624,28.37712580692311,28.37712580692354,29.4385111184784,29.43851111847815,31.40364477699977,28.37712580692066,31.29551278976704,31.26412896911352,28.38205689587217,31.28553175008643,31.26412896911338,31.39359465634636,31.28553175008587,31.3935946564282,31.39359465642807,31.2855317500858,31.28553175008637,31.28553175008532,28.38205689587104,31.38355096648661,31.39359465642812,31.40364477700007,28.37712580692337,28.37712580692313,31.39359465642859,28.32401344087647,31.40364477700017,28.55697945450517,31.28553175008631,31.40364477699939,28.37712580691523,31.28553175008599,28.37712580692349,28.32892608684431,31.39359465642832,31.28553175008575,31.35052254531965,31.40364477699982,31.28553175008596,31.28553175009039,28.3771258069232,31.39359465642804,31.28553175008693,31.393594656428,31.39359465642798,28.37712580692292,31.39359465642393,29.4385111184782,28.35597613031556,31.39359465642836,29.43851111847825,31.37204381695237,31.39359465642854,31.4036447770006,31.28553175008573,31.40364477700458,28.37712580692323,31.39359465642792,28.32401344087586,31.17967403430355,31.28553175008569,31.28553175008648,31.39359465642825,31.28553175008636,31.40364477699946,31.28553175008638,28.37712580692319,31.28553175008684,31.28553175008657,28.32401344087306,31.39359465642838,31.28553175006826,31.37204381695275,,,,,,,
frozenset({'223283.9.peg.5202'}),28.36654702639843,28.37712580692334,28.37712580687586,29.43851111847917,31.29551278977322,28.3771258069228,31.40364477782286,31.2855317501232,31.28553175008527,31.40364477707986,28.32401344087545,31.28553175007746,31.28553175009667,31.40364477700083,31.28553175008784,31.40364477700036,28.32401344087603,28.37712580692338,28.3820568958698,31.28553175008624,31.28553175008514,28.37712580692332,28.37712580838901,29.43851111849741,29.43851111847831,31.40364477699986,28.37712580691752,31.2955127896712,31.26412896911351,28.38205689652439,31.28553175008586,31.26412896911263,31.39359465642854,31.28553174983967,31.39359465636965,31.39359465642794,31.28553175009112,31.28553175017178,31.28553175008707,28.382056895898,31.38355096648631,31.39359465643117,31.40364477700018,28.37712580692556,28.37712580692266,31.39359465584843,28.32401344087622,31.40364479084284,28.55697945450497,31.2855317500864,31.40364477692915,31.28553175013321,31.40364477700005,28.37712580691442,31.28553174979562,28.37712580692325,28.37712580692348,28.32892608684392,31.39359465642833,31.28553175008631,31.35052254529593,31.40364477699972,31.28553175008622,31.28553175008621,28.37712580692363,31.39359465642836,31.28553175006418,31.28553175009678,31.39359465627899,31.39359465642819,28.37712580692306,31.3935946564282,29.43851111848135,28.35597613028545,31.39359465639836,29.43851111847518,31.37204381695258,31.28553175008571,31.393594656428,31.40364477699988,31.28553175008579,31.40364477700045,28.37712580692259,31.39359465659373,28.32401344087627,31.17967403430385,31.28553175008614,31.28553175008337,31.28553175008792,31.39359465640625,31.28553175008603,31.40364477700003,31.28553175008573,28.37712580692429,31.28553175008591,31.28553175008599,28.32401344087599,31.39359465643282,31.28553175008611,31.37204381676998
frozenset({'PSPTOA0036'}),28.36654702647459,28.37712580692328,28.37712580692298,29.4385111184782,31.29551278977019,28.37712580692344,31.403644777,31.2855317500908,31.28553175010391,31.40364477700005,28.32401344087597,31.28553175008532,31.2855317500858,31.28553175008611,31.40364477699478,28.32401344087576,28.377125806923,28.3820568958704,31.28553175008606,28.3771258069226,28.37712580692311,29.43851111847824,29.43851111847487,31.40364477700022,28.3771258069237,31.29551278977031,31.26412896911353,28.38205689587029,31.28553175008574,31.26412896926402,31.39359465650694,31.28553175008618,31.39359465642798,31.39359465642861,31.28553175008748,31.2855317494921,31.28553175008619,28.38205689587984,31.3835509664779,31.39359465642846,31.40364477700059,28.37712580689793,28.37712580692388,31.39359465636902,28.32401344087635,31.40364477699845,28.55697945450497,31.28553175008646,31.40364477700056,31.28553175008647,31.40364477699994,28.37712580692313,31.28553174986859,28.37712580692406,28.37712580692335,28.32892608684393,31.39359465642821,31.28553175008586,31.35052254529575,31.40364477699948,31.28553175007773,31.28553175008715,28.37712580692309,31.39359465655214,31.28553175003177,31.28553175008888,31.39359465642845,31.39359465642808,28.3771258069229,31.39359465642791,29.43851111847794,28.35597613031473,29.43851111847831,31.37204381695251,31.28553175008583,31.39359465640856,31.40364477700015,31.28553175008514,31.40364477699996,28.37712580692333,31.393594656428,28.32401344087604,31.17967403430359,31.28553175008692,31.28553175008594,31.28553175008615,31.39359465642818,31.2855317500856,31.40364477700007,31.28553175008637,28.37712580692332,31.28553175059505,28.32401344087612,31.39359465643551,31.2855317500801,31.37204381694864,,,,
frozenset({'PSPTO_0062'}),28.36654702639899,28.37712580692288,28.3771258069235,29.43851111847838,31.29551278977018,28.37712580692324,31.40364477700018,31.28553175008569,31.28553175008592,31.40364477700058,28.3240134408761,31.28553175008584,31.2855317500861,31.40364477700061,31.28553175008638,31.40364477700025,28.32401344087651,28.37712580692312,28.38205689587075,31.28553175008652,31.28553175008572,28.37712580692338,28.37712580692306,29.43851111847851,29.4385111184781,31.4036447769999,28.37712580692299,31.29551278977037,31.26412896911396,28.38205689587044,31.2855317500865,31.26412896911385,31.39359465642834,31.28553175008609,31.39359465642804,31.39359465642781,31.28553175008586,31.28553175008675,31.2855317500866,28.38205689587063,31.38355096648593,31.39359465642841,31.40364477699992,28.37712580692361,28.37712580692376,31.39359465642836,28.32401344087635,31.40364477700035,28.55697945450523,31.40364477699974,31.28553175008619,31.40364477700028,28.37712580692383,31.2855317500856,28.37712580692354,28.37712580692245,28.32892608684462,31.39359465642847,31.28553175008653,31.35052254529652,31.40364477700015,31.28553175008647,31.28553175008628,28.37712580692211,31.39359465642835,31.28553175009438,31.28553175008636,31.39359465642842,31.39359465642828,28.37712580692262,31.39359465642839,29.43851111847693,28.35597613031416,31.39359465639653,29.43851111847256,31.37204381695217,31.2855317500864,31.39359465642869,31.28553175008602,31.40364477700039,28.3771258069194,31.39359465642876,28.32401344087576,31.17967403430359,31.2855317500887,31.28553175008655,31.39359465642826,31.40364477700042,31.28553175008483,28.37712580692352,31.28553175008605,28.32401344087632,31.39359465642743,31.28553175008597,31.37204381695265,,,,,
frozenset({'PSPTO_0073'}),28.36654702639351,28.37712580691401,28.37712580691984,29.43851111847768,31.29551278977029,28.37712580692507,31.40364477700054,31.28553175008641,31.28553175008638,31.40364477700132,28.32401344087593,31.28553175008599,31.28553175008619,31.40364477700058,31.28553175008623,31.40364477700022,28.32401344087447,28.37712580692305,28.38205689586864,31.28553175008628,31.28553175008651,28.37712580692321,28.37712580692364,29.43851111847824,29.4385111184782,31.4036447770007,28.37712580692326,31.29551278977063,31.26412896911352,28.38205689586394,31.28553175008596,31.26412896911372,31.3935946564279,31.39359465642814,31.39359465642908,31.2855317500858,31.28553175008637,31.28553175008634,28.38205689587268,31.38355096648666,31.40364477700001,28.37712580692319,28.37712580692438,31.39359465642884,28.32401344087798,31.40364477700016,28.55697945449214,31.28553175008608,31.40364477700021,31.28553175008662,31.40364477700195,28.37712580692338,28.37712580692347,28.37712580692398,28.32892608685262,31.39359465642874,31.28553175008593,31.35052254529971,31.40364477699982,31.28553175008652,28.37712580692091,31.28553175008589,31.28553175008592,31.39359465642763,31.39359465642864,28.37712580692363,31.39359465642836,29.43851111847893,28.35597613031537,31.39359465642986,29.43851111847804,31.37204381695177,31.28553175008691,31.39359465642833,31.4036447770006,31.28553175008573,31.40364477699995,28.37712580692411,31.39359465642793,28.32401344087565,31.17967403430356,31.28553175008572,31.28553175008602,31.28553175008644,31.39359465642818,31.40364477699683,31.28553175008598,28.37712580692405,31.28553175008685,31.28553175008649,28.32401344087588,31.39359465642853,31.28553175008429,31.37204381695291,,,,,,
frozenset({'PSPTO_0075'}),1.95520002111401e-12,-5.408697995225981e-12,-6.550075504035478e-12,1.218671035001537e-11,-3.375113650302759e-12,-2.989069451825183e-12,7.182476375963851e-13,1.312152351824278e-13,6.995409376606983e-12,8.451457416628563e-13,-2.294230524667417e-12,3.93775892953764e-14,-3.700473615505678e-12,5.004786892836343e-12,-3.603898174641351e-12,3.717351196514273e-12,-1.972326036877775e-13,-2.090262484388456e-12,1.361248481217296e-12,9.50915724139413e-14,3.502840228130828e-11,1.660201029825853e-11,-5.199448978150258e-12,-2.032953609668805e-12,-9.64633236676369e-13,1.425732409995863e-12,3.042525084090569e-12,-9.397316855854736e-12,9.144081422399096e-13,-1.112255052995135e-12,3.042525084091309e-12,5.862590823460921e-12,3.302668422560978e-12,1.749010185750635e-13,2.233601990769919e-12,6.629398990040401e-28,-1.656643003173795e-13,0.0,-3.275006436214749e-12,1.64922730682993e-12,2.622999244927038e-12,-7.785452317288647e-13,-2.59061177254324e-12,1.162680470060517e-11,-1.422229478324211e-13,-1.420965879030108e-13,-2.164010632006313e-12,3.446629309197934e-14,3.992962712048719e-13,4.115497033613375e-12,4.800634910884758e-12,8.303064257135592e-12,-3.363826085955077e-12,-3.723052125920421e-12,-3.467351424329145e-12,1.506002490634373e-14,4.224528669589102e-11,-4.49313530794068e-12,-1.095401577000891e-12,-3.421525185613245e-12,1.616134116732471e-12,-1.654509010634454e-14,-2.263061634532943e-13,1.020609054896692e-13,-1.953769015994621e-12,-2.314430472843947e-12,-3.295637302714697e-12,-9.712169685204096e-13,1.769324372628652e-14,3.049809763557087e-12,6.730578424795405e-12,-6.485113269272725e-13,2.999970183758989e-13,2.249239563564956e-12,3.316991262082219e-12,1.681141389974824e-13,-1.016958908219026e-11,-2.023631339197648e-12,-2.547829606278296e-13,-1.815612196112371e-12,-8.903034628286144e-12,-1.583744991887396e-13,-3.343301626070698e-12,2.739765497152e-12,-2.978915586768779e-12,7.349600507228474e-12,-1.216984452936131e-12,-1.223430263618984e-12,-1.33704947550717e-12,-1.34097873195635e-11,2.066764567455026e-13,2.502018153648236e-13,-3.113676576305975e-12,7.947174130635385e-14,1.024192077612613e-12,-6.130673591324423e-12,3.245634234477876e-12,3.042930317248779e-12,-2.536715251306233e-12,-6.02148149232689e-12
frozenset({'PSPTO_0080'}),6.364368964835729e-12,2.340613347352814e-13,-3.916111220481253e-30,1.639847438158679e-12,1.635095594338865e-12,1.37220335194042e-15,3.737381001543259e-14,-3.622304605921833e-16,1.620869228037837e-14,2.299395071138015e-12,-1.600075916908716e-26,-1.474174563346069e-15,3.788708935598456e-14,-2.206000481852627e-12,-5.016043311764314e-15,-1.174256329588495e-14,1.046682443494787e-14,0.0,-3.653996878785792e-12,1.256019349503827e-14,-2.129383700999076e-12,-3.036176544980135e-15,-2.163945978339695e-12,1.189348614471589e-14,-4.065881032525012e-15,5.119652867497324e-14,-9.638221184807892e-15,-8.77603105029847e-12,-2.834892081871463e-14,1.137353414295572e-15,1.535724281580974e-15,-1.851156535491414e-15,-9.926695720523335e-15,4.900258587683253e-13,2.52035095639322e-12,1.384228465333177e-29,1.251573176827106e-13,-7.952678172252633e-27,4.043834392605731e-13,1.427891393393667e-14,3.974695690810154e-15,-2.407140810843832e-13,4.765115079371547e-14,1.019896004614831e-13,9.473755213601137e-13,1.295920105920191e-16,-3.768337662910198e-14,-1.439506010511044e-14,1.064919328317932e-14,9.532881172097675e-13,1.166323313553856e-16,1.57933436651571e-15,-2.485700961032357e-13,5.552603703161869e-12,-7.494728205831592e-45,-4.606664490284706e-15,-3.63413487594672e-15,-1.219344392740588e-14,5.123685018092029e-15,-6.346527348927069e-13,5.114121118593261e-15,-3.254287998049605e-15,1.307865175351713e-26,-1.779283879682124e-14,-8.297850467988331e-14,1.258059950900752e-14,-1.350442444571717e-14,2.89218074422597e-12,3.011768540861881e-14,3.50276501768932e-13,-3.056237497810085e-12,1.253548745860405e-11,-3.757219545251035e-14,-1.218540035266759e-12,3.409649180305034e-14,-4.909522791628652e-15,1.833069988348039e-12,-1.073651454767193e-14,1.520867986368408e-27,-1.852696748062862e-12,1.156954534173587e-14,7.244237920780718e-16,-2.936042222930607e-16,-2.763905989687439e-15,-3.301000769255341e-13,6.130172228527212e-13,-3.46655517028335e-14,-4.406059208797197e-15,-1.683115004290614e-29,-5.479290517323306e-15,1.536631474884146e-14,-2.636734357173998e-14,,,,,,,,
