ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),2.694658302701329e-14,6.139744019553878e-14,-1.017325981645294e-13,-2.789808207152918e-13,-1.686566738465332e-13,1.58131143089595e-13,-3.745469050374031e-15,-2.102931563297183e-14,-5.542415015370466e-13,-2.058754402334521e-14,-1.171542562076041e-14,8.821717126996261e-15,0.0,2.927180359289919e-14,-1.773533264058356e-14,-9.741394725583351e-14,1.154661691636031e-14,-1.021224393505655e-12,-6.490073512721241e-15,1.542003929656587e-15,-2.711996443176248e-14,5.81579840492271e-14,1.063291683795127e-14,3.51528939893573e-15,1.899925227128063e-14,1.048085295006379e-14,-5.409135343062389e-14,1.756785042947705e-15,-6.253734687051849e-14,-3.85483664416873e-13,8.208912488297929e-13,1.418139933549907e-14,3.021359862743854e-13,-2.38058881802754e-14,2.338022347061547e-14,8.814950545812617e-15,1.729733039897258e-14,2.785669719013786e-13,-4.907410428226702e-15,8.833878429514404e-14,2.856682284459033e-14,-1.505836983874846e-14,-7.254195974148112e-14,3.717128659661922e-14,1.673094590852233e-14,1.085688862556147e-13,-6.885824503493588e-16,2.005607919928097e-14,5.635312307059514e-14,4.771127913238322e-14,6.167961394123624e-15,-6.415089419245457e-14,2.476266756033523e-28,-5.418430419980795e-14,1.240793455317762e-13,6.242284345088108e-13,-2.068904102706958e-14,-5.412927329727497e-14,2.45108927225589e-13,-2.817970639364376e-14,-5.587779379712026e-14,-1.521885035101486e-13,1.628313545234219e-13,8.854757629712671e-14,-5.183519815567947e-29,2.177713073889449e-14,5.495787858170471e-15,-5.368500990907421e-15,6.716487134605878e-14,-7.610051112755212e-14,-7.953624162558507e-15,4.947666836717584e-14,1.542492328398473e-14,-1.192221003475544e-13,4.730503614983338e-14,9.250673820093846e-15,-5.624610528725515e-14,-2.131105270123047e-14,6.300392786243934e-15,-5.408498880170864e-14,-7.643900788679773e-15,-8.995840233532589e-14,-1.463784250794953e-14,-4.627526894674404e-14,-2.074762179634769e-14,9.135888631281646e-14,-1.613835284639432e-13,-8.025729197183248e-14,3.742057456345412e-14,-1.114032964344415e-14,3.544783632529173e-14,1.413000064328503e-13,-2.008618910005506e-15,-1.168937173302077e-13,1.028503104199788e-14,2.884666782298935e-14,,,,
frozenset({'223283.9.peg.3813'}),4.107774775731291e-14,3.283798253847774e-14,-5.776930120973814e-14,0.0,-1.752083871657177e-13,-4.26052578980107e-13,-3.284837185484926e-14,1.29375582089313e-12,1.806241484630116e-14,5.25888152622715e-14,-2.95213262069491e-14,-2.735625530946637e-14,1.920900991276604e-13,-1.065781024490744e-14,4.781186851170418e-15,1.009621227363561e-13,-1.31025200607633e-13,4.973831658813254e-14,-7.740242521225145e-14,-4.529962060044925e-14,1.221860613778782e-14,-2.240560525834997e-15,-1.185219740833529e-13,-3.959190980362056e-14,-4.854700428693858e-14,-6.327294838445412e-14,5.507371896359542e-14,-1.251497936321508e-14,-8.291695916812452e-15,3.071117163848193e-14,7.448384987617417e-15,-1.893432024594848e-14,-2.519456189190747e-14,4.242507502724969e-15,-6.647946050867422e-14,-4.095030090612812e-14,8.216747243818903e-14,1.265050080992587e-14,4.302830632971483e-13,-4.263586525488504e-15,-4.08360038328616e-14,-5.85674729553528e-14,-2.516353519687287e-14,-1.399597751968968e-14,-3.251245337602485e-14,4.516931596407763e-14,8.935423389590539e-14,-2.632112364742947e-13,-2.784272534310805e-13,-1.272241794750549e-13,3.082353610775286e-16,4.0432902995787e-14,-1.200732969575458e-15,-7.122116400760928e-14,2.749009187104302e-14,1.088287692525979e-13,-3.828339677986018e-14,-3.225238150892059e-14,-7.923460909653666e-15,4.374654297632535e-14,3.08961617717997e-14,7.876942825432106e-14,4.814622587908079e-13,-1.709391210490566e-15,5.696493144659703e-15,-1.932912227725398e-14,-4.459653910127872e-14,-3.054844049837162e-14,1.74261483486232e-13,1.237964368467139e-14,2.317905040293247e-14,2.190715767143751e-14,-1.715227551310804e-15,4.249034735424598e-14,-4.174988525828188e-14,1.194305131274334e-13,-2.408053515984101e-14,2.992470177962243e-14,-5.264783342416262e-14,-2.814150384399738e-14,-8.71873958809686e-15,7.019627719748339e-14,-9.656368941007346e-15,-3.150827312819374e-14,-2.974668358402224e-14,2.996732116220347e-14,5.738097497105677e-16,1.680043619501892e-13,-1.712332239738418e-13,-2.057812652295977e-14,6.283567017332114e-15,-4.066366795692024e-13,-2.047450503339688e-13,,,,,,,
frozenset({'223283.9.peg.3927'}),4.037930009749601e-14,-8.22340729616167e-14,-6.651997409867918e-15,1.791481543174266e-14,-1.21067980791814e-13,-1.020068004401118e-13,0.0,-8.784488266500925e-14,3.636108413939965e-14,5.846368013863104e-13,1.886409735573107e-14,1.383519476756668e-13,8.315534605777598e-14,-6.51766573051145e-15,5.557061135085053e-14,1.250961753667596e-12,1.301435858037359e-13,9.5451835391305e-15,-2.967238676276996e-14,1.978902477149004e-13,-6.67365172668896e-15,1.093837974518289e-14,2.774148770174384e-14,-1.763078300747687e-14,-8.799379519650368e-15,-2.073497650822257e-14,9.454304100449504e-14,3.861224516674547e-14,1.273446077694754e-15,2.064312744917272e-14,-1.284710771459154e-14,5.546775117019943e-14,9.539318837796616e-14,1.734156788268213e-14,2.613562038116774e-13,-6.125878262573986e-14,1.294015837278973e-14,1.462435683609551e-12,-1.662287449775499e-14,2.80828149051957e-14,-3.619209766133464e-13,-2.779265582195102e-14,1.042404463859881e-13,5.228484257274073e-14,3.744068135126274e-13,1.180653390539966e-14,5.416950602445436e-14,-5.475564150951345e-14,-5.230895553629629e-14,2.310056577605594e-15,7.004175344043324e-14,6.93711493808737e-14,8.604572057054564e-14,4.916153529469584e-13,-2.292814557666843e-14,-1.158841011114345e-14,-2.845270495119218e-14,1.254704801302555e-13,-5.359829884526689e-15,-1.913221047392957e-14,-2.18938311148759e-14,-8.929796314892523e-14,2.606723556817165e-15,1.138737645369083e-14,-2.511763055071882e-14,7.863487694812744e-14,1.11009186196372e-14,8.2916337901946e-14,-3.379243343606826e-15,3.529040163503508e-13,1.333692160483657e-15,-5.825649472711972e-15,3.325726465112588e-14,3.287540799713002e-14,1.201496051926748e-14,-2.514763160215208e-13,6.017862539842098e-14,-3.041919719635878e-14,-2.756321670275061e-13,3.083532420768717e-14,2.882854707858748e-14,-9.1057334652067e-13,2.593690383799247e-13,1.716209309967105e-13,-6.191039840496122e-14,-1.308472239295965e-13,8.473087198109266e-14,-2.361293116109597e-14,-3.921444775278633e-14,-1.058984771851323e-14,-5.898922653961107e-13,-1.254500046621425e-13,-3.337354609371286e-12,,,,,,,
frozenset({'223283.9.peg.3930'}),32.53108704955329,32.54321891846856,32.54321891846875,34.83890506671014,38.9455270272697,32.54321891847236,39.01449165905359,38.93310617788434,38.93310617788552,39.01449165905388,32.48230903748508,38.93310617788441,38.93310617788413,39.01449165905216,38.93310617788473,39.01449165905303,32.48230903748541,32.54321891846893,32.54887394879737,38.93310617788521,38.93310617788497,32.5432189184685,32.54321891846907,34.83890506671029,34.83890506671035,39.01449165905195,32.5432189184691,38.94552702727029,38.90647160600727,32.54887394879913,38.93310617788592,38.90647160600822,39.01449165905237,38.93310617788444,39.01449165905198,39.01449165905208,38.93310617788507,38.93310617787939,38.93310617788536,32.54887394879803,39.01449165905162,39.01449165905252,39.01449165905209,32.54321891846857,32.5432189184689,39.01449165905304,32.48230903748584,32.74947717965972,38.93310617788514,39.01449165905213,38.93310617788576,39.01449165905152,32.54321891846847,38.93310617788498,32.54321891846872,32.54321891846821,32.48794291719115,39.0144916590511,38.93310617788504,39.01398361192466,39.01449165905181,38.93310617788575,38.93310617782608,32.5432189184687,39.01449165905146,38.93310617788523,38.93310617788531,39.01449165905019,32.54321891846811,39.01449165905219,34.83890506671057,32.51896422260624,39.01449165905278,34.8389050667105,39.01449165905404,38.93310617788525,39.01449165905363,39.0144916590529,38.93310617788453,39.01449165905244,32.54321891846805,39.01449165905324,38.80137213157916,38.93310617788466,38.9331061778837,39.01449165905233,38.93310617788544,39.01449165905187,38.9331061778848,32.54321891846867,38.93310617788364,38.93310617788477,32.48230903748536,39.01449165905222,38.93310617788488,39.01449165905336,,,,
frozenset({'223283.9.peg.5202'}),32.53108704954779,32.54321891846834,32.54321891933871,34.83890506671082,38.94552702727009,32.54321891846851,39.01449165905031,38.93310617780072,38.93310617788053,39.01449165905288,32.48230903748543,38.93310617788489,38.93310617788492,39.0144916589536,38.93310617788595,39.01449165905191,32.48230903748365,32.54321891846911,32.5488739487972,38.93310617788551,38.93310617788342,32.5432189184686,32.54321891846875,34.83890506671045,34.83890506670937,39.01449165905284,32.54321891850298,38.9455270272706,38.90647160600801,32.54887394903229,38.93310617788467,38.90647160600999,39.01449165905328,38.93310617788497,39.01449165905291,39.01449165905245,38.93310617788512,38.93310617769453,38.93310617788408,32.54887394904004,39.01449165904927,39.01449165905322,39.01449165905236,32.54321891846853,32.54321891846921,39.014491659052,32.48230903748373,39.01449165905235,32.74947717966081,38.93310617788688,39.01449165905223,38.93310617788465,39.01449165905317,32.54321891840532,38.93310617782851,32.54321891846864,32.54321891846982,32.48794291719594,39.01449165905093,39.01398361192279,39.01449165905326,38.93310617788347,38.93310617788495,32.54321891845275,39.01449165905296,38.93310617788443,38.93310617795085,39.01449166235953,39.01449165905257,32.54321891846881,39.01449165905188,34.83890506671499,32.51896422260533,39.01449165905275,34.83890506671035,39.01449165905262,38.93310617788156,39.01449165905232,39.01449165905215,38.93310617788491,39.01449165905321,32.54321891846757,39.01449165905242,32.48230903748519,38.8013721315787,38.93310617788067,38.9331061778848,38.93310617788429,39.01449165905218,38.93310617796699,39.01449165905281,38.93310617788534,32.54321891845244,38.93310617788554,32.4823090374849,39.01449165905202,38.93310617788472,39.01449165905303,,
frozenset({'PSPTOA0036'}),32.53108704955248,32.5432189184687,32.54321891846989,34.83890506671018,38.94552702724445,32.54321891846912,39.01449165905323,38.9331061778844,38.93310617788399,39.01449165905233,32.48230903748691,38.933106177884,38.93310617788594,39.01449165905297,38.9331061778848,32.48230903748487,32.54321891846922,32.54887394880179,38.93310617797026,38.9331061778862,32.54321891846883,32.54321891846845,34.83890506671086,34.83890506671072,39.01449165905207,32.54321891846931,38.94552702727231,38.9064716060069,32.54887394879633,38.93310617788502,38.90647160600788,39.0144916590524,38.93310617788476,39.01449165905244,39.01449165905264,38.93310617788548,38.93310617788482,38.93310617788523,32.54887394879908,39.01449165905251,39.01449165905505,39.01449165905197,32.54321891846838,32.54321891846919,39.01449165905252,32.48230903748519,39.01449165901752,32.74947717966081,38.93310617788481,39.01449165904943,38.93310617788468,39.01449165905336,32.54321891846755,38.93310617435677,32.54321891846976,32.54321891847174,32.48794291719078,39.01449165904948,38.93310617788431,39.0139836119246,39.01449165905261,38.93310617788494,38.93310617788519,32.54321891846864,39.01449165905285,38.93310617788437,38.93310617788516,39.01449165905256,39.01449165905272,32.54321891846785,39.01449165905382,34.83890506676932,32.51896422260636,39.01449165905259,34.83890506671106,39.0144916590518,38.9331061778846,39.01449165832645,39.01449165905081,38.93310617788307,39.0144916590531,32.543218918469,39.01449165905321,32.48230903748693,38.80137213158842,38.93310617788558,38.93310617788443,38.93310617789029,39.01449165905255,38.93310617788467,38.93310617788451,32.54321891846799,38.93310617788446,38.93310617908525,32.48230903748318,39.01449165905289,38.93310617787983,39.01449165905161,,
frozenset({'PSPTO_0062'}),32.53108704955643,32.54321891850591,32.54321891846902,34.83890506671074,38.94552702727002,32.54321891846835,39.01449165905314,38.93310617788413,38.93310617788516,39.01449165905313,32.48230903748507,38.9331061778846,38.93310617788591,39.0144916590528,38.93310617788472,39.01449165905302,32.48230903748437,32.54321891846898,32.54887394879898,38.93310617788505,38.9331061778848,32.54321891846916,32.54321891846866,34.83890506670844,34.83890506671033,39.0144916590519,32.54321891846813,38.94552702726909,38.90647160600751,32.54887394879914,38.93310617788484,38.90647160600827,39.01449165905276,38.93310617788411,39.01449165905106,39.01449165905134,38.93310617788561,38.93310617788538,38.93310617788494,32.54887394879913,39.01449165905229,39.01449165905298,39.01449165905183,32.5432189184687,32.54321891847004,39.01449165905337,32.48230903748542,39.01449165905171,32.74947717965922,39.01449165905346,39.0144916590521,32.54321891846917,38.93310617788583,32.54321891846927,32.54321891846826,32.4879429171917,39.01449165905328,38.93310617788565,39.01398361192328,39.01449165905377,38.93310617788503,38.93310617788508,32.54321891846915,39.01449165904953,38.93310617788483,39.01449165905323,39.01449165905197,32.54321891846853,39.01449165905184,34.83890506671072,32.51896422260619,39.01449165905275,38.93310617788457,39.01449165905267,39.01449165905221,38.9331061778852,39.01449165905253,32.54321891846904,32.48230903748541,38.80137213157774,38.93310617788409,38.93310617788415,38.93310617788486,39.01449165905336,38.93310617788435,39.01449165905291,32.54321891846858,38.93310617788448,38.9331061778855,32.4823090374862,39.01449165905095,38.93310617788428,39.0144916590523,,,,,,,
frozenset({'PSPTO_0073'}),32.53108704955326,32.54321891846493,32.54321891846873,34.83890506671145,38.94552702726963,32.54321891847095,39.01449165905363,38.93310617788428,38.93310617788551,39.01449165905276,32.48230903748567,38.93310617788451,38.93310617788413,39.01449165905222,38.93310617788474,39.01449165905306,32.48230903748591,32.543218918469,32.54887394879695,38.93310617788504,38.93310617788452,32.54321891846865,32.5432189184687,34.8389050667105,34.83890506671659,39.01449165905195,32.54321891846956,38.94552702727029,38.90647160600801,32.54887394879808,38.93310617788597,38.90647160600829,39.01449165905293,38.93310617788505,39.01449165905201,39.01449165905228,38.93310617788501,38.933106177882,38.93310617788472,32.54887394879898,39.0144916590522,39.01449165905261,39.01449165905203,32.54321891846763,32.54321891847018,39.01449165905313,32.48230903748539,39.01449165905423,32.74947717965534,38.93310617788498,39.01449165905206,38.9331061778858,39.01449165905171,32.54321891849694,32.54321891846899,32.54321891846934,32.48794291719091,39.01449165905127,39.01398361192418,39.01449165905183,38.9331061778854,38.93310617788527,32.54321891846866,39.01449165905213,38.93310617788534,38.93310617788531,39.0144916590523,39.01449165905162,32.54321891846794,39.01449165905238,34.83890506671538,32.51896422258621,39.01449165905274,34.83890506671077,39.01449165905444,38.93310617788502,39.01449165905262,38.93310617788453,39.01449165905192,32.54321891847122,39.01449165905324,32.48230903748517,38.80137213157749,38.93310617788466,38.93310617788386,38.93310617788521,39.01449165905193,38.93310617788494,38.93310617788487,32.54321891846837,38.9331061778848,38.93310617788361,32.48230903747883,39.01449165905323,38.93310617788491,39.01449165905343,,,,
frozenset({'PSPTO_0075'}),1.909823564898216e-11,2.961111489623565e-13,-4.155795479356124e-12,-1.174268847064532e-12,4.35491976229978e-12,-1.109671027204598e-12,-1.219598966514399e-11,4.339810483048999e-12,3.779806271779504e-11,-1.746170998298803e-12,3.289220448905431e-28,-1.169689267862587e-11,6.898288590303971e-12,-3.90506765735038e-12,-7.357102470688083e-12,8.230850132725906e-12,3.748965292156939e-11,-1.519896547342461e-12,-1.871144384555877e-12,3.184057288328772e-12,2.743071362323079e-12,-4.383373576716813e-12,8.050771968790935e-12,1.306352605259664e-12,1.612051100489761e-12,8.850965743398206e-12,-2.895294169972053e-12,-7.175270633964391e-12,1.396622642085095e-11,1.659139197096645e-11,5.317063863244189e-12,-1.361439280116493e-12,-7.704367283792292e-12,-9.011728509709222e-12,1.020063502572103e-11,1.879703976492087e-11,9.117809073191545e-12,9.797644642243686e-12,-7.35655433963903e-12,-5.313514870372757e-12,-1.065848516825819e-14,6.165467421709682e-11,4.395124402116394e-12,6.12130350563949e-12,4.264948235328889e-12,5.614667601297341e-12,4.052331553185801e-16,2.931230678259455e-12,-2.917667035000198e-28,-1.646590649887349e-11,6.634319863698982e-12,-1.367807895334502e-12,4.298303124245879e-12,4.05407998245567e-11,-3.169205110880703e-12,-1.223961592714403e-11,6.377882567402598e-12,-1.168487927784769e-11,2.608036055567756e-10,8.552926348066053e-13,7.945395741749698e-12,2.919059786119889e-12,-6.612488853062023e-12,-9.85665662639811e-12,-2.725729561923384e-12,-1.107529511859512e-11,-3.919159274655633e-13,1.260762426544081e-11,-1.245142980308947e-10,2.537030790307731e-11,-5.761979697819824e-11,6.299936801994509e-12,5.563744374330967e-12,-5.310312417328962e-11,5.311293375445711e-12,-3.590892879573611e-12,-1.048794787166609e-11,3.626386474346855e-11,-6.122446937606388e-12,-3.788766529669242e-12,-3.327301508070172e-12,3.190625793623042e-12,3.301614441925065e-12,-1.46786879547419e-11,-1.553307727155262e-12,-4.801137686008506e-12,6.024642914508369e-12,-6.378699229932927e-12,-9.985395104590176e-12,-1.189826242755305e-12,6.941158123338236e-12,4.975622955887094e-15,-2.651879298212369e-12,7.349785074581142e-12,2.643470680056581e-12,1.365982177992849e-11,-1.934751179108785e-11,1.287182292848107e-11,5.126331190002942e-12,-4.349070109274675e-13
frozenset({'PSPTO_0080'}),2.876524852567412e-14,1.701090200063203e-11,-4.457805194122583e-27,2.022684958870027e-13,-1.227836562804707e-14,-1.57121236430392e-12,1.657406009129454e-13,2.471310989153936e-26,3.06262440306412e-16,2.360629107373372e-13,0.0,2.680647522407515e-12,8.533865623262499e-14,9.433239702619364e-13,5.333046489735782e-12,-5.843441243369446e-14,4.193192440815179e-14,1.763712620189384e-14,-9.194891890916828e-12,3.395162961269507e-12,4.349254592509577e-12,-4.175751194896351e-13,2.572714174713772e-12,-3.691450626425347e-14,2.090111766787256e-14,-5.878541712705258e-16,-1.546878171508415e-14,1.752226332794792e-14,1.919553089297169e-14,-2.542773639768347e-14,-1.666632818350725e-13,3.961621278465483e-12,-3.246678742168687e-13,-1.334952580016461e-26,-3.4540872354146e-13,-6.647964289450426e-13,-3.277626954218346e-12,1.645180346913718e-14,3.260066105847704e-12,-4.487841985730768e-13,-2.422981751425099e-12,1.147789120350311e-14,1.118088111560552e-12,-1.58934277332537e-14,-4.290711702470876e-14,-7.320713731283958e-12,3.992737995306716e-17,1.713123866782248e-11,3.198721033431756e-15,8.937951771036693e-15,-9.435767554966221e-14,-2.387432629835908e-12,-1.409331467193685e-14,-1.781107426090793e-12,-1.601174081335363e-11,2.43233339804197e-14,-4.438072906445851e-14,-6.348733272053732e-14,6.784420816798042e-12,-5.071836240747745e-14,-7.333411968061284e-14,-3.37789976249378e-14,-9.492332606946251e-12,3.745578562329733e-14,8.229942565738907e-14,6.602370623950983e-12,-1.206314584355428e-14,-1.995985447378333e-14,1.393468568609974e-10,3.125652731375839e-14,5.969087394258723e-15,1.603666210777079e-14,-1.221941811249804e-14,1.292921060546841e-11,-1.311391362335709e-14,1.282664127522802e-26,-4.262203898543034e-12,1.837886307795401e-28,8.440156648091912e-16,1.520589773717792e-11,-1.499195470966371e-12,8.304051261150964e-12,-4.142083900360781e-27,-1.40596040672786e-14,2.470224107232823e-13,-1.363360975886078e-14,3.534840957863943e-14,7.59728651180202e-15,3.106183805966743e-12,8.717322146336024e-13,9.051924134000698e-11,-3.082564979191804e-13,4.700666117845056e-12,6.997850526594629e-15,,,,,,
