ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),-6.004051931739278e-16,-7.40973448102809e-16,1.830940124697684e-15,-1.00747633425027e-15,6.998269587235145e-17,1.258923369529614e-17,-3.670973890515065e-16,5.765787909128253e-16,1.928885688906368e-14,7.01797119156681e-17,-4.779163626403828e-16,-2.695287490984369e-16,-8.644217645971983e-20,1.264823055025808e-16,3.026390550487869e-17,-7.852158120629784e-17,-1.684399424049126e-16,0.0,2.086881081560807e-16,1.269783466192183e-16,-7.366911208185476e-16,2.402548397977876e-16,-5.156509960837826e-17,1.426509550657179e-16,2.070356458366051e-17,-1.036464372298704e-15,1.669793785635907e-16,-5.338919554697397e-17,-2.266374309592081e-17,2.242977829752945e-16,-1.938527884138015e-15,6.075285102155069e-16,3.627653535774142e-16,9.233641892318713e-16,-1.730429557976157e-16,2.601037529012925e-31,-2.19938474422474e-16,1.318520503449017e-15,-4.288906824005811e-16,8.425332075882464e-31,-5.836211676683639e-16,-1.561932543072514e-16,1.443537373458468e-17,4.876149506655559e-32,-1.268995284519268e-16,-3.473291553925347e-15,-8.324523826249953e-18,1.239961896693719e-17,-1.266026861742784e-16,-6.244241845587806e-17,-7.446451317394951e-16,-2.50030582172054e-16,-4.348406769237268e-16,1.751898837414039e-17,-5.681120757846512e-16,2.65975688149787e-16,-9.365536767542025e-16,4.865448574734344e-31,-6.339141860322341e-16,-2.870615117469523e-16,-5.33988981818136e-16,9.796743191499647e-16,9.962320773518064e-16,-6.028747848137957e-17,-7.197830417323863e-16,5.420809313403654e-17,8.603010819472191e-16,4.796028215851846e-16,5.672871447325896e-17,-6.921281307754795e-18,9.671024212106278e-17,-2.440103500065033e-16,1.028419581730124e-15,5.299917052451738e-16,-1.2961578798505e-18,-8.423315123094482e-16,-5.820049658965021e-16,-2.497794479275604e-15,1.396149548747511e-15,-8.379272976954508e-16,4.879248169326476e-16,6.434261122206206e-16,-6.709853254891277e-16,5.474404199459031e-16,6.414921340025514e-15,1.651388080424005e-16,2.270322329633801e-17,-7.597433336715705e-16,-4.319699098399185e-16,1.354530306665956e-15,-5.305518128334438e-16,9.754354628264797e-16,-1.161087392072771e-16,4.995983595752842e-16,6.177691141318961e-14,1.420489886053919e-14,4.654785692003419e-17,,,
frozenset({'223283.9.peg.3813'}),2.000159113677265e-16,5.93194499458446e-16,-3.085552407505151e-16,1.372915138193658e-14,0.0,-1.656763458120073e-15,7.895737032810624e-17,7.744244206522457e-16,9.31479480420629e-18,4.914574170555757e-16,1.829741515912051e-15,1.221541208618417e-16,-6.514051310354884e-16,4.834921179425622e-16,-6.808851444948736e-16,-6.54215753964149e-16,6.077939751177918e-16,-2.253946541357224e-16,6.0913340909117e-16,3.511591903612031e-16,-3.397561281729586e-17,-3.734026915253785e-16,-9.864661286546734e-16,-2.270924822318161e-16,-1.022747125703434e-16,2.651912415597321e-17,2.195063934695969e-15,3.41607600241391e-16,1.513453732992167e-15,1.160197252038331e-15,9.251880687243252e-17,-1.258841653670349e-15,2.1416120180325e-16,9.118469443397906e-16,9.702693692931408e-16,-2.655872353668435e-15,3.860352659437094e-16,-7.798422027951984e-16,1.94193610311372e-15,8.442810685662776e-16,-2.593707315864703e-16,-8.195359212020827e-17,8.30691054798076e-16,2.418424543356008e-16,4.242557948280686e-16,1.575430856855054e-16,-1.71989691696013e-15,6.424516023665885e-16,1.194476353522551e-17,-2.896878950999559e-17,5.816848669604307e-16,6.679670057356874e-17,-1.697961743984529e-16,-1.204179107282944e-15,-5.214646616262872e-16,1.729440087141465e-18,7.732282150668324e-16,9.104420012828492e-15,8.826452201620838e-16,-1.235879092048046e-31,8.117774564349131e-16,-3.325699750517292e-16,-3.17949418359675e-16,9.371716871293465e-16,7.618015698828302e-16,-1.444418733347872e-16,5.624442134434632e-16,1.700760372245383e-18,-1.285658491005089e-16,4.170033984902473e-16,3.243920839362197e-16,-2.697364176666106e-16,7.250367551837327e-16,7.036802884986748e-16,-1.1205614729052e-16,-2.658290539921995e-16,7.043784412095412e-17,-5.238382552262319e-17,3.944365906757435e-17,-7.787583629128672e-16,3.160266734611702e-17,6.873960682024703e-17,1.845892399705051e-16,-2.65136436609109e-17,1.346493623455757e-15,-7.159953306736919e-16,-2.34555162646625e-18,-6.426715297412169e-16,3.277601205972896e-16,4.828169990456961e-17,5.748359030400055e-16,4.367662773795688e-16,-2.451664403889085e-16,,,,,,,
frozenset({'223283.9.peg.3927'}),-7.006696662545662e-16,1.465275966090538e-16,-5.039455710854564e-16,3.823833928410601e-16,-3.104997416222118e-19,-5.747285452147338e-16,-3.753060035613264e-16,7.658243288140529e-16,1.8727079285501e-15,-2.950970805280702e-16,-9.59408989418503e-16,-9.80350238543325e-16,4.185913251680396e-16,9.813892221824435e-16,1.763614908865418e-15,8.313238101563092e-16,1.224296089725785e-16,2.673734914793581e-16,-5.052820761998434e-16,-2.887096941026488e-16,2.210392736081082e-33,2.023078760256431e-17,1.421333335771062e-15,-3.046800619184409e-16,-5.369143987822126e-15,-4.04661264887022e-16,-8.702393151798562e-16,-9.49636672569479e-17,2.50053758480427e-16,3.624922824600976e-16,1.119957258597908e-15,0.0,-2.494020021616547e-17,-1.937513835824946e-15,1.168120315029211e-15,2.682205593125796e-16,1.722944823943442e-16,3.478511802852907e-16,-2.665042608251009e-16,1.052218055576826e-16,-1.589889077659588e-16,-4.115415001814693e-16,-1.134175620415511e-15,5.294413223021736e-14,-5.182820266432447e-17,-5.842338430931851e-16,-8.877062112523324e-16,-1.390110216206868e-16,-8.836429510811346e-17,1.397599344072177e-16,3.947509477715304e-16,-5.064352275534015e-18,1.087475081788462e-15,1.020192249584323e-15,-2.653168576389007e-16,3.765292169364766e-16,-1.760295791587637e-14,-9.202108302364511e-17,-6.225179606879507e-16,1.386035390795883e-15,7.554793237912099e-16,1.938280538901513e-15,-1.817097943972775e-16,-6.395555640897727e-33,7.938773161813219e-16,-1.054312838936826e-15,2.034211774974778e-15,-3.266018361559295e-16,4.784136884656033e-16,2.074825126558688e-15,1.88385242083667e-16,-8.201191832110104e-19,7.416498561711896e-16,1.606678824353024e-16,2.022367203299902e-15,1.195647252317151e-16,-3.465108848119142e-16,1.820323091310975e-16,-1.044257324301705e-15,1.90822871642047e-15,3.553607997662403e-16,8.856408727312605e-16,-7.797996025019916e-16,8.342106215493703e-16,7.920187536348358e-17,3.989653814820713e-16,-9.999327144442137e-17,4.297543561801177e-16,1.323543390663218e-15,-1.43308063705796e-16,-7.972280168604699e-17,-6.295437148538981e-16,-2.75739290215791e-17,1.384855397307925e-15,6.751754726960473e-16,,,,,
frozenset({'223283.9.peg.3930'}),2.808610662079897,2.809658081624723,2.809658081624665,2.914758080476847,3.098642130542693,2.809658081624706,3.10934853224123,3.097653884391097,3.097653884391226,3.109348532241255,2.804399353538138,3.097653884391272,3.097653884391217,3.109348532241238,3.097653884391139,3.109348532241355,2.804399353538067,2.809658081624822,2.810146315493154,3.097653884391251,3.09765388439129,2.809658081624667,2.809658081624751,2.914758080476865,2.914758080476822,3.109348532241287,2.809658081624646,3.098642130542641,3.095534744846421,2.810146315493265,3.097653884391216,3.095534744843111,3.108353446228996,3.097653884391258,3.108353446229083,3.108353446228999,3.097653884391227,3.097653884391222,3.097653884391259,2.810146315493253,3.107358996928616,3.108353446229073,3.109348532241256,2.809658081624698,3.108353446229058,2.804399353538026,3.109348532242336,2.827465637537007,3.097653884391265,3.097653884391231,3.109348532241213,2.809658081624663,3.097653884391237,2.809658081624716,2.804885761341914,3.108353446229208,3.097653884391054,3.104088775472519,3.109348532241246,3.097653884394057,3.097653884391221,2.809658081622656,3.097653884391249,3.0976538843912,3.108353446229053,3.108353446229116,2.809658081624671,3.108353446229066,2.807564023184896,3.108353446229063,2.914758080476905,3.106219647061239,3.097653884391233,3.108353446229036,3.109348532241268,3.097653884391215,3.109348532241225,2.80965808162495,3.108353446229122,2.804399353538036,3.087172663646365,3.097653884391266,3.097653884391235,3.108353446229127,3.097653884391246,3.109348532241074,3.097653884391122,2.809658081624641,3.097653884391195,2.804399353538058,3.108353446229033,3.097653884391191,3.106219647061165,,,,,,,
frozenset({'223283.9.peg.5202'}),2.808610662079911,2.80965808162478,2.809658081624663,2.914758080476878,3.098642130542677,2.809658081624736,3.109348532241254,3.097653884391331,3.097653884391355,3.109348532240054,2.804399353538016,3.097653884391217,3.097653884391241,3.109348532241021,3.097653884391243,3.109348532241262,2.804399353537999,2.809658081624686,2.810146315493214,3.097653884391253,3.097653884391276,2.80965808162471,2.809658081624729,2.914758080476923,2.914758080476886,3.109348532241256,2.809658081624685,3.098642130542705,3.095534744842956,2.810146315493266,3.097653884389838,3.095534744843133,3.108353446229059,3.097653884391216,3.108353446228854,3.108353446229061,3.097653884391212,3.097653884391317,3.097653884391114,2.810146315493252,3.107358996928596,3.108353446228992,3.109348532239918,2.80965808162467,2.80965808162472,3.108353446229041,2.804399353538102,3.109348532240567,2.827465637537017,3.097653884390892,3.109348532241253,3.097653884391131,3.109348532241187,2.809658081624676,3.097653884391256,2.809658081624659,2.809658081626504,2.804885761341954,3.108353446229069,3.097653884391204,3.104088775472523,3.109348532241224,3.09765388439131,3.097653884391251,2.809658081624594,3.108353446229225,3.097653884391226,3.108353446229064,3.108353446229721,2.809658081624665,3.108353446229045,2.914758080476909,2.807564023184511,3.108353446229066,2.914758080476895,3.106219647061208,3.097653884391211,3.108353446229077,3.10934853224127,3.097653884391197,3.109348532241221,2.809658081624903,3.108353446228675,2.80439935353807,3.087172663643426,3.097653884391942,3.097653884391085,3.097653884391202,3.108353446229025,3.097653884391269,3.10934853224121,3.097653884391327,3.097653884391259,2.804399353538026,3.108353446229113,3.097653884391244,3.106219647060998,,,
frozenset({'PSPTOA0036'}),2.808610662079798,2.809658081624654,2.809658081624652,2.914758080476878,3.098642130542779,2.809658081624676,3.109348532241289,3.097653884391223,3.097653884391235,3.109348532241236,2.804399353537988,3.097653884391225,3.097653884391272,3.109348532241224,3.109348532241249,2.804399353538118,2.809658081624681,2.810146315493282,3.097653884391233,3.097653884391214,2.809658081624448,2.809658081624653,2.914758080476938,2.914758080476811,3.109348532241283,2.809658081624701,3.098642130542721,3.095534744843089,2.810146315494635,3.097653884391178,3.0955347448431,3.108353446229096,3.097653884400021,3.108353446229025,3.108353446229067,3.097653884391206,3.097653884391259,2.810146315493251,3.107358996928637,3.10835344622906,3.109348532241276,2.80965808162455,2.809658081624728,3.108353446229103,2.804399353538014,3.10934853224127,2.827465637536979,3.097653884391243,3.109348532241222,3.097653884391257,3.109348532241162,2.809658081624474,3.097653884391194,2.809658081624673,2.809658081624729,2.804885761342043,3.108353446229041,3.097653884391256,3.104088775472575,3.109348532241266,3.097653884391231,2.809658081624708,3.108353446229031,3.097653884391236,3.108353446229109,3.10835344622901,3.108353446229055,2.914758080476926,2.80756402318448,3.108353446229086,2.91475808047686,3.106219647061225,3.097653884391234,3.108353446229124,3.109348532241218,3.097653884391265,2.809658081624616,2.804399353538068,3.08717266364408,3.097653884391228,3.108353446229093,3.097653884391164,3.109348532241241,3.097653884391208,2.809658081624608,3.097653884391224,3.097653884391244,2.804399353538001,3.108353446229064,3.097653884391241,3.106219647061275,,,,,,,,,
frozenset({'PSPTO_0062'}),2.808610662079951,2.809658081624597,2.809658081624667,2.914758080476897,3.098642130542702,2.80965808162469,3.109348532241368,3.097653884391202,3.097653884391245,3.109348532241249,2.804399353539166,3.097653884388088,3.097653884391498,3.109348532241274,3.097653884391338,3.109348532241223,2.804399353538008,2.809658081624657,2.81014631549326,3.097653884391251,3.097653884391751,2.80965808162465,2.809658081624697,2.914758080476678,2.914758080476871,3.109348532241277,2.809658081624615,3.09864213054276,3.095534744843056,2.810146315493286,3.097653884391178,3.095534744843094,3.108353446229055,3.097653884391136,3.108353446229046,3.108353446229064,3.097653884391284,3.097653884391304,3.097653884391222,2.8101463154933,3.107358996928649,3.108353446229051,3.109348532241273,2.809658081624705,2.809658081624687,3.1083534462291,2.804399353538061,3.109348532241298,2.827465637535777,3.097653884391226,3.097653884391262,3.109348532241241,2.809658081624698,3.097653884391216,2.809658081624672,2.809658081626403,2.804885761341988,3.108353446228957,3.09765388439124,3.104088775472516,3.109348532241255,3.097653884391211,3.097653884390559,2.809658081624677,3.10835344622908,3.097653884391209,3.097653884391787,3.108353446228901,3.108353446229104,2.809658081624648,3.108353446229122,2.914758080476818,2.807564023184459,3.108353446229035,2.914758080476874,3.106219647061172,3.097653884391242,3.108353446228858,3.10934853224122,3.097653884391228,3.109348532241024,2.809658081624693,3.108353446230743,2.804399353538042,3.087172663643397,3.097653884391173,3.097653884391602,3.108353446229148,3.097653884391191,3.109348532241855,3.09765388461606,2.809658081624676,3.097653884391273,2.804399353538059,3.108353446229057,3.097653884391259,3.106219647061188,,,
frozenset({'PSPTO_0073'}),2.808610662079926,2.809658081624657,2.809658081624685,2.914758080476869,3.098642130542707,2.809658081624654,3.109348532241254,3.097653884391206,3.097653884391355,3.109348532241318,2.804399353538637,3.097653884391229,3.097653884391242,3.109348532241273,3.097653884391233,3.109348532241223,2.804399353537994,2.80965808162468,2.810146315493249,3.097653884391259,3.097653884390401,2.809658081624666,2.914758080476868,2.914758080476857,3.109348532241203,2.809658081624764,3.098642130542703,3.095534744843222,2.810146315499136,3.09765388439118,3.095534744843094,3.108353446229039,3.097653884391204,3.108353446229062,3.097653884391192,3.097653884391248,3.097653884391218,2.810146315493253,3.107358996928649,3.108353446228999,3.109348532241172,2.809658081624637,3.108353446229074,2.804399353538089,3.109348532241298,2.827465637536969,3.097653884391475,3.109348532241234,3.097653884391257,3.109348532241229,2.809658081624818,2.80965808162478,2.804885761341986,3.108353446229191,3.097653884391243,3.104088775472547,3.109348532241256,3.097653884391293,3.097653884391221,2.809658081625263,3.108353446229021,3.09765388439121,3.097653884391232,3.108353446229129,3.108353446229104,2.809658081624623,3.108353446229075,2.914758080476886,2.807564023184419,3.108353446229083,2.914758080476854,3.106219647061172,3.097653884391213,3.108353446229095,3.10934853224123,3.097653884390861,3.109348532241285,2.809658081624709,3.108353446229045,2.804399353538063,3.087172663643392,3.097653884391244,3.097653884391284,3.108353446229165,3.097653884391188,3.109348532241293,2.809658081624689,3.097653884391266,3.097653884391264,2.804399353538006,3.097653884391214,3.106219647058905,,,,,,,,
frozenset({'PSPTO_0075'}),-1.373473454791204e-14,0.0,5.070421375415587e-14,-9.302293204089934e-15,-5.824065550143316e-15,-6.635929492826639e-14,-1.977273635590606e-13,-2.243573923018389e-13,1.978122554222226e-13,-3.604296478537033e-14,-2.181834193967738e-14,-1.570941062941207e-14,-2.727154281542618e-15,6.366027701680272e-14,2.143552929663556e-15,-2.897309212028209e-14,6.14557255092626e-16,-5.219946865417449e-14,-1.334134466737411e-13,1.113564659342194e-14,5.93787113322724e-15,4.174437565551397e-13,9.89622292121787e-15,1.300307600069112e-14,-6.257242568706574e-15,-2.61867036565293e-14,2.006915597436314e-15,-1.42349778834457e-14,2.521183562726278e-16,2.378404366678579e-15,-1.638290782179877e-13,3.807025850617706e-13,-1.569928215351473e-13,1.694766905441964e-15,6.175116508498613e-15,3.562966587103067e-16,-9.664754201378647e-15,-5.852682506446516e-14,-5.186821283892121e-13,-9.684838986822504e-15,-4.548183599388173e-16,4.364082560237431e-14,1.078824008315273e-13,3.608812401638966e-13,2.649905586869122e-14,-3.728441205363525e-14,1.842728786907934e-14,1.837893228455243e-14,6.382535533697577e-14,2.514676626419353e-13,-9.07499073212921e-15,-2.990641025293782e-14,-2.329310531154456e-14,-2.255076027772657e-15,-5.42759221534374e-14,-1.298708833992694e-15,-2.057506401348822e-14,4.221324883464581e-16,-1.892212290785074e-14,-3.851613441070177e-14,7.598981973140664e-14,1.734601837066181e-13,-8.690604336084239e-17,7.446985649221933e-46,1.188486360973547e-14,-1.809046550043827e-15,-6.896112730118382e-14,4.995954238003426e-14,-9.049263451194506e-14,-4.704231672903838e-14,-1.951806428450865e-15,2.030363198671719e-15,-1.15788686453785e-14,-1.188486360973163e-14,-2.031329046871393e-14,4.043137117043365e-13,1.430845705915849e-14,-5.54102772431579e-14,-9.13396604703275e-15,-2.81123640592478e-14,-1.24100892250695e-14,1.179587723443643e-14,-6.6774523632651e-13,1.097005909633203e-16,-1.95471628126285e-15,2.338734563290074e-14,1.290670649473773e-14,,,,,,,,,,,,,
frozenset({'PSPTO_0080'}),-6.389174298865232e-14,-1.473180332188873e-14,-6.077829209433802e-14,-2.816061522899794e-17,-1.782313839484688e-16,0.0,2.467667726794615e-15,5.705155897991894e-16,-3.496375117434796e-16,-1.10661749449558e-15,-5.45314184811926e-16,1.24339907467164e-15,9.793862112944711e-15,-6.678745682595945e-14,-1.772983918969551e-14,3.70585854518393e-16,-1.665953974046264e-13,-2.975725007645538e-29,7.491867300675661e-16,1.182737950730615e-15,-5.299803236057434e-14,-5.29795585390703e-14,-1.420221733117237e-30,-2.83898403441628e-16,-2.568313514024776e-16,5.310487829724455e-17,-1.129236551626443e-13,-1.302942219807012e-30,1.458964049329369e-16,7.027895305726692e-16,-1.953540722901379e-14,2.80515997393045e-16,-3.247439492461941e-16,-6.393416911086519e-14,3.737242300866733e-16,-1.027196592516207e-14,-1.643531705281516e-16,-6.685466233367901e-16,-6.306666364447789e-16,1.764193991115053e-16,7.459297094595885e-16,-2.749021273038202e-14,-5.992928903345989e-14,6.614739208955945e-16,1.263729101469981e-14,-5.297867656337587e-14,-8.087083312679516e-17,6.682510208692992e-14,2.221286748698491e-17,-3.437196668756571e-17,2.104979124859988e-14,-4.656733568373925e-17,-3.860846516386207e-17,-3.212598149748609e-14,1.570239234306158e-28,8.962828667136042e-16,9.925927689602685e-17,1.026558879021813e-15,1.097445850455918e-16,-4.223644676586208e-17,-3.165536891438701e-29,7.900772433816925e-30,-1.260039759926183e-17,-8.362548218598192e-14,-6.199280692341942e-16,-6.428190612142932e-14,3.701565244087077e-14,3.303295719957069e-15,4.666069436938635e-14,-1.628548163526942e-16,-1.066067482566653e-14,-5.993013399607204e-14,1.071236089069647e-28,4.855152931372543e-17,-8.394578961104742e-14,3.67595371792884e-16,-6.360976736994418e-16,-2.907559185628796e-16,7.007841550332337e-16,1.990338666112723e-16,-7.954255425377549e-17,4.250717003128147e-16,4.126815740620411e-14,-1.029528264900048e-16,-1.96686817281369e-16,1.758833097310465e-13,-2.215141813549141e-16,-3.653356449397738e-16,-1.293312348580472e-15,8.121191418299264e-17,-2.330085662437275e-16,8.220890884508262e-16,3.825412102400998e-15,1.007007302770801e-16,,,,,,
