ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),7.859425252705215e-16,-8.258703216387946e-16,-1.708157403068129e-15,1.819188680732085e-16,2.008563388934827e-15,4.429855424395507e-16,-6.635314925103296e-16,7.357377152495089e-17,-9.240106450287403e-16,1.280621318530948e-16,-1.005670642267968e-15,1.029807068961398e-15,-7.898593133742083e-16,2.00152245308443e-17,-2.186229302087467e-16,-2.222021868737309e-15,-4.396304810826288e-17,-1.7659524171601e-16,5.642997563873402e-17,-4.251811430454511e-17,5.817853160966624e-16,9.567053899538117e-17,-7.638681165586169e-15,2.464696030728787e-16,-3.886648488632816e-17,-1.107500155390509e-16,1.120729534415134e-15,9.984124512453297e-16,-6.745370838294654e-16,-1.715820195866416e-15,9.26630368883704e-16,-1.338811625988042e-16,5.651103110341223e-18,7.737576089978047e-15,1.150011648912329e-16,1.230230522308439e-15,1.360019646450578e-15,-3.430692308785028e-16,1.465633283464644e-15,0.0,-5.574105639761947e-16,-5.516613169940061e-17,-8.194018700207463e-17,-4.110890107116583e-31,-1.394540162777593e-32,-3.980208234698392e-16,-3.922423590776988e-16,6.878492611156106e-17,-3.016422711171956e-16,1.864867095542826e-15,-8.604588706074637e-17,1.284810054895794e-15,1.272095716862778e-15,8.981354178664092e-16,4.009585136975258e-16,3.091097775135042e-16,7.17987279777359e-17,1.110803262743853e-15,9.296490178270363e-18,-7.019127174714511e-16,5.815076712825144e-16,4.368604612881705e-16,-1.376299839546356e-17,6.23603080611469e-16,-9.54218799870902e-16,6.596261575870355e-16,3.451901332169699e-15,-1.057049250587921e-15,9.240277762081436e-16,-7.129659035719786e-16,-8.721435913259503e-16,-1.948423156438551e-16,-1.072832191346153e-13,-7.640830479827556e-16,2.351732471982363e-16,-7.897843890456074e-16,6.620568612919893e-17,1.716600380329242e-16,5.414358161216552e-16,7.771384179431225e-16,9.87482866221134e-19,2.719851842431513e-17,8.675237701503736e-17,-7.777186910520888e-29,4.808836251192736e-17,1.158920575804525e-15,3.354389837592607e-16,8.043989365139785e-15,4.226023476218592e-16,-2.881817486558098e-16,1.529102624553047e-15,9.131622390706842e-16,6.356388146437652e-17,8.314146813675275e-17,2.450082347333162e-14,-3.570233874667712e-17,,,,
frozenset({'223283.9.peg.3813'}),8.758306657124994e-16,1.894395372239047e-14,1.589824229705149e-16,9.582498533334238e-16,-1.198957700232685e-16,-1.101607114487037e-15,-4.180765679692388e-16,1.165671061157312e-16,1.188202126030582e-15,0.0,3.883530218630612e-14,-2.305179750941692e-16,-4.245813962063038e-31,1.887101201623615e-15,-4.640064425872078e-15,7.637722952588927e-16,-1.097902977445428e-15,2.375926754244671e-16,5.480855373025569e-16,4.944889345177089e-16,1.906972270740474e-16,-2.834560920663059e-16,1.13974877334351e-15,4.96070564180429e-16,9.3163659489417e-17,-2.614256679125327e-16,8.197026039513679e-16,2.217052839479997e-17,1.437345276968297e-16,1.788911290725438e-15,-3.290436046803682e-16,-4.225367994796527e-16,2.326660889340181e-16,-1.131814766565051e-16,-2.043859942493899e-16,2.116779342827532e-16,3.748348889798037e-16,5.333765082587932e-17,3.668834540367954e-17,1.759213056621505e-15,-1.793800902534585e-15,-1.869822678087806e-14,1.764414181776813e-16,-8.761805120062247e-16,2.123489592624483e-18,2.568865635772655e-16,1.393808620778114e-15,-5.291670985065238e-17,-4.680445850068473e-16,1.132752236726685e-16,-1.048928214601035e-15,2.406032632748517e-17,-1.863413474683544e-15,2.247662802292247e-13,4.19890787822737e-16,-5.702038920489434e-17,-1.244582738346961e-15,-6.288748690753416e-16,1.365327912488849e-15,-1.004735557619753e-18,9.859904254363168e-15,-3.09644819233497e-16,1.090210178239805e-16,-8.658150971897164e-16,7.579004303736268e-16,4.47930913672028e-16,7.356563547390333e-16,-4.895952630594825e-16,1.179748454298571e-15,3.624235378596454e-16,1.835112597532777e-16,-3.43966050032814e-16,2.500616477501658e-16,7.05908018629197e-16,-4.635405134199085e-16,-8.971712785023278e-15,7.619184616536528e-17,-4.761991444354117e-16,5.621712879128239e-16,1.198669472347542e-15,1.041059264528004e-14,-7.140358077500899e-16,-4.732018192282202e-16,-1.394222640704272e-16,-9.573237769721141e-18,2.7607762423782e-16,-2.987063638669369e-16,5.049105867735502e-15,2.762985791452046e-30,1.309727277881995e-15,-5.893723081972998e-16,2.519378791501819e-16,5.817652503903999e-16,-1.451962330859564e-15,-1.269625488942539e-15,1.056866185020277e-14,,,,
frozenset({'223283.9.peg.3927'}),-9.176850943463364e-17,-1.151207680961996e-15,-7.808017180395559e-16,-1.32463812715234e-15,-7.90624550620005e-16,4.536162118066615e-17,-4.381811742992743e-16,-2.938012368698429e-17,-8.729781243126615e-16,8.494056625454441e-17,1.688955204236643e-15,-1.626700721533995e-17,-7.130108689662478e-16,-6.118849775012409e-17,0.0,-4.380406904633332e-16,-1.023837442375708e-15,7.232283312709097e-17,6.585016010149491e-16,-6.923239162958877e-16,-6.26619334557993e-16,-1.382828015203019e-14,4.093860608502225e-16,1.849934753967176e-17,1.107500155390509e-16,-5.422810271504478e-16,8.332371170371786e-16,-1.918213419515174e-16,-1.619954891564793e-15,-6.624858866528557e-16,-9.866742036263847e-16,5.690217990451922e-16,1.852910665292356e-13,9.958306238142337e-17,6.534041818220777e-16,-4.800836008282613e-16,-1.378259810043821e-15,-1.47165606630403e-16,4.681010347743497e-16,4.373003993648801e-16,-5.945761894382349e-16,-1.469642462516326e-15,7.51971704199525e-17,9.448895645148369e-16,-5.618951739550616e-17,7.453316935368434e-16,-2.398826883841536e-16,1.816831149184399e-16,-1.520746641368514e-15,9.718128750547213e-16,-1.676351626801192e-16,2.051392227935312e-16,2.217811062201785e-17,6.548563685537315e-17,-7.019127174714511e-16,5.815076712825144e-16,3.289611477127204e-17,-1.881334541979498e-17,-2.89252499003493e-16,-5.175445593937256e-16,-6.622190892021288e-16,-2.513994625112804e-16,9.240277762081436e-16,2.037045438777082e-16,-4.941824838618899e-16,4.03413062233853e-16,-5.390831141032589e-16,2.401909002781765e-17,-3.045189629799287e-16,9.06048648519552e-16,-2.284361327534179e-19,3.124071571639013e-16,-6.763614507271496e-16,1.699651843051195e-17,-1.465732486833761e-16,-7.483555135748588e-16,2.476867874119896e-15,1.608134256931037e-16,1.783609682200815e-15,2.407925070400669e-17,-2.497711410170675e-15,2.024492735680772e-16,-1.423837277036128e-16,2.466985713817022e-16,-6.127174640771194e-16,1.052164941814388e-17,-1.265855774782011e-16,-1.659987996571829e-15,-1.795217456030602e-16,1.811142140800902e-15,-3.912539677023658e-17,-1.451420433882758e-14,1.231363386016183e-16,,,,,,,
frozenset({'223283.9.peg.3930'}),2.800288589509176,2.801331372384766,2.801331372384775,2.906533518155472,3.090914843434076,2.801331372384788,3.101594545876548,3.089929061736921,3.089929061736486,3.101594545876575,2.796095911876056,3.089929061736857,3.089929061736862,3.101594545876582,3.089929061736922,3.101594545876521,2.796095911876152,2.801331372384762,2.801817444571888,3.089929061736917,3.089929061736599,2.801331372384759,2.801331372384796,2.906533518155421,2.906533518155454,3.101594545876564,2.801331372384728,3.090914843434089,3.087815206826047,2.801817444571851,3.089929061736929,3.087815206825998,3.100601941375603,3.089929061736919,3.100601941375636,3.100601941375384,3.089929061736886,3.089929061736908,3.089929061736943,2.801817444571814,3.099609971998639,3.100601941375634,3.101594545876572,2.801331372384745,2.801331372384666,3.100601941375665,2.796095911876172,3.101594545876561,2.819059923961746,3.101594545876578,3.089929061736952,3.089929061736878,2.801331372384753,2.801331372384757,2.796580168745266,3.100601941375697,3.089929061737456,3.09634790570825,3.101594545876545,3.089929061736875,3.089929061736894,2.801331372385104,3.100601941375582,3.089929061736864,3.100601941375887,3.100601941375652,2.801331372384736,3.100601941375606,2.906533518155482,2.799246582687103,3.100601941375624,2.906533518155474,3.098473463402725,3.089929061736871,3.100601941375668,3.101594545876613,3.089929061736909,2.801331372384769,3.100601941375574,2.796095911875925,3.079473978696696,3.089929061736911,3.089929061736906,3.089929061736937,3.100601941375654,3.089929061736873,3.101594545876622,3.089929061737004,2.801331372384771,3.089929061736897,3.089929061736812,2.796095911876147,3.100601941375593,3.098473463402689,,,,,,
frozenset({'223283.9.peg.5202'}),2.8002885895092,2.801331372385013,2.801331372384781,2.906533518155493,3.090914843434128,2.801331372384072,3.101594545876526,3.089929061736905,3.089929061739315,3.101594545876539,2.796095911876152,3.089929061736888,3.089929061736902,3.101594545876583,3.089929061736898,3.101594545876497,2.796095911876128,2.801331372384497,2.801817444571844,3.089929061736924,3.089929061736926,2.801331372384755,2.80133137238477,2.906533518155462,2.906533518155447,3.101594545876545,2.801331372384796,3.090914843434055,3.087815206826043,2.801817444571859,3.08992906173688,3.087815206826025,3.100601941375617,3.089929061736886,3.100601941374512,3.100601941375619,3.08992906173683,3.089929061736895,3.08992906173694,2.801817444571789,3.099609971998653,3.100601941375682,3.101594545876565,2.801331372384681,2.80133137238473,3.100601941375575,2.79609591187622,3.101594545876586,2.819059923961746,3.089929061736884,3.101594545876546,2.801331372384814,2.801331372384794,2.801331372384743,2.796580168745255,3.100601941375661,3.089929061736882,3.096347905708282,3.101594545876557,3.089929061736913,3.089929061736649,2.801331372384787,3.100601941375603,3.089929061736906,3.089929061736925,3.10060194137554,3.100601941375681,2.801331372384769,3.10060194137563,2.906533518155478,2.799246582687047,3.100601941375634,2.906533518155553,3.098473463402707,3.089929061736872,3.100601941375646,3.101594545876521,3.101594545876509,2.801331372384762,3.100601941375581,2.796095911876173,3.079473978696696,3.089929061736894,3.089929061736892,3.100601941375662,3.089929061736921,3.101594545876553,3.089929061736859,2.801331372384804,3.08992906173695,2.796095911876193,3.100601941375598,3.089929061736887,3.098473463402728,,,,,,
frozenset({'PSPTOA0036'}),2.800288589509121,2.801331372384744,2.801331372385081,2.906533518155472,3.090914843434087,2.801331372384781,3.10159454587657,3.089929061736874,3.089929061736891,3.10159454587655,2.796095911876167,3.089929061736882,3.089929061736887,3.101594545876552,3.089929061736923,3.101594545876521,2.796095911880287,2.801331372384763,2.80181744457182,3.089929061736917,3.089929061736669,2.801331372384413,2.80133137238478,2.906533518155478,2.906533518155449,3.101594545876634,2.801331372384745,3.090914843434089,3.087815206826037,2.801817444571851,3.089929061736894,3.087815206825997,3.100601941375574,3.089929061736919,3.100601941375667,3.100601941375694,3.089929061736908,3.08992906173686,3.089929061736945,2.80181744457266,3.09960997199866,3.100601941375635,3.101594545876572,2.801331372384804,3.100601941375668,2.796095911876216,3.101594545876581,2.819059923961797,3.089929061736925,3.101594545876548,3.089929061736948,3.101594545876562,2.801331372384761,3.089929061736933,2.801331372384753,2.801331372384719,2.796580168745266,3.100601941375624,3.08992906173687,3.096347905708209,3.101594545876566,3.089929061736913,2.801331372384725,3.100601941375825,3.089929061737229,3.089929061736857,3.1006019413865,3.100601941375639,2.801331372384749,3.100601941375675,2.9065335181555,2.799246582687101,2.906533518155473,3.098473463402728,3.089929061736902,3.100601941375527,3.101594545876557,3.101594545876574,2.801331372384771,3.100601941375597,2.796095911876225,3.079473978697239,3.089929061736906,3.089929061736947,3.100601941375653,3.089929061736872,3.101594545876559,3.089929061736914,2.801331372384718,3.089929061736953,3.089929061736883,2.796095911876221,3.100601941375617,3.089929061736864,3.09847346340269,,,,,
frozenset({'PSPTO_0062'}),2.800288589509173,2.801331372384732,2.801331372384936,2.906533518155438,3.090914843434104,2.801331372384791,3.101594545876714,3.089929061736763,3.089929061736864,3.101594545876566,2.796095911876143,3.089929061736919,3.089929061736953,3.101594545876575,3.089929061736906,3.101594545876599,2.796095911875986,2.801331372384501,2.801817444571831,3.089929061736916,3.089929061736889,2.801331372384769,2.801331372384733,2.906533518155464,2.90653351815562,3.10159454587655,2.801331372384754,3.090914843434117,3.087815206826006,2.801817444571818,3.089929061736905,3.087815206826076,3.100601941375617,3.089929061736908,3.100601941375681,3.10060194137565,3.089929061736876,3.089929061736872,3.089929061736894,2.801817444572054,3.099609971998663,3.100601941375548,3.101594545876559,2.801331372384937,2.801331372384876,3.10060194137569,2.796095911876196,3.101594545876581,2.819059923961743,3.089929061736866,3.101594545876495,3.089929061736835,3.10159454587653,3.08992906173723,2.801331372384772,2.801331372384767,2.796580168745227,3.100601941375589,3.089929061736853,3.096347905708224,3.101594545876552,3.089929061736921,3.089929061736931,2.801331372385176,3.100601941375621,3.089929061736995,3.089929061736875,3.100601941375603,3.100601941375624,2.801331372384717,3.100601941375619,2.906533518155527,2.799246582687079,3.100601941375644,2.906533518155425,3.098473463402689,3.089929061736878,3.100601941375648,3.101594545876594,3.089929061736941,3.101594545876561,2.801331372384746,3.100601941375637,2.796095911876173,3.079473978696606,3.089929061736944,3.089929061736855,3.10060194137561,3.089929061736873,3.101594545876548,3.089929061736938,2.801331372384749,3.08992906173695,3.0899290617369,2.796095911876154,3.100601941375615,3.089929061735885,3.098473463402182,,
frozenset({'PSPTO_0073'}),2.800288589509179,2.801331372384757,2.801331372384791,2.906533518155448,3.090914843434084,2.801331372384748,3.101594545876629,3.089929061736903,3.089929061736936,3.101594545876546,2.79609591187618,3.089929061736869,3.089929061736382,3.101594545876543,3.089929061736871,3.101594545876614,2.796095911876215,2.801331372384775,2.801817444571856,3.089929061736839,3.08992906173691,2.801331372384726,2.801331372384777,2.906533518155461,2.906533518155464,3.101594545876559,2.801331372384744,3.090914843434109,3.087815206826084,2.801817444571816,3.089929061736868,3.087815206826038,3.100601941375641,3.089929061736931,3.100601941375603,3.100601941375628,3.089929061736848,3.089929061736824,3.089929061737719,2.801817444571842,3.099609971999353,3.100601941375594,3.101594545876585,2.801331372384809,2.801331372384695,3.100601941375595,2.796095911876194,3.101594545876517,2.819059923798734,3.089929061736942,3.101594545876568,3.089929061736755,3.101594545876591,2.801331372384765,2.801331372384766,2.801331372387609,2.796580168781863,3.100601941375576,3.089929061736851,3.096347905708265,3.1015945458766,3.089929061736887,3.089929061736821,2.80133137238475,3.100601941375627,3.08992906173689,3.10060194137563,3.10060194137561,2.801331372384793,3.100601941375996,2.906533518155437,2.799246582687032,3.100601941375636,2.906533518155457,3.098473463402682,3.089929061736933,3.100601941375646,3.101594545876557,3.089929061736926,3.101594545876528,2.801331372384727,2.79609591187622,3.079473978696598,3.089929061736916,3.08992906173688,3.089929061736904,3.100601941375655,3.089929061736886,3.0899290617369,2.80133137238492,3.089929061736826,3.089929061737325,2.796095911876141,3.10060194137559,3.089929061736929,3.098473463402688,,,,
frozenset({'PSPTO_0075'}),7.13892568025936e-12,5.977513525104106e-16,0.0,7.49900667431856e-15,2.62084512567126e-14,1.559414248100175e-14,6.671607076838357e-15,-9.471021046124373e-14,2.894756832527113e-14,-7.21736080535517e-17,2.922159657349112e-15,3.89200152191389e-16,-3.183520515749577e-15,-2.449475846049242e-14,4.891725281235764e-14,1.024998946768096e-14,3.037868993564366e-13,3.739757530638167e-13,-3.537520150076019e-14,4.299152353932771e-14,-3.209589848669916e-14,-9.320125228950869e-16,3.341037486879153e-14,4.962877969067518e-12,1.172613408837303e-15,1.188644655174479e-14,-3.533966550812412e-15,-1.697150413399883e-14,-3.717739796241778e-14,-2.585729026356869e-14,2.635003348324397e-14,-6.900644802754359e-14,2.275959460596992e-14,-2.401182501204036e-15,-2.444253932536465e-12,-2.656938468101406e-15,-2.553177075897067e-16,1.869423604072529e-13,3.23885381773542e-16,1.362292193825172e-14,-1.842777812381216e-15,-7.832289094575871e-13,-1.37307743180232e-29,2.645681820287698e-15,6.476669561235652e-15,-2.236956494847383e-14,-4.376514993126359e-31,1.527362114829942e-16,-6.745500567305199e-15,7.796595032825363e-20,-2.707174453410224e-14,-4.987325158672559e-14,-2.142708589509785e-14,-4.176085609205251e-14,7.289819207976928e-16,-2.656546709050687e-14,1.578574838083166e-14,2.51696040649119e-14,-4.591423892744218e-14,3.107505131532859e-14,1.800631565256172e-15,-4.604751701038733e-14,7.952829153007206e-14,1.079013732402089e-14,1.079877911450639e-14,-7.120635618647677e-14,4.391940242964363e-16,-1.276305131874712e-17,-1.124050561927665e-15,2.952724430482324e-16,-5.984126029197791e-14,1.384696585599734e-15,-2.405448022432517e-13,-6.956274821082355e-14,1.104283587075957e-15,-7.600663185729856e-14,1.813338853275755e-15,-4.985293267129838e-15,-1.426264052524173e-14,-6.867634390687041e-15,1.016670615752551e-14,7.10761507926724e-14,-3.109520729280353e-15,-3.781997665563146e-12,6.586400133315512e-14,5.150997140266338e-15,-7.759516103305626e-14,1.800908061638361e-14,1.869135849926344e-14,-1.020355467473057e-14,1.667453769954768e-15,1.292689592184492e-12,1.325273398990214e-14,-8.301076620748735e-15,-3.433512686301574e-15,,,,,
frozenset({'PSPTO_0080'}),5.755846385712446e-29,-6.445787309180732e-14,-2.189167274751077e-15,1.378522487940083e-15,-4.346433697049882e-18,5.037902942803391e-16,0.0,-7.971223844706261e-16,2.944733097234674e-16,-1.005736544655198e-30,6.644719375603425e-15,6.959351792389602e-16,-1.329545299495075e-18,-5.672515860979746e-14,3.032532160293168e-29,-4.619401837438719e-17,8.057732358817619e-29,-9.215860768606112e-16,-5.641630831788024e-17,1.086033836680376e-15,-9.397167706306618e-14,-6.923882563202244e-16,8.830955370097746e-16,3.244583900909983e-16,2.321532374534742e-14,1.753203953803642e-16,5.097966167420694e-16,-6.89725913170903e-30,-1.264734325718779e-15,4.839532995899501e-14,-7.64060757880067e-17,3.794621223889189e-17,-1.024030273402394e-15,-4.630854619468142e-16,-3.362615323500469e-17,7.818543826505444e-17,6.218077158995476e-16,-1.141139829913541e-14,6.753152351513776e-16,1.228639411689435e-15,-6.006480556401876e-16,2.785189719152652e-14,-6.25186886317702e-15,-8.026524475714095e-17,-6.631200814950862e-16,8.035136213590942e-17,1.481081453137863e-15,-2.315332822983315e-17,-1.663142063143844e-15,5.238942797854178e-16,-6.794470490585214e-16,1.729929539836005e-30,3.626659376044919e-16,-8.328768356887845e-33,-3.423640431838357e-16,1.16385677990793e-15,-5.297955853907019e-14,7.583772409124176e-29,-7.062472612684248e-29,-2.532470451882555e-14,1.867894053183792e-16,9.846046865247526e-16,-7.162934862907003e-16,3.762137332046185e-28,3.448150000282142e-17,7.718001225318688e-16,4.228832887180678e-15,-1.086671067145134e-13,-5.989305591513726e-15,1.640902094842981e-16,3.384253785672398e-16,-1.71970392765379e-15,-1.265556446296085e-16,7.943535933785499e-16,-1.323904472167977e-18,-3.965408316896594e-17,7.793504836983464e-16,5.465324800462753e-16,6.111486972756225e-14,1.123422876867035e-16,-1.596934460781485e-17,-3.21812917568881e-18,7.405825691934023e-16,-3.849425429184206e-14,2.232620117382998e-14,-1.633961151785522e-15,-1.775661397193134e-13,-1.241836598786699e-16,2.657614750780141e-16,9.711886285015931e-15,-3.035337642150474e-14,2.505052866230031e-14,1.59700937671115e-16,1.654258043951471e-15,,,,,,
