ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),-4.125359975941296e-15,9.00373833402905e-14,-2.520017328458647e-16,-1.508929347230339e-15,0.0,1.754937312206261e-15,-1.436247145065273e-14,-5.08560452116641e-18,-5.787943702581071e-16,3.124983768032792e-16,-3.83529384841375e-15,-1.011693975027356e-20,8.686090721090567e-17,-2.693945824557433e-15,1.316824448851379e-17,6.673552456851681e-16,-3.980361299933328e-15,-8.38818617296853e-14,-2.561889765898972e-13,-1.408718767880396e-17,-3.454812333503777e-15,-4.55500486319064e-14,7.112991798527948e-15,-5.218912281888747e-16,8.024375178804319e-15,-9.742161210955584e-15,6.041267656333413e-16,-1.002239837202179e-15,-9.939889616993813e-16,1.06613609091929e-17,-3.06096516479982e-15,3.732048846781869e-15,-7.573491241212017e-16,3.543885720246243e-15,2.795681537048538e-14,2.287143682012272e-15,-8.405496692659731e-16,-1.019641129975157e-14,7.769292954090754e-15,7.033908954436e-16,-5.858637395509629e-16,1.809426814642061e-15,-1.114321968763106e-15,7.810562533315909e-15,-3.302872137307804e-15,3.342806065188572e-13,-9.04010755398697e-15,8.495120809433837e-15,-8.508747888558e-16,1.057601904672603e-14,1.077194217842469e-15,5.601037938648968e-15,-5.268918033383082e-14,-5.830772203836003e-16,8.793157751343536e-14,-1.488250428469312e-14,6.263037787988145e-15,2.066390170426658e-14,-4.176448189742704e-15,8.64533124775276e-16,1.136252668394199e-14,3.049574837627032e-15,-3.525020996014072e-15,2.504939471695155e-14,-2.588040770994261e-17,1.089046617865207e-18,-6.727466704097066e-15,3.209336588702376e-15,1.100510838164353e-15,2.00931085312892e-16,-2.696168117124118e-15,4.764723438988666e-17,-1.202313759358083e-15,1.091027428193604e-15,5.786286336892239e-16,-1.144749246836683e-30,-2.668553263098099e-14,-2.673319784072273e-15,-2.250267058100217e-15,9.881161680020751e-16,-7.027670279900454e-32,2.456927869958869e-15,6.351009943551168e-18,1.688919018904539e-16,-4.107978336980397e-17,-2.448233651879942e-15,3.115595912902954e-16,-6.883349032448647e-15,7.534576562292359e-15,-1.286952421144318e-15,-2.70961142386332e-16,-9.230742858218974e-15,-1.230028285714719e-15,-3.987331527565661e-16,3.072919217372089e-15,,,,,
frozenset({'223283.9.peg.3813'}),0.0,2.864349197589524e-15,2.485540612604257e-15,-2.684380936142065e-15,3.639202181287556e-18,3.832886795504605e-15,-1.060320219513374e-15,-2.976943410619867e-15,-4.15083578127182e-18,5.572799531458838e-16,-3.389435377583154e-15,-2.371569492800589e-17,-1.412979002250119e-16,-1.919591850140178e-15,-1.490449174434842e-15,3.219989304684506e-16,1.421274076815571e-15,3.091343974934653e-16,4.639085269659578e-15,-1.143541575801364e-15,1.206553031428477e-14,1.655307675459338e-15,-3.803923348009251e-14,-1.331299435293751e-15,-4.005894238143478e-15,1.013469998158588e-14,8.1524196742455e-17,9.57759086474919e-17,6.595631248447818e-15,2.515233194066355e-16,-3.37783229333376e-15,-1.027676272840237e-19,-1.829289281546749e-16,-2.084076649774434e-15,1.741628809259425e-15,-2.354269327600655e-17,3.10192969139106e-16,1.055657025204218e-14,-1.293335306281906e-14,2.537501373567303e-16,-2.079318318287326e-15,1.624293455789401e-15,8.704406191191549e-18,7.895859597668017e-15,3.498506432126033e-15,-2.949751111738441e-15,-4.673000921154009e-15,-1.048252524484944e-14,-2.625913372439227e-32,2.783795342110707e-15,8.75716208296672e-16,-1.908067019033266e-15,-1.749977807002839e-16,1.166333280870503e-15,-5.704790046403408e-15,1.649722175565985e-15,8.93816733222409e-16,1.108813453667887e-15,-8.058855282812368e-15,3.437740326977365e-17,3.23224061594475e-16,-1.639532924107045e-15,-3.372912312755563e-16,-1.030771247400537e-15,-7.761306979483241e-18,-1.396660642239758e-15,3.438859377072276e-16,1.380024511920285e-14,3.664751850516085e-15,-6.297237090458871e-15,-8.12622602209689e-16,2.724275782167827e-15,7.132404806874494e-16,2.090386125442381e-15,-1.204453592337011e-16,-5.173754965456972e-15,6.935773449318139e-16,-5.568496309788571e-18,-5.480454310940968e-16,5.911548782648301e-15,-1.544607681795416e-15,-4.684296142312509e-15,-1.39358484767686e-15,2.042832673094201e-16,-8.263841027393864e-15,-2.07441594982854e-15,4.849618280243011e-15,-1.92367405897917e-18,8.828699243263593e-16,-1.300049579018797e-15,1.790190862293826e-15,-1.30537965735094e-18,3.985502083730114e-15,-1.546622550908121e-15,-7.865388670207399e-30,-1.117175235837581e-15,-1.688910696750237e-15,,,
frozenset({'223283.9.peg.3927'}),1.952397593083547e-13,6.326166853599629e-15,0.0,-3.933837943638159e-15,6.044327184439821e-16,1.403174457256288e-14,-2.695958969017137e-15,-4.256051194406493e-15,-3.067317803721749e-15,1.709662783903528e-28,2.642730250524582e-15,-2.906266039547967e-15,4.692385440180726e-17,-8.448987006055825e-15,2.413962090226648e-13,-1.536708724908177e-15,1.807852178498528e-15,4.608888905958728e-15,-2.154871933569192e-15,5.373356804947889e-15,1.335360585777208e-14,1.604014570655014e-14,-5.520372618373423e-17,-4.765031813881438e-15,6.11318876880854e-17,8.010361530761537e-17,-5.786571544524317e-15,-4.081902757020508e-16,2.549497689099485e-15,-5.366206273615405e-16,-2.208758781592039e-17,-3.133722669668039e-15,-2.028960556537094e-14,-5.36473035380554e-16,2.523129240982265e-15,-1.234118813838594e-15,-1.392924576910606e-13,-1.221998612163145e-15,7.419256669824782e-17,-1.117734623318713e-15,-1.386686890953529e-21,8.48550465602591e-16,-2.603841037034602e-15,4.668550459262161e-15,-8.305571622500427e-18,1.705875492519965e-16,5.900665540190907e-15,9.807960071524516e-18,-4.817213867784992e-16,6.983825539549813e-15,-8.240575971481331e-15,-1.00706186939009e-15,-2.060052315624242e-15,-1.047417838694738e-15,3.355803083285011e-16,2.484692345476073e-14,-1.965962763110294e-15,1.702471503479031e-15,-4.436169542942366e-15,-2.225543368483841e-16,-2.482124160726968e-16,-6.550002344946683e-13,2.873998311338522e-15,3.143749845230317e-15,-9.20769691201617e-15,-3.710404775060998e-15,-1.813178049430088e-15,6.981575956158677e-15,-1.448789871100375e-15,-1.018685919805797e-14,-1.077958025087381e-14,6.414591160318388e-14,5.165239368997707e-16,1.27805998431081e-15,-6.582948669546637e-15,-4.643574075487236e-16,-2.230973229654648e-16,1.1424807107136e-15,-1.005521199871719e-15,-1.245202565877032e-15,1.812994495086278e-15,-1.632704669238871e-15,-6.998253007748217e-18,-4.776457865440756e-15,1.29900893261583e-14,-4.034676787393351e-17,-8.593547855781537e-18,1.014263999602819e-16,,,,,,,,,,,,
frozenset({'223283.9.peg.3930'}),3.220858058311292,3.22205921791899,3.222059217917997,3.449342531917999,3.855916267183989,3.222059217919067,3.86282095634178,3.854686504517308,3.854686504516784,3.86282095634175,3.216028614616468,3.854686504516733,3.854686504522045,3.862820956341793,3.854686504516811,3.862820956341757,3.216028614616677,3.222059217919072,3.222619114671989,3.854686504516866,3.85468650451678,3.222059217919108,3.22205921791908,3.449342531918036,3.449342531918012,3.862820956341751,3.222059217919064,3.855916267183833,3.852049470515347,3.222619114671991,3.854686504516817,3.852049470515482,3.862820956341838,3.854686504516751,3.862820956341789,3.862820956341892,3.854686504516578,3.854686504516764,3.854686504516738,3.222619114671963,3.862820956341843,3.862820956341802,3.862820956341819,3.222059217919063,3.862820956341771,3.216028614616451,3.862820956341866,3.242480563865475,3.854686504516786,3.862820956342462,3.85468650451679,3.862820956341804,3.222059217919104,3.854686504516749,3.222059217919058,3.21658641727533,3.862820956341777,3.854686504516701,3.862694012371017,3.854686504516854,3.854686504516771,3.222059217919003,3.862820956345155,3.854686504516629,3.854686504516766,3.862820956341984,3.222059217919091,3.862820956341882,3.44934253191802,3.219657793936458,3.862820956341858,3.449342531918035,3.862820956341874,3.854686504516948,3.862820956341878,3.854686504516833,3.862820956341815,3.222059217919065,3.216028614616044,3.841643788423881,3.854686504517496,3.854686504516835,3.854686504516761,3.854686504516798,3.862820956341701,3.854686504516776,3.222059217919018,3.854686504516711,3.854686504516802,3.216028614616527,3.862820956342011,3.854686504516748,3.862820956341716,,,,,,,
frozenset({'223283.9.peg.5202'}),3.220858058311352,3.222059217918154,3.222059217919087,3.449342531918042,3.855916267183215,3.222059217919106,3.862820956341748,3.854686504516726,3.85468650451683,3.862820956347541,3.216028614616468,3.854686504516759,3.854686504516771,3.862820956341817,3.854686504516786,3.8628209563419,3.216028614616566,3.222059217919039,3.222619114671978,3.854686504516887,3.854686504516784,3.222059217919038,3.22205921791908,3.449342531918011,3.449342531918022,3.862820956341897,3.222059217919017,3.855916267184104,3.852049470515413,3.222619114671932,3.854686504516749,3.852049470515559,3.862820956341886,3.854686504516767,3.862820956341927,3.862820956341694,3.854686504514502,3.854686504517174,3.854686504516742,3.222619114671948,3.862820956341763,3.862820956341744,3.862820956341823,3.222059217918972,3.222059217919001,3.862820956341801,3.216028614616532,3.862820956341827,3.242480563865463,3.854686504516769,3.862820956342132,3.854686504516755,3.862820956341642,3.222059217919173,3.854686504515626,3.222059217919064,3.222059217918996,3.216586417275363,3.862820956341765,3.854686504516777,3.862694012371021,3.862820956342398,3.854686504516848,3.854686504516766,3.222059217919111,3.86282095634179,3.854686504516817,3.854686504516689,3.862820956341804,3.862820956342395,3.222059217919067,3.862820956342457,3.449342531918071,3.219657793936431,3.862820956341777,3.449342531918212,3.862820956341885,3.854686504516731,3.86282095634177,3.862820956341473,3.854686504516839,3.862820956341858,3.222059217918995,3.862820956341773,3.21602861461652,3.841643788424055,3.854686504516762,3.854686504516797,3.854686504516729,3.862820956341914,3.854686504517136,3.862820956342109,3.854686504516715,3.222059217919123,3.854686504517049,3.216028614616408,3.862820956341739,3.854686504516764,3.862820956341825,
frozenset({'PSPTOA0036'}),3.220858058311278,3.222059217919037,3.22205921791907,3.449342531918079,3.855916267184058,3.222059217919027,3.862820956341723,3.854686504516771,3.854686504516792,3.862820956341781,3.21602861461653,3.85468650451677,3.854686504516803,3.862820956341786,3.854686504516726,3.862820956341892,3.216028614616378,3.222619114671966,3.854686504516744,3.854686504516862,3.222059217919071,3.22205921791914,3.449342531918081,3.449342531918643,3.222059217919019,3.855916267184128,3.852049470516019,3.222619114671981,3.854686504516743,3.852049470515597,3.862820956341895,3.854686504516797,3.862820956341815,3.862820956341823,3.854686504516755,3.85468650451682,3.854686504516751,3.22261911467194,3.862820956341819,3.86282095634181,3.862820956341338,3.222059217919083,3.222059217919047,3.86282095634171,3.21602861461648,3.862820956341939,3.242480563865328,3.854686504516785,3.86282095634182,3.854686504516776,3.86282095634179,3.222059217919096,3.854686504516707,3.222059217919021,3.222059217919315,3.216586417275336,3.862820956341828,3.862694012371042,3.862820956341863,3.85468650451684,3.854686504516738,3.86282095634177,3.85468650451674,3.854686504516781,3.862820956341788,3.862820956341838,3.22205921791906,3.862820956341784,3.449342531918092,3.219657793936407,3.862820956341767,3.449342531918012,3.862820956341802,3.854686504516864,3.862820956341843,3.85468650451672,3.862820956341812,3.222059217919077,3.841643788424079,3.854686504516693,3.85468650451666,3.862820956341817,3.85468650451676,3.862820956341919,3.854686504516713,3.222059217918996,3.854686504516823,3.854686504516817,3.216028614616473,3.862820956341792,3.854686504516758,3.862820956341861,,,,,,,,
frozenset({'PSPTO_0062'}),3.220858058311268,3.222059217919102,3.222059217919051,3.449342531918211,3.855916267184027,3.222059217919081,3.862820956341837,3.85468650451696,3.854686504516781,3.862820956342079,3.216028614616604,3.854686504516617,3.854686504516782,3.862820956341923,3.854686504516764,3.216028614616518,3.222059217919076,3.22261911467195,3.854686504516827,3.854686504516809,3.222059217918998,3.222059217919079,3.449342531918043,3.449342531918138,3.862820956341711,3.222059217919116,3.85591626718407,3.852049470515323,3.222619114671987,3.854686504516797,3.85204947051546,3.862820956342138,3.854686504517476,3.862820956341684,3.862820956341737,3.854686504516829,3.8546865045167,3.85468650451676,3.222619114672022,3.862820956341911,3.862820956341893,3.862820956341785,3.22205921791904,3.86282095634179,3.216028614616493,3.86282095634273,3.242480563865458,3.854686504516716,3.862820956341781,3.854686504516708,3.862820956341841,3.854686504516768,3.222059217918922,3.216586417275174,3.86282095634183,3.854686504517221,3.862694012371394,3.862820956341967,3.854686504516825,3.854686504517707,3.222059217918956,3.862820956341741,3.854686504516837,3.854686504516671,3.8628209563419,3.862820956341905,3.222059217919027,3.862820956341816,3.449342531918066,3.219657793936438,3.862820956341822,3.449342531917982,3.854686504516792,3.86282095634184,3.862820956341765,3.854686504516847,3.862820956341875,3.222059217919072,3.862820956341868,3.216028614613825,3.841643788424017,3.854686504516806,3.854686504516756,3.85468650451672,3.862820956341787,3.854686504516766,3.862820956341718,3.222059217919062,3.85468650451677,3.854686504516808,3.216028614616509,3.862820956341859,3.854686504516588,,,,,,,
frozenset({'PSPTO_0073'}),3.220858058311268,3.222059217919102,3.222059217919049,3.44934253191803,3.855916267184562,3.222059217919078,3.862820956341805,3.854686504516753,3.854686504517405,3.862820956342093,3.216028614616679,3.854686504516946,3.854686504516724,3.862820956341782,3.854686504516751,3.862820956341851,3.216028614616525,3.222059217919079,3.222619114671958,3.854686504516771,3.85468650451666,3.222059217919024,3.449342531918058,3.449342531918085,3.862820956341635,3.222059217919116,3.855916267184113,3.852049470515347,3.222619114671987,3.854686504516748,3.85204947051549,3.862820956341857,3.854686504516639,3.86282095634168,3.862820956341832,3.854686504516838,3.85468650451676,3.854686504516819,3.222619114672022,3.86282095634188,3.862820956341852,3.86282095634175,3.222059217919022,3.862820956341768,3.216028614616441,3.862820956341733,3.242480563865447,3.854686504516613,3.862820956341203,3.854686504516779,3.862820956341806,3.222059217919053,3.854686504516765,3.222059217917806,3.222059217917471,3.21658641727529,3.854686504516739,3.862694012371093,3.862820956341869,3.854686504516836,3.222059217919124,3.86282095634178,3.854686504516797,3.854686504516667,3.862820956342382,3.862820956341902,3.222059217919027,3.862820956341939,3.449342531918052,3.219657793936431,3.862820956341825,3.449342531917982,3.86282095634199,3.854686504516796,3.862820956341849,3.862820956341863,3.854686504516982,3.862820956341784,3.222059217919077,3.216028614616493,3.841643788423972,3.854686504516736,3.854686504516762,3.854686504516801,3.862820956341791,3.854686504520477,3.862820956341848,3.854686504516691,3.854686504516665,3.854686504516651,3.216028614616504,3.86282095634182,,,,,,,,
frozenset({'PSPTO_0075'}),2.509441795441362e-13,2.255772287571777e-15,1.589612641650436e-14,2.609188711554366e-13,-5.75618013856203e-14,-5.267481567536328e-13,2.39539543017399e-13,9.76436063153559e-14,-3.079165826126893e-14,9.03237836416072e-31,-1.339956785937873e-12,2.534262011704112e-16,5.800711220137055e-14,2.836741711634567e-13,4.879565382195624e-13,1.870813786021698e-13,-1.307979362425339e-13,-6.505218171254154e-13,-1.004352959578522e-13,1.948468115713011e-13,3.766013291817208e-15,1.692167023963155e-13,1.004122848603843e-13,-1.105334759263621e-12,1.019553484195798e-13,1.216135641371126e-12,1.824245996685459e-13,1.873895391425425e-15,1.351109868956999e-13,-9.484517735267963e-13,5.816503076614865e-15,2.034809067017232e-13,-4.951510949501704e-13,5.39452438570773e-17,5.3764497962578e-15,1.031642025588026e-12,-9.792813472936132e-16,4.098606283883219e-15,3.499470951712311e-14,7.057834407307684e-14,1.032173869302528e-13,-1.017938496706703e-13,-2.37830634916813e-14,-3.0987604850617e-12,-1.240855803067075e-12,-1.00296856257983e-12,3.029629120077937e-13,7.662041453001739e-13,-1.95396911878883e-14,1.441780035041614e-12,-2.120328969980909e-13,1.879828360348219e-12,-4.267336576576931e-14,2.693452852089621e-13,-6.986358740511468e-14,1.681728672529728e-13,8.16433296609352e-14,3.807993583115239e-13,-3.197711483638734e-13,-4.404291800708556e-13,-2.541560909462103e-13,-6.850026990390512e-14,-9.708352086521785e-15,0.0,1.788402513615965e-12,-1.625001587252769e-13,-1.857257273710266e-16,1.024492521291788e-15,-1.070486957462582e-12,4.523189016744942e-13,-2.06092893139336e-14,-2.886768517169295e-12,-3.180366198713341e-14,-2.468748134838103e-13,-6.096791134053802e-14,-3.370951799677867e-12,8.586317120941678e-13,5.946559450166727e-14,-7.967582646803737e-14,-2.142914831237604e-14,7.018976564009137e-14,-3.195200842745274e-14,6.655769037873631e-13,-3.14073811112655e-13,1.563304308859269e-13,1.84649992317184e-13,-3.377657881226931e-12,1.909403785708063e-12,1.029246365657606e-16,7.745132832841372e-13,9.286286368551902e-17,-4.404666333762658e-13,-4.194404958116013e-14,7.381686634214852e-14,-6.678726312605145e-14,2.188706243112632e-13,1.721453257787874e-13,4.640175239484383e-13,3.334766392611469e-15,-1.809701467952837e-12
frozenset({'PSPTO_0080'}),4.906406642630143e-15,-7.205695488297962e-13,-1.766821174144417e-12,-2.492811079063116e-15,1.824875173477424e-15,-1.871648569125757e-15,5.646769782600809e-15,-3.273206928927103e-14,7.330164603328772e-14,-1.312893698284443e-15,3.034223408483611e-15,-3.101818442441092e-12,1.558863895538956e-15,1.848491326772931e-15,4.711649740756075e-16,0.0,-3.461420098697184e-15,1.915339939121699e-14,2.130893506085712e-14,-1.984900915015865e-15,-5.763233701360666e-15,2.574443173642804e-14,1.190772007171918e-14,1.433889307940271e-14,1.267151229678756e-13,-7.487105622059502e-14,4.051789435198994e-16,-2.380132556842913e-13,1.439326249862241e-15,-3.24318361563657e-15,-1.787852722253305e-15,3.321543874033601e-17,1.591303113753809e-15,-1.484586717797925e-16,-1.80140262822528e-15,2.604610653162557e-15,-4.569723789593584e-16,-1.201706127238896e-15,3.849976828782199e-14,-5.239850338995829e-15,-2.951520338297785e-15,5.275458521824926e-14,1.936683532561719e-14,-9.23840724522786e-15,1.679238978749606e-16,-1.178883277423085e-12,-1.901450907227254e-16,1.780117561012687e-14,1.209751012592047e-15,1.355254834922939e-15,3.810958564660912e-15,-2.57155300768888e-12,-1.129490218884321e-12,-5.14064245762046e-15,2.166217299468288e-15,-1.853732856148844e-15,4.665159460539499e-16,8.338457583715243e-16,-1.353517173994142e-13,-1.118140203781285e-15,-2.481719616297718e-12,2.662160867587594e-13,5.64816503487718e-14,2.074044807602343e-17,-2.637084252833353e-16,-1.20482823957308e-15,-2.748741986876319e-16,-3.72080021194611e-14,8.451859194077886e-15,-2.785308915993029e-14,6.735112840017888e-15,3.006790114546445e-14,1.068695130505437e-15,1.412986394246778e-14,-1.044146900054059e-13,-3.954603848078171e-17,8.648249200992606e-14,-5.641557438794045e-12,1.028487573527745e-15,9.117797819986618e-14,-3.701598303281929e-15,-2.736863365941757e-15,3.618309717104514e-15,-4.304673338942532e-14,1.453137511235415e-15,-1.687476378803762e-15,-6.771214785586298e-14,1.101713541027771e-15,-1.444776379230283e-14,-3.05751734931477e-18,-3.863244748861608e-13,-6.002144414461394e-16,-2.688758133431565e-15,-2.225157425777119e-12,-1.656945431889955e-13,,,,,
