ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
frozenset({'223283.9.peg.1570'}),1.145135245519935e-14,-1.845330249657558e-13,1.067502824585164e-13,-1.858662779971267e-14,1.528648403090269e-14,-6.553569039619669e-14,1.433183632988849e-12,6.362425029686936e-14,2.552055894187025e-15,-8.162668556052998e-15,-9.744653842249915e-14,5.583946299772552e-14,2.201167278674649e-14,-6.299716415644556e-14,2.368040313787627e-13,3.292150881980582e-14,5.035106795890708e-14,3.114640570332328e-14,-1.546690232095782e-13,-2.818972785541211e-15,2.410046510503917e-14,1.492858853506378e-13,6.567522566991576e-14,4.186945005304498e-14,-3.015517018588412e-14,-7.257589493057701e-14,1.417118982925286e-13,8.884564456085179e-14,-1.098716416673848e-13,-5.356081304173749e-13,5.621229792128713e-14,1.352681446450395e-14,2.596168745599328e-13,-8.933265557913633e-15,0.0,-1.219693847971857e-13,5.122869725629571e-12,2.806142956362949e-14,1.006403450651876e-12,2.52979578096231e-14,-3.612700788401441e-13,-1.287201729040732e-14,7.018528290592729e-13,4.690214573942148e-14,2.842101116201542e-13,8.11108333704935e-13,-1.239013565666175e-13,6.078807483104382e-15,-7.650989064059914e-14,-7.119703667096093e-14,8.783149100053608e-14,7.190435689810283e-14,-8.639056195162234e-13,4.251899466560316e-14,-2.338721386427851e-14,1.13673144428428e-12,-4.343961012601678e-14,-7.93959776120019e-12,-2.256762607442437e-14,9.465870422835974e-14,-2.650325097401028e-13,7.440617955103321e-15,1.939440302687421e-14,3.335633565207787e-13,-4.418336863973086e-13,-1.596829691168256e-13,2.24889851558482e-13,5.704269836947595e-13,2.153584818582724e-13,-7.790100879705903e-13,5.219008738333293e-14,-9.452581431726357e-13,4.120456886354473e-13,-7.700165520473114e-15,3.898351890376607e-13,4.888374218427363e-13,-3.776558277565239e-15,-1.053025340093927e-12,6.572934775041754e-13,3.519173956303753e-13,-1.150195957257184e-13,-1.772152713845179e-15,-1.281445668730204e-12,8.125997900638852e-14,-1.040471846058126e-14,-1.029941423214212e-12,-1.468809082349613e-13,-8.152609323971076e-14,2.567928274432577e-12,9.095286129189765e-14,-1.734625587312679e-13,5.039566787940825e-11,,,,,,,
frozenset({'223283.9.peg.3813'}),-1.388254156807605e-14,-1.580011364901538e-13,6.636146283115708e-12,0.0,2.222560575840112e-13,1.566681872491494e-14,3.025966807342876e-13,-7.271515934953633e-14,-2.233167364184678e-13,-2.914240703639719e-13,2.836672244549155e-13,-2.172744166259257e-14,4.133995260811252e-14,1.88302638928379e-12,1.55754921569947e-15,3.564116704446619e-14,7.951024624507769e-14,-3.512158966326673e-14,1.443552660532491e-13,-3.816392877867295e-14,1.494466782541285e-13,2.474609207479731e-14,-2.296491885387913e-13,3.674164766245717e-13,7.963879063047972e-14,3.647464478220454e-13,-1.021840140396105e-13,1.631461341301716e-13,-2.392620982947257e-14,-2.781905442874215e-14,5.849403890424806e-15,3.021717328201428e-15,3.116207167109419e-14,-6.922506916750533e-14,3.788495903637497e-14,-1.054164109222889e-13,-2.923993958810189e-14,4.693522065642965e-14,-2.225377874484687e-14,9.878432782681044e-13,1.386672254690579e-13,6.311333354238492e-12,-6.613769850777706e-14,5.773785091600538e-14,7.187995271062812e-14,-1.842456326638522e-13,-4.493821400137992e-14,-1.053597334359017e-12,-6.739125486999818e-14,-1.870405388439311e-13,-1.403414587692949e-28,-1.096064198285311e-13,1.039045108845024e-13,-2.8785682926428e-14,-1.094842941878189e-13,8.986893771896831e-10,-3.441385565025273e-14,2.870327866334989e-14,6.810702193661401e-14,4.827768454867594e-13,-1.667268452984595e-13,5.120504586731583e-14,6.184776049632951e-12,2.027422770665364e-13,-4.428699213178463e-14,9.969186404689548e-14,1.263415294449453e-13,1.264457830557139e-15,-4.89114230811674e-14,-1.165032909007013e-14,-3.350627629517047e-31,-3.128360225546975e-13,9.424631832516846e-14,-2.584059043390456e-14,-4.355494722145187e-14,3.902292488521482e-14,-7.296384505871316e-14,2.459038664057868e-14,1.216242390728267e-14,3.095149764659221e-11,-2.781125600922279e-14,-1.390364423684723e-14,1.575691662193391e-15,-5.375638708954739e-14,1.150765109609773e-13,-2.358867122568802e-14,-4.451647640381942e-14,2.432712617088914e-13,1.474575534709717e-13,-1.797923494910368e-11,-4.229464713609959e-13,1.311108039860859e-14,,,,,,,
frozenset({'223283.9.peg.3927'}),-6.669839806468818e-15,-1.210434386771656e-13,1.461794758134132e-12,-4.670700693530633e-13,-2.588250034116944e-13,-7.034416841436319e-14,-8.967890543445331e-14,0.0,-1.173932085142449e-13,-1.124550606450503e-13,8.022800008982763e-15,3.129583796369339e-13,-4.215482946358469e-13,8.328390430790675e-14,-9.614285025144881e-14,2.50332572562168e-13,-9.437754459028145e-15,-4.16500772567565e-13,-1.281523222296622e-14,-1.102807399088283e-13,4.050331703228185e-13,2.498926801636048e-14,-1.133543257825233e-13,-1.24769874635449e-13,4.390332356180927e-11,3.068400988923672e-13,2.446456348739983e-13,3.314958896099636e-13,1.689104038312281e-14,-6.215074523146689e-14,1.190652992484496e-13,-2.823060381591883e-13,3.957186598896133e-14,2.357200291250107e-13,-2.934327790992873e-13,-6.196357845208538e-14,1.545859657805404e-12,-1.266005962599241e-13,-4.437016166338217e-14,1.517970731988504e-13,2.151271396767834e-14,4.689389966314866e-14,1.070613354077077e-13,-9.002866903798729e-15,-8.015840025461414e-14,1.995102095830192e-13,2.289566744415912e-13,3.163032070350361e-13,-3.183021914568677e-14,4.045789011145181e-14,-3.856602067031216e-14,-5.102681888385159e-14,1.224770111918104e-13,2.663434916984618e-14,3.6440825757436e-13,7.055192540756335e-14,7.339861214321183e-14,-2.319733930394131e-14,5.100991572725098e-13,1.268121335807945e-12,9.352636769032464e-14,2.291762571514759e-13,1.797079469385027e-13,2.587364341328073e-14,9.184800817134017e-15,3.0991163186933e-13,-1.881009612372495e-14,4.041871644597184e-14,-6.611301922239133e-12,-6.89980729835385e-14,-5.835958910866208e-15,-7.597791420945103e-14,3.380967251685193e-13,-1.779786825274378e-13,-7.988846042769555e-15,1.417624352561836e-13,6.644697002013205e-14,3.881032870135966e-13,7.055331031042276e-14,-5.860985776267894e-14,5.643160369657075e-14,5.72481691394312e-14,-6.748322708362563e-14,1.284269812020018e-13,-8.584780448350509e-14,-3.998413278524587e-13,-3.52310713719231e-14,-1.316116690593634e-13,7.151930057639626e-14,-4.562086234076634e-14,1.028557578349413e-14,-3.598149697896016e-14,-9.225193991158624e-14,-1.035405574160064e-13,1.040684078069438e-13,-3.048126932660042e-14,-8.980511704640336e-15,,
frozenset({'223283.9.peg.3930'}),134.9592068814158,134.9592068814013,160.8344638470594,172.2562361156382,134.9592068814221,185.0123360479261,147.5695761925319,185.0123360479253,185.0123360479275,136.49767084832,172.2562361156409,172.2562361156425,185.0123360479332,180.9385933138131,180.9385933138166,136.4976708482387,136.4976708482427,134.9592068814145,180.9385933138034,175.9444164261752,136.4976708482455,134.9592068814162,160.8344638470651,160.834463847066,149.7081255245901,134.9592068814073,185.0628215904277,185.0123360479279,134.959206881411,180.9385933138158,185.012336047928,180.9385933138126,185.0123360479335,180.9385933138174,147.5695761925258,180.9385933138157,180.9385933138217,185.012336047924,136.4976708482473,187.1142210022676,180.9385933138172,180.9385933138169,136.4976708482508,136.4976708482488,185.0123360479212,134.9592068814177,180.9385933138173,135.9641226462444,180.9385933138171,185.0123360479269,185.0123360479236,147.5695761925327,134.9592068814138,180.9385933138118,134.9592068814181,134.9592068814149,134.9592068814176,180.9385933138276,180.9385933138209,147.5695761925368,180.9385933138238,172.2562361156424,172.2562361156427,134.9592068814198,180.9385933138195,175.9444164261859,147.5695761925297,180.9385933138125,136.4976708482506,180.9385933138189,160.8344638471659,180.9385933138097,160.8344638470608,172.2562361156508,180.9385933138066,180.938593313815,180.9385933138139,180.9385933138177,185.0628215904298,134.9592068814117,180.9385933138151,136.4976708482328,175.9444164261754,180.9385933138134,185.0123360479248,185.0123360479211,175.9444164261796,180.9868797845296,180.9385933138122,134.9592068814152,180.9385933138168,185.0123360479311,134.9592068814027,180.9385933138092,185.062821590429,,,,
frozenset({'223283.9.peg.5202'}),134.9592068814199,134.9592068814116,160.8344638470577,172.2562361156469,134.9592068814147,185.0123360479267,147.5695761925329,185.0123360479285,185.0123360478974,136.4976708482409,172.2562361156432,172.2562361156505,185.0123360479287,180.9385933138075,180.93859331382,136.4976708482438,136.49767084825,134.9592068814115,180.938593313809,175.944416426177,136.4976708482387,134.959206881409,160.8344638470589,160.8344638470723,149.7081255245858,134.9592068814169,185.0628215904351,185.0123360479236,134.9592068814137,180.9385933138163,185.012336047929,180.9385933138074,185.0123360479276,180.9385933138087,147.5695761925239,180.9385933138084,180.9385933138115,185.0123360479327,136.4976708482504,187.1142210022614,180.9385933138225,180.9385933138149,136.4976708482467,136.4976708482495,185.0123360479289,134.9592068814175,180.9385933138212,135.9641226462415,180.9385933138147,185.0123360479257,185.0123360479339,147.5695761925349,134.9592068814166,180.9385933138121,134.9592068814241,134.9592068814151,134.9592068814157,180.9385933138151,147.5695761925327,180.9385933138062,172.2562361156501,172.2562361156825,134.959206881414,180.938593313816,180.9385933138035,175.9444164261793,147.5695761925315,180.9385933138165,136.4976708482366,180.938593313817,160.8344638470123,134.9592068814153,180.9385933138126,160.8344638470649,172.2562361156494,180.9385933138232,180.9385933138169,180.9385933138117,180.9385933138176,185.0628215904311,134.9592068814124,180.938593313824,136.4976708482487,175.9444164261777,180.9385933138153,185.0123360479333,185.01233604793,175.9444164261813,180.9385933138198,180.9868797845211,180.9385933138221,134.9592068814189,180.9385933138195,185.0123360479233,134.9592068814158,185.0628215904229,180.9385933138134,,
frozenset({'PSPTOA0036'}),134.9592068814084,134.9592068814156,160.8344638470866,172.2562361156419,134.9592068814159,185.0123360479292,147.5695761925337,185.0123360479315,185.0123360479264,136.4976708482439,172.2562361156432,172.2562361156469,185.0123360479266,180.9385933138196,180.9385933138124,136.4976708482531,136.4976708482471,134.9592068814136,180.9385933138174,175.9444164261759,134.9592068814184,160.8344638470593,160.8344638470649,149.7081255245891,134.9592068814135,185.0628215904351,185.0123360479211,134.9592068814112,185.0123360479302,180.938593313808,185.012336047921,180.9385933138065,147.5695761925402,180.9385933138422,180.9385933138165,185.0123360479098,136.4976708482449,187.1142210022632,180.9385933138166,180.9385933138194,136.4976708482442,136.4976708482436,185.0123360479239,134.9592068814175,180.9385933138176,135.9641226462476,185.0123360479263,185.012336047924,147.5695761925296,134.9592068814174,180.9385933138123,134.9592068814203,134.9592068814169,180.938593313789,180.9385933138111,147.5695761925356,180.938593313821,172.2562361156464,134.959206881415,180.9385933138023,175.9444164261726,147.5695761925333,180.9385933138119,136.4976708482503,180.938593313824,160.834463847063,134.9592068814151,180.9385933138084,160.8344638470662,172.2562361156452,180.9385933138231,180.9385933138181,180.9385933137977,180.9385933138157,185.062821590416,134.9592068814137,180.9385933138153,136.4976708482491,175.9444164261748,180.9385933138238,185.0123360479323,175.9444164261843,180.938593313828,180.9868797845457,180.9385933138103,134.9592068814165,180.9385933138127,185.0123360479224,134.9592068814178,180.9385933138193,185.0628215904345,180.938593313817,,,,,,,
frozenset({'PSPTO_0062'}),134.9592068814074,134.9592068813499,160.834463846887,172.2562361156467,134.959206881414,185.0123360479256,147.569576192532,185.0123360479241,185.0123360479217,136.4976708482448,172.25623611564,172.2562361156375,185.0123360479325,180.9385933138165,180.9385933136877,136.4976708481289,136.4976708482542,134.9592068814133,180.9385933138147,175.9444164261845,136.4976708482439,134.9592068814122,160.8344638470631,160.8344638471024,149.7081255245687,134.9592068814345,185.0628215904311,185.0123360479304,134.9592068814158,180.9385933138138,185.0123360479198,180.9385933138171,185.0123360479316,180.9385933138086,147.5695761925335,180.9385933138041,180.9385933153149,185.0123360479314,136.4976708482457,187.114221002266,180.9385933138211,180.9385933138116,136.4976708482463,136.4976708482486,185.0123360479242,180.9385933138172,135.9641226462531,185.0123360479318,185.012336047926,147.5695761925304,134.9592068819024,180.9385933137876,134.9592068814147,134.9592068814171,134.9592068817759,180.9385933138145,147.5695761925331,180.9385933138132,172.256236115644,172.2562361156452,134.9592068814235,180.938593313816,180.9385933138111,175.9444164229522,147.5695761925252,180.938593313808,180.9385933138217,160.8344638470686,134.9592068814199,180.9385933138151,160.8344638470659,172.2562361158896,180.9385933138195,180.9385933138101,180.9385933138155,180.9385933139803,185.0628215904265,134.9592068814166,180.9385933137874,136.4976708483006,175.9444164261787,180.9385933138223,185.0123360480702,185.0123360479251,180.938593313827,180.9868797845219,180.9385933314303,134.9592068814152,180.9385933138194,185.0123360479195,134.9592068814142,180.9385933138089,185.0628215904323,180.9385933138109,,,,,
frozenset({'PSPTO_0073'}),134.9592068814199,134.9592068814116,160.8344638470577,172.2562361156469,134.9592068814147,185.0123360479267,147.5695761925329,185.0123360479285,185.0123360478974,136.4976708482409,172.2562361156432,172.2562361156505,185.0123360479287,180.9385933138075,180.93859331382,136.4976708482438,136.49767084825,134.9592068814115,180.938593313809,175.944416426177,136.4976708482387,134.959206881409,160.8344638470589,160.8344638470723,149.7081255245858,134.9592068814169,185.0628215904351,185.0123360479236,134.9592068814137,180.9385933138163,185.012336047929,180.9385933138074,185.0123360479276,180.9385933138087,147.5695761925239,180.9385933138084,180.9385933138115,185.0123360479327,136.4976708482504,187.1142210022614,180.9385933138225,180.9385933138149,136.4976708482467,136.4976708482495,185.0123360479289,134.9592068814175,180.9385933138212,135.9641226462415,180.9385933138147,185.0123360479257,185.0123360479339,147.5695761925349,134.9592068814166,180.9385933138121,134.9592068814241,134.9592068814151,134.9592068814157,180.9385933138151,147.5695761925327,180.9385933138062,172.2562361156501,172.2562361156825,134.959206881414,180.938593313816,180.9385933138035,175.9444164261793,147.5695761925315,180.9385933138165,136.4976708482366,180.938593313817,160.8344638470123,134.9592068814153,180.9385933138126,160.8344638470649,172.2562361156494,180.9385933138232,180.9385933138169,180.9385933138117,180.9385933138176,185.0628215904311,134.9592068814124,180.938593313824,136.4976708482487,175.9444164261777,180.9385933138153,185.0123360479333,185.01233604793,175.9444164261813,180.9385933138198,180.9868797845211,180.9385933138221,134.9592068814189,180.9385933138195,185.0123360479233,134.9592068814158,185.0628215904229,180.9385933138134,,
frozenset({'PSPTO_0075'}),1.609935275797246e-11,3.138648533709447e-11,2.453124894269849e-11,4.927709590889984e-11,8.506769798591347e-12,-5.346152438571254e-11,-4.129097451041091e-11,-4.337846435612502e-11,-1.39131918409469e-10,-9.318348119506973e-11,3.375008351174485e-11,7.011405398606585e-10,-5.826098357480567e-12,-5.054323548865952e-12,-5.651810298750495e-12,-6.084611792525499e-12,-3.747233672318301e-11,1.443568434451742e-10,-1.740562979986831e-09,-3.139472494535239e-10,3.279744989109678e-11,3.052088505985873e-11,-7.359798610464067e-11,-5.669479041550976e-12,1.257536680848316e-11,-4.376285630362588e-12,-8.462761000753434e-10,-1.399135409893645e-10,-1.152407233710283e-11,1.445308701127945e-09,1.841332247241722e-11,4.71597605739935e-11,-1.661502246634545e-11,-1.667449357862467e-11,4.564261395156292e-11,-5.196539372743928e-11,-8.950409473686331e-13,-1.442456401243256e-11,-3.205181443338062e-12,-2.4245232174426e-11,1.800394353924289e-12,-7.716511230126574e-11,-3.058424508182891e-11,-9.831478409410205e-11,2.329380004327291e-11,1.1828086409475e-11,3.840738484496149e-12,-1.390689240815954e-12,3.616420394592507e-12,-8.693289321719359e-12,-3.896171398810129e-11,-6.894936751653441e-12,-4.470868367483854e-11,6.89543882695675e-12,2.884101356477275e-12,8.692533660725615e-12,-9.990582955599543e-11,1.072983760511365e-10,7.125242554382316e-11,1.199466700615372e-10,2.647759183714741e-11,1.601650780152983e-10,9.219018598581685e-12,-1.094316674233769e-10,-7.567879188529439e-11,-2.488968833278007e-11,1.93941725914737e-11,1.166616846366408e-10,3.620552976044344e-11,-2.596583483271353e-10,-1.661447227533401e-11,-1.057541321878949e-11,-2.747169226838811e-11,-2.261442167209705e-09,-4.867621927746924e-10,-4.792979846278833e-12,-7.874211150176879e-10,1.887712635082524e-10,4.177180529712442e-11,2.505425435864151e-10,-7.569989907853765e-13,-1.339978757268846e-10,-3.778442070888691e-10,-4.161890423537979e-11,-4.891620856992733e-11,3.571452488069803e-11,-1.350962620757377e-11,1.021542505515981e-10,-1.331041456220212e-11,-2.042991134277743e-11,-3.539805587260187e-12,2.037914546762211e-11,3.015481695387962e-11,-1.1738348729286e-11,-2.630437578439203e-11,-5.301896135058368e-11,-8.256434039565188e-12,-7.28353876960992e-11,2.866125718784665e-12
frozenset({'PSPTO_0080'}),-7.822282516309206e-12,-7.064698636455257e-12,9.022795126072635e-17,2.142402705466697e-12,1.467493334850987e-13,2.020809789858435e-13,-4.098524589570632e-11,1.50803952930926e-14,-4.009969753693411e-12,4.425833285185866e-13,0.0,9.71645969614121e-13,6.773133778644592e-12,-1.214232008307054e-11,4.349190017224195e-14,-5.447101968419566e-11,2.961512174887633e-13,1.035974988812429e-11,-1.505686400060314e-13,7.779621388075312e-12,-6.654039187945279e-12,-2.895591161674341e-14,9.142303843270824e-14,3.361778730740587e-14,-6.346528009811041e-13,6.549992665013036e-12,6.879794357486543e-12,6.627350167663713e-12,-5.56625802955705e-14,8.678662189811659e-14,3.075382672978103e-15,-3.836652452599247e-13,3.039853423525406e-13,-7.745979741217521e-14,-2.901604933434884e-11,5.113836434716327e-12,3.423752545979742e-12,-1.347587622633878e-11,-1.677426497238181e-12,-1.486541473923271e-11,8.646634377507233e-15,1.066956111907885e-13,-1.563976149882124e-12,4.973930815407525e-12,4.535972713494357e-12,-6.975488249285316e-12,2.08379998876298e-14,-6.224668450486765e-13,7.779621388075265e-12,4.997129279729508e-12,-6.626890392131749e-14,4.283308958691958e-12,-1.092374041087876e-13,-3.498263518065935e-12,6.296150511059693e-14,-1.269093098602331e-13,6.885410961495787e-12,1.811019520395329e-14,5.049513430894817e-12,-9.10511988320159e-13,-3.637054317042412e-13,1.254166417293074e-11,-2.415588175543007e-13,2.774457544441774e-13,5.202171541995837e-14,3.098842848905446e-12,-7.223305535897017e-12,1.294842615110307e-14,-1.257939718986345e-13,6.807082291692361e-12,3.938403280299357e-14,1.685709712439708e-13,-5.811568058304115e-13,-1.5585975477778e-13,1.795481113569292e-14,9.12689245189974e-14,6.999547049449495e-12,5.073768691839574e-13,7.704156088877242e-12,3.197920821696893e-12,9.053690911114887e-12,-4.36285095063473e-14,1.351380653067549e-12,-4.053593286318415e-13,-1.279317749007511e-12,2.435677396177031e-12,9.077526464023563e-13,1.668053410231462e-11,-1.479560643714798e-12,4.649840844625271e-14,8.80081331841052e-13,-3.192104360256e-12,-8.416901126887896e-14,6.633403349149573e-14,5.765927823008596e-12,,,,
