Pathway,Gene
2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,22
ABC transporters - Pseudomonas syringae pv. tomato DC3000,68
Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",25
Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,18
Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000,23
Aminobenzoate degradation - Pseudomonas syringae pv. tomato DC3000,8
Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,27
Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,18
Ascorbate and aldarate metabolism - Pseudomonas syringae pv. tomato DC3000,11
Atrazine degradation - Pseudomonas syringae pv. tomato DC3000,6
Bacterial chemotaxis - Pseudomonas syringae pv. tomato DC3000,1
Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,14
Biofilm formation - Pseudomonas aeruginosa - Pseudomonas syringae pv. tomato DC3000,4
Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,103
Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,174
Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,239
Biosynthesis of secondary metabolites - unclassified - Pseudomonas syringae pv. tomato DC3000,1
Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,2
Biosynthesis of unsaturated fatty acids - Pseudomonas syringae pv. tomato DC3000,1
Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,10
Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,23
C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,7
Caprolactam degradation - Pseudomonas syringae pv. tomato DC3000,5
Carbapenem biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,85
Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,3
Chloroalkane and chloroalkene degradation - Pseudomonas syringae pv. tomato DC3000,5
Citrate cycle (TCA cycle) - Pseudomonas syringae pv. tomato DC3000,25
Cyanoamino acid metabolism - Pseudomonas syringae pv. tomato DC3000,8
Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,32
D-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,3
D-Glutamine and D-glutamate metabolism - Pseudomonas syringae pv. tomato DC3000,4
DNA replication - Pseudomonas syringae pv. tomato DC3000,6
Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,8
Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,18
Fatty acid degradation - Pseudomonas syringae pv. tomato DC3000,15
Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,26
Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,16
Fructose and mannose metabolism - Pseudomonas syringae pv. tomato DC3000,13
Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,12
Geraniol degradation - Pseudomonas syringae pv. tomato DC3000,6
Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,12
Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,10
Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,18
"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",27
Glycolysis / Gluconeogenesis - Pseudomonas syringae pv. tomato DC3000,27
Glyoxylate and dicarboxylate metabolism - Pseudomonas syringae pv. tomato DC3000,23
Histidine metabolism - Pseudomonas syringae pv. tomato DC3000,16
Homologous recombination - Pseudomonas syringae pv. tomato DC3000,7
Inositol phosphate metabolism - Pseudomonas syringae pv. tomato DC3000,5
Limonene and pinene degradation - Pseudomonas syringae pv. tomato DC3000,7
Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,17
Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,11
Lysine degradation - Pseudomonas syringae pv. tomato DC3000,19
Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,566
Methane metabolism - Pseudomonas syringae pv. tomato DC3000,16
Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,177
Mismatch repair - Pseudomonas syringae pv. tomato DC3000,7
Monobactam biosynthesis - Pseudomonas syringae pv. tomato DC3000,6
Naphthalene degradation - Pseudomonas syringae pv. tomato DC3000,1
Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,17
Nitrogen metabolism - Pseudomonas syringae pv. tomato DC3000,11
Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Nucleotide excision repair - Pseudomonas syringae pv. tomato DC3000,1
One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,14
Oxidative phosphorylation - Pseudomonas syringae pv. tomato DC3000,23
Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,13
Pentose and glucuronate interconversions - Pseudomonas syringae pv. tomato DC3000,6
Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,22
Peptidoglycan biosynthesis - Pseudomonas syringae pv. tomato DC3000,10
Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,12
"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",24
Phosphonate and phosphinate metabolism - Pseudomonas syringae pv. tomato DC3000,1
Phosphotransferase system (PTS) - Pseudomonas syringae pv. tomato DC3000,3
Plant-pathogen interaction - Pseudomonas syringae pv. tomato DC3000,1
Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,31
Propanoate metabolism - Pseudomonas syringae pv. tomato DC3000,26
Purine metabolism - Pseudomonas syringae pv. tomato DC3000,59
Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,23
Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,39
Quorum sensing - Pseudomonas syringae pv. tomato DC3000,25
RNA degradation - Pseudomonas syringae pv. tomato DC3000,2
RNA polymerase - Pseudomonas syringae pv. tomato DC3000,3
Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,8
Ribosome - Pseudomonas syringae pv. tomato DC3000,51
Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,9
Starch and sucrose metabolism - Pseudomonas syringae pv. tomato DC3000,16
Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,9
Styrene degradation - Pseudomonas syringae pv. tomato DC3000,5
Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,26
Sulfur relay system - Pseudomonas syringae pv. tomato DC3000,2
Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000,5
Taurine and hypotaurine metabolism - Pseudomonas syringae pv. tomato DC3000,4
Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,12
Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,10
Toluene degradation - Pseudomonas syringae pv. tomato DC3000,1
Tryptophan metabolism - Pseudomonas syringae pv. tomato DC3000,17
Two-component system - Pseudomonas syringae pv. tomato DC3000,14
Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,14
Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,11
"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",12
"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",26
Vancomycin resistance - Pseudomonas syringae pv. tomato DC3000,5
Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,5
Xylene degradation - Pseudomonas syringae pv. tomato DC3000,1
alpha-Linolenic acid metabolism - Pseudomonas syringae pv. tomato DC3000,1
beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,12
beta-Lactam resistance - Pseudomonas syringae pv. tomato DC3000,1
