ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1'}),1.255052776487405e-13,2.070592669757788e-13,-4.183119007734785e-13,0.0,-6.48632997380404e-14,-5.94837972760646e-14,-8.65746869918811e-14,8.379855111530691e-13,-1.15548139530506e-14,-6.522131310901137e-14,1.913018340148496e-13,1.246828006614331e-14,2.289490360806758e-13,-4.042065667330044e-14,-2.979150158571325e-13,-1.514812796886012e-11,-7.561719942230117e-13,-2.670323040772324e-12,6.986476451322859e-14,1.772490717584046e-14,1.988686166616268e-12,-3.247439226937137e-14,4.971134088581692e-13,-1.817669540737408e-14,-4.637725345055839e-13,-1.133622416665397e-13,-4.164070262527842e-14,2.402435186335624e-13,-9.46284283296871e-14,-2.405880596723587e-13,-1.017352239797978e-14,-2.075124799856107e-12,-1.724303946051476e-29,-4.261691526753285e-14,-5.635493850353991e-14,-1.240268979888512e-13,-5.983690154928719e-14,-1.159459139796192e-12,-1.482355490213159e-15,-4.968345665406774e-14,-1.358702319174639e-14,9.370782369440856e-14,2.98315558908169e-16,-7.320066078056473e-14,-2.792666052896264e-12,3.723962300599367e-14,4.438352349889162e-14,7.560679323964506e-14,-3.310201161508721e-15,-3.189879278785197e-12,-4.693442734430256e-13,-9.143623049080632e-14,3.516144732707878e-14,-5.080519813758188e-12,4.452842638344864e-14,9.436337084251553e-14,2.09364953525395e-13,1.538901713318518e-15,-1.83846998058308e-14,1.059334308700339e-13,2.200201810501457e-13,1.174680104452111e-13,-1.870853392767858e-14,-5.701557044560865e-13,-1.596893970980597e-14,3.701922419302377e-15,5.314799520584488e-15,-2.397659360727757e-14,-2.36918939526117e-11,-3.25040272043909e-14,6.506208889714512e-14,7.471541512589227e-13,9.940786712063282e-15,-2.464368490761398e-13,2.021406647415151e-13,-2.769527881162026e-13,4.090606629881329e-14,-6.123242816084124e-14,-2.047020630309686e-14,-6.892266619634064e-15,-9.834754188856336e-14,-5.290134268851753e-12,-9.855888074805103e-14,5.489262859520217e-14,4.278942421197322e-13,1.323574063429161e-14,6.615013641735542e-13,,,,,,,,,,,,,
frozenset({'223283.9.peg.1290'}),-6.679089458305462e-15,0.0,-7.692317080857219e-13,-1.665846104308479e-14,-1.088095597520056e-16,-1.329733147215447e-13,-2.831294261623902e-13,-1.410353922775612e-13,-5.743760882063682e-14,7.674209295384211e-14,1.045570275873587e-13,-1.409371098789198e-14,-1.187094600213762e-13,7.529680752017362e-13,2.01297948828376e-13,4.910312927817232e-14,-3.883740715973549e-13,2.378833436755596e-13,1.869293850831951e-13,7.138748433680717e-14,-3.113540570374959e-14,2.808744255772877e-13,1.966942857850927e-12,-2.153664767984971e-12,7.021931570098155e-14,2.118383492617164e-13,-9.388762760129536e-14,-2.718751233502895e-13,2.711135071136083e-13,1.451478228672165e-10,-4.960042135262352e-14,1.154403437788946e-13,-9.606087981160505e-14,3.360390107133204e-12,-1.085440574267059e-13,-8.023214719432711e-14,-1.323721876864184e-12,-1.298073018967007e-13,-6.064896674737093e-15,1.018037850762788e-13,2.900068393187062e-13,-3.966271443434693e-15,1.511321686509169e-13,-2.193221951643554e-14,-1.868964887652175e-13,-4.925793289884503e-14,2.146314369544982e-14,-4.173150862036602e-12,3.363390791865652e-14,9.968471933584251e-14,-8.747216282578233e-13,-5.153868738480241e-14,-1.07581535161722e-13,2.29874875188872e-12,-3.765194581564247e-13,1.007170837926623e-13,8.104870671768515e-14,3.847627700585108e-14,-3.942312564597382e-13,-1.279535976164397e-13,-3.181747205093064e-13,1.649158525776316e-14,-9.826616072956042e-14,-1.893733724676373e-14,2.026401347361092e-13,2.824837415256109e-13,2.961603567033515e-15,-5.583813496783474e-13,2.595548057041447e-13,-4.270036108085133e-14,3.366267359028191e-13,1.316694460478966e-14,-6.160050861718091e-16,1.189048189932438e-12,1.313030468446471e-14,7.810091361490427e-13,5.534963926168756e-14,7.536721769027327e-16,-3.108428039260103e-13,6.655244136273549e-15,-5.085721072407036e-12,-1.562910293207708e-16,4.449187525611917e-14,-1.63779568372247e-13,1.406043615655894e-13,-1.991995173160652e-14,-2.967003051889077e-13,-1.514163984236621e-13,1.712270343478094e-14,,,,,,,,,,,
frozenset({'223283.9.peg.1455'}),97.76716135357155,111.3932278002747,84.35929523016665,99.11197849622528,80.75402309032873,84.50517875146153,129.6117178961198,120.4781426073065,66.11184087400235,52.73541774782476,183.9222907608801,75.213922555427,97.69877897852744,102.698734360146,62.33342860964451,92.53566573114072,108.3379123486103,148.279638527136,80.46790194044492,56.6059743822401,77.48513797029227,54.44812645112838,98.73502033279286,144.9172876910502,89.71971239038645,82.30393910302695,55.36609730322236,96.59542100216599,153.2094207539066,76.3914941736122,123.6660297210016,86.94899176204177,79.40351542632077,88.17746102019134,70.8888210890548,109.0662149695429,73.74274670574634,98.93395501834443,84.5653592690233,118.084662920413,148.2575371672461,83.79001294497873,129.1085783737608,128.0679744978287,92.11017998299656,140.9888438792955,64.84172907163531,51.31332743479344,111.8437243018309,166.2493495471686,103.8803379502455,176.9305249513146,103.1810550834261,131.8716789958274,67.0004400962304,151.939759909371,181.930386651618,133.9797023978254,72.34120135273464,108.2382326746487,160.0454500062012,140.22135744274,186.4160688031197,118.7236850758461,160.5349864942429,86.00808256833642,101.0679846625215,63.28917035998462,88.89415341009988,48.60146594739029,129.20965765511,49.31610316919413,81.71490841008658,87.0879449064984,78.68995742823705,86.25576133957551,95.45184625791342,120.3477831722797,106.5402454880449,36.83489265664615,107.9115244911416,57.29237984651815,79.19454749860786,120.804205707345,53.02777954749332,110.221185964501,104.0880854039184,116.5915627277563,168.7046257019316,75.8316294382744,71.38101252816314,110.8015993943626,73.29852119300988,146.5345527987871,131.891543599477,70.04020447416003,68.79216091249273,170.2018930580817,79.07045472654127,116.6331646409518
frozenset({'223283.9.peg.1494'}),-6.37001281458692e-13,3.626158898263773e-14,5.048030942193568e-14,0.0,-3.694378360040646e-14,-1.113213446994839e-13,1.483105056844747e-12,3.043864535458175e-14,-1.44233966173794e-13,-1.257223594193974e-13,-4.247910937388106e-14,1.563360198098124e-13,-1.448453085408357e-13,-5.753219296907371e-14,-2.057880881818032e-14,1.165357134603642e-13,-3.99807166242543e-14,-9.158931307373572e-14,-9.796831978854679e-15,8.043425015928987e-14,-5.300778452487374e-14,2.590369100258279e-14,4.318056203397242e-14,6.339551120929584e-14,1.517939934021979e-14,-3.344200189218693e-12,-1.531804792150279e-13,5.337456662010764e-14,-6.00838249040367e-14,-6.450671307127483e-14,-1.740516502551486e-13,-8.308376625016815e-14,-3.473586902635331e-14,-2.051921419862761e-13,-1.618817605635543e-14,1.117408038738955e-14,-6.185518929072015e-14,7.756286162197577e-14,8.844398604882215e-14,-5.426474829026818e-14,4.501932025076382e-13,1.154979771721036e-13,7.232982183364279e-14,4.666420827934604e-14,1.477022677293851e-13,8.474543331667248e-15,2.502175467148503e-13,-1.991164168739737e-14,-2.591282273662938e-13,2.851172825477031e-14,-1.941981623404972e-13,7.822764227446879e-14,3.549168534419723e-14,-2.227545235673648e-13,-1.113220904645245e-13,-8.60779666184923e-14,-1.045527334757511e-13,-2.806022033180826e-14,-3.647540644977942e-13,-9.733418928370813e-14,-4.946778622682904e-14,-3.538319311734975e-14,1.641927062189236e-14,3.568237461533258e-14,-7.100527054715065e-14,-3.919655331587649e-14,-3.976157318055184e-14,-2.245561513366182e-14,-1.2245393686877e-13,6.602391038431964e-14,5.0913074126408e-14,-3.321095478717399e-14,-3.105443298915476e-13,-5.20496711177161e-14,-4.753089591544135e-15,-6.143505734942372e-14,2.582272358578802e-10,-1.163776812134552e-14,-1.141181560559712e-13,-1.296966511626835e-13,1.846181716182184e-13,-1.487581733110918e-13,-2.460298067391577e-14,-5.198904516674117e-14,-9.493913650619125e-13,7.428700920064677e-14,3.682934032637587e-13,-1.070998925189523e-13,-8.367253877716982e-14,2.380553087034867e-14,,,,,,,,,,
frozenset({'223283.9.peg.1497'}),6.502310597195625e-12,6.340596351828459e-14,4.718655747498962e-15,5.437632986323197e-12,3.083019961059521e-14,-3.038730291926694e-12,7.016699588498574e-13,-1.565797892925993e-13,0.0,9.794464501913164e-15,-2.429736307664941e-12,2.113445178676657e-12,-1.798675719508427e-13,-2.113471012559167e-30,4.821531482137977e-12,7.757427087173977e-14,-5.476222099966315e-14,-2.938026071161892e-14,1.910788080084946e-12,1.217339482025992e-13,-3.438098461134717e-14,2.033092710867609e-15,-1.380046101663173e-13,5.829117359455949e-13,5.120046511935712e-12,1.177905395292076e-11,1.722220429264826e-13,7.148439237674263e-14,8.084398362921753e-11,-1.526028359696967e-14,-1.01283835420202e-12,2.533131354731223e-14,1.014161415087966e-11,8.836704717405103e-14,-4.256537617066878e-14,8.673242288855835e-14,1.267253037563099e-13,4.431489937085473e-13,2.242623537310034e-14,5.343783314639424e-14,2.704019677547725e-14,2.1422032547894e-13,4.120300633953056e-12,-3.948172110425406e-13,1.487145986099463e-13,5.03355640584642e-14,-4.076754414770752e-13,1.674852512648995e-14,-6.195706945430517e-13,-9.681084353970884e-14,-7.751539886050019e-13,-9.283682470536764e-11,7.628798357019011e-14,3.285210157451377e-14,-2.402828634379125e-13,-5.159367491013567e-14,1.3008244877944e-13,2.022884245648209e-14,2.679528686587901e-14,8.228243050445412e-14,1.036252619120087e-13,-4.050387987934239e-14,-3.211166186079432e-14,3.296184574145629e-14,3.76352986421174e-13,-1.066717270180017e-13,-3.615435346243054e-13,2.657030925365091e-13,-2.159593673748297e-14,4.148858451159799e-14,-1.139773888081691e-14,2.904551658119008e-14,-3.443771054792809e-14,1.672747776993073e-12,1.49965266853351e-14,-4.180227095048004e-13,5.186662006197623e-13,-9.413389166355944e-13,-1.09914690519488e-14,-6.072089828540252e-14,1.947879505640703e-12,2.489647261254485e-12,3.132085634626699e-14,-1.180939532814904e-13,-7.545382465749781e-14,5.129179384029989e-13,-3.488998043690338e-14,4.068011791494747e-13,,,,,,,,,,,,
frozenset({'223283.9.peg.1522'}),7.045284890303398e-13,2.395899521153305e-13,-7.373112427495228e-13,7.796374121446195e-13,0.0,-1.920086217336235e-13,2.692450722027333e-13,-9.56051784216097e-15,2.787565473014509e-13,-8.101742928227873e-15,1.635631726072351e-13,4.684606511100274e-14,-4.433763415551854e-13,3.196832809116118e-14,-7.009765078991354e-14,-2.59392547858791e-14,2.258505477312329e-13,2.708417993613269e-13,1.168865738509041e-12,-5.763160096863112e-15,-2.295843284470749e-13,-1.354388240191504e-13,-4.358189823212252e-14,-9.358550191257568e-14,1.907621974390613e-14,1.071971896721759e-13,2.619591157069447e-13,-1.345792877008049e-14,1.745658170507161e-13,-1.363417903579622e-13,-2.799223275855874e-14,-6.030121635915815e-14,4.345681326255597e-14,1.071895113085051e-13,-7.539342216921209e-14,2.048656600763009e-13,4.570566044980787e-13,-2.167067620068983e-13,4.204277764884538e-13,-5.630362959382446e-14,-5.866846204535451e-14,6.016174590800854e-14,-3.316610847928703e-14,7.498755481732057e-14,2.851024888919883e-15,5.179653807748078e-13,3.282327594342937e-14,8.633833632852631e-14,-1.868999640101715e-13,-1.232158254517497e-14,2.547623289783489e-14,-5.965667858287876e-13,3.527221463442569e-13,-3.560621363177896e-13,3.975933641080511e-13,1.012510445091675e-13,3.515094901068914e-14,8.90793637746205e-14,-8.272256221312739e-14,-1.358636188467689e-14,-2.829054024756996e-13,-3.401747121721544e-14,1.247653762337082e-13,-4.146101210387247e-14,2.046452963524573e-14,2.214522891158554e-13,2.311422749039694e-14,4.669331299352749e-14,-1.324343103887067e-13,5.365303778119186e-13,-2.695737967917651e-14,6.283054055419898e-14,1.927929274669651e-14,2.543762985545619e-13,7.224023979945455e-14,3.681288722244039e-14,9.704114994314191e-14,8.685027960762959e-14,9.18408748124411e-14,7.070619858214797e-14,7.409447335096212e-14,8.205485980651406e-14,-1.093770766945247e-13,-7.827385393069508e-14,-9.589492012539294e-14,7.541205709900431e-14,-1.034625470286842e-13,-2.879870616873971e-14,2.0029903911383e-14,-2.357334232957954e-13,-8.665876153129286e-13,,,,,,,,,
frozenset({'223283.9.peg.1560'}),9.12632929493553e-15,-9.638280932869346e-12,-8.374022960425095e-15,-5.378557648657433e-14,5.1742725702113e-14,2.986818904311908e-13,8.552506021742352e-14,-1.656828337945657e-13,-2.097521601536718e-14,5.563632843361119e-14,2.032010120605803e-13,-4.954498474683033e-14,3.685807852397674e-13,-6.87544155070281e-15,0.0,8.428428653833672e-14,5.293661903915689e-14,1.273485220607241e-12,3.918035673352776e-13,8.821830764685021e-14,-2.179622113847732e-13,8.733185756638954e-14,1.876215074947028e-12,1.686344780823259e-13,-2.92847605069808e-13,-1.413552476259532e-14,-2.179660767187319e-13,-3.716040050819425e-13,2.461535838227623e-14,-6.2041420155375e-13,-1.859151909779957e-13,1.679667196468903e-13,2.14144880568928e-14,-4.91425279318911e-14,2.443240952985768e-13,2.329900694396235e-14,5.266356026915623e-14,-1.175777651726006e-12,-2.846098902671568e-14,3.35729288250532e-14,1.677131785536139e-13,3.489611204034453e-13,1.984224193057689e-13,-7.946529945402128e-15,-6.640781686030353e-14,-3.574652904774875e-14,-1.346675663370986e-13,-8.543762033521981e-14,-1.568407468816619e-13,2.583533741991732e-14,1.789064537489286e-13,-3.487241549771596e-13,-2.067157730776214e-14,-2.300435315668869e-13,-1.779061472371696e-13,1.198374343052907e-12,-1.269303905366543e-12,4.943071962413186e-15,9.848426204044783e-14,-1.660938055966661e-14,6.777749321899321e-13,-2.160903144849751e-14,4.072513971877937e-15,-8.332117409464122e-14,-1.078295187167061e-13,-6.439419641395716e-13,-4.109290261839146e-14,7.030062462815714e-13,4.609489271611116e-13,3.643476978240126e-13,1.669910970200664e-14,-1.733856660723731e-13,-6.986646421454585e-13,2.46596423093905e-14,-6.295030399121778e-15,-1.394227870764929e-13,1.277848896880916e-13,6.540196127239358e-15,6.010756017680606e-14,2.66353931736817e-13,4.631260539490428e-13,7.374211714046676e-14,-9.69258607869232e-14,-7.895737203033539e-14,-2.074017538212778e-13,-1.375781706446604e-13,-4.121573294905052e-13,-3.963926502867105e-13,,,,,,,,,,,,
frozenset({'223283.9.peg.1575'}),3.075915195993656e-13,0.0,1.893425254437453e-15,-5.153677496902201e-14,-5.92059663974886e-14,-3.652111863283689e-13,-1.357251211754026e-13,7.55494917391559e-14,9.98702144251985e-14,-1.079462575471768e-13,-3.25989500837849e-13,1.433347457668872e-13,-2.329540733566727e-13,-9.601401956353773e-14,-1.708471924987538e-14,1.49821437161612e-13,-5.61346036408028e-14,6.984293936259488e-14,6.795438239533898e-14,1.087291575711716e-14,-2.169394345531883e-13,4.604536638728623e-14,1.797493625764027e-13,3.520445926294072e-14,9.971450334099116e-14,7.66128136904709e-14,7.12949303603653e-14,-2.213721226808322e-14,1.59684697952533e-13,-1.408341842293776e-13,1.97810728694217e-14,1.015682102103918e-14,-4.649341384118408e-14,-2.005878367814133e-13,-7.248441405354348e-15,-6.380813801709674e-14,-1.97097306334036e-14,-2.466344890480053e-14,-8.8117391902968e-15,-2.908485344665892e-14,2.421510759535366e-14,-1.858727141331749e-13,-9.128677576257056e-14,-6.813763268637586e-15,-2.743742547767484e-14,-3.849197248715927e-14,-5.681183336466197e-14,9.696429979986198e-14,4.014192918594365e-14,6.917545467610826e-14,5.084725999000349e-14,-4.683130501959348e-14,-2.916257543032625e-13,3.815798055930231e-14,5.226356503953871e-14,-7.580056691924414e-14,3.30520151656269e-15,7.079928710490034e-14,1.173599137636006e-13,1.356311619047438e-13,4.238871808206526e-14,-7.772947369380698e-14,-6.538957815596166e-14,4.891636671788473e-14,-4.121523194085715e-13,9.892470257730973e-16,-2.494823701516018e-13,1.218709610984675e-13,-5.769659726691173e-14,-1.323516323706323e-13,4.153488458626188e-14,2.371532364232459e-14,-5.094367522752986e-14,-4.553740112779677e-14,4.831260120562984e-13,1.261476287713293e-13,-8.752688594773778e-14,2.812756655879806e-14,-3.676264498265098e-14,-5.063939669776517e-14,-9.580744669152368e-14,6.766730284194918e-15,-1.924827476340703e-14,9.825740037002879e-14,-6.98982438756707e-14,3.876821864720687e-13,-1.520050948494674e-13,3.50904439883483e-14,,,,,,,,,,,,
frozenset({'223283.9.peg.1577'}),-1.060601326650836e-13,1.214585078856148e-13,3.117753583936626e-13,0.0,1.642152838823665e-13,1.642008470142958e-13,-4.957322547651681e-14,-1.143362213423746e-13,2.097521601536718e-14,-1.266189639776348e-13,1.182790234723537e-12,-1.280178249522518e-13,-1.823573162675972e-14,-1.37366407373604e-14,-2.54514202387457e-14,-1.303892300381966e-13,3.426730482939616e-14,4.802639307668571e-14,2.105875951971087e-14,-1.622622805981485e-14,1.16937338142432e-13,2.776410173847464e-15,-1.131146759588613e-13,6.740436547848758e-14,6.760243031098183e-14,-4.007477406162192e-13,5.570447322581331e-13,3.100658200952104e-14,-2.258123281401434e-14,-2.722940782656057e-14,1.023275141437334e-13,3.990430159331217e-14,1.888954496737297e-13,-4.310312412850021e-14,5.112151836763428e-14,-2.703447313901105e-13,1.687318079322133e-13,1.05564019207284e-13,-1.521117998993539e-13,-3.065577414285566e-14,1.885264714653756e-14,5.878639312291783e-14,-5.489324547641132e-13,3.577434748327087e-13,8.173516302798068e-14,-6.775709900983743e-16,8.705138829573184e-14,9.016722515917974e-15,1.001107438929432e-17,1.811327218452402e-13,4.532616725102389e-14,-2.261255334978302e-13,-1.270792700656059e-13,1.239299358656994e-13,-9.38963997462282e-13,-6.706851712037396e-13,-2.520179995153584e-13,4.983697333599748e-15,-9.378350403057653e-14,3.638082693077093e-14,-4.890215350284547e-15,1.908312896136407e-14,-4.09237307261655e-14,1.564781751448814e-17,2.25770169255621e-14,2.2856913270371e-14,1.332146953402807e-14,3.466304326672787e-14,-6.770322741442483e-14,-6.472632564695059e-14,5.52724452667837e-12,-8.570861263889412e-16,-3.954774682391365e-13,3.678222210894834e-14,-3.366418690297597e-14,-8.838274822768497e-14,-5.803798665987347e-13,2.021940272057688e-13,3.750648108190103e-14,-3.22048333308235e-14,-8.476684927363094e-14,5.815501055906835e-14,-2.972022064375625e-14,-2.471535981206592e-14,-7.423500239878264e-14,3.353189518785603e-14,2.413602814507935e-13,,,,,,,,,,,,,
frozenset({'223283.9.peg.1663'}),-1.496988586150508e-13,8.902368186549025e-15,1.487863689394474e-15,-1.556587342570326e-13,-1.972469376851006e-15,-1.462503000260248e-12,3.642720127448989e-13,-1.359946701771088e-13,1.374133132973259e-13,1.076525125056236e-13,9.42299704788458e-13,2.554668365826172e-14,0.0,1.950044746151045e-13,2.182015810517205e-14,1.305022219948138e-13,2.057207509611075e-12,8.296984420982894e-13,-2.810738824990751e-14,8.047800432966098e-12,7.250279267810308e-14,-2.407050987976988e-13,-9.19085698105009e-15,7.461406772844692e-14,-4.501412896304697e-14,5.017079736332518e-14,2.160918168962611e-12,-3.205917456257868e-14,6.328656827952507e-14,-2.073203757418572e-13,-5.144404819099614e-14,1.067509027021283e-14,-1.099386209763937e-15,1.683812621113985e-13,-5.65486061372659e-14,-5.331555412862075e-15,4.716176392385648e-14,-1.815436935093719e-13,1.474929941985778e-13,3.408620357214069e-13,4.110524325374865e-13,6.958899513392417e-14,1.883142130232459e-13,1.466166108723255e-12,6.723343746800417e-14,2.923466889869441e-14,-2.256748479194979e-14,-4.821370116455028e-13,-1.023523320937113e-11,-5.532845780993568e-14,2.84582042819365e-14,2.544298996856674e-13,6.07578686157528e-14,-9.81080414862888e-14,4.945483883376408e-13,-4.439523992013729e-12,2.004384593717172e-13,5.605864588386452e-13,4.095812743083465e-12,-2.330052018987932e-13,2.54225497669067e-14,-5.148424578336964e-13,-1.357737511081809e-14,-9.82039091056697e-14,-2.637098592823745e-13,6.35592220299771e-14,3.128140261094017e-15,-4.067713705469321e-11,-4.16175730664881e-14,1.559015734429335e-13,4.459051998360917e-14,-5.766796873774368e-13,-2.138871093202921e-13,-4.03185370464521e-14,-3.444066388955517e-13,2.373421976357823e-14,-8.118388695784127e-14,1.030191040265006e-14,-8.368617926863185e-14,4.712986166416636e-14,1.037155304129911e-13,-2.716080127654301e-13,-1.360806389911231e-13,2.03057806926353e-13,-1.900885956102095e-13,-4.569690552669327e-14,-1.588467188557576e-13,-2.114138695481107e-14,-2.528768590782845e-13,-6.978761359472034e-15,1.422037443840085e-14,-1.318152523310183e-14,2.316079305488488e-13,1.637192080552496e-13,,,,,,
