ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),1.016510942790436e-13,3.670569647623235e-14,1.264594057598049e-12,-1.999806246507064e-14,-6.598960402044911e-15,9.23907976037051e-14,-1.671137788532794e-14,-8.870871849092175e-14,7.271501856906842e-14,-1.311786747826381e-17,-2.467130892534255e-14,8.51761734104948e-14,-4.461955838937584e-14,-1.896832101196567e-14,-1.705053265370074e-15,8.511996846101761e-14,2.643595098826204e-14,1.393228283541356e-14,3.502228214838768e-13,7.234406932510574e-14,4.075734534180884e-13,1.581790309172308e-13,2.144275746605413e-14,1.349152552943587e-14,-1.460098756468671e-14,6.239767843483104e-14,-6.832497418350628e-14,-1.747015685392504e-13,7.064362757940364e-14,-4.05108334880589e-14,8.51640558773549e-14,-3.786308904169008e-13,3.391665189832077e-13,-4.839001177490691e-15,-7.928692589269073e-14,4.634116335044878e-15,-4.127559084608711e-13,-1.344362753809891e-14,2.172312329296356e-12,-5.023765582358028e-14,9.789730475536152e-16,1.68739594495319e-13,-2.355587598744591e-13,5.827937055199315e-27,0.0,-1.856084932171432e-12,-5.557006556010616e-59,9.041218381035055e-15,1.540974343109125e-13,3.226401354457684e-13,3.339698972775144e-14,1.292016512860696e-13,4.961562672563384e-14,9.073090622303817e-14,-4.492445862972403e-14,-8.725902716308153e-14,-4.253273442266971e-13,-3.734093019771724e-15,-1.241670933692443e-14,4.970282918448868e-13,-8.410281895850172e-14,1.104866668224914e-13,-2.531870113707225e-13,-1.201346258621749e-13,3.497174015514616e-14,9.244854353950809e-14,-3.611411274238896e-15,-3.697876088928451e-14,3.628880795201361e-14,-3.80780564073921e-14,1.02795298017619e-13,-2.519144824714951e-15,-3.255982488870467e-14,3.42371306291986e-14,-1.051585636747834e-13,1.821777645222732e-12,1.823366345364695e-14,-1.533383929513866e-13,-1.928388304241171e-13,-1.1789719174438e-13,2.418014500368139e-14,-6.57813076424515e-14,-1.6018686106359e-13,5.621119619769764e-14,4.308257777207545e-15,1.149493501313438e-13,-3.756320834408324e-14,-1.375065237984968e-15,-1.286768326005092e-14,-5.826263735250153e-14,-2.645537549436694e-14,7.9002732565594e-15,1.802790656754261e-14,-1.427489659610321e-13,-1.085215542306855e-13,,,,,
frozenset({'223283.9.peg.3813'}),8.350509697081732e-14,2.740283119881111e-14,7.251545559825369e-14,-6.031691211585108e-14,-1.615620758622491e-13,-1.356413111595195e-12,7.158462523165384e-14,-8.856284506379825e-15,2.266997365911961e-13,3.461945537806941e-14,-6.765942479820455e-14,2.065561294646619e-13,-3.276243768550741e-14,5.105008617126982e-14,-6.237966327983132e-14,0.0,9.230641698418466e-14,1.964657196998417e-14,3.289008621121086e-14,-1.322396667062232e-12,1.335274173262847e-15,1.187107979790404e-15,4.795419133512885e-14,8.054127907316475e-14,-1.100678130064486e-13,8.32034595950277e-14,1.734865816652068e-12,-6.919510382515161e-14,1.55779792592572e-14,-1.434753439083258e-14,3.095576605247676e-14,7.389088523279366e-14,-1.331291357209498e-13,-2.438101590616609e-14,8.659864573459715e-14,-3.434562133784677e-14,-4.316232754897706e-14,-6.561638116217549e-14,-3.649323102253429e-14,-7.138159077955931e-14,1.125145442256489e-13,1.547243087186358e-14,-7.870516226701422e-14,1.953015552947357e-13,2.366169895589278e-15,3.173319823135823e-12,9.741981396140173e-14,1.199447443083424e-13,-4.342022480782148e-14,-1.629253520333897e-14,4.490803710363597e-14,1.108192609305155e-14,-5.095499965005115e-14,3.675285268095913e-14,2.290795935923243e-13,-1.343340256855262e-13,1.760744432868324e-15,1.515750427233803e-14,6.269001102767375e-14,4.054987888158823e-14,-1.130335707749925e-12,1.0128247133106e-13,-5.50759029651184e-14,-3.718246747995429e-14,-2.229530484006245e-13,1.23529905867385e-13,-2.68226223512288e-14,-3.144438353368695e-14,1.018430122681137e-13,-8.043865990896162e-14,1.030268007756255e-14,-8.838535532984764e-15,2.288124234951907e-13,2.797137307140597e-14,-1.383963181241402e-13,3.164181663839448e-15,1.882317636794804e-13,2.167679030504966e-13,-1.119975531445355e-13,-5.685805925117447e-14,1.627410237790083e-13,-1.363552403193199e-13,2.227369958726772e-13,3.927661867710227e-13,2.086980414245898e-13,8.224035455985128e-14,-3.447912692425933e-13,-9.045007668614357e-15,4.854626292167371e-14,-2.319801010843218e-14,-2.054913281106056e-13,-3.467407541069694e-14,9.826372950826374e-14,-3.248329208681949e-14,-7.256936417341931e-14,-4.202833208374504e-13,,,,
frozenset({'223283.9.peg.3927'}),2.868162944173897e-13,-6.485884679699895e-14,1.501114442068354e-14,5.63666407173988e-14,4.214799167604069e-14,1.527185398829915e-13,-4.841951306429218e-14,-3.96868854809338e-14,1.195436667389456e-14,2.043806382596729e-14,-2.806503606501469e-14,4.98826214429984e-14,-2.698549048320014e-14,2.565602643006051e-14,-4.06736266155152e-13,1.348232243287796e-14,8.143057843395886e-15,-1.184265274117286e-14,-1.400723463761703e-13,-1.011263487623407e-14,8.761892729731956e-14,-1.897539372602198e-14,1.749946171839976e-13,1.230504582265498e-13,1.48746846839418e-13,8.976352908120818e-14,-8.86647753536335e-14,2.758922923354013e-14,-3.567815326161073e-13,-6.471662508668319e-14,2.772437400605837e-14,2.991767345362596e-13,0.0,-1.96375199492723e-13,1.182541820141133e-13,-2.451088518870266e-14,1.582253907959382e-14,1.408462044116668e-14,1.891357044415868e-13,5.41766217807112e-13,-6.526063477545599e-14,3.923515487077507e-14,1.030759466114774e-13,6.077686542499838e-14,-1.086953951613639e-13,1.719188940280785e-13,-2.8302253087267e-14,-4.356824882684367e-14,-4.327608991788238e-13,3.35437130010482e-14,-2.499240552375405e-14,1.654345846735271e-13,6.371433117471872e-14,2.777474166374609e-14,1.42579925879282e-14,-9.02131222005807e-14,3.390602169756515e-14,6.276462734941678e-15,-7.108995893456737e-14,-4.695658112610556e-14,-5.536663785453914e-14,-4.796521049592487e-14,3.659292209790978e-13,1.343092880088241e-13,-6.698268947155052e-13,-1.091934738655101e-13,1.052545179346381e-10,-9.053413827725702e-14,9.412990348122362e-14,-7.464718054152559e-15,-3.901781415607928e-14,-3.250037234466671e-14,-3.496069791017676e-15,7.172467121775226e-14,-4.230661214120193e-13,-2.828271440088954e-14,-6.52929196747497e-14,-2.45356064539728e-14,1.729407417681492e-13,1.157497785737217e-13,3.701822439773295e-14,-6.421172709119522e-14,1.450581622821358e-10,1.056408901023813e-13,-2.92374715798735e-13,-8.512750206942803e-14,2.719769622725871e-14,-6.198131511114749e-14,-2.120594332782114e-12,6.571562394943091e-12,3.518677914861566e-14,6.57872477426684e-14,1.462992637514963e-13,-1.054103690065308e-14,1.669324937203117e-14,,,,,
frozenset({'223283.9.peg.3930'}),115.4515258830127,115.6326856474439,115.6326856474434,115.5482170748079,100.5427943808458,115.6326856474437,115.7172778076097,100.4642002333937,100.1811745680124,115.7172778076082,100.4642002333942,100.4642002333949,100.4642002333951,115.7172778076107,100.4642002333935,115.717277807611,100.4642002333938,115.6326856474438,115.7172778076106,100.1811745680118,100.4642002333932,115.6326856474452,115.6326856474435,115.6326856474442,115.7172778076104,115.6326856474453,100.542794380842,100.2959124257135,115.7172778076091,100.4642002333943,100.295912425713,115.6326856474432,100.4642002333933,100.181174568013,100.4642002333926,115.7172778076096,115.5482170748091,115.6326856474441,115.7172778076309,115.6326856474446,115.632685647447,115.7172778076105,116.3836405843828,100.4642002333936,115.6326856474443,100.5427943808459,100.4642002333902,115.2709328705139,100.464200233393,100.4642002333757,115.632685647443,100.464200233394,115.6326856474436,115.6326856474384,115.6326856474433,115.2709328705134,115.6326856474499,115.5482170748088,114.4109049877206,100.1811745680119,114.5940502899651,115.7172778076099,115.7172778076095,115.6326856474429,115.6326856474396,100.4642002333939,95.73250485375269,100.4642002333934,115.6326856474426,100.4642002333924,115.7172778076092,115.632685647444,100.4642002333981,115.451525883014,,,,,,,,,,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.5202'}),115.451525883022,115.6326856474437,115.5482170748085,100.5427943808453,115.6326856474439,115.7172778076103,100.4642002333936,100.1811745680131,115.7172778076105,100.4642002333922,100.4642002333932,100.4642002333942,115.7172778076104,100.4642002333926,115.7172778076102,115.7172778076101,100.1811745680136,100.4642002333941,115.6326856474435,115.6326856474444,115.6326856474438,115.632685647444,115.7172778076106,100.5427943808456,100.2959124257134,115.7172778076072,100.4642002333933,100.2959124257131,115.6326856474384,100.4642002334036,115.6326856474433,115.6326856474431,100.4642002333938,100.1811745680126,100.4642002333927,115.7172778076099,115.5482170748087,115.6326856474434,115.6326856474445,115.6326856474453,100.4642002333928,115.7172778076133,116.3836405843826,100.4642002333939,115.71727780761,100.4642002333935,115.6326856474447,115.6326856474443,100.5427943808449,115.6326856474449,115.2709328705129,115.7172778076109,100.4642002333931,100.4642002333937,100.4642002333955,115.6326856474426,115.6326856474436,115.6326856474441,115.632685647443,115.2709328705138,115.5482170748076,114.4109049877211,100.1811745680122,114.5940502899648,95.73250485375257,115.6326856474446,100.4642002333946,100.464200233394,115.6326856474461,100.4642002333934,115.4515258830127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozenset({'PSPTOA0036'}),115.4515258830134,115.6326856474434,115.6326856474422,115.5482170748071,100.5427943808454,115.6326856474429,115.7172778076099,100.4642002333929,100.1811745680122,115.7172778076101,100.4642002333937,100.4642002333955,100.4642002333931,100.4642002333935,115.7172778076095,100.4642002333936,115.7172778076098,100.1811745680129,100.4642002333938,115.6326856474438,115.632685647444,115.6326856474428,100.5427943808455,100.2959124257131,115.7172778076091,100.4642002333934,100.2959124257135,115.6326856474439,100.4642002333932,115.632685647443,100.4642002333941,100.1811745680134,115.7172778076097,115.548217074808,115.7172778076104,115.6326856474441,115.6326856474436,115.6326856474453,100.4642002333942,115.717277807611,116.3836405843816,115.717277807612,115.6326856474435,115.6326856474444,100.5427943808451,115.6326856474443,100.4642002333946,115.2709328705135,115.7172778076061,100.4642002333927,115.6326856474432,100.4642002333933,115.6326856474442,115.2709328705115,115.5482170748076,114.4109049877217,100.1811745680123,114.5940502899646,115.7172778076105,100.4642002333919,115.6326856474457,95.73250485375193,100.4642002333928,115.6326856474454,115.4515258830145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozenset({'PSPTO_0062'}),115.4515258830127,115.6326856474442,115.6326856474443,115.548217074807,100.5427943808455,115.7172778076102,100.4642002333934,100.1811745680134,115.7172778076099,100.4642002333945,100.4642002333943,100.4642002333932,115.7172778076083,100.464200233394,115.7172778076095,100.4642002333929,115.6326856474452,115.7172778076096,100.1811745680122,100.4642002333931,115.6326856474457,115.6326856474427,115.6326856474425,115.71727780761,115.6326856474441,100.5427943808454,100.2959124257169,100.295912425713,115.632685647444,100.4642002333944,115.6326856474432,115.6326856474434,100.1811745680135,100.4642002333938,115.717277807609,115.5482170748088,115.6326856474412,115.6326856474436,100.4642002333936,116.3836405843829,100.4642002333942,115.7172778076093,115.6326856474435,100.5427943808459,115.6326856474431,100.4642002333927,115.2709328705132,100.4642002333997,115.6326856474446,115.6326856474428,100.4642002333923,115.6326856474439,115.6326856474478,115.6326856474455,115.2709328705142,115.5482170748079,114.4109049877209,100.1811745680128,114.5940502899638,115.717277807611,115.7172778076101,115.6326856474426,100.4642002333935,95.73250485375242,100.4642002333951,115.6326856474448,115.4515258830137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozenset({'PSPTO_0073'}),115.4515258830139,115.6326856474447,115.6326856474424,115.5482170748076,100.5427943808452,115.632685647444,115.7172778076096,100.4642002333933,100.1811745680127,115.717277807609,100.4642002333313,100.4642002333945,100.4642002333938,115.7172778076102,100.4642002333928,115.7172778076097,100.464200233392,115.6326856474434,115.7172778076094,100.1811745680124,100.4642002333931,115.632685647443,115.6326856474441,115.6326856474429,115.7172778076113,115.6326856474437,100.5427943808447,100.2959124257135,115.717277807628,100.4642002333934,100.2959124257138,115.6326856474432,100.4642002333929,115.6326856474444,100.4642002333935,115.5482170748109,115.6326856474442,115.7172778076083,115.6326856474449,115.6326856474446,100.4642002333943,115.717277807608,116.3836405843813,100.464200233393,115.7172778076091,115.6326856474143,100.4642002333941,100.5427943808448,115.6326856474438,115.2709328705135,115.7172778076103,115.6326856474435,115.6326856474436,115.6326856474443,115.6326856474439,115.2709328705129,115.5482170748093,114.4109049877209,114.594050289963,115.7172778076106,100.4642002333942,95.73250485375249,115.6326856474431,100.4642002333932,115.717277807611,115.6326856474433,100.4642002333937,100.4642002333944,115.4515258830159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozenset({'PSPTO_0075'}),-5.800306348162684e-11,5.936792410954435e-12,3.359205114698592e-11,-1.387946556487322e-10,-2.973551385715058e-12,2.602929571977862e-11,-3.737144875860164e-11,-7.558211672061027e-10,9.251011073078361e-12,-1.142102288159341e-10,-2.746692664631755e-11,-1.486474743086824e-11,2.503586644402618e-11,2.125406762539576e-11,1.128718535037329e-11,3.931943712430633e-11,1.904262643922467e-11,-1.459201623747902e-11,9.058861383495116e-12,3.608423635552304e-12,6.098841645322751e-11,-2.486844004901894e-11,-6.241254038486802e-11,3.819551419453024e-11,1.248727323185806e-11,-3.242355173178255e-11,3.631055930155242e-11,-1.962164864715722e-11,7.793492436127565e-12,-3.607687065012821e-11,-5.187399344803941e-11,-2.763021727763032e-12,5.531645232169373e-12,-2.053006193681222e-10,1.956628485010505e-11,-4.375344577346601e-11,4.693521432011331e-11,2.76836227364359e-12,-5.263204522684693e-12,-4.980673556369944e-11,1.082452255318534e-11,-3.463106984387121e-11,2.069365635879429e-11,1.058400618151641e-11,-1.751686819580974e-11,-1.313843656860015e-11,-4.349503047974532e-12,4.193299513458724e-11,4.394791372846193e-11,1.371080638485298e-11,4.960428789639263e-10,-2.553208839149124e-11,-2.184010470640478e-11,1.126546910240359e-11,-7.778733826328723e-12,-6.269279572335215e-11,-2.764106851563359e-11,3.769393012714332e-11,2.714545689611141e-12,-1.112588808368988e-11,-5.267863296808068e-12,-2.285860298538712e-11,2.798496307092826e-11,-5.537324114491292e-12,2.688050688305515e-11,6.805059316293816e-12,1.187816245986898e-11,-1.580403152459709e-11,-1.390031025489111e-11,5.582788572440608e-12,1.279069457099148e-11,3.788989040062683e-11,6.587635752658535e-13,5.058774930853948e-12,-2.312643484005589e-11,-1.089967973399659e-11,-1.666670578887709e-09,2.778047893339305e-12,-5.258986623432728e-10,-2.692284067121857e-11,3.335871936927069e-11,-2.890407943040849e-11,1.157880378945932e-11,-1.69785889151878e-11,-1.876342128086999e-10,-1.389558505981844e-12,-1.603223867646861e-12,-8.666672120285615e-12,4.767165586375608e-11,2.294713404007051e-11,-7.041423744032587e-11,4.188401735439932e-11,-3.4110160757178e-12,-2.020434591768516e-10,-2.18217023506505e-11,-6.864162498487209e-11,-2.146067036745373e-11,-1.008484540081178e-11,-1.77146172558167e-12,-6.401266731074825e-11
frozenset({'PSPTO_0080'}),6.59669655832099e-13,-7.798907718535062e-15,-5.323216208378236e-12,2.692665474602523e-13,2.089135633256853e-13,0.0,3.23297942772464e-13,-1.3680733548914e-14,-4.427699405850129e-14,-1.449647735472008e-13,-1.635468973547007e-13,4.703726102118485e-14,-3.6401962311867e-11,-4.725971995922763e-12,7.622247532192135e-15,-7.233546533669639e-15,-5.208126383813328e-14,-9.069058974067419e-15,3.333826587981961e-13,1.034265706674367e-13,-8.896482948438665e-14,-1.020270079597659e-13,-4.691624799336299e-12,-6.240151011938195e-14,1.2818325336946e-12,-4.641135751376231e-12,-1.100724070332036e-14,2.91788969918933e-13,1.882001764557268e-13,7.169974344388729e-14,9.69070258277167e-12,-1.516871157579248e-12,1.193472825044259e-13,3.422654514363198e-12,4.120829663315908e-14,-4.842702387613961e-13,-3.878457203105194e-14,-1.569871078370987e-14,-6.099452515984031e-14,-4.34916045007942e-14,7.794359621325903e-12,1.485109970350285e-14,6.528218608353284e-12,3.642637934736243e-11,7.281175384856759e-14,-3.652730645121052e-14,1.01936392804553e-13,6.792233334174505e-12,3.328419356670692e-13,3.306013496732221e-12,-5.236080601529214e-14,3.054623684320075e-11,1.622078304854449e-14,3.899403510399973e-13,1.585427005370276e-11,-6.732066790915862e-12,1.922210895752128e-13,2.083214347336855e-11,-5.562701278107736e-10,-1.123129344577434e-11,3.134640216457181e-11,1.5350444206937e-13,-8.25776499784947e-12,3.333428759039179e-13,8.571761318704043e-12,-6.264193674644407e-12,-1.59268855052969e-13,1.632444831952202e-13,-1.102210899998045e-11,8.185259165432665e-12,8.710182115343208e-14,-3.627478024860998e-14,-1.194304051601987e-11,2.301355165819488e-16,1.455791127570312e-13,-7.51045349692279e-12,1.018219065937815e-13,-1.532465478646599e-13,-1.61291383634374e-14,8.69796481592713e-14,4.726394918751204e-14,5.034046308975401e-14,6.186408528960405e-12,1.339610367740783e-12,4.170407018062652e-13,-3.610827061515668e-11,-8.93801649693404e-14,-1.930700262446897e-12,4.721551894745451e-14,-9.498355139181161e-14,-2.256758291001879e-13,-8.409608846567137e-14,4.718598350116595e-12,9.958736607259843e-13,1.72398247471541e-12,,,,,
