ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1'}),-7.866331973488253e-13,-4.656208612511437e-14,-8.300739726735988e-15,0.0,-6.996801313572401e-15,-8.713613264021115e-14,8.25132700048107e-17,5.180599603028756e-15,-1.714712134428317e-14,2.225074193785669e-16,-5.03507897983394e-17,8.817587764074095e-15,1.386451385539636e-14,-3.629559745778124e-16,2.181105480610013e-14,-1.744003745431363e-29,2.207548109983549e-13,6.406956957978607e-12,6.170228144396621e-14,6.821906651060849e-17,4.444983739461203e-16,3.793842829257114e-16,1.677829978092533e-12,-9.207344788930908e-15,-5.041528950727724e-14,2.680540651233307e-16,-3.035828745074165e-13,1.04819624852781e-12,4.527603813198723e-13,1.206963580232726e-14,2.888623682689211e-13,1.124133841141344e-14,3.32386903818059e-14,-3.686259741333261e-14,-1.492127789732166e-16,1.069182164101734e-13,-8.267916983225055e-14,-4.189082778370509e-17,1.316653957588915e-16,7.640047017630669e-14,-7.605125125470559e-15,8.829710865615056e-14,3.25284645683401e-17,5.344138128761307e-17,1.064506056710493e-13,3.230761078760557e-15,3.664822947862723e-16,-1.419941623606584e-14,-1.900105712726858e-14,7.938134509264979e-16,3.616921054332341e-17,-3.35501846687369e-14,-1.057423920447332e-13,-1.213034981204603e-12,-1.274328964923987e-16,-1.146044750239099e-15,4.429883232350096e-17,3.59979548020419e-15,-1.162888065579599e-13,1.481509229678557e-13,6.383964475761007e-14,-8.810838010868958e-14,-4.834841083803417e-14,2.879112523879228e-15,-1.871410887199827e-17,9.430212077297208e-17,1.219207100420168e-15,3.425101506682527e-13,2.615025311869995e-14,6.149736869521365e-14,1.01141790495416e-14,3.118132275629712e-17,-8.247975771310787e-15,9.002835571113617e-18,2.62784240477325e-16,5.879546756114249e-17,1.075128138073029e-13,1.34066254143247e-13,1.267877575946736e-14,-8.622784289603319e-15,-3.571522419103259e-17,-1.315780762368071e-12,-2.547069378043214e-15,-2.537249013259218e-14,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1290'}),-7.14304483820644e-17,-3.499762985454384e-16,1.463399741076575e-14,-1.078978805606167e-13,3.075469062601755e-14,2.755797138124077e-13,0.0,-3.546343333308596e-14,-7.049198524266174e-15,1.125486822622438e-14,-3.168069548366127e-13,-3.317525488190312e-13,-2.138406283694745e-16,3.061547908458393e-14,7.258322474561142e-13,1.656939861026578e-14,1.095967277296593e-30,-4.416942158068811e-16,-2.694808532202555e-13,6.562369362780217e-15,-6.044858672883027e-17,3.140447558017187e-12,2.406457323091461e-12,3.225939159202103e-14,6.170737252666343e-13,2.45327252250274e-15,1.554702287839485e-13,-8.966763432763352e-17,-1.555104210874244e-12,2.965313830997137e-13,5.047419087143861e-17,4.639460148020955e-15,-2.741457118058771e-14,4.824704360666834e-12,8.572979415891698e-13,-2.945044773370457e-14,-5.508082314982896e-12,3.524647334896073e-15,-1.75004598536053e-14,-1.21964586361849e-12,6.11940686450474e-17,6.178882581934784e-14,1.448041273992626e-09,2.921913510342265e-16,-5.002220447391536e-12,2.906009420005869e-15,5.319858858261639e-14,1.686870612363879e-11,3.989670178959624e-14,-8.842261547524291e-19,7.254560529449165e-17,5.049140947701133e-14,-4.021206945659375e-11,3.935368775074024e-15,1.324603938868179e-13,-6.706567698044681e-15,-5.133864250590747e-17,-4.0628146776066e-11,-9.854484678691863e-13,2.143594719743935e-16,-6.360535985092666e-17,-2.653202882079722e-12,3.115673689932565e-17,8.340534362231858e-13,3.4780396041865e-13,-4.747012999734558e-11,-9.900908377406192e-12,1.871659239034619e-14,-4.942827176699324e-16,-6.243367247106256e-16,-5.467704836082541e-13,4.433398808373516e-14,-5.456230445375629e-15,-5.617134831292328e-13,-1.560938368351449e-15,8.626254644847973e-14,-1.18458095524047e-12,-1.434230001066472e-13,-3.649295232913805e-17,-6.22400460816744e-12,-1.905665182880197e-13,2.201096903955437e-13,5.796143462577287e-16,4.73281982538718e-14,3.158173137229072e-12,8.02479410447557e-12,8.72658301720372e-15,-3.571522419103229e-17,2.041135875074867e-15,2.303346258576835e-15,-1.123705137799459e-13,,,,,,,,,
frozenset({'223283.9.peg.1455'}),0.2623488180059091,0.2623488180068922,0.2623488180071839,0.2623488180068716,0.262348818005857,0.2623488180069513,0.2680616775136075,0.262348818006842,0.262348818006817,0.2623488180078447,0.2623488180071877,0.262348817995876,0.2623488180063151,0.2623488180201506,0.2623488180219893,0.26234881800696,0.262348818007235,0.2623488180069612,0.2623488180070696,0.2248126953608452,0.2623488180074386,0.2623488180069486,0.2623488180063795,0.2627818015911116,0.262348818005394,0.2680616775131827,0.2623488180049442,8.956132842659656,0.262348818007004,0.2623488180068919,0.2680616775135718,0.2623488180072377,0.2623488180072057,0.2623488180074647,0.2623488180064025,0.2623488180069116,0.2623488180062437,0.2680616775182031,0.2623488180070385,0.2627818015909079,0.2623488179466186,0.262348818008537,0.2623488180088695,0.2623488180067637,0.2623488180391743,0.2680616775106661,0.2623488180061513,0.2623488180068589,0.2633972805361531,0.2623488180070834,0.2680616775112243,0.2680616775127476,0.2680616775132835,0.262348818006734,0.2623488180071712,0.2680616775134976,0.2680616775134171,0.26806167751335,0.2623488180068627,0.2680616775135973,0.268061677513575,8.95643824764509,0.2680616775135265,0.2680616775138564,0.268061677513446,0.2623488180072758,0.2623488180067409,0.2623488180064676,0.2623488180069909,0.2623488180066986,0.2680616775134745,0.2633972805356583,0.2623488180068367,0.2623488180071409,0.2680616775138093,0.2638337347038008,0.2680616775134724,0.2680616775135633,0.2623488180080893,0.2623488180060589,10.23145996575032,0.2248582767031161,0.2623488180067751,0.2680616775135077,0.2623488180066837,0.2680616775133376,0.2680616775135501,0.2680616775135771,0.2623488180063401,0.2627818015908057,0.2623488180067184,0.2680616775141053,0.2623488180061883,12.45298427637192,0.2623488180067896,0.2680616775141987,0.2623488180066801,0.2680616775131036,0.2623488180068803,0.2623488180065332
frozenset({'223283.9.peg.1494'}),2.838860042876587e-14,7.750217388641744e-15,2.977960111987409e-14,8.571614849293624e-14,-1.12663445770496e-15,-1.553531373608824e-16,-3.434514018657633e-17,-9.817533711009755e-15,0.0,-5.267775821066783e-14,1.964378462643341e-13,-3.145272628683825e-17,-2.953192332360536e-12,-2.48542795266549e-16,-4.142860289872547e-15,4.280180620643878e-15,5.726316125943675e-13,7.573645134165875e-14,5.921892002420084e-16,8.879903168956532e-15,-4.374309858575733e-15,-1.064696281926161e-13,-2.123366116415928e-16,7.316998705382729e-15,1.677985093830929e-13,-1.055812432595503e-11,3.39580031146684e-13,1.021022078584505e-12,-3.015638066869922e-13,-6.878270896628941e-15,-1.767044880568121e-15,-6.593641790482831e-13,-4.47195109026661e-14,4.500414180380089e-16,2.089121607578295e-15,3.777446581015696e-17,1.190051056275591e-12,-4.714129164467116e-15,1.102649657699486e-15,-3.010072404969735e-15,2.58149705294318e-17,-1.663337042848594e-16,-4.311909753433381e-16,2.430144729515944e-14,-4.372221332258608e-15,8.127315828903165e-16,1.279596342852672e-13,-1.208323686335367e-15,-2.557785606010447e-15,-4.532642894889415e-16,-7.261060115663197e-16,8.245017507354936e-16,1.184491171770466e-13,5.557756600508696e-14,1.018241737152103e-13,1.601050204202485e-14,-8.064498637068086e-14,-3.54298667790289e-13,1.500228482494607e-14,1.337366619106708e-15,1.515817791798497e-15,5.545227198439285e-14,2.613280087054579e-15,3.310862779394179e-15,2.938707609178928e-14,1.978735990419131e-10,-5.358457831627233e-14,1.360378271472714e-16,2.038871225829487e-10,9.248564757889328e-28,-3.960523910547405e-17,-1.243176565081537e-15,7.875285943415915e-16,3.439299370388459e-13,-1.480936704482321e-16,2.832909518773138e-14,1.631181034274672e-16,-7.096321740764182e-16,-9.942708400780358e-15,-2.172265117338708e-14,3.051729685087544e-14,-1.46462756639366e-13,5.697740246925784e-16,8.372361899664413e-14,-8.682383387321385e-13,-1.269343512895647e-14,9.311270833209017e-14,,,,,,,,,,,,,
frozenset({'223283.9.peg.1497'}),2.68336584465668e-15,-1.025408586686318e-12,1.270778729860351e-13,-2.478304047447052e-14,-1.133134094797199e-13,-3.673466820563733e-15,-3.722552229683754e-15,0.0,-1.327103058808742e-13,-4.484159394756559e-14,-8.094556404379147e-15,-9.920252512564038e-14,2.373172716254395e-13,1.049334725425117e-15,-3.144843544747412e-14,-4.043873933115509e-15,8.218273961007993e-17,-1.071061282052811e-11,-3.116812205396631e-15,2.214343899843923e-15,1.972432506164462e-14,-3.200285691390158e-15,5.57265509404749e-14,-3.009453994612455e-14,1.087471752510052e-12,3.318702952034672e-14,3.262850046043046e-13,1.807554673225229e-13,-3.649295233019197e-17,5.81706957597794e-15,-2.388516273925205e-13,1.094498071930383e-14,-1.195469798243496e-11,-1.699801198422748e-15,-1.474905385608371e-11,-4.452241750319343e-17,-2.461176962472067e-12,-2.751478480783539e-11,-2.620681762302552e-15,4.954005697184852e-16,-6.893038268868984e-15,8.221470070935974e-14,-3.547105466501896e-17,-2.226474362291198e-13,-4.141443651599383e-15,1.707698619994883e-10,1.713397519537218e-13,-2.40851020697479e-15,-2.566385608406107e-14,-3.280716077645828e-15,4.294759487670297e-15,3.303651894765179e-13,-7.879122948286795e-13,1.016060112457146e-14,-6.482626208135673e-14,2.469839339216538e-17,-6.872310484361204e-12,-2.255265606857965e-13,7.404172893680808e-14,1.169099181871959e-13,7.044545548852234e-18,1.109344183405902e-14,-1.017700735995004e-14,7.680593809270482e-15,-3.170362931431872e-15,8.504339177589343e-15,-1.466038897840125e-15,1.679626906129922e-11,-4.615302282701724e-12,9.076455592990898e-13,-7.695614045394271e-30,-5.996584714971855e-11,-1.508243132371265e-14,-5.583521016249051e-13,-5.943355351288149e-14,-6.766066664085089e-17,3.125068300801525e-14,-3.211077789104271e-15,4.335346778085557e-14,-1.823397754652661e-14,-1.39059657671683e-13,2.945827315783009e-16,1.806713635250798e-11,7.80693453601421e-15,5.285087786014095e-15,-5.130485954511136e-14,1.563544559484327e-14,4.512134169848549e-17,-7.622781474644893e-15,-3.147407228525931e-14,-4.430343303310167e-15,-6.344444494236806e-16,-9.27120672307434e-15,-1.853224174589303e-13,1.479658671129239e-14,,,,,
frozenset({'223283.9.peg.1522'}),-3.080705717745069e-13,0.0,-1.080144256360319e-14,-1.057405054544637e-16,-9.144150440747398e-15,3.073719989651751e-14,1.593292027026426e-15,8.656115536171004e-14,-1.905764002632168e-12,-2.602111097204699e-13,7.237763359663123e-15,-8.526986197603305e-16,-7.300910276740712e-13,3.786076069344187e-17,1.621912889923945e-13,3.555908570035657e-15,6.704270484386964e-15,-9.67723540056777e-12,3.014758291894533e-14,-3.691185415499505e-14,-3.489682906017315e-14,-5.969291641728623e-14,6.733786987995139e-14,-1.360565598984263e-15,5.788164491337467e-13,3.264636476763787e-12,-1.409120505078323e-14,6.657758015061583e-19,1.060381373198078e-13,-2.341433906203594e-14,5.270557292045288e-11,2.272592699719889e-14,1.424203502244572e-12,1.669782436022165e-11,1.1403789482004e-12,2.817517066134687e-13,-4.526995237286491e-15,-2.624815570742879e-11,-2.424268265229473e-14,-1.845532730599989e-15,4.332254846182152e-18,1.465056419307607e-14,-2.746180502329302e-17,-2.711501125322596e-13,8.003361857990973e-15,-2.602849349781844e-14,-1.930402728644121e-16,-1.420730206835766e-13,2.763728469371402e-15,6.356416210201604e-15,7.31294947969385e-16,1.934880274437284e-14,-1.746000326763739e-14,-2.850902674796753e-14,5.034405589464962e-17,1.360153601117992e-14,-2.626004240415162e-16,-3.765722892261013e-13,-8.122550129092938e-12,4.311368763962948e-45,-3.532337659644662e-14,-6.21949559806426e-17,4.703784497511826e-14,-3.566497161218298e-13,7.353994745143219e-15,-2.324373459365177e-14,-3.146049712156583e-27,4.318567144102602e-15,-4.057181403125916e-19,6.091890157724597e-13,4.837746384356139e-13,-2.987766186524714e-12,9.636693395865929e-13,1.016247335901818e-14,3.436287237845437e-14,-1.477200141440171e-13,-7.29859046604697e-17,1.184148462448855e-13,2.586845277103424e-11,3.571522419103016e-17,9.808716332155364e-14,-3.956990213867117e-16,5.50923622829536e-15,4.620104785036748e-16,5.054139262838884e-13,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1560'}),2.428597527560861e-14,2.032146671704928e-15,5.097157792942125e-14,5.400999484117839e-16,8.283632507472183e-15,-4.440807550408366e-15,-2.947850408782966e-15,-6.633576505553588e-17,-1.400870397331082e-16,7.430995131730215e-13,-5.039484304816663e-16,-2.825657213126537e-14,1.171251499073256e-16,-2.002954702919883e-15,0.0,1.905935547270326e-17,-3.317046541838595e-15,1.428608967636633e-16,1.569959869540789e-17,-4.538542252252491e-17,4.511855159767739e-14,1.468156054671811e-15,5.358432079938939e-15,-1.476701320164185e-16,-3.811871094540648e-17,-8.715624356952503e-14,-2.70469280603443e-14,-1.591729071713349e-14,-2.511383946756066e-14,2.927289401742543e-17,-5.024452694781239e-17,-2.183104079179443e-19,1.834794939183671e-12,-5.482985456932035e-16,2.562915044438153e-15,-2.892295761871435e-15,1.436313773374877e-11,-7.893167027604039e-14,1.258683853740249e-14,-4.252253540517902e-14,7.158495013763104e-14,-4.927135186489039e-17,2.347713332350943e-13,7.815678665432298e-15,-1.601456520781329e-16,-7.891032322071013e-29,2.280972352389679e-13,-7.641005433347518e-16,-2.6841719906179e-14,-2.975027697314458e-14,-3.965871925330468e-12,-1.854886011806475e-15,4.902560915697954e-14,4.953914758239178e-15,4.462591955416891e-15,-1.645338102594248e-17,3.072342488220558e-16,-1.061065098166646e-15,4.21683454133523e-15,-4.003643465260386e-14,2.254090158907843e-14,5.796524770579549e-14,4.178759427568269e-13,8.568819384715908e-14,1.330154228472592e-14,-3.663364071093143e-15,-1.565239725512839e-14,-3.042376542682401e-13,-8.897694494438569e-12,-1.605757608490557e-17,-4.424467706764549e-13,-3.708146795584481e-17,-1.253212608007666e-13,1.026413286662108e-14,3.019678372465093e-14,2.147011811167643e-15,-5.471505685757691e-16,-1.090030692684297e-15,5.096079549364995e-17,-1.466156139305738e-13,1.087131670826248e-14,-1.225632685033399e-13,2.326813111633404e-14,9.689506358323885e-15,1.480890358031447e-15,1.416957663843388e-13,1.689282573828316e-14,-2.418981759005174e-15,2.629299561942459e-13,,,,,,,,,,,
frozenset({'223283.9.peg.1575'}),4.037342026560725e-17,-4.178667887958592e-14,0.0,7.638307351996272e-15,-2.233972627740926e-16,-9.144150440747398e-15,-4.585545080329058e-15,-9.051540088324102e-13,-4.307248419343292e-12,2.245206029853068e-14,7.609421864437917e-15,2.376896582125932e-16,-4.800061477560017e-12,5.602587529369548e-16,1.621912889923945e-13,3.645553323902102e-15,-3.428203943512385e-14,-4.950074353603932e-12,-3.690740901578178e-14,-1.202379872526557e-15,9.736791537304869e-13,-1.286913488683084e-12,1.006872091509759e-27,6.896409641099422e-14,1.311824589382368e-14,1.335364468085005e-14,1.451133738179538e-11,-1.772802058044749e-14,2.561401664416872e-13,1.159626719175768e-12,2.272592699719889e-14,1.074163188810641e-14,1.66702186108711e-11,-1.13279936811186e-12,-3.571522419097843e-17,-1.005403053744394e-13,-1.079428796373741e-12,7.860698945503418e-14,-1.779774992294011e-14,4.984160787266125e-14,1.465056419307673e-14,3.020798552562213e-16,-4.344631684161671e-14,3.649295233023485e-17,-1.803906349475135e-14,1.751471943176305e-15,3.939661298453353e-15,-2.097796946030936e-13,-1.337870667427936e-17,-1.381864234685701e-14,-6.447101075651132e-14,1.270112818451058e-14,5.699560512580096e-15,-2.243565079523682e-17,-6.157608620060146e-17,-3.006890047803692e-14,4.00454507484187e-14,7.16735404095841e-15,-7.9406021260274e-14,-1.727670788369032e-10,-1.447137536798869e-14,1.01928576944115e-12,-9.557937304704897e-15,-4.07388924831886e-12,-1.529995917123808e-14,4.703784497511826e-14,-3.710016209315504e-14,3.10203790655222e-15,5.696420945489391e-14,-1.784505368948491e-14,-1.058022421432262e-13,-7.182631637428926e-17,2.046922590370134e-14,-2.942921456837927e-13,-7.29859046604697e-17,-4.498081322819283e-14,-7.239349365157058e-16,-1.730082840025006e-15,1.126220291639102e-15,1.879224993667406e-15,1.352249125607066e-13,-3.021583518170525e-16,,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1577'}),2.428597527560861e-14,1.571005696202655e-14,5.097157792942125e-14,5.89199943721946e-16,5.992344520009866e-14,-1.007305127287751e-14,3.275389343092185e-16,-6.633576505553588e-17,-1.400870397331082e-16,7.430995131730215e-13,-5.412827016566593e-14,-1.104005521873715e-11,1.403144646601293e-16,-2.10577815673183e-15,1.59112216213125e-11,0.0,-3.317046541838595e-15,1.428608967636633e-16,1.569959869540789e-17,-1.170085759903073e-13,3.403730110029097e-14,4.511855159767739e-14,-1.284649699138159e-12,5.358432079938939e-15,1.093591489868529e-15,-1.869699213668991e-16,-3.32499903503279e-14,-3.38900798609518e-14,-1.591298915422565e-14,-2.511383946756066e-14,-4.428662032442816e-17,1.834794939183671e-12,2.147138882733744e-12,-2.169221821403576e-15,2.676631873691688e-14,-7.893167027604039e-14,3.928131777646058e-13,-3.625459917485613e-14,5.494487222878012e-15,3.072021957729377e-13,-4.873339583499179e-14,4.231171629883623e-17,7.179484339344683e-17,2.280972352389679e-13,-2.709260991302401e-15,-2.6841719906179e-14,-5.167593295195733e-16,-2.975027697314458e-14,4.902560915697954e-14,4.532028640065552e-16,-4.090709292465469e-15,-1.31385221989391e-14,-2.423216437598135e-16,-5.148161176373119e-16,4.21683454133523e-15,6.82583219793532e-15,5.773280627236746e-14,2.649231321481665e-13,8.568819384715908e-14,1.330154228472592e-14,-5.592203682673933e-15,-1.563166560313484e-14,-4.246785735485597e-13,3.732411974184612e-14,-8.250647110224698e-14,5.681606944866608e-15,-1.253212608007666e-13,1.003532571534298e-14,3.019678372465093e-14,-2.252972929429638e-16,5.450153463421484e-16,-1.499530024394015e-13,1.081917216625592e-14,-1.506719379471487e-13,2.602781789783145e-14,3.316690407975918e-16,1.416957663843388e-13,-7.318003523637612e-15,-7.457437264455117e-14,4.219029943491759e-17,,,,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1663'}),1.250032846686032e-16,-1.13895868335892e-15,-7.316998705382874e-15,0.0,-1.031148513620169e-12,-4.901792924261377e-13,6.902993871344319e-13,-3.546343333308596e-14,3.608505825612627e-16,-4.111329044292152e-14,9.173019804358282e-15,-2.275976788409633e-13,-2.138406283694745e-16,-9.30600002930239e-16,7.257112510987553e-14,-3.571522419103122e-17,5.497578095160174e-15,-2.120132235873029e-14,4.402715442845273e-16,3.842161417240676e-14,-6.044858672883027e-17,2.906307468017811e-18,-2.714607769179293e-16,2.41905657609194e-12,-2.934585357414701e-14,8.300580146261212e-13,-1.076463673591311e-13,-1.090487890257932e-12,8.225612251217819e-16,-4.341284169983294e-15,4.02354713469442e-16,-1.544285086488084e-13,-1.435276977580073e-10,-3.393720891702942e-14,-5.622407641170017e-16,2.631421132270733e-12,4.141443651599368e-15,5.618247430745909e-16,9.37679458171024e-16,-1.746474462941423e-14,1.688624168144669e-14,1.16472388107132e-15,3.204817242093807e-14,-2.443139521578799e-15,-7.237579765117792e-13,-1.823201951890658e-17,-5.491729780359268e-11,-9.657309032061593e-14,7.08691413367828e-14,-4.139896395957276e-15,-1.889041159446961e-15,5.66367368106061e-14,6.024618332955571e-15,-2.007893422207487e-11,-1.551845349963277e-13,-8.957523474269487e-16,-4.884116449840093e-14,-1.36104650885142e-15,6.23134737986513e-17,-5.403528023748056e-17,6.432727016218729e-17,-2.504863035535355e-15,-8.33535335376558e-11,2.420553992416833e-13,1.871659239034619e-14,2.465347597827647e-14,-7.546680357836832e-12,-3.802752753760509e-17,2.930765691927549e-14,-2.8997410703472e-16,3.065847670516558e-12,-1.591545003025007e-15,-3.126351618404243e-13,-2.064162692512055e-14,2.83310450416527e-11,1.943612153336028e-14,-5.085691984228222e-15,5.712159651032249e-16,-4.574247826700099e-14,2.821497340498667e-14,8.61073924500274e-12,5.343608397494356e-16,9.904273834845721e-15,-8.686936024292006e-14,1.425311779506475e-15,-1.447865323343836e-16,,,,,,,,,,,,,,
