ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),-8.605726467597463e-14,-3.325575437139507e-13,3.156774456846662e-14,-1.367833421901938e-13,1.862131072931813e-13,8.530078198599475e-15,-7.498423148704932e-13,-8.225711773442817e-14,1.448587557473489e-13,2.456257616654562e-13,5.581460177991931e-14,1.467465927652587e-14,0.0,-6.36723727302145e-14,6.035558098303661e-14,6.058774023422288e-14,3.789173424941344e-14,2.131742412977682e-13,-1.250036548296209e-14,-1.406852580830628e-13,1.880442848148048e-12,6.986500053196491e-14,-3.49556471265629e-14,-1.499633456532038e-13,6.057872754108206e-14,8.573958088314102e-16,5.751535714693287e-14,2.803770954874808e-14,3.74348127649933e-14,6.496873227930514e-13,-9.936993719660211e-14,3.789651633081654e-14,3.354431392201528e-13,-2.408229108311036e-14,-1.317852982700343e-13,-1.257024544763888e-12,-1.524387917228664e-13,-2.768448434429206e-14,-2.172130144333576e-14,-1.923485047957103e-14,-3.017549054219635e-13,5.971646744682463e-14,1.598850079559549e-14,-2.43212243830752e-14,-1.670678120617534e-13,2.34417889195663e-13,2.63292951966377e-13,-1.055816406012877e-13,2.306771713127035e-13,7.487314737875701e-14,-7.709844967041728e-14,2.748969658526464e-14,1.115136328087384e-14,-1.287372368285083e-13,1.916987570581938e-14,-1.470735472979592e-12,7.283644960981636e-14,-3.348619846952896e-14,2.006914304308749e-14,-1.494530699786242e-15,3.058567818266347e-14,2.14779886731578e-13,5.491547889946255e-14,9.09310135665007e-13,-5.86943131758761e-14,8.917402643856923e-13,-9.234322906592892e-15,-1.676021647235198e-13,7.342125330579582e-14,9.55143969029795e-14,1.424696925821282e-13,1.43441153025444e-14,-3.245930591481983e-14,-3.532960520207351e-12,-3.381101744855712e-13,4.184579574710469e-14,-2.368304833052491e-14,-1.369800326489165e-13,-4.150523420719329e-14,8.351634127182224e-14,-8.063334710078877e-13,2.313515044875182e-13,1.044360439299247e-13,4.514250524826797e-14,-3.060985618525775e-14,4.810210554448176e-15,-1.333940169849245e-13,-6.841770780306466e-14,1.358862958501926e-13,7.570965594824152e-14,9.429854960140251e-14,9.813762899619667e-14,5.020018509949713e-13,1.845912063835199e-13,-8.039706242842224e-15,3.320950097456457e-15,4.800392429480572e-14,1.870861557559311e-13,,
frozenset({'223283.9.peg.3813'}),-1.104687975836401e-14,2.389113586819142e-13,-7.728497525037508e-14,-1.067314030195376e-13,8.81259625445094e-14,-1.947270629226908e-14,-3.447778632441273e-14,-4.400364223719911e-13,2.673709724000826e-14,1.148347697034366e-12,8.260178498082786e-15,1.85850551595504e-13,9.25494379112893e-14,-5.112224577961814e-14,-1.317686719666181e-13,-2.506073786965015e-14,-8.315489796348603e-14,9.118069560925003e-14,-4.301173246365518e-13,-9.527752743101608e-14,2.038919998902764e-14,4.451786820399003e-14,-1.610736098643378e-13,9.048319545407517e-14,-1.702329944319322e-13,2.936385746833578e-14,-2.07492032969226e-13,-1.184174711694107e-13,-6.632809843325797e-14,5.932131679783396e-14,-6.812266802320665e-14,9.116763899359406e-15,-2.837082907619508e-14,-7.668934126347036e-13,-1.164709002053103e-13,1.304904000467125e-13,6.075829838476199e-14,0.0,4.463019631027281e-13,1.490399278004765e-14,-7.795528030247222e-15,9.205893845990941e-15,4.10629719346475e-14,-5.531245561862646e-14,9.029266393672009e-14,1.230162540692762e-13,-1.132183950888214e-14,1.098493644864032e-13,2.461924663462256e-14,-5.216718089818178e-14,-3.422468268739276e-14,6.422770379474467e-14,1.483813022352714e-13,9.091817898050673e-14,1.373968164522456e-13,-4.921832697169684e-15,1.896612154440032e-13,-1.116274385043514e-13,-1.312869318501299e-13,1.196752134800911e-14,3.172396302972235e-15,-1.838081705834069e-13,-7.395597154783186e-13,5.898443706160277e-14,-1.542494128466039e-13,1.228984138161363e-13,5.741729395453882e-13,3.620559916458905e-13,-8.772574616657325e-14,3.616364880256182e-13,4.399027547050661e-13,2.155761387101331e-14,1.817460883633871e-13,-2.511158624109805e-13,-3.802168096247091e-13,-5.509239838880996e-13,5.443729995373793e-14,1.339500778516306e-13,6.657495540842622e-14,1.153670446882597e-14,2.206680108568194e-13,6.41239244926398e-14,-5.687196724303445e-15,-3.034372954262007e-14,-2.721466097361363e-14,1.127655455227524e-13,3.532591038105927e-14,1.972349802065836e-13,9.13074565958024e-13,1.118802651741021e-12,3.739360541081473e-14,2.158953030411599e-13,2.346710980718514e-13,6.52475909168535e-14,-3.122177088430822e-14,6.083638577951542e-14,-1.446558978122083e-13,5.587106584740685e-14,4.0973242941095e-14,
frozenset({'223283.9.peg.3927'}),-6.041922595142403e-13,-4.028993789311366e-14,-5.086409028539982e-14,-2.436406242013421e-14,6.565212711909219e-14,2.128398085333456e-13,-9.35947370014757e-14,-8.816644394906178e-13,-1.011075749883547e-13,0.0,6.778601449475892e-13,-5.357736434649924e-12,6.154366604679947e-13,-3.382562636196877e-14,7.456812750630513e-15,1.302869629104832e-13,-1.375604764539086e-13,2.697557964038762e-13,-7.223174878689484e-15,-6.307869585715564e-14,-1.80754363318199e-13,-3.504452907024938e-13,-8.924261159148705e-14,6.33474662063149e-14,6.032301623383681e-13,5.172870032483971e-15,2.399789158016298e-13,-3.169283346751639e-14,1.994557788571733e-14,-1.938181164615858e-13,1.67747256499689e-13,-4.979036679068034e-13,-4.631737556813356e-11,9.543207694992199e-14,-2.286350642844701e-13,-1.162831128497169e-13,5.384699435360885e-14,-4.836968949253425e-14,1.618803213268708e-13,3.623342134328644e-14,-4.289649342611651e-14,5.398071199311211e-14,3.991207205508179e-13,4.000161794457871e-13,8.619322914360472e-13,5.118817654514392e-13,8.513895122846728e-15,-1.089335329637354e-13,-1.70335155928133e-11,-6.091219463935991e-14,5.862981195676947e-14,-1.635761278290983e-13,-5.127461562192128e-14,1.246387578236747e-13,6.841384523396039e-29,4.171765905700529e-13,2.624010327691998e-14,3.744338602473273e-12,-3.458656847661781e-13,-5.735610310888677e-14,1.286767019750487e-13,-7.650640034608305e-14,5.389808596421008e-14,6.068263639388491e-14,2.302916723383974e-12,8.403635001233043e-14,2.011619063790592e-14,-1.115699482917444e-13,5.913604062006786e-13,4.905686535882604e-14,3.05538628964905e-14,-6.482596909741425e-13,9.486894352989344e-28,-1.086976678989851e-13,5.284815239953695e-13,-2.430949999937913e-13,2.381510134309087e-12,-1.533809704154077e-14,-1.36197185021833e-14,-2.847478116024786e-14,3.642051088366515e-13,1.334150645044112e-13,-2.97992567265816e-14,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.3930'}),108.5518174076164,108.7239774207808,108.72397742078,108.6437044029792,99.25378419647625,108.7239774207789,109.6903362551304,98.98006641393502,98.13666080131738,109.6903362551291,98.96452928046857,99.17619766629991,99.17619766629863,109.6903362551276,99.17619766629865,109.6903362551305,98.96452928046935,108.7239774207788,108.8043691481177,98.13666080131566,99.17619766629858,108.7239774207801,108.7239774207787,108.7239774207804,108.885022304259,108.723977420778,99.25378419647568,99.01006739461455,108.8043691481147,99.17619766629964,99.01006739461678,109.6101499366386,99.17619766629844,109.6101499366425,108.8045113932731,99.17619766629981,98.13666080131938,99.17619766629907,108.8043691481181,109.5300807688276,109.610149936639,108.7239774207793,108.7239774207794,109.6101499366412,98.96452928046826,109.6903362551297,109.4248966085529,99.17619766629872,109.6903362551293,99.17619766629855,108.8850223042589,99.17619766629875,108.7239774207796,99.04212645749931,109.6101499366384,99.17619766629969,108.460227056822,109.6903362551296,99.176197666299,99.17619766629802,109.6101499366401,99.17619766629942,99.17619766629971,108.8045113932734,109.6101499366408,108.7239774207798,109.6101499366382,108.7239774207783,108.3802017493021,109.6101499366392,108.643704402979,104.7150655819852,98.13666080131884,104.8826900958993,109.6903362551311,109.6903362551322,109.6101499366397,98.96452928046868,95.73250485375218,99.17619766629808,99.17619766629996,109.6101499366391,99.17619766629912,109.6903362551307,99.17619766629919,108.7239774207786,98.96452928048129,109.61014993664,99.17619766629937,109.4384255766064,,,,,,,,,,
frozenset({'223283.9.peg.5202'}),108.5518174076168,108.7239774207796,108.723977420779,108.6437044029784,99.25378419647664,108.7239774207797,109.6903362551302,98.98006641393566,98.13666080131867,109.6903362551301,98.96452928046848,99.17619766630018,99.17619766629888,99.17619766629807,109.6903362551307,98.96452928046733,108.7239774207795,108.8043691481184,98.13666080132485,99.17619766629937,108.7239774207787,108.7239774207789,108.7239774207782,108.7239774207777,108.8850223042589,108.7239774207794,99.25378419647517,99.01006739461393,108.8043691481173,99.1761976662988,99.01006739461445,109.6101499366394,99.176197666301,109.6101499366386,108.8045113932769,99.17619766629883,98.1366608013197,99.17619766629855,108.8043691481185,109.5300807688291,109.6101499366396,109.6903362551323,109.6101499366397,98.96452928046675,109.4248966085521,99.17619766629916,109.6903362551306,99.1761976662994,108.8850223042587,99.1761976662983,108.7239774207783,108.7239774207781,99.04212645749999,109.610149936639,99.17619766629896,108.4602270568222,109.6903362551304,99.17619766629866,99.17619766629943,109.6101499366392,99.17619766630027,99.17619766630077,108.8045113932734,108.7239774207584,108.7239774207776,108.3802017493028,109.6101499366404,108.64370440298,104.7150655819833,98.13666080131972,104.8826900959081,109.6903362551312,99.17619766629899,109.6903362551297,109.6101499366405,98.96452928046918,95.73250485375188,99.17619766629758,99.17619766629812,109.6101499366401,99.17619766630015,109.690336255132,99.17619766629905,99.1761976662979,99.17619766629966,98.96452928046857,99.17619766629906,109.4384255766053,,,,,,,,,,,,
frozenset({'PSPTOA0036'}),108.5518174076163,108.7239774207794,108.7239774207787,108.6437044029789,99.25378419647643,108.723977420778,109.6903362551298,98.98006641393386,98.13666080131814,109.6903362551304,98.9645292804695,99.17619766629858,99.17619766629996,109.6903362551306,99.17619766629572,109.6903362551303,98.96452928046813,108.7239774207791,108.8043691481166,98.1366608013184,99.17619766629893,108.7239774207789,108.7239774207765,108.7239774207786,108.8850223042577,108.7239774207792,99.25378419647642,99.01006739461516,108.8043691481179,99.17619766629942,99.01006739461509,109.6101499366393,99.17619766629947,109.6101499366392,108.8045113932737,99.17619766629964,98.136660801328,99.17619766629957,109.5300807688302,109.6101499366394,109.6903362551312,108.7239774207793,109.6101499366405,98.9645292804691,109.6903362551311,109.4248966085519,99.17619766629872,109.6903362551302,99.1761976662988,108.885022304261,99.17619766629883,108.7239774207795,108.7239774207796,99.04212645749976,109.6101499366401,99.17619766629907,108.4602270568222,109.6903362551297,99.17619766629836,99.1761976662984,108.7239774207804,109.6101499366396,99.17619766629971,99.17619766629589,108.8045113932728,109.6101499366375,109.6101499366391,108.3802017493023,104.7150655819825,98.13666080131865,104.8826900959003,99.17619766629876,109.690336255131,108.7239774207783,109.610149936639,98.96452928046892,95.73250485375206,99.17619766629853,99.1761976662975,109.610149936642,99.1761976662997,99.17619766630035,99.17619766629976,98.96452928046808,109.6101499366385,99.17619766629895,109.4384255766057,,,,,,,,,,,,,
frozenset({'PSPTO_0062'}),108.5518174076167,108.7239774207803,108.7239774207797,108.6437044029785,99.25378419647667,108.7239774207792,109.6903362551294,98.98006641393432,98.13666080131867,109.6903362551313,98.96452928046843,99.17619766630023,99.17619766629994,109.6903362551307,109.6903362551309,98.96452928046808,108.7239774207752,108.8043691481189,98.13666080131799,99.17619766629954,108.7239774207777,108.7239774207775,108.7239774207794,108.7239774207781,108.88502230426,99.25378419647532,99.01006739461248,108.80436914812,99.17619766629863,99.01006739461278,109.6101499366408,99.17619766629883,109.6101499366388,108.8045113932732,99.17619766629882,98.13666080131848,99.17619766629947,108.8043691481162,109.5300807688287,109.610149936639,109.6903362551281,108.7239774207783,109.6101499366393,98.96452928046779,109.4248966085514,99.17619766629193,109.6903362551298,99.17619766629808,108.8850223042596,99.17619766629996,108.7239774207789,108.7239774207851,99.04212645749921,109.6101499366403,99.17619766629895,108.4602270568251,109.6903362551312,99.17619766630051,99.17619766629906,108.72397742078,109.6101499366398,99.17619766629902,108.8045113932749,109.6101499366394,108.7239774207799,109.6101499366397,108.3802017493027,109.6101499366399,108.6437044029776,104.7150655819811,98.13666080131927,104.8826900958995,109.6903362551301,99.17619766629913,109.6903362551299,108.7239774207385,109.6101499366407,98.96452928046749,95.73250485375286,99.17619766629976,99.17619766629876,99.1761976662975,109.6101499366396,99.17619766629925,109.6903362551284,99.17619766629782,108.723977420779,99.17619766629825,99.17619766629865,109.6101499366391,99.17619766629934,109.4384255766069,,,,,,,,
frozenset({'PSPTO_0073'}),108.5518174076175,108.7239774207797,108.7239774207789,108.6437044029781,99.25378419647517,108.7239774207793,109.690336255131,98.98006641393454,98.1366608013181,109.6903362551321,98.9645292804681,99.17619766629895,99.17619766629896,109.69033625513,99.1761976662986,109.6903362551279,98.96452928046827,108.7239774207795,108.8043691481175,98.13666080131819,99.17619766629849,108.7239774207798,108.7239774207784,108.7239774207804,108.8850223042598,108.7239774207792,99.25378419647626,99.01006739461374,108.8043691481186,99.17619766629863,99.01006739461342,109.6101499366396,99.17619766630068,109.6101499366402,108.8045113932682,99.17619766629853,98.13666080131885,99.17619766629933,108.8043691481166,109.5300807688297,109.6101499366405,109.6903362551312,108.7239774207785,109.6101499366394,98.96452928046895,109.6903362551308,109.4248966085511,99.1761976662979,109.6903362551303,99.17619766629996,108.8850223042597,99.17619766629826,108.7239774207794,99.04212645749935,109.6101499366392,99.17619766629889,108.4602270568234,109.6903362551294,99.1761976662984,108.7239774207777,109.61014993664,99.17619766630006,108.8045113932736,108.723977420778,109.6101499366395,108.7239774207774,108.380201749302,109.6101499366401,108.6437044029793,104.7150655819822,98.13666080131901,104.8826900958996,109.690336255134,99.17619766629855,109.6903362551288,108.723977420779,109.6101499366389,98.96452928046867,95.7325048537519,99.17619766629888,99.17619766629988,109.6101499366393,99.17619766629899,109.6903362551309,99.17619766629952,99.1761976662972,99.17619766629925,98.96452928046786,109.6101499366398,99.17619766629836,109.4384255766072,,,,,,,,,
frozenset({'PSPTO_0075'}),7.588935979763722e-12,-1.705353207835154e-10,-1.088806623984843e-10,-4.004154449318796e-10,-7.345074323152099e-10,-2.920999976428621e-12,-5.32504722771685e-11,8.836989383604586e-12,-7.025957393976916e-12,-3.8289266152882e-11,-1.798194427255161e-10,6.899656943717569e-11,1.797570674349419e-11,2.878285170776913e-11,-8.332291314615795e-11,-7.420597993085061e-11,0.0,2.039726257238408e-11,-3.388222083174235e-11,-9.281689382536615e-12,4.820141941618356e-13,-3.918966962682799e-11,-4.565738740799414e-13,1.479865574518022e-10,-3.165985208895741e-12,2.972113491698298e-12,3.383539607601276e-12,-1.463748040759629e-11,-1.407191931743857e-10,-3.221709706548558e-11,-1.748069058955568e-11,1.685354605897935e-11,-4.265019069228471e-12,-7.217177764179661e-11,-3.654818266680213e-11,1.579040571779346e-08,5.199115860114232e-12,1.414327007667347e-11,2.887623479908471e-12,-1.075644945936863e-10,2.477783412124454e-12,-4.330029456365542e-11,6.668968677988222e-11,7.463551736544524e-12,-2.615655775774338e-11,2.47572975995007e-11,-7.601839864208735e-11,1.613287837154538e-11,-2.079209435885139e-11,5.46551188991359e-11,-4.575995062330702e-11,-9.388843367864985e-12,-3.205416762219286e-12,-1.769746253983811e-11,-5.727731261024106e-10,1.793816322313421e-11,-4.4095867346239e-12,-4.358182455708853e-11,-1.502902303792174e-10,-9.794622296383691e-11,-1.285547294163049e-10,-1.314939546989421e-12,2.356083591590813e-11,2.273929460305159e-11,9.576352435594908e-11,-1.753031689256143e-11,-3.124231503969888e-11,-2.69653773022213e-11,1.013918591481937e-10,5.041607637337374e-11,4.394920947123485e-11,8.720851928428572e-11,-2.334620451766599e-11,1.209756409643179e-11,-3.5838498697087e-11,-9.097479534374237e-12,-5.003196087404105e-11,-7.252603814963511e-12,3.936621648878082e-11,4.131841903607364e-11,-2.400385302366158e-09,1.176644389481382e-09,-3.610176101675546e-11,4.119191302524305e-11,1.105074617180964e-11,-7.578651981858228e-11,7.272230336176068e-11,-2.161183356188229e-11,1.325502810754006e-10,-3.466664030017172e-11,-1.622873948823969e-10,-5.941035097085992e-11,-1.297560877877321e-11,-3.133831846877396e-11,6.807558625518193e-12,-2.231684234631713e-11,-1.812424054529071e-12,5.182855544763168e-12,-4.5393900592088e-09,
frozenset({'PSPTO_0080'}),-1.836584034544573e-12,2.129748564765594e-13,-8.32132972752362e-15,-2.781302014461795e-11,-3.048875923576367e-10,2.570912170119348e-10,-1.011746118111632e-13,1.208842902981309e-12,-4.898094641575985e-14,4.226254161138376e-12,6.593468758758147e-14,7.960278565478602e-14,1.337237978546723e-12,-4.694891201966188e-14,0.0,-4.511511722188371e-14,9.918934456336843e-14,-1.6822336627321e-11,2.202308564740779e-12,3.25749573560037e-14,2.348777512901128e-13,-6.338547881093974e-14,-2.015033503476481e-11,3.400760916276546e-14,3.485655479308219e-13,4.209608196090193e-12,-5.552603500514448e-12,-3.182000767821076e-11,1.028582152120345e-13,1.020904551631315e-09,5.35837921497808e-12,9.127997028390105e-14,6.632851569973281e-14,4.205663996385361e-12,-4.919219175744223e-14,-2.090566714525092e-11,8.019234041857452e-14,6.773547468149305e-14,-9.044218360418847e-14,5.199977461467838e-11,4.01514049831522e-14,-5.174001162997242e-14,-4.844080672475831e-12,8.940765231437316e-13,-7.965335087913663e-12,-1.152986012401392e-13,-5.372481139964248e-14,1.748134484846103e-13,-6.754789084000201e-13,-2.648361467608643e-14,-1.811243855021147e-14,-7.45948569469518e-12,6.734808536447927e-12,-2.917673484951229e-13,-1.912676292732985e-13,-6.989669581340797e-12,-2.602376115003702e-13,-7.933597990555535e-11,4.36089732021647e-14,-3.716565972495128e-14,-6.01685274709133e-12,-1.195468484906004e-11,6.838643714168682e-14,-3.379716216006819e-14,4.905571227467366e-11,-1.255007473793699e-14,4.477703299956027e-12,-6.667043967992577e-13,2.305663412647977e-11,-1.230508108416166e-13,2.273459267806752e-11,7.63281035024789e-12,7.029256383852255e-12,-1.316903248366529e-14,6.844003490897241e-12,8.693383766597795e-15,2.251208445137843e-14,-3.87374672982913e-14,-4.166477319073128e-14,-4.332767319365303e-14,3.749164661779678e-14,-1.86622682662177e-12,4.043620201239332e-13,-9.830842045604785e-14,3.665027393119659e-13,1.733979012605265e-13,-4.623351783842866e-12,6.710612414356313e-12,-1.241844759066172e-14,3.727529539065635e-14,-6.429310988300635e-14,-2.881626186921072e-15,-5.296191972980129e-12,-2.582753835327377e-14,1.781104748306841e-11,1.006590471673825e-13,-1.053273816770061e-10,,,
