,0
0,fig|
1,fig|223283.9.peg.1
2,fig|
3,fig|223283.9.peg.1290
4,fig|
5,fig|223283.9.peg.1494
6,fig|
7,fig|223283.9.peg.1497
8,fig|
9,fig|223283.9.peg.1522
10,fig|
11,fig|223283.9.peg.1560
12,fig|
13,fig|223283.9.peg.1575
14,fig|
15,fig|223283.9.peg.1577
16,fig|
17,fig|223283.9.peg.1663
18,fig|
19,fig|223283.9.peg.1773
20,fig|
21,fig|223283.9.peg.184
22,fig|
23,fig|223283.9.peg.1841
24,fig|
25,fig|223283.9.peg.1842
26,fig|
27,fig|223283.9.peg.1871
28,fig|
29,fig|223283.9.peg.190
30,fig|
31,fig|223283.9.peg.191
32,fig|
33,fig|223283.9.peg.2
34,fig|
35,fig|223283.9.peg.2197
36,fig|
37,fig|223283.9.peg.2413
38,fig|
39,fig|223283.9.peg.2415
40,fig|
41,fig|223283.9.peg.2416
42,fig|
43,fig|223283.9.peg.2417
44,fig|
45,fig|223283.9.peg.2418
46,fig|
47,fig|223283.9.peg.3424
48,fig|
49,fig|223283.9.peg.3599
50,fig|
51,fig|223283.9.peg.3735
52,fig|
53,fig|223283.9.peg.3748
54,fig|
55,fig|223283.9.peg.3813
56,fig|
57,fig|223283.9.peg.3834
58,fig|
59,fig|223283.9.peg.3923
60,fig|
61,fig|223283.9.peg.3927
62,fig|
63,fig|223283.9.peg.3932
64,fig|
65,fig|223283.9.peg.4
66,fig|
67,fig|223283.9.peg.4081
68,fig|
69,fig|223283.9.peg.4257
70,fig|
71,fig|223283.9.peg.4324
72,fig|
73,fig|223283.9.peg.4540
74,fig|
75,fig|223283.9.peg.4541
76,fig|
77,fig|223283.9.peg.4544
78,fig|
79,fig|223283.9.peg.4588
80,fig|
81,fig|223283.9.peg.4589
82,fig|
83,fig|223283.9.peg.4590
84,fig|
85,fig|223283.9.peg.4603
86,fig|
87,fig|223283.9.peg.4607
88,fig|
89,fig|223283.9.peg.4922
90,fig|
91,fig|223283.9.peg.4924
92,fig|
93,fig|223283.9.peg.5044
94,fig|
95,fig|223283.9.peg.5046
96,fig|
97,fig|223283.9.peg.5047
98,fig|
99,fig|223283.9.peg.5257
100,fig|
101,fig|223283.9.peg.5258
102,fig|
103,fig|223283.9.peg.547
104,fig|
105,fig|223283.9.peg.549
106,fig|
107,fig|223283.9.peg.5652
108,fig|
109,fig|223283.9.peg.5751
110,fig|
111,fig|223283.9.peg.5752
112,fig|
113,fig|223283.9.peg.613
114,fig|
115,fig|223283.9.peg.622
116,fig|
117,fig|223283.9.peg.623
118,fig|
119,fig|223283.9.peg.625
120,fig|
121,fig|223283.9.peg.626
122,fig|
123,fig|223283.9.peg.627
124,fig|
125,fig|223283.9.peg.628
126,fig|
127,fig|223283.9.peg.631
128,fig|
129,fig|223283.9.peg.632
130,fig|
131,fig|223283.9.peg.633
132,fig|
133,fig|223283.9.peg.634
134,fig|
135,fig|223283.9.peg.635
136,fig|
137,fig|223283.9.peg.636
138,fig|
139,fig|223283.9.peg.637
140,fig|
141,fig|223283.9.peg.638
142,fig|
143,fig|223283.9.peg.639
144,fig|
