ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),-7.40076138456426e-17,0.0,5.872568076188798e-17,2.419458669236061e-16,-1.5562285046458e-16,6.514691219943846e-16,-8.708149588394985e-17,-1.64026836024245e-16,2.642150854287837e-15,-3.177314439325161e-17,-3.79296096249773e-16,7.387415956563117e-16,-1.000725660746216e-15,3.965264687887525e-15,5.886305382075712e-16,-9.41751869019764e-17,4.823259227121968e-16,-6.229206500385522e-16,5.154575712834281e-17,1.412518185957653e-15,1.373401690244824e-16,-3.890899594243787e-16,4.0535444585098e-16,-9.120735149702334e-17,-8.868684751221235e-16,-7.421988440299799e-17,-3.676814062734409e-16,-5.867737904038239e-17,8.631822031180966e-17,4.099802927395878e-16,3.244587364437369e-15,-1.41114658822025e-16,-2.59202192295199e-17,4.077653007318378e-16,3.515449697468236e-16,9.473121697645304e-16,1.372723152762872e-17,7.237975300151514e-17,2.264600483757855e-15,1.210671438585797e-15,-8.911116338733039e-17,1.136887963313661e-16,5.202477928699987e-17,4.422406615710305e-16,-4.906906282078278e-17,1.032149893679098e-16,2.603947874254352e-15,9.72835975814073e-16,1.699210292916935e-16,-3.196189198388145e-17,-1.600547436083915e-16,2.490038235442146e-17,1.145980805440741e-16,6.288582476533655e-16,-1.337067502928175e-16,-3.674877583717264e-17,-1.747721708748077e-17,9.793752261237503e-16,-5.017339314171426e-16,2.368953680911247e-16,-2.044713052651755e-16,-4.575440558080294e-16,2.404952574026545e-16,3.387762677469612e-17,-5.371613765538215e-17,1.781830718484043e-15,9.340817669937326e-16,-1.169013947864424e-16,-4.530767495294673e-16,3.617802731006848e-16,1.720662357705396e-16,6.519440892544281e-16,-2.669277092443766e-17,6.237432921973523e-16,-2.312405755947601e-16,4.322573394198915e-16,3.885288765302038e-16,5.970194608776055e-16,-9.628695179091723e-17,1.683976254068672e-31,-5.900311352345993e-16,4.792439610670097e-18,2.244316199808608e-16,-4.685567307120042e-17,-9.198493049659623e-17,6.654573407200558e-17,-3.547741455308397e-18,-4.650491160463114e-16,-3.991169173602853e-17,2.796412390397481e-17,2.545793474255099e-15,-4.205218041917903e-16,-4.352173745767931e-16,-5.070311198058405e-16,-4.475642533017812e-16,-6.322204769129692e-17,4.774579621791394e-16,,,
frozenset({'223283.9.peg.3813'}),-4.343881282084636e-17,-5.816505150242169e-16,-7.690150891808527e-17,-1.442609879000311e-15,6.342168803595871e-16,3.743211265936362e-15,3.82056566310617e-16,-8.225632594221877e-16,-1.740280702475909e-16,-4.360407751179131e-16,-3.417086424771458e-16,3.722542719202956e-16,-2.446739426084394e-17,-4.056270507348869e-17,2.507114617592519e-17,-9.29244958207637e-16,0.0,-2.039100910685403e-16,1.573201868747053e-16,1.3066618425571e-14,6.681264064021085e-16,-3.358962595563598e-16,-6.608845259039394e-16,-1.985211350808191e-16,-8.950960162745187e-18,-2.465434532883799e-15,1.408635082053649e-15,-1.407489008803233e-15,9.929432668941504e-16,-2.559366840353325e-17,-5.87012301098776e-18,-1.060097171699574e-17,3.167527887357149e-16,2.740670199501232e-16,7.807394182588703e-17,6.153677743510156e-16,1.373033445756542e-17,-5.187058493796679e-17,-1.060225830997857e-16,-4.849620603689142e-17,-1.929902610779208e-17,-1.64203268336895e-15,2.831411431333868e-18,4.207621700913372e-17,-5.581952075588346e-16,5.003819037192816e-17,5.292016087332365e-17,8.716958754664089e-17,8.063414715454955e-17,-4.521307465055231e-16,1.890001693746223e-15,9.727672798815702e-17,-4.679251080907983e-16,6.301431357249671e-17,-4.710930879472652e-16,1.009696337478976e-15,1.769446080426985e-15,3.545570792017228e-16,-3.100423456616342e-17,1.063558134362752e-17,3.512482256530861e-17,-4.629571937612882e-16,-1.481965094678481e-15,5.161923832162574e-17,1.626271964720483e-31,6.607400423932026e-15,-2.492799002321457e-16,-7.346465897748143e-16,-7.017999673261375e-16,5.311652171784226e-32,-2.037682690375356e-16,5.163140431556626e-20,-3.245188205175699e-16,1.497126180217267e-16,3.869600158275993e-17,3.536886227665252e-16,-4.260503783999786e-17,9.046315362532523e-16,-2.133716746678316e-16,1.020117079256201e-16,-8.192472374645542e-16,5.899420755088438e-17,-6.160465130089841e-16,-1.708947824527578e-17,7.882964945798201e-16,2.860577861368551e-16,1.970712505063298e-16,2.035887611176723e-16,-3.845621936042899e-16,6.480293344363986e-16,6.50267351697338e-16,-1.469511127621713e-17,-1.241895425904882e-16,3.524303986110155e-17,2.967954093212045e-16,-1.17567202038219e-15,-3.809471218375367e-14,,,
frozenset({'223283.9.peg.3927'}),0.0,3.678080547415678e-17,6.470773281121009e-16,9.691619196496592e-16,-5.156966683640327e-15,-5.453654475371528e-16,1.416529257701231e-15,1.995043504530843e-16,1.737319747019865e-14,-4.447953794672025e-16,-9.613381203078493e-16,1.496583806233935e-17,7.881259024265569e-17,1.226060314237873e-15,9.302091713550608e-17,-5.346907450448619e-19,-3.795786501802617e-32,6.067714608359323e-17,2.17423818588194e-16,5.437295999731412e-16,-9.527375942940015e-17,9.910046975791591e-16,9.87440235264581e-16,1.391487978601793e-15,3.664270736577255e-17,-1.040182043031015e-15,3.320080589590838e-17,4.39861414076851e-16,2.296527338871151e-16,2.748124299693776e-29,4.035426618811334e-16,-3.150055534966544e-16,4.010138904504045e-16,5.136756690305291e-17,-6.881568984702432e-15,-2.307835170278652e-16,-7.432897124512251e-16,9.818511791915272e-16,1.579069550412352e-16,-5.157056371963896e-16,3.650654348011195e-16,1.201869615174013e-16,-4.480839318655613e-17,-1.180538068775958e-17,-2.366174347214888e-14,1.594590932134973e-15,2.00240691172212e-17,4.805599159885018e-16,3.764891848525143e-16,-1.741288814375586e-15,-1.194187472348766e-15,9.231676243073845e-16,-6.723566017094083e-17,-1.214685312555442e-15,-7.907030881325573e-17,-5.269760672689341e-16,-2.686542881060055e-17,2.585896078534384e-16,1.069717623574923e-15,3.811732945518744e-19,1.696572007959979e-16,-6.453162387069663e-16,1.561267150790466e-16,8.04866993982226e-17,-1.513277757914085e-15,-2.831320835660807e-15,-1.225064675509446e-15,9.359084965539687e-16,4.037969546004621e-17,-4.751123697888933e-16,6.82209268185836e-16,-1.24500900016463e-16,6.866821381515558e-16,1.905088611125268e-15,-4.231759876546386e-16,-4.267178844101236e-17,2.485769718976399e-17,-2.744129057072396e-16,-3.874760067722455e-16,-1.172101823521515e-16,1.067612211992924e-15,-6.382780903572088e-17,4.258426842781631e-16,-5.016734818101302e-16,7.971595980073861e-17,-8.609383093991108e-16,5.313730940281517e-32,-3.212920350438601e-16,5.267822674484981e-17,2.708397329731436e-17,5.448255023990761e-16,-1.163036534009584e-16,1.029186102683025e-15,1.016959725221226e-29,4.287675289861276e-16,-7.074517190717513e-16,,,,
frozenset({'223283.9.peg.3930'}),2.800288589509163,2.80133137238478,2.801331372384801,2.906533518155461,3.090914843434166,2.801331372384777,3.101594545994302,3.089929061736852,3.089929061736941,3.10159454587653,2.796095911876242,3.089929061736933,3.089929061736868,3.101594545876569,3.0899290617369,3.101594545876561,2.796095911876189,2.80133137238476,2.801817444571891,3.089929061735297,3.089929061736883,2.801331372384785,2.801331372384813,2.906533518155438,2.906533518155342,3.101594545876516,2.80133137238475,3.090914843434882,3.087815206826029,2.801817444571979,3.089929061736865,3.087815206826071,3.100601941375639,3.089929061736905,3.100601941375619,3.100601941375623,3.089929061736931,3.089929061737661,3.089929061736914,2.801817444571845,3.099609971998642,3.10060194137563,3.101594545876545,2.801331372385795,2.801331372384776,3.100601941375591,2.796095911876138,3.101594545876514,2.819059923961712,3.089929061737026,3.101594545875908,3.08992906173656,3.101594545876528,2.801331372384497,3.089929061737201,2.801331372384376,2.80133137238473,2.796580168744999,3.100601941375617,3.089929061736849,3.096347905708263,3.101594545876572,3.089929061736946,3.089929061736948,2.801331372384881,3.100601941375584,3.089929061736837,3.089929061736881,3.100601941375648,3.100601941375643,3.100601941375595,2.906533518155408,2.7992465826872,3.100601941376776,2.906533518155385,3.0984734634027,3.089929061736899,3.100601941375626,3.10159454587659,3.089929061736875,3.101594545876539,2.801331372384744,3.100601941375695,2.796095911876633,3.079473978696643,3.089929061736894,3.089929061736908,3.100601941375586,3.089929061736887,3.089929061736917,2.801331372384766,3.089929061736898,3.089929061736882,2.796095911876355,3.10060194137567,3.089929061736833,3.098473463402602,,,
frozenset({'223283.9.peg.5202'}),2.800288589509186,2.801331372384772,2.801331372384727,2.906533518155478,3.090914843434216,2.801331372385529,3.101594545876579,3.089929061736886,3.089929061736549,3.101594545876525,2.796095911876197,3.089929061736914,3.089929061736929,3.101594545876541,3.089929061736933,3.101594545876557,2.796095911876277,2.801331372385115,2.801817444576946,3.08992906173693,3.089929061737732,2.801331372384734,2.801331372384781,2.906533518155431,2.906533518155475,2.80133137238472,3.090914843434128,3.087815206826144,2.801817444571891,3.089929061736925,3.087815206826053,3.100601941375457,3.089929061736885,3.100601941375488,3.100601941375431,3.089929061736898,3.089929061736918,3.08992906173694,2.80181744457186,3.099609971998636,3.100601941375603,3.10159454586454,2.801331372384997,2.80133137238419,3.100601941375632,2.796095911876165,3.101594545876511,2.81905992396171,3.089929061736839,3.101594545876517,3.089929061748069,3.101594545876613,2.801331372384766,3.089929061736844,2.801331372384715,2.801331372384793,2.796580168745258,3.100601941375631,3.089929061736879,3.096347905711132,3.101594545876571,3.089929061736922,3.089929061736872,2.801331372384728,3.100601941375634,3.089929061736866,3.100601941375601,3.100601941375417,2.801331372384738,3.100601941375623,2.906533518155455,2.799246582687591,3.100601941375618,2.906533518155066,3.098473463402763,3.089929061736847,3.100601941375624,3.101594545876526,3.08992906173692,3.101594545876583,2.801331372383804,3.100601941375619,2.796095911875351,3.079473978696747,3.089929061736862,3.089929061736775,3.089929061736891,3.100601941375613,3.089929061736952,3.101594545876577,3.089929061736913,2.801331372384725,3.089929061736764,2.796095911876171,3.100601941375568,3.089929061736874,3.098473463403156,,,
frozenset({'PSPTOA0036'}),2.800288589509174,2.801331372384793,2.801331372384436,2.906533518155471,3.09091484343553,2.801331372384763,3.10159454587656,3.08992906173701,3.089929061736902,3.101594545876579,2.796095911876168,3.089929061736901,3.08992906173691,3.101594545876583,3.08992906173689,3.101594545876585,2.796095911876231,2.801331372384742,2.801817444571626,3.089929061736893,3.089929061736874,2.801331372384745,2.801331372384747,2.906533518155421,2.906533518155443,3.101594545876544,2.801331372384774,3.090914843434209,3.087815206826058,2.801817444571869,3.089929061736963,3.087815206826367,3.100601941375611,3.089929061736942,3.100601941375539,3.100601941375632,3.089929061736889,3.089929061736952,3.089929061736828,2.801817444571892,3.099609971998663,3.100601941375623,3.10159454587423,2.801331372384711,2.801331372384756,3.100601941374722,2.796095911876096,3.1015945458766,2.819059923961603,3.089929061736892,3.101594545877965,3.101594545876574,2.801331372384757,3.089929061736919,2.801331372385825,2.801331372384761,2.796580168745269,3.100601941375627,3.089929061736854,3.096347905708272,3.101594545876571,3.089929061736914,3.089929061737132,2.801331372384767,3.100601941375606,3.0899290617369,3.100601941375603,3.100601941375644,2.801331372384722,3.100601941375573,2.906533518154955,2.799246582687004,3.100601941375643,2.906533518155439,3.098473463402584,3.089929061736904,3.100601941375614,3.101594545876535,3.089929061736855,3.101594545875962,2.801331372384753,3.100601941375833,2.796095911876209,3.079473978696612,3.089929061736876,3.089929061736838,3.089929061736886,3.100601941375634,3.089929061736954,3.101594545876586,3.089929061736789,2.801331372384769,3.08992906173688,2.796095911876183,3.100601941375626,3.089929061736878,3.098473463402024,,,
frozenset({'PSPTO_0062'}),2.800288589509217,2.801331372384759,2.801331372384754,2.906533518155447,3.090914843434051,2.801331372384734,3.101594545876577,3.089929061736885,3.089929061736837,3.10159454587656,2.796095911876209,3.089929061736822,3.089929061736897,3.101594545876519,3.089929061736855,3.101594545876535,2.796095911876489,2.801331372384764,2.801817444571832,3.089929061736867,3.089929061736927,2.801331372384713,2.801331372384774,2.906533518155438,2.906533518155435,3.101594545876587,2.801331372384767,3.090914843434149,3.087815206825984,2.80181744457184,3.089929061736896,3.087815206825972,3.100601941375659,3.089929061736849,3.10060194137563,3.100601941375661,3.089929061736848,3.089929061736872,3.089929061736873,2.801817444571851,3.099609971998665,3.100601941375494,3.101594545876871,2.801331372384718,2.796095911876178,3.101594545938313,2.819059923961797,3.08992906173685,3.101594545876551,3.101594545876552,2.801331372384804,3.089929061736825,2.801331372384723,2.801331372384705,2.79658016874524,3.100601941375619,3.089929061736499,3.096347905708291,3.101594545876521,3.089929061736865,3.08992906173687,3.089929061736926,3.100601941375817,3.100601941375943,2.801331372384776,3.100601941375577,2.906533518155503,2.799246582687068,3.100601941375624,2.906533518155431,3.098473463401854,3.089929061737025,3.100601941376433,3.101594545876564,3.089929061736891,3.101594545876544,2.801331372385022,2.796095911893628,3.079473978696656,3.089929061736922,3.089929061736993,3.089929061736871,3.100601941375808,3.089929061736886,3.101594545876574,3.089929061736895,2.801331372384714,3.089929061736924,3.089929061736751,2.796095911876153,3.100601941375635,3.089929061737002,3.098473463402717,,,,,,,
frozenset({'PSPTO_0073'}),2.800288589509193,2.801331372384749,2.801331372384752,2.906533518155482,3.090914843434126,2.801331372384794,3.101594545876517,3.089929061736913,3.089929061736771,3.101594545876532,2.796095911876358,3.08992906173689,3.089929061736834,3.101594545876514,3.089929061736805,3.101594545876583,2.796095911876127,2.801331372384784,2.801817444571808,3.089929061736875,3.089929061737016,2.801331372384714,2.801331372384757,2.906533518155487,2.906533518203151,3.101594545876585,2.801331372384735,3.090914843434148,3.087815206825989,2.801817444571846,3.089929061736915,3.087815206826001,3.100601941375644,3.089929061740105,3.100601941375614,3.100601941375599,3.089929061736889,3.089929061736918,3.089929061736873,2.801817444571867,3.099609971998603,3.100601941375665,3.101594545876494,2.801331372384753,3.100601941375074,2.796095911876167,3.101594545938287,2.819059923961744,3.08992906173685,3.101594545876549,3.089929061736845,3.101594545876564,2.80133137238474,3.089929061736911,2.801331372384778,2.801331372384815,2.79658016874524,3.100601941375771,3.089929061736866,3.096347905708264,3.101594545876535,3.089929061736867,2.801331372384842,3.100601941375658,3.08992906173687,3.089929061736884,3.100601941375529,2.801331372384706,3.100601941375594,2.906533518157053,2.799246582687041,3.100601941375627,2.906533518155492,3.098473463402054,3.089929061737027,3.101594545876565,3.089929061736822,3.101594545875781,2.801331372384777,3.100601941375678,2.796095911876156,3.079473978696019,3.089929061736951,3.089929061736727,3.100601941375801,3.08992906173695,3.101594545876572,3.089929061736744,2.8013313723847,3.089929061737443,3.089929061738667,2.796095911876265,3.100601941375636,3.08992906173692,3.098473463402686,,,,,
frozenset({'PSPTO_0075'}),-4.24337740557693e-15,-1.294969923649255e-15,-1.073247563386136e-15,3.694696295206135e-14,-2.031318646675346e-14,3.516894272117007e-14,2.427821993026679e-15,-2.325941062065041e-14,2.002549963662323e-14,-5.688819539341316e-15,1.36222823324706e-30,2.148105398691894e-14,-1.070055552860497e-16,-7.635777262941362e-14,2.512466850277528e-14,-2.526586543472018e-14,3.169046651473907e-14,4.069148683999953e-14,1.662472697945077e-13,-2.232493561598471e-14,-8.018701741388241e-17,-5.09023365122092e-17,-1.299034802466534e-14,-1.171564175236181e-14,6.678210821370232e-14,7.725741913223419e-13,4.449811032569288e-15,7.42399591210389e-15,-1.120816915427568e-14,-1.622841960739215e-14,-9.814409793106767e-15,1.346808944784701e-14,4.988664533246918e-16,2.690860871882476e-14,-1.391852073660722e-13,3.637620239182453e-14,5.502983494420366e-14,2.932901918540661e-14,7.92072585872456e-16,-3.844641241948938e-14,0.0,2.926732222297032e-14,-1.587043287173557e-13,-1.366916036570057e-14,-3.709873352686534e-14,4.747906166006135e-14,-4.960847351822166e-14,1.369254107113862e-14,-2.758444232309143e-14,-3.948626231573815e-14,-5.171360764732567e-14,-5.973584375463165e-14,-3.070428121992251e-13,2.512068814977344e-15,-9.438540485733373e-15,-8.336976496762252e-15,3.741692024263176e-14,-1.508507472270289e-14,-7.047781070249613e-15,1.525884653963928e-16,1.534546223236371e-30,-1.211999104771898e-16,1.222942063654663e-15,1.837737365342061e-13,1.77725236951415e-30,-2.646517112641242e-14,-2.137674801418521e-14,9.327979981711887e-14,2.970459875155687e-14,-3.766743141018019e-14,-4.183909642535799e-14,2.314683058684665e-16,-2.793733781886251e-14,2.194215070349229e-14,1.466637941146435e-13,-2.858087236053153e-15,-4.252580328823707e-14,-4.328812317514215e-14,-1.648928722023968e-14,2.020636501958396e-14,-2.494458197265999e-14,-2.81067706762355e-14,-5.798035175300428e-15,-8.078808131780972e-15,1.391756044104826e-14,-4.687278105090763e-14,4.372699925941129e-14,6.666364782746645e-15,1.473239084603211e-14,6.051040967078795e-14,4.719140447034154e-14,-1.095293033764679e-14,1.774185243018732e-14,-1.60064434648214e-14,-5.959618210059277e-15,1.183030000250546e-14,1.759711684696124e-13,-1.495456492539636e-14,3.921982155924591e-14,6.664939139042597e-15
frozenset({'PSPTO_0080'}),2.637002961129282e-29,5.547638660236025e-16,2.125553566268949e-16,1.59475171561561e-17,5.424680607850454e-16,-3.750008097613423e-14,-8.46368810603518e-16,-7.082240701543332e-17,2.332136789426569e-16,-1.335974935124436e-16,0.0,2.991764043423251e-16,3.469247858489416e-17,-7.822692087306351e-17,-3.21567125148819e-16,1.830637833506473e-16,-2.022274661233963e-17,1.320953626490797e-13,-2.288132562094766e-17,-8.770723913219441e-15,-1.013412950566841e-16,1.552501182585516e-16,4.194407811057608e-16,6.925765713953707e-15,1.221714317727883e-16,4.713367143014299e-14,1.845389985623826e-29,-2.871522712593019e-14,2.775663298199284e-16,-3.9417022285576e-31,5.351500200160522e-15,1.567552612632577e-16,-1.030789004751794e-16,-1.668759059704796e-15,-6.074628469693207e-17,-3.743883018880939e-29,2.288232848551145e-16,2.392612608841869e-14,3.150106406857164e-16,2.038552504576476e-14,-1.78496973165423e-14,1.520983255169519e-31,6.288392377000697e-17,4.10725262477322e-18,-4.11846718764458e-16,1.680410733677817e-16,-1.210881716963105e-13,-5.402202786658293e-17,1.80536339727296e-13,5.927552395175786e-14,2.866153105239996e-30,-1.6048336281449e-30,-1.779093606488132e-17,-2.020424418234326e-17,-5.288677431360205e-17,-1.421926418174832e-15,7.082290802321424e-16,-8.753332078726144e-16,-8.351867868887099e-14,2.636182304757473e-16,6.227096252384569e-16,2.900735478982009e-15,1.587131435557883e-14,2.07423284120533e-16,2.238226260324929e-17,-1.432193302312363e-17,2.516481702811488e-31,-5.25026003773744e-17,-2.830611370701955e-17,-2.098329712302406e-14,-3.593730237981842e-17,5.505068659882799e-15,-8.452102464673914e-18,1.16091589099839e-16,-1.462450924420425e-15,-7.683748503726064e-16,-5.378445364176984e-16,-4.525067807625186e-14,1.851241054145918e-15,-3.878226031442407e-14,1.03547894370375e-17,4.143356806284577e-17,-1.578888651213526e-14,2.402476002113821e-14,1.708233277281506e-17,-3.273786127324326e-17,-1.942901554691182e-14,-1.252892901845952e-16,-1.198356701622718e-16,9.383614176330759e-17,4.162240263224408e-16,-2.253240209114447e-14,8.118735335994958e-31,-2.157352481355989e-15,-4.986496732848019e-13,,,,,
