ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),7.958025343956228e-14,-8.478458046195842e-14,-3.530265204586044e-13,-4.474231576884073e-14,2.11596814690852e-13,5.983751339935173e-13,2.949683770646192e-13,1.516935754305742e-13,6.65203645216404e-14,2.607432079560335e-13,6.24200951598141e-14,1.097483634366101e-13,2.523216075054953e-12,3.501507716360344e-14,-1.540886068864679e-13,-6.52026155266521e-15,-2.106980163663414e-13,-6.863271607093075e-13,-2.838438631370593e-14,-4.059909463153851e-13,-6.41959623406206e-14,7.278262913408266e-13,-2.060131418771175e-13,7.577117269984541e-13,-6.167482708275389e-13,-7.908638794404122e-15,5.112358881492537e-13,8.199897572205398e-14,0.0,-3.597645902866024e-13,5.507366674018603e-13,1.191682239704742e-14,3.840720005841454e-13,7.709786162952023e-15,-6.431233677797476e-13,1.759035385977458e-13,5.282402447908874e-14,-4.489413300347813e-27,-4.119564467152384e-13,-1.855467362501869e-13,2.239087471496239e-14,3.080833437440848e-14,-4.775720508193015e-12,2.841523554903004e-14,1.578746954887256e-14,-5.986444461615849e-15,1.325342578803737e-13,4.163655381266823e-13,-2.463059145666042e-13,1.637538891171209e-13,-7.457794371382027e-13,-1.632923182512961e-13,-7.342634176879765e-13,2.643574248269172e-14,-2.878684765694071e-13,-7.65416919420491e-14,1.274133770122519e-14,-3.185853496397374e-13,-3.632492734417066e-14,-5.409134645731125e-14,-3.773175176081969e-15,-3.683175519581397e-15,4.462213600742411e-14,9.001821728902536e-13,1.396413947940897e-13,1.639778163259098e-13,2.200211223603591e-13,5.732969072891499e-14,3.085156799517171e-13,-4.550110250015858e-14,1.840329039616433e-13,2.930782578440116e-13,-8.79443435467062e-15,1.756006512928726e-15,-6.023099262108415e-14,-3.918001738185356e-14,-2.541973222597759e-13,1.612313587877258e-13,1.067552412909699e-13,4.181060279682521e-14,7.106602871169899e-14,2.537547047708572e-13,1.197920298157718e-13,9.458536492801814e-13,-2.940187880933434e-13,-9.293905857166105e-14,-2.280153458603083e-15,1.313624185588455e-13,2.828397133503925e-13,4.053860253507603e-15,6.878392117871537e-14,3.438218365479717e-14,-6.336479559587359e-14,1.271954554651597e-13,1.846723715132061e-13,-1.979051950437667e-13,2.408722235548655e-13,1.531005813179451e-13,-5.055388876187589e-14,
frozenset({'223283.9.peg.3813'}),-4.628873295333064e-13,-3.306229926866264e-14,-3.852296035213529e-14,3.726633576997681e-15,2.002345758057211e-14,-6.459748909009524e-13,-1.876211693827383e-13,-1.621421924540873e-13,9.330066509831112e-14,7.957475695584782e-14,3.066093259219304e-14,3.202634385856349e-13,-6.773949167277761e-14,1.943719279509505e-13,-1.838137696261863e-14,3.297145053038664e-14,1.846103417814889e-14,-3.596300318565344e-14,1.657795051729745e-14,9.163505948628086e-14,5.607410088586053e-13,1.983688322095532e-13,3.457026428908187e-13,1.286631134707535e-13,1.125924740086332e-13,-6.81202572539884e-14,-4.034327595805434e-13,-2.099070318344815e-12,-3.583084625947808e-13,1.977818378516471e-14,1.126727766690091e-13,2.782751850138443e-15,-5.250600983152492e-14,-2.707780039111206e-13,-1.6321308099638e-12,-2.231550078156668e-14,1.86868257739489e-13,0.0,-7.018034893842569e-15,-4.986904328505556e-13,-7.792581004100066e-14,-7.98687569640826e-14,1.008911259908654e-13,-8.502455158041523e-13,1.595609890785346e-14,2.829055353612905e-14,-1.483966866817054e-12,1.714797716838992e-11,3.698237513420795e-13,8.6187309215106e-13,-7.054585938899416e-14,7.598190706595576e-14,-9.902343521527036e-14,2.327032914414102e-13,-3.117573211728833e-13,-4.30972685436978e-14,7.039565462765089e-14,2.563461814837568e-14,-4.0954820359368e-13,1.149727342773282e-13,-9.603103359464772e-15,-2.762341836164625e-14,-6.122757662770376e-13,-6.699836476828453e-13,-9.607427556690088e-13,-4.071688775862705e-14,-1.599045674917036e-14,-1.23509456178614e-12,-4.405492306319888e-13,1.758096785825783e-13,-1.745378521277104e-14,-1.56658771781082e-13,-1.720051682886025e-13,-1.276740678789489e-13,6.69582293274425e-14,6.073922379226559e-14,6.405466507440033e-14,-3.135620025745312e-13,2.127041121937832e-13,6.992829825950891e-13,-9.676113075355265e-14,-2.85555605404373e-14,-2.321522618940283e-13,1.172013569069787e-12,2.510956479428475e-13,1.472942077204254e-12,-2.659963482512808e-13,-6.729275666430383e-14,7.432208663300226e-15,6.6847263008653e-14,-3.316014920116131e-13,-7.763027034251184e-13,-3.084352138127471e-14,-1.2874672913872e-13,1.931685790047643e-12,4.286615592261468e-13,,,,
frozenset({'223283.9.peg.3927'}),-4.010188581435649e-13,0.0,-8.505349838050278e-14,-1.575588797782208e-13,4.073511881013391e-13,-1.426062430150007e-13,2.173839060680404e-13,9.698322688972245e-14,5.024967508567236e-13,1.227274778311638e-12,7.680171593146498e-14,-3.82488113013619e-12,4.273443604518665e-14,3.456464589047441e-13,9.324494514348387e-14,1.193682232117131e-13,7.128885613733168e-14,2.798593459475202e-14,-8.648318480870603e-14,8.251148178563532e-14,1.864092646153035e-13,4.973721187711123e-14,-5.257809270694412e-14,1.298017865492017e-13,5.959297533577942e-14,7.979109426914296e-14,-3.444606349113355e-14,7.949730036272378e-14,3.906075869223236e-14,-6.941665647865503e-14,6.746559794181881e-14,-8.478535792495786e-14,-5.698454693941798e-13,-1.368222654012898e-12,7.506655065325064e-15,1.371520577288073e-14,1.459890365629679e-13,3.272635893954981e-13,5.009576181233579e-14,-1.797806530270464e-13,-3.108064962008855e-13,3.34443812255427e-13,2.697853828661661e-14,-1.491251054857711e-13,2.927316431718402e-13,-5.395395902397445e-14,7.670316924179766e-14,3.224438361346075e-13,2.81752450683171e-14,-1.248583097477204e-14,-4.590960412203891e-13,1.478254150228823e-13,9.764968685871776e-14,-1.215127905671301e-12,5.749939159714585e-14,-2.902919003122934e-13,-4.450608693015237e-13,6.149862521991925e-14,3.326143142090516e-13,1.048377249591173e-13,2.923807540074436e-13,-1.132047669382148e-13,6.846988336675239e-14,-5.331422889366402e-12,6.255507333613437e-13,1.54820110512508e-12,-3.605344545981489e-13,-4.7692985318349e-13,-4.670409377595014e-13,-3.322012084261589e-14,4.12116900316306e-14,-6.971698729348608e-14,6.906639283156249e-13,-4.567174519435121e-13,-1.47414218244735e-13,-9.72829937521082e-16,-1.560481301313145e-13,8.496187037696782e-15,3.355574315463123e-14,1.998933711298873e-12,-3.565402351532441e-14,-5.685383105454703e-14,1.235655897411988e-13,8.908128772498216e-12,1.173147353470516e-13,1.321548915914678e-12,7.449821954675281e-14,-2.171159617778984e-13,3.487410210858841e-14,6.845531815488287e-14,-8.451909369138223e-15,2.816360204551629e-13,5.453959871192638e-14,5.885405082709672e-13,9.495970983779684e-14,5.943638539651708e-13,1.92344678982967e-13,,,
frozenset({'223283.9.peg.3930'}),221.0540768840723,221.2905355799437,221.2905355799403,221.1803123673942,220.2158273817841,221.2905355799402,221.4008687047474,220.1066719141962,220.1066719141917,221.4008687047523,220.1066719141935,220.1066719141986,220.1066719141955,221.4008687047561,220.1066719141899,221.4008687047496,220.106671914196,221.2905355799454,221.4008687047539,220.1066719141856,220.1066719141991,221.2905355799394,221.2905355799491,221.2905355799411,221.2905355799396,221.4008687047445,221.2905355799378,220.2158273818546,219.8727351345723,221.4008687047434,221.2905355799383,220.1066719141812,221.2905355799483,221.290535579941,220.1066719142107,220.1066719141851,220.1066719142236,221.4008687047519,221.1803123673898,221.2905355799356,221.4008687047688,221.290535579943,221.2905355799413,221.2905355799289,220.1066719141937,223.0061528680856,220.1066719141952,221.4008687047428,220.1066719141906,221.4008687047508,221.2905355799404,220.1066719141901,221.2905355800061,221.2905355799357,220.215827381788,221.2905355799438,220.1066719141988,220.8181229819943,220.1066719141949,220.1066719141946,221.2905355799393,221.2905355799444,220.1066719141717,220.1066719141872,221.290535579937,221.2905355799377,221.2905355799366,221.2905355799415,220.8181229819981,221.29053557994,221.1803123673946,221.0540768841175,220.1066719141912,221.4008687047497,220.1066719141898,221.4008687187064,221.2905355799423,221.2905355799414,220.1066719141221,218.9513531259851,220.1066719141994,220.1066719141888,221.2905355799395,220.1066719141961,221.4008687047591,220.1066719141913,221.2905355799432,220.1066719141983,220.1066719141916,220.1066719141903,221.2905355799563,220.1066719142017,221.0540768841359,,,,,,,
frozenset({'223283.9.peg.5202'}),221.0540768841238,221.2905355799364,221.2905355799361,221.1803123673869,220.2158273817897,221.2905355799407,221.4008687047568,220.1066719142149,220.1066719141905,221.400868704751,220.1066719141948,220.1066719141981,220.1066719141971,221.4008687047509,220.1066719141797,221.4008687047561,220.1066719141838,221.2905355799431,221.4008687047529,220.1066719142072,220.1066719141954,221.2905355799384,221.290535579941,221.2905355799445,221.2905355799296,221.4008687047502,221.290535579954,220.2158273817889,219.8727351345788,221.4008687047487,220.1066719141899,219.8727351345595,221.2905355799355,220.1066719142005,221.2905355799353,221.2905355799406,220.1066719141991,220.106671914199,220.1066719137884,221.4008687047419,221.1803123673945,221.2905355799438,221.400868704752,221.2905355799413,221.290535579945,221.2905355799451,220.106671914196,223.0061528680885,220.1066719141984,221.400868704753,220.1066719141945,221.2905355799371,220.1066719141941,221.2905355799491,221.2905355799489,220.2158273817833,221.2905355799347,220.1066719141702,220.8181229819948,221.4008687047481,220.1066719141972,220.1066719141896,221.2905355799378,221.2905355799393,220.1066719141961,220.10667191419,221.2905355799452,221.2905355799463,220.8181229819965,221.2905355799401,221.1803123673967,221.0540768841252,220.1066719141913,221.2905355799414,221.4008687047463,220.1066719141938,221.4008687047483,221.2905355799346,221.2905355799392,218.9513531260023,220.1066719141975,220.1066719141947,220.1066719141895,221.2905355799434,220.1066719141859,221.400868704757,220.1066719141932,221.2905355799399,220.1066719141703,220.1066719141976,221.0540768841187,,,,,,,,,
frozenset({'PSPTOA0036'}),221.0540768841284,221.2905355799437,221.2905355799403,221.180312367388,220.2158273817804,221.2905355799386,221.4008687047465,220.1066719141863,220.106671914203,221.4008687047488,220.1066719141846,220.1066719141937,220.1066719141828,221.4008687047496,220.1066719141994,221.4008687047579,220.1066719142343,221.2905355799334,221.4008687047494,220.1066719141922,220.1066719141918,221.2905355799448,221.2905355799432,221.2905355799402,221.4008687047502,221.2905355799416,220.2158273817867,219.8727351345636,221.4008687047478,220.1066719141874,219.8727351345645,221.2905355799421,220.106671914192,221.2905355799341,221.2905355799492,220.1066719141978,220.1066719141965,220.1066719141939,221.4008687047551,221.1803123673948,221.2905355799451,221.4008687047564,221.2905355799419,221.2905355799788,221.2905355799407,220.1066719141945,221.400868704745,223.0061528680866,220.106671914196,221.4008687047516,220.106671914195,221.4008687047483,221.290535579941,220.1066719141946,220.2158273817932,221.2905355799301,220.8181229819964,221.4008687047464,220.1066719141997,220.1066719141906,221.2905355799504,221.2905355799499,220.1066719141858,220.1066719141902,221.2905355799365,221.290535579936,221.2905355799412,221.2905355799475,221.2905355799455,220.8181229820005,221.2905355799383,221.1803123673927,221.0540768841241,220.1066719141953,221.2905355799352,220.1066719141919,221.4008687047439,221.2905355799435,221.2905355799307,220.1066719141908,218.9513531259935,220.1066719141905,220.1066719141925,221.2905355799431,221.4008687047537,220.1066719141797,221.2905355799379,220.1066719141903,220.1066719141891,220.1066719141907,221.2905355799366,220.106671914191,221.0540768841281,,,,,,,
frozenset({'PSPTO_0062'}),221.054076884127,221.2905355799416,221.2905355799422,221.1803123673882,220.2158273817858,221.2905355799452,221.4008687047452,220.1066719141906,220.1066719141951,221.4008687047622,220.1066719141858,220.1066719141924,221.4008687047447,220.1066719141998,221.400868704752,220.1066719141926,221.2905355799288,221.4008687047575,220.1066719141949,220.1066719141923,221.2905355799384,221.2905355799457,221.2905355799336,221.2905355799358,221.4008687047501,221.2905355799466,220.215827381792,219.8727351345658,221.4008687047485,220.1066719141948,219.8727351345661,221.2905355799372,220.1066719141913,221.2905355799374,221.290535579937,220.1066719141988,220.1066719141992,220.1066719141901,221.4008687047539,221.1803123673823,221.2905355799328,221.400868704753,221.2905355799412,221.2905355799437,220.1066719142006,221.400868704751,223.0061528680798,220.1066719141943,221.4008687047525,220.1066719141838,221.4008687047542,220.1066719141974,221.2905355799392,221.2905355799462,221.290535579941,220.106671914188,220.8181229819967,221.4008687047543,220.1066719141884,220.1066719141932,221.2905355799387,221.2905355799402,220.1066719141895,220.106671914193,221.2905355799369,221.290535579946,221.2905355799338,221.2905355799373,220.8181229820004,221.2905355799393,221.1803123673958,221.0540768841215,220.1066719141956,221.2905355799378,221.4008687047474,220.1066719141897,221.4008687047449,221.2905355799386,221.2905355799404,220.1066719142009,218.9513531259905,220.1066719141893,221.29053557994,221.400868704746,220.1066719141959,221.290535579945,220.1066719141961,220.1066719141921,221.2905355799344,221.0540768841144,,,,,,,,,,
frozenset({'PSPTO_0073'}),221.0540768841158,221.2905355799375,221.2905355799363,221.1803123673856,220.2158273817682,221.2905355799372,221.4008687047476,220.1066719141838,220.1066719141866,221.4008687047534,220.1066719141902,220.1066719141917,220.106671914187,221.4008687047408,220.1066719141822,221.4008687047518,220.1066719141853,221.2905355799408,221.4008687047432,220.1066719141878,220.1066719141874,221.2905355799288,221.2905355799396,221.2905355799334,221.2905355799386,221.4008687047544,221.2905355799405,220.2158273817866,219.8727351345626,221.4008687047597,220.106671914185,219.8727351345678,221.2905355799477,220.1066719141889,221.2905355799394,221.2905355799324,220.1066719141928,220.1066719141946,220.1066719141935,221.4008687047505,221.1803123673933,221.2905355799361,221.4008687047559,221.290535579937,221.2905355799435,220.1066719141812,221.4008687047537,223.0061528680846,220.1066719141883,221.4008687047577,220.106671914204,221.4008687047507,221.2905355799423,220.1066719141875,221.290535579939,221.290535579931,220.2158273817869,221.2905355804901,220.1066719141972,220.8181229819975,221.4008687047521,220.106671914193,220.106671914192,221.2905355799461,221.2905355799433,220.1066719141953,220.1066719141896,221.2905355799321,221.2905355799403,221.2905355799404,221.2905355799378,221.2905355799402,220.8181229820027,221.2905355799353,221.1803123673986,221.0540768841117,220.1066719141865,221.2905355799355,221.4008687047479,220.1066719142079,221.2905355799471,221.2905355799437,220.1066719142006,218.9513531259886,220.1066719142025,220.1066719141926,220.1066719141951,221.2905355799384,220.1066719141834,221.4008687047513,220.1066719141915,221.2905355799495,220.1066719141891,220.1066719141906,220.106671914177,221.0540768841263,,,,
frozenset({'PSPTO_0075'}),2.150287542213612e-10,-9.80383193684898e-12,-1.372809481555811e-10,-6.472579927775086e-12,-8.230249917461483e-11,7.833584332453038e-11,2.669686643189301e-11,-6.841675807120211e-11,2.839498428021868e-12,-1.38610145828491e-11,4.875477072517393e-11,1.247532032373561e-10,1.228248023936759e-11,-6.835332748073914e-11,3.893316336677277e-11,3.607779804790952e-10,-5.38017712832702e-11,5.282659741524329e-12,-3.910625131309763e-11,3.045634257531257e-11,3.30225726085384e-11,-1.743170590325635e-12,-3.21285852382841e-11,-9.53453976723494e-12,1.240245507731113e-06,-2.145369892580547e-11,-1.158502589285471e-11,1.067271366606559e-10,2.129270409995777e-11,-1.481195560645657e-11,-9.074787457347964e-11,1.287981101614925e-11,-9.128562206843852e-11,-1.68023898969043e-12,-2.654605406599602e-10,-1.510755354870503e-11,-1.061940228256155e-11,-4.125418376606922e-11,-4.491627589159671e-11,7.501893279335425e-12,-1.190509926286452e-10,-1.80867832466733e-10,-4.392643178514334e-11,6.521908815424819e-10,-1.04500483739768e-11,-3.505729278664201e-11,-1.205596432887705e-10,-9.359825260042464e-11,-2.70757834858099e-11,-5.829501273631611e-11,-7.754248406138625e-11,-3.664849482801726e-10,-4.450675166527282e-11,-1.510544728376949e-11,1.574445550946657e-10,-9.83161690074386e-12,2.922821647360175e-11,-4.04641689219677e-11,-3.54102785145836e-13,-1.780188843380045e-11,-2.783518190333586e-11,-9.418980788295166e-11,-1.690215730409038e-10,-4.042395713380188e-11,6.91071451305932e-11,4.011558204448252e-10,-3.780049549365536e-11,-3.454630784388361e-11,1.005746688779094e-09,-1.244981127486235e-10,-6.887693018097919e-12,-5.094703796614461e-12,-2.895374279621765e-11,5.428360075304144e-11,-8.294183444213055e-12,4.311912140104098e-11,2.821447113381801e-12,1.0367242410132e-10,-4.015743759704467e-11,8.512091610169243e-11,-4.138885692369281e-11,-2.895360158586344e-11,-3.436897754093002e-11,-7.539530911781801e-12,-2.510649244654664e-11,-2.017257633248656e-10,1.376435056971206e-13,-2.360225758014066e-10,-3.320899994306853e-10,-1.576927808846318e-10,-4.411749928428923e-11,-4.87181820452154e-11,2.133395381189886e-11,2.291478624304619e-11,-1.869300057349008e-11,-5.588039816550078e-11,-5.929697518718232e-11,1.004481448333196e-10,1.064599253487283e-11,-6.376577952446042e-12
frozenset({'PSPTO_0080'}),2.058199404081166e-13,-1.026635997925197e-13,2.323289682942322e-15,9.220966179030798e-15,3.206056230895682e-11,-4.358649825516538e-12,-6.283846299735088e-12,-2.081301665182846e-12,9.743187343081138e-14,-1.369083320404233e-13,-2.191193648104632e-14,-2.371441764500303e-13,-1.901237854644248e-11,-1.674862491381171e-11,1.58993339732759e-13,-7.545876087371911e-11,-9.40871638002416e-12,-1.0739398948525e-11,4.3025749582623e-14,-2.097610457194371e-13,0.0,9.533748376038306e-15,3.366943308474255e-14,-7.564237388263937e-11,1.505178421986429e-12,6.818510818212348e-13,-3.667424972189023e-12,8.366098811221564e-12,-3.498253523645612e-13,1.618494575206781e-08,-6.411377850124057e-12,-7.390160174908619e-14,1.971553381085879e-13,-2.695779994340278e-14,-8.038829502367383e-13,-6.079944155856407e-14,-8.35250456876899e-13,-1.169843495756166e-13,2.882304743380459e-14,-7.504034053268245e-11,-3.867438755910404e-11,-3.493247274289401e-12,9.84458265304603e-13,8.486278556769975e-13,-6.244764819725139e-15,-3.013096637775333e-13,6.835290843639587e-12,-2.321412367533961e-11,-1.690093019171001e-14,-4.495831497507933e-14,-6.682743932725407e-12,-7.313549027134483e-12,6.534896002600712e-13,8.500254234969394e-12,2.277628154158573e-12,7.245231515273507e-14,3.875662797173074e-13,-1.35578991814399e-11,-3.993111982942288e-13,7.966228548943876e-14,-1.423097584792159e-11,-1.360523462682678e-11,1.176448036982704e-13,7.420737234229121e-13,-3.411835502662328e-14,-5.426005496907069e-11,-1.878069511694624e-11,-1.315833477509435e-11,6.878610466616776e-12,8.014075662786293e-14,-1.968382085322125e-14,-7.565140625245832e-11,8.206397456457788e-14,5.091242547413419e-15,7.155858431213136e-13,4.019784150873669e-14,1.183898782644162e-12,-3.198397218837375e-14,2.747605438860064e-13,-4.154052051171679e-13,-2.909049396667685e-14,1.11952600393435e-13,2.025464284595239e-14,-1.26438003276964e-13,5.82071757402934e-13,-1.498484997058515e-13,-1.027852975302892e-10,-1.315746333690639e-11,-6.821745173616917e-12,3.16586388201287e-13,4.200966220192675e-14,-6.473794162238491e-12,-2.171641496967328e-13,-2.542437104046727e-13,-1.490982353008582e-11,9.98563043459446e-12,-1.592548036819235e-12,2.108049453315457e-14,-4.999232948426139e-12,
