ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),-6.90955849427295e-14,-2.116441772135468e-14,-1.117000506822032e-13,2.706227446492094e-15,6.497753756910417e-13,4.195423753824839e-14,-1.868050578533242e-13,6.930909163051614e-14,0.0,-2.241536275525617e-14,1.654815773369446e-14,3.54127274136121e-14,-1.977178094169688e-13,6.080762606746742e-14,8.976945463181187e-14,-1.02543143587026e-14,-7.958496499303273e-15,-2.403626312653304e-14,-3.563798477703995e-13,6.499823953989687e-15,-4.040887932084579e-14,7.470998680350166e-15,3.130496607319636e-13,2.158600408737186e-12,-1.1520841959277e-13,1.693958495230462e-14,4.847002761967624e-14,-1.270665140575242e-13,1.329105046645508e-13,-1.946407580702674e-13,-3.04396719944761e-14,-2.431132978284685e-15,-3.70884564457337e-14,-3.218662415164224e-13,2.015669912507029e-13,2.527374091771157e-14,6.508931144836209e-15,2.191628640270628e-13,-8.11436394856711e-14,7.185900464929278e-14,-9.648262439906967e-14,-1.255616642081105e-13,2.294001949361452e-13,-1.836044985545275e-14,2.59516013475873e-14,8.002564316909252e-15,6.40013097634117e-14,-4.240338432489571e-14,5.159641146666964e-14,-3.462993706843531e-13,-5.658941107602171e-14,-1.480895578571089e-13,-2.778630227072481e-13,3.832068016383004e-14,9.588249059411774e-14,2.88503491723203e-13,-2.728854158985887e-13,1.800667977902919e-13,-3.240863504562167e-14,-7.328967067367659e-14,-4.971059776257085e-15,1.173822760050054e-14,-1.033788234032951e-13,8.924036994957027e-14,2.723287040231407e-13,1.617468637262069e-15,-3.845769306669599e-13,3.14406824920012e-13,3.251906922466158e-15,7.510164789700223e-13,-4.839736448510501e-14,-3.683069798163503e-14,-6.263285191548094e-14,-1.256951992060161e-13,-9.814695408172521e-13,3.425980356564348e-15,-7.372924954750078e-15,-7.158466916234872e-13,-1.137581007436111e-14,3.128845904797991e-14,-6.42846047370219e-13,-2.451161142679101e-14,1.235372382987594e-13,7.558349155055146e-13,-1.333781985593747e-14,-1.909269298024441e-14,-1.462340187168649e-13,-9.094891497281499e-15,-4.470138577025711e-14,7.985442176239731e-14,-9.781122387404964e-14,4.741706862694819e-14,-1.50463290334175e-14,-1.837135498378928e-13,,,,,,
frozenset({'223283.9.peg.3813'}),4.274496430258738e-13,2.764691622515152e-12,-2.979761719696062e-14,-3.909419931295513e-13,-2.076360933083952e-13,3.601990962376926e-13,-7.439904542512632e-13,1.036181933582115e-13,0.0,1.140689943564659e-12,-3.425797330166612e-14,-2.747717691979945e-12,1.093567187945464e-13,4.24629006268847e-14,-3.932145504721604e-14,-1.849771308234265e-13,-1.110220931645131e-13,4.970707936609431e-13,3.053217334916614e-14,-1.771273767368666e-14,2.41115056213594e-14,-1.883392505787922e-13,-4.998270276770906e-14,-4.964854103542638e-14,1.008264976498893e-14,8.907742872052681e-14,9.545786579289483e-14,-2.570292219198391e-15,-8.452347896784122e-13,-5.140927701855822e-14,-4.506864228374647e-14,6.003706877811485e-14,-2.736505552521618e-14,7.465833499095022e-14,-3.515516149237373e-13,1.071485339738134e-13,-2.495721833238193e-13,-7.842154305956839e-14,6.922469306740981e-15,4.626935523117748e-14,-1.08099587976204e-13,-1.690004074247385e-14,-1.032659321996929e-13,5.754148480960324e-14,1.215965055918584e-13,9.361036541938302e-16,1.422399799312715e-13,5.01784575940876e-13,-3.137876303476169e-14,5.317170257894828e-14,-9.192936683822547e-14,4.133625244540564e-14,3.461592988767644e-14,-4.165639410049894e-14,8.306656966385684e-14,-2.472153312056349e-13,-1.336425289996315e-11,1.659725100456527e-14,-9.014525589152735e-14,1.049507906475928e-13,1.406418794274423e-13,-1.023819218000076e-13,4.250197299664852e-15,7.418267546709133e-14,-1.063309662224886e-12,1.434114113407177e-14,1.525512084942921e-13,-3.537613014515396e-14,6.809559554969847e-14,3.83379630778666e-14,-3.267111997367038e-12,4.586149267290385e-14,1.201471388980682e-14,-5.613794394823351e-14,3.928768541732801e-14,-3.845991987737424e-13,-6.676058630063434e-14,-8.164752178707832e-12,-1.556023495059838e-13,2.048965879183498e-14,3.130337899242506e-14,-6.919467991954883e-14,8.333470173915793e-15,1.974576411431293e-14,-2.071743086174707e-14,6.556227046729595e-14,-9.09900052399531e-14,7.412189224200562e-14,-2.219289884482099e-14,2.155146322142111e-14,4.100126761756284e-13,1.690647251418856e-14,2.915548179756772e-13,4.310455019002135e-14,-4.051187489507848e-14,4.287863296291734e-14,1.203106520884695e-13,-5.413079518288741e-14,-8.312178533275085e-14,
frozenset({'223283.9.peg.3927'}),-8.66595523602553e-14,-5.649973890322824e-13,1.614257485027739e-14,-3.833366898081378e-14,-6.040707137390749e-14,6.615198374442608e-13,4.322172280258247e-15,-1.474336619876611e-13,-3.750409830321213e-14,-1.514541064116854e-13,1.522372221566412e-14,-3.10762268207265e-15,2.891800325881124e-14,-1.17268138290674e-13,-9.003334881154915e-14,-2.227133510946185e-14,-3.164941903586242e-13,-5.17823604180179e-15,2.722492951154366e-14,3.926507497171237e-13,4.36077534486736e-14,-4.403618355496863e-14,-9.83434094520783e-13,-4.553531687988848e-14,1.963199114795356e-14,0.0,1.036607958314616e-13,4.507675089814496e-14,2.052925822048663e-13,-4.012634994995773e-13,8.97728893569398e-14,1.860249510357466e-13,1.968608605386334e-13,-5.115805583546442e-14,-8.505900323457724e-13,-3.198110416716993e-13,-3.115465737505689e-14,-5.718401246911112e-14,2.186203003237263e-12,6.488538056439638e-14,2.078513731100501e-14,5.756902747291005e-15,9.62841774486968e-15,1.042254251053975e-13,-1.157291291094605e-13,-2.49736540854313e-13,6.423319295968659e-13,-1.042345751731336e-15,4.987841199774891e-14,-1.08914852144998e-13,1.016811839426122e-13,2.545356586193788e-14,-9.002256480549649e-14,-3.902485676546056e-14,1.648554011423077e-14,-1.404930634267014e-13,-1.962420066395657e-12,-4.863872363048628e-15,-1.699421645181469e-13,-4.634087029705579e-13,4.570389443292302e-13,1.238772440463058e-13,1.968349583307855e-15,-1.446354202057047e-13,2.173237882145779e-12,-1.249266701493671e-13,4.932086341526511e-13,8.286337728352687e-14,1.236155025793477e-13,2.90775537424316e-13,-4.360268015356719e-14,-3.070046718926252e-11,6.870164778248604e-14,-3.148619693012694e-13,4.923008717776282e-14,-1.357507430988843e-14,3.440421017267855e-13,-2.044062787430434e-14,6.197889696517013e-12,-6.536052790928361e-14,-1.221442631891118e-14,-1.248380980718298e-13,-2.180000722196612e-14,-3.380880721941691e-13,-1.482794334772796e-13,1.319351209988293e-14,-8.853467270423955e-14,-1.540752223241231e-13,8.172116178814181e-14,-2.610331472291787e-13,-1.145393029474482e-13,-1.125031477067432e-14,1.797349403184364e-13,-5.403311826540903e-13,-5.952886152083043e-13,,,,,
frozenset({'223283.9.peg.3930'}),124.1583875984869,124.2506689461236,124.250668946919,126.8609765274632,130.1226296632106,124.2506689461285,130.8277860528059,130.0552557668289,130.0374164667896,130.8277860528074,123.7880448055656,130.0552557668292,130.0552557668314,130.0552557668338,130.8277860528077,123.7880448055638,124.2937074180467,130.0374164667938,130.0552557668294,124.2506689461265,124.2506689461307,126.8609765274637,126.8609765274599,130.8277860528145,124.2506689461272,130.1226296632149,129.9108732864666,124.2937074180428,130.055255766824,129.9108732864588,130.7625892063274,130.0552557668283,130.7625892063291,130.762589206332,130.0552557668312,130.037416466793,130.0552557668528,124.2937074180439,130.697457308002,130.7625892063327,130.8277860528066,124.2506689461261,124.2506689461291,130.7625892063302,123.7880448055616,130.8277860528047,125.0904864151015,130.8277860528109,130.0552557668279,130.8277860527975,124.2506689461267,130.0552557668307,124.2506689461295,123.8307633276208,130.7625892063316,130.0552557668278,130.4834363075441,130.8277860528028,130.0552557668295,130.055255766826,124.2506689461238,130.0552557668318,130.0552557668323,130.7625892063322,130.7625892063294,124.2506689461189,130.7625892063246,126.8609765274618,124.0662432243932,130.7625892063273,126.8609765274624,130.6228636133498,130.0374164667913,130.7625892063304,130.8277860528042,130.0552557668276,130.8277860528138,124.250668946125,123.788044805561,129.3423423434303,130.0552557668266,130.0552557668264,130.7625892063295,130.0552557668277,130.0552557668256,124.2506689461275,130.0552557668288,130.0552557668343,123.7880448055643,130.7625892063011,130.0552557668303,130.6228636133454,,,,,,,,
frozenset({'223283.9.peg.5202'}),124.1583875984896,124.2506689461313,124.2506689461282,126.8609765274641,130.1226296632128,124.2506689461309,130.827786052805,130.0552557668307,130.0374164667985,130.8277860528088,123.7880448055662,130.055255766829,130.0552557668321,130.8277860528132,130.0552557668286,130.8277860528118,123.7880448055615,124.2506689461228,124.2937074180421,130.0374164667912,130.0552557668273,124.2506689461289,124.2506689461262,126.8609765274609,126.8609765274642,130.8277860528106,124.2506689461259,130.122629663208,129.910873286469,124.2937074180416,130.055255766833,129.9108732864646,130.7625892063232,130.0552557668331,130.7625892063346,130.7625892063249,130.05525576683,130.0374164667921,130.055255766828,124.2937074180423,130.6974573080028,130.7625892063323,130.8277860528037,124.2506689461261,124.2506689461443,130.7625892063235,123.7880448055702,130.8277860528089,125.0904864151016,130.0552557668266,130.8277860528094,130.0552557668341,130.8277860528006,124.2506689461257,130.0552557668246,124.2506689461284,124.2506689461276,123.8307633276213,130.7625892063338,130.0552557668277,130.4834363075414,130.8277860528079,130.0552557668312,130.0552557668347,124.250668946126,130.7625892063259,130.0552557668314,130.0552557668279,130.762589206329,124.2506689461314,130.7625892063265,126.8609765274602,124.0662432243913,130.7625892063359,126.860976527464,130.622863613347,130.0374164667936,130.7625892063285,130.8277860528057,130.0552557668295,130.8277860528093,124.2506689461297,123.7880448055635,129.3423423434409,130.0552557668328,130.0552557668306,130.0552557668291,130.7625892063281,130.0552557668115,130.8277860528098,124.2506689461245,130.0552557668326,130.0552557668303,123.7880448055601,130.0552557668301,130.6228636133433,,,,
frozenset({'PSPTOA0036'}),124.1583875985473,124.2506689461324,124.2506689463027,126.8609765274628,130.1226296632118,124.2506689461259,130.8277860521038,130.0552557668319,130.0374164667948,130.827786052807,123.7880448055641,130.0552557668329,130.8277860527148,130.05525576683,130.8277860528038,123.7880448055617,124.2506689461245,124.2937074180446,130.037416466813,130.0552557669263,124.2506689461242,126.8609765274636,126.8609765274652,130.8277860528032,124.250668946126,130.1226296632143,129.9108732863716,124.2937074180475,130.0552557668241,129.9108732864633,130.7625892063266,130.055255766014,130.7625892063272,130.7625892063297,130.0552557668267,130.0374164800826,130.0552557668367,124.2937074180336,130.6974573069536,130.7625892063324,130.8277860528073,124.2506689461301,124.2506689460925,130.7625892063302,123.7880448055652,130.8277859893075,125.0904864151046,130.0552557668321,130.8277860528096,130.0552557668331,130.8277860528089,124.2506689461287,130.0552557668341,124.2506689461295,124.250668946133,123.8307633276202,130.7625892063278,130.0552557668309,130.4834363075488,130.827786051997,130.0552557668322,130.0552557668249,124.2506689461272,130.7625892063296,130.0552557668335,130.7625892066253,130.7625892063318,130.7625892063294,126.8609765274645,124.0662432243881,130.7625892063332,126.8609765274639,130.6228636133407,130.0374164667896,130.7625892063317,130.8277860528109,130.0552557668661,124.250668946129,130.7625892196827,123.7880448055648,129.3423423434289,130.0552557668311,130.055255766831,130.0552557668299,130.7625892063298,130.055255766827,130.8277860528056,130.0552557668312,124.2506689461266,130.0552557667121,130.0552557668324,130.762589206327,130.055255766929,130.6228636133415,,,,,,
frozenset({'PSPTO_0062'}),124.1583875984886,124.2506689461256,124.250668946129,126.8609765274633,130.1226296632125,130.8277860528078,130.0552557668281,130.0374164667873,130.8277860528014,123.7880448055601,130.0552557668365,130.0552557668312,130.82778605281,130.0552557668379,130.8277860528086,123.7880448055624,124.2506689461232,124.2937074180412,130.0374164667966,130.0552557668372,124.250668946127,124.2506689461279,126.8609765274637,126.8609765274636,130.8277860528033,124.2506689461251,130.1226296632153,129.9108732864651,124.2937074180231,130.0552557668298,129.9108732864703,130.7625892063302,130.0552557668273,130.7625892063287,130.7625892063262,130.055255766832,130.037416466794,130.0552557668262,124.2937074180458,130.697457308006,130.7625892063251,130.8277860528061,124.2506689461329,124.2506689461272,130.7625892063324,123.7880448055648,130.8277860528101,125.0904864151057,130.0552557668301,130.8277860528074,130.8277860528119,124.250668946128,130.0552557668331,124.2506689461283,124.2506689461298,123.8307633276211,130.7625892063286,130.0552557668241,130.4834363075456,130.8277860528057,130.0552557668343,124.2506689461271,130.7625892063329,130.05525576683,130.7625892063303,130.7625892063307,124.2506689461253,130.7625892063309,126.8609765274646,124.0662432243922,130.7625892063283,126.8609765274613,130.6228636133495,130.0374164667899,130.7625892063275,130.8277860528055,130.055255766831,130.8277860528066,130.7625892063238,123.7880448055655,129.3423423434289,130.0552557668287,130.0552557668306,130.7625892063297,130.0552557668359,130.0552557668291,124.250668946132,130.0552557668309,130.0552557668275,123.7880448055581,130.7625892063328,130.0552557668276,130.622863613344,,,,,,,
frozenset({'PSPTO_0073'}),124.1583875984914,124.2506689461237,124.250668946124,126.860976527467,130.1226296632146,124.250668946131,130.8277860528035,130.0552557668316,130.0374164667879,130.8277860528134,123.788044805563,130.0552557668309,130.0552557668315,130.8277860528029,130.0552557668303,130.8277860528112,123.7880448055594,124.2506689461276,124.293707418044,130.0374164667919,130.0552557668276,124.250668946129,126.8609765274623,126.8609765274605,130.8277860528022,124.2506689461297,130.1226296632102,129.9108732864632,124.2937074180439,130.0552557668271,129.9108732864677,130.7625892063292,130.0552557668307,130.7625892063318,130.7625892063254,130.0552557668326,130.0374164667989,130.0552557668317,124.2937074180389,130.6974573080073,130.7625892063286,124.2506689461264,124.2506689461305,123.7880448055643,130.8277860528041,125.0904864151004,130.0552557667895,130.8277860528065,130.0552557668311,130.8277860528037,124.2506689461299,130.0552557668302,124.2506689461248,123.8307633276204,130.7625892063288,130.055255766828,130.4834363075425,130.0552557668335,130.0552557668343,124.2506689461239,130.7625892063222,130.0552557668358,130.055255766827,130.7625892063275,130.7625892063267,124.2506689461261,130.762589206323,126.8609765274591,124.0662432243886,130.76258920633,126.8609765274645,130.6228636133663,130.0374164668007,130.7625892063294,130.8277860528085,130.0552557668244,130.827786052806,124.2506689461268,123.7880448055669,129.3423423434276,130.055255766826,130.05525576683,130.0552557668274,130.762589206328,130.0552557668266,130.8277860528043,130.0552557668334,124.250668946127,130.0552557668318,130.0552557668312,123.7880448055677,130.7625892063297,130.0552557668294,130.6228636133443,,,,,,
frozenset({'PSPTO_0075'}),-4.335754504939568e-11,-1.019859729581326e-11,9.405523997739517e-12,-2.352783628181974e-11,1.056234321268021e-11,2.376264515737328e-11,-3.25939101348581e-12,-1.390458175906485e-10,-1.096033272517316e-10,-1.191251792732822e-12,-1.841600900063778e-11,5.756864233186576e-11,8.660590653203734e-12,-9.511349582676161e-11,1.126529884566699e-11,8.126641505996733e-12,-6.35699819522849e-12,-3.833946147989067e-11,2.965958623591276e-12,-3.982032902175135e-11,-9.81199181748774e-13,-2.270369665522594e-11,8.982851038307054e-12,1.105133987219308e-11,1.312430137812554e-10,1.435987698089476e-11,-3.369328553982137e-11,6.833719003287145e-11,-1.468004725583171e-11,-4.766972140616026e-11,8.265496749882396e-12,-2.385098670899498e-11,-1.891225924615573e-11,6.203848747776661e-11,-3.433982953118606e-11,-2.078694710962166e-11,1.158832354619183e-11,-3.546729274166297e-12,1.777813601179923e-11,-2.388923290835114e-11,-5.672871453011108e-12,-1.003081957151628e-12,-1.248754977955172e-11,-1.619975617870458e-10,2.692629428212669e-11,-3.827386444523857e-11,-3.147702758197922e-11,2.242606844072534e-11,-7.243813167341133e-12,-1.559592073540474e-10,2.994076282415609e-11,4.038474230707853e-12,-1.349859515770813e-11,1.228476277116297e-11,1.908040088602238e-11,4.276636302112665e-11,-2.611636969944075e-10,-1.663774023054646e-11,-1.524465718572119e-10,3.40662969404187e-11,-6.998775819729032e-11,-4.199650436742089e-12,5.580364592693415e-12,-1.147730624373139e-10,-4.661688024035678e-10,1.78566759412765e-11,-3.592695742562803e-12,4.873018022202382e-11,2.906384087786693e-10,2.104628776721777e-10,-1.324108205234325e-11,-2.268764448807693e-11,-1.090576392773415e-10,-2.238674168663705e-11,1.560770971679833e-11,8.487468642832952e-12,-9.73871267850715e-12,1.341440639383572e-10,8.578803939657676e-11,2.035394027988416e-11,-2.191799977346312e-11,3.381063765445177e-11,2.66315438549314e-11,-7.989864122850327e-12,-1.244894287518529e-11,2.105067704598946e-12,3.976350310858183e-11,2.255722715366413e-11,-1.880680311016425e-11,-5.97916940789096e-12,-1.559959399631805e-11,-1.358473705524304e-10,-1.787229620191958e-11,-7.118388939546674e-12,-3.300034135224952e-11,-4.400279453712413e-11,-5.082432609225966e-11,7.86798336427504e-11,8.509550750443237e-12,-1.465898779695922e-11
frozenset({'PSPTO_0080'}),9.85995410180153e-15,3.077873314272236e-12,3.070771840590141e-14,5.50582390390685e-11,5.807098142458402e-13,2.406177698419487e-10,-7.639449503882432e-15,-9.116862487307389e-14,0.0,-2.006339736524716e-15,1.172126300756568e-14,1.802313259134199e-12,-1.830767214010382e-11,6.771037305577608e-12,1.870367563165342e-13,2.771638593174292e-10,9.255217122914362e-14,7.771272807517213e-12,-4.953559584595567e-11,1.217395370474793e-11,-5.417264665372436e-12,1.5279180217762e-11,1.513040357884678e-11,-4.406225987173264e-11,1.677387883809179e-12,-2.188275813531584e-14,-2.908884284077866e-10,2.732509824463206e-14,-5.313553998101154e-12,2.285853990540013e-13,-7.29412737385011e-13,-7.775369786416816e-12,-2.240997607852023e-12,-7.38633918714819e-12,-3.870717524176901e-14,4.586878387803781e-27,-2.026664410945358e-14,2.676913629882909e-14,-7.167881164794074e-15,-2.536721565676976e-12,-2.787972164970169e-13,-2.663995365963782e-12,1.741487315439333e-13,1.732035234834568e-11,-3.021146570171488e-12,2.50061567146314e-12,7.335333314036763e-13,7.626488012962817e-14,1.869400953007745e-14,1.154362720392688e-10,-3.299710722279829e-14,2.631518374605841e-12,8.075941382501682e-26,2.037615778696106e-12,-2.236380698213966e-12,4.743251107144616e-13,2.727860065382313e-14,1.191839979532732e-13,1.810785338214608e-14,2.081987826732073e-10,1.064230071013343e-09,9.324402302876254e-12,2.191014943570774e-12,-4.744755618198003e-15,1.813329823315428e-13,4.869616379894529e-14,1.268600990276394e-14,-7.721102614613524e-12,2.173424774609547e-12,-2.887090481330143e-14,9.227447521298542e-14,-3.659119085972357e-14,-2.650274940927195e-13,1.229042318894548e-11,2.90573338776213e-13,6.647138358832209e-14,1.490628859139855e-11,3.172224428661052e-13,2.002338897288481e-12,-6.037734693038715e-14,-3.06123187791149e-13,3.31615424958059e-14,-4.055231253709768e-10,2.362786303041516e-14,2.145464539063952e-11,-1.235149527641971e-14,-7.762021839488853e-12,-3.179800707034415e-13,6.831678250988596e-15,1.354917658791203e-13,-3.424472189500697e-11,-4.082748222535306e-14,6.115538473854463e-12,2.186114998659775e-11,-1.610309593579306e-14,-4.332511423263556e-15,1.149418154564535e-13,-9.303634025173399e-12,,
