ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),-5.221998693518848e-14,1.603989288365466e-13,1.442125818280174e-13,1.210722805057243e-14,-9.267936633043768e-14,-3.833027416165641e-13,2.504130044759105e-13,-1.718287492609218e-13,-4.603592101018501e-13,4.949105469916571e-15,-4.152162292961519e-13,0.0,5.093267781474175e-13,3.473546030712312e-13,2.057062022361558e-13,1.649681375330372e-13,-5.633883601095755e-14,-5.361056451193963e-14,5.693535116091502e-14,1.62529583636734e-13,-1.613419989522228e-13,3.855639511493086e-13,-7.804664897876406e-14,2.485527758887123e-13,5.894610466227145e-14,3.8396453866677e-14,-1.932493650037894e-13,1.855482316901686e-13,-9.864561284070479e-14,5.393750978396245e-14,-1.09449667238735e-13,9.251194124057576e-13,2.824394544934657e-13,1.549875235629065e-13,2.100332445356999e-13,-1.18684912912984e-13,-3.75143301083945e-14,-5.980844833163773e-13,4.576986727380509e-14,-8.869544065015109e-14,5.277967542151976e-14,4.161664290749837e-15,-4.458719011212237e-13,-2.278370419551721e-13,-7.924865040503409e-14,-1.664207546004354e-13,-1.751643781874379e-13,-3.776139309026607e-14,-1.44158574666354e-13,-7.668092079694456e-14,8.1253434128938e-14,-1.419349372711839e-13,4.629683587121568e-13,7.492355841674471e-13,-1.094869049524404e-13,-1.627468147045181e-14,-2.019475064183316e-14,1.68033384761568e-13,-1.809208731172345e-13,1.382922937013048e-13,3.355521139674744e-13,3.953561206478884e-14,-2.489812851864467e-14,4.323815731897658e-14,3.897392450926675e-13,4.720109952651502e-15,5.9567098336933e-15,3.386572954735587e-13,-2.376625693612725e-13,-8.994700946488243e-14,-3.741791910327063e-13,-4.072405497569774e-14,-2.034466855393195e-15,5.833935497592418e-12,-1.568743815041962e-14,3.503657269046369e-13,-1.635080784050428e-14,1.524778261479956e-14,4.681638286452099e-14,2.89657651268749e-14,-3.809147750400355e-13,-1.471129121370608e-13,3.071799503443323e-14,1.862645050378989e-13,-4.473582151761746e-13,4.652658347918451e-13,5.055675846737939e-13,9.091098914406614e-14,1.202557144470101e-12,1.960537598234148e-13,8.719760165204471e-14,-1.203263472214513e-13,-8.392579153085772e-15,4.619598329167068e-13,2.302456913689184e-13,-1.031707586030102e-13,2.961363613545524e-15,-4.508583412180488e-14,2.007104827828032e-15,
frozenset({'223283.9.peg.3813'}),-2.556338708723535e-13,3.849963969150168e-12,4.142354493974051e-14,-5.045257419356473e-14,-8.174062900673743e-14,-1.839516366384105e-15,-2.601911273463625e-14,1.059557672906562e-13,-1.943131573693788e-14,9.418860938739832e-14,3.731592436959471e-14,0.0,-1.551932522683666e-13,-1.695592001542605e-14,2.12020577964411e-13,-4.963908906027418e-14,-5.821352954033847e-14,9.442069653671137e-14,-1.781006864340261e-13,6.012234410485278e-13,1.028003823027864e-13,1.467297404692588e-13,-8.265826689704142e-14,1.421007843781494e-13,2.819909312824668e-13,2.642033156325082e-13,-1.007039770021737e-13,5.909479142834693e-14,5.820517128990045e-14,1.801594525879375e-13,-1.546089867436493e-13,-4.146561218889994e-12,-1.585361660008097e-13,-1.46904304101281e-12,2.007643823872843e-13,1.537644078393822e-14,-3.362636253538849e-14,2.673054264132939e-13,-1.052910475157195e-13,7.634711305827025e-14,2.068051914812759e-15,-1.08231501777772e-13,-3.217025424554043e-12,-2.19122134523055e-13,3.023687074456867e-13,-1.188739611875294e-12,1.350775492141527e-14,-1.159770412358203e-13,9.946241431729736e-14,-1.210836560593303e-13,-5.352434876731209e-13,-3.285812176834916e-14,1.979556061557824e-14,7.142318003007986e-13,-3.3351382921173e-13,-6.935047276712677e-14,1.222005726834722e-13,-7.816221168768482e-14,-1.742414616882061e-13,-7.110877293849619e-14,-2.615359593694086e-13,-4.140030506004099e-14,-1.478767230449302e-13,-1.475091240112033e-13,-2.730654259910708e-15,1.877465948094595e-14,1.400234576446535e-13,2.184540286499865e-13,-2.053315329808929e-14,7.75863103102723e-14,-1.669870697454732e-11,-3.209639720742042e-13,-1.065009655669028e-13,-1.827423375245141e-15,-1.542474335794413e-13,-9.656538015664553e-15,2.004729547579484e-13,-4.567051353491311e-14,-7.694808899389085e-13,-4.117829437410381e-14,-2.694064651388922e-13,-4.553085245696972e-14,3.032459364770658e-14,8.587477724220818e-14,4.63268476200062e-14,2.516279720963884e-11,1.022202260371771e-13,-4.370019466265433e-13,1.833011724391125e-13,1.735498162471216e-13,-1.038178704934831e-13,-3.881057258563208e-14,-1.560662509005202e-13,7.232874670056309e-14,9.794431528973782e-14,,,,,
frozenset({'223283.9.peg.3927'}),2.5529192388677e-14,2.887489761065895e-14,-1.017140264435135e-14,0.0,1.125014094347604e-12,6.693576640711381e-15,-6.470511670389982e-13,1.712719806128884e-12,1.48349974858669e-14,-7.074277190967461e-14,-2.854113053302823e-14,-7.332449763668424e-14,-3.63056364144117e-13,3.002528429409998e-14,2.137099576323508e-14,-4.578843682696474e-14,1.454319367956155e-13,1.52580391017533e-13,-1.257640735290213e-13,-2.090780813938433e-13,1.50094996993889e-13,-4.36660671705589e-15,5.768707658855842e-14,2.213648458329913e-13,-8.15827050978629e-13,4.460583507550295e-14,-2.122561248036014e-13,-1.021471138353301e-13,-6.795380096015069e-14,4.691061893287085e-14,1.747526793507033e-12,3.732708650465884e-14,-1.164669747089042e-13,-2.288375341606294e-14,2.984203384716168e-14,-1.394671931324358e-14,-3.962647600074567e-14,6.801549029304248e-14,-4.395664756979787e-13,2.308682538359503e-13,-4.454214836317377e-14,3.455394532845579e-13,-1.779489525922728e-13,-1.866138313404908e-13,-2.421671243754422e-13,-1.178598641977984e-13,-9.75521479364964e-14,-1.302448633953888e-13,-4.695048042386467e-13,-1.176152773462334e-13,2.055356251855709e-13,-1.37189039021764e-13,-3.498138837506183e-14,-8.574068443487424e-14,-2.035868493643443e-12,-9.802659251993404e-14,-1.328057832650889e-13,-1.154277329373732e-13,-5.741356007412923e-14,-2.827960764677138e-13,-6.851681187243624e-14,6.488185457024568e-14,1.401284177568858e-13,-1.040146028970823e-13,-5.487514237777124e-14,2.897380063283398e-14,-5.840662348521928e-14,3.488538213670827e-14,1.98542400183528e-13,-3.667279707548064e-14,2.605314496040217e-13,1.058248908013146e-13,1.263050087025831e-12,2.581847768405516e-13,-9.549917856507368e-14,3.087667061982936e-13,7.143850805169376e-14,1.940875302830515e-13,6.023852665158798e-14,8.165913813676751e-14,-4.018001216767176e-14,1.938238927697011e-13,1.015256772153614e-13,1.321629532370804e-14,-5.681932068328446e-14,-1.457582988225737e-14,2.236081039409567e-13,8.747099604354535e-14,-1.070784857422741e-12,9.820399811476173e-15,-1.239813278284444e-13,1.322398114618323e-13,-4.730665227812971e-13,,,,,,,
frozenset({'223283.9.peg.3930'}),192.0000435917424,192.0989255727034,191.5934488713935,193.9342616498679,186.9615349253263,192.0989255727049,198.3850583030261,186.8849391938531,186.8849391938371,198.072421456507,185.7712102950731,186.8849391938522,186.8849391938555,198.3850583030258,186.8849391938528,198.3850583030243,192.0989255727006,192.145027047272,186.8849391938532,186.8849391938524,191.5934488713924,192.0989255727014,193.9342616498682,193.8091117094031,192.0989255727041,186.9615349253243,186.7207384868834,192.1450270472708,186.884939193852,186.720738486876,198.2951053778776,186.8849391938517,198.295105377881,198.2951053778819,186.8849391938534,186.8849391938569,186.8849391938508,191.6400921272221,198.2052339897403,197.9816348919301,198.3850583030247,192.0989255727023,191.5934488713947,197.9816348919292,185.7712102950736,198.0724214565072,193.2960484007757,186.8849391938494,198.385058303026,186.8849391938525,198.0724214565063,192.0989255727035,186.8849391938558,192.0989255727047,191.5934488713934,185.8137521722369,198.2951053778813,197.5928325095917,198.3850583030245,192.0989255727043,197.9816348919298,186.8849391938527,197.9816348919284,198.2951053778817,192.0989255727052,198.295105377882,193.8091117094092,191.9012633564361,198.2951053778905,193.8091117094072,197.7870426276406,186.8849391938526,197.9816348919279,198.0724214565071,198.0724214565066,192.0989255727082,197.9816348919302,185.771210295075,171.630618117339,186.8849391938505,197.9816348919306,186.8849391938533,198.3850583030257,186.8849391938516,185.7712102950739,197.9816348919282,186.8849391938513,198.1022969535632,,,,,,,,,,,,
frozenset({'223283.9.peg.5202'}),192.0000435917417,192.0989255727013,191.5934488713889,193.9342616498673,186.9615349253243,192.0989255727054,198.3850583030265,186.8849391938523,186.884939193854,198.0724214565072,185.7712102950699,186.8849391938528,186.8849391938531,198.3850583030252,186.8849391938524,198.3850583030229,185.7712102950723,192.0989255727049,192.1450270472699,186.8849391938535,191.5934488713957,192.0989255727036,193.9342616498684,193.8091117094071,198.3850583030258,192.0989255727025,186.9615349253245,186.7207384868841,192.1450270472715,186.8849391938506,186.7207384868879,198.2951053778815,186.8849391938534,198.2951053778835,198.2951053778812,186.884939193852,186.8849391938518,191.6400921272209,198.2052339897425,197.9816348919285,198.3850583030255,192.0989255727063,191.5934488713923,197.9816348919303,185.7712102950721,198.0724214565071,193.2960484007706,186.884939193851,198.0724214565073,192.0989255727027,192.0989255727035,191.5934488713944,185.8137521722364,198.295105377883,186.8849391938527,197.5928325095908,186.8849391938502,186.8849391938525,192.0989255727003,197.9816348919287,186.8849391938521,197.9816348919289,198.2951053778802,192.0989255727045,198.2951053778834,193.8091117094061,191.9012633564353,198.295105377881,193.8091117094022,197.7870426276436,186.8849391938508,197.9816348919306,198.0724214565066,198.0724214565081,192.0989255727065,197.9816348919263,185.7712102950746,171.6306181173383,186.8849391938515,186.8849391938542,186.8849391938551,197.9816348919319,198.3850583030245,186.8849391938496,192.0989255727028,186.8849391938514,186.8849391938605,185.7712102950726,197.9816348919298,186.8849391938641,198.1022969535615,,,,,,,,,
frozenset({'PSPTOA0036'}),192.0000435917391,192.0989255727048,191.5934488713927,193.9342616498687,186.9615349253242,192.0989255727044,198.385058303024,186.8849391938533,186.8849391932545,198.0724214565057,185.7712102983962,186.884939193849,186.8849391938514,198.3850583025929,186.8849391938522,198.3850583030248,185.7712102950387,192.0989255743167,192.1450270472706,186.8849391938523,186.8849391926596,191.5934488713926,192.0989255727041,193.9342616498418,193.8091117094118,198.385058303026,192.0989255727052,186.9615349253255,186.7207384867983,192.1450270472701,186.8849391938529,186.7207384868815,198.2951053789992,186.8849391954303,198.2951053778822,198.2951053776294,186.8849391932064,186.8849391935861,191.6400921272223,198.2052339897419,197.9816348919065,198.3850583030233,192.0989255726359,191.5934488713952,197.9816348919247,185.7712102950756,198.0724214565048,193.2960484007735,186.884939193851,198.3850583030296,186.8849391938539,198.0724214565026,192.0989255727042,186.8849391938502,192.098925572703,191.5934488713955,185.8137521722401,198.2951053778847,186.884939193852,197.5928325095902,198.3850583030288,186.8849391938491,186.884939193853,192.0989255727062,197.9816348919284,186.8849391969294,186.8849391957748,197.9816348922783,198.2951053778821,198.2951053779157,193.8091117094267,191.9012633564344,198.2951053779343,193.8091117094087,197.7870426276455,186.8849391938527,197.981634891944,198.0724214565096,186.8849391938531,198.0724214565047,192.098925572705,197.9816348919298,185.7712102950735,171.6306181173366,186.8849391929249,186.8849391940342,197.9816348919312,186.8849391938511,198.3850583030225,186.8849391938521,192.0989255737865,186.8849391938512,186.8849391938536,185.771210295075,197.981634891927,186.8849391912902,198.1022969535612,,,
frozenset({'PSPTO_0062'}),192.000043591743,192.0989255727011,191.5934488713925,193.9342616498685,186.9615349253255,192.0989255727032,198.3850583030236,186.8849391938528,186.8849391938508,198.072421456506,185.7712102950744,186.8849391938481,186.8849391938534,198.3850583030238,186.8849391938535,198.3850583030255,185.7712102950756,192.0989255727052,192.1450270472747,186.8849391938539,191.593448871392,192.0989255727048,193.9342616498714,193.8091117093964,198.3850583030253,192.0989255727029,186.9615349253243,186.7207384868829,192.1450270472695,186.8849391938527,186.7207384868854,198.2951053778833,186.884939193852,198.2951053778817,198.2951053778775,186.884939193853,186.884939193855,186.8849391938499,191.6400921272249,198.2052339897507,197.9816348919347,198.3850583030242,192.0989255727059,191.5934488713937,197.9816348919295,185.7712102950749,198.072421456507,193.2960484007804,186.8849391938523,198.3850583030235,186.8849391938577,198.0724214565079,192.0989255727003,192.0989255727023,191.5934488713931,185.813752172235,198.2951053778828,186.8849391938516,197.5928325095911,198.3850583030243,186.8849391938515,192.0989255727033,197.9816348919222,186.8849391938595,186.8849391938504,197.9816348919237,198.2951053778838,192.0989255727019,198.2951053778702,193.8091117094075,191.90126335643,198.2951053778821,193.8091117094093,197.7870426276465,197.9816348919314,198.0724214565086,186.8849391938531,198.0724214565058,192.0989255727063,197.9816348919265,185.7712102950755,171.6306181173355,186.8849391938494,186.8849391938513,186.8849391938524,197.9816348919272,186.8849391938486,198.3850583030261,186.8849391938529,192.0989255727038,186.8849391938538,185.7712102950728,197.9816348919288,186.8849391938525,198.1022969535633,,,,,
frozenset({'PSPTO_0073'}),192.0000435917416,192.0989255727045,191.5934488713925,193.9342616498675,186.9615349253243,192.0989255727046,198.3850583030229,186.8849391938557,186.8849391938528,198.0724214565068,185.7712102950727,186.8849391938537,186.8849391938527,198.3850583030231,186.8849391938543,198.3850583030254,185.7712102950733,192.0989255727033,192.1450270472704,186.8849391938617,191.5934488713939,192.0989255727051,193.9342616498671,193.8091117094106,198.3850583030283,192.0989255727047,186.9615349253256,186.7207384868832,192.1450270472701,186.8849391938533,186.7207384868816,198.295105377881,186.8849391938522,198.2951053778808,198.2951053778849,186.8849391938538,186.8849391938514,186.8849391938517,191.6400921272234,198.2052339897539,197.9816348919283,198.3850583030234,192.0989255727017,191.5934488713913,197.9816348919301,185.7712102950746,198.0724214565097,193.2960484007721,186.8849391938547,198.3850583030261,186.8849391938515,198.072421456509,192.0989255727038,192.0989255727063,191.5934488713944,185.8137521722393,198.2951053778798,186.8849391938539,197.5928325095896,198.3850583030244,186.8849391938516,197.9816348919297,186.8849391938523,186.8849391938532,197.9816348919262,198.2951053778775,198.2951053778885,193.8091117094114,191.9012633564367,198.2951053778826,193.8091117094081,197.7870426276455,186.884939193853,197.9816348919321,198.0724214565073,197.9816348919304,185.7712102950737,171.6306181173379,186.884939193848,186.8849391938526,197.9816348919295,186.8849391938529,198.3850583030242,186.8849391938595,192.0989255727029,186.8849391938536,185.771210295074,197.9816348919314,186.8849391938544,198.1022969535588,,,,,,,,,,
frozenset({'PSPTO_0075'}),1.314729526159553e-12,-1.453373932984321e-12,1.491107886063136e-11,1.30511208050777e-11,-1.192652409978284e-10,-1.744048263736115e-11,1.590254746239194e-11,-8.976185169997968e-13,-6.12192652726071e-10,-2.45573492543513e-11,2.269971426623066e-11,-3.226826105791463e-11,-6.019858551488942e-11,-1.020366007532551e-10,3.126754410808889e-11,-7.98594496161445e-12,3.41622547259641e-12,-1.338608353473267e-11,1.216299531053017e-11,1.0512296593432e-11,1.062813668458947e-10,2.003830345155951e-11,-7.174199816543054e-12,1.211180158985444e-10,6.03682437108926e-10,4.005266608978625e-10,-1.281555331438938e-12,1.172780820941858e-11,1.913654024500774e-10,-5.256620725227222e-11,-5.813410994097572e-12,1.527861122691282e-11,-4.464660085287862e-10,-1.58244745862718e-12,-3.442468665306228e-11,3.101884119499143e-10,-1.291540891513169e-10,2.728280184275003e-11,-1.69124349970039e-11,1.806872283533903e-11,-1.145251134178077e-10,7.844075388690456e-11,-4.752860690798027e-11,2.53456637243559e-11,-8.458022502378944e-11,-5.198885185686791e-11,4.204901593073858e-13,3.220659637735018e-10,-3.908584187932484e-11,-3.997780431068361e-12,4.907696614506253e-11,-1.126378876632293e-10,1.020212992035014e-10,2.47147338216275e-11,4.524672685706075e-10,-2.152174509859703e-10,-7.543362297660434e-11,-4.444833177062709e-12,1.247718213139952e-12,1.393403966095276e-11,1.81563754883465e-11,5.968641608364743e-11,1.636471095648864e-11,-2.71785011404338e-12,-2.080664276855183e-11,3.739539368772899e-11,-1.126583506920405e-11,4.910602721160347e-11,-2.024329316262668e-10,-3.065605191538604e-11,2.507034776711345e-12,8.038873639672062e-11,-5.668983908123795e-11,-6.224176834072021e-10,2.905545150393948e-11,-5.193673795452306e-11,-3.019749433850247e-11,-2.661482657121035e-10,1.012470296392877e-11,-7.913698860215606e-12,-9.833263862294152e-11,-9.105653152048833e-11,-3.044788377777174e-10,4.37495058879447e-12,-3.756187780302091e-11,2.026486170572476e-11,2.904417105130645e-11,-3.833605346164647e-10,-4.670174320408276e-13,-2.638507109896253e-11,-3.792551831275556e-11,5.527317998837972e-12,-8.637516447071707e-11,1.472930458124092e-11,1.727989858417927e-11,2.790258164469127e-11,-1.634022430048141e-11,7.850839761248925e-12,4.840207119056435e-11,2.123436820991091e-11
frozenset({'PSPTO_0080'}),3.62609823473084e-14,-1.700147938049786e-10,-1.396774783341222e-11,-2.626320621190396e-13,-3.290731455881257e-14,1.224910262954068e-13,3.616427788352932e-13,-5.789647310826053e-12,0.0,2.830934048521036e-12,1.000946712027837e-13,6.802052674709647e-12,-5.376411859375186e-11,2.599427941262494e-11,-2.367142795413227e-14,1.465828043799487e-13,-8.878229278784498e-13,-1.411181707239574e-11,-6.81272443699823e-12,-9.540074780301432e-12,-7.235590699475375e-14,8.564908826149402e-13,3.305696536742988e-13,3.803932794518215e-14,-2.896542589657257e-13,2.772645161666311e-13,-6.573909069462434e-14,2.115698842011292e-13,-1.134587365904155e-11,4.140653116254874e-13,2.100809857545143e-12,-8.68095195775803e-13,-9.295293613565583e-14,-8.326193354237999e-14,-2.033015399704799e-11,-3.087950910816269e-12,-3.026048419265933e-13,-1.305597899245832e-13,-7.102548530812824e-12,-7.746817416840348e-12,-4.969617123285384e-13,-6.265160719640737e-14,-7.102395888509416e-12,-1.419284758537041e-10,4.760967105523769e-15,-1.362378358785287e-11,3.015160976190331e-13,7.593784902465356e-13,-5.706238914015211e-12,3.47285411892313e-13,-2.627775151783822e-12,-6.816606848336043e-12,4.445601398874967e-13,6.171886836706169e-13,-1.158093268093455e-13,-2.7396103402766e-12,3.623744338127621e-12,-8.454884406311237e-12,2.704778228964269e-13,-3.958628368086793e-13,-1.354642973524993e-11,-3.205837036107839e-14,4.510604993187062e-14,2.880725738307108e-14,-7.166748609034447e-12,-1.609808202362922e-11,-1.267458802068365e-11,-1.367209165462966e-11,-1.257792035972022e-11,4.164164304610546e-12,-1.147251884819058e-13,-1.79513127333855e-12,-5.274752144443925e-13,-9.792291838502517e-12,-2.607685344034122e-12,2.087865261822289e-13,-1.496392077225867e-11,-8.204898311422104e-14,7.403756024167881e-14,-1.177074301124614e-11,-1.41470836366443e-11,2.238821135902425e-14,-6.482043002955134e-12,3.094896066019359e-12,-1.027689340329852e-13,-1.15828698575844e-12,-2.395752999987458e-13,9.422897304520344e-14,-2.185862452089091e-14,3.673375393296745e-13,-3.918665630449388e-14,2.112796443834288e-13,-1.484882253493838e-11,8.646996589677668e-14,-1.208215191669685e-11,-1.055935338563926e-11,-1.150512113176823e-13,-7.849458212134261e-12,,
