ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),1.322365767691704e-13,2.873749964014678e-13,-4.694840379442563e-13,-4.380207517918807e-13,1.517901906021277e-13,5.446697888460113e-15,-4.244652996745273e-13,6.798250000333546e-12,-1.230489620201054e-13,4.403055623825908e-13,2.068151446993831e-14,3.077682212379895e-14,2.943546338888281e-13,1.623863624054436e-13,2.593335574124612e-13,5.48400138024763e-14,4.968197825396117e-14,0.0,-8.594254839234483e-15,6.990884666331198e-15,7.054429103785299e-13,-2.140188930938633e-14,-7.117935195688072e-15,-1.825562463258074e-15,6.71164765021278e-14,-1.346891790388982e-13,2.466032572555833e-14,1.19168884349121e-13,6.28308284904643e-13,-4.81024338801464e-14,1.105759255700083e-13,1.212174802747655e-13,-1.611110484822729e-12,2.504341030962436e-14,4.569188740676137e-14,1.104334311029484e-13,3.903845516137265e-13,-1.07063499719997e-11,1.146535888670514e-12,-3.777365210859327e-14,2.570759193818689e-14,9.396714675634383e-14,7.224244053969465e-14,-7.754695479130009e-14,2.87678415598113e-13,-5.03571946400691e-14,4.037197616925323e-14,7.96764627171485e-14,-1.694280549108778e-13,2.816025828331115e-13,1.031881161213566e-12,3.264681955439099e-13,4.468020250011391e-13,4.290828466260299e-14,5.262116757667394e-14,1.50178084992743e-13,6.52279375055217e-14,-8.913014331369467e-14,-1.734161382406696e-13,-1.19107138065602e-15,-1.319388426687193e-13,1.725800032760192e-14,-1.196293847352313e-13,6.058001025353292e-13,-1.866274156073081e-14,2.637482671930825e-13,5.048133057429051e-13,-9.773477960130246e-15,-9.998839696520616e-14,-1.495288596904474e-12,-3.549067502898574e-13,1.870913406834025e-12,4.049385769812365e-14,2.227625282749295e-13,-4.180706367695019e-14,1.28325763214044e-13,1.164845343981613e-13,1.630504850396465e-14,1.908793537185551e-13,-3.057499168799944e-13,-2.959830120046059e-13,-2.610789707985696e-13,-1.66651228525767e-12,-5.201387485635515e-14,6.87690679106086e-14,1.413154449307683e-14,2.320855533592292e-14,9.72341966019182e-15,-3.294678695197728e-13,1.198013949020483e-14,3.602942085502836e-13,5.245797610749126e-14,-6.50886228361259e-14,3.09583854945245e-14,3.044404928000229e-13,6.96342282879764e-15,3.278085950613118e-13,-3.655391416719164e-14,-2.344009639102738e-13,
frozenset({'223283.9.peg.3813'}),-1.617712312037881e-13,2.875198025129079e-12,-1.17569256473424e-13,2.669687155446432e-13,-2.963846481040396e-14,1.564659796705316e-13,-2.329058019629413e-14,-4.733355820163966e-14,-1.434988834095641e-13,0.0,5.445548683654373e-15,5.090035884339432e-14,3.265034548857964e-12,4.525785164063317e-13,1.921995247611579e-13,1.244253123430397e-14,-7.093434149299533e-14,2.245728628351367e-13,-1.593202879850626e-13,1.422998661256665e-13,5.850761130119593e-12,-6.402526811628302e-15,-3.495992871281069e-13,-2.028770100154579e-14,-4.201892995212458e-13,-2.501723150163398e-13,6.423975211663816e-15,1.767849934301088e-13,4.853751837685352e-14,1.818793381592457e-13,2.250289822696377e-13,5.920215613582956e-13,-2.288582358199968e-13,3.439917124840447e-13,2.941111306998512e-13,-3.929426405576529e-13,-1.250249977551144e-14,5.416809199520691e-14,-6.592891594258101e-14,5.405432323936075e-13,3.021724994911259e-14,1.109227598095556e-12,-3.717039600219332e-12,-4.066651567765946e-14,-8.807886473415647e-14,-3.252795450058805e-13,-2.98210372822781e-13,1.544188073058842e-13,1.419583992227764e-13,5.695354099250133e-14,3.39791036423511e-14,2.071711410063087e-15,-4.054946735136218e-13,1.506997599482e-13,-8.059967596037405e-15,5.200602637589856e-13,-4.84620623927312e-15,-4.155982484473415e-14,-1.04115420563775e-14,7.444690530025155e-14,-9.304375747770224e-14,1.543240880644203e-13,9.313261707515446e-14,-1.489536179223555e-13,-3.590386898716105e-13,-2.649484790769287e-13,1.794812212169175e-13,1.592763055091456e-13,-5.121357534265697e-14,-9.313315403485014e-14,-2.520662091121541e-14,1.745555808445034e-13,-5.19476144923119e-13,-1.717669070627676e-13,-4.172976768645397e-14,1.037881852651201e-13,1.889514887861199e-13,-3.795981577909031e-14,4.94311065891172e-13,4.755723313345746e-13,-1.938295183926657e-13,3.111843904575024e-13,-1.666418516411001e-13,2.984857065218558e-14,1.172257478788345e-12,2.507442709724521e-13,3.9976025098484e-14,5.988376099608668e-13,4.489327940531133e-14,-1.298025446702853e-13,1.565675805988214e-13,-6.510085269563743e-13,-2.845374756547494e-13,-8.211066761983243e-13,3.904404700645715e-14,1.369328489714131e-13,3.055962736652189e-14,-2.372098898213024e-13,,
frozenset({'223283.9.peg.3927'}),-6.145012724026016e-13,1.040045660859253e-13,8.640872593630321e-14,-1.432031883153049e-13,3.452059120654793e-15,8.406127165472956e-14,0.0,-1.937408370753672e-13,-1.029527170770601e-13,-1.329715712632316e-12,5.500817568448058e-14,-3.477499038260469e-13,-1.715303965197661e-13,4.698620207415396e-13,1.703138269300442e-12,2.645765327844837e-14,7.866871688202129e-14,2.282645113798551e-13,1.033346352241269e-10,-1.836144006988479e-13,-4.334944586243403e-14,-1.521923346520873e-13,3.227682722394366e-13,1.004177791794364e-13,-3.770164830242904e-14,2.593472132125549e-13,-1.916024751466639e-13,6.732964174902117e-12,7.968314912873251e-15,2.771692906162537e-13,1.089069883044472e-13,5.087748245791728e-14,9.117842786752765e-14,9.101575308705821e-14,-7.332678160639254e-14,4.461920549490703e-13,2.053821852599076e-13,2.98794878807503e-14,5.516486104847769e-15,7.104096145620528e-13,-4.894354595002419e-13,-6.167558677148839e-12,1.456299600087138e-14,-5.349606255438769e-14,5.90489701636954e-13,1.081927587052947e-13,-4.402464066843385e-14,-8.697271461418404e-13,9.325514417730534e-13,6.411602201269933e-13,-2.523886824662553e-13,1.023058245676258e-13,3.28375679686395e-12,2.853479532830865e-13,-2.465389798761887e-13,-2.538114408475869e-12,-2.0661311377057e-13,-5.714781960381119e-14,-7.475725628113577e-13,-1.041850810962071e-13,-1.291100274901975e-13,1.254476600420005e-13,6.397194513613511e-15,6.093647864858578e-13,2.194976475004462e-14,4.757683839992897e-14,8.962896184006464e-14,2.329082613006262e-13,-1.830035447832938e-13,-2.145305772935526e-14,5.600418298019664e-14,-5.102753965216736e-13,-1.244046328554747e-14,2.545264492243277e-13,-3.592141399833646e-13,2.422372413695236e-15,-1.09420063176972e-13,4.314319512719755e-14,-4.42187817334989e-13,8.510848743594499e-14,-3.715564861866012e-14,-2.759221392195664e-13,1.970103056698257e-13,-3.970395570871309e-13,4.134415023380206e-13,-7.556070547554108e-13,-3.398683118574916e-13,-2.327793353509124e-13,-1.231528636979118e-14,2.873781388666304e-13,3.189063782868332e-14,-3.344986110381247e-13,1.048485357902305e-12,2.289806579842767e-12,-4.605009207438024e-14,-2.874696253296951e-13,,,,
frozenset({'223283.9.peg.3930'}),204.5890214154869,204.7342736781742,204.7342736781723,222.5344100095759,252.2392105892764,204.7342736781757,253.6185471685918,250.7690132235295,244.7763133492638,253.6185471685947,204.0059989440597,252.1121703896535,252.1121703896532,253.618547168597,252.1121703896516,253.6185471685974,204.0059989440532,204.7342736781693,204.8020135920831,244.7763133492524,252.1121703896497,204.7342736781755,204.7342736781746,222.534410009568,222.5344100095738,252.3110673931882,204.7342736781802,252.2392105892851,251.8399107351997,204.8020135920789,252.1121703896416,251.8399107351906,253.4901141189236,252.1121703896579,253.4901141189153,252.0574755165673,252.1121703896539,244.7763133492734,252.1121703896515,204.8020135920862,253.3618110810268,253.4901141189282,253.6185471685953,204.7342736781713,253.4901141189196,204.0059989440651,253.6185471686046,206.154843958126,252.1121703896558,253.618547168599,252.1121703896618,252.1755674669394,204.734273678173,252.1121703896623,204.7342736781672,204.7342736781677,204.0732577110846,253.4901141189246,252.112170389644,252.1561135549091,253.6185471686052,252.1121703896588,252.1121703896549,204.7342736781705,253.4901141189199,252.1121703896574,252.1121703896538,252.0574755165444,253.4901141189201,204.7342736781751,253.4901141189193,222.5344100095802,204.4439751101306,253.4901141189128,222.5344100095795,245.9853697239453,244.776313349259,246.2873713656392,253.6185471685865,252.1121703896505,253.6185471685972,253.4901141189215,204.0059989440661,250.7676810273281,252.112170389647,252.1121703896517,252.1121703896561,253.4901141189232,252.1121703896404,252.1121703896499,204.7342736781735,252.1121703896614,252.1121703896424,204.0059989440674,253.4901141189262,252.1121703896534,253.2148718323716,,,
frozenset({'223283.9.peg.5202'}),204.589021415484,204.7342736781709,204.7342736781733,222.5344100095832,252.239210589294,204.7342736781801,253.6185471685978,250.7690132235323,244.7763133491956,253.6185471686085,204.0059989440596,252.1121703896671,252.1121703896653,253.6185471685986,252.1121703896516,253.6185471685951,204.0059989440665,204.7342736781641,204.8020135920844,244.7763133492518,252.1121703896551,204.7342736781752,204.7342736781681,222.5344100095578,222.5344100095743,252.3110673931861,204.7342736781701,252.2392105892848,251.8399107352039,204.8020135920856,252.1121703896571,251.8399107352026,253.490114118924,252.1121703896659,253.4901141189176,252.0574755165578,252.1121703896638,244.7763133492581,252.1121703896472,204.8020135920865,253.361811081043,253.4901141189183,253.6185471686025,204.7342736781746,204.7342736781775,253.4901141189036,204.0059989440554,253.6185471686078,206.1548439581272,252.1121703896445,253.6185471686005,252.1121703896577,252.1755674669378,204.7342736781779,252.112170389652,204.7342736781748,204.7342736781717,204.0732577110956,253.4901141189272,252.1121703896633,252.1561135548986,253.6185471685946,252.1121703896537,252.1121703896531,204.7342736781721,253.4901141189169,252.1121703896482,252.1121703896524,252.0574755165573,253.4901141189226,204.7342736781724,253.4901141189205,222.5344100095824,204.4439751101303,253.4901141189153,222.5344100095782,245.9853697239543,244.776313349244,246.2873713656429,253.6185471685926,252.112170389655,253.6185471686043,204.7342736781719,253.4901141189259,204.0059989440615,250.7676810273208,252.1121703896553,252.1121703896596,252.1121703896588,253.4901141189238,252.1121703896606,253.6185471685998,204.7342736781671,252.1121703896532,252.1121703896495,204.0059989440552,253.4901141189163,252.1121703896523,253.2148718323606,
frozenset({'PSPTOA0036'}),204.5890214154982,204.734273678176,204.7342736781757,222.5344100095834,252.2392105892907,204.7342736781753,253.6185471686003,250.7690132235173,244.7763133492512,253.6185471685917,204.005998944065,252.1121703896488,252.112170389658,253.6185471685965,252.1121703896585,253.6185471685962,204.0059989440605,204.7342736781747,204.8020135920824,244.7763133492548,252.1121703896544,204.7342736781681,204.7342736781758,222.534410009577,222.5344100095743,252.3110673931935,204.7342736781686,252.2392105892891,251.8399107352049,204.8020135920826,252.1121703896556,251.8399107352077,253.4901141189164,252.1121703896536,253.490114118911,252.0574755165558,252.1121703896661,244.7763133492603,252.1121703896529,204.8020135920789,253.3618110810217,253.4901141189175,253.6185471685971,204.7342736781711,204.734273678178,253.4901141189215,204.0059989440511,253.6185471685953,206.1548439581235,253.6185471686024,252.1121703896537,252.1755674669432,204.7342736781733,252.1121703896528,204.7342736781708,204.7342736781734,204.073257711098,253.4901141189174,252.1121703896624,252.1561135549052,253.6185471685959,252.1121703896521,252.1121703896512,204.7342736781715,253.4901141189203,252.1121703896416,252.1121703896408,252.0574755165482,253.4901141189201,204.7342736781689,253.4901141189147,222.5344100095801,204.4439751101298,253.4901141189224,222.5344100095828,245.9853697239442,244.7763133492575,246.2873713656538,253.6185471685968,252.1121703896525,253.6185471686102,204.7342736781771,253.4901141189227,204.0059989440668,250.7676810273204,252.1121703896533,252.1121703896577,252.112170389656,253.4901141189206,252.1121703896475,253.6185471685969,252.1121703896446,204.7342736781779,252.112170389646,252.1121703896504,204.0059989440593,253.4901141189223,252.112170389657,253.2148718323603,
frozenset({'PSPTO_0062'}),204.5890214154886,204.7342736781772,204.7342736781719,222.5344100095805,252.2392105892884,204.7342736781773,253.6185471685996,250.7690132235314,244.7763133492523,253.6185471685977,204.0059989440684,252.1121703896559,252.1121703896462,253.6185471686063,252.1121703896498,253.6185471685953,204.0059989440641,204.7342736781675,204.8020135920878,244.7763133492675,252.1121703896497,204.7342736781791,204.7342736781678,222.5344100095784,222.5344100095753,252.3110673931816,204.734273678176,252.2392105892906,251.8399107352141,204.8020135920801,252.112170389647,251.8399107352086,253.4901141189249,252.1121703896503,253.4901141189214,252.0574755165589,252.1121703896495,244.7763133492641,252.1121703896457,204.8020135920798,253.3618110810215,253.4901141189199,253.618547168592,204.7342736781765,204.7342736781782,253.4901141189247,204.0059989440617,253.6185471685869,206.1548439581228,252.1121703896524,253.6185471685962,252.1121703896488,252.1755674669467,204.7342736781797,252.1121703896611,204.7342736781735,204.7342736781769,204.0732577111027,253.4901141189254,252.1121703896603,252.1561135548999,253.6185471685911,252.1121703896537,252.1121703896409,204.7342736781683,253.49011411892,252.1121703896487,252.1121703896501,252.0574755165516,253.4901141189294,204.7342736781785,253.4901141189179,222.5344100095854,204.4439751101275,253.4901141189132,222.534410009579,245.9853697239453,244.7763133492578,246.2873713656379,253.6185471686042,252.1121703896636,253.6185471685975,204.7342736781677,253.4901141189321,204.0059989440665,250.7676810273263,252.1121703896596,252.1121703896492,252.1121703896481,253.4901141189175,252.1121703896557,253.6185471685874,252.112170389663,204.7342736781628,252.1121703896473,204.0059989440591,253.4901141189252,252.1121703896539,253.2148718323684,
frozenset({'PSPTO_0073'}),204.5890214154923,204.73427367818,204.7342736781928,222.534410009577,252.2392105892863,204.7342736781839,253.6185471685972,250.7690132235245,244.7763133492562,253.6185471685918,204.0059989440626,252.1121703896471,252.1121703896551,253.6185471685995,252.1121703896558,253.6185471685941,204.0059989440605,204.7342736781764,204.8020135920835,244.7763133492526,252.1121703896643,204.7342736781703,204.7342736781709,222.5344100095714,222.5344100095864,252.3110673931768,204.7342736781681,252.2392105892948,251.8399107352037,204.8020135920814,252.112170389662,251.8399107352173,253.490114118922,252.1121703896536,253.4901141189176,252.0574755165615,252.1121703896563,244.7763133492559,252.1121703896486,204.8020135920818,253.3618110810378,253.4901141189256,253.6185471685883,204.7342736781695,204.7342736781721,253.4901141189247,204.0059989440686,253.6185471686012,206.1548439581287,253.6185471685926,252.1121703896501,252.1755674669543,204.7342736781774,252.1121703896515,204.7342736781762,204.7342736781744,204.0732577111025,253.4901141189091,252.1561135548965,253.6185471685931,252.1121703896559,252.1121703896593,204.7342736781755,253.4901141189422,252.1121703896463,252.1121703896553,252.057475516549,253.4901141189218,204.7342736781708,253.4901141189212,222.534410009578,204.4439751101339,253.4901141189132,222.5344100095761,245.9853697239429,244.7763133492576,246.2873713656451,253.618547168595,252.1121703896449,253.6185471685954,204.7342736781766,253.4901141189169,204.0059989440566,250.7676810273165,252.1121703896527,252.1121703896482,253.4901141189232,252.1121703896475,253.6185471686018,252.112170389653,204.7342736781731,252.1121703896602,252.1121703896544,204.0059989440681,253.4901141189236,252.1121703896566,253.2148718323623,,,
frozenset({'PSPTO_0075'}),9.555689576278281e-11,2.539481718764937e-10,-2.94628163760886e-11,-2.715652376371947e-11,9.067866729662468e-11,-7.562261197872072e-10,2.643186648513805e-11,-5.18680951669242e-11,-3.973794778841052e-11,9.229799587925428e-11,3.856147632693856e-11,-5.402367620343086e-11,-2.067266168629635e-11,-9.494965895310983e-11,-5.377952389581037e-11,1.563506534360904e-11,2.646506436721389e-11,-6.737015761032266e-12,-6.733906878455597e-10,-1.335589831380929e-10,1.313445330886506e-12,-5.683691380869342e-11,1.972276525401903e-11,-1.975657996872811e-10,6.68881529022469e-11,3.293827939163374e-13,-5.61808147464641e-10,2.744984471020108e-12,-1.205914978877784e-10,-6.713557296462164e-11,-2.712341933508929e-11,2.337997523177597e-11,-8.573869902197722e-11,9.290235054266987e-11,-6.525365746455683e-11,-2.298458452971196e-11,-1.710236730456801e-10,5.328405766117187e-11,-6.916653859714984e-11,4.216830859459608e-11,-2.310704267868646e-11,7.404794632556945e-12,-6.416077432007928e-11,-3.745420868722823e-12,-4.247937173232653e-10,2.071559026660568e-11,-5.126721659321166e-11,2.918780431623108e-10,2.870581547282166e-10,-3.175315455281693e-11,8.1461992332769e-11,4.101422101518506e-11,3.629719133380916e-11,6.823047514099574e-11,-4.928220761407371e-10,7.915457162679436e-12,-2.454084143617983e-11,2.116188320002302e-12,2.591462873114598e-11,-1.61733832043987e-11,3.998555170717771e-10,-8.876399440517969e-13,1.177450565263312e-12,2.901627445272524e-11,7.510660652772654e-11,3.971982325466993e-10,-4.921628638482383e-11,-2.248718210041055e-11,3.78440960216636e-11,1.570677016190577e-09,3.527324383776949e-11,-9.848185934771982e-11,1.80644561617548e-11,1.998573880871581e-10,2.534818756839987e-10,-1.170171928424005e-10,5.586734321857224e-11,2.027201896286886e-10,2.343489514061681e-11,6.324700007071588e-11,-8.126458243357023e-11,-3.537988241588345e-11,-1.800328368825396e-11,-1.217621428079323e-10,-5.7445682685416e-12,5.117039077452623e-11,-5.263929274841479e-11,4.714847418836255e-12,-7.911876942564877e-11,-3.856235229161254e-11,-2.370048744332961e-11,3.540564020621909e-11,1.940901756666055e-11,-1.275877756304461e-11,1.010681312557145e-10,-1.631967770071585e-10,-2.63158472889769e-11,-7.077932299417314e-11,3.527545957248644e-11,-2.446701857757709e-11
frozenset({'PSPTO_0080'}),-1.452745924274678e-11,1.113627311333514e-14,-5.028475949553369e-12,-5.149246298413513e-14,-1.091420274091887e-11,-1.548244980388765e-12,-2.054295013951807e-11,-1.536455202692378e-11,-1.542006541115972e-13,-3.505151311973366e-13,8.502952855124488e-13,1.604453353924644e-12,-9.447859594428503e-12,-1.12718907125543e-13,1.738326251031217e-13,-1.307248521302358e-13,-3.042191646407091e-14,7.808532165196826e-12,-5.220632452800556e-12,-5.925028026954112e-12,-7.829326601749774e-12,0.0,1.149101843049388e-11,2.981975220879598e-11,-1.762739027631659e-13,-7.89121354962517e-12,1.667795178965353e-11,4.391268605719463e-15,-7.522371912480184e-12,-3.802341309887207e-13,-4.948028960064613e-15,-7.813722821402205e-12,-1.256170789211463e-13,8.68380014319576e-14,-1.017701808420935e-13,-1.554040969383909e-11,-4.530102417798938e-12,8.613063876908306e-14,2.486849766224165e-13,7.166067416757541e-13,2.140161689098882e-12,-1.405329032006505e-11,-4.785189445038875e-14,2.907787568155432e-13,-7.359916314096514e-12,-2.733304314126871e-13,-1.088286301692303e-11,-1.85081380200198e-11,-4.014131775956676e-12,6.779335479832576e-12,-1.391577118781395e-11,6.363367592868439e-13,2.814954133862035e-11,-4.850402710314664e-13,-1.528114751291935e-13,-7.227356726542687e-12,5.331336963251169e-14,1.542705754560677e-11,-1.150122151269392e-11,-1.597675409317248e-11,-7.87931988021899e-12,-2.383767607479306e-14,-6.501792100112323e-15,2.71932507481161e-13,1.177611858507323e-13,-7.981886521960695e-14,-1.44409163268463e-11,-1.366392793746009e-11,-7.535242533346745e-12,-1.563694245901918e-11,-1.533886200963428e-13,-7.887010329120217e-12,-2.56284465712198e-12,-2.241269331139151e-10,1.446041681974536e-12,8.969079522307157e-14,-7.561316748490951e-14,1.320638927543682e-11,7.176529157713453e-14,-6.604019384678191e-12,-7.79370037794849e-12,-1.063642803081188e-12,3.831057471780605e-14,8.493923165426645e-14,3.771363559772976e-12,-7.58892489662214e-12,-3.725274665410363e-11,4.676554768985647e-12,4.712194338606908e-12,6.782671901148709e-12,3.163560868157554e-12,-1.356798927524335e-11,-2.607328824457456e-13,1.966255690823876e-14,-7.367569720932995e-12,-4.104198122919672e-12,8.722798423547766e-11,,,
