ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
frozenset({'223283.9.peg.1'}),8.2847304070215e-14,2.790649973903948e-14,4.755538217137202e-14,-3.866759927442336e-14,-1.84461638498777e-13,-1.714874941479279e-13,0.0,-5.887131645018765e-14,-1.570869083193358e-14,-7.880662995786136e-15,-1.385693796401507e-12,-4.220154252857112e-14,-5.377989602002448e-13,3.696695773375958e-14,1.028711628209699e-13,7.005467245754964e-14,-3.190928068647199e-14,7.684587880962273e-14,1.323793291595802e-13,4.501583024462247e-13,2.319457617468617e-14,-2.417334832327965e-14,6.002535948975814e-14,-3.949592824965247e-14,4.345387201562666e-14,1.276768282300403e-13,-1.40183258141926e-13,1.065521301872665e-13,-2.157690469642281e-14,-4.925443354207995e-12,2.433631673375302e-13,-1.090448868978479e-14,-2.740320436157272e-13,-5.824286962706413e-14,-1.012475424293022e-14,-9.197669916892642e-15,1.76034794750614e-15,-3.292959979646819e-14,-9.427257947852331e-14,4.097296763060442e-14,-1.150218383008831e-12,-5.193185034071212e-13,6.472112046692498e-14,1.074132556597332e-13,-1.524853574153281e-13,3.857675624317424e-15,7.131900540078232e-14,-5.470451086528275e-15,-1.914607513412936e-14,-2.510102367208824e-13,4.00014089981711e-14,9.127064567746134e-14,5.082778944041099e-14,1.323140986640536e-15,-3.784123828971664e-14,1.357707144958137e-13,-1.357003517035859e-13,4.410318708489144e-14,9.342100778926906e-15,5.777497121330295e-14,2.073984155782156e-12,1.204979080380972e-14,-4.474348122838025e-13,4.529261799678119e-13,1.452607678117852e-14,2.888736058292302e-14,9.28178925745514e-14,2.708317549323986e-14,-2.125759024196348e-14,1.460294133130899e-14,-4.986258058780871e-14,4.718819797450163e-14,7.964938810471526e-15,-1.375001992140839e-13,3.343707316068491e-14,2.416544827064182e-13,-5.516961486423759e-14,5.265671268320333e-13,8.911931210263709e-14,3.071139095842136e-14,-1.718345443189925e-14,1.406649108177706e-14,-1.590354966199162e-13,4.126417229573945e-14,-1.17227285457337e-13,1.217876738487467e-13,-2.214574701958807e-13,-3.254939346330499e-13,-1.606542086204968e-13,-1.045885228063745e-13,,,,,,,,
frozenset({'223283.9.peg.1290'}),-6.939507491196991e-14,1.800022719200613e-14,-8.20151250303245e-14,-3.132226118883487e-13,-1.289696489896604e-13,1.084274156848448e-13,-2.105834736028104e-13,-2.248122350032797e-13,-6.423974002578737e-14,-3.441991870933063e-14,7.082299560886182e-14,2.03412207812469e-13,1.293213401234786e-13,6.443022773994592e-14,1.089250425209222e-14,2.252869571114994e-13,-5.744327365887067e-14,-8.050378412874274e-12,5.10474729122539e-15,5.9515551399066e-14,5.392577709805206e-13,4.955496482048032e-14,4.157184862304432e-13,-3.331692208616957e-14,-6.626079542823819e-14,7.378659061343499e-15,0.0,5.253544564277578e-14,-7.767749538020622e-14,1.045986358218366e-12,-9.224632873032058e-14,-6.546034968575044e-14,-8.343858510301417e-14,-9.017545106141495e-14,2.275649746225612e-13,2.162251130850372e-13,-2.631525580640906e-14,1.021566218393303e-13,-5.334686723278597e-14,-2.395091562814085e-13,-5.127994338778173e-14,1.62584348049589e-17,-4.945484875616646e-13,5.842326620643321e-14,1.31838773769842e-13,1.095271255831374e-13,1.447792781807011e-14,2.925287775764156e-13,-1.777171768221181e-13,4.33580716735883e-14,1.022128796570106e-13,-6.166772613909174e-14,-6.020211129110692e-14,3.646105296549636e-14,4.947939683236606e-14,3.502171304014158e-13,-5.79874348708386e-14,-8.70773242664021e-13,8.45461159557016e-14,-1.919449009133179e-14,-3.220655459035522e-13,4.10018506341523e-13,-1.049977043966057e-13,7.063934778902492e-15,-5.140312320631572e-14,3.26280104536977e-13,2.083503225564981e-14,6.445037237570084e-14,-4.227185846630024e-15,-2.474274437021029e-14,4.720674820097282e-14,8.538639344151438e-14,-9.114275156388682e-14,-1.283858011322182e-13,9.569841834077192e-17,-1.042346257132162e-12,-5.827539205252328e-14,1.642083441240468e-13,3.767093454797271e-13,-2.219266251827968e-13,1.932301974398854e-13,-1.240327269984402e-13,-7.123302689967297e-14,-2.729793994791176e-13,3.825828923999563e-13,1.743573328557872e-13,-4.535935429992523e-14,-1.370111330798402e-14,-6.004773819091172e-15,8.82713994727102e-13,1.082627650005791e-13,1.702348573929059e-13,,,,,,
frozenset({'223283.9.peg.1455'}),137.968616911106,47.88912968811586,105.6874861756882,72.52152851586543,104.7581707722954,150.3359366967257,47.9406486965188,141.5959979280301,60.51265280886655,88.15681821246501,112.1893853929227,101.5255133510499,78.87040120580339,73.32024194530352,82.35775324530799,100.6081550890128,144.4378545809149,96.0282344478961,64.26813509010539,114.6223972192428,120.0752237786718,62.46153999477584,114.0354514241991,125.0856918112856,44.57491100963535,87.7334738579923,119.5273066970946,119.5750018439476,127.8892039647203,57.52802757986391,109.5780328578663,140.8684476798614,80.75400129687029,56.93020736598884,102.6901506263945,95.78374813185249,154.0730834086553,69.62233828166522,136.7517074471375,123.5162670634335,87.4610429290721,86.6815891915841,87.15647627853528,82.48286078407833,103.9545306077313,131.910680778147,123.6532355880776,86.89967836858543,105.1959582871243,83.16363144240529,67.39720492514408,54.38134979502453,104.58336853881,86.81558574630375,170.0579553705603,70.17971558094997,94.66982284174338,85.92728103943132,109.7071828343704,40.57147836781223,104.3378988354496,97.82212573363736,80.60881911344444,69.09441294661416,67.89692671424632,190.1104661442172,52.16850508512235,86.41184786343747,133.3519913799969,57.33243147934483,108.0764349326244,156.5037844797603,50.07406379741966,72.01352500577923,76.04160522672765,94.75942752428068,54.85444530667661,71.25957286170068,59.90574228039668,100.5325676845572,122.8917404884171,121.0163521299602,144.3763288760332,97.05353944201084,102.3866985237215,97.74325143034858,112.7629964790429,92.06491242557777,84.9271368917638,127.700707174131,100.9729766128733,120.5486204181947,96.6786271489376,83.41943597169859,78.27631168756135,158.0961360195936,123.4740471287572,67.14469436013974
frozenset({'223283.9.peg.1494'}),3.473987993548383e-15,9.698485383053419e-14,1.558933541394493e-13,7.908712787728599e-15,4.008106948666619e-13,0.0,-6.634098201105063e-14,2.283697612557487e-14,1.46890438142652e-14,7.849090492693749e-15,6.008382490403667e-14,-6.694085652647379e-15,-3.148627239663485e-17,-4.306042541380625e-14,-9.287787171333273e-14,7.875381233425314e-14,-6.764018311266913e-14,4.719902292674998e-14,6.599221084043597e-15,1.785714336656087e-13,-1.246232659596577e-13,-3.355769873300966e-14,2.272841834630541e-14,3.244726036805793e-14,6.780663479545727e-15,-5.853477738806251e-15,6.961702273658916e-13,2.539457435885783e-14,-3.609065208300264e-13,-2.069692696835236e-14,-9.919863844292894e-15,4.638186591447529e-14,-5.797406731672231e-13,8.656918233878597e-14,-3.24095057868427e-14,2.135323726095732e-13,-1.099313476990797e-13,-5.331171247597535e-14,-3.366418690297596e-14,-2.294916070576246e-13,3.530864316920345e-14,1.121664508841414e-13,-1.07483664871594e-13,-4.716271347012122e-14,-5.195520576953797e-13,-3.200614075821691e-13,5.795106309299475e-14,-7.950968594026697e-14,2.272704560779336e-13,7.854968478573229e-14,-2.671948331143056e-13,4.93778442101009e-14,-5.042409463600108e-14,1.275912496850669e-12,-1.015527577661198e-13,1.465590816403857e-14,7.019193699246947e-14,9.089555673901154e-14,-6.71392129068507e-14,1.617375062971998e-13,-7.658488695837513e-14,2.235259434456084e-13,4.819916321523889e-14,2.331513206308294e-13,1.519682187483808e-14,7.652761920846651e-14,-3.174341073973674e-13,4.954982251386124e-15,6.472800216588917e-15,1.006000826566344e-13,2.405059856603266e-13,3.984703571440713e-15,-7.355765647149351e-13,3.871247957790413e-14,5.773948321356632e-13,1.615195528817471e-13,1.067567989979987e-12,-8.690896037811156e-14,1.966375767823871e-13,-2.350441193026637e-13,2.189461803698732e-14,1.639532566276509e-13,2.934501757515559e-13,-1.753466243320972e-13,-2.940250360244332e-13,5.17151454738986e-14,2.85550529029233e-14,2.208601192117734e-13,-2.501942422843217e-15,,,,,,,,,
frozenset({'223283.9.peg.1497'}),9.365154875336482e-13,9.681546283753978e-14,-7.339906984505453e-14,2.090156781745805e-14,-1.244933154702889e-13,3.192580728712535e-14,-9.520470759801044e-14,8.332513580795144e-14,-2.910632490962394e-14,5.356671903943597e-14,-1.402350358495976e-14,-1.471364534936168e-13,-2.706273621994648e-14,0.0,-1.370107322094721e-13,-5.87319520536327e-14,-4.110707064260299e-13,-5.470318122160805e-14,-5.779334367668038e-14,-1.628148158494403e-14,-1.012081667466736e-13,2.452688813198708e-14,8.485136992357322e-14,-1.272181025835483e-13,-5.369121000567021e-14,3.505694951713879e-14,1.968440255149727e-14,-4.442256278155941e-14,1.188730044559992e-13,9.116664778545317e-14,1.253199406121336e-13,-6.162683983603558e-13,2.629350953124286e-14,4.891474775284239e-14,-7.280782047851407e-14,-6.72187740691922e-14,1.24813437143187e-13,-4.554191420902918e-14,8.786157807141292e-14,2.363197696570369e-12,9.639389332728918e-15,2.050010107068885e-13,6.377979486270222e-14,-3.244536407715062e-14,-1.759653767801549e-12,3.846555435794473e-13,1.535931901535812e-13,-1.613322184155465e-13,5.763163607314891e-13,1.904638403978439e-14,-2.502007914450986e-14,6.500517086096719e-13,8.250393387527016e-14,-2.302423514580818e-13,8.988558535548817e-13,-3.849042685133533e-13,-3.834937585743041e-12,1.219232895104433e-12,5.883666379308555e-14,6.873697495573072e-14,-7.441785969526951e-14,7.822582719100798e-13,1.631294203856183e-13,4.592871207741938e-14,1.655123278645389e-13,-1.000225991749193e-13,-1.054047998760142e-13,-3.781190339023088e-14,-1.055250995260797e-13,2.287356501072408e-14,-5.377463877491935e-14,-8.876040073152481e-14,-1.920277906243492e-13,-1.382042488995604e-14,2.602201101963013e-13,-2.186352147479028e-13,-2.089263424439415e-12,1.94252914932102e-13,-6.116659564045023e-14,-3.834699417432863e-13,-1.033183549064496e-13,-6.758277108916364e-14,-1.593390631290461e-14,2.413275895130453e-14,-7.868310413847796e-14,1.685138422274444e-13,1.314491557084992e-11,1.55789433320066e-13,-9.18211636883092e-14,-1.200948128747642e-12,3.685315045255187e-14,,,,,,,
frozenset({'223283.9.peg.1522'}),-1.202145441982872e-13,-3.70403426747635e-14,1.682074550796801e-13,2.332226401602479e-13,-6.539128756788572e-14,0.0,-4.158413536161768e-13,5.082384473929296e-14,-6.284024345866926e-14,-3.682891468884614e-15,7.157682913346102e-14,1.040531845659004e-13,7.386854497370151e-13,-1.200929239736056e-13,9.189694466184113e-13,3.510811395810503e-13,1.475799977540986e-13,-1.643344707948385e-13,8.851903260638378e-13,-8.623966131781874e-15,-1.828812412454205e-13,1.067766932124664e-13,7.147878901044293e-14,-1.004542505757858e-12,-1.020384134927844e-14,2.894158841073247e-14,-1.414130195996645e-14,3.006938843959511e-14,-1.263778363475762e-13,-2.528127533230934e-13,-1.021436268325546e-12,-1.06668846458739e-13,-2.622293985677568e-14,7.610251850867866e-12,-2.011730788580445e-12,-1.111980702490527e-13,6.262328857156757e-14,-2.522242058178104e-12,-6.157416515672328e-14,-1.146187726208943e-13,7.980310594021258e-14,-8.005120101758712e-13,1.308212281777266e-14,9.141517733763489e-14,-1.18094113531386e-13,-8.232535389200865e-13,2.589882771984814e-13,1.737631452943173e-13,-1.593682007224617e-14,-7.810211179477115e-14,-1.215185806783277e-13,-8.389258056800008e-14,-3.026966506397407e-14,1.637035005351608e-13,9.988348017339804e-15,1.606110873344233e-13,-9.20606721776563e-13,-7.128913430400067e-14,-6.720840748555861e-13,-1.080572826079399e-13,5.328558845872681e-14,1.429314346987299e-14,4.556450531165924e-13,1.339302175558315e-13,-3.347413215454473e-14,-1.631766325131291e-13,4.366017176550059e-14,5.826611202497481e-14,-1.82171641434699e-13,-1.76697989792633e-14,-6.939019317144683e-14,3.076608654884737e-13,-2.096506516644465e-12,1.715668004170118e-14,1.237738293437724e-13,2.31082508272466e-13,-9.940849348067412e-14,-2.053181672119722e-13,-1.574368930049119e-14,-1.158056612991133e-13,3.658188153980002e-14,-1.596424835783642e-12,5.972145885021611e-13,-2.268576999307142e-14,-3.6814030804969e-13,-2.972660746856824e-14,8.094815837115999e-14,-1.740041898510266e-13,-8.358425563643874e-13,8.517197695610221e-14,7.715476847937949e-15,5.01927601228878e-14,6.937105739643449e-14,,,,,
frozenset({'223283.9.peg.1560'}),1.246205357078487e-14,-6.06802677981408e-13,6.219158789418321e-13,-6.71797358889422e-13,2.595658304372398e-14,-6.533184449389488e-27,-1.759478112792915e-13,2.167690553876606e-14,9.385828375203104e-14,2.947229678303489e-14,5.668458520068648e-14,-1.162190802004663e-14,-2.137658771594689e-12,-2.928596840768317e-14,5.650009880667903e-14,-1.219798750253008e-15,-1.121874644333457e-13,3.362366140299285e-13,-2.560412190172823e-12,3.793871655730286e-14,-9.675139444667265e-14,2.284567869689941e-13,1.071379418638395e-13,1.055035866062036e-12,2.847322359800058e-15,3.125749231556025e-14,-2.479866740801635e-13,-4.463997796723587e-14,-3.245091133577674e-13,-6.025620494915279e-14,-1.274155401280223e-12,0.0,6.056458089024751e-13,-9.118020186567222e-13,-1.952152189337745e-13,-1.017994016158519e-13,-4.402469926716232e-14,-3.260540858245873e-13,3.949753261139401e-14,-1.586731900617383e-13,-3.625797974013766e-14,-3.441252660058216e-14,6.699587002949299e-14,-4.73968227918975e-14,2.7087898208639e-13,3.234890104210258e-14,6.22491715237054e-14,-2.781792624988461e-13,-9.778750698514785e-14,5.007134281475542e-11,4.199197917040221e-12,-5.464422990708735e-13,1.534621589080321e-13,-2.168959620919815e-12,-3.486572406013973e-14,-6.563271164473725e-14,8.42708982670486e-15,5.896593378833423e-13,2.959960221206719e-13,1.389980598295942e-13,-3.394989180855866e-14,9.477667303480502e-14,1.876437651972591e-12,1.351719199170765e-12,5.043864863093961e-13,8.164718213824949e-14,-3.972833660374804e-12,-4.316561962782377e-14,4.81042570629272e-13,3.41846440174974e-14,-1.138921602117453e-11,2.176018985298001e-13,-2.960078811506731e-13,1.447276566689766e-13,3.865404524498622e-13,-4.05567510223756e-14,-4.204041560513019e-13,2.065625684004993e-14,-1.921619994748838e-13,-2.013373301184994e-14,-2.69644620969807e-12,9.942908500619076e-15,-6.395849234837042e-13,8.631990892581906e-14,2.428302813062095e-14,-6.827538205665167e-14,-1.973787622964736e-11,-6.74991445161806e-14,3.661003079630379e-15,2.857236621032475e-14,,,,,,,,
frozenset({'223283.9.peg.1575'}),1.204501719951627e-13,-3.444601768582018e-14,-1.868971723107557e-14,8.559445850265777e-14,-2.945690296325912e-14,-1.062488023342688e-13,-1.316146710017565e-13,-2.799437209330589e-14,1.823573162675972e-14,-4.217199361556674e-14,1.448913549063746e-13,2.171889478430838e-15,-2.536262299474311e-14,8.387972940752177e-14,2.943283891592257e-14,1.695430440333105e-14,-2.045973499535994e-13,2.135557816877113e-14,2.873645339272428e-14,1.906792707726951e-13,-2.06216837537243e-13,-4.899466794512902e-14,5.653299943849809e-14,-2.89574350781775e-13,0.0,2.559395987950148e-13,5.160463164408956e-13,-2.499573260542341e-13,4.716986277426262e-14,-3.839359011533139e-15,1.340047823109367e-13,5.060188953791794e-14,-6.053616516553971e-15,8.137776582213312e-15,-4.155636565408041e-14,-3.912125732163565e-13,8.883736430563839e-14,4.246843382499795e-13,1.069530019105513e-13,-4.580158822280167e-14,-1.134150228725178e-14,-1.359911514098352e-14,5.195981509438376e-14,2.568212060513085e-13,-5.418415699056903e-14,1.581274046072879e-13,4.164615260771195e-15,2.65526940874227e-13,-9.205906972912253e-15,-5.005456043229463e-14,-1.28548160613327e-13,3.743398258355893e-13,7.05273426067236e-14,1.746837609205483e-13,1.446887242031341e-13,1.268742858944413e-13,7.52827346387979e-14,2.790797929546504e-13,-6.201790646979577e-14,-6.08250821646221e-13,3.705318064006948e-13,-8.011452915710065e-14,-7.011184132822556e-15,-2.576685162039776e-13,-3.203364959594519e-14,-1.057547064225818e-13,1.4824351181987e-13,-4.560809345310652e-14,6.600358291735339e-14,2.81964402125111e-13,-1.089313095082819e-14,-1.684828055511466e-11,2.748848634618718e-14,-3.557897516120368e-14,1.323014688513515e-13,-9.391048029238605e-14,4.074333821671987e-13,-9.498319427177945e-14,1.744153004423625e-13,-1.271341698287352e-14,-7.509198533361824e-13,-1.089930955081799e-13,-9.885600087322526e-14,4.998403005174505e-14,2.009621857440511e-13,2.659308660863767e-13,-7.137520376083286e-14,2.144303842212582e-14,6.778341498845462e-13,-3.752913634264825e-14,,,,,,,,
frozenset({'223283.9.peg.1577'}),5.179964303887197e-14,1.216078018460913e-13,-2.306700404776956e-13,-8.49182705222977e-18,1.244212008838916e-13,1.625372258551375e-12,-6.495323424305652e-14,1.621949660915492e-14,-4.714420675199625e-14,5.068164097093096e-15,2.884634866750328e-13,-1.390541798469647e-14,1.154452254118422e-13,-1.069087068161011e-13,-6.328396535628384e-14,-4.466642818135578e-13,2.238963417991316e-13,-5.042320732434085e-14,0.0,1.415125191985484e-11,-1.228611281414575e-14,-1.640817139135628e-13,4.685192168367595e-14,-1.435720171465975e-13,-2.699902093332521e-13,5.396908580780105e-14,-4.711098756444989e-14,-9.461454262878111e-13,1.127360612301408e-14,2.51246669672073e-13,1.848249760379509e-13,-1.06679838304197e-13,6.734031980139825e-14,6.284894343179622e-12,-2.15805682380745e-13,-1.104990538090958e-13,1.073493673092841e-14,1.654873615803949e-13,-6.70083075121186e-13,-5.63332793604371e-13,-8.03282444394076e-15,7.925951858677495e-14,-2.370671515607327e-14,2.272077055844722e-13,6.423555674009974e-13,-2.297097296569107e-14,-1.377441127556329e-14,2.02553246075589e-14,-1.271606109461902e-13,6.064133342636812e-14,2.286531342566235e-13,-3.806191702651231e-14,-6.154864481886738e-15,1.145473622372191e-13,-5.980270972267513e-14,2.756153575938025e-13,1.772166397901737e-13,1.414004790100988e-13,-1.925829268346187e-14,-3.949176935248121e-13,-8.932616123436146e-14,-7.652989981875741e-14,-2.422553533911407e-14,-6.275009182623664e-14,-3.638067439749136e-14,1.684860856201043e-14,-1.03995679210226e-13,4.065329944123274e-14,3.284334939427695e-13,7.284052838067073e-14,5.119603680940008e-14,2.963246636447031e-14,3.035748458694782e-14,-4.530645834359554e-13,7.353356602184524e-13,-7.528491979993302e-14,-2.43730128141639e-14,-8.726452703154456e-13,2.747165873100085e-12,-2.403132573660099e-13,-1.590499239900272e-13,-1.481929470937208e-09,-3.117988672772528e-12,-2.306736639260541e-14,-7.237276677613431e-15,3.508661075461516e-13,-1.926892359847669e-14,1.029267244556809e-14,1.058688646943285e-14,1.831718574036268e-13,-2.444403993415688e-13,-8.344349477594177e-13,,,,,,
frozenset({'223283.9.peg.1663'}),-2.611854118373438e-12,0.0,7.117167427096888e-14,1.001787109666288e-13,1.891488176427219e-12,2.159116908557487e-13,5.93945030862675e-14,-1.736133678440662e-14,-1.229739925418763e-14,-1.121490550811661e-13,2.643621371027384e-14,-3.969951226725506e-14,-4.012624947631859e-14,-1.823573162675972e-14,1.178763855975788e-14,1.610644605926773e-14,8.602626736078551e-14,1.410560965974742e-13,-2.968025675346688e-14,-7.004005017327515e-14,-2.895573618832477e-14,-5.050863316213984e-13,-3.031220789445925e-14,-1.374524328947336e-13,-6.07907067121937e-14,1.608615486540475e-13,3.660764652757103e-13,-1.305135098148916e-13,1.947910102398846e-13,4.293807669512336e-15,3.94719930373743e-14,6.259370011129981e-14,-4.929760222436457e-14,5.744822671657648e-14,7.061312195617006e-14,-1.979765026325669e-13,7.487895221154915e-14,3.677959821290879e-13,4.927204950632393e-13,7.476731509638731e-14,-2.304454426668584e-14,1.152821774938935e-13,-8.291377133479812e-15,8.005082640118488e-14,-1.093542034635672e-13,-1.8213129839078e-13,2.154064519805452e-12,-2.474883136587884e-14,-8.601600712959622e-14,-2.816525252730322e-12,-1.941218575842544e-13,-6.023370167575392e-14,6.939851563991149e-13,-8.797811403355008e-14,-7.097703433243668e-14,4.888525260240312e-15,9.112560406538099e-14,3.151197858648074e-14,-1.391209294697692e-13,3.445969874285226e-16,9.425642755019745e-14,-9.215954996728257e-16,2.027026375693623e-14,-1.591908404293038e-13,-1.122561031195375e-13,-9.432438752515592e-14,-1.174126860521357e-14,-1.07165239422957e-13,-3.88419303848624e-13,5.746229858584287e-14,-3.550214390572584e-14,-8.32290077104706e-13,2.155948161708243e-13,-5.48532273611533e-13,1.621443074208376e-13,2.798023610126832e-13,-2.643403430068778e-13,1.910700669995202e-13,5.351423447533095e-13,1.561643176088142e-13,-6.699627113015457e-14,-1.401579337411306e-14,-2.970654097818832e-13,1.672458297244292e-14,-4.368307334458636e-14,-1.57358895948208e-14,,,,,,,,,,,,
