ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,count
frozenset({'223283.9.peg.1'}),-3.26E-14,1.29E-13,-1.15E-13,8.63E-14,-1.49E-13,1.09E-12,4.39E-13,-6.25E-13,-1.35E-13,-1.11E-14,1.21E-13,-1.26E-13,3.37E-13,4.51E-13,1.84E-14,-2.52E-14,-1.31E-13,5.03E-15,2.16E-13,1.77E-13,3.25E-13,-4.67E-14,1.27E-13,1.96E-13,-3.22E-14,0,1.89E-13,-6.70E-13,-1.30E-13,-6.05E-14,1.77E-13,4.97E-14,-1.41E-13,-2.14E-13,2.67E-13,-1.67E-13,3.00E-14,4.01E-14,-1.02E-17,-1.39E-13,-1.81E-13,6.87E-14,1.04E-14,-3.91E-13,-1.74E-14,2.84E-13,5.41E-12,-2.86E-12,2.13E-13,1.18E-13,2.13E-13,1.84E-13,2.04E-14,1.67E-13,-3.10E-14,1.48E-13,-8.95E-14,-6.44E-14,1.59E-13,1.42E-13,3.92E-14,4.21E-14,7.90E-14,4.33E-14,1.73E-14,1.12E-13,-7.67E-15,-1.50E-13,-2.95E-14,-1.22E-13,1.05E-13,-1.93E-13,6.04E-14,3.38E-14,-3.09E-13,-3.89E-13,1.53E-13,-1.12E-13,-2.79E-13,1.57E-13,6.28E-14,-2.80E-14,2.06E-14,3.62E-13,-2.92E-13,2.86E-13,2.59E-13,-8.23E-14,,,,,,,,,,,0
frozenset({'223283.9.peg.1290'}),-6.49E-14,6.76E-15,-6.88E-14,-5.73E-14,3.29E-14,8.21E-14,-1.72E-13,-5.51E-14,4.16E-14,-5.01E-13,5.49E-12,3.20E-14,2.87E-14,-2.89E-12,-4.51E-14,0,1.27E-14,-6.94E-14,4.26E-15,2.74E-13,3.64E-13,2.45E-13,1.76E-13,-3.66E-15,-8.63E-14,5.56E-14,-2.98E-15,5.28E-14,4.06E-13,6.42E-14,-1.41E-14,-9.04E-15,9.95E-14,1.52E-13,-7.05E-14,1.04E-13,1.73E-14,2.87E-13,-2.69E-14,-3.18E-15,-5.23E-14,-6.73E-14,-5.72E-14,-4.22E-14,1.59E-14,9.02E-14,6.95E-14,5.92E-14,-6.04E-14,-4.20E-14,-1.20E-13,2.12E-14,-4.50E-14,2.82E-14,-4.23E-12,7.61E-12,2.24E-14,3.53E-14,1.46E-13,-4.39E-13,-7.50E-14,4.91E-14,-3.19E-14,-3.20E-13,5.18E-14,-5.59E-15,-1.72E-12,6.56E-14,-1.91E-14,-1.51E-14,9.67E-14,-1.05E-13,-3.37E-14,-1.53E-13,1.62E-13,-4.74E-14,-1.56E-13,-4.29E-13,-2.35E-13,-2.37E-14,-5.01E-14,2.45E-14,3.90E-15,-4.25E-14,-6.85E-12,2.33E-13,2.74E-13,-1.79E-14,7.69E-12,2.54E-13,3.74E-14,,,,,,,,0
frozenset({'223283.9.peg.1494'}),4.03E-14,7.12E-14,-5.09E-14,1.14E-13,-6.20E-14,7.19E-14,-2.22E-14,-9.51E-14,2.46E-14,5.44E-13,-2.88E-13,0,-1.50E-13,-1.94E-13,-1.62E-13,3.60E-13,1.01E-14,6.19E-15,8.85E-14,1.31E-13,-3.94E-14,2.81E-13,-8.21E-14,6.80E-13,4.03E-13,3.02E-13,-1.42E-13,7.52E-14,1.49E-14,-3.29E-13,1.50E-13,-4.39E-14,-3.41E-13,4.98E-13,-6.61E-14,-3.73E-15,5.96E-14,-9.27E-13,-1.12E-13,-4.31E-14,-1.17E-13,2.55E-13,-2.36E-14,-1.05E-13,2.42E-14,2.32E-13,-1.36E-14,1.89E-14,-1.74E-13,-6.08E-14,5.55E-14,1.03E-13,1.74E-13,1.11E-12,-6.90E-14,-8.06E-15,1.05E-13,-1.35E-13,4.81E-14,1.76E-14,-7.15E-14,-1.29E-13,-1.31E-12,-8.84E-30,8.65E-15,3.99E-15,-3.05E-13,4.69E-14,-6.06E-14,1.32E-14,-6.82E-15,3.76E-14,1.08E-14,-1.24E-13,-1.75E-13,1.23E-13,2.04E-13,1.95E-14,-7.74E-13,-2.87E-15,1.59E-13,1.02E-14,7.55E-14,2.68E-14,-6.05E-14,-3.76E-14,-2.17E-13,-2.35E-14,8.04E-13,-1.00E-13,,,,,,,,,0
frozenset({'223283.9.peg.1497'}),-1.57E-13,0,-4.68E-15,-2.39E-14,2.91E-14,1.50E-13,-5.48E-14,-1.28E-14,-2.50E-14,-4.73E-14,-2.88E-13,6.24E-14,-6.30E-13,8.63E-14,9.97E-14,-9.94E-12,-9.44E-14,-1.47E-13,4.44E-14,-5.68E-14,4.10E-13,5.43E-14,-1.34E-13,-2.38E-14,1.24E-13,-9.77E-15,1.32E-14,5.32E-15,-2.01E-14,-2.77E-13,4.57E-14,-5.25E-14,-4.50E-14,3.51E-14,-5.26E-14,1.12E-14,-1.17E-14,4.57E-13,8.90E-13,-1.79E-14,-7.09E-14,-2.24E-14,-4.92E-14,-1.20E-14,-1.07E-13,9.71E-15,4.69E-13,1.68E-14,-4.96E-13,-2.12E-13,-1.67E-13,1.66E-13,3.37E-13,-8.10E-14,9.11E-14,-2.64E-14,1.42E-14,2.94E-12,-3.12E-13,-9.85E-14,-1.83E-13,-2.72E-14,-4.31E-14,1.52E-14,-2.88E-11,-1.01E-12,-3.69E-13,9.38E-13,-7.54E-14,-6.34E-14,-2.88E-13,1.20E-14,-2.95E-14,8.04E-14,8.49E-14,-4.90E-14,4.03E-14,-2.60E-14,-6.95E-13,1.20E-14,4.74E-14,-2.08E-13,8.54E-14,-1.35E-14,4.83E-14,4.08E-13,-8.60E-14,1.47E-13,6.24E-15,4.61E-13,7.18E-14,-1.36E-13,,,,,,,0
frozenset({'223283.9.peg.1522'}),-8.07E-14,-4.30E-14,-1.02E-10,-1.40E-13,1.54E-13,0,-4.31E-14,5.54E-15,1.05E-12,5.61E-14,9.66E-15,-9.99E-12,-4.81E-14,-6.66E-14,-1.47E-13,-7.35E-14,8.69E-13,1.09E-14,-5.96E-14,-1.23E-13,-3.91E-14,-3.14E-16,-1.05E-13,2.23E-14,-2.94E-14,-4.72E-14,3.04E-14,3.39E-14,1.08E-13,-3.13E-13,-1.44E-13,8.53E-14,1.19E-13,5.35E-14,-3.41E-14,-3.51E-14,1.73E-13,-7.61E-14,-2.68E-13,-2.17E-13,9.95E-12,-8.31E-14,1.20E-12,-3.18E-13,8.17E-14,1.20E-13,-4.85E-14,2.03E-13,7.74E-14,-7.17E-14,6.17E-14,-1.20E-12,-8.50E-14,1.58E-13,3.26E-14,-1.98E-14,1.90E-13,-2.09E-14,-3.35E-14,-2.68E-13,6.84E-13,1.66E-13,-4.22E-13,1.96E-14,-6.61E-13,-8.50E-14,2.04E-13,1.22E-13,-7.39E-14,-3.37E-14,-2.10E-13,-8.95E-14,7.82E-13,1.84E-15,-3.04E-14,5.31E-13,-3.91E-14,-7.43E-14,9.51E-13,5.54E-15,1.67E-13,1.47E-12,,,,,,,,,,,,,,,,,0
frozenset({'223283.9.peg.1560'}),-3.27E-13,2.58E-13,2.19E-13,4.07E-14,-8.16E-15,4.36E-14,1.84E-12,7.69E-14,6.05E-13,-8.04E-15,1.73E-14,-5.55E-28,0,-6.21E-14,7.85E-15,-2.97E-15,3.10E-13,-2.55E-13,2.37E-14,5.08E-13,-4.19E-14,-3.04E-14,-1.76E-16,7.46E-14,2.65E-13,3.43E-14,-2.13E-13,2.15E-14,-5.50E-14,-7.13E-14,6.39E-14,-3.85E-13,-5.69E-13,5.90E-14,1.41E-13,-4.89E-13,5.31E-13,-5.12E-14,1.06E-13,-2.67E-14,-3.65E-13,-3.17E-15,1.39E-13,4.89E-14,-1.62E-27,8.85E-14,-6.34E-15,-1.08E-13,-2.96E-14,7.71E-14,-4.72E-14,1.54E-13,-6.67E-14,2.22E-13,-9.91E-14,1.27E-13,-1.61E-14,-4.58E-13,6.28E-14,1.93E-13,-4.92E-13,-3.75E-13,-2.32E-14,3.22E-12,-4.05E-14,1.20E-12,-1.50E-13,-5.32E-14,-4.00E-13,1.27E-14,2.45E-14,-3.86E-14,-3.84E-14,-1.86E-14,1.56E-13,-6.30E-15,1.95E-13,-3.68E-13,-2.05E-13,5.59E-14,-6.08E-14,6.19E-14,-1.30E-12,2.24E-14,1.48E-12,-4.89E-13,-5.24E-15,,,,,,,,,,,,0
frozenset({'223283.9.peg.1575'}),-2.01E-13,1.73E-13,7.99E-14,2.44E-15,0,-2.25E-13,-7.90E-14,-4.77E-14,1.87E-14,-3.60E-14,-1.62E-14,-1.76E-14,-1.21E-14,5.42E-14,-1.04E-13,6.40E-14,-3.64E-13,-5.06E-13,-1.07E-12,9.58E-14,1.02E-13,-4.97E-14,-1.24E-13,3.11E-15,6.88E-15,-1.72E-13,-4.09E-14,8.04E-14,-1.43E-15,-1.49E-13,-2.72E-14,-9.35E-14,2.79E-14,1.29E-13,-2.48E-14,4.09E-14,-2.44E-13,3.12E-13,-2.34E-14,1.52E-14,-3.64E-14,2.79E-13,4.94E-13,-6.66E-14,3.97E-13,-2.55E-30,1.95E-13,6.47E-14,3.03E-14,1.49E-14,2.37E-14,1.23E-13,8.17E-14,1.88E-14,-9.27E-15,-3.30E-29,-2.06E-13,5.00E-14,3.94E-13,1.00E-13,1.77E-13,8.13E-14,9.19E-13,-3.02E-13,1.71E-14,9.47E-14,-5.52E-15,2.36E-13,1.08E-12,7.18E-14,-3.96E-14,-2.35E-14,-8.11E-14,1.08E-13,6.74E-14,-2.14E-13,-2.08E-13,-4.22E-13,6.64E-13,1.18E-14,4.96E-13,-4.64E-14,-1.62E-13,-3.71E-14,1.17E-14,-3.32E-13,2.26E-14,-1.27E-13,2.27E-13,-1.36E-13,-3.02E-13,,,,,,,,0
frozenset({'223283.9.peg.1577'}),-1.96E-14,-4.11E-14,-2.73E-13,-4.64E-14,-7.75E-13,-2.92E-13,-1.42E-14,-7.30E-14,1.22E-14,-1.21E-13,1.22E-13,1.28E-13,9.54E-13,2.18E-14,-1.19E-14,2.55E-13,-6.49E-13,8.03E-14,-2.07E-14,7.48E-14,4.42E-13,-2.10E-14,-4.57E-14,1.80E-13,1.22E-13,2.10E-14,0,4.91E-13,7.56E-15,1.85E-14,-7.94E-15,3.08E-14,3.45E-14,-6.65E-16,-1.41E-15,-1.61E-14,6.86E-14,2.43E-16,-1.90E-13,9.86E-14,-1.35E-14,-2.22E-14,-7.90E-14,1.48E-13,-8.73E-15,2.55E-13,-1.35E-13,9.80E-14,1.56E-14,1.35E-15,5.05E-15,-1.35E-14,1.66E-13,2.67E-13,-4.92E-14,-1.41E-13,-3.72E-14,1.94E-13,-5.69E-13,6.70E-15,-4.93E-14,-2.05E-13,-2.05E-13,-6.39E-14,6.47E-14,1.20E-13,-3.32E-14,-2.52E-14,7.18E-14,3.33E-15,1.19E-13,1.13E-13,5.00E-15,1.13E-13,-3.12E-13,8.73E-13,-6.13E-15,-3.74E-14,4.89E-14,1.68E-13,-7.73E-14,-1.05E-13,1.11E-13,-2.80E-13,-8.60E-14,-8.39E-14,1.46E-14,1.10E-14,3.75E-13,-1.09E-13,,,,,,,,,0
frozenset({'223283.9.peg.1663'}),-5.20E-14,-1.51E-14,-1.64E-13,2.18E-14,1.43E-13,-2.38E-13,-2.05E-14,-2.65E-14,1.78E-14,2.94E-14,4.99E-14,0,1.32E-12,-4.69E-14,-1.45E-13,-1.66E-13,8.34E-15,3.25E-13,-8.91E-15,1.33E-13,4.78E-14,6.16E-14,1.70E-13,3.79E-11,4.44E-14,-2.24E-13,5.75E-13,3.49E-15,-3.38E-13,-2.10E-13,-8.44E-14,-8.17E-14,2.94E-14,7.32E-14,-2.00E-13,-1.14E-12,6.99E-14,-6.17E-13,2.68E-13,4.46E-13,4.30E-15,1.17E-14,-9.77E-14,5.90E-15,-3.48E-14,-8.76E-14,-7.78E-15,-3.12E-14,1.30E-12,-6.09E-13,2.85E-14,-2.19E-13,1.94E-13,6.13E-14,-1.63E-13,-2.85E-14,-1.36E-13,4.18E-14,3.65E-14,-1.71E-13,3.56E-13,3.87E-15,-2.55E-14,4.82E-14,4.90E-12,2.64E-13,-1.99E-14,7.12E-14,-2.98E-14,-7.28E-15,7.39E-14,2.50E-14,1.05E-13,-2.93E-14,-1.46E-13,-3.18E-13,4.55E-14,-5.06E-14,3.99E-14,1.29E-13,-5.56E-14,-4.96E-14,-1.02E-13,4.30E-14,-3.41E-14,,,,,,,,,,,,,,0
frozenset({'223283.9.peg.1773'}),2.57E-14,0,9.17E-15,-3.41E-15,-8.94E-13,-9.69E-12,1.82E-13,-1.23E-13,3.40E-14,-1.00E-13,-1.97E-13,-4.63E-13,-6.43E-13,6.08E-14,-1.57E-14,-1.83E-13,-1.27E-13,-4.40E-14,3.31E-13,-4.05E-15,2.32E-13,7.06E-14,6.01E-13,6.57E-15,-2.67E-14,7.15E-14,4.02E-14,-4.10E-13,3.03E-15,1.54E-13,-3.33E-14,-1.13E-13,-2.44E-14,-2.25E-14,-2.12E-13,8.05E-14,7.41E-14,-2.31E-13,1.83E-13,3.71E-14,3.08E-13,-6.58E-13,4.93E-14,8.65E-14,3.36E-14,6.67E-15,2.68E-14,5.02E-14,5.21E-14,-2.93E-14,-1.49E-14,4.74E-13,-4.64E-13,3.39E-15,-3.17E-14,-2.27E-13,-6.31E-14,3.29E-14,1.33E-13,-5.23E-13,1.45E-13,-3.97E-14,-3.47E-14,-3.23E-15,6.15E-13,3.21E-14,-5.92E-14,-6.31E-13,-1.55E-14,5.77E-13,-1.87E-14,-7.55E-14,1.24E-13,1.54E-13,-1.03E-13,1.75E-13,7.32E-14,-1.71E-13,1.51E-13,-1.58E-13,8.63E-14,-5.63E-14,4.41E-14,7.73E-15,5.40E-13,-1.36E-12,-5.32E-14,-1.41E-14,1.91E-13,-2.74E-13,,,,,,,,,0
