ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
frozenset({'223283.9.peg.1'}),-1.085500996948719e-13,5.289410205191111e-14,-9.753760470130557e-15,-5.526505895712119e-15,5.088312476790831e-14,-2.071737982345049e-13,0.0,-1.382246459920623e-13,1.729463047234421e-14,-7.502090254220628e-14,-4.255937597369265e-14,2.54570423032431e-14,-1.187292915343557e-14,-5.052877814633006e-14,3.132514444690994e-14,-1.621070684131953e-13,7.308933666833016e-15,4.578362595769019e-14,-1.226074070298277e-14,-8.46777264513102e-14,1.666224836001601e-14,-2.075232220270054e-16,-9.502260694234273e-15,1.126970221471988e-14,1.3159738629913e-14,-3.092905536648609e-13,-4.165960724888888e-14,-2.655088222532315e-14,-4.607926684137326e-14,-1.081465211046988e-13,2.948580972907215e-17,5.360104478032174e-15,2.633490033496996e-14,-2.467299500723516e-13,-1.685231139006038e-14,7.626673000503168e-15,4.875390169633594e-15,-1.674391806431354e-13,6.659105421297507e-15,8.084355827513583e-14,5.529091175408269e-15,3.095042214327074e-14,-1.168107326942223e-14,-6.562610134863306e-14,1.0360213954971e-13,-1.181663765822446e-14,4.000708345618601e-14,1.401173816558995e-14,3.429513818790898e-14,8.776286107324914e-14,-2.234590804231023e-14,2.517556738182694e-14,2.555681400733863e-14,1.359362207301629e-15,6.137485903037638e-15,6.483221447225432e-15,3.76205337103227e-14,1.793310672370644e-15,2.116401658684165e-13,4.643830033249518e-14,7.012253550284241e-14,-7.933128745447341e-16,-1.207481443811228e-14,-7.139961211523412e-17,5.32383562504131e-17,-8.558317406072628e-15,-5.279287159056398e-17,-1.121822226989487e-13,-2.818983200256975e-14,1.350481211094014e-13,-2.152706174632176e-13,-3.243095321053533e-14,-7.578950776049506e-14,9.280077795672576e-14,-1.575411885302417e-13,4.575297333731619e-14,-1.281791043947835e-14,-5.1382752528298e-14,-7.639219487849472e-15,-7.524355887487139e-14,7.32723579702987e-15,7.890624767983779e-14,2.876154986985992e-14,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1290'}),-9.027854451615133e-13,4.257082433241629e-14,-1.001156188292822e-14,1.310946367133597e-13,-3.515897395911682e-16,6.953824237841969e-13,1.48812861649579e-14,-4.202518059127378e-15,0.0,1.041036824297135e-13,-7.018399616740469e-14,-2.86232688728734e-14,-5.731602736329575e-14,-2.62920575365503e-13,-9.488443036340542e-14,2.719338781990762e-14,7.111697296970504e-14,1.564795705826877e-15,6.033380600147458e-14,-1.148881400765968e-13,-1.026102309471478e-13,-2.164009108957373e-14,-1.615565902300788e-12,-6.691278264446339e-14,-3.028643206516236e-14,-2.776410173847463e-15,-1.117669494116116e-13,1.8603981985882e-13,-4.362314611982611e-15,-2.090897632323761e-14,-6.397592912514281e-14,3.321868983255351e-14,2.168445116621453e-14,-4.987025218952972e-14,1.78890288627751e-16,-1.453127258792347e-15,-2.53759535115397e-14,-2.377243755090462e-14,6.510117255042584e-14,-3.775668999204657e-14,-8.198618693889278e-16,-4.713491140316836e-14,-7.504236012606137e-14,7.962039307310146e-15,-2.067753912661571e-13,-4.246024933530403e-17,-4.285228095215747e-14,-3.211069932917264e-13,-3.156515376499465e-14,-1.457432606667043e-14,2.468955269523432e-14,1.700929865567905e-14,1.618643616038841e-15,-8.881915342890263e-15,-2.647000316338745e-13,7.139257901936365e-14,-7.489975097480252e-17,1.701640184719705e-16,-3.811377509334713e-14,1.597319479291705e-16,1.600586533654935e-13,4.480399838291268e-14,-5.378868628572184e-14,1.582724817946069e-16,-8.8941517369824e-16,7.399263260115674e-14,-1.82591612739351e-15,2.328475836921387e-14,-2.309773103254068e-14,3.868845701564265e-14,5.529414656479553e-14,-1.600199494324166e-14,-1.886039681189274e-16,6.71476546486476e-14,1.674207422292734e-14,-1.801012010792447e-14,7.204509872933395e-14,-2.230939949493906e-14,-1.458931133209032e-14,-1.678092669079747e-15,-1.836350706047693e-15,1.668068541324801e-13,-7.38167245499905e-12,-4.878342365850383e-14,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1455'}),82.41356013629317,19.92858645102503,88.57700635641736,19.73971157081604,57.08747933829345,96.98238025914095,19.94433908812002,85.61544959164851,47.80217914020445,67.38667404927436,76.55086225471918,77.34913215227228,44.27254378481315,61.34782293457952,49.94626137227275,43.81290667736231,105.0571298371159,32.85781344038617,8.099639803965237,60.07178131401595,76.74378271225646,44.90616867124623,11.26868161611906,108.2598426558464,15.57271498161178,47.48757214473208,65.26811465644751,79.89472185200978,73.40977747306297,0.382684190233678,69.60244769998077,73.02081709957217,49.04175083990463,0.3826841902338871,24.83257862437727,28.7587010947307,98.52159666470271,23.96021707467034,59.36262351778817,0.3718955131355993,0.3706465700384692,34.58748148148268,37.57232490082056,66.05893606483743,72.48885171804008,78.89796469005405,91.21512437568704,21.62595269636384,63.85584177045519,75.953220905289,57.85387608362768,0.3826841902339292,55.35382885250533,39.77319897032017,84.56760872175279,49.53027753148453,68.2486453619846,44.61781370190433,63.22340480135681,18.748977935233,59.87121361384171,45.54001614898795,61.7139542200635,39.74502577969999,33.85879710304275,79.9351899279074,0.2898205666465524,65.80551605735037,97.86738976359861,0.3812652976134518,62.78674306869948,82.97967488730741,10.99510845006945,39.75048034509554,0.3718349010646705,0.3706465700384644,0.3074326200148931,33.52757661644537,0.3839042160793053,59.82135318359865,63.34786936845833,68.99740073398856,70.48077421171526,51.71819296556944,0.3718349010647191,0.3718955131355925,77.75593636234355,41.21353188081996,24.89587970626293,72.77797505935088,60.32572755565742,66.64519727455276,60.67910420913388,44.21413515860097,61.72295076781854,98.04052595908794,79.36669481221978,40.10503112456924
frozenset({'223283.9.peg.1494'}),2.226724051425307e-14,1.455524233370113e-13,-2.502890470732056e-14,-3.290729698207693e-14,1.390689379751654e-13,0.0,6.958857668778398e-15,4.489960586909294e-14,3.285829195080626e-14,2.970597017509276e-14,1.197204962140701e-13,5.722466792172763e-14,4.68754561464615e-14,4.671843136795966e-14,2.602392136232617e-14,8.58225311382134e-14,-3.78330718065767e-15,-4.034624432079544e-14,-1.116446586832946e-13,4.180608793528862e-13,-3.256075342469208e-13,1.354018889233208e-15,6.161756941194181e-14,1.459655556204424e-14,-3.445031114445571e-15,1.341989718882942e-14,6.433772366947146e-16,-2.342512139122976e-14,3.917116931039365e-14,2.682464690046563e-20,2.747229493830319e-14,2.153518195942178e-13,-1.100619851661323e-13,-9.847061755211546e-15,-1.411948464427686e-13,2.766089575956662e-14,6.459806318257066e-17,-2.11532406205779e-14,9.435135610873968e-15,-4.047925983165097e-14,3.331726385354525e-15,-3.756859749915552e-14,1.110564069538985e-14,3.709737493148701e-14,3.300621707541046e-15,2.05725991890902e-16,7.454198154275631e-15,-5.187164088770593e-13,-6.832980522177203e-14,-5.704720848713055e-14,-3.463622771471959e-14,-1.118723076676783e-13,1.663322047988571e-14,8.352398901456885e-14,2.346569693690746e-14,7.643922913674817e-14,9.571906167957049e-14,-6.718589024672414e-15,9.156232842062693e-15,7.211270326417318e-14,2.081476756552814e-13,2.999479380953113e-15,2.600281403720108e-14,6.764163616457832e-14,-4.383960361790706e-14,5.984907820654611e-17,-5.118232107980336e-13,-5.01640894220563e-14,5.065940784767285e-16,-2.123322937906739e-13,1.54728078644669e-14,8.06504770946151e-14,-6.297876480462721e-14,-4.267093528030782e-14,-4.598753872426311e-17,8.936491443025068e-14,2.686777823790662e-14,1.817122273780435e-14,-5.279867876660176e-14,-5.158664289414087e-15,8.96656079835667e-14,2.817153923415236e-14,-9.117865813379858e-15,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1497'}),3.402351498959136e-14,-2.304433031494041e-14,-2.89192600810822e-13,4.32213919899736e-14,1.483212388583825e-13,-8.785317084571426e-14,-1.030794522027763e-15,-4.679206563770247e-14,2.561521289340797e-14,1.400398456583661e-14,0.0,-8.577586879021524e-15,-4.304531626448164e-14,4.010146706978049e-14,1.300312876429078e-14,-1.972798485977515e-14,3.473286666179529e-13,-3.355946415144108e-14,-6.619745646405958e-16,1.094307599003745e-13,2.018308416492607e-13,-4.952706340410849e-14,-1.66486901635553e-16,-2.397551103512192e-13,-6.166170337662238e-14,3.520320845161018e-14,-1.679296979943262e-14,-1.847399168576768e-15,1.508295235413912e-13,-1.175818353668645e-14,8.434178662780686e-14,3.597628262044136e-14,-1.146678608838492e-15,-1.999063524392519e-14,5.796067757687477e-14,5.886992520162495e-13,2.523718675840788e-14,-4.598069925899431e-14,4.987545711259956e-14,-5.260746622685454e-16,-2.454650632695617e-13,-3.336435330722534e-13,9.701457505484752e-14,-4.521538808238637e-14,7.124084165426393e-14,1.904929705744015e-13,-2.020579882558466e-14,-1.69729096374205e-13,1.037738253427589e-13,1.002422094183442e-14,-1.866139517325005e-14,-4.908934136285896e-15,4.208373645821155e-14,6.182607876505342e-14,-4.004488955237861e-15,3.649652979818023e-14,-5.71513048831423e-14,3.080477674315047e-14,1.868088011279763e-14,-3.950543583553009e-14,9.095550859246103e-14,2.002079878960744e-15,5.553666506564517e-14,3.818474841770909e-14,7.229693114014384e-16,-8.034743726787542e-14,-1.038081717613308e-16,1.977748381217351e-14,1.654614363332919e-13,-4.467493166157071e-17,-9.259374481959514e-12,6.172055354996479e-16,-1.770438744480354e-16,-3.912665396100027e-14,4.372244705507209e-14,-1.029274675810632e-16,7.002071506520731e-14,6.772235828636243e-14,5.286090688519945e-14,9.901508215300931e-15,-1.097866355354426e-12,-5.937763165377601e-16,1.825626959445775e-13,1.568360746112829e-14,3.162978594670254e-14,-1.659859517029741e-13,-9.27212623353224e-15,2.398267832551375e-14,1.181555487438147e-13,-7.100990746082174e-15,-2.413991027525833e-14,-3.225383940312066e-14,-7.791327621095059e-14,,,,,
frozenset({'223283.9.peg.1522'}),2.383436405060192e-14,-5.258378059503362e-14,-1.456829992043093e-14,-6.818744975011604e-14,2.143215236744511e-13,1.077147655485988e-14,0.0,1.064829142642316e-13,2.455865446905528e-14,1.213753392884263e-13,-2.103956559143549e-14,-3.959749744437962e-13,-1.587421473190724e-13,6.10320194727189e-14,1.7952732696905e-13,3.57184620111476e-15,-2.043055942923258e-13,2.925323588421294e-14,-2.049642235613888e-16,-1.44234162571272e-13,1.47759491184232e-14,-4.672209180470874e-13,-3.331692208616956e-13,5.044880261426582e-15,4.087448299162047e-14,5.024793858896605e-16,4.899386782307757e-14,5.934143653742403e-14,8.757586646564781e-14,-9.4700685343321e-14,1.437522995605271e-13,-4.870139011752848e-17,6.559951402474095e-16,-2.951477681461609e-14,-5.749621948187363e-13,2.93988550737085e-13,2.769953486649926e-14,-2.139289512483282e-13,-1.166092273015935e-13,-1.134082147648837e-15,-5.418763991066897e-13,3.891739607849181e-13,7.865932249536838e-15,-1.271739394894705e-14,-5.702816614155016e-14,2.31679135539625e-13,1.452311229525904e-12,1.388183103134791e-13,-5.10355464314723e-14,6.215820092841457e-14,1.003642230585091e-14,-4.558932906689928e-15,-4.525668212997589e-15,-2.236957337590015e-14,-1.363136758720864e-13,3.529972512701948e-15,-2.688820752886431e-14,-7.522732175312526e-14,4.492251768085828e-16,-7.603128607578348e-14,-3.140935888189158e-15,3.161256489890157e-14,5.226397060633704e-16,4.555455473228587e-13,1.491891615502826e-14,-9.966368157015414e-13,2.827689521418845e-13,-7.426517655147669e-14,-1.197337959275662e-17,-1.398128334058825e-13,5.756964741174241e-14,-3.415007236997897e-14,-1.320843293519789e-13,-3.434162220065169e-14,1.608355140951712e-14,1.431998845875665e-13,1.446523571736642e-15,1.982603527134708e-13,7.075528694390654e-14,-5.134970923697062e-14,-2.805215962459475e-14,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1560'}),7.036763316598475e-13,3.239438968395751e-14,-3.371842882828393e-13,9.627334374707873e-14,7.07402671082884e-15,-2.26696085270041e-13,0.0,-4.243715634331306e-14,5.096995685849775e-14,3.615043465059541e-12,1.583007450252706e-14,-8.086558727806637e-14,-2.813381896029335e-14,-1.996395943474872e-13,1.704574638750747e-14,2.756178942670919e-13,-2.176749297463127e-16,-2.259973860320336e-14,1.182731383123319e-13,-1.787968358312199e-13,1.256259921739701e-15,-3.129960836861763e-14,6.337706617460169e-16,-2.303382105188457e-14,-6.410611826470082e-14,-1.724830506302308e-13,6.280118544904487e-14,-9.004459736259467e-16,-1.777040879416073e-14,1.717000117380184e-12,5.306019902120582e-16,-4.996663043433702e-15,1.212195190042105e-13,1.21263512673671e-12,3.741865020041931e-15,-9.64577527783256e-15,1.454626286357115e-16,-7.836884396522997e-14,-1.336422919649844e-18,-2.679103480371485e-13,-9.540469890210867e-14,-8.227730545226768e-14,5.552820347694927e-15,2.359721617132644e-14,-1.979170616071383e-13,-1.359554917445428e-13,1.743742731050453e-13,3.81187109454216e-17,2.651826402516006e-14,1.769782560974873e-14,-5.656512088452477e-14,4.451055904287259e-15,-1.524494600349841e-13,5.608011343591271e-15,5.082412726368975e-15,-6.284412826235854e-14,-2.070885079462614e-13,-2.168133420685257e-14,-8.716292471926961e-15,-5.46002022695773e-14,3.327722383467404e-15,5.15043390605358e-16,-3.725279973947988e-13,-4.015295517746604e-16,4.216102161485053e-14,1.538914985125257e-15,2.159244009235092e-16,9.565700040404269e-17,1.651120228906138e-14,-1.445473794043186e-15,2.182004747894651e-13,-4.984213907898587e-13,-1.613009541892302e-13,8.716431015034966e-15,2.378135496436861e-16,-2.25790324270762e-17,8.077273330666507e-14,1.843941443609496e-14,2.328039420978081e-15,4.613785736414685e-14,1.627431521927915e-14,3.196024705512805e-14,1.16219080200466e-14,8.616578663443674e-14,2.058748444484141e-13,-9.876480870110078e-15,4.253991206883078e-15,8.528827653450107e-15,,,,,,,,,,
frozenset({'223283.9.peg.1575'}),-3.501370775279903e-14,5.676109910988839e-14,-3.003468564878465e-14,1.310946367133597e-13,-4.995637849638335e-14,-2.661025278005467e-14,-2.232192924743684e-14,-2.878942290939079e-13,-3.937138724758452e-14,-5.16887904153225e-14,3.258746630464443e-14,-9.624044991033443e-14,-2.212725790583739e-13,5.979495187947419e-14,-2.939483463197821e-14,1.359669390995381e-14,3.935751333172777e-13,1.232556369866181e-14,6.128915250332497e-14,-2.084677015035899e-14,-4.429408986969551e-13,9.325400163124427e-15,-3.228770468391476e-14,1.319468502202286e-14,2.027346323596502e-14,7.153381333918501e-14,-1.608105101274632e-14,-1.419540236953162e-13,2.195314371205832e-13,8.137678953594204e-19,-7.863924081248978e-14,-7.250437614126839e-14,-1.852702979101315e-13,-2.209388353651668e-14,-1.917312774861724e-15,8.58403653610421e-15,-5.976360793272739e-14,-2.023149041432709e-14,-9.288685072000532e-14,-1.289254336179077e-16,1.328871136501082e-16,-1.457567237908465e-14,-1.889976559064309e-14,8.530814883710659e-15,2.23120462065089e-14,1.805843490238068e-14,-8.663771497070903e-14,-6.631579774572294e-12,4.205656615720417e-11,1.132483369329374e-13,7.442316968240385e-14,-1.735308331588351e-17,-1.535886995124828e-15,1.93024572036367e-12,0.0,6.886632696802618e-13,-1.684817465865811e-29,1.014443883093712e-13,-1.537325860892761e-14,-1.700929865567905e-14,9.745376268515009e-14,-6.911839295344398e-15,1.155387944429429e-14,-1.741496076343121e-13,-2.392697076300611e-14,-3.377916458647597e-13,1.330154950608392e-13,1.597319479291705e-16,-4.889582906927783e-14,-2.998736946984067e-17,1.709962766386533e-12,-5.40390450710575e-16,-3.301722822019398e-16,6.398725242569487e-14,-1.754207915847724e-16,3.846362795836224e-14,-2.784407921940881e-14,-3.99735512145916e-14,-1.405110687073505e-14,-7.330870634475555e-15,-6.258096308607112e-16,-8.33898084378553e-14,-2.22156998350707e-14,3.303103070742737e-14,-1.673362039420292e-13,3.564685493786277e-14,-7.742142386662345e-14,9.436781158287287e-14,-1.715289282373009e-13,1.809027517724672e-13,-6.949902991479712e-14,,,,,,,
frozenset({'223283.9.peg.1577'}),2.188998587267602e-14,3.697464893541482e-14,-6.120988141091414e-14,-3.29376412204645e-14,2.096275174851068e-12,0.0,5.76970939948102e-14,-1.496437459310273e-13,-1.20353523868019e-13,-7.346872654684562e-14,-3.217237328847965e-14,-6.391570106614596e-15,-1.783214790424978e-13,1.892090860650288e-14,6.428780622355206e-15,1.392299771094249e-15,6.883114039123661e-12,-1.838984903939092e-13,-2.231791050715601e-15,4.002384750058168e-14,4.05497705179165e-14,9.777910085991965e-14,1.1507929688365e-13,1.592934678719644e-14,-6.393901235323551e-14,1.414068121620049e-15,4.354616867967874e-14,2.429341328937859e-13,2.750623618015644e-16,-1.264943728420345e-14,-6.552348171497846e-14,5.56913448956209e-14,7.79895478873689e-15,-4.461145563610962e-14,-4.827674790086371e-16,-5.992709429477677e-18,-7.657382519860937e-14,8.116510521320125e-14,5.250071938625915e-15,-1.596218499892598e-14,3.844957852763565e-14,-3.952626848497189e-14,-1.369236985880736e-14,3.762888926681921e-13,1.633069555250301e-14,-6.409774867612596e-14,1.829463079266833e-15,3.720863697994731e-14,3.449819233731813e-14,4.100538830579796e-14,-5.251171884399426e-13,1.682618870376327e-14,-3.52668110144042e-15,2.630956773226925e-14,-1.284112459114559e-14,8.368162761101656e-14,2.344087303548885e-16,-1.046655027792742e-14,-6.710872012770045e-15,1.529907195205538e-14,1.432659333329373e-15,6.380476754918503e-14,2.142660438055788e-14,1.932304343045427e-16,2.025205154331449e-13,5.533618375056192e-14,1.478803792621787e-13,7.798311899806911e-17,1.024897128515314e-16,-3.91447494191475e-14,4.870709631916281e-16,-3.322848206474224e-12,6.345085195561481e-17,2.236896244433326e-14,1.692248648523939e-12,4.592500758410471e-14,1.483990355114422e-15,-1.296889634530974e-16,-9.493687905431284e-14,-2.065092968257974e-14,9.976999203722424e-15,-7.772996980954037e-15,-9.050733054040038e-13,-1.919334649415607e-13,-5.916401622358772e-13,-1.001424516939586e-14,9.148356261634498e-13,-3.878093627213725e-14,-4.262123531751103e-14,3.094953850626027e-15,,,,,,,,
frozenset({'223283.9.peg.1663'}),3.629389424939953e-14,-1.034963122359985e-16,4.668794643567382e-13,3.390112481388263e-14,-4.263992651677738e-13,2.006199744011081e-13,-3.953766126951505e-14,0.0,3.361265167700243e-13,-9.312722442120242e-13,-1.553344722835775e-13,8.180469366099157e-14,-5.73283385792798e-13,-7.587948708745105e-29,1.838672580610885e-12,-4.656983376197236e-14,4.144396620841907e-14,-1.246914444416008e-15,-6.799090730048206e-16,1.193719601760313e-29,-2.563320171926946e-15,-3.331692208616956e-14,4.975426397704129e-17,-1.457777576215452e-15,-1.416224876118184e-12,6.287599035222852e-12,3.187356895483653e-13,-3.082904282698358e-14,3.088333895760872e-12,-1.849903992083618e-14,-3.571522419103156e-17,-1.122039016056143e-27,-6.636135255448099e-29,-8.068256401485113e-15,-5.620583123388838e-16,1.825160040873813e-14,1.216451372927024e-15,-4.299326529680724e-14,1.150250021539682e-13,-1.860663023650197e-12,1.078684950443451e-14,-1.657132277206926e-13,-2.501450683482454e-13,-4.304008367087818e-15,-5.389652513753631e-14,3.130487120251984e-11,4.390919110671431e-14,2.488963703143287e-16,-1.242077609006724e-15,-5.584351792442829e-17,-1.050387011470206e-14,8.347801309593152e-15,-1.27875059658418e-13,-5.848151078644193e-17,4.568055902522216e-14,-3.131740272626021e-14,1.058882949386407e-13,6.813627357090803e-16,-1.020060993505644e-15,6.056336029434225e-14,6.972385240390558e-15,2.260215948925456e-13,-3.958715476090649e-13,-5.439535261056704e-19,8.54981383193269e-13,1.08078090142115e-16,2.497858949248497e-15,-8.262085360346654e-16,-6.482696451515244e-14,8.419809188810095e-14,9.717065142437461e-13,8.549068892043302e-16,1.238279569265649e-16,-4.786095714447461e-13,1.330734373622663e-12,-6.06340270637605e-14,-3.241531010147863e-14,1.333853912998329e-14,1.992644708248817e-13,1.803421069128435e-14,3.653921513637131e-15,-9.149177345248227e-15,6.496705337799557e-13,1.021537133143246e-14,,,,,,,,,,,,,,
