Pathway,Gene
2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,22
ABC transporters - Pseudomonas syringae pv. tomato DC3000,65
Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",25
Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,18
Aminobenzoate degradation - Pseudomonas syringae pv. tomato DC3000,8
Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,27
Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,18
Ascorbate and aldarate metabolism - Pseudomonas syringae pv. tomato DC3000,9
Atrazine degradation - Pseudomonas syringae pv. tomato DC3000,6
Bacterial chemotaxis - Pseudomonas syringae pv. tomato DC3000,1
Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,15
Biofilm formation - Pseudomonas aeruginosa - Pseudomonas syringae pv. tomato DC3000,4
Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,104
Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,172
Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,236
Biosynthesis of secondary metabolites - unclassified - Pseudomonas syringae pv. tomato DC3000,1
Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,2
Biosynthesis of unsaturated fatty acids - Pseudomonas syringae pv. tomato DC3000,1
Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,8
Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,23
C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,7
Caprolactam degradation - Pseudomonas syringae pv. tomato DC3000,5
Carbapenem biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,85
Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,3
Chloroalkane and chloroalkene degradation - Pseudomonas syringae pv. tomato DC3000,5
Chlorocyclohexane and chlorobenzene degradation - Pseudomonas syringae pv. tomato DC3000,1
Citrate cycle (TCA cycle) - Pseudomonas syringae pv. tomato DC3000,25
Cyanoamino acid metabolism - Pseudomonas syringae pv. tomato DC3000,6
Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,32
D-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,3
D-Glutamine and D-glutamate metabolism - Pseudomonas syringae pv. tomato DC3000,4
Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,9
Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,15
Fatty acid degradation - Pseudomonas syringae pv. tomato DC3000,15
Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,23
Fluorobenzoate degradation - Pseudomonas syringae pv. tomato DC3000,1
Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,16
Fructose and mannose metabolism - Pseudomonas syringae pv. tomato DC3000,13
Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,10
Geraniol degradation - Pseudomonas syringae pv. tomato DC3000,6
Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,12
Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,10
Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,18
"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",29
Glycolysis / Gluconeogenesis - Pseudomonas syringae pv. tomato DC3000,25
Glyoxylate and dicarboxylate metabolism - Pseudomonas syringae pv. tomato DC3000,25
Histidine metabolism - Pseudomonas syringae pv. tomato DC3000,16
Inositol phosphate metabolism - Pseudomonas syringae pv. tomato DC3000,6
Limonene and pinene degradation - Pseudomonas syringae pv. tomato DC3000,7
Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,17
Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,11
Lysine degradation - Pseudomonas syringae pv. tomato DC3000,19
Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,560
Methane metabolism - Pseudomonas syringae pv. tomato DC3000,16
Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,178
Monobactam biosynthesis - Pseudomonas syringae pv. tomato DC3000,6
Naphthalene degradation - Pseudomonas syringae pv. tomato DC3000,1
Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,17
Nitrogen metabolism - Pseudomonas syringae pv. tomato DC3000,11
Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,12
Oxidative phosphorylation - Pseudomonas syringae pv. tomato DC3000,23
Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,13
Pentose and glucuronate interconversions - Pseudomonas syringae pv. tomato DC3000,5
Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,24
Peptidoglycan biosynthesis - Pseudomonas syringae pv. tomato DC3000,10
Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,12
"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",25
Phosphonate and phosphinate metabolism - Pseudomonas syringae pv. tomato DC3000,1
Phosphotransferase system (PTS) - Pseudomonas syringae pv. tomato DC3000,3
Plant-pathogen interaction - Pseudomonas syringae pv. tomato DC3000,1
Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,30
Propanoate metabolism - Pseudomonas syringae pv. tomato DC3000,26
Purine metabolism - Pseudomonas syringae pv. tomato DC3000,58
Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,24
Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,41
Quorum sensing - Pseudomonas syringae pv. tomato DC3000,25
RNA degradation - Pseudomonas syringae pv. tomato DC3000,2
Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,8
Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,8
Starch and sucrose metabolism - Pseudomonas syringae pv. tomato DC3000,14
Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,9
Styrene degradation - Pseudomonas syringae pv. tomato DC3000,5
Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,26
Sulfur relay system - Pseudomonas syringae pv. tomato DC3000,2
Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000,5
Taurine and hypotaurine metabolism - Pseudomonas syringae pv. tomato DC3000,4
Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,12
Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,10
Toluene degradation - Pseudomonas syringae pv. tomato DC3000,2
Tryptophan metabolism - Pseudomonas syringae pv. tomato DC3000,17
Two-component system - Pseudomonas syringae pv. tomato DC3000,13
Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,14
Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,11
"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",12
"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",26
Vancomycin resistance - Pseudomonas syringae pv. tomato DC3000,5
Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,5
Xylene degradation - Pseudomonas syringae pv. tomato DC3000,1
alpha-Linolenic acid metabolism - Pseudomonas syringae pv. tomato DC3000,1
beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,12
beta-Lactam resistance - Pseudomonas syringae pv. tomato DC3000,1
