ids,0,1,2,3,4,5,6,7,8,9
frozenset({'223283.9.peg.1'}),-2.203525139175665e-13,4.024606618060751e-14,4.334364748755564e-14,-2.711619565914303e-13,-6.589457010263666e-14,4.242420061123417e-14,1.046997227270074e-13,0.0,-4.667068623153508e-15,-2.038818862011671e-15
frozenset({'223283.9.peg.1290'}),2.198762310716663e-13,-4.453638621793623e-12,1.06524914498791e-13,-1.532410246744028e-13,1.167020352087924e-13,-2.002052597131766e-13,1.119628845061244e-12,0.0,-5.946570919326473e-14,-9.030698809407161e-13
frozenset({'223283.9.peg.1455'}),78.22490725136838,42.79350943842817,80.93254484304381,96.57746613255568,78.25964348398658,104.1060495968548,166.0490106564983,195.9715631520042,99.68761321707056,97.06463909431774
frozenset({'223283.9.peg.1494'}),-1.208119694796925e-13,1.29135767033715e-13,-4.173422664809049e-14,-2.101925199026103e-13,1.386841064589802e-14,7.011284021515295e-14,3.631576369159118e-14,0.0,-1.055737125697899e-14,5.404130192090119e-12
frozenset({'223283.9.peg.1497'}),0.0,-2.112966323947334e-14,9.597006777016919e-13,4.947135258674052e-14,1.507380741918093e-13,4.69522622723103e-14,-1.741404347662846e-12,,,
frozenset({'223283.9.peg.1522'}),-4.742776256655854e-14,2.930982301905893e-14,1.907163295723643e-14,-1.191601249011849e-13,1.716539313699425e-13,-7.330784919276066e-13,2.744170361370686e-13,-9.228281165468904e-14,-6.27564253217313e-14,-3.613046978974637e-13
frozenset({'223283.9.peg.1560'}),0.0,1.175084496476563e-13,7.993293165794565e-12,3.920101002637796e-14,1.315343681980789e-13,5.720943420598315e-14,-2.544907453220171e-13,2.559802409401088e-13,7.70143308735764e-14,
frozenset({'223283.9.peg.1575'}),-9.358050536006334e-13,7.620301195443421e-14,-4.741621277735192e-14,-7.342018567329197e-15,2.015835079520854e-13,-3.393257665898929e-14,-6.933678927341594e-13,8.220877605392514e-15,2.031627028834278e-14,3.153552831698809e-14
frozenset({'223283.9.peg.1577'}),-2.123477058611887e-14,2.297433036879321e-14,-1.784510388406274e-15,-3.379278174238471e-13,1.40186101620605e-13,-1.670986715656831e-13,4.636864565062459e-14,9.643928413560812e-15,-2.707127838952131e-13,2.471669453979722e-14
frozenset({'223283.9.peg.1663'}),1.425361071794225e-14,-7.596194576908752e-14,4.89704590030843e-14,-1.46840371346584e-14,8.619942069596721e-14,-2.309839319329841e-13,-3.773437455624056e-13,1.910866530670297e-12,-4.445508967138731e-13,-8.075622672750402e-14
frozenset({'223283.9.peg.1773'}),-2.412337922249135e-14,1.144047763290375e-13,1.108013186843665e-13,1.762233930959239e-13,-6.034465427885668e-14,0.0,6.695831827271629e-15,-1.118455994358574e-13,2.389230112545358e-14,6.015472501056915e-15
frozenset({'223283.9.peg.184'}),6.403543926989693e-12,2.954320810476699e-14,9.833636136328659e-13,1.56313743857475e-14,1.71498755181612e-14,-6.673508657105886e-14,-5.372965230173857e-13,8.42051280195269e-13,1.339270843181025e-14,-5.644186755879475e-14
frozenset({'223283.9.peg.1841'}),-4.077863207224656e-14,8.126846737102542e-14,-8.917225451062902e-14,-4.638704040133348e-14,-3.350120975082307e-14,1.754848975139529e-13,1.704412602063213e-13,0.0,1.979871074875804e-14,-1.075983887348988e-13
frozenset({'223283.9.peg.1842'}),-8.993452672694952e-14,7.933052325167978e-15,2.107473773844756e-14,5.148491228038277e-13,-1.81984678881543e-13,2.915835807854206e-13,7.230351624076146e-13,-2.839470968515289e-13,4.816398010598892e-13,-1.156738593501301e-13
frozenset({'223283.9.peg.1871'}),-8.993452672694952e-14,7.933052325167978e-15,2.107473773844756e-14,5.148491228038277e-13,-1.81984678881543e-13,2.915835807854206e-13,7.230351624076146e-13,-2.839470968515289e-13,4.816398010598892e-13,-1.156738593501301e-13
frozenset({'223283.9.peg.190'}),-1.810497245232098e-14,-4.091293383893276e-14,4.735817527923928e-15,-3.608680232897709e-15,-2.803732002351274e-14,-4.43354388971549e-14,-8.946166362788436e-12,0.0,-1.186299728959454e-14,-4.649693830442554e-13
frozenset({'223283.9.peg.191'}),-4.290096156508166e-13,7.355711762951558e-12,-2.224595134465205e-14,5.198889498828418e-14,-3.003987891870107e-14,3.811494924673135e-14,2.837616119667146e-13,0.0,-4.175356907192169e-14,5.085379536962554e-14
frozenset({'223283.9.peg.2'}),4.084155962194799e-13,-3.319373547290147e-14,1.136413645095568e-12,-6.555154165496477e-14,7.856574858057811e-14,-8.424620387845867e-14,3.258838689772969e-13,-1.068935138050487e-13,2.429531927348873e-14,0.0
frozenset({'223283.9.peg.2197'}),5.506147729153048e-13,0.0,6.273543934768965e-15,1.938944245857037e-12,1.933287791016436e-13,-2.804513608606118e-13,-2.760967885894904e-14,2.65266064228004e-13,2.079779848508645e-12,5.066943272318391e-14
frozenset({'223283.9.peg.2413'}),-9.358050536006334e-13,1.788498903000235e-12,-4.741621277735192e-14,-7.342018567329197e-15,2.015835079520854e-13,-3.393257665898929e-14,-3.898176110182067e-14,8.220877605392514e-15,2.031627028834278e-14,2.919956325647046e-14
frozenset({'223283.9.peg.2415'}),6.409259440679558e-14,1.179231091415578e-12,-4.497206475295103e-13,5.235614105032308e-14,1.913888469387627e-14,-9.514954301847213e-14,-2.694144917156174e-13,2.684046452264796e-14,-3.217743825241574e-14,1.456788884966168e-14
frozenset({'223283.9.peg.2416'}),1.561299991595569e-12,9.52537649430428e-14,7.327342788943877e-14,2.518071575292543e-13,-3.941179864669619e-14,-1.19007553161189e-13,-3.859879814516137e-14,1.09638983832729e-13,1.190344047809922e-14,-9.018227766678112e-14
frozenset({'223283.9.peg.2417'}),1.34222947634606e-13,-2.032713037944462e-13,1.381773018897987e-12,-8.28943354217556e-12,3.891453171784564e-13,-7.784034387051269e-14,1.106828530800738e-13,-2.176015674742201e-14,-8.193954581959007e-14,-6.367811691548644e-15
frozenset({'223283.9.peg.2418'}),-1.117361121321657e-13,-4.979060320935221e-14,-1.925252156187846e-13,4.105657455060836e-15,-5.743162551764491e-13,-5.681384074765036e-13,5.13860947545444e-14,0.0,-3.9771552830662e-15,9.257074866080298e-14
frozenset({'223283.9.peg.2657'}),78.22490725136628,42.79350943842751,80.93254484304565,96.5774661325564,78.25964348398672,104.1060495965848,166.0490106564989,195.9715631520025,99.6876132170715,97.06463909431803
frozenset({'223283.9.peg.3424'}),-3.868176783182087e-14,-2.76211145966638e-13,-1.137491386153411e-12,2.395398736744037e-14,1.197428191149747e-13,-9.179246415743112e-14,4.32561203585848e-13,8.345007353449712e-14,4.572854252058092e-14,-4.611536944495321e-14
frozenset({'223283.9.peg.3599'}),1.991635818704336e-13,-9.510138019607984e-14,1.363806279802755e-13,8.020676625324194e-14,-1.124799116041151e-13,-5.597569756754948e-14,1.677132955696794e-12,4.667308564481866e-13,-1.763125193628327e-13,0.0
frozenset({'223283.9.peg.3735'}),1.711075893638765e-13,5.593817811611731e-14,6.9782379388055e-13,-1.54156371274141e-14,-3.99737203027852e-14,-1.919299110571713e-13,-8.035798377793483e-14,-2.381456943794587e-13,-1.898485223116643e-13,-3.133199747032445e-14
frozenset({'223283.9.peg.3748'}),6.305307324091789e-13,1.660913742908387e-14,-6.77016937268152e-14,-9.37701902341451e-14,0.0,-6.886113358250066e-13,-4.104989961093951e-14,9.958297341588504e-13,-1.345210130705159e-13,1.082834803469042e-13
frozenset({'223283.9.peg.3813'}),0.0,-3.293988902153745e-14,3.520861523405589e-14,-3.118485832794503e-13,-7.516722496481519e-13,3.701470579174625e-15,3.127833268362222e-13,7.672899976401706e-14,-3.375003030044659e-13,2.394737142083293e-14
frozenset({'223283.9.peg.3834'}),4.318287394923802e-13,-4.100620273776524e-14,-5.051834549973879e-14,-1.747117531850697e-13,4.177842573398484e-14,1.724871057051308e-13,0.0,-4.477641527267646e-15,-2.045907709091916e-14,
frozenset({'223283.9.peg.3923'}),-3.069776682016116e-13,1.00574450456553e-12,-2.214331417968864e-12,3.491763050464563e-13,-4.999745898817416e-15,-1.055173729682207e-15,2.016243402860084e-13,-5.014822711871324e-14,-3.495964634591754e-14,2.359720024568334e-13
frozenset({'223283.9.peg.3927'}),-6.526770040425956e-14,1.234602979389738e-13,-5.428959314146851e-14,-8.898990078605594e-14,-1.933287791016436e-14,-1.180255876935347e-13,-4.50201755684932e-13,-3.1466621804827e-14,1.965500328540063e-14,-1.023415659022835e-13
frozenset({'223283.9.peg.3932'}),-2.854073062623408e-14,-2.830374123751263e-14,1.049408454428319e-14,1.788673873422555e-15,2.364707918801772e-14,-1.2117395010926e-13,1.451251305981107e-11,1.496702025152419e-13,-2.317308206679949e-17,7.938530336449645e-14
frozenset({'223283.9.peg.4'}),6.796338417956819e-14,-5.469054124867536e-15,-2.903469330394075e-14,1.597410076363812e-13,1.150983749726704e-13,-2.103385206454588e-13,6.212177743263535e-14,-1.651743357065422e-12,5.83340873489516e-14,1.467793264194997e-14
frozenset({'223283.9.peg.4081'}),-1.986305616081791e-12,2.056409598213329e-12,-3.228155679923823e-14,6.760384357607986e-13,6.108655172700418e-14,7.100656956504766e-14,5.63866776935341e-13,-1.562850235441712e-13,3.717423637258011e-15,-6.669762900689479e-12
frozenset({'223283.9.peg.4257'}),-9.156679919467601e-14,7.355711762951558e-12,6.491498509002853e-14,9.926816263005212e-14,3.208110025614325e-14,-5.894727309857867e-14,1.66801927310858e-13,-6.012375991383384e-14,-1.605008360228906e-12,1.35590643169787e-13
frozenset({'223283.9.peg.4293'}),78.22490725136636,42.79350943842791,80.93254484304391,96.5774661325557,78.25964348398658,104.1060495968557,166.0490106564981,195.9715631520041,99.68761321707106,97.06463909431746
frozenset({'223283.9.peg.4324'}),-1.192801046571611e-13,6.106711695053242e-14,-5.981442087879853e-14,4.550243756788357e-13,8.81510835461596e-14,2.160747087730011e-14,-1.323261074982342e-13,1.85317993743086e-14,2.524028049967449e-15,-9.308988326989225e-14
frozenset({'223283.9.peg.4540'}),-1.558095858698567e-13,-1.560525837418474e-12,4.043973212862084e-14,-4.160733847826734e-14,-2.138740017076215e-14,7.011284021515295e-14,4.365440049062171e-14,5.397379204476658e-14,4.402738817204942e-13,1.987719348563556e-13
frozenset({'223283.9.peg.4541'}),-1.870972797150518e-10,-1.640716237460261e-14,-3.542552148491073e-13,-1.788052861760511e-13,2.221128139077972e-14,-6.460651672971772e-13,-1.372996403072278e-13,0.0,4.504053505031841e-13,-6.982519359146601e-14
frozenset({'223283.9.peg.4544'}),0.0,-2.139009808716979e-14,-5.946819878610398e-14,5.495288722232296e-13,-2.776410173847465e-14,-3.58098652164152e-13,-2.572114934304924e-14,3.673059998709808e-14,-3.153652184763497e-14,2.312653273275156e-13
frozenset({'223283.9.peg.4588'}),1.925397094095584e-13,9.10599595486292e-15,-1.073867322130967e-14,-1.470818548951148e-13,1.1453552302621e-13,2.819974219556962e-14,-7.511200171677739e-14,1.121727495571515e-13,2.196722645891216e-13,-4.102055288761463e-15
frozenset({'223283.9.peg.4589'}),-1.911773329800726e-11,-2.900008259003677e-13,1.001319011107744e-14,-9.645260766260723e-14,7.724540588695509e-14,-3.03949880313615e-13,1.847466489466396e-14,0.0,1.848175901891801e-14,2.065650560188219e-13
frozenset({'223283.9.peg.4590'}),0.0,-9.7571676713553e-14,-1.116721440163136e-14,-2.721644736282748e-14,-1.758001527048046e-13,-5.493984734554422e-13,-4.385800989516874e-14,-8.998031954804627e-14,-1.595475677185508e-14,2.849032351871663e-14
frozenset({'223283.9.peg.4603'}),1.44975177274547e-12,2.198688406288314e-14,2.904065553059476e-13,-6.802310980676822e-14,3.79600694194091e-14,1.730762968914711e-13,7.517552559495027e-13,0.0,2.826669357637424e-13,2.992674930986305e-13
frozenset({'223283.9.peg.4607'}),1.833917863688513e-13,-4.72651891419347e-13,8.092625294851706e-14,1.219482227430679e-14,4.165166733013806e-15,-7.864702634904695e-14,-5.413901282208936e-13,1.22522618201623e-13,6.579716141832935e-14,-6.526780229341077e-14
frozenset({'223283.9.peg.4922'}),0.0,8.529248435506513e-15,3.720469722070909e-13,5.252630806175532e-13,-2.050888774475785e-14,3.505642010757647e-14,1.694402701769078e-13,-2.539793729222716e-13,-3.610377191040363e-13,5.391075598059251e-14
frozenset({'223283.9.peg.4924'}),-1.068719094429436e-11,-4.459336605043056e-14,7.742094468305365e-14,1.950405288919048e-13,5.55282034769493e-15,-3.613557276760916e-13,-1.1862496116612e-13,3.505106779649422e-14,6.010181425737369e-14,1.359317261920666e-13
frozenset({'223283.9.peg.5044'}),-2.485614158535179e-13,8.318274430199176e-14,1.588275575484255e-12,3.452280394089653e-14,2.336214653884447e-14,1.524904033662916e-14,-3.973132768068527e-13,9.720178970690871e-15,-4.543939613712849e-14,-2.240547435797792e-14
frozenset({'223283.9.peg.5046'}),-3.404281712690936e-14,1.128129387943743e-16,-8.73269011158737e-14,1.115812078162101e-13,8.259113555154433e-15,-1.001329297290035e-14,3.150790190055407e-13,6.924093398709647e-14,2.534949997875247e-14,2.041657200936663e-15
frozenset({'223283.9.peg.5047'}),2.02959882288186e-13,-6.683047555646077e-13,-3.180097273166233e-14,6.838589440634047e-14,5.391119090824323e-14,-5.051388951043081e-14,2.214241178234667e-13,8.151836316000947e-14,1.017926890483691e-14,-3.595802674336264e-13
frozenset({'223283.9.peg.5256'}),78.22490725136745,42.79350943842844,80.93254484304511,96.57746613255443,78.25964348398627,104.1060495968558,166.0490106564982,195.9715631520046,99.68761321707012,97.06463909431746
frozenset({'223283.9.peg.5257'}),8.660664720501201e-14,-1.17234354694735e-14,3.648755873663573e-14,0.0,4.645377090543181e-14,-6.030687698385959e-14,1.106845944671357e-13,-1.205038325151e-13,1.249760619629667e-13,
frozenset({'223283.9.peg.5258'}),2.830419527889872e-14,-1.235245838307654e-14,-2.448796447750598e-13,3.789477468785282e-13,1.310127483631736e-13,7.505341268176323e-14,-4.518079960126151e-15,1.089753104752804e-13,-1.793726100899498e-13,-2.108516252774551e-14
frozenset({'223283.9.peg.547'}),-1.195025530781314e-13,0.0,1.053621597682712e-13,7.42583420808683e-14,3.66382306948128e-13,-6.636395294363352e-14,4.189514917018711e-14,4.724972246319835e-14,3.58934008462036e-14,6.441547451246967e-14
frozenset({'223283.9.peg.549'}),3.228260748529489e-13,-2.807693074798996e-14,4.918954635342049e-15,6.389640305455247e-14,6.525790564633647e-13,-8.185788407341813e-13,2.080043846517599e-13,-2.97897063436352e-13,1.356488491828296e-14,-8.431979343657575e-14
frozenset({'223283.9.peg.5652'}),8.512991671963108e-14,3.619144967133797e-14,-1.408131179636247e-14,8.64668364163986e-14,0.0,-1.040405584985949e-13,-2.223301606025098e-13,1.636392527815028e-13,-2.381280697582859e-13,-1.112251254290874e-13
frozenset({'223283.9.peg.5751'}),9.58954854183808e-14,1.123077229919598e-14,-2.43369681653983e-13,1.471593172751081e-13,-7.391432813406349e-14,4.469524810449887e-15,3.033070929459982e-12,-2.694669635730098e-12,-1.408051687229039e-14,1.159513017348367e-14
frozenset({'223283.9.peg.5752'}),1.60915123210802e-14,7.488319959411925e-14,1.514862182039311e-13,-1.389741848444472e-13,2.938369451538653e-14,1.971031241869591e-13,1.83926672085202e-13,-9.616460502220714e-14,-1.748547222157298e-14,1.077967041632388e-13
frozenset({'223283.9.peg.613'}),2.495677775000452e-14,1.107266841248895e-13,-1.654399292135751e-11,0.0,-2.076043217777256e-13,-2.720116545571926e-14,-7.630764329489426e-14,-3.955207440943544e-14,2.388406084406907e-14,9.450686610672473e-14
frozenset({'223283.9.peg.622'}),2.203176511345208e-13,3.481159252816077e-15,-6.246300879964849e-14,7.831247211517186e-14,1.201595156748042e-13,-6.839148968406427e-14,-7.975764398367947e-14,5.511542362992251e-13,-2.910128373567422e-14,-1.112062336243702e-14
frozenset({'223283.9.peg.623'}),-1.863579214524876e-13,-9.948632918383002e-15,2.370314572879842e-13,-3.135186664968064e-15,-7.248785319990855e-14,1.77306205632709e-13,-2.239670843479418e-13,5.175007382420387e-14,9.50478800928305e-14,9.591571736234853e-14
frozenset({'223283.9.peg.625'}),1.026547742585535e-12,-2.065751693384267e-13,-1.343804804894625e-14,5.648758755360017e-14,1.70225980539306e-13,-1.849269288711933e-14,-1.137163142635346e-13,-3.598901317064609e-14,1.018697618563941e-13,-9.117681688489875e-14
frozenset({'223283.9.peg.626'}),2.078733502036617e-13,9.210372672555212e-15,3.147260455876551e-14,2.993749343134714e-13,7.582316722960887e-14,1.366222813005148e-13,0.0,-1.462314108169419e-13,2.128012607759059e-14,-5.042763930448185e-14
frozenset({'223283.9.peg.627'}),2.20350078420755e-13,-1.497775399798868e-12,3.691560870863466e-13,3.445563203730834e-13,-6.415389723161745e-14,7.011284021515292e-14,1.10881149782639e-13,-1.4715191147387e-14,2.583846265022621e-13,-2.412194356677474e-13
frozenset({'223283.9.peg.628'}),-6.121236587952368e-14,0.0,1.166103045984273e-14,2.124726500444584e-13,2.183545806052893e-13,-6.178184193023795e-14,1.106135884574421e-13,-1.699344798162124e-14,-1.760676244483147e-15,-9.330227581276921e-14
frozenset({'223283.9.peg.631'}),6.808563425381873e-14,-2.606980468516338e-15,-1.117397692405333e-13,1.218696428821436e-13,-4.974067302151286e-12,0.0,-7.059891179699493e-14,-9.525499944356663e-15,-1.139706763422983e-14,8.277424594194591e-15
frozenset({'223283.9.peg.632'}),-8.993452672694952e-14,7.933052325167978e-15,2.107473773844756e-14,5.148491228038277e-13,-1.81984678881543e-13,2.915835807854206e-13,7.230351624076146e-13,-2.839470968515289e-13,4.816398010598892e-13,-1.156738593501301e-13
