ids,0,1,2,3,4,5,6,7,8,9
frozenset({'223283.9.peg.1'}),3.908336007208708e-16,1.69548381127789e-15,8.126261233585265e-14,-1.567708526727732e-13,-9.866227698910055e-15,6.940914019520488e-14,-2.26827611411718e-14,5.35257350831355e-13,3.461298015642276e-14,-3.288158932354947e-13
frozenset({'223283.9.peg.1290'}),1.59967838287744e-13,1.516818788260872e-13,-2.582715267638038e-14,6.144866680598213e-14,9.456725442617998e-13,3.704621517313234e-14,2.12854492389999e-14,1.59127776028619e-14,-8.441155632308436e-14,-1.940257790628962e-14
frozenset({'223283.9.peg.1455'}),17.38718397160049,9.440546263420089,51.25545759543815,0.371834901064277,32.50181087713663,56.75107627357387,105.2021925767528,79.3244268829636,63.2092839160674,46.6372509860748
frozenset({'223283.9.peg.1494'}),-4.768200835446818e-12,3.195834152125407e-14,-2.428129862637829e-14,-3.711970364422332e-13,1.679591974508864e-13,-1.363427315910771e-12,-4.151752330670668e-13,-1.077201305951856e-12,-1.174258614414809e-13,0.0
frozenset({'223283.9.peg.1497'}),-7.780946847420188e-15,0.0,3.893727513706287e-14,-2.083176128929118e-13,1.236628806222785e-10,-1.372526671924071e-12,8.037877941751734e-14,-8.25905282746689e-15,-3.699421599887393e-15,
frozenset({'223283.9.peg.1522'}),1.15370008745958e-14,7.336556305299897e-17,2.15144556140924e-14,5.352357281517775e-14,-5.395973159578098e-13,-1.964430905337369e-14,-3.264867819909463e-14,2.842163125484218e-13,1.143825365329776e-13,-2.064248756571601e-14
frozenset({'223283.9.peg.1560'}),1.255836156075823e-14,1.799715882091968e-15,-1.448871458480375e-14,-2.298403477876871e-12,1.306194302757214e-12,2.785710107957235e-13,3.244576014262794e-14,-2.721098827989577e-14,-8.426558198382651e-13,-6.380953443603546e-15
frozenset({'223283.9.peg.1575'}),4.543778806116098e-15,5.544598720788787e-16,1.38117298847312e-13,2.204960912005275e-14,-4.765364730817562e-14,-2.366680294298549e-14,-1.453364302657445e-14,8.332984148142531e-14,-2.073499701612438e-14,3.981728005727136e-14
frozenset({'223283.9.peg.1577'}),-7.780946847420188e-15,-8.439062522117984e-15,-1.029838537429048e-12,2.622273766535296e-14,1.983358044674113e-14,0.0,-5.897566962542601e-14,-4.192931027646527e-14,-1.007640649833241e-14,
frozenset({'223283.9.peg.1663'}),-8.797272905709653e-15,1.152634621048951e-16,-3.415937216131303e-13,-5.89263442829199e-15,-1.499452082578447e-13,3.904274102308826e-14,-3.31282788895803e-15,0.0,-3.923208395384251e-14,
frozenset({'223283.9.peg.1773'}),1.831012747553979e-10,-1.842935888632861e-15,-8.910727545865977e-13,-1.032305366061903e-14,1.038623907040427e-13,6.605910101691107e-14,-5.997049879550141e-15,6.24529895425258e-14,-5.429332686465259e-15,-2.327644241301773e-14
frozenset({'223283.9.peg.184'}),-1.942926299723693e-13,1.516818788260872e-13,3.491340810038801e-14,7.277070462692687e-14,-3.002135061148571e-14,-3.19412007979161e-14,7.924119333626787e-14,-1.547870628271388e-13,2.148712761536134e-14,0.0
frozenset({'223283.9.peg.1841'}),2.500277034038079e-14,-6.724295689976028e-16,-1.927390870934736e-13,5.796167962834309e-14,1.534131250414446e-14,-1.292391354588168e-14,-6.149684970188097e-14,0.0,2.734932492091508e-13,1.636199447578695e-14
frozenset({'223283.9.peg.1842'}),0.0,8.923972368704698e-16,1.597429632661092e-13,7.34611447876668e-17,2.00590739578596e-14,-2.279888751667335e-14,1.625802111673266e-13,-1.901688225477093e-14,1.306296390004391e-14,
frozenset({'223283.9.peg.1871'}),0.0,8.923972368704698e-16,1.597429632661092e-13,7.34611447876668e-17,2.00590739578596e-14,-2.279888751667335e-14,1.625802111673266e-13,-1.901688225477093e-14,1.002130933668007e-13,1.306296390004391e-14
frozenset({'223283.9.peg.190'}),0.0,-5.049351022634469e-15,5.626812173562987e-14,-3.413926762137316e-13,9.625744162834992e-14,-9.301132566269392e-14,4.486020100511022e-14,-1.514879520500244e-14,2.123786999250003e-13,-9.200199144160181e-14
frozenset({'223283.9.peg.191'}),-2.593648949140063e-15,-2.046176743170602e-13,2.511801310802555e-13,2.4267941565554e-14,1.419070913600905e-12,0.0,-1.802412538892055e-13,-4.784748063611148e-14,4.576505943173684e-15,6.101111174999351e-14
frozenset({'223283.9.peg.2'}),1.255836156075823e-14,1.799715882091968e-15,8.006515540415956e-14,-1.663959845824428e-14,-2.255831034890981e-14,-3.546252462317578e-14,7.829247595366205e-14,-1.305884422112249e-13,-1.405747922589845e-14,-5.74285809924319e-14
frozenset({'223283.9.peg.2197'}),-4.446703374263534e-14,-6.372700349648743e-13,3.210100096793357e-13,1.195517444746821e-13,-2.959868309673017e-14,1.741795418992045e-13,3.116058709408517e-14,-4.429436313513525e-14,-4.073075800163512e-13,-3.359553367383459e-13
frozenset({'223283.9.peg.2413'}),1.363133641834829e-14,3.696399147192525e-16,1.20405226896851e-12,-3.026205827041803e-14,-2.101044539284553e-13,-2.366680294298549e-14,-1.453364302657445e-14,8.332984148142531e-14,-2.073499701612438e-14,3.981728005727136e-14
frozenset({'223283.9.peg.2415'}),2.684794891328254e-15,1.144237126117057e-16,3.225302146632969e-14,2.878477936402324e-16,-9.99254288810759e-15,-4.355875030847115e-14,-8.585298199105126e-14,-1.365548900367461e-13,1.763371137208172e-14,-4.190741031833578e-14
frozenset({'223283.9.peg.2416'}),1.089351144672603e-13,6.468698507586918e-16,2.135476958798508e-14,-2.761912751916595e-13,-2.261549307367223e-13,-8.148006241747034e-14,-8.413778466875573e-13,2.656460581184642e-13,4.741557928785869e-14,-1.552931567525908e-14
frozenset({'223283.9.peg.2417'}),-3.52118181483827e-15,2.990507878891143e-15,-9.310912930884051e-14,-3.686279554085648e-17,6.940095604248904e-15,-1.190563075418982e-13,-1.121722887994674e-14,8.614427179034963e-14,2.345256137286771e-13,-1.113639630336731e-13
frozenset({'223283.9.peg.2418'}),7.99168462957342e-15,2.408352858910733e-15,-1.629890242067696e-13,-2.025349745383541e-14,1.599415554750343e-13,-5.383987779515548e-14,-7.95423900457268e-14,-1.240450908646384e-13,-2.075405323090882e-13,-7.564919442949068e-14
frozenset({'223283.9.peg.2657'}),17.38718397160044,9.440546263420256,51.25545759543895,0.371834901065122,32.50181087713381,56.75107627357356,105.2021925767734,79.32442688296199,63.20928391606738,46.63725098607767
frozenset({'223283.9.peg.3424'}),4.657752207838567e-13,-4.700042934291708e-15,-2.740655163880155e-14,-1.077883195192344e-14,1.557996573279641e-12,1.168095664044513e-13,-1.081030245375896e-12,-1.320384744498255e-14,-6.801854411526561e-15,-3.999800301379545e-14
frozenset({'223283.9.peg.3599'}),1.521431841310281e-16,1.486609037108197e-15,-8.817676283735636e-14,-2.692590024362168e-14,2.280024841391026e-14,-6.826037329010436e-14,3.551502649999417e-14,-3.115956617107232e-14,-1.245044251758032e-13,1.039512611493363e-14
frozenset({'223283.9.peg.3735'}),2.417180471103621e-13,-5.264544992858501e-15,7.518946680984519e-14,-2.384550869929755e-14,1.008028961118235e-13,-4.899335399183752e-14,2.438190564192856e-14,2.375455795227143e-13,-2.962808805026466e-14,0.0
frozenset({'223283.9.peg.3748'}),1.71545598555899e-28,8.266879125349732e-14,3.500618643184819e-13,-3.898704732565543e-14,3.748111352556367e-13,1.372212434950904e-13,-9.331646500182609e-13,-4.853541125084375e-14,-1.614176527640508e-14,-1.037541775186253e-13
